Experiment: Combination_Experiment_112
Generation: 31
Timestamp: 20231227_202850

Genotypes and their Fitness Values:
[0.0085, 0.4400360414814636, 0.11790943403180203, -0.7892217111867853, 0.26, -0.02289602880777631, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: -0.305733769147603
[0.0085, 0.4400360414814636, 0.13, -0.7892217111867853, 0.2592321381990954, -0.023, 0.07279245661387174, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.10170010022510256
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.8329072448886874, 0.26, -0.023, 0.0570339947790792, -0.003, 0.0025, 8.076512760343252, 10.717331057147533] - Fitness: 0.10437769816973881
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7593369561410005, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.076512760343252, 10.717331057147533] - Fitness: 0.10362693382611855
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.8329072448886874, 0.26, -0.023, 0.0570339947790792, -0.003, 0.0025, 8.076512760343252, 10.73313839908177] - Fitness: 0.1026404061775352
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7892217111867853, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.076512760343252, 10.717331057147533] - Fitness: 0.10561969408236119
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7892217111867853, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.1054623888666406
[0.0085, 0.4400360414814636, 0.13, -0.7892217111867853, 0.26, -0.02289602880777631, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.12337071333087252
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.8329072448886874, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.10837581846288671
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.8329072448886874, 0.26, -0.02289602880777631, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.10010993948403847
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7593369561410005, 0.26, -0.023, 0.07279245661387174, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.09000002501761918
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7666910352749041, 0.26, -0.023, 0.07279245661387174, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.09048958328229935
[0.0085, 0.4420243754575214, 0.12929169253282113, -0.7892217111867853, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.10886919318271271
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7892217111867853, 0.26, -0.023, 0.07279245661387174, -0.003, 0.0025, 8.076512760343252, 10.717331057147533] - Fitness: 0.09214977148387721
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7892217111867853, 0.26, -0.023, 0.07279245661387174, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.09199227720183868
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.8110213158296173, 0.26, -0.02289602880777631, 0.0570339947790792, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.09449618603792083
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7593369561410005, 0.26, -0.02289602880777631, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.09521428301926517
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7666910352749041, 0.26, -0.02289602880777631, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.0957037324471549
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.8110213158296173, 0.26, -0.023, 0.07279245661387174, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.09344736803153622
[0.0085, 0.4400360414814636, 0.11, -0.7892217111867853, 0.26, -0.023, 0.0570339947790792, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: -0.5720175084729368
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7892217111867853, 0.2592321381990954, -0.023, 0.07279245661387174, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.07546255535089887
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7892217111867853, 0.26, -0.023, 0.07279245661387174, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.09199227720183868
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.8329072448886874, 0.26, -0.023, 0.07279245661387174, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.09490796067532438
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.8329072448886874, 0.26, -0.023, 0.07279245661387174, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.09490796067532438
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.8329072448886874, 0.26, -0.023, 0.07279245661387174, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.09490796067532438
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7593369561410005, 0.26, -0.02289602880777631, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.09521428301926517
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7666910352749041, 0.26, -0.02289602880777631, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.0957037324471549
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7666910352749041, 0.26, -0.02289602880777631, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.0957037324471549
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7892217111867853, 0.26, -0.02289602880777631, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.09720286378321263
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7892217111867853, 0.26, -0.02289602880777631, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.09720286378321263
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7892217111867853, 0.26, -0.02289602880777631, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.09720286378321263
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7892217111867853, 0.26, -0.02289602880777631, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.09720286378321263
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7892217111867853, 0.26, -0.02289602880777631, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.09720286378321263
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.8110213158296173, 0.26, -0.02289602880777631, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.09865389774481793
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.8329072448886874, 0.26, -0.02289602880777631, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.10010993948403847
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.8329072448886874, 0.26, -0.02289602880777631, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.10010993948403847
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7892217111867853, 0.26, -0.023, 0.0570339947790792, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.10130701618812496
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7892217111867853, 0.26, -0.023, 0.0570339947790792, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.10130701618812496
[0.0085, 0.4400360414814636, 0.13, -0.7892217111867853, 0.2592321381990954, -0.023, 0.07279245661387174, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.10170010022510256
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7593369561410005, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.10347034399304882
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7666910352749041, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.10395978806822391
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.8329072448886874, 0.26, -0.023, 0.0570339947790792, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.10422062790718517
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.8329072448886874, 0.26, -0.023, 0.0570339947790792, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.10422062790718517
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.8329072448886874, 0.26, -0.023, 0.0570339947790792, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.10422062790718517
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.7892217111867853, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.1054623888666406
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.8329072448886874, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.10837581846288671
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.8329072448886874, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.10837581846288671
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.8329072448886874, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.10837581846288671
[0.0085, 0.4400360414814636, 0.12929169253282113, -0.8329072448886874, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.10837581846288671
[0.0085, 0.4420243754575214, 0.12929169253282113, -0.7892217111867853, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496] - Fitness: 0.10886919318271271

Detailed Results for Each Genotype:
Genotype [0.0085, 0.4400360414814636, 0.11790943403180203, -0.7892217111867853, 0.26, -0.02289602880777631, 0.05, -0.003, 0.0025, 8.076512760343252, 10.718759976470496]:
  Angle -10: cl=-0.5912676453590393, cd=0.2299121767282486, cm=-0.1870213896036148
  Angle -9: cl=-0.6289408206939697, cd=0.19921469688415527, cm=-0.17952577769756317
  Angle -8: cl=-0.6670442223548889, cd=0.16827751696109772, cm=-0.174580916762352
  Angle -7: cl=-0.6972639560699463, cd=0.13411040604114532, cm=-0.16910980641841888
  Angle -6: cl=-0.6481110453605652, cd=0.12092947959899902, cm=-0.15542833507061005
  Angle -5: cl=-0.5440972447395325, cd=0.10753465443849564, cm=-0.1436796337366104
  Angle -4: cl=-0.42633184790611267, cd=0.09572461992502213, cm=-0.13122378289699554
  Angle -3: cl=-0.3089950680732727, cd=0.08638429641723633, cm=-0.11795426905155182
  Angle -2: cl=-0.2207312434911728, cd=0.07948321104049683, cm=-0.0962965339422226
  Angle -1: cl=-0.16440902650356293, cd=0.07682361453771591, cm=-0.06671465933322906
  Angle 0: cl=-0.10586042702198029, cd=0.07632065564393997, cm=-0.03655724227428436
  Angle 1: cl=-0.04974444955587387, cd=0.07831867039203644, cm=-0.010161355137825012
  Angle 2: cl=0.02347654476761818, cd=0.08389139175415039, cm=0.0022408217191696167
  Angle 3: cl=0.23605160415172577, cd=0.07350163906812668, cm=0.005605444312095642
  Angle 4: cl=0.3243890404701233, cd=0.07872091978788376, cm=0.011795207858085632
  Angle 5: cl=0.40567293763160706, cd=0.08455873280763626, cm=0.016632869839668274
  Angle 6: cl=0.4944362938404083, cd=0.09114284068346024, cm=0.01969759166240692
  Angle 7: cl=0.5820147395133972, cd=0.09819353371858597, cm=0.02171938121318817
  Angle 8: cl=0.6708230972290039, cd=0.10130579024553299, cm=0.01522916555404663
  Angle 9: cl=0.7620182037353516, cd=0.10466280579566956, cm=0.00746549665927887
  Angle 10: cl=0.8575266599655151, cd=0.10874646157026291, cm=-0.0004966706037521362
Genotype [0.0085, 0.4400360414814636, 0.13, -0.7892217111867853, 0.2592321381990954, -0.023, 0.07279245661387174, -0.003, 0.0025, 8.076512760343252, 10.718759976470496]:
  Angle -10: cl=-0.5573735237121582, cd=0.2297591120004654, cm=-0.18737705051898956
  Angle -9: cl=-0.5925966501235962, cd=0.19901716709136963, cm=-0.18128834664821625
  Angle -8: cl=-0.6167080402374268, cd=0.1643042266368866, cm=-0.1787441223859787
  Angle -7: cl=-0.6448617577552795, cd=0.13079418241977692, cm=-0.17228256165981293
  Angle -6: cl=-0.6161293387413025, cd=0.11607270687818527, cm=-0.1590900868177414
  Angle -5: cl=-0.5031319856643677, cd=0.10433230549097061, cm=-0.14652670919895172
  Angle -4: cl=-0.39779308438301086, cd=0.09678200632333755, cm=-0.13427211344242096
  Angle -3: cl=-0.2937255799770355, cd=0.09011358767747879, cm=-0.11952583491802216
  Angle -2: cl=-0.2192734181880951, cd=0.08409149944782257, cm=-0.09595121443271637
  Angle -1: cl=-0.16033144295215607, cd=0.08059505373239517, cm=-0.06642253696918488
  Angle 0: cl=-0.0975760966539383, cd=0.08050703257322311, cm=-0.03689850866794586
  Angle 1: cl=-0.024631226435303688, cd=0.08135610073804855, cm=-0.01293964684009552
  Angle 2: cl=0.0567367821931839, cd=0.08391959220170975, cm=0.0010334104299545288
  Angle 3: cl=0.29128554463386536, cd=0.07213550806045532, cm=0.0032753795385360718
  Angle 4: cl=0.37856897711753845, cd=0.07769657671451569, cm=0.008774295449256897
  Angle 5: cl=0.47385984659194946, cd=0.08517256379127502, cm=0.012377247214317322
  Angle 6: cl=0.5652574896812439, cd=0.09253840148448944, cm=0.015080064535140991
  Angle 7: cl=0.6585299968719482, cd=0.09907856583595276, cm=0.01667410135269165
  Angle 8: cl=0.749975323677063, cd=0.10233969986438751, cm=0.00984606146812439
  Angle 9: cl=0.841781497001648, cd=0.10604412853717804, cm=0.0016094595193862915
  Angle 10: cl=0.9407499432563782, cd=0.11059628427028656, cm=-0.00657711923122406
Genotype [0.0085, 0.4400360414814636, 0.12929169253282113, -0.8329072448886874, 0.26, -0.023, 0.0570339947790792, -0.003, 0.0025, 8.076512760343252, 10.717331057147533]:
  Angle -10: cl=-0.5593103766441345, cd=0.23057323694229126, cm=-0.18775926530361176
  Angle -9: cl=-0.5950411558151245, cd=0.19981929659843445, cm=-0.1814003735780716
  Angle -8: cl=-0.6195870041847229, cd=0.16529850661754608, cm=-0.17873971164226532
  Angle -7: cl=-0.6477216482162476, cd=0.13149277865886688, cm=-0.17272935807704926
  Angle -6: cl=-0.617668628692627, cd=0.11657354980707169, cm=-0.15947704017162323
  Angle -5: cl=-0.5048324465751648, cd=0.10482901334762573, cm=-0.14694000780582428
  Angle -4: cl=-0.397077739238739, cd=0.09674638509750366, cm=-0.13496021926403046
  Angle -3: cl=-0.29301565885543823, cd=0.09007638692855835, cm=-0.12020684778690338
  Angle -2: cl=-0.21663622558116913, cd=0.08405455946922302, cm=-0.09725119173526764
  Angle -1: cl=-0.15766721963882446, cd=0.08061984181404114, cm=-0.06764926016330719
  Angle 0: cl=-0.09589353203773499, cd=0.08047612011432648, cm=-0.03779520094394684
  Angle 1: cl=-0.022335251793265343, cd=0.08132648468017578, cm=-0.013863667845726013
  Angle 2: cl=0.0589151456952095, cd=0.08334338665008545, cm=0.0006085783243179321
  Angle 3: cl=0.29320597648620605, cd=0.07149966806173325, cm=0.002904146909713745
  Angle 4: cl=0.38059863448143005, cd=0.07705335319042206, cm=0.008382394909858704
  Angle 5: cl=0.47535812854766846, cd=0.08467742055654526, cm=0.012013763189315796
  Angle 6: cl=0.5659821629524231, cd=0.09214756637811661, cm=0.01483619213104248
  Angle 7: cl=0.6588906049728394, cd=0.0986921563744545, cm=0.0164557546377182
  Angle 8: cl=0.7501427531242371, cd=0.10220034420490265, cm=0.010351300239562988
  Angle 9: cl=0.8417668342590332, cd=0.10586711764335632, cm=0.002129599452018738
  Angle 10: cl=0.9407196640968323, cd=0.11040816456079483, cm=-0.00602470338344574
Genotype [0.0085, 0.4400360414814636, 0.12929169253282113, -0.7593369561410005, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.076512760343252, 10.717331057147533]:
  Angle -10: cl=-0.5595832467079163, cd=0.2307243049144745, cm=-0.18780364096164703
  Angle -9: cl=-0.5953435897827148, cd=0.19996711611747742, cm=-0.1814102977514267
  Angle -8: cl=-0.619946300983429, cd=0.16546602547168732, cm=-0.17873691022396088
  Angle -7: cl=-0.6481544375419617, cd=0.13158823549747467, cm=-0.1727975755929947
  Angle -6: cl=-0.6179729104042053, cd=0.11663947254419327, cm=-0.15953581035137177
  Angle -5: cl=-0.5051156282424927, cd=0.10488811880350113, cm=-0.14699794352054596
  Angle -4: cl=-0.39709845185279846, cd=0.09674601256847382, cm=-0.13505585491657257
  Angle -3: cl=-0.29303571581840515, cd=0.0900762602686882, cm=-0.12030349671840668
  Angle -2: cl=-0.21639619767665863, cd=0.08405256271362305, cm=-0.09743626415729523
  Angle -1: cl=-0.15740804374217987, cd=0.08061829209327698, cm=-0.06782667338848114
  Angle 0: cl=-0.09575951099395752, cd=0.08046650886535645, cm=-0.03793312609195709
  Angle 1: cl=-0.02214900590479374, cd=0.08131256699562073, cm=-0.013996973633766174
  Angle 2: cl=0.0590767040848732, cd=0.08326122164726257, cm=0.0005415678024291992
  Angle 3: cl=0.29325196146965027, cd=0.07141639292240143, cm=0.0028578191995620728
  Angle 4: cl=0.38064542412757874, cd=0.07696928083896637, cm=0.008335903286933899
  Angle 5: cl=0.4753498136997223, cd=0.08460216224193573, cm=0.011975124478340149
  Angle 6: cl=0.5658847689628601, cd=0.09208595752716064, cm=0.014813512563705444
  Angle 7: cl=0.6587543487548828, cd=0.09863075613975525, cm=0.016430750489234924
  Angle 8: cl=0.7499797344207764, cd=0.10216917097568512, cm=0.010420233011245728
  Angle 9: cl=0.8415776491165161, cd=0.10582979023456573, cm=0.0022021979093551636
  Angle 10: cl=0.9405285120010376, cd=0.11037050932645798, cm=-0.00595034658908844
Genotype [0.0085, 0.4400360414814636, 0.12929169253282113, -0.8329072448886874, 0.26, -0.023, 0.0570339947790792, -0.003, 0.0025, 8.076512760343252, 10.73313839908177]:
  Angle -10: cl=-0.5593262910842896, cd=0.23054753243923187, cm=-0.18774090707302094
  Angle -9: cl=-0.5950397849082947, cd=0.19979427754878998, cm=-0.1813918501138687
  Angle -8: cl=-0.6196030378341675, cd=0.16528072953224182, cm=-0.17872585356235504
  Angle -7: cl=-0.6477479934692383, cd=0.1314736008644104, cm=-0.17269419133663177
  Angle -6: cl=-0.6177797317504883, cd=0.11656665056943893, cm=-0.15944765508174896
  Angle -5: cl=-0.504896342754364, cd=0.10481729358434677, cm=-0.14691193401813507
  Angle -4: cl=-0.3971613049507141, cd=0.09673485904932022, cm=-0.1349242478609085
  Angle -3: cl=-0.29309913516044617, cd=0.09006480127573013, cm=-0.12017051875591278
  Angle -2: cl=-0.21676421165466309, cd=0.08403907716274261, cm=-0.09719552099704742
  Angle -1: cl=-0.15780100226402283, cd=0.08060607314109802, cm=-0.06759427487850189
  Angle 0: cl=-0.09604398906230927, cd=0.08046724647283554, cm=-0.03774239122867584
  Angle 1: cl=-0.022572828456759453, cd=0.08131585270166397, cm=-0.013798728585243225
  Angle 2: cl=0.05868280678987503, cd=0.08337267488241196, cm=0.0006367117166519165
  Angle 3: cl=0.2928920388221741, cd=0.07153875380754471, cm=0.0029362887144088745
  Angle 4: cl=0.3802645206451416, cd=0.07709325104951859, cm=0.008418604731559753
  Angle 5: cl=0.4749969244003296, cd=0.08469890803098679, cm=0.012054339051246643
  Angle 6: cl=0.5656347274780273, cd=0.09216687828302383, cm=0.014874234795570374
  Angle 7: cl=0.6585625410079956, cd=0.09871120005846024, cm=0.016490846872329712
  Angle 8: cl=0.7498195767402649, cd=0.10220282524824142, cm=0.010344967246055603
  Angle 9: cl=0.8414236307144165, cd=0.10586856305599213, cm=0.002121284604072571
  Angle 10: cl=0.9403766393661499, cd=0.11040963977575302, cm=-0.006033167243003845
Genotype [0.0085, 0.4400360414814636, 0.12929169253282113, -0.7892217111867853, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.076512760343252, 10.717331057147533]:
  Angle -10: cl=-0.559470534324646, cd=0.23071634769439697, cm=-0.18781132996082306
  Angle -9: cl=-0.5952320694923401, cd=0.19995974004268646, cm=-0.1814166158437729
  Angle -8: cl=-0.6198076009750366, cd=0.16544878482818604, cm=-0.17875032126903534
