Experiment: Combination_Experiment_113
Generation: 31
Timestamp: 20231227_204705

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.5117049648482] - Fitness: 0.22112656023134375
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.220541811135678
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.220541811135678
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.220541811135678
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.220541811135678
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071424201222679, 10.517039456311084] - Fitness: 0.22052628421078618
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071424201222679, 10.517039456311084] - Fitness: 0.22052628421078618
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071424201222679, 10.517039456311084] - Fitness: 0.22052628421078618
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071424201222679, 10.517039456311084] - Fitness: 0.22052628421078618
[0.0085, 0.46, 0.13, -0.7226462259972589, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.22028578723180853
[0.0085, 0.46, 0.13, -0.7226462259972589, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.22028578723180853
[0.0085, 0.46, 0.13, -0.7226462259972589, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.22028578723180853
[0.0085, 0.46, 0.13, -0.7226462259972589, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071424201222679, 10.517039456311084] - Fitness: 0.22026903575771936
[0.0085, 0.46, 0.13, -0.7226462259972589, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071424201222679, 10.517039456311084] - Fitness: 0.22026903575771936
[0.0085, 0.46, 0.13, -0.7226462259972589, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071424201222679, 10.517039456311084] - Fitness: 0.22026903575771936
[0.0085, 0.46, 0.13, -0.7226462259972589, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071424201222679, 10.517039456311084] - Fitness: 0.22026903575771936
[0.0085, 0.45839298065079526, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.2199818920708266
[0.0085, 0.45839298065079526, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.2199818920708266
[0.0085, 0.45839298065079526, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.2199818920708266
[0.0085, 0.45839298065079526, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.2199818920708266
[0.0085, 0.45839298065079526, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.2199818920708266
[0.0085, 0.45839298065079526, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071424201222679, 10.517039456311084] - Fitness: 0.21996604820945964
[0.0085, 0.45839298065079526, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071424201222679, 10.517039456311084] - Fitness: 0.21996604820945964
[0.0085, 0.45839298065079526, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071424201222679, 10.517039456311084] - Fitness: 0.21996604820945964
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05144730553247491, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.21972911030814007
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05144730553247491, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.21972911030814007
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05144730553247491, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.21972911030814007
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05144730553247491, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.21972911030814007
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05144730553247491, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.21972911030814007
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05144730553247491, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.21972911030814007
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05144730553247491, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.21972911030814007
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05144730553247491, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.21972911030814007
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05144730553247491, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.21972911030814007
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05144730553247491, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.21972911030814007
[0.0085, 0.45839298065079526, 0.13, -0.7226462259972589, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.21972237913665676
[0.0085, 0.45839298065079526, 0.13, -0.7226462259972589, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.21972237913665676
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05144730553247491, -0.003, 0.0025, 7.071424201222679, 10.517039456311084] - Fitness: 0.2197131319764582
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05144730553247491, -0.003, 0.0025, 7.071424201222679, 10.517039456311084] - Fitness: 0.2197131319764582
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05144730553247491, -0.003, 0.0025, 7.071424201222679, 10.517039456311084] - Fitness: 0.2197131319764582
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05144730553247491, -0.003, 0.0025, 7.071424201222679, 10.517039456311084] - Fitness: 0.2197131319764582
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05144730553247491, -0.003, 0.0025, 7.071424201222679, 10.517039456311084] - Fitness: 0.2197131319764582
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05144730553247491, -0.003, 0.0025, 7.071424201222679, 10.517039456311084] - Fitness: 0.2197131319764582
[0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05144730553247491, -0.003, 0.0025, 7.071424201222679, 10.517039456311084] - Fitness: 0.2197131319764582
[0.0085, 0.46, 0.13, -0.7113176082697426, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.21954490827966863
[0.0085, 0.46, 0.13, -0.7113176082697426, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.21954490827966863
[0.0085, 0.46, 0.13, -0.7113176082697426, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.21954490827966863
[0.0085, 0.46, 0.13, -0.7113176082697426, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.21954490827966863
[0.0085, 0.46, 0.13, -0.7113176082697426, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.21954490827966863
[0.0085, 0.46, 0.13, -0.7113176082697426, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084] - Fitness: 0.21954490827966863
[0.0085, 0.46, 0.13, -0.7113176082697426, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071424201222679, 10.517039456311084] - Fitness: 0.2195289134614413

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.5117049648482]:
  Angle -10: cl=-0.5669701099395752, cd=0.2346484363079071, cm=-0.19006146490573883
  Angle -9: cl=-0.5944787263870239, cd=0.20192739367485046, cm=-0.18600870668888092
  Angle -8: cl=-0.617317795753479, cd=0.16699619591236115, cm=-0.18471066653728485
  Angle -7: cl=-0.65630704164505, cd=0.13171973824501038, cm=-0.18050925433635712
  Angle -6: cl=-0.6108840703964233, cd=0.11706063151359558, cm=-0.16583864390850067
  Angle -5: cl=-0.5045934319496155, cd=0.10482516884803772, cm=-0.15240712463855743
  Angle -4: cl=-0.4098266661167145, cd=0.09924167394638062, cm=-0.13956265151500702
  Angle -3: cl=-0.30817368626594543, cd=0.09348176419734955, cm=-0.1260858029127121
  Angle -2: cl=-0.22611308097839355, cd=0.08810737729072571, cm=-0.10498763620853424
  Angle -1: cl=-0.16515594720840454, cd=0.08331896364688873, cm=-0.07580386102199554
  Angle 0: cl=-0.0942264199256897, cd=0.08248302340507507, cm=-0.04749445617198944
  Angle 1: cl=-0.011054998263716698, cd=0.0827251672744751, cm=-0.025058045983314514
  Angle 2: cl=0.07300099730491638, cd=0.08369757235050201, cm=-0.00992979109287262
  Angle 3: cl=0.29858505725860596, cd=0.069149911403656, cm=-0.004541352391242981
  Angle 4: cl=0.41849905252456665, cd=0.07191682606935501, cm=0.0007566362619400024
  Angle 5: cl=0.5173158645629883, cd=0.08018282055854797, cm=0.004217818379402161
  Angle 6: cl=0.6090173125267029, cd=0.08746987581253052, cm=0.0065898597240448
  Angle 7: cl=0.6988565921783447, cd=0.09406697005033493, cm=0.00903579592704773
  Angle 8: cl=0.7888239622116089, cd=0.10065699368715286, cm=0.0107908695936203
  Angle 9: cl=0.8836761713027954, cd=0.10512940585613251, cm=0.0038628727197647095
  Angle 10: cl=0.9834590554237366, cd=0.11007414013147354, cm=-0.004094913601875305
Genotype [0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084]:
  Angle -10: cl=-0.5669633746147156, cd=0.23464147746562958, cm=-0.19005750119686127
  Angle -9: cl=-0.5944845080375671, cd=0.20192140340805054, cm=-0.18600420653820038
  Angle -8: cl=-0.617323100566864, cd=0.1669887900352478, cm=-0.18470241129398346
  Angle -7: cl=-0.6563145518302917, cd=0.1317133754491806, cm=-0.18049846589565277
  Angle -6: cl=-0.6109160780906677, cd=0.11705347150564194, cm=-0.16582651436328888
  Angle -5: cl=-0.5046323537826538, cd=0.10482331365346909, cm=-0.15239755809307098
  Angle -4: cl=-0.4098590910434723, cd=0.09923918545246124, cm=-0.13955233991146088
  Angle -3: cl=-0.3082025945186615, cd=0.09347794204950333, cm=-0.12607364356517792
  Angle -2: cl=-0.22615748643875122, cd=0.08810234069824219, cm=-0.1049695760011673
  Angle -1: cl=-0.16520167887210846, cd=0.08331441879272461, cm=-0.07578559219837189
  Angle 0: cl=-0.09429548680782318, cd=0.0824793130159378, cm=-0.04747213423252106
  Angle 1: cl=-0.011128021404147148, cd=0.08272258192300797, cm=-0.025037363171577454
  Angle 2: cl=0.07292107492685318, cd=0.083693727850914, cm=-0.00990690290927887
  Angle 3: cl=0.2984907925128937, cd=0.06914685666561127, cm=-0.004516676068305969
  Angle 4: cl=0.41837698221206665, cd=0.07192366570234299, cm=0.0007695406675338745
  Angle 5: cl=0.5171945095062256, cd=0.08018969744443893, cm=0.004230782389640808
  Angle 6: cl=0.6089075207710266, cd=0.0874762088060379, cm=0.006602749228477478
  Angle 7: cl=0.6987470984458923, cd=0.09407331049442291, cm=0.009047433733940125
  Angle 8: cl=0.7887148261070251, cd=0.10066400468349457, cm=0.010804474353790283
  Angle 9: cl=0.8835638165473938, cd=0.10513002425432205, cm=0.0038603991270065308
  Angle 10: cl=0.9833471179008484, cd=0.11006667464971542, cm=-0.004098102450370789
Genotype [0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084]:
  Angle -10: cl=-0.5669633746147156, cd=0.23464147746562958, cm=-0.19005750119686127
  Angle -9: cl=-0.5944845080375671, cd=0.20192140340805054, cm=-0.18600420653820038
  Angle -8: cl=-0.617323100566864, cd=0.1669887900352478, cm=-0.18470241129398346
  Angle -7: cl=-0.6563145518302917, cd=0.1317133754491806, cm=-0.18049846589565277
  Angle -6: cl=-0.6109160780906677, cd=0.11705347150564194, cm=-0.16582651436328888
  Angle -5: cl=-0.5046323537826538, cd=0.10482331365346909, cm=-0.15239755809307098
  Angle -4: cl=-0.4098590910434723, cd=0.09923918545246124, cm=-0.13955233991146088
  Angle -3: cl=-0.3082025945186615, cd=0.09347794204950333, cm=-0.12607364356517792
  Angle -2: cl=-0.22615748643875122, cd=0.08810234069824219, cm=-0.1049695760011673
  Angle -1: cl=-0.16520167887210846, cd=0.08331441879272461, cm=-0.07578559219837189
  Angle 0: cl=-0.09429548680782318, cd=0.0824793130159378, cm=-0.04747213423252106
  Angle 1: cl=-0.011128021404147148, cd=0.08272258192300797, cm=-0.025037363171577454
  Angle 2: cl=0.07292107492685318, cd=0.083693727850914, cm=-0.00990690290927887
  Angle 3: cl=0.2984907925128937, cd=0.06914685666561127, cm=-0.004516676068305969
  Angle 4: cl=0.41837698221206665, cd=0.07192366570234299, cm=0.0007695406675338745
  Angle 5: cl=0.5171945095062256, cd=0.08018969744443893, cm=0.004230782389640808
  Angle 6: cl=0.6089075207710266, cd=0.0874762088060379, cm=0.006602749228477478
  Angle 7: cl=0.6987470984458923, cd=0.09407331049442291, cm=0.009047433733940125
  Angle 8: cl=0.7887148261070251, cd=0.10066400468349457, cm=0.010804474353790283
  Angle 9: cl=0.8835638165473938, cd=0.10513002425432205, cm=0.0038603991270065308
  Angle 10: cl=0.9833471179008484, cd=0.11006667464971542, cm=-0.004098102450370789
Genotype [0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084]:
  Angle -10: cl=-0.5669633746147156, cd=0.23464147746562958, cm=-0.19005750119686127
  Angle -9: cl=-0.5944845080375671, cd=0.20192140340805054, cm=-0.18600420653820038
  Angle -8: cl=-0.617323100566864, cd=0.1669887900352478, cm=-0.18470241129398346
  Angle -7: cl=-0.6563145518302917, cd=0.1317133754491806, cm=-0.18049846589565277
  Angle -6: cl=-0.6109160780906677, cd=0.11705347150564194, cm=-0.16582651436328888
  Angle -5: cl=-0.5046323537826538, cd=0.10482331365346909, cm=-0.15239755809307098
  Angle -4: cl=-0.4098590910434723, cd=0.09923918545246124, cm=-0.13955233991146088
  Angle -3: cl=-0.3082025945186615, cd=0.09347794204950333, cm=-0.12607364356517792
  Angle -2: cl=-0.22615748643875122, cd=0.08810234069824219, cm=-0.1049695760011673
  Angle -1: cl=-0.16520167887210846, cd=0.08331441879272461, cm=-0.07578559219837189
  Angle 0: cl=-0.09429548680782318, cd=0.0824793130159378, cm=-0.04747213423252106
  Angle 1: cl=-0.011128021404147148, cd=0.08272258192300797, cm=-0.025037363171577454
  Angle 2: cl=0.07292107492685318, cd=0.083693727850914, cm=-0.00990690290927887
  Angle 3: cl=0.2984907925128937, cd=0.06914685666561127, cm=-0.004516676068305969
  Angle 4: cl=0.41837698221206665, cd=0.07192366570234299, cm=0.0007695406675338745
  Angle 5: cl=0.5171945095062256, cd=0.08018969744443893, cm=0.004230782389640808
  Angle 6: cl=0.6089075207710266, cd=0.0874762088060379, cm=0.006602749228477478
  Angle 7: cl=0.6987470984458923, cd=0.09407331049442291, cm=0.009047433733940125
  Angle 8: cl=0.7887148261070251, cd=0.10066400468349457, cm=0.010804474353790283
  Angle 9: cl=0.8835638165473938, cd=0.10513002425432205, cm=0.0038603991270065308
  Angle 10: cl=0.9833471179008484, cd=0.11006667464971542, cm=-0.004098102450370789
Genotype [0.0085, 0.46, 0.13, -0.7265669012725695, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.071047845950314, 10.517039456311084]:
  Angle -10: cl=-0.5669633746147156, cd=0.23464147746562958, cm=-0.19005750119686127
  Angle -9: cl=-0.5944845080375671, cd=0.20192140340805054, cm=-0.18600420653820038
  Angle -8: cl=-0.617323100566864, cd=0.1669887900352478, cm=-0.18470241129398346
  Angle -7: cl=-0.6563145518302917, cd=0.1317133754491806, cm=-0.18049846589565277
  Angle -6: cl=-0.6109160780906677, cd=0.11705347150564194, cm=-0.16582651436328888
  Angle -5: cl=-0.5046323537826538, cd=0.10482331365346909, cm=-0.15239755809307098
  Angle -4: cl=-0.4098590910434723, cd=0.09923918545246124, cm=-0.13955233991146088
  Angle -3: cl=-0.3082025945186615, cd=0.09347794204950333, cm=-0.12607364356517792
  Angle -2: cl=-0.22615748643875122, cd=0.08810234069824219, cm=-0.1049695760011673
  Angle -1: cl=-0.16520167887210846, cd=0.08331441879272461, cm=-0.07578559219837189
  Angle 0: cl=-0.09429548680782318, cd=0.0824793130159378, cm=-0.04747213423252106
  Angle 1: cl=-0.011128021404147148, cd=0.08272258192300797, cm=-0.025037363171577454
  Angle 2: cl=0.07292107492685318, cd=0.083693727850914, cm=-0.00990690290927887
  Angle 3: cl=0.2984907925128937, cd=0.06914685666561127, cm=-0.004516676068305969
