Experiment: Combination_Experiment_150
Generation: 16
Timestamp: 20231227_214845

Genotypes and their Fitness Values:
[0.0085, 0.42247580582183525, 0.12696334129358675, -0.9, 0.25860878586865477, -0.023, 0.08362479705062663, -0.006, 0.0026040178698767927, 7.1146631624336365, 11.017806075317262] - Fitness: -0.45860908356317154
[0.0085, 0.43874336325996016, 0.12696334129358675, -0.8891637091137446, 0.25860878586865477, -0.022646208565262383, 0.05, -0.003, 0.0025, 7.127661621175417, 10.982777613593573] - Fitness: -0.00893684282093196
[0.0085, 0.46, 0.12696334129358675, -0.9, 0.25860878586865477, -0.023, 0.08362479705062663, -0.003, 0.0025, 7.1146631624336365, 11.017806075317262] - Fitness: 0.006934569011687627
[0.0085, 0.46, 0.13, -0.8591302291516726, 0.25860878586865477, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: 0.0949318106249231
[0.0085, 0.42247580582183525, 0.12696334129358675, -0.9, 0.25860878586865477, -0.015469526401476051, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: -0.6219880929574254
[0.0085, 0.42247580582183525, 0.12696334129358675, -0.9, 0.25860878586865477, -0.023, 0.08362479705062663, -0.003, 0.0025, 7.084386625654304, 11.017806075317262] - Fitness: -0.04074149519172469
[0.0085, 0.42247580582183525, 0.12696334129358675, -0.8539340679064009, 0.25860878586865477, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.084386625654304, 11.017806075317262] - Fitness: -0.07207333094544784
[0.0085, 0.42247580582183525, 0.12696334129358675, -0.8891637091137446, 0.25860878586865477, -0.023, 0.08362479705062663, -0.003, 0.0025, 7.084386625654304, 11.017806075317262] - Fitness: -0.04147982749505696
[0.0085, 0.4482361929827235, 0.12696334129358675, -0.8891637091137446, 0.26, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.084386625654304, 11.017806075317262] - Fitness: 0.007893817319958663
[0.0126, 0.4482361929827235, 0.12696334129358675, -0.9, 0.26, -0.023, 0.08362479705062663, -0.003, 0.0026040178698767927, 7.127661621175417, 12.817914349723228] - Fitness: -0.8252601536314735
[0.0085, 0.42247580582183525, 0.12696334129358675, -0.8891637091137446, 0.25860878586865477, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.084386625654304, 11.017806075317262] - Fitness: -0.06968031121996911
[0.0085, 0.43874336325996016, 0.12696334129358675, -0.9, 0.25860878586865477, -0.023, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: -0.003368516737103325
[0.0085, 0.46, 0.13, -0.8891637091137446, 0.25860878586865477, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: 0.09687714125667726
[0.0085, 0.42247580582183525, 0.12696334129358675, -0.8891637091137446, 0.25860878586865477, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: -0.07192315115016369
[0.0085, 0.42247580582183525, 0.12696334129358675, -0.8539340679064009, 0.26, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: -0.044402992784254754
[0.0085, 0.43874336325996016, 0.12696334129358675, -0.8891637091137446, 0.26, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: -0.0020321756011542264
[0.0085, 0.42247580582183525, 0.13, -0.8539340679064009, 0.26, -0.022646208565262383, 0.131830514167002, -0.003, 0.0025, 7.084386625654304, 11.017806075317262] - Fitness: 0.03633375266397067
[0.0085, 0.43874336325996016, 0.12696334129358675, -0.8891637091137446, 0.26, -0.022646208565262383, 0.05, -0.003, 0.0025, 7.084386625654304, 11.017806075317262] - Fitness: 0.019625897420431596
[0.0085, 0.42247580582183525, 0.1260919923553433, -0.8539340679064009, 0.26, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: -0.07417885649795058
[0.0085, 0.42247580582183525, 0.12696334129358675, -0.9, 0.25860878586865477, -0.023, 0.08362479705062663, -0.003, 0.0025, 7.1146631624336365, 10.972087171304914] - Fitness: -0.037535768585777174
[0.0085, 0.4482361929827235, 0.12696334129358675, -0.9, 0.25860878586865477, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: -0.022907073140971936
[0.0085, 0.43874336325996016, 0.12696334129358675, -0.8891637091137446, 0.26, -0.022646208565262383, 0.05, -0.006, 0.005, 7.162203891458988, 11.017806075317262] - Fitness: -0.6605677822501447
[0.0085, 0.46, 0.13, -0.8539340679064009, 0.25860878586865477, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: 0.09459565529838825
[0.0085, 0.42247580582183525, 0.12696334129358675, -0.8891637091137446, 0.25860878586865477, -0.023, 0.08362479705062663, -0.003, 0.0025, 7.1146631624336365, 11.017806075317262] - Fitness: -0.04306485059243129
[0.0085, 0.4482361929827235, 0.12696334129358675, -0.8891637091137446, 0.26, -0.023, 0.09480970635250166, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: 0.025620013473959303
[0.0085, 0.42247580582183525, 0.12696334129358675, -0.8539340679064009, 0.25860878586865477, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: -0.07432961750805527
[0.0085, 0.42247580582183525, 0.12696334129358675, -0.8539340679064009, 0.25860878586865477, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: -0.07432961750805527
[0.0085, 0.42247580582183525, 0.12696334129358675, -0.8539340679064009, 0.25860878586865477, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: -0.07432961750805527
[0.0085, 0.42247580582183525, 0.1260919923553433, -0.8754233190121848, 0.26, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: -0.0727310818289742
[0.0085, 0.42247580582183525, 0.1260919923553433, -0.8891637091137446, 0.26, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: -0.07180052681303455
[0.0085, 0.4583226438755033, 0.1260919923553433, -0.8539340679064009, 0.25860878586865477, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.084386625654304, 11.017806075317262] - Fitness: -0.055921965254934466
[0.0085, 0.42247580582183525, 0.12696334129358675, -0.9, 0.25860878586865477, -0.023, 0.08362479705062663, -0.003, 0.0026040178698767927, 7.1146631624336365, 11.017806075317262] - Fitness: -0.05342687694862338
[0.0085, 0.42247580582183525, 0.1260919923553433, -0.8891637091137446, 0.26, -0.023, 0.08362479705062663, -0.003, 0.0025, 7.1146631624336365, 11.017806075317262] - Fitness: -0.04381541128502295
[0.0085, 0.42247580582183525, 0.12696334129358675, -0.8539340679064009, 0.26, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.01127047043625] - Fitness: -0.04372170432916236
[0.0085, 0.42247580582183525, 0.12696334129358675, -0.9, 0.25860878586865477, -0.023, 0.08362479705062663, -0.003, 0.0025, 7.1146631624336365, 11.017806075317262] - Fitness: -0.042326338129122155
[0.0085, 0.42247580582183525, 0.12696334129358675, -0.9, 0.25860878586865477, -0.023, 0.08362479705062663, -0.003, 0.0025, 7.1146631624336365, 11.017806075317262] - Fitness: -0.042326338129122155
[0.0085, 0.42247580582183525, 0.12696334129358675, -0.8539340679064009, 0.26, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.084386625654304, 11.017806075317262] - Fitness: -0.042143301910963445
[0.0085, 0.42247580582183525, 0.12696334129358675, -0.9, 0.25860878586865477, -0.023, 0.08362479705062663, -0.003, 0.0025, 7.084386625654304, 11.017806075317262] - Fitness: -0.04074149519172469
[0.0085, 0.4389080455431491, 0.12696334129358675, -0.8368835849595416, 0.25860878586865477, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: -0.035785808136069346
[0.0085, 0.4389080455431491, 0.12696334129358675, -0.8539340679064009, 0.25860878586865477, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: -0.0346935083325143
[0.0085, 0.4389080455431491, 0.12696334129358675, -0.8539340679064009, 0.26, -0.022646208565262383, 0.132235144238727, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: -0.0323908621334117
[0.0085, 0.43874336325996016, 0.12696334129358675, -0.8891637091137446, 0.26, -0.022646208565262383, 0.132235144238727, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: -0.030404521877337692
[0.0085, 0.4482361929827235, 0.12696334129358675, -0.9, 0.25860878586865477, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: -0.022907073140971936
[0.0085, 0.4482361929827235, 0.12696334129358675, -0.9, 0.25860878586865477, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: -0.022907073140971936
[0.0085, 0.43874336325996016, 0.12696334129358675, -0.8891637091137446, 0.26, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: -0.0020321756011542264
[0.0085, 0.46, 0.12696334129358675, -0.8891637091137446, 0.26, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.084386625654304, 11.017806075317262] - Fitness: 0.009859625108746346
[0.0085, 0.43874336325996016, 0.12696334129358675, -0.8891637091137446, 0.26, -0.022646208565262383, 0.05, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: 0.017453033504310655
[0.0085, 0.46, 0.13, -0.8891637091137446, 0.25860878586865477, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: 0.09687714125667726
[0.0085, 0.46, 0.13, -0.8891637091137446, 0.25860878586865477, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262] - Fitness: 0.09687714125667726
[0.0085, 0.46, 0.13, -0.8891637091137446, 0.26, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.084386625654304, 11.017806075317262] - Fitness: 0.12955003778954383

Detailed Results for Each Genotype:
Genotype [0.0085, 0.42247580582183525, 0.12696334129358675, -0.9, 0.25860878586865477, -0.023, 0.08362479705062663, -0.006, 0.0026040178698767927, 7.1146631624336365, 11.017806075317262]:
  Angle -10: cl=-0.5763761401176453, cd=0.19079160690307617, cm=-0.16861294209957123
  Angle -9: cl=-0.6198520064353943, cd=0.1649145931005478, cm=-0.16133029758930206
  Angle -8: cl=-0.6654917597770691, cd=0.14220166206359863, cm=-0.15250693261623383
  Angle -7: cl=-0.6765246391296387, cd=0.12010671943426132, cm=-0.14427612721920013
  Angle -6: cl=-0.5451783537864685, cd=0.10215641558170319, cm=-0.1344880312681198
  Angle -5: cl=-0.44674885272979736, cd=0.09093840420246124, cm=-0.11014418303966522
  Angle -4: cl=-0.36763882637023926, cd=0.08558526635169983, cm=-0.08417432010173798
  Angle -3: cl=-0.287717342376709, cd=0.08220646530389786, cm=-0.06066633760929108
  Angle -2: cl=-0.23054730892181396, cd=0.08824311941862106, cm=-0.042273297905921936
  Angle -1: cl=-0.18874521553516388, cd=0.09494263678789139, cm=-0.024935051798820496
  Angle 0: cl=-0.1419065296649933, cd=0.10270161926746368, cm=-0.005455151200294495
  Angle 1: cl=-0.08509477972984314, cd=0.10936839133501053, cm=0.009701147675514221
  Angle 2: cl=0.055541593581438065, cd=0.10585982352495193, cm=0.013188436627388
  Angle 3: cl=0.12784570455551147, cd=0.10753605514764786, cm=0.010079175233840942
  Angle 4: cl=0.20146209001541138, cd=0.10950890928506851, cm=0.0066003501415252686
  Angle 5: cl=0.2842153012752533, cd=0.11130513995885849, cm=0.0019435137510299683
  Angle 6: cl=0.3745323121547699, cd=0.11309058964252472, cm=-0.0030386000871658325
  Angle 7: cl=0.49485424160957336, cd=0.11135368794202805, cm=-0.01890958845615387
  Angle 8: cl=0.6174697875976562, cd=0.10905582457780838, cm=-0.03679625689983368
  Angle 9: cl=0.739285409450531, cd=0.10771588981151581, cm=-0.05831943452358246
  Angle 10: cl=0.855994701385498, cd=0.10671713948249817, cm=-0.08159683644771576
Genotype [0.0085, 0.43874336325996016, 0.12696334129358675, -0.8891637091137446, 0.25860878586865477, -0.022646208565262383, 0.05, -0.003, 0.0025, 7.127661621175417, 10.982777613593573]:
  Angle -10: cl=-0.5689595937728882, cd=0.2324216216802597, cm=-0.18747641146183014
  Angle -9: cl=-0.6065455675125122, cd=0.2017223834991455, cm=-0.18052561581134796
  Angle -8: cl=-0.6354869604110718, cd=0.16877765953540802, cm=-0.17674954235553741
  Angle -7: cl=-0.6627658009529114, cd=0.13366498053073883, cm=-0.17173714935779572
  Angle -6: cl=-0.630152702331543, cd=0.1185443326830864, cm=-0.15859772264957428
  Angle -5: cl=-0.5182656645774841, cd=0.10627103596925735, cm=-0.1464018076658249
  Angle -4: cl=-0.40039053559303284, cd=0.09575456380844116, cm=-0.13509045541286469
  Angle -3: cl=-0.29644957184791565, cd=0.08907950669527054, cm=-0.12035052478313446
  Angle -2: cl=-0.21362057328224182, cd=0.08279330283403397, cm=-0.09900887310504913
  Angle -1: cl=-0.1559436321258545, cd=0.07933347672224045, cm=-0.06953607499599457
  Angle 0: cl=-0.09656587988138199, cd=0.07906600832939148, cm=-0.03917182981967926
  Angle 1: cl=-0.03025391511619091, cd=0.07996898889541626, cm=-0.01356498897075653
  Angle 2: cl=0.049938999116420746, cd=0.08255337178707123, cm=0.0004677325487136841
  Angle 3: cl=0.2789614796638489, cd=0.07108704000711441, cm=0.003590703010559082
  Angle 4: cl=0.36576905846595764, cd=0.0766807273030281, cm=0.0092734694480896
  Angle 5: cl=0.45582953095436096, cd=0.08357495814561844, cm=0.01332642138004303
  Angle 6: cl=0.5457445979118347, cd=0.09115204960107803, cm=0.016275793313980103
  Angle 7: cl=0.6369243860244751, cd=0.09796267002820969, cm=0.0181007981300354
  Angle 8: cl=0.7275570631027222, cd=0.10149861127138138, cm=0.012539178133010864
  Angle 9: cl=0.8183530569076538, cd=0.10510475933551788, cm=0.004260525107383728
  Angle 10: cl=0.915888786315918, cd=0.10938690602779388, cm=-0.0037783533334732056
Genotype [0.0085, 0.46, 0.12696334129358675, -0.9, 0.25860878586865477, -0.023, 0.08362479705062663, -0.003, 0.0025, 7.1146631624336365, 11.017806075317262]:
  Angle -10: cl=-0.5719156861305237, cd=0.23251034319400787, cm=-0.18923522531986237
  Angle -9: cl=-0.6077926158905029, cd=0.20090068876743317, cm=-0.1839028149843216
  Angle -8: cl=-0.6304490566253662, cd=0.16553673148155212, cm=-0.18194271624088287
  Angle -7: cl=-0.66983562707901, cd=0.13000954687595367, cm=-0.17696066200733185
  Angle -6: cl=-0.6267893314361572, cd=0.1166100800037384, cm=-0.16233687102794647
  Angle -5: cl=-0.5225893259048462, cd=0.10501328110694885, cm=-0.14908026158809662
  Angle -4: cl=-0.41985997557640076, cd=0.09804242104291916, cm=-0.13693256676197052
  Angle -3: cl=-0.31695443391799927, cd=0.09177614748477936, cm=-0.12269793450832367
  Angle -2: cl=-0.23595020174980164, cd=0.08595873415470123, cm=-0.10031993687152863
  Angle -1: cl=-0.17639443278312683, cd=0.08141953498125076, cm=-0.07123176753520966
  Angle 0: cl=-0.11392074823379517, cd=0.0808362141251564, cm=-0.04156513512134552
  Angle 1: cl=-0.03440254181623459, cd=0.08127177506685257, cm=-0.018903031945228577
  Angle 2: cl=0.048408858478069305, cd=0.08202424645423889, cm=-0.00348682701587677
  Angle 3: cl=0.2663641571998596, cd=0.07052776962518692, cm=0.0001055002212524414
  Angle 4: cl=0.3799580931663513, cd=0.07334966957569122, cm=0.0044471025466918945
  Angle 5: cl=0.4786994457244873, cd=0.08156275004148483, cm=0.007942825555801392
  Angle 6: cl=0.5706016421318054, cd=0.08879867196083069, cm=0.010407835245132446
  Angle 7: cl=0.660511314868927, cd=0.09539139270782471, cm=0.012666836380958557
  Angle 8: cl=0.7503499984741211, cd=0.10121704638004303, cm=0.01270739734172821
  Angle 9: cl=0.8439157009124756, cd=0.10505090653896332, cm=0.00464746356010437
  Angle 10: cl=0.9438377022743225, cd=0.10964367538690567, cm=-0.0033191293478012085
Genotype [0.0085, 0.46, 0.13, -0.8591302291516726, 0.25860878586865477, -0.022646208565262383, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262]:
  Angle -10: cl=-0.5634801387786865, cd=0.23157162964344025, cm=-0.18872137367725372
  Angle -9: cl=-0.5940083265304565, cd=0.1988886445760727, cm=-0.18484823405742645
  Angle -8: cl=-0.6167621612548828, cd=0.16361196339130402, cm=-0.18275131285190582
  Angle -7: cl=-0.6554937958717346, cd=0.12918725609779358, cm=-0.17720092833042145
  Angle -6: cl=-0.6159753203392029, cd=0.11459686607122421, cm=-0.1620999425649643
  Angle -5: cl=-0.5117230415344238, cd=0.10397043079137802, cm=-0.1495518833398819
  Angle -4: cl=-0.4166054129600525, cd=0.09861815720796585, cm=-0.13643093407154083
  Angle -3: cl=-0.3140372037887573, cd=0.09248892962932587, cm=-0.12240247428417206
  Angle -2: cl=-0.23784586787223816, cd=0.08682841062545776, cm=-0.09907867014408112
  Angle -1: cl=-0.17766451835632324, cd=0.08205927908420563, cm=-0.07000903785228729
  Angle 0: cl=-0.11152391135692596, cd=0.08155512064695358, cm=-0.041339144110679626
  Angle 1: cl=-0.02986682392656803, cd=0.08191472291946411, cm=-0.01906384527683258
  Angle 2: cl=0.05322618782520294, cd=0.08270637691020966, cm=-0.003579065203666687
  Angle 3: cl=0.28593909740448, cd=0.06967595964670181, cm=-0.0004916340112686157
  Angle 4: cl=0.39069506525993347, cd=0.07407615333795547, cm=0.004033342003822327
  Angle 5: cl=0.4896791875362396, cd=0.0823628380894661, cm=0.007509127259254456
  Angle 6: cl=0.5843793749809265, cd=0.0893649160861969, cm=0.009688004851341248
  Angle 7: cl=0.67450350522995, cd=0.09595352411270142, cm=0.011871933937072754
  Angle 8: cl=0.7649001479148865, cd=0.10153354704380035, cm=0.01097002625465393
  Angle 9: cl=0.859091579914093, cd=0.10552999377250671, cm=0.0027475059032440186
  Angle 10: cl=0.9586947560310364, cd=0.11011051386594772, cm=-0.005263224244117737
Genotype [0.0085, 0.42247580582183525, 0.12696334129358675, -0.9, 0.25860878586865477, -0.015469526401476051, 0.08362479705062663, -0.003, 0.0025, 7.127661621175417, 11.017806075317262]:
  Angle -10: cl=-0.5603801608085632, cd=0.2140941023826599, cm=-0.17682640254497528
  Angle -9: cl=-0.5968784689903259, cd=0.18369713425636292, cm=-0.17138098180294037
  Angle -8: cl=-0.6398386359214783, cd=0.15733478963375092, cm=-0.1631796509027481
  Angle -7: cl=-0.6781601905822754, cd=0.13080577552318573, cm=-0.15582524240016937
  Angle -6: cl=-0.6493116617202759, cd=0.11712774634361267, cm=-0.14596430957317352
  Angle -5: cl=-0.5132415294647217, cd=0.10077963024377823, cm=-0.1344819813966751
  Angle -4: cl=-0.4054189920425415, cd=0.08918089419603348, cm=-0.1172044426202774
  Angle -3: cl=-0.3227989971637726, cd=0.08149974793195724, cm=-0.09356020390987396
  Angle -2: cl=-0.2415897250175476, cd=0.07635080814361572, cm=-0.06890721619129181
  Angle -1: cl=-0.1885392963886261, cd=0.0750855803489685, cm=-0.04215620458126068
  Angle 0: cl=-0.1425280123949051, cd=0.0821973904967308, cm=-0.023849114775657654
  Angle 1: cl=-0.09012337028980255, cd=0.0908622220158577, cm=-0.0035188645124435425
  Angle 2: cl=-0.006741443648934364, cd=0.09590788185596466, cm=0.010436877608299255
  Angle 3: cl=0.15468022227287292, cd=0.0925360918045044, cm=0.018576636910438538
  Angle 4: cl=0.2318018674850464, cd=0.09754996746778488, cm=0.02378810942173004
  Angle 5: cl=0.3032635748386383, cd=0.10024747997522354, cm=0.0205061137676239
  Angle 6: cl=0.3856063783168793, cd=0.10255248099565506, cm=0.015759125351905823
  Angle 7: cl=0.4809127449989319, cd=0.10391541570425034, cm=0.010112166404724121
  Angle 8: cl=0.5767418742179871, cd=0.10528922826051712, cm=0.004296541213989258
  Angle 9: cl=0.6729294657707214, cd=0.10659028589725494, cm=-0.004503890872001648
  Angle 10: cl=0.7929395437240601, cd=0.10620603710412979, cm=-0.028164610266685486
Genotype [0.0085, 0.42247580582183525, 0.12696334129358675, -0.9, 0.25860878586865477, -0.023, 0.08362479705062663, -0.003, 0.0025, 7.084386625654304, 11.017806075317262]:
  Angle -10: cl=-0.568553626537323, cd=0.2327389270067215, cm=-0.1863621324300766
  Angle -9: cl=-0.6046232581138611, cd=0.2021009773015976, cm=-0.1784462183713913
  Angle -8: cl=-0.6405444741249084, cd=0.17059050500392914, cm=-0.17324228584766388
  Angle -7: cl=-0.6713613271713257, cd=0.13680167496204376, cm=-0.1673612743616104
  Angle -6: cl=-0.6336304545402527, cd=0.12132763862609863, cm=-0.15565921366214752
  Angle -5: cl=-0.5206738114356995, cd=0.10811850428581238, cm=-0.14424119889736176
  Angle -4: cl=-0.4005488455295563, cd=0.09632018953561783, cm=-0.13180400431156158
  Angle -3: cl=-0.28213000297546387, cd=0.08698668330907822, cm=-0.11857639253139496
