Experiment: Combination_Experiment_188
Generation: 86
Timestamp: 20231226_142901

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.244309197001949, 10.875936389887118] - Fitness: 0.18509144862211052
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.79224693300027] - Fitness: 0.1950420251524982
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.822645631453117] - Fitness: 0.19170529536517175
[0.0085, 0.44909799436246145, 0.13, -0.8890000722979787, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.266587256873489, 10.833321649622828] - Fitness: 0.18161788858180195
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.868190056216505] - Fitness: 0.18670395791062458
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.168058189235689, 10.79224693300027] - Fitness: 0.1975570652851202
[0.0085, 0.46, 0.13, -0.8890000722979787, 0.26, -0.023, 0.06113149679243793, -0.003, 0.0025, 7.2722165488250985, 10.79224693300027] - Fitness: 0.18609690536598728
[0.0085, 0.46, 0.13, -0.8806002330248643, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.226643973095159, 10.827373610304889] - Fitness: -0.44376150604937936
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.819340734720868] - Fitness: 0.19206804857846443
[0.0085, 0.46, 0.13, -0.8890000722979787, 0.23153137872097615, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.827373610304889] - Fitness: -0.5405312957974302
[0.0085, 0.46, 0.13, -0.9, 0.24826910673219083, -0.023, 0.05, -0.003, 0.0025, 7.226321347849796, 10.847359252769662] - Fitness: -0.07942616774895178
[0.0085, 0.46, 0.13, -0.8890000722979787, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.836404522724548] - Fitness: 0.18947314740520388
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.2040078461353465, 10.836404522724548] - Fitness: -0.26369396453601607
[0.0126, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2733168086077225, 10.758742528729172] - Fitness: -0.5170937598584373
[0.0085, 0.46, 0.13, -0.8890000722979787, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.82989101670139] - Fitness: 0.19018814995528585
[0.0085, 0.46, 0.11787317532381911, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.203936408872729, 10.847359252769662] - Fitness: -0.26340741552281083
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.833321649622828] - Fitness: 0.1905332371756046
[0.0126, 0.46, 0.13, -0.8890000722979787, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.79224693300027] - Fitness: -0.519258465066951
[0.0085, 0.46, 0.11, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.818986469380265] - Fitness: -0.5328633579284058
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.857364619953218] - Fitness: 0.18789273590658526
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.836404522724548] - Fitness: 0.19019421557105154
[0.0085, 0.46, 0.13, -0.8890000722979787, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.827373610304889] - Fitness: 0.19046483386486202
[0.0085, 0.46, 0.13, -0.8890000722979787, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.827373610304889] - Fitness: 0.19046483386486202
[0.0085, 0.46, 0.13, -0.8890000722979787, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.827373610304889] - Fitness: 0.19046483386486202
[0.0085, 0.46, 0.13, -0.8890000722979787, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.827373610304889] - Fitness: 0.19046483386486202
[0.0085, 0.46, 0.13, -0.8890000722979787, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.827373610304889] - Fitness: 0.19046483386486202
[0.0085, 0.46, 0.13, -0.8890000722979787, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.827373610304889] - Fitness: 0.19046483386486202
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.833321649622828] - Fitness: 0.1905332371756046
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.833321649622828] - Fitness: 0.1905332371756046
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.833321649622828] - Fitness: 0.1905332371756046
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.002527986459655738, 7.26113416981129, 10.79224693300027] - Fitness: 0.1905918433136104
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.211000840203866, 10.836404522724548] - Fitness: 0.19086689603029544
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.211000840203866, 10.836404522724548] - Fitness: 0.19086689603029544
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.82989101670139] - Fitness: 0.19090953481354855
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.82989101670139] - Fitness: 0.19090953481354855
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.827373610304889] - Fitness: 0.191185764123825
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.827373610304889] - Fitness: 0.191185764123825
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.827373610304889] - Fitness: 0.191185764123825
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.822645631453117] - Fitness: 0.19170529536517175
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.822645631453117] - Fitness: 0.19170529536517175
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.819340734720868] - Fitness: 0.19206804857846443
[0.0085, 0.46, 0.13, -0.8890000722979787, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2733168086077225, 10.79224693300027] - Fitness: 0.1923155228658761
[0.0085, 0.46, 0.13, -0.8890000722979787, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2733168086077225, 10.79224693300027] - Fitness: 0.1923155228658761
[0.0085, 0.46, 0.13, -0.8806002330248643, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.79224693300027] - Fitness: 0.19377121387023932
[0.0085, 0.46, 0.13, -0.8890000722979787, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.79224693300027] - Fitness: 0.1943209945319687
[0.0085, 0.46, 0.13, -0.8890000722979787, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.79224693300027] - Fitness: 0.1943209945319687
[0.0085, 0.46, 0.13, -0.8890000722979787, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.79224693300027] - Fitness: 0.1943209945319687
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.79224693300027] - Fitness: 0.1950420251524982
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.79224693300027] - Fitness: 0.1950420251524982
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.2733168086077225, 10.749349606107144] - Fitness: 0.19774593723756254

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.244309197001949, 10.875936389887118]:
  Angle -10: cl=-0.5652557015419006, cd=0.2334296852350235, cm=-0.1896296888589859
  Angle -9: cl=-0.5932168364524841, cd=0.2006460577249527, cm=-0.18577007949352264
  Angle -8: cl=-0.6160663962364197, cd=0.16563378274440765, cm=-0.1842534989118576
  Angle -7: cl=-0.6549506783485413, cd=0.13073919713497162, cm=-0.1794889122247696
  Angle -6: cl=-0.6115801334381104, cd=0.11592712253332138, cm=-0.16466368734836578
  Angle -5: cl=-0.5053893327713013, cd=0.1043718159198761, cm=-0.1515725702047348
  Angle -4: cl=-0.41182950139045715, cd=0.09907285124063492, cm=-0.13846330344676971
  Angle -3: cl=-0.30983224511146545, cd=0.09317154437303543, cm=-0.12477405369281769
  Angle -2: cl=-0.23030856251716614, cd=0.08771424740552902, cm=-0.10279713571071625
  Angle -1: cl=-0.16938935220241547, cd=0.08300399780273438, cm=-0.07358674705028534
  Angle 0: cl=-0.09966367483139038, cd=0.082218699157238, cm=-0.04506285488605499
  Angle 1: cl=-0.016659030690789223, cd=0.08266895264387131, cm=-0.022941216826438904
  Angle 2: cl=0.06670287251472473, cd=0.08349534869194031, cm=-0.007583990693092346
  Angle 3: cl=0.2958618104457855, cd=0.06850949674844742, cm=-0.00233304500579834
  Angle 4: cl=0.40972620248794556, cd=0.07281249016523361, cm=0.001912921667098999
  Angle 5: cl=0.5084513425827026, cd=0.0810885950922966, cm=0.005359172821044922
  Angle 6: cl=0.6014768481254578, cd=0.08826718479394913, cm=0.007663235068321228
  Angle 7: cl=0.6913394927978516, cd=0.09486197680234909, cm=0.010023683309555054
  Angle 8: cl=0.7814689874649048, cd=0.1013593077659607, cm=0.011472463607788086
  Angle 9: cl=0.8761983513832092, cd=0.10537130385637283, cm=0.003304198384284973
  Angle 10: cl=0.9757496118545532, cd=0.11009631305932999, cm=-0.0046813637018203735
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.79224693300027]:
  Angle -10: cl=-0.565445601940155, cd=0.23361016809940338, cm=-0.1897091418504715
  Angle -9: cl=-0.593226969242096, cd=0.20082172751426697, cm=-0.18583934009075165
  Angle -8: cl=-0.6160733699798584, cd=0.1658318191766739, cm=-0.18438296020030975
  Angle -7: cl=-0.6549343466758728, cd=0.1308978945016861, cm=-0.17969365417957306
  Angle -6: cl=-0.6111282110214233, cd=0.11609985679388046, cm=-0.16489742696285248
  Angle -5: cl=-0.5048477649688721, cd=0.10443016141653061, cm=-0.15175075829029083
  Angle -4: cl=-0.4112744629383087, cd=0.09911634773015976, cm=-0.1386716514825821
  Angle -3: cl=-0.3093491792678833, cd=0.09324205666780472, cm=-0.12501971423625946
  Angle -2: cl=-0.22944048047065735, cd=0.08780650049448013, cm=-0.10318590700626373
  Angle -1: cl=-0.16850365698337555, cd=0.08308350294828415, cm=-0.07397811114788055
  Angle 0: cl=-0.09841105341911316, cd=0.08228501677513123, cm=-0.045517489314079285
  Angle 1: cl=-0.015339424833655357, cd=0.08270592987537384, cm=-0.02335156500339508
  Angle 2: cl=0.06816012412309647, cd=0.08355854451656342, cm=-0.008038029074668884
  Angle 3: cl=0.29722321033477783, cd=0.06859579682350159, cm=-0.0027972161769866943
  Angle 4: cl=0.41187819838523865, cd=0.07266296446323395, cm=0.0016718655824661255
  Angle 5: cl=0.510598361492157, cd=0.08093712478876114, cm=0.005117893218994141
  Angle 6: cl=0.6033950448036194, cd=0.08813153952360153, cm=0.007429167628288269
  Angle 7: cl=0.6932523250579834, cd=0.09472692012786865, cm=0.009810134768486023
  Angle 8: cl=0.7833709120750427, cd=0.10133131593465805, cm=0.01153653860092163
  Angle 9: cl=0.8781417608261108, cd=0.10534597188234329, cm=0.0033749938011169434
  Angle 10: cl=0.9777048826217651, cd=0.11018499732017517, cm=-0.004599317908287048
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.822645631453117]:
  Angle -10: cl=-0.5654049515724182, cd=0.23357027769088745, cm=-0.1896866112947464
  Angle -9: cl=-0.5932571291923523, cd=0.20078709721565247, cm=-0.18581350147724152
  Angle -8: cl=-0.6161049008369446, cd=0.165789395570755, cm=-0.18433628976345062
  Angle -7: cl=-0.6549733877182007, cd=0.1308620572090149, cm=-0.17963187396526337
  Angle -6: cl=-0.6113114953041077, cd=0.11605889350175858, cm=-0.16482804715633392
  Angle -5: cl=-0.5050709247589111, cd=0.10441961139440536, cm=-0.15169589221477509
  Angle -4: cl=-0.4114587604999542, cd=0.09910226613283157, cm=-0.13861258327960968
  Angle -3: cl=-0.30951160192489624, cd=0.09322021901607513, cm=-0.12495054304599762
  Angle -2: cl=-0.2296929955482483, cd=0.08777748793363571, cm=-0.10308195650577545
  Angle -1: cl=-0.16876424849033356, cd=0.08305768668651581, cm=-0.0738738626241684
  Angle 0: cl=-0.09880392253398895, cd=0.08226381242275238, cm=-0.04539065062999725
  Angle 1: cl=-0.015756776556372643, cd=0.0826912373304367, cm=-0.023233696818351746
  Angle 2: cl=0.06770298629999161, cd=0.08353661745786667, cm=-0.007907137274742126
  Angle 3: cl=0.2966887056827545, cd=0.06857825070619583, cm=-0.0026564300060272217
  Angle 4: cl=0.41118213534355164, cd=0.0727020800113678, cm=0.0017455369234085083
  Angle 5: cl=0.509908139705658, cd=0.08097674697637558, cm=0.005192026495933533
  Angle 6: cl=0.6027675271034241, cd=0.08816786110401154, cm=0.0075027793645858765
  Angle 7: cl=0.6926266551017761, cd=0.09476305544376373, cm=0.009876713156700134
  Angle 8: cl=0.7827455997467041, cd=0.10133637487888336, cm=0.011524513363838196
  Angle 9: cl=0.8774996399879456, cd=0.10534945130348206, cm=0.003361061215400696
  Angle 10: cl=0.9770656824111938, cd=0.11014245450496674, cm=-0.004617616534233093
Genotype [0.0085, 0.44909799436246145, 0.13, -0.8890000722979787, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.266587256873489, 10.833321649622828]:
  Angle -10: cl=-0.5607348084449768, cd=0.2337847799062729, cm=-0.18934576213359833
  Angle -9: cl=-0.5956014394760132, cd=0.20248349010944366, cm=-0.18315710127353668
  Angle -8: cl=-0.6182472109794617, cd=0.1671132594347, cm=-0.18108205497264862
  Angle -7: cl=-0.6508455276489258, cd=0.13262900710105896, cm=-0.1768052726984024
  Angle -6: cl=-0.6140726208686829, cd=0.11693169176578522, cm=-0.1626719981431961
  Angle -5: cl=-0.507236897945404, cd=0.10545606166124344, cm=-0.1497870832681656
  Angle -4: cl=-0.40217259526252747, cd=0.09816812723875046, cm=-0.13792569935321808
  Angle -3: cl=-0.2991580367088318, cd=0.09188220649957657, cm=-0.12370045483112335
  Angle -2: cl=-0.2186070829629898, cd=0.08620864897966385, cm=-0.1023159772157669
  Angle -1: cl=-0.15863116085529327, cd=0.0820665955543518, cm=-0.0729193240404129
  Angle 0: cl=-0.09523266553878784, cd=0.08157528936862946, cm=-0.04331611096858978
  Angle 1: cl=-0.01365542970597744, cd=0.08204437047243118, cm=-0.020418748259544373
  Angle 2: cl=0.06837362051010132, cd=0.08276595175266266, cm=-0.0046844035387039185
  Angle 3: cl=0.307296484708786, cd=0.06794505566358566, cm=-0.0004885494709014893
  Angle 4: cl=0.4016765356063843, cd=0.07373572140932083, cm=0.004447907209396362
  Angle 5: cl=0.4996539354324341, cd=0.08207706362009048, cm=0.007832437753677368
  Angle 6: cl=0.5904634594917297, cd=0.08954360336065292, cm=0.010654672980308533
  Angle 7: cl=0.6812113523483276, cd=0.09611957520246506, cm=0.012602746486663818
  Angle 8: cl=0.7716741561889648, cd=0.10152622312307358, cm=0.01139095425605774
  Angle 9: cl=0.8648560047149658, cd=0.10532648861408234, cm=0.003211379051208496
  Angle 10: cl=0.9647694826126099, cd=0.10992608219385147, cm=-0.004775002598762512
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.226643973095159, 10.868190056216505]:
  Angle -10: cl=-0.5653436779975891, cd=0.23351044952869415, cm=-0.18965287506580353
  Angle -9: cl=-0.5933027863502502, cd=0.2007352113723755, cm=-0.18577484786510468
  Angle -8: cl=-0.6161519885063171, cd=0.1657259613275528, cm=-0.1842663735151291
  Angle -7: cl=-0.6550305485725403, cd=0.13080832362174988, cm=-0.1795392483472824
  Angle -6: cl=-0.6115864515304565, cd=0.11599747836589813, cm=-0.16472406685352325
  Angle -5: cl=-0.5054054260253906, cd=0.10440384596586227, cm=-0.15161354839801788
  Angle -4: cl=-0.41173481941223145, cd=0.0990811213850975, cm=-0.13852398097515106
  Angle -3: cl=-0.3097555339336395, cd=0.09318751096725464, cm=-0.12484671175479889
