Experiment: Combination_Experiment_20
Generation: 23
Timestamp: 20231225_233117

Genotypes and their Fitness Values:
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.26, -0.02281331108226445, 0.17958478393178373, -0.0033659888224858736, 0.0025, 7.304335206922309, 10.551334316753046] - Fitness: 0.013932944385361985
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.26, -0.02281331108226445, 0.17958478393178373, -0.0033369543336834342, 0.0028130356888987312, 8.112323547652366, 10.551334316753046] - Fitness: -0.06321206691418892
[0.0085, 0.46, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.02281331108226445, 0.05, -0.0033659888224858736, 0.0025, 8.534705320877453, 10.88981434386984] - Fitness: -0.022911476254439064
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.05, -0.0033659888224858736, 0.0025, 8.112323547652366, 10.551334316753046] - Fitness: 0.05098797309412338
[0.008882308695378363, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0025, 7.304335206922309, 10.551334316753046] - Fitness: -0.016761575242958685
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0025, 7.0, 10.88981434386984] - Fitness: 0.04081428277675011
[0.0085, 0.46, 0.12907553563890378, -0.9, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0025, 8.112323547652366, 10.551334316753046] - Fitness: 0.025481274277220883
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033659888224858736, 0.0028130356888987312, 7.18866438918895, 10.396549703944407] - Fitness: 0.045004821160257294
[0.0085, 0.46, 0.12907553563890378, -0.9, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0028130356888987312, 7.304335206922309, 10.551334316753046] - Fitness: 0.036634428321419915
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.05, -0.0033659888224858736, 0.0025, 7.18866438918895, 10.396549703944407] - Fitness: 0.11778092367086337
[0.008882308695378363, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0025, 8.112323547652366, 10.551334316753046] - Fitness: -0.06430316673708425
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.26, -0.02281331108226445, 0.17958478393178373, -0.0033659888224858736, 0.0025, 8.112323547652366, 10.551334316753046] - Fitness: -0.03329718948360785
[0.0085, 0.46, 0.12907553563890378, -0.9, 0.25945401973388765, -0.023, 0.05, -0.0033659888224858736, 0.0028130356888987312, 7.18866438918895, 10.396549703944407] - Fitness: 0.09403741867303197
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0028130356888987312, 8.112323547652366, 10.551334316753046] - Fitness: -0.019186747325678835
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.26, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0028130356888987312, 7.304335206922309, 10.551334316753046] - Fitness: 0.039019844710329064
[0.008882308695378363, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0028130356888987312, 8.112323547652366, 10.551334316753046] - Fitness: -0.09998255612943488
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0028130356888987312, 7.304335206922309, 10.551334316753046] - Fitness: 0.027038460958204887
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.7, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0025, 7.304335206922309, 10.551334316753046] - Fitness: 0.05190034127089886
[0.0085, 0.46, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.05, -0.0033659888224858736, 0.0025, 7.0, 10.88981434386984] - Fitness: 0.08269782549974264
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0025, 8.112323547652366, 10.551334316753046] - Fitness: 0.016760264606721895
[0.0085, 0.46, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.05, -0.0033659888224858736, 0.0028130356888987312, 8.112323547652366, 10.551334316753046] - Fitness: 0.02012618201390601
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0028130356888987312, 7.18866438918895, 10.396549703944407] - Fitness: 0.05029962726876806
[0.0085, 0.46, 0.12907553563890378, -0.9, 0.25945401973388765, -0.023, 0.05, -0.0033659888224858736, 0.0025, 7.0, 10.88981434386984] - Fitness: 0.08569818839807605
[0.008882308695378363, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.02281331108226445, 0.05, -0.0033659888224858736, 0.0025, 7.0, 11.28242557674314] - Fitness: -0.06275832402733168
[0.0085, 0.46, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.02281331108226445, 0.05, -0.0033659888224858736, 0.0025, 7.0, 11.28242557674314] - Fitness: 0.023250978080620592
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.26, -0.02281331108226445, 0.17958478393178373, -0.0033369543336834342, 0.0025, 7.0, 10.88981434386984] - Fitness: -0.001366877053800373
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.26, -0.02281331108226445, 0.17958478393178373, -0.0033369543336834342, 0.0025, 7.0, 10.88981434386984] - Fitness: -0.001366877053800373
[0.008882308695378363, 0.46, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.05, -0.0033659888224858736, 0.0025, 7.0, 10.88981434386984] - Fitness: 0.0026280037142389456
[0.008882308695378363, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.05, -0.0033659888224858736, 0.0028130356888987312, 7.18866438918895, 10.396549703944407] - Fitness: 0.004554593137927266
[0.008882308695378363, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.05, -0.0033659888224858736, 0.0028130356888987312, 7.18866438918895, 10.396549703944407] - Fitness: 0.004554593137927266
[0.008882308695378363, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0025, 7.18866438918895, 10.396549703944407] - Fitness: 0.007314535704732287
[0.008882308695378363, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0025, 7.18866438918895, 10.396549703944407] - Fitness: 0.007314535704732287
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0025, 8.112323547652366, 10.551334316753046] - Fitness: 0.016760264606721895
[0.0085, 0.46, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.02281331108226445, 0.05, -0.0033659888224858736, 0.0025, 7.0, 11.28242557674314] - Fitness: 0.023250978080620592
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0028130356888987312, 7.304335206922309, 10.551334316753046] - Fitness: 0.027038460958204887
[0.0085, 0.46, 0.12907553563890378, -0.9, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0028130356888987312, 7.304335206922309, 10.551334316753046] - Fitness: 0.036634428321419915
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.26, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0028130356888987312, 7.304335206922309, 10.551334316753046] - Fitness: 0.039019844710329064
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.26, -0.02281331108226445, 0.17958478393178373, -0.0033369543336834342, 0.0025, 7.18866438918895, 10.396549703944407] - Fitness: 0.042896958035888735
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033659888224858736, 0.0028130356888987312, 7.18866438918895, 10.396549703944407] - Fitness: 0.045004821160257294
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033659888224858736, 0.0028130356888987312, 7.18866438918895, 10.396549703944407] - Fitness: 0.045004821160257294
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033659888224858736, 0.0028130356888987312, 7.18866438918895, 10.396549703944407] - Fitness: 0.045004821160257294
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0028130356888987312, 7.18866438918895, 10.396549703944407] - Fitness: 0.05029962726876806
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.05, -0.0033659888224858736, 0.0025, 8.112323547652366, 10.551334316753046] - Fitness: 0.05098797309412338
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.02281331108226445, 0.05, -0.0033659888224858736, 0.0025, 7.0, 10.88981434386984] - Fitness: 0.05810272054846364
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0025, 7.304335206922309, 10.551334316753046] - Fitness: 0.06202386742447376
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0025, 7.304335206922309, 10.551334316753046] - Fitness: 0.06202386742447376
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0025, 7.304335206922309, 10.551334316753046] - Fitness: 0.06202386742447376
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0025, 7.304335206922309, 10.551334316753046] - Fitness: 0.06202386742447376
[0.0085, 0.46, 0.12907553563890378, -0.9, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0025, 7.304335206922309, 10.551334316753046] - Fitness: 0.07281676069766821
[0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.05, -0.0033659888224858736, 0.0028130356888987312, 7.18866438918895, 10.396549703944407] - Fitness: 0.08251245009730131

Detailed Results for Each Genotype:
Genotype [0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.26, -0.02281331108226445, 0.17958478393178373, -0.0033659888224858736, 0.0025, 7.304335206922309, 10.551334316753046]:
  Angle -10: cl=-0.5640727281570435, cd=0.22515200078487396, cm=-0.1859055906534195
  Angle -9: cl=-0.5985707640647888, cd=0.19458156824111938, cm=-0.18099476397037506
  Angle -8: cl=-0.622053861618042, cd=0.15949773788452148, cm=-0.17873753607273102
  Angle -7: cl=-0.6588685512542725, cd=0.12489942461252213, cm=-0.17142467200756073
  Angle -6: cl=-0.613684356212616, cd=0.11416414380073547, cm=-0.158211812376976
  Angle -5: cl=-0.49901455640792847, cd=0.1023135557770729, cm=-0.14590157568454742
  Angle -4: cl=-0.39969706535339355, cd=0.09592843055725098, cm=-0.1322460025548935
  Angle -3: cl=-0.29611608386039734, cd=0.08920712769031525, cm=-0.11720450222492218
  Angle -2: cl=-0.23044228553771973, cd=0.08317270129919052, cm=-0.09048224985599518
  Angle -1: cl=-0.17164085805416107, cd=0.08026047796010971, cm=-0.06066201627254486
  Angle 0: cl=-0.10818018019199371, cd=0.08052075654268265, cm=-0.03250564634799957
  Angle 1: cl=-0.03978922963142395, cd=0.08107123523950577, cm=-0.00853051245212555
  Angle 2: cl=0.040738143026828766, cd=0.08654702454805374, cm=0.0023301690816879272
  Angle 3: cl=0.2730667293071747, cd=0.07485277205705643, cm=0.003972932696342468
  Angle 4: cl=0.36187201738357544, cd=0.0804128497838974, cm=0.009506508708000183
  Angle 5: cl=0.4585765600204468, cd=0.08669374138116837, cm=0.012850359082221985
  Angle 6: cl=0.5536351203918457, cd=0.09377257525920868, cm=0.015203788876533508
  Angle 7: cl=0.646856427192688, cd=0.09977156668901443, cm=0.015542149543762207
  Angle 8: cl=0.738442599773407, cd=0.10283849388360977, cm=0.008364319801330566
  Angle 9: cl=0.8306499123573303, cd=0.10662353038787842, cm=8.730590343475342e-05
  Angle 10: cl=0.9299693703651428, cd=0.1111915111541748, cm=-0.008092865347862244
Genotype [0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.26, -0.02281331108226445, 0.17958478393178373, -0.0033369543336834342, 0.0028130356888987312, 8.112323547652366, 10.551334316753046]:
  Angle -10: cl=-0.557780921459198, cd=0.2210167795419693, cm=-0.1853761523962021
  Angle -9: cl=-0.5918559432029724, cd=0.1904013454914093, cm=-0.1808161586523056
  Angle -8: cl=-0.6152756810188293, cd=0.1552981436252594, cm=-0.17792539298534393
  Angle -7: cl=-0.650557816028595, cd=0.12266971170902252, cm=-0.16958899796009064
  Angle -6: cl=-0.6117815971374512, cd=0.11245288699865341, cm=-0.15611369907855988
  Angle -5: cl=-0.5020673871040344, cd=0.10163585096597672, cm=-0.14337347447872162
  Angle -4: cl=-0.4031863808631897, cd=0.09532451629638672, cm=-0.12904192507266998
  Angle -3: cl=-0.30691730976104736, cd=0.08841285109519958, cm=-0.11125873029232025
  Angle -2: cl=-0.24194559454917908, cd=0.08241716027259827, cm=-0.08443386852741241
  Angle -1: cl=-0.18271660804748535, cd=0.07957488298416138, cm=-0.05417783558368683
  Angle 0: cl=-0.1183738261461258, cd=0.08028362691402435, cm=-0.027234867215156555
  Angle 1: cl=-0.05304887145757675, cd=0.08409497886896133, cm=-0.0064873844385147095
  Angle 2: cl=0.026749709621071815, cd=0.08957701921463013, cm=0.004744037985801697
  Angle 3: cl=0.25655871629714966, cd=0.07836286723613739, cm=0.006047114729881287
  Angle 4: cl=0.34503173828125, cd=0.08399665355682373, cm=0.011616647243499756
  Angle 5: cl=0.43944600224494934, cd=0.0902327373623848, cm=0.015272840857505798
  Angle 6: cl=0.5371782779693604, cd=0.09597516059875488, cm=0.017237961292266846
  Angle 7: cl=0.632046639919281, cd=0.10052170604467392, cm=0.013872727751731873
  Angle 8: cl=0.7238647937774658, cd=0.10368894040584564, cm=0.006596192717552185
  Angle 9: cl=0.8162341713905334, cd=0.10753844678401947, cm=-0.0017526745796203613
  Angle 10: cl=0.9145376086235046, cd=0.11235760897397995, cm=-0.010912522673606873
Genotype [0.0085, 0.46, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.02281331108226445, 0.05, -0.0033659888224858736, 0.0025, 8.534705320877453, 10.88981434386984]:
  Angle -10: cl=-0.5610143542289734, cd=0.2211993932723999, cm=-0.1870993822813034
  Angle -9: cl=-0.5912533402442932, cd=0.18906952440738678, cm=-0.18350397050380707
  Angle -8: cl=-0.6146679520606995, cd=0.15392877161502838, cm=-0.1808951050043106
  Angle -7: cl=-0.6567726731300354, cd=0.12036989629268646, cm=-0.1723681539297104
  Angle -6: cl=-0.6072525978088379, cd=0.1114797294139862, cm=-0.15793831646442413
  Angle -5: cl=-0.5096406936645508, cd=0.10254973918199539, cm=-0.14427213370800018
  Angle -4: cl=-0.4103967547416687, cd=0.09665005654096603, cm=-0.13060472905635834
  Angle -3: cl=-0.31216931343078613, cd=0.08978704363107681, cm=-0.11351020634174347
  Angle -2: cl=-0.24866539239883423, cd=0.08397698402404785, cm=-0.08593092858791351
  Angle -1: cl=-0.18901559710502625, cd=0.08084006607532501, cm=-0.0559302419424057
  Angle 0: cl=-0.12206915020942688, cd=0.08133042603731155, cm=-0.02950747311115265
  Angle 1: cl=-0.05132134258747101, cd=0.08324970304965973, cm=-0.007899805903434753
  Angle 2: cl=0.03134872019290924, cd=0.08848324418067932, cm=0.0030383020639419556
  Angle 3: cl=0.26642829179763794, cd=0.07643112540245056, cm=0.0038627833127975464
  Angle 4: cl=0.35819011926651, cd=0.08203580975532532, cm=0.009122446179389954
  Angle 5: cl=0.45695894956588745, cd=0.08793613314628601, cm=0.012149527668952942
  Angle 6: cl=0.5554295182228088, cd=0.09453849494457245, cm=0.01405400037765503
  Angle 7: cl=0.6480576992034912, cd=0.10030843317508698, cm=0.014040514826774597
  Angle 8: cl=0.7398210167884827, cd=0.10348779708147049, cm=0.006743341684341431
  Angle 9: cl=0.8339104652404785, cd=0.10757742822170258, cm=-0.001644730567932129
  Angle 10: cl=0.9321418404579163, cd=0.11230404675006866, cm=-0.010430887341499329
Genotype [0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.05, -0.0033659888224858736, 0.0025, 8.112323547652366, 10.551334316753046]:
  Angle -10: cl=-0.5614638924598694, cd=0.22413121163845062, cm=-0.1862349659204483
  Angle -9: cl=-0.5955639481544495, cd=0.1935100108385086, cm=-0.18153630197048187
  Angle -8: cl=-0.6180038452148438, cd=0.15817159414291382, cm=-0.17948506772518158
  Angle -7: cl=-0.6551111936569214, cd=0.12407591193914413, cm=-0.1718858927488327
  Angle -6: cl=-0.6085227131843567, cd=0.11372081190347672, cm=-0.15843309462070465
  Angle -5: cl=-0.49513858556747437, cd=0.10206382721662521, cm=-0.14608804881572723
  Angle -4: cl=-0.3976649343967438, cd=0.0960879772901535, cm=-0.13215111196041107
  Angle -3: cl=-0.2946658134460449, cd=0.0893603265285492, cm=-0.11691762506961823
  Angle -2: cl=-0.23047399520874023, cd=0.08340022712945938, cm=-0.08978046476840973
  Angle -1: cl=-0.1710519790649414, cd=0.08065421879291534, cm=-0.059728994965553284
  Angle 0: cl=-0.10661795735359192, cd=0.08096610009670258, cm=-0.031990692019462585
  Angle 1: cl=-0.036448344588279724, cd=0.08146866410970688, cm=-0.00818614661693573
  Angle 2: cl=0.044327057898044586, cd=0.086939737200737, cm=0.0026613473892211914
  Angle 3: cl=0.27809086441993713, cd=0.07511508464813232, cm=0.0038978755474090576
  Angle 4: cl=0.3676122725009918, cd=0.08068566769361496, cm=0.009233936667442322
  Angle 5: cl=0.46425682306289673, cd=0.0872228741645813, cm=0.012626662850379944
  Angle 6: cl=0.5598869323730469, cd=0.09417644888162613, cm=0.014812871813774109
  Angle 7: cl=0.6529732346534729, cd=0.10006461292505264, cm=0.014963403344154358
  Angle 8: cl=0.7448056936264038, cd=0.10320501029491425, cm=0.007695600390434265
  Angle 9: cl=0.8378004431724548, cd=0.10708115994930267, cm=-0.0006122291088104248
  Angle 10: cl=0.9369097948074341, cd=0.11168459802865982, cm=-0.008896991610527039
Genotype [0.008882308695378363, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0025, 7.304335206922309, 10.551334316753046]:
  Angle -10: cl=-0.5628668665885925, cd=0.22383476793766022, cm=-0.1854873150587082
  Angle -9: cl=-0.5970677137374878, cd=0.19327756762504578, cm=-0.18085630238056183
  Angle -8: cl=-0.6204193234443665, cd=0.15809223055839539, cm=-0.17848674952983856
  Angle -7: cl=-0.656686007976532, cd=0.12402458488941193, cm=-0.17018736898899078
  Angle -6: cl=-0.6143653988838196, cd=0.11359953135251999, cm=-0.15711461007595062
  Angle -5: cl=-0.5000187754631042, cd=0.10185331106185913, cm=-0.14485584199428558
  Angle -4: cl=-0.40264415740966797, cd=0.0958423912525177, cm=-0.13091199100017548
  Angle -3: cl=-0.30116167664527893, cd=0.08908431231975555, cm=-0.11511598527431488
  Angle -2: cl=-0.23515519499778748, cd=0.08300662785768509, cm=-0.08838631212711334
  Angle -1: cl=-0.17645753920078278, cd=0.08007760345935822, cm=-0.05860401690006256
  Angle 0: cl=-0.11253273487091064, cd=0.08046543598175049, cm=-0.03073488175868988
  Angle 1: cl=-0.04573815315961838, cd=0.08211112767457962, cm=-0.007695481181144714
  Angle 2: cl=0.034923113882541656, cd=0.08757265657186508, cm=0.00315915048122406
  Angle 3: cl=0.2676003575325012, cd=0.07597830146551132, cm=0.004737198352813721
  Angle 4: cl=0.35607585310935974, cd=0.08156227320432663, cm=0.010320350527763367
  Angle 5: cl=0.4528060555458069, cd=0.08771587163209915, cm=0.013704359531402588
  Angle 6: cl=0.5483656525611877, cd=0.0944223403930664, cm=0.01590849459171295
  Angle 7: cl=0.6420161128044128, cd=0.09994634985923767, cm=0.015052229166030884
  Angle 8: cl=0.7337257266044617, cd=0.10306859016418457, cm=0.007826730608940125
  Angle 9: cl=0.8262103796005249, cd=0.10686606913805008, cm=-0.00042885541915893555
  Angle 10: cl=0.9252758622169495, cd=0.1114971861243248, cm=-0.008902445435523987
Genotype [0.0085, 0.44989941714219656, 0.12907553563890378, -0.8558008346177722, 0.25945401973388765, -0.023, 0.11372598317802421, -0.0033369543336834342, 0.0025, 7.0, 10.88981434386984]:
  Angle -10: cl=-0.5653673410415649, cd=0.2277298867702484, cm=-0.18676592409610748
  Angle -9: cl=-0.6007538437843323, cd=0.1970805525779724, cm=-0.18131987750530243
  Angle -8: cl=-0.624249279499054, cd=0.16204918920993805, cm=-0.17903317511081696
  Angle -7: cl=-0.6609237194061279, cd=0.12687650322914124, cm=-0.1726924628019333
  Angle -6: cl=-0.6151491403579712, cd=0.1150660440325737, cm=-0.15934737026691437
  Angle -5: cl=-0.5025457143783569, cd=0.10339723527431488, cm=-0.14696411788463593
  Angle -4: cl=-0.40003353357315063, cd=0.0963640883564949, cm=-0.13398559391498566
  Angle -3: cl=-0.29593217372894287, cd=0.08966369926929474, cm=-0.119123175740242
  Angle -2: cl=-0.22625067830085754, cd=0.08366639912128448, cm=-0.09378467500209808
  Angle -1: cl=-0.1671457141637802, cd=0.08062681555747986, cm=-0.06399981677532196
  Angle 0: cl=-0.10463574528694153, cd=0.08067718148231506, cm=-0.03524087369441986
  Angle 1: cl=-0.0336361899971962, cd=0.08084359019994736, cm=-0.011012807488441467
  Angle 2: cl=0.04674507677555084, cd=0.08499135822057724, cm=0.0011028647422790527
  Angle 3: cl=0.28028979897499084, cd=0.07299136370420456, cm=0.0029209554195404053
