Experiment: Combination_Experiment_24
Generation: 65
Timestamp: 20231225_152558

Genotypes and their Fitness Values:
[0.0085, 0.4538644797801925, 0.11, -0.9, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: -0.4735283516280863
[0.0085, 0.4538644797801925, 0.13, -0.7509458436751284, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.24829764897879802
[0.0085, 0.45961577197997977, 0.13, -0.7, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.24374176960692975
[0.0085, 0.4538644797801925, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2583215167802009
[0.0085, 0.46, 0.13, -0.7, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.24371956762381417
[0.0085, 0.46, 0.13, -0.9, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.25676181599808234
[0.0085, 0.45961577197997977, 0.13, -0.7509458436751284, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2508128513372234
[0.0085, 0.45961577197997977, 0.13, -0.9, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 8.039261780102125, 10.0] - Fitness: 0.2420903363112157
[0.0085, 0.46, 0.13, -0.7509458436751284, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2507862522120518
[0.0085, 0.45961577197997977, 0.13, -0.9, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2568014155710309
[0.0085, 0.45961577197997977, 0.13, -0.7509458436751284, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.039261780102125, 10.0] - Fitness: 0.23613290001846937
[0.0085, 0.4538644797801925, 0.13, -0.7509458436751284, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.637492465728487, 10.0] - Fitness: 0.2518746989600167
[0.0085, 0.45961577197997977, 0.13, -0.7509458436751284, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.24706918144066642
[0.0085, 0.46, 0.13, -0.7509458436751284, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 8.039261780102125, 10.0] - Fitness: 0.23229869325568728
[0.0085, 0.45961577197997977, 0.13, -0.9, 0.26, -0.022931197945789506, 0.05, -0.003, 0.0025, 8.039261780102125, 10.0] - Fitness: 0.2404984553117051
[0.0085, 0.45961577197997977, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.652210033441257, 10.0] - Fitness: 0.213121712177709
[0.0085, 0.45961577197997977, 0.13, -0.7509458436751284, 0.2, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: -1.425958363204158
[0.0085, 0.4538644797801925, 0.13, -0.9, 0.26, -0.022931197945789506, 0.05, -0.003, 0.0025, 8.039261780102125, 10.0] - Fitness: 0.23798041962864055
[0.0085, 0.4538644797801925, 0.13, -0.7509458436751284, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.24464781396463284
[0.0085, 0.45961577197997977, 0.13, -0.7509458436751284, 0.2, -0.023, 0.05, -0.003, 0.0025, 7.637492465728487, 10.0] - Fitness: -1.4238782395770941
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.022931197945789506, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2552222264897917
[0.0085, 0.45961577197997977, 0.13, -0.7509458436751284, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.24706918144066642
[0.0085, 0.45961577197997977, 0.13, -0.7509458436751284, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.24706918144066642
[0.0085, 0.45961577197997977, 0.13, -0.7509458436751284, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.24706918144066642
[0.0085, 0.4538644797801925, 0.13, -0.7509458436751284, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.24829764897879802
[0.0085, 0.4538644797801925, 0.13, -0.7509458436751284, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.24829764897879802
[0.0085, 0.4538644797801925, 0.13, -0.7509458436751284, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.24829764897879802
[0.0085, 0.4538644797801925, 0.13, -0.7509458436751284, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.24829764897879802
[0.0085, 0.4538644797801925, 0.13, -0.7509458436751284, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.24829764897879802
[0.0085, 0.46, 0.13, -0.7509458436751284, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2507862522120518
[0.0085, 0.46, 0.13, -0.7509458436751284, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2507862522120518
[0.0085, 0.46, 0.13, -0.7509458436751284, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2507862522120518
[0.0085, 0.45961577197997977, 0.13, -0.7509458436751284, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2508128513372234
[0.0085, 0.45961577197997977, 0.13, -0.7509458436751284, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2508128513372234
[0.0085, 0.45961577197997977, 0.13, -0.7509458436751284, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2508128513372234
[0.0085, 0.45961577197997977, 0.13, -0.7509458436751284, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2508128513372234
[0.0085, 0.45961577197997977, 0.13, -0.7509458436751284, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2508128513372234
[0.0085, 0.4538644797801925, 0.13, -0.9, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2546730444348735
[0.0085, 0.4538644797801925, 0.13, -0.9, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2546730444348735
[0.0085, 0.4538644797801925, 0.13, -0.9, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2546730444348735
[0.0085, 0.4538644797801925, 0.13, -0.9, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2546730444348735
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.022931197945789506, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2552222264897917
[0.0085, 0.46, 0.13, -0.9, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.25676181599808234
[0.0085, 0.45961577197997977, 0.13, -0.9, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2568014155710309
[0.0085, 0.45961577197997977, 0.13, -0.9, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2568014155710309
[0.0085, 0.45961577197997977, 0.13, -0.9, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2568014155710309
[0.0085, 0.45961577197997977, 0.13, -0.9, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2568014155710309
[0.0085, 0.4538644797801925, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2583215167802009
[0.0085, 0.45961577197997977, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0] - Fitness: 0.2605423976139901
[0.0085, 0.45961577197997977, 0.13, -0.9, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.637492465728487, 10.0] - Fitness: 0.2607497688168482

Detailed Results for Each Genotype:
Genotype [0.0085, 0.4538644797801925, 0.11, -0.9, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0]:
  Angle -10: cl=-0.6142351627349854, cd=0.2321082353591919, cm=-0.18865878880023956
  Angle -9: cl=-0.6497863531112671, cd=0.2016472965478897, cm=-0.18055321276187897
  Angle -8: cl=-0.6941998600959778, cd=0.17066369950771332, cm=-0.17472665011882782
  Angle -7: cl=-0.7152220606803894, cd=0.13911013305187225, cm=-0.1697504073381424
  Angle -6: cl=-0.6646015644073486, cd=0.12572813034057617, cm=-0.15693379938602448
  Angle -5: cl=-0.5690582394599915, cd=0.11057595163583755, cm=-0.14397625625133514
  Angle -4: cl=-0.45652076601982117, cd=0.09826438874006271, cm=-0.13189710676670074
  Angle -3: cl=-0.3248896896839142, cd=0.08617348968982697, cm=-0.12031568586826324
  Angle -2: cl=-0.2295948565006256, cd=0.07916030287742615, cm=-0.10027821362018585
  Angle -1: cl=-0.16938738524913788, cd=0.07547076046466827, cm=-0.07231627404689789
  Angle 0: cl=-0.11088791489601135, cd=0.07513376325368881, cm=-0.042235031723976135
  Angle 1: cl=-0.05250399559736252, cd=0.0759531632065773, cm=-0.015323415398597717
  Angle 2: cl=0.014331602491438389, cd=0.08123967051506042, cm=-0.0005131959915161133
  Angle 3: cl=0.18001718819141388, cd=0.07545947283506393, cm=0.004106774926185608
  Angle 4: cl=0.3128717541694641, cd=0.07495416700839996, cm=0.00917932391166687
  Angle 5: cl=0.3940434157848358, cd=0.08041145652532578, cm=0.014160305261611938
  Angle 6: cl=0.47917407751083374, cd=0.08745045214891434, cm=0.017159387469291687
  Angle 7: cl=0.562664806842804, cd=0.09487172216176987, cm=0.020191922783851624
  Angle 8: cl=0.6519491076469421, cd=0.10029835999011993, cm=0.019915521144866943
  Angle 9: cl=0.741578221321106, cd=0.10333765298128128, cm=0.012542858719825745
  Angle 10: cl=0.8367908596992493, cd=0.10738784074783325, cm=0.0045714229345321655
Genotype [0.0085, 0.4538644797801925, 0.13, -0.7509458436751284, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0]:
  Angle -10: cl=-0.5620658993721008, cd=0.23292051255702972, cm=-0.18963946402072906
  Angle -9: cl=-0.5915898084640503, cd=0.20050744712352753, cm=-0.18507970869541168
  Angle -8: cl=-0.6143999695777893, cd=0.16547510027885437, cm=-0.1835799366235733
  Angle -7: cl=-0.6497071981430054, cd=0.13120807707309723, cm=-0.1788843423128128
  Angle -6: cl=-0.6066341996192932, cd=0.11611531674861908, cm=-0.16434337198734283
  Angle -5: cl=-0.5003595352172852, cd=0.10464288294315338, cm=-0.15122832357883453
  Angle -4: cl=-0.40311530232429504, cd=0.09881356358528137, cm=-0.13854773342609406
  Angle -3: cl=-0.3007122278213501, cd=0.09274972975254059, cm=-0.12461577355861664
  Angle -2: cl=-0.22168678045272827, cd=0.08730978518724442, cm=-0.10269199311733246
  Angle -1: cl=-0.16097882390022278, cd=0.08292818069458008, cm=-0.07333432137966156
  Angle 0: cl=-0.0917472317814827, cd=0.08220376819372177, cm=-0.044725850224494934
  Angle 1: cl=-0.008490575477480888, cd=0.08271883428096771, cm=-0.022479131817817688
  Angle 2: cl=0.07424908876419067, cd=0.08353476226329803, cm=-0.007001861929893494
  Angle 3: cl=0.31799712777137756, cd=0.06705210357904434, cm=-0.0023715049028396606
  Angle 4: cl=0.4170874059200287, cd=0.07332514971494675, cm=0.002350538969039917
  Angle 5: cl=0.5149879455566406, cd=0.08162924647331238, cm=0.005705490708351135
  Angle 6: cl=0.6069350838661194, cd=0.08889121562242508, cm=0.008207157254219055
  Angle 7: cl=0.6968273520469666, cd=0.09548334032297134, cm=0.010472670197486877
  Angle 8: cl=0.7872600555419922, cd=0.10165658593177795, cm=0.010995060205459595
  Angle 9: cl=0.8817938566207886, cd=0.1056307777762413, cm=0.0028370022773742676
  Angle 10: cl=0.9817513227462769, cd=0.11037052422761917, cm=-0.005154237151145935
Genotype [0.0085, 0.45961577197997977, 0.13, -0.7, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0]:
  Angle -10: cl=-0.5645846724510193, cd=0.23262399435043335, cm=-0.18974129855632782
  Angle -9: cl=-0.5906901955604553, cd=0.1994989812374115, cm=-0.18638397753238678
  Angle -8: cl=-0.6135125756263733, cd=0.16463957726955414, cm=-0.18527822196483612
  Angle -7: cl=-0.6523647904396057, cd=0.13008075952529907, cm=-0.180100217461586
  Angle -6: cl=-0.6056850552558899, cd=0.11550518870353699, cm=-0.16533653438091278
  Angle -5: cl=-0.49928873777389526, cd=0.10404542833566666, cm=-0.15208269655704498
  Angle -4: cl=-0.40855351090431213, cd=0.0992547869682312, cm=-0.13873665034770966
  Angle -3: cl=-0.30668124556541443, cd=0.0933891087770462, cm=-0.12506960332393646
  Angle -2: cl=-0.2283230423927307, cd=0.08804444968700409, cm=-0.10273762047290802
  Angle -1: cl=-0.1671639084815979, cd=0.08336599171161652, cm=-0.0734892338514328
  Angle 0: cl=-0.09445494413375854, cd=0.08248566836118698, cm=-0.045465484261512756
  Angle 1: cl=-0.010933412238955498, cd=0.08304638415575027, cm=-0.023595258593559265
  Angle 2: cl=0.07263380289077759, cd=0.0838966891169548, cm=-0.008357927203178406
  Angle 3: cl=0.31138336658477783, cd=0.06792572140693665, cm=-0.003762468695640564
  Angle 4: cl=0.42018669843673706, cd=0.07289643585681915, cm=0.0011236518621444702
  Angle 5: cl=0.5184841752052307, cd=0.08117152750492096, cm=0.0045301467180252075
  Angle 6: cl=0.6112672686576843, cd=0.08826994150876999, cm=0.006737828254699707
  Angle 7: cl=0.7011099457740784, cd=0.09486813098192215, cm=0.009210988879203796
  Angle 8: cl=0.7914281487464905, cd=0.10156602412462234, cm=0.011017858982086182
  Angle 9: cl=0.886693000793457, cd=0.105657659471035, cm=0.0028797388076782227
  Angle 10: cl=0.9857439994812012, cd=0.11171871423721313, cm=-0.004990920424461365
Genotype [0.0085, 0.4538644797801925, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0]:
  Angle -10: cl=-0.5616700053215027, cd=0.23287612199783325, cm=-0.18964768946170807
  Angle -9: cl=-0.5909528732299805, cd=0.20042729377746582, cm=-0.1851351112127304
  Angle -8: cl=-0.6137710809707642, cd=0.16542045772075653, cm=-0.183684840798378
  Angle -7: cl=-0.6488362550735474, cd=0.13123829662799835, cm=-0.17894963920116425
  Angle -6: cl=-0.6056761741638184, cd=0.11607252061367035, cm=-0.1644369512796402
  Angle -5: cl=-0.499329149723053, cd=0.10460449755191803, cm=-0.15130971372127533
  Angle -4: cl=-0.4025562107563019, cd=0.09885624051094055, cm=-0.13859684765338898
  Angle -3: cl=-0.3001824617385864, cd=0.09279920160770416, cm=-0.12466771900653839
  Angle -2: cl=-0.2212519496679306, cd=0.08737821877002716, cm=-0.10274015367031097
  Angle -1: cl=-0.160533145070076, cd=0.08299724757671356, cm=-0.07338221371173859
  Angle 0: cl=-0.09092869609594345, cd=0.08226397633552551, cm=-0.04483790695667267
  Angle 1: cl=-0.007565287873148918, cd=0.08279569447040558, cm=-0.022600814700126648
  Angle 2: cl=0.07522781193256378, cd=0.08361384272575378, cm=-0.007130667567253113
  Angle 3: cl=0.3202461004257202, cd=0.06700510531663895, cm=-0.0025778114795684814
  Angle 4: cl=0.41874629259109497, cd=0.07333847135305405, cm=0.002256616950035095
  Angle 5: cl=0.5166018605232239, cd=0.08164122700691223, cm=0.005601838231086731
  Angle 6: cl=0.6085702776908875, cd=0.08889997005462646, cm=0.008098527789115906
  Angle 7: cl=0.6984596252441406, cd=0.09549235552549362, cm=0.010374516248703003
  Angle 8: cl=0.788930356502533, cd=0.10168808698654175, cm=0.01093342900276184
  Angle 9: cl=0.8835101127624512, cd=0.10567162930965424, cm=0.0027722716331481934
  Angle 10: cl=0.9834009408950806, cd=0.11059872806072235, cm=-0.005203351378440857
Genotype [0.0085, 0.46, 0.13, -0.7, 0.2598185878166123, -0.023, 0.05, -0.003, 0.0025, 7.7240308386738805, 10.0]:
  Angle -10: cl=-0.5647528767585754, cd=0.23261064291000366, cm=-0.1897512525320053
  Angle -9: cl=-0.5906268358230591, cd=0.19943994283676147, cm=-0.18647252023220062
  Angle -8: cl=-0.6134473085403442, cd=0.16459143161773682, cm=-0.18539579212665558
  Angle -7: cl=-0.6525295972824097, cd=0.13001340627670288, cm=-0.1801886409521103
  Angle -6: cl=-0.6055874824523926, cd=0.11546918749809265, cm=-0.16541187465190887
  Angle -5: cl=-0.4994542598724365, cd=0.10405152291059494, cm=-0.15210922062397003
  Angle -4: cl=-0.4088885486125946, cd=0.09928561002016068, cm=-0.13875706493854523
  Angle -3: cl=-0.3070506453514099, cd=0.09343382716178894, cm=-0.1251109093427658
  Angle -2: cl=-0.228726327419281, cd=0.08809568732976913, cm=-0.1027534157037735
  Angle -1: cl=-0.16753703355789185, cd=0.08339843153953552, cm=-0.0735127180814743
  Angle 0: cl=-0.09458518028259277, cd=0.08250739425420761, cm=-0.045529767870903015
  Angle 1: cl=-0.01104370690882206, cd=0.08307038992643356, cm=-0.023680731654167175
