Experiment: Combination_Experiment_258
Generation: 36
Timestamp: 20231226_203841

Genotypes and their Fitness Values:
[0.0085, 0.45948991724275184, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.6037981094408496, 10.459313996049007] - Fitness: 0.21463785954166395
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.6037981094408496, 10.435310593611755] - Fitness: 0.21781943839819443
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.585543766045493, 10.490153433019513] - Fitness: 0.2121415596556767
[0.0126, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.585543766045493, 10.474235352274237] - Fitness: -0.5005414738754257
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.585543766045493, 10.490153433019513] - Fitness: 0.21199406802999007
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.6037981094408496, 10.474235352274237] - Fitness: 0.21343432294793777
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.596848350547691, 10.490153433019513] - Fitness: 0.21146268124546866
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.585543766045493, 10.478168745775342] - Fitness: 0.21346953356958945
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.578677649852724, 10.490153433019513] - Fitness: 0.21246305476848942
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.585543766045493, 10.478168745775342] - Fitness: 0.2133216600102444
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.578677649852724, 10.478168745775342] - Fitness: 0.21379152305402543
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.596848350547691, 10.478168745775342] - Fitness: 0.212792127696482
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.578677649852724, 10.478168745775342] - Fitness: 0.21364339281725653
[0.0085, 0.45948991724275184, 0.13, -0.8931022448272954, 0.26, -0.023, 0.07315754654774073, -0.003, 0.0025, 7.585543766045493, 10.478168745775342] - Fitness: 0.20013527175829773
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.06510558838039171, -0.003, 0.0025, 7.6037981094408496, 10.474235352274237] - Fitness: 0.20476357029155823
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.578677649852724, 10.459313996049007] - Fitness: 0.2162665050984315
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.585543766045493, 10.474235352274237] - Fitness: 0.21390610783405528
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.596848350547691, 10.4415839293252] - Fitness: 0.21729788927424523
[0.0085, 0.45948991724275184, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.6037981094408496, 10.478168745775342] - Fitness: 0.21254772728863047
[0.0085, 0.46, 0.13, -0.9, 0.2310838468780134, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.6037981094408496, 10.474235352274237] - Fitness: -0.5328362083353952
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.559138828574902, 10.474235352274237] - Fitness: 0.2154452167143581
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.006, 0.0025, 7.609435202053809, 10.474235352274237] - Fitness: -0.2467690955357084
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.21911626732978862, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.585543766045493, 10.474235352274237] - Fitness: -0.886196310263225
[0.0085, 0.45948991724275184, 0.13, -0.8931022448272954, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.6037981094408496, 10.474235352274237] - Fitness: -0.24624090867095105
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.23884742235200282, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.6037981094408496, 10.474235352274237] - Fitness: -0.3138433325353427
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.6037981094408496, 10.474235352274237] - Fitness: 0.21290186358029534
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.6037981094408496, 10.474235352274237] - Fitness: 0.21290186358029534
[0.0085, 0.45948991724275184, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.6037981094408496, 10.474235352274237] - Fitness: 0.21298290086100388
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.6037981094408496, 10.474235352274237] - Fitness: 0.2130504096235557
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.6037981094408496, 10.474235352274237] - Fitness: 0.2130504096235557
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.589813596489676, 10.478168745775342] - Fitness: 0.21312217593863164
[0.0085, 0.45948991724275184, 0.13, -0.8931022448272954, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.6037981094408496, 10.474235352274237] - Fitness: 0.21313185730947834
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.596848350547691, 10.474235352274237] - Fitness: 0.21322835316671473
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.596848350547691, 10.474235352274237] - Fitness: 0.21322835316671473
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.596848350547691, 10.474235352274237] - Fitness: 0.21322835316671473
[0.0085, 0.45948991724275184, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.596848350547691, 10.474235352274237] - Fitness: 0.213310482543228
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.585543766045493, 10.478168745775342] - Fitness: 0.2133216600102444
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.585543766045493, 10.478168745775342] - Fitness: 0.21346953356958945
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.6037981094408496, 10.474235352274237] - Fitness: 0.2135829382539979
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.6037981094408496, 10.474235352274237] - Fitness: 0.2135829382539979
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.578677649852724, 10.478168745775342] - Fitness: 0.21364339281725653
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.596848350547691, 10.474235352274237] - Fitness: 0.21367771245105677
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.596848350547691, 10.474235352274237] - Fitness: 0.21367771245105677
[0.0085, 0.45948991724275184, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.578677649852724, 10.478168745775342] - Fitness: 0.21372706967735453
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.6037981094408496, 10.466754991769996] - Fitness: 0.2137311655741817
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.578677649852724, 10.474235352274237] - Fitness: 0.21407956482380774
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.578677649852724, 10.474235352274237] - Fitness: 0.2142272678004529
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.578677649852724, 10.474235352274237] - Fitness: 0.21476166071358835
[0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.578677649852724, 10.459313996049007] - Fitness: 0.21573269169443998
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.578677649852724, 10.459313996049007] - Fitness: 0.21641512432483118

Detailed Results for Each Genotype:
Genotype [0.0085, 0.45948991724275184, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.6037981094408496, 10.459313996049007]:
  Angle -10: cl=-0.5640101432800293, cd=0.23255498707294464, cm=-0.18956764042377472
  Angle -9: cl=-0.5910083055496216, cd=0.1995619386434555, cm=-0.18603943288326263
  Angle -8: cl=-0.6138399243354797, cd=0.16462010145187378, cm=-0.18471001088619232
  Angle -7: cl=-0.6523883938789368, cd=0.13010026514530182, cm=-0.17952431738376617
  Angle -6: cl=-0.6077908873558044, cd=0.11534302681684494, cm=-0.16472546756267548
  Angle -5: cl=-0.5014525651931763, cd=0.10404333472251892, cm=-0.1516367346048355
  Angle -4: cl=-0.4098869264125824, cd=0.09912792593240738, cm=-0.13830982148647308
  Angle -3: cl=-0.3078526258468628, cd=0.09319674223661423, cm=-0.12454576790332794
  Angle -2: cl=-0.22984683513641357, cd=0.08778533339500427, cm=-0.10210452973842621
  Angle -1: cl=-0.1687992960214615, cd=0.08314095437526703, cm=-0.07285110652446747
  Angle 0: cl=-0.09770791232585907, cd=0.0823410227894783, cm=-0.04461123049259186
  Angle 1: cl=-0.014323765411973, cd=0.08290527760982513, cm=-0.022676244378089905
  Angle 2: cl=0.06893320381641388, cd=0.08369842916727066, cm=-0.007317885756492615
  Angle 3: cl=0.30585429072380066, cd=0.06789468973875046, cm=-0.0025451332330703735
  Angle 4: cl=0.413989782333374, cd=0.07317312806844711, cm=0.0018077641725540161
  Angle 5: cl=0.5123949646949768, cd=0.08145604282617569, cm=0.005222052335739136
  Angle 6: cl=0.6056376695632935, cd=0.08855613321065903, cm=0.007443368434906006
  Angle 7: cl=0.6954955458641052, cd=0.09515251964330673, cm=0.009852215647697449
  Angle 8: cl=0.7858050465583801, cd=0.10158221423625946, cm=0.011004462838172913
  Angle 9: cl=0.8808141946792603, cd=0.10564031451940536, cm=0.0028312504291534424
  Angle 10: cl=0.9800008535385132, cd=0.1111249104142189, cm=-0.0050922781229019165
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.6037981094408496, 10.435310593611755]:
  Angle -10: cl=-0.5642510652542114, cd=0.2325713187456131, cm=-0.18960066139698029
  Angle -9: cl=-0.5908739566802979, cd=0.19951272010803223, cm=-0.18618015944957733
  Angle -8: cl=-0.6137038469314575, cd=0.1645924597978592, cm=-0.1849096566438675
  Angle -7: cl=-0.6525384187698364, cd=0.130044624209404, cm=-0.17969636619091034
  Angle -6: cl=-0.6074972152709961, cd=0.11533116549253464, cm=-0.16488514840602875
  Angle -5: cl=-0.5014117360115051, cd=0.10405487567186356, cm=-0.15172909200191498
  Angle -4: cl=-0.4101530611515045, cd=0.09918244183063507, cm=-0.1383894830942154
  Angle -3: cl=-0.3081807494163513, cd=0.09327629208564758, cm=-0.12466149032115936
  Angle -2: cl=-0.23015519976615906, cd=0.08788231015205383, cm=-0.10221929848194122
  Angle -1: cl=-0.1690506786108017, cd=0.08320862054824829, cm=-0.07297419011592865
  Angle 0: cl=-0.09750746190547943, cd=0.08238891512155533, cm=-0.044807180762290955
  Angle 1: cl=-0.014080608263611794, cd=0.08295222371816635, cm=-0.022903159260749817
  Angle 2: cl=0.06929473578929901, cd=0.08375579118728638, cm=-0.007572665810585022
  Angle 3: cl=0.305879682302475, cd=0.06799019128084183, cm=-0.0028149038553237915
  Angle 4: cl=0.41501757502555847, cd=0.07309713959693909, cm=0.001624181866645813
  Angle 5: cl=0.5134451985359192, cd=0.08137653023004532, cm=0.005041241645812988
  Angle 6: cl=0.6067028641700745, cd=0.08846653997898102, cm=0.007236853241920471
  Angle 7: cl=0.696553647518158, cd=0.09506367146968842, cm=0.009672939777374268
  Angle 8: cl=0.7868541479110718, cd=0.10157103836536407, cm=0.011017411947250366
  Angle 9: cl=0.8819447159767151, cd=0.10564053058624268, cm=0.0028463006019592285
  Angle 10: cl=0.9810476899147034, cd=0.11129021644592285, cm=-0.005061998963356018
Genotype [0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.585543766045493, 10.490153433019513]:
  Angle -10: cl=-0.5642771124839783, cd=0.23257412016391754, cm=-0.18957768380641937
  Angle -9: cl=-0.591053307056427, cd=0.19953633844852448, cm=-0.18612970411777496
  Angle -8: cl=-0.6138841509819031, cd=0.16460232436656952, cm=-0.18482144176959991
  Angle -7: cl=-0.6527426242828369, cd=0.13003969192504883, cm=-0.1796165555715561
  Angle -6: cl=-0.6079543828964233, cd=0.11532030999660492, cm=-0.16479481756687164
  Angle -5: cl=-0.5018560886383057, cd=0.10405389219522476, cm=-0.15166382491588593
  Angle -4: cl=-0.41045910120010376, cd=0.099159836769104, cm=-0.13832809031009674
  Angle -3: cl=-0.30846717953681946, cd=0.09324545413255692, cm=-0.12458743155002594
  Angle -2: cl=-0.23045027256011963, cd=0.08783908188343048, cm=-0.1021350771188736
  Angle -1: cl=-0.16936780512332916, cd=0.08316756784915924, cm=-0.07289166748523712
  Angle 0: cl=-0.09809207916259766, cd=0.08235955983400345, cm=-0.044687822461128235
  Angle 1: cl=-0.014699125662446022, cd=0.08291883766651154, cm=-0.02277068793773651
  Angle 2: cl=0.06862983107566833, cd=0.08371558785438538, cm=-0.007427766919136047
  Angle 3: cl=0.30469632148742676, cd=0.06800009310245514, cm=-0.002630874514579773
  Angle 4: cl=0.41392990946769714, cd=0.07312381267547607, cm=0.001721605658531189
  Angle 5: cl=0.5123805999755859, cd=0.08140356093645096, cm=0.005141019821166992
  Angle 6: cl=0.6056929230690002, cd=0.08849473297595978, cm=0.007341831922531128
  Angle 7: cl=0.6955469846725464, cd=0.0950915664434433, cm=0.009766101837158203
  Angle 8: cl=0.785837709903717, cd=0.10156426578760147, cm=0.011030435562133789
  Angle 9: cl=0.8808896541595459, cd=0.10562877357006073, cm=0.002857595682144165
  Angle 10: cl=0.9800211787223816, cd=0.111174076795578, cm=-0.0050600022077560425
Genotype [0.0126, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.585543766045493, 10.474235352274237]:
  Angle -10: cl=-0.5425155162811279, cd=0.204026997089386, cm=-0.18304769694805145
  Angle -9: cl=-0.5741688013076782, cd=0.17264454066753387, cm=-0.17838220298290253
  Angle -8: cl=-0.6002300977706909, cd=0.1459950953722, cm=-0.17099706828594208
  Angle -7: cl=-0.6289573907852173, cd=0.12219806760549545, cm=-0.1600247472524643
  Angle -6: cl=-0.6426007747650146, cd=0.10995583236217499, cm=-0.14603598415851593
  Angle -5: cl=-0.5526706576347351, cd=0.10245759040117264, cm=-0.12967048585414886
  Angle -4: cl=-0.468225359916687, cd=0.09462889283895493, cm=-0.1059129387140274
  Angle -3: cl=-0.38282155990600586, cd=0.08683214336633682, cm=-0.0822041779756546
  Angle -2: cl=-0.31085941195487976, cd=0.0806201845407486, cm=-0.05542118847370148
  Angle -1: cl=-0.2578127086162567, cd=0.08124488592147827, cm=-0.0317264050245285
  Angle 0: cl=-0.1978873759508133, cd=0.08918706327676773, cm=-0.015229001641273499
  Angle 1: cl=-0.12398076057434082, cd=0.0963800773024559, cm=-0.0001360177993774414
  Angle 2: cl=0.020104095339775085, cd=0.09521934390068054, cm=0.009479716420173645
  Angle 3: cl=0.17027191817760468, cd=0.0936485081911087, cm=0.015889570116996765
  Angle 4: cl=0.2626134753227234, cd=0.09866219013929367, cm=0.02065242826938629
  Angle 5: cl=0.3616480231285095, cd=0.10196071863174438, cm=0.018407195806503296
  Angle 6: cl=0.45792636275291443, cd=0.10340265929698944, cm=0.012778520584106445
  Angle 7: cl=0.5566451549530029, cd=0.10464584082365036, cm=0.0074110329151153564
  Angle 8: cl=0.6518566012382507, cd=0.10598141700029373, cm=0.0001248568296432495
  Angle 9: cl=0.7677403092384338, cd=0.10592202842235565, cm=-0.022754624485969543
  Angle 10: cl=0.8813664317131042, cd=0.10700854659080505, cm=-0.04504077136516571
Genotype [0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.585543766045493, 10.490153433019513]:
  Angle -10: cl=-0.5642737746238708, cd=0.23256990313529968, cm=-0.18957604467868805
  Angle -9: cl=-0.5910525321960449, cd=0.19953182339668274, cm=-0.18612857162952423
  Angle -8: cl=-0.6138832569122314, cd=0.16459746658802032, cm=-0.18481947481632233
  Angle -7: cl=-0.6527431607246399, cd=0.1300358921289444, cm=-0.17961286008358002
  Angle -6: cl=-0.6079586148262024, cd=0.1153167113661766, cm=-0.16479076445102692
  Angle -5: cl=-0.5018698573112488, cd=0.10405369102954865, cm=-0.1516595333814621
  Angle -4: cl=-0.410468190908432, cd=0.09915918111801147, cm=-0.13832403719425201
  Angle -3: cl=-0.3084753155708313, cd=0.09324438124895096, cm=-0.12458278238773346
  Angle -2: cl=-0.23046597838401794, cd=0.08783767372369766, cm=-0.10212738811969757
  Angle -1: cl=-0.16938404738903046, cd=0.0831662118434906, cm=-0.07288418710231781
  Angle 0: cl=-0.09811429679393768, cd=0.08235881477594376, cm=-0.044680580496788025
  Angle 1: cl=-0.014720598235726357, cd=0.08291827142238617, cm=-0.022763416171073914
  Angle 2: cl=0.06860540062189102, cd=0.08371458947658539, cm=-0.007420256733894348
  Angle 3: cl=0.3046843409538269, cd=0.06799763441085815, cm=-0.002623647451400757
  Angle 4: cl=0.4138985574245453, cd=0.07312644273042679, cm=0.001725226640701294
  Angle 5: cl=0.5123496055603027, cd=0.08140622079372406, cm=0.005144655704498291
  Angle 6: cl=0.6056657433509827, cd=0.08849694579839706, cm=0.007345080375671387
  Angle 7: cl=0.6955198049545288, cd=0.0950937271118164, cm=0.009769171476364136
  Angle 8: cl=0.7858110070228577, cd=0.10156483948230743, cm=0.011029064655303955
  Angle 9: cl=0.8808625936508179, cd=0.10562936961650848, cm=0.0028561651706695557
  Angle 10: cl=0.9799935221672058, cd=0.11117400974035263, cm=-0.005061492323875427
Genotype [0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.6037981094408496, 10.474235352274237]:
  Angle -10: cl=-0.563971757888794, cd=0.23253348469734192, cm=-0.18955688178539276
  Angle -9: cl=-0.5909949541091919, cd=0.19954174757003784, cm=-0.18602891266345978
  Angle -8: cl=-0.61382657289505, cd=0.16459693014621735, cm=-0.18469129502773285
  Angle -7: cl=-0.6523675918579102, cd=0.13008421659469604, cm=-0.17949648201465607
  Angle -6: cl=-0.6078355312347412, cd=0.11532124876976013, cm=-0.16469590365886688
  Angle -5: cl=-0.5015506148338318, cd=0.10404254496097565, cm=-0.15160928666591644
  Angle -4: cl=-0.40995070338249207, cd=0.09912284463644028, cm=-0.13828296959400177
  Angle -3: cl=-0.3079072833061218, cd=0.09318811446428299, cm=-0.12451396882534027
  Angle -2: cl=-0.2299487292766571, cd=0.08777368068695068, cm=-0.10205547511577606
  Angle -1: cl=-0.16890618205070496, cd=0.08313129842281342, cm=-0.07280196249485016
  Angle 0: cl=-0.09787371754646301, cd=0.08233614265918732, cm=-0.044559046626091
  Angle 1: cl=-0.014486229047179222, cd=0.08290156722068787, cm=-0.022621676325798035
  Angle 2: cl=0.06875292211771011, cd=0.08369115740060806, cm=-0.007259145379066467
  Angle 3: cl=0.3056949973106384, cd=0.06788375973701477, cm=-0.0024850070476531982
  Angle 4: cl=0.41372203826904297, cd=0.07319305837154388, cm=0.001839950680732727
  Angle 5: cl=0.5121288895606995, cd=0.08147629350423813, cm=0.005254149436950684
  Angle 6: cl=0.6054019331932068, cd=0.08857453614473343, cm=0.007474929094314575
  Angle 7: cl=0.6952612996101379, cd=0.09517084062099457, cm=0.00988076627254486
  Angle 8: cl=0.7855724096298218, cd=0.10158614069223404, cm=0.010995715856552124
  Angle 9: cl=0.8805753588676453, cd=0.1056438758969307, cm=0.0028214305639266968
  Angle 10: cl=0.9797608852386475, cd=0.11111411452293396, cm=-0.005103543400764465
Genotype [0.0085, 0.46, 0.13, -0.8931022448272954, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.596848350547691, 10.490153433019513]:
  Angle -10: cl=-0.56422358751297, cd=0.23252469301223755, cm=-0.18956483900547028
  Angle -9: cl=-0.590993344783783, cd=0.199480339884758, cm=-0.18612979352474213
  Angle -8: cl=-0.6138231158256531, cd=0.16454537212848663, cm=-0.1848185807466507
  Angle -7: cl=-0.6526840925216675, cd=0.1299978643655777, cm=-0.17959170043468475
  Angle -6: cl=-0.6079095005989075, cd=0.11527974903583527, cm=-0.1647673100233078
  Angle -5: cl=-0.5019219517707825, cd=0.10405174642801285, cm=-0.1516299694776535
