Experiment: Combination_Experiment_258
Generation: 72
Timestamp: 20231226_204828

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.510433614447344, 10.337597185722052] - Fitness: 0.23285709098887697
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.532436021229593, 10.322052307971854] - Fitness: 0.23351672715917132
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.532436021229593, 10.322052307971854] - Fitness: 0.23337339367373197
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.510433614447344, 10.301693905000642] - Fitness: 0.23653368202920969
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.507500612639736, 10.301693905000642] - Fitness: 0.23677715220423395
[0.0126, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05727345610325357, -0.003, 0.0025, 7.510433614447344, 10.301693905000642] - Fitness: -0.4838895619464528
[0.0085, 0.46, 0.13, -0.9, 0.21475203134613974, -0.023, 0.05, -0.003, 0.0025, 7.532436021229593, 10.322052307971854] - Fitness: -0.9980909784192503
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.532436021229593, 10.337597185722052] - Fitness: 0.23192865686496192
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.510433614447344, 10.301693905000642] - Fitness: 0.2367973721546454
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.507500612639736, 10.322052307971854] - Fitness: 0.2346867977557395
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.507500612639736, 10.322052307971854] - Fitness: 0.23442313466109757
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.507500612639736, 10.337597185722052] - Fitness: 0.2328620090893366
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.507500612639736, 10.337597185722052] - Fitness: 0.23271865518591878
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.06465935730074181, -0.003, 0.0025, 7.507500612639736, 10.322052307971854] - Fitness: 0.22638595948094306
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.507500612639736, 10.337597185722052] - Fitness: 0.23298083688545865
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.510433614447344, 10.322052307971854] - Fitness: 0.2344432040507149
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.532436021229593, 10.301693905000642] - Fitness: 0.23586935734422826
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.529276943398201, 10.337597185722052] - Fitness: 0.23194472051147613
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.507500612639736, 10.301693905000642] - Fitness: 0.2368013966824567
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.507500612639736, 10.337597185722052] - Fitness: 0.23283689395770737
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.507500612639736, 10.337597185722052] - Fitness: 0.23283689395770737
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.507500612639736, 10.337597185722052] - Fitness: 0.23283689395770737
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.507500612639736, 10.337597185722052] - Fitness: 0.23283689395770737
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.510433614447344, 10.337597185722052] - Fitness: 0.23285709098887697
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.510433614447344, 10.337597185722052] - Fitness: 0.23285709098887697
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.510433614447344, 10.337597185722052] - Fitness: 0.23285709098887697
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.507500612639736, 10.337597185722052] - Fitness: 0.2328620090893366
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.507500612639736, 10.337597185722052] - Fitness: 0.2328620090893366
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.507500612639736, 10.337597185722052] - Fitness: 0.2328620090893366
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.507500612639736, 10.337597185722052] - Fitness: 0.2328620090893366
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.507500612639736, 10.337597185722052] - Fitness: 0.2328620090893366
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.507500612639736, 10.337597185722052] - Fitness: 0.2328620090893366
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.507500612639736, 10.337597185722052] - Fitness: 0.23298083688545865
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.507500612639736, 10.337597185722052] - Fitness: 0.23298083688545865
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.507500612639736, 10.337597185722052] - Fitness: 0.23298083688545865
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.507500612639736, 10.337597185722052] - Fitness: 0.23298083688545865
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.507500612639736, 10.337597185722052] - Fitness: 0.23298083688545865
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.532436021229593, 10.322052307971854] - Fitness: 0.23337339367373197
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.532436021229593, 10.322052307971854] - Fitness: 0.23337339367373197
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.532436021229593, 10.322052307971854] - Fitness: 0.23351672715917132
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.532436021229593, 10.322052307971854] - Fitness: 0.23351672715917132
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.532436021229593, 10.322052307971854] - Fitness: 0.23351672715917132
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.532436021229593, 10.322052307971854] - Fitness: 0.23351672715917132
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.532436021229593, 10.322052307971854] - Fitness: 0.23363487460766802
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.532436021229593, 10.322052307971854] - Fitness: 0.23363487460766802
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.507500612639736, 10.322052307971854] - Fitness: 0.2345672044749432
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.510433614447344, 10.301693905000642] - Fitness: 0.23653368202920969
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.510433614447344, 10.301693905000642] - Fitness: 0.23653368202920969
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.510433614447344, 10.301693905000642] - Fitness: 0.23653368202920969
[0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.510433614447344, 10.301693905000642] - Fitness: 0.23667666046439917

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.510433614447344, 10.337597185722052]:
  Angle -10: cl=-0.5647951364517212, cd=0.23307302594184875, cm=-0.18976540863513947
  Angle -9: cl=-0.5912683010101318, cd=0.2000489979982376, cm=-0.18625320494174957
  Angle -8: cl=-0.6141001582145691, cd=0.16515889763832092, cm=-0.1850658804178238
  Angle -7: cl=-0.6529040336608887, cd=0.1304735392332077, cm=-0.1800691932439804
  Angle -6: cl=-0.6073409914970398, cd=0.11576765775680542, cm=-0.16529731452465057
  Angle -5: cl=-0.5003328919410706, cd=0.1041160449385643, cm=-0.15214009582996368
  Angle -4: cl=-0.4093130826950073, cd=0.0992528423666954, cm=-0.13882051408290863
  Angle -3: cl=-0.30747702717781067, cd=0.09340179711580276, cm=-0.12517543137073517
  Angle -2: cl=-0.22842556238174438, cd=0.08804049342870712, cm=-0.10309271514415741
  Angle -1: cl=-0.16732069849967957, cd=0.08333596587181091, cm=-0.07386137545108795
  Angle 0: cl=-0.0952596515417099, cd=0.08247610181570053, cm=-0.04573012888431549
  Angle 1: cl=-0.01183655671775341, cd=0.08298110961914062, cm=-0.023737356066703796
  Angle 2: cl=0.07181502878665924, cd=0.08384130150079727, cm=-0.00848950445652008
  Angle 3: cl=0.3070123791694641, cd=0.06824766844511032, cm=-0.0036729127168655396
  Angle 4: cl=0.4185037612915039, cd=0.07275000959634781, cm=0.0011848211288452148
  Angle 5: cl=0.5169786810874939, cd=0.08102597296237946, cm=0.004607081413269043
  Angle 6: cl=0.6097283959388733, cd=0.08816111832857132, cm=0.006833672523498535
  Angle 7: cl=0.6995623707771301, cd=0.09475874155759811, cm=0.009299144148826599
  Angle 8: cl=0.7898191213607788, cd=0.10144102573394775, cm=0.01111854612827301
  Angle 9: cl=0.884937584400177, cd=0.10554611682891846, cm=0.003062605857849121
  Angle 10: cl=0.9841362237930298, cd=0.11127690970897675, cm=-0.004835411906242371
Genotype [0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.532436021229593, 10.322052307971854]:
  Angle -10: cl=-0.564494788646698, cd=0.23302310705184937, cm=-0.18974198400974274
  Angle -9: cl=-0.5912191867828369, cd=0.200044646859169, cm=-0.18615157902240753
  Angle -8: cl=-0.6140532493591309, cd=0.1651429682970047, cm=-0.18493302166461945
  Angle -7: cl=-0.6525495052337646, cd=0.13050734996795654, cm=-0.17994259297847748
  Angle -6: cl=-0.6072468161582947, cd=0.11576138436794281, cm=-0.16518987715244293
  Angle -5: cl=-0.5003120303153992, cd=0.1041443943977356, cm=-0.15204305946826935
  Angle -4: cl=-0.4088340103626251, cd=0.09921350330114365, cm=-0.13876695930957794
  Angle -3: cl=-0.30694448947906494, cd=0.09334084391593933, cm=-0.1250893622636795
  Angle -2: cl=-0.22797822952270508, cd=0.08797234296798706, cm=-0.1029973179101944
  Angle -1: cl=-0.1669025868177414, cd=0.08329592645168304, cm=-0.07375369966030121
  Angle 0: cl=-0.09509579837322235, cd=0.08244844526052475, cm=-0.045579180121421814
  Angle 1: cl=-0.011687172576785088, cd=0.08296126872301102, cm=-0.02357788383960724
  Angle 2: cl=0.07187062501907349, cd=0.08381354808807373, cm=-0.008301451802253723
  Angle 3: cl=0.3079376816749573, cd=0.06812778115272522, cm=-0.0035073012113571167
  Angle 4: cl=0.41819456219673157, cd=0.07282528281211853, cm=0.0013125091791152954
  Angle 5: cl=0.5166231393814087, cd=0.08110459893941879, cm=0.004729464650154114
  Angle 6: cl=0.6093438863754272, cd=0.0882461816072464, cm=0.006975650787353516
  Angle 7: cl=0.699183464050293, cd=0.09484328329563141, cm=0.009422138333320618
  Angle 8: cl=0.7894627451896667, cd=0.10150343924760818, cm=0.011182472109794617
  Angle 9: cl=0.8845289349555969, cd=0.10556218773126602, cm=0.0030238181352615356
  Angle 10: cl=0.9837807416915894, cd=0.11121246963739395, cm=-0.004882112145423889
Genotype [0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.532436021229593, 10.322052307971854]:
  Angle -10: cl=-0.5644912123680115, cd=0.2330189049243927, cm=-0.18974028527736664
  Angle -9: cl=-0.5912187695503235, cd=0.20004010200500488, cm=-0.1861504763364792
  Angle -8: cl=-0.6140523552894592, cd=0.1651380956172943, cm=-0.18493105471134186
  Angle -7: cl=-0.6525493264198303, cd=0.13050353527069092, cm=-0.1799388974905014
  Angle -6: cl=-0.6072512865066528, cd=0.1157577633857727, cm=-0.16518579423427582
  Angle -5: cl=-0.5003180503845215, cd=0.10414277017116547, cm=-0.15203975141048431
  Angle -4: cl=-0.40884342789649963, cd=0.09921283274888992, cm=-0.1387629359960556
  Angle -3: cl=-0.3069531321525574, cd=0.09333977103233337, cm=-0.12508468329906464
  Angle -2: cl=-0.2279943823814392, cd=0.08797097206115723, cm=-0.10298971831798553
  Angle -1: cl=-0.16691932082176208, cd=0.0832945853471756, cm=-0.07374624907970428
  Angle 0: cl=-0.09511682391166687, cd=0.08244724571704865, cm=-0.04557110369205475
  Angle 1: cl=-0.011708525940775871, cd=0.08296068757772446, cm=-0.023570850491523743
  Angle 2: cl=0.07184651494026184, cd=0.08381251245737076, cm=-0.008293971419334412
  Angle 3: cl=0.30792564153671265, cd=0.06812528520822525, cm=-0.0035000592470169067
  Angle 4: cl=0.418163537979126, cd=0.07282788306474686, cm=0.0013161003589630127
  Angle 5: cl=0.5165920853614807, cd=0.08110720664262772, cm=0.004733085632324219
  Angle 6: cl=0.6093165874481201, cd=0.0882483571767807, cm=0.006978914141654968
  Angle 7: cl=0.6991564631462097, cd=0.0948454961180687, cm=0.009425148367881775
  Angle 8: cl=0.7894360423088074, cd=0.10150402039289474, cm=0.011181116104125977
  Angle 9: cl=0.8845019340515137, cd=0.10556276887655258, cm=0.0030223876237869263
  Angle 10: cl=0.9837529063224792, cd=0.11121238768100739, cm=-0.004883632063865662
Genotype [0.0085, 0.45948991724275184, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.510433614447344, 10.301693905000642]:
  Angle -10: cl=-0.5646160840988159, cd=0.23313353955745697, cm=-0.18977712094783783
  Angle -9: cl=-0.5913143157958984, cd=0.20016340911388397, cm=-0.1861654371023178
  Angle -8: cl=-0.6141477227210999, cd=0.16526781022548676, cm=-0.1849634200334549
  Angle -7: cl=-0.6526386141777039, cd=0.13060136139392853, cm=-0.180021271109581
  Angle -6: cl=-0.6072274446487427, cd=0.11585680395364761, cm=-0.16527710855007172
  Angle -5: cl=-0.5002597570419312, cd=0.10418638586997986, cm=-0.15211017429828644
  Angle -4: cl=-0.40866154432296753, cd=0.0992281585931778, cm=-0.13885922729969025
  Angle -3: cl=-0.3068016469478607, cd=0.09336742013692856, cm=-0.12519954144954681
  Angle -2: cl=-0.22760838270187378, cd=0.08800554275512695, cm=-0.10318620502948761
  Angle -1: cl=-0.1665346771478653, cd=0.08332228660583496, cm=-0.07394607365131378
  Angle 0: cl=-0.09464089572429657, cd=0.08247129619121552, cm=-0.04578767716884613
  Angle 1: cl=-0.011216754093766212, cd=0.08296619355678558, cm=-0.023756638169288635
  Angle 2: cl=0.07239986956119537, cd=0.08383072167634964, cm=-0.008498355746269226
  Angle 3: cl=0.3081452250480652, cd=0.06818440556526184, cm=-0.0036897510290145874
  Angle 4: cl=0.4189232587814331, cd=0.0727495551109314, cm=0.001219138503074646
  Angle 5: cl=0.5173644423484802, cd=0.08102823793888092, cm=0.0046374499797821045
  Angle 6: cl=0.6099737882614136, cd=0.08817960321903229, cm=0.006890490651130676
  Angle 7: cl=0.6998118162155151, cd=0.09477689862251282, cm=0.009342938661575317
  Angle 8: cl=0.7900784611701965, cd=0.10146099328994751, cm=0.011170968413352966
  Angle 9: cl=0.8851504325866699, cd=0.10554083436727524, cm=0.003072082996368408
  Angle 10: cl=0.984424352645874, cd=0.11120550334453583, cm=-0.0048318952322006226
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.050256454929855435, -0.003, 0.0025, 7.507500612639736, 10.301693905000642]:
  Angle -10: cl=-0.5648528933525085, cd=0.2331276386976242, cm=-0.1897931843996048
  Angle -9: cl=-0.591247022151947, cd=0.20009863376617432, cm=-0.1862822026014328
  Angle -8: cl=-0.6140779852867126, cd=0.1652175486087799, cm=-0.18511925637722015
  Angle -7: cl=-0.6528739929199219, cd=0.13052186369895935, cm=-0.1801438182592392
  Angle -6: cl=-0.6071463823318481, cd=0.11582158505916595, cm=-0.16537992656230927
  Angle -5: cl=-0.5000874400138855, cd=0.10413176566362381, cm=-0.15220622718334198
  Angle -4: cl=-0.40909919142723083, cd=0.09926971793174744, cm=-0.1388937085866928
  Angle -3: cl=-0.3072870075702667, cd=0.09342832863330841, cm=-0.12526316940784454
  Angle -2: cl=-0.2281123399734497, cd=0.08807516098022461, cm=-0.10322408378124237
  Angle -1: cl=-0.16700221598148346, cd=0.08336653560400009, cm=-0.07399438321590424
