Experiment: Combination_Experiment_264
Generation: 79
Timestamp: 20231226_234323

Genotypes and their Fitness Values:
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.634929832954706, 10.018600094586029] - Fitness: 0.2625112419439471
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.653116359182127, 10.042089360887664] - Fitness: 0.2590906042102698
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.017001480967608] - Fitness: 0.2627689257758132
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.656999074531689, 10.018600094586029] - Fitness: -0.3827782397051176
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.2528038104933462, -0.023, 0.05, -0.003, 0.0025, 7.634929832954706, 10.042089360887664] - Fitness: 0.10008070389254495
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.653116359182127, 10.092901883744863] - Fitness: 0.25347715179968705
[0.0085, 0.46, 0.13, -0.8975821060674307, 0.26, -0.023, 0.07020619411460466, -0.003, 0.0025, 7.634929832954706, 10.018600094586029] - Fitness: 0.2507503260074923
[0.0085, 0.45998051696098974, 0.13, -0.8906316421316214, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.653116359182127, 10.049467509423522] - Fitness: 0.25766499334349663
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.018600094586029] - Fitness: 0.2625949592315944
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.653116359182127, 10.0] - Fitness: 0.2637358190258947
[0.0126, 0.45998051696098974, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.633084319382947, 10.049467509423522] - Fitness: -0.984133506592509
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.653116359182127, 10.03171447497843] - Fitness: 0.2602353391307033
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.042089360887664] - Fitness: 0.2600033220720133
[0.012013091461402475, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.018600094586029] - Fitness: -0.3714540762880836
[0.0126, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.653116359182127, 10.049467509423522] - Fitness: -0.9849569747497426
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.656999074531689, 10.018600094586029] - Fitness: 0.261504048576028
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.009227359144045] - Fitness: 0.26362945609309313
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.049467509423522] - Fitness: 0.2591881563909467
[0.0085, 0.44812652568112293, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.049467509423522] - Fitness: 0.2497160073830269
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.653116359182127, 10.03171447497843] - Fitness: 0.2602335222363609
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.653116359182127, 10.009227359144045] - Fitness: -0.20422641939629882
[0.0085, 0.46, 0.13, -0.8975821060674307, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.633084319382947, 10.044239478091148] - Fitness: -0.38456906828401133
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.044239478091148] - Fitness: 0.2597651285357997
[0.0126, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.044239478091148] - Fitness: -0.4591169588769203
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.653116359182127, 10.0] - Fitness: 0.2637358190258947
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.018600094586029] - Fitness: 0.262592779515009
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.018600094586029] - Fitness: 0.262592779515009
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.018600094586029] - Fitness: 0.262592779515009
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.018600094586029] - Fitness: 0.2625949592315944
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.018600094586029] - Fitness: 0.2625949592315944
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.018600094586029] - Fitness: 0.2625949592315944
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.018600094586029] - Fitness: 0.2625949592315944
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.018600094586029] - Fitness: 0.2625949592315944
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.018600094586029] - Fitness: 0.2625949592315944
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.653116359182127, 10.009227359144045] - Fitness: 0.26271565159969906
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.653116359182127, 10.009227359144045] - Fitness: 0.26271565159969906
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.653116359182127, 10.009227359144045] - Fitness: 0.26271736199732876
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.653116359182127, 10.009227359144045] - Fitness: 0.26271736199732876
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.653116359182127, 10.009227359144045] - Fitness: 0.26271736199732876
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.017001480967608] - Fitness: 0.2627689257758132
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.017001480967608] - Fitness: 0.2627689257758132
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.017001480967608] - Fitness: 0.2627689257758132
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.009227359144045] - Fitness: 0.2636268876215372
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.009227359144045] - Fitness: 0.26362945609309313
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.009227359144045] - Fitness: 0.26362945609309313
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.653116359182127, 10.0] - Fitness: 0.2637358190258947
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.007249544810074] - Fitness: 0.26384721667007877
[0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5915014024864735, 10.018600094586029] - Fitness: 0.2644635040792941
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.0] - Fitness: 0.26464470208175617
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.611561062565292, 10.001302768526648] - Fitness: 0.2654804040192531

Detailed Results for Each Genotype:
Genotype [0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.634929832954706, 10.018600094586029]:
  Angle -10: cl=-0.5646608471870422, cd=0.232994943857193, cm=-0.1898781806230545
  Angle -9: cl=-0.5902947783470154, cd=0.19984889030456543, cm=-0.18653251230716705
  Angle -8: cl=-0.613113522529602, cd=0.16503259539604187, cm=-0.18554334342479706
  Angle -7: cl=-0.6518416404724121, cd=0.1304345726966858, cm=-0.18048007786273956
  Angle -6: cl=-0.604733407497406, cd=0.11577274650335312, cm=-0.16576848924160004
  Angle -5: cl=-0.4978078007698059, cd=0.10407854616641998, cm=-0.15248532593250275
  Angle -4: cl=-0.4077185392379761, cd=0.09936702996492386, cm=-0.1391167789697647
  Angle -3: cl=-0.3059816360473633, cd=0.09355615824460983, cm=-0.12553216516971588
  Angle -2: cl=-0.22696253657341003, cd=0.08825363218784332, cm=-0.10345591604709625
  Angle -1: cl=-0.1657588630914688, cd=0.08354683220386505, cm=-0.07421909272670746
  Angle 0: cl=-0.09231965988874435, cd=0.08264241367578506, cm=-0.04632239043712616
  Angle 1: cl=-0.008650990203022957, cd=0.0831584483385086, cm=-0.024366244673728943
  Angle 2: cl=0.07522112131118774, cd=0.08405041694641113, cm=-0.009197339415550232
  Angle 3: cl=0.3134341537952423, cd=0.06816070526838303, cm=-0.004605695605278015
  Angle 4: cl=0.4241364300251007, cd=0.07263598591089249, cm=0.0006857216358184814
  Angle 5: cl=0.5224489569664001, cd=0.08090616017580032, cm=0.004087820649147034
  Angle 6: cl=0.6149448156356812, cd=0.08803500980138779, cm=0.00634397566318512
  Angle 7: cl=0.7047791481018066, cd=0.09463293105363846, cm=0.008817359805107117
  Angle 8: cl=0.7950814962387085, cd=0.10130498558282852, cm=0.010560870170593262
  Angle 9: cl=0.8904280662536621, cd=0.10562015324831009, cm=0.0029801130294799805
  Angle 10: cl=0.9894581437110901, cd=0.11191879212856293, cm=-0.004867717623710632
Genotype [0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.653116359182127, 10.042089360887664]:
  Angle -10: cl=-0.5645484924316406, cd=0.23289145529270172, cm=-0.18984286487102509
  Angle -9: cl=-0.5902227163314819, cd=0.19973939657211304, cm=-0.18651451170444489
  Angle -8: cl=-0.6130414009094238, cd=0.16491615772247314, cm=-0.18550629913806915
  Angle -7: cl=-0.6517762541770935, cd=0.1303459107875824, cm=-0.18039853870868683
  Angle -6: cl=-0.6047861576080322, cd=0.11568150669336319, cm=-0.16567854583263397
  Angle -5: cl=-0.4981018304824829, cd=0.10407375544309616, cm=-0.15239064395427704
  Angle -4: cl=-0.4079086184501648, cd=0.09935123473405838, cm=-0.1390242725610733
  Angle -3: cl=-0.3061422109603882, cd=0.09352849423885345, cm=-0.12542177736759186
  Angle -2: cl=-0.22733592987060547, cd=0.08821869641542435, cm=-0.10327102243900299
  Angle -1: cl=-0.16613341867923737, cd=0.08351826667785645, cm=-0.07403115928173065
  Angle 0: cl=-0.09279968589544296, cd=0.08261790126562119, cm=-0.046115443110466
  Angle 1: cl=-0.009149046614766121, cd=0.08315066248178482, cm=-0.024186834692955017
  Angle 2: cl=0.07466372102499008, cd=0.08403054624795914, cm=-0.008999690413475037
  Angle 3: cl=0.3131355047225952, cd=0.06810802966356277, cm=-0.004418089985847473
  Angle 4: cl=0.4233560562133789, cd=0.07270926982164383, cm=0.000782012939453125
  Angle 5: cl=0.5216678977012634, cd=0.0809812843799591, cm=0.004184842109680176
  Angle 6: cl=0.6142656803131104, cd=0.08809956163167953, cm=0.006426513195037842
  Angle 7: cl=0.7041018009185791, cd=0.09469756484031677, cm=0.008899837732315063
  Angle 8: cl=0.7944155931472778, cd=0.10137732326984406, cm=0.01065795123577118
  Angle 9: cl=0.8897513747215271, cd=0.10563905537128448, cm=0.00293596088886261
  Angle 10: cl=0.9887634515762329, cd=0.11191515624523163, cm=-0.004914507269859314
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.633084319382947, 10.017001480967608]:
  Angle -10: cl=-0.5646796822547913, cd=0.23300375044345856, cm=-0.18988172709941864
  Angle -9: cl=-0.5902998447418213, cd=0.19985614717006683, cm=-0.18653811514377594
  Angle -8: cl=-0.613118052482605, cd=0.16504091024398804, cm=-0.18555183708667755
  Angle -7: cl=-0.6518580317497253, cd=0.13043931126594543, cm=-0.18049119412899017
  Angle -6: cl=-0.604728639125824, cd=0.11577919125556946, cm=-0.16577954590320587
  Angle -5: cl=-0.49779361486434937, cd=0.10407929122447968, cm=-0.1524946540594101
  Angle -4: cl=-0.40772080421447754, cd=0.09936980158090591, cm=-0.13912563025951385
  Angle -3: cl=-0.3059885501861572, cd=0.09356062859296799, cm=-0.12554360926151276
  Angle -2: cl=-0.22695142030715942, cd=0.0882590040564537, cm=-0.10347281396389008
  Angle -1: cl=-0.1657463163137436, cd=0.08355071395635605, cm=-0.0742366760969162
  Angle 0: cl=-0.09228812903165817, cd=0.08264543116092682, cm=-0.04634331166744232
  Angle 1: cl=-0.008617149665951729, cd=0.08316005766391754, cm=-0.02438567578792572
  Angle 2: cl=0.0752633661031723, cd=0.08405319601297379, cm=-0.009219273924827576
  Angle 3: cl=0.31343093514442444, cd=0.06816872954368591, cm=-0.004626557230949402
  Angle 4: cl=0.42421188950538635, cd=0.07262790203094482, cm=0.0006733536720275879
  Angle 5: cl=0.5225258469581604, cd=0.08089784532785416, cm=0.004075601696968079
  Angle 6: cl=0.6150151491165161, cd=0.08802713453769684, cm=0.006332755088806152
  Angle 7: cl=0.704849362373352, cd=0.0946250632405281, cm=0.008806154131889343
  Angle 8: cl=0.7951500415802002, cd=0.10129623860120773, cm=0.010547652840614319
  Angle 9: cl=0.8904999494552612, cd=0.10561839491128922, cm=0.00298444926738739
  Angle 10: cl=0.9895287752151489, cd=0.11192263662815094, cm=-0.004862800240516663
Genotype [0.0085, 0.45998051696098974, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.656999074531689, 10.018600094586029]:
  Angle -10: cl=-0.5510671138763428, cd=0.21525666117668152, cm=-0.18305154144763947
  Angle -9: cl=-0.5844284296035767, cd=0.18423815071582794, cm=-0.17795313894748688
  Angle -8: cl=-0.6133530139923096, cd=0.15153008699417114, cm=-0.17305134236812592
  Angle -7: cl=-0.6404256820678711, cd=0.12546730041503906, cm=-0.16407279670238495
  Angle -6: cl=-0.6258127093315125, cd=0.10989949852228165, cm=-0.15211613476276398
  Angle -5: cl=-0.5238848924636841, cd=0.10084234923124313, cm=-0.1378256231546402
  Angle -4: cl=-0.42380112409591675, cd=0.09405824542045593, cm=-0.12216390669345856
  Angle -3: cl=-0.33843502402305603, cd=0.08635558187961578, cm=-0.09870998561382294
  Angle -2: cl=-0.2704258859157562, cd=0.0800507515668869, cm=-0.07231186330318451
  Angle -1: cl=-0.2152191400527954, cd=0.07681699842214584, cm=-0.04349450767040253
  Angle 0: cl=-0.1604183167219162, cd=0.08001183718442917, cm=-0.023103609681129456
  Angle 1: cl=-0.09543623775243759, cd=0.08810127526521683, cm=-0.006516769528388977
  Angle 2: cl=-0.018349872902035713, cd=0.09429008513689041, cm=0.006665617227554321
  Angle 3: cl=0.19348633289337158, cd=0.0859651118516922, cm=0.011019065976142883
  Angle 4: cl=0.280400812625885, cd=0.09156534820795059, cm=0.01754361391067505
  Angle 5: cl=0.3758557438850403, cd=0.09725622087717056, cm=0.021530553698539734
  Angle 6: cl=0.4714387059211731, cd=0.09929689019918442, cm=0.016690224409103394
  Angle 7: cl=0.5695685744285583, cd=0.10073461383581161, cm=0.010937437415122986
  Angle 8: cl=0.66461580991745, cd=0.10315092653036118, cm=0.004516482353210449
  Angle 9: cl=0.7577433586120605, cd=0.10658719390630722, cm=-0.004578813910484314
  Angle 10: cl=0.8752523064613342, cd=0.1084243655204773, cm=-0.026758596301078796
Genotype [0.0085, 0.45998051696098974, 0.13, -0.9, 0.2528038104933462, -0.023, 0.05, -0.003, 0.0025, 7.634929832954706, 10.042089360887664]:
  Angle -10: cl=-0.5626133680343628, cd=0.2283944934606552, cm=-0.18842713534832
  Angle -9: cl=-0.5905925035476685, cd=0.19509416818618774, cm=-0.18534742295742035
  Angle -8: cl=-0.6133973598480225, cd=0.15994668006896973, cm=-0.18341152369976044
  Angle -7: cl=-0.6528615355491638, cd=0.12642450630664825, cm=-0.1764991134405136
  Angle -6: cl=-0.6112120151519775, cd=0.1132703348994255, cm=-0.16116617619991302
  Angle -5: cl=-0.5126338601112366, cd=0.10379905253648758, cm=-0.147895947098732
  Angle -4: cl=-0.4190715253353119, cd=0.0987744927406311, cm=-0.1347363144159317
  Angle -3: cl=-0.3162100911140442, cd=0.09254394471645355, cm=-0.1205596774816513
  Angle -2: cl=-0.2444438338279724, cd=0.08695410192012787, cm=-0.09545908868312836
