Experiment: Combination_Experiment_268
Generation: 20
Timestamp: 20231227_011218

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.7551729474846468, 0.2, -0.022210212157125417, 0.05, -0.003, 0.0036190252192644244, 7.070251325172891, 10.0] - Fitness: -1.6570731479498888
[0.00891382014688492, 0.46, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05807767876132216, -0.003, 0.00304400832044457, 7.070251325172891, 10.0] - Fitness: 0.07985262085671366
[0.0085, 0.4551075851144489, 0.13, -0.9, 0.26, -0.023, 0.05807767876132216, -0.003, 0.00304400832044457, 7.070251325172891, 10.0] - Fitness: 0.2252914583704593
[0.0085, 0.46, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.003, 0.0036190252192644244, 7.070251325172891, 10.0] - Fitness: 0.10425642130179347
[0.0085, 0.41, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.0036537631153804153, 0.00304400832044457, 7.070251325172891, 10.108267503155135] - Fitness: -0.06155915184203002
[0.0126, 0.4551075851144489, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.0036537631153804153, 0.00304400832044457, 7.070251325172891, 10.108267503155135] - Fitness: -0.620041079661721
[0.0085, 0.46, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.003, 0.00304400832044457, 7.070251325172891, 10.833137627109904] - Fitness: 0.07731952177818396
[0.0085, 0.4551075851144489, 0.13, -0.8815182889316775, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.070251325172891, 10.108267503155135] - Fitness: 0.2731543196471192
[0.0085, 0.4551075851144489, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.2, -0.003, 0.00304400832044457, 7.070251325172891, 10.0] - Fitness: 0.07809391088815894
[0.0085, 0.46, 0.13, -0.8815182889316775, 0.26, -0.023, 0.05, -0.003, 0.00304400832044457, 7.070251325172891, 10.533279397777191] - Fitness: 0.1713086459520434
[0.0085, 0.4551075851144489, 0.13, -0.7, 0.26, -0.022210212157125417, 0.05, -0.003, 0.00304400832044457, 7.070251325172891, 10.0] - Fitness: 0.15651188348252595
[0.0085, 0.46, 0.11, -0.7551729474846468, 0.26, -0.022210212157125417, 0.05, -0.003, 0.0036190252192644244, 7.070251325172891, 10.108267503155135] - Fitness: -0.6331305319545204
[0.0085, 0.4551075851144489, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.003, 0.0036190252192644244, 7.070251325172891, 10.108267503155135] - Fitness: 0.09122873053257576
[0.00891382014688492, 0.4551075851144489, 0.13, -0.7, 0.26, -0.022210212157125417, 0.2, -0.003, 0.0025232593350743046, 7.070251325172891, 10.0] - Fitness: 0.040538264090493666
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.022210212157125417, 0.05, -0.003, 0.00304400832044457, 7.070251325172891, 10.108267503155135] - Fitness: 0.14500378149102167
[0.00891382014688492, 0.4551075851144489, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.0036537631153804153, 0.0025232593350743046, 7.070251325172891, 10.0] - Fitness: 0.009264571060680573
[0.0085, 0.46, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.2, -0.003, 0.005, 7.070251325172891, 10.108267503155135] - Fitness: -0.15427430362469036
[0.00891382014688492, 0.46, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.003, 0.00304400832044457, 7.070251325172891, 10.0] - Fitness: 0.08480107477192743
[0.00891382014688492, 0.46, 0.13, -0.8073676938009323, 0.26, -0.022210212157125417, 0.05, -0.003, 0.00304400832044457, 7.070251325172891, 10.108267503155135] - Fitness: 0.0682734150879388
[0.0085, 0.4551075851144489, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.0036537631153804153, 0.00304400832044457, 7.070251325172891, 10.0] - Fitness: 0.03561754562267517
[0.0085, 0.41782199190870245, 0.13, -0.7, 0.26, -0.022210212157125417, 0.14446781887917834, -0.003, 0.00304400832044457, 7.070251325172891, 10.0] - Fitness: 0.018779706073435532
[0.00891382014688492, 0.41, 0.13, -0.8073676938009323, 0.26, -0.023, 0.05, -0.003, 0.00304400832044457, 7.070251325172891, 10.108267503155135] - Fitness: 0.02104036217322585
[0.0085, 0.4551075851144489, 0.13, -0.9, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.070251325172891, 10.0] - Fitness: 0.20220157758697585
[0.0085, 0.41, 0.13, -0.7551729474846468, 0.26, -0.022210212157125417, 0.05807767876132216, -0.003, 0.0036190252192644244, 7.070251325172891, 10.0] - Fitness: -0.01898576057594755
[0.0085, 0.46, 0.13, -0.7551729474846468, 0.26, -0.023, 0.05, -0.003, 0.005, 7.070251325172891, 10.108267503155135] - Fitness: -0.005156726007180537
[0.0085, 0.46, 0.13, -0.7551729474846468, 0.26, -0.022210212157125417, 0.05, -0.003, 0.0036190252192644244, 7.070251325172891, 10.108267503155135] - Fitness: 0.08467071035250819
[0.0085, 0.41782199190870245, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.003, 0.00304400832044457, 7.070251325172891, 10.0] - Fitness: 0.08471155631638028
[0.0085, 0.46, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.0036537631153804153, 0.0025, 7.070251325172891, 10.108267503155135] - Fitness: 0.09031018283870752
[0.0085, 0.4551075851144489, 0.13, -0.7551729474846468, 0.26, -0.022210212157125417, 0.05, -0.003, 0.0036190252192644244, 7.070251325172891, 10.0] - Fitness: 0.09523183325883931
[0.0085, 0.46, 0.13, -0.7551729474846468, 0.26, -0.022210212157125417, 0.05, -0.003, 0.0036190252192644244, 7.070251325172891, 10.0] - Fitness: 0.09654076725876048
[0.0085, 0.4551075851144489, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.0036537631153804153, 0.0025232593350743046, 7.070251325172891, 10.0] - Fitness: 0.09713879245190238
[0.0085, 0.4551075851144489, 0.13, -0.9, 0.26, -0.023, 0.05, -0.0036537631153804153, 0.00304400832044457, 7.070251325172891, 10.0] - Fitness: 0.10297422149004877
[0.0085, 0.4551075851144489, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.003, 0.0036190252192644244, 7.070251325172891, 10.0] - Fitness: 0.10310219302390344
[0.0085, 0.4551075851144489, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.003, 0.0036190252192644244, 7.0, 10.0] - Fitness: 0.10701675722928662
[0.0085, 0.41, 0.13, -0.9, 0.26, -0.023, 0.05807767876132216, -0.003, 0.00304400832044457, 7.070251325172891, 10.0] - Fitness: 0.11277475408921299
[0.00891382014688492, 0.4551075851144489, 0.13, -0.8073676938009323, 0.26, -0.023, 0.05807767876132216, -0.003, 0.00304400832044457, 7.070251325172891, 10.108267503155135] - Fitness: 0.12650955261969254
[0.00891382014688492, 0.46, 0.13, -0.8073676938009323, 0.26, -0.023, 0.05807767876132216, -0.003, 0.00304400832044457, 7.070251325172891, 10.108267503155135] - Fitness: 0.12847594889859246
[0.0085, 0.4551075851144489, 0.13, -0.8815182889316775, 0.26, -0.023, 0.2, -0.003, 0.00304400832044457, 7.070251325172891, 10.108267503155135] - Fitness: 0.13016742206827475
[0.0085, 0.4551075851144489, 0.13, -0.8815182889316775, 0.26, -0.023, 0.2, -0.003, 0.00304400832044457, 7.070251325172891, 10.108267503155135] - Fitness: 0.13016742206827475
[0.00891382014688492, 0.46, 0.13, -0.8073676938009323, 0.26, -0.022210212157125417, 0.05807767876132216, -0.003, 0.0025232593350743046, 7.070251325172891, 10.0] - Fitness: 0.13671221100140749
[0.0085, 0.46, 0.13, -0.7551729474846468, 0.26, -0.023, 0.05, -0.003, 0.0036190252192644244, 7.070251325172891, 10.108267503155135] - Fitness: 0.14777255365922767
[0.0085, 0.4551075851144489, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.003, 0.00304400832044457, 7.070251325172891, 10.108267503155135] - Fitness: 0.15616893100084278
[0.0085, 0.46, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.003, 0.00304400832044457, 7.070251325172891, 10.108267503155135] - Fitness: 0.15680419791873784
[0.0085, 0.4551075851144489, 0.13, -0.8671292529873779, 0.26, -0.022210212157125417, 0.05, -0.003, 0.00304400832044457, 7.070251325172891, 10.0] - Fitness: 0.16706294044744902
[0.0085, 0.4551075851144489, 0.13, -0.8671292529873779, 0.26, -0.022210212157125417, 0.05, -0.003, 0.00304400832044457, 7.070251325172891, 10.0] - Fitness: 0.16706294044744902
[0.0085, 0.4551075851144489, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.003, 0.00304400832044457, 7.070251325172891, 10.0] - Fitness: 0.16796899662535503
[0.0085, 0.4551075851144489, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.003, 0.00304400832044457, 7.070251325172891, 10.0] - Fitness: 0.16796899662535503
[0.0085, 0.46, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.003, 0.00304400832044457, 7.070251325172891, 10.0] - Fitness: 0.16880016065841089
[0.0085, 0.4551075851144489, 0.13, -0.8671292529873779, 0.26, -0.023, 0.14446781887917834, -0.003, 0.0025, 7.070251325172891, 10.108267503155135] - Fitness: 0.21933490206761502
[0.0085, 0.4551075851144489, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.00304400832044457, 7.070251325172891, 10.0] - Fitness: 0.2298660317580051

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.7551729474846468, 0.2, -0.022210212157125417, 0.05, -0.003, 0.0036190252192644244, 7.070251325172891, 10.0]:
  Angle -10: cl=-0.5671484470367432, cd=0.19181624054908752, cm=-0.16938664019107819
  Angle -9: cl=-0.5969123244285583, cd=0.1635594666004181, cm=-0.1640135794878006
  Angle -8: cl=-0.6270055770874023, cd=0.15056447684764862, cm=-0.1460711807012558
  Angle -7: cl=-0.6545850038528442, cd=0.13902078568935394, cm=-0.12091071903705597
  Angle -6: cl=-0.6892035603523254, cd=0.12033382058143616, cm=-0.09813575446605682
  Angle -5: cl=-0.6834507584571838, cd=0.10288353264331818, cm=-0.07112745940685272
  Angle -4: cl=-0.6375943422317505, cd=0.09466125816106796, cm=-0.05177883803844452
  Angle -3: cl=-0.5674749612808228, cd=0.09893510490655899, cm=-0.04265625774860382
  Angle -2: cl=-0.5236839652061462, cd=0.10003913938999176, cm=-0.03191147744655609
  Angle -1: cl=-0.4682517945766449, cd=0.10438717156648636, cm=-0.014699593186378479
  Angle 0: cl=-0.4017755687236786, cd=0.10806120187044144, cm=-0.0008257478475570679
  Angle 1: cl=-0.32802024483680725, cd=0.11129852384328842, cm=0.010575622320175171
  Angle 2: cl=-0.1884029656648636, cd=0.10937570780515671, cm=0.016705721616744995
  Angle 3: cl=-0.019299259409308434, cd=0.10578005760908127, cm=0.013704434037208557
  Angle 4: cl=0.08013002574443817, cd=0.10788502544164658, cm=0.009936392307281494
  Angle 5: cl=0.2010514736175537, cd=0.10539993643760681, cm=-0.006024494767189026
  Angle 6: cl=0.31103259325027466, cd=0.10239097476005554, cm=-0.02415238320827484
  Angle 7: cl=0.42038092017173767, cd=0.10066243261098862, cm=-0.04639656841754913
  Angle 8: cl=0.5342959761619568, cd=0.09890565276145935, cm=-0.07007811963558197
  Angle 9: cl=0.6508703231811523, cd=0.09715167433023453, cm=-0.09479986131191254
  Angle 10: cl=0.7622107863426208, cd=0.09645947813987732, cm=-0.11924149096012115
Genotype [0.00891382014688492, 0.46, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05807767876132216, -0.003, 0.00304400832044457, 7.070251325172891, 10.0]:
  Angle -10: cl=-0.5581086874008179, cd=0.22863347828388214, cm=-0.18747030198574066
  Angle -9: cl=-0.5852410793304443, cd=0.19565843045711517, cm=-0.18433691561222076
  Angle -8: cl=-0.6077204346656799, cd=0.16044321656227112, cm=-0.18233449757099152
  Angle -7: cl=-0.6437727808952332, cd=0.12775516510009766, cm=-0.17511384189128876
  Angle -6: cl=-0.611082911491394, cd=0.11332545429468155, cm=-0.16065584123134613
  Angle -5: cl=-0.512531042098999, cd=0.1037919744849205, cm=-0.14769409596920013
  Angle -4: cl=-0.4153985381126404, cd=0.09832217544317245, cm=-0.13471229374408722
  Angle -3: cl=-0.31222328543663025, cd=0.09194742143154144, cm=-0.12033136188983917
  Angle -2: cl=-0.24274984002113342, cd=0.08629722893238068, cm=-0.09485422074794769
  Angle -1: cl=-0.18237173557281494, cd=0.08149448782205582, cm=-0.06566692888736725
  Angle 0: cl=-0.11492052674293518, cd=0.08131347596645355, cm=-0.038009390234947205
  Angle 1: cl=-0.03749225288629532, cd=0.08133991807699203, cm=-0.015310302376747131
  Angle 2: cl=0.04598691314458847, cd=0.08384063094854355, cm=-0.001412704586982727
  Angle 3: cl=0.289234459400177, cd=0.07086164504289627, cm=0.00018696486949920654
  Angle 4: cl=0.3819809854030609, cd=0.0764143168926239, cm=0.005303472280502319
  Angle 5: cl=0.4803090989589691, cd=0.08430894464254379, cm=0.008721038699150085
  Angle 6: cl=0.5767852663993835, cd=0.09112365543842316, cm=0.010768309235572815
  Angle 7: cl=0.667746365070343, cd=0.097704216837883, cm=0.012958317995071411
  Angle 8: cl=0.7586805820465088, cd=0.10226693004369736, cm=0.009192422032356262
  Angle 9: cl=0.8531153202056885, cd=0.10635444521903992, cm=0.0008441358804702759
  Angle 10: cl=0.9514454007148743, cd=0.11188703030347824, cm=-0.0071210116147994995
Genotype [0.0085, 0.4551075851144489, 0.13, -0.9, 0.26, -0.023, 0.05807767876132216, -0.003, 0.00304400832044457, 7.070251325172891, 10.0]:
  Angle -10: cl=-0.5609928965568542, cd=0.2334950715303421, cm=-0.18910633027553558
  Angle -9: cl=-0.5886668562889099, cd=0.20111803710460663, cm=-0.18476398289203644
  Angle -8: cl=-0.6111397743225098, cd=0.16613294184207916, cm=-0.1834551841020584
  Angle -7: cl=-0.6458417773246765, cd=0.13206566870212555, cm=-0.1786518543958664
  Angle -6: cl=-0.6074568629264832, cd=0.11617133766412735, cm=-0.16434024274349213
  Angle -5: cl=-0.5026316046714783, cd=0.1047772541642189, cm=-0.1513354629278183
  Angle -4: cl=-0.4046719968318939, cd=0.09875261783599854, cm=-0.13875450193881989
  Angle -3: cl=-0.3023156523704529, cd=0.09271007031202316, cm=-0.12485851347446442
  Angle -2: cl=-0.2239011824131012, cd=0.08729081600904465, cm=-0.10277234017848969
  Angle -1: cl=-0.1626090556383133, cd=0.08270680904388428, cm=-0.07335133850574493
  Angle 0: cl=-0.09419874846935272, cd=0.08198222517967224, cm=-0.04462800920009613
  Angle 1: cl=-0.011468479409813881, cd=0.08249209076166153, cm=-0.022406861186027527
  Angle 2: cl=0.07111518830060959, cd=0.08310350775718689, cm=-0.006899043917655945
  Angle 3: cl=0.3101296126842499, cd=0.06731684505939484, cm=-0.0022338777780532837
  Angle 4: cl=0.4113045334815979, cd=0.07328226417303085, cm=0.002310022711753845
  Angle 5: cl=0.5094104409217834, cd=0.08162139356136322, cm=0.0056287795305252075
  Angle 6: cl=0.602061927318573, cd=0.08897058665752411, cm=0.008273810148239136
  Angle 7: cl=0.6919394135475159, cd=0.09556394815444946, cm=0.010580167174339294
  Angle 8: cl=0.7823235988616943, cd=0.10169652849435806, cm=0.011057689785957336
  Angle 9: cl=0.8766254186630249, cd=0.10569003224372864, cm=0.002800300717353821
  Angle 10: cl=0.9764056205749512, cd=0.11085566878318787, cm=-0.005140289664268494
Genotype [0.0085, 0.46, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.003, 0.0036190252192644244, 7.070251325172891, 10.0]:
  Angle -10: cl=-0.5560895800590515, cd=0.229998379945755, cm=-0.18729586899280548
  Angle -9: cl=-0.5807958841323853, cd=0.19691237807273865, cm=-0.18460430204868317
  Angle -8: cl=-0.6032741069793701, cd=0.16186049580574036, cm=-0.18317358195781708
  Angle -7: cl=-0.6388921737670898, cd=0.12908925116062164, cm=-0.1763049215078354
  Angle -6: cl=-0.6082099080085754, cd=0.11371349543333054, cm=-0.1620124727487564
  Angle -5: cl=-0.5098009705543518, cd=0.10391300916671753, cm=-0.14906828105449677
  Angle -4: cl=-0.4129384756088257, cd=0.09841175377368927, cm=-0.136082723736763
  Angle -3: cl=-0.31009820103645325, cd=0.09201934933662415, cm=-0.12167875468730927
  Angle -2: cl=-0.24048155546188354, cd=0.08647581934928894, cm=-0.09649012982845306
  Angle -1: cl=-0.17988355457782745, cd=0.08151186257600784, cm=-0.06725360453128815
  Angle 0: cl=-0.1122262179851532, cd=0.08138826489448547, cm=-0.039305344223976135
  Angle 1: cl=-0.03379615396261215, cd=0.08129419386386871, cm=-0.0166560560464859
  Angle 2: cl=0.049835141748189926, cd=0.08312997221946716, cm=-0.002149805426597595
  Angle 3: cl=0.2925257086753845, cd=0.0700674057006836, cm=-0.0006380230188369751
  Angle 4: cl=0.38415366411209106, cd=0.07564005255699158, cm=0.004581868648529053
  Angle 5: cl=0.4818466901779175, cd=0.08389919251203537, cm=0.007889434695243835
  Angle 6: cl=0.5790046453475952, cd=0.0909125879406929, cm=0.010243400931358337
  Angle 7: cl=0.6693512797355652, cd=0.0975000336766243, cm=0.012511193752288818
  Angle 8: cl=0.7600787281990051, cd=0.10231822729110718, cm=0.009460791945457458
  Angle 9: cl=0.8545545339584351, cd=0.10639635473489761, cm=0.00112895667552948
  Angle 10: cl=0.9527566432952881, cd=0.11274062097072601, cm=-0.006825879216194153
Genotype [0.0085, 0.41, 0.13, -0.8815182889316775, 0.26, -0.022210212157125417, 0.05, -0.0036537631153804153, 0.00304400832044457, 7.070251325172891, 10.108267503155135]:
  Angle -10: cl=-0.5565690994262695, cd=0.22096210718154907, cm=-0.18079711496829987
  Angle -9: cl=-0.5879602432250977, cd=0.1898169070482254, cm=-0.17405323684215546
  Angle -8: cl=-0.62715083360672, cd=0.15960809588432312, cm=-0.1668349653482437
  Angle -7: cl=-0.6659125685691833, cd=0.13146746158599854, cm=-0.16002582013607025
  Angle -6: cl=-0.6217331886291504, cd=0.12005124986171722, cm=-0.15098609030246735
  Angle -5: cl=-0.48091304302215576, cd=0.1038946583867073, cm=-0.13983578979969025
  Angle -4: cl=-0.3591926693916321, cd=0.09173372387886047, cm=-0.12648020684719086
  Angle -3: cl=-0.25643783807754517, cd=0.08303934335708618, cm=-0.10742519795894623
  Angle -2: cl=-0.18580475449562073, cd=0.07868937402963638, cm=-0.08080689609050751
  Angle -1: cl=-0.12885384261608124, cd=0.07616829127073288, cm=-0.05211229622364044
  Angle 0: cl=-0.07102647423744202, cd=0.07669544219970703, cm=-0.023565366864204407
  Angle 1: cl=-0.015764528885483742, cd=0.0845346450805664, cm=-0.0028806477785110474
  Angle 2: cl=0.07858732342720032, cd=0.08758673816919327, cm=0.008709162473678589
  Angle 3: cl=0.24214717745780945, cd=0.08422616869211197, cm=0.014162912964820862
  Angle 4: cl=0.3212130665779114, cd=0.09078384935855865, cm=0.019414961338043213
  Angle 5: cl=0.4006917178630829, cd=0.09569689631462097, cm=0.02120301127433777
  Angle 6: cl=0.4878435432910919, cd=0.09832993149757385, cm=0.016348913311958313
  Angle 7: cl=0.5809835195541382, cd=0.10014994442462921, cm=0.010967090725898743
  Angle 8: cl=0.6767215728759766, cd=0.10360974073410034, cm=0.004814326763153076
  Angle 9: cl=0.7675411701202393, cd=0.10775019973516464, cm=-0.0029875487089157104
  Angle 10: cl=0.8602284789085388, cd=0.11155812442302704, cm=-0.011559471487998962
