Experiment: Combination_Experiment_276
Generation: 50
Timestamp: 20231227_041744

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8006679391961347, 0.26, -0.023, 0.05, -0.003082648909028631, 0.0025, 7.0, 10.0] - Fitness: 0.2719793118855889
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.17026223118107758, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.22387889030698765
[0.0085, 0.46, 0.13, -0.8958637800628003, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.381612634132694, 10.0] - Fitness: 0.18907778734932143
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.2, -0.003082648909028631, 0.0025, 7.0, 10.0] - Fitness: 0.193688967144626
[0.0085, 0.46, 0.13, -0.8958637800628003, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2909297698984214
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.20712836669692597
[0.0085, 0.45396786648415566, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.27473295778931806
[0.0085, 0.46, 0.13, -0.9, 0.2, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: -1.4003819773814459
[0.0085, 0.46, 0.13, -0.8166209572650669, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: -0.3532637892013684
[0.0085, 0.45396786648415566, 0.13, -0.8166209572650669, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.28246178426349566
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.17026223118107758, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.22387889030698765
[0.0085, 0.46, 0.13, -0.8958637800628003, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.20685698180481812
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003082648909028631, 0.0025, 7.0, 10.896287941591025] - Fitness: 0.16699428953394557
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.29120005009671157
[0.0085, 0.46, 0.13, -0.8958637800628003, 0.26, -0.023, 0.05, -0.003082648909028631, 0.0025, 7.0, 10.896287941591025] - Fitness: 0.17993912835615652
[0.0085, 0.45396786648415566, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.26183026089096] - Fitness: 0.15037903931696137
[0.0085, 0.45396786648415566, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2879883525332077
[0.0085, 0.45396786648415566, 0.13, -0.8958637800628003, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2877146504184862
[0.0085, 0.46, 0.13, -0.8166209572650669, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2857575475335387
[0.0085, 0.46, 0.13, -0.8166209572650669, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2857575475335387
[0.0085, 0.46, 0.13, -0.8166209572650669, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2857575475335387
[0.0085, 0.46, 0.13, -0.8166209572650669, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2857575475335387
[0.0085, 0.46, 0.13, -0.8166209572650669, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2857575475335387
[0.0085, 0.46, 0.13, -0.8166209572650669, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2857575475335387
[0.0085, 0.46, 0.13, -0.8166209572650669, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2857575475335387
[0.0085, 0.45396786648415566, 0.13, -0.8958637800628003, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2877146504184862
[0.0085, 0.45396786648415566, 0.13, -0.8958637800628003, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2877146504184862
[0.0085, 0.45396786648415566, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2879883525332077
[0.0085, 0.45396786648415566, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2879883525332077
[0.0085, 0.45396786648415566, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2879883525332077
[0.0085, 0.45396786648415566, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2879883525332077
[0.0085, 0.45396786648415566, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2879883525332077
[0.0085, 0.45396786648415566, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2879883525332077
[0.0085, 0.45396786648415566, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2879883525332077
[0.0085, 0.45396786648415566, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2879883525332077
[0.0085, 0.45396786648415566, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2879883525332077
[0.0085, 0.45396786648415566, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2879883525332077
[0.0085, 0.45396786648415566, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2879883525332077
[0.0085, 0.46, 0.13, -0.8958637800628003, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2909297698984214
[0.0085, 0.46, 0.13, -0.8958637800628003, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2909297698984214
[0.0085, 0.46, 0.13, -0.8958637800628003, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2909297698984214
[0.0085, 0.46, 0.13, -0.8958637800628003, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2909297698984214
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.29120005009671157
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.29120005009671157
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.29120005009671157
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.29120005009671157
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.29120005009671157
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.29120005009671157
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.29120005009671157
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.29120005009671157

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8006679391961347, 0.26, -0.023, 0.05, -0.003082648909028631, 0.0025, 7.0, 10.0]:
  Angle -10: cl=-0.567171573638916, cd=0.23433524370193481, cm=-0.19013045728206635
  Angle -9: cl=-0.5942042469978333, cd=0.20158281922340393, cm=-0.18609823286533356
  Angle -8: cl=-0.6170297265052795, cd=0.16674454510211945, cm=-0.18505088984966278
  Angle -7: cl=-0.6563195586204529, cd=0.13130295276641846, cm=-0.18095405399799347
  Angle -6: cl=-0.6062220931053162, cd=0.11711494624614716, cm=-0.16631712019443512
  Angle -5: cl=-0.499661922454834, cd=0.1047733798623085, cm=-0.1528911143541336
  Angle -4: cl=-0.4047410190105438, cd=0.09922723472118378, cm=-0.14007215201854706
  Angle -3: cl=-0.30311357975006104, cd=0.0934726744890213, cm=-0.12659718096256256
  Angle -2: cl=-0.22180692851543427, cd=0.08819493651390076, cm=-0.1053561121225357
  Angle -1: cl=-0.16079892218112946, cd=0.08361868560314178, cm=-0.0760774165391922
  Angle 0: cl=-0.08815696835517883, cd=0.08271361887454987, cm=-0.048102572560310364
  Angle 1: cl=-0.005149191245436668, cd=0.08295170962810516, cm=-0.02562953531742096
  Angle 2: cl=0.07884762436151505, cd=0.08393082767724991, cm=-0.010696664452552795
  Angle 3: cl=0.3102509677410126, cd=0.06880929321050644, cm=-0.0057646483182907104
  Angle 4: cl=0.4268341064453125, cd=0.07185374200344086, cm=8.651614189147949e-05
  Angle 5: cl=0.52553790807724, cd=0.08013838529586792, cm=0.0034992992877960205
  Angle 6: cl=0.6171748042106628, cd=0.08745653182268143, cm=0.005889341235160828
  Angle 7: cl=0.7070068120956421, cd=0.09405439347028732, cm=0.008362829685211182
  Angle 8: cl=0.7971248030662537, cd=0.10061803460121155, cm=0.010045155882835388
  Angle 9: cl=0.8921686410903931, cd=0.10528155416250229, cm=0.0035604536533355713
  Angle 10: cl=0.9920167326927185, cd=0.11092033237218857, cm=-0.0043379515409469604
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.17026223118107758, -0.003, 0.0025, 7.0, 10.0]:
  Angle -10: cl=-0.5659301280975342, cd=0.23356206715106964, cm=-0.18972553312778473
  Angle -9: cl=-0.5933277606964111, cd=0.20061470568180084, cm=-0.18599055707454681
  Angle -8: cl=-0.6161655187606812, cd=0.16568756103515625, cm=-0.18470342457294464
  Angle -7: cl=-0.6550899147987366, cd=0.13078884780406952, cm=-0.1799759715795517
  Angle -6: cl=-0.6093807220458984, cd=0.11620338261127472, cm=-0.16525621712207794
  Angle -5: cl=-0.5027704238891602, cd=0.10432949662208557, cm=-0.15199752151966095
  Angle -4: cl=-0.41030746698379517, cd=0.09923451393842697, cm=-0.13888566195964813
  Angle -3: cl=-0.3085923492908478, cd=0.0934467688202858, cm=-0.12535803020000458
  Angle -2: cl=-0.22818836569786072, cd=0.08808092772960663, cm=-0.10361923277378082
  Angle -1: cl=-0.16744346916675568, cd=0.08322866261005402, cm=-0.07453455030918121
  Angle 0: cl=-0.09582317620515823, cd=0.0823749303817749, cm=-0.04636962711811066
  Angle 1: cl=-0.01234232448041439, cd=0.08277160674333572, cm=-0.02422119677066803
  Angle 2: cl=0.07118644565343857, cd=0.08369272947311401, cm=-0.009105905890464783
  Angle 3: cl=0.30400189757347107, cd=0.06838451325893402, cm=-0.004051193594932556
  Angle 4: cl=0.4182834327220917, cd=0.07233380526304245, cm=0.0009591877460479736
  Angle 5: cl=0.5169768333435059, cd=0.08057954162359238, cm=0.00439801812171936
  Angle 6: cl=0.6094252467155457, cd=0.08776061236858368, cm=0.006642058491706848
  Angle 7: cl=0.6992572546005249, cd=0.09435851126909256, cm=0.009115517139434814
  Angle 8: cl=0.7893778085708618, cd=0.10098203271627426, cm=0.010850995779037476
  Angle 9: cl=0.8844650387763977, cd=0.10532476752996445, cm=0.0034766942262649536
  Angle 10: cl=0.983870267868042, cd=0.1108989417552948, cm=-0.004431530833244324
Genotype [0.0085, 0.46, 0.13, -0.8958637800628003, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.381612634132694, 10.0]:
  Angle -10: cl=-0.5638684034347534, cd=0.23155106604099274, cm=-0.18915410339832306
  Angle -9: cl=-0.5912467241287231, cd=0.198357954621315, cm=-0.18590523302555084
  Angle -8: cl=-0.6140727996826172, cd=0.16337165236473083, cm=-0.18445096909999847
  Angle -7: cl=-0.6532524824142456, cd=0.1290563941001892, cm=-0.17878936231136322
  Angle -6: cl=-0.608518660068512, cd=0.11464981734752655, cm=-0.16382546722888947
  Angle -5: cl=-0.5047096014022827, cd=0.10399290174245834, cm=-0.1506928652524948
  Angle -4: cl=-0.41243135929107666, cd=0.09905601292848587, cm=-0.1374325305223465
  Angle -3: cl=-0.3103192448616028, cd=0.09309934824705124, cm=-0.12363748252391815
  Angle -2: cl=-0.2337554395198822, cd=0.08765272051095963, cm=-0.1005340963602066
  Angle -1: cl=-0.17303384840488434, cd=0.08289100229740143, cm=-0.07142280042171478
  Angle 0: cl=-0.10229626297950745, cd=0.08216939121484756, cm=-0.043361321091651917
  Angle 1: cl=-0.01891934685409069, cd=0.08269567042589188, cm=-0.021483227610588074
  Angle 2: cl=0.06408502906560898, cd=0.08351384103298187, cm=-0.0062131136655807495
  Angle 3: cl=0.30493322014808655, cd=0.06792261451482773, cm=-0.0021722763776779175
  Angle 4: cl=0.4095500409603119, cd=0.07353624701499939, cm=0.002201855182647705
  Angle 5: cl=0.5080752372741699, cd=0.08179985731840134, cm=0.0056277066469192505
  Angle 6: cl=0.6021618247032166, cd=0.08878208696842194, cm=0.0076958537101745605
  Angle 7: cl=0.692023754119873, cd=0.09537907689809799, cm=0.010117799043655396
  Angle 8: cl=0.7823836207389832, cd=0.10164432972669601, cm=0.01079016923904419
  Angle 9: cl=0.8775539994239807, cd=0.1057295948266983, cm=0.0026121288537979126
  Angle 10: cl=0.9764432311058044, cd=0.11150115728378296, cm=-0.0052896589040756226
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.2, -0.003082648909028631, 0.0025, 7.0, 10.0]:
  Angle -10: cl=-0.5649439692497253, cd=0.23182834684848785, cm=-0.18914787471294403
  Angle -9: cl=-0.5934150815010071, cd=0.19887463748455048, cm=-0.18550856411457062
  Angle -8: cl=-0.6162533164024353, cd=0.16385987401008606, cm=-0.183980330824852
  Angle -7: cl=-0.6559984683990479, cd=0.12908333539962769, cm=-0.17878879606723785
  Angle -6: cl=-0.6081662178039551, cd=0.11496606469154358, cm=-0.16398175060749054
  Angle -5: cl=-0.5031911134719849, cd=0.10392698645591736, cm=-0.15092723071575165
  Angle -4: cl=-0.4098263680934906, cd=0.0988665446639061, cm=-0.13773782551288605
  Angle -3: cl=-0.3076033294200897, cd=0.09288252890110016, cm=-0.12393040955066681
  Angle -2: cl=-0.23091229796409607, cd=0.08744586259126663, cm=-0.10093729197978973
  Angle -1: cl=-0.17030808329582214, cd=0.08287164568901062, cm=-0.07175461947917938
  Angle 0: cl=-0.10018971562385559, cd=0.0821353867650032, cm=-0.043581172823905945
  Angle 1: cl=-0.017329087480902672, cd=0.08260807394981384, cm=-0.021542206406593323
  Angle 2: cl=0.0652647316455841, cd=0.08339180797338486, cm=-0.006367966532707214
  Angle 3: cl=0.304608017206192, cd=0.06791164726018906, cm=-0.0022194236516952515
  Angle 4: cl=0.40955281257629395, cd=0.07338933646678925, cm=0.0021399259567260742
  Angle 5: cl=0.508350133895874, cd=0.08168294280767441, cm=0.005566522479057312
  Angle 6: cl=0.6023613214492798, cd=0.0887473076581955, cm=0.007694646716117859
  Angle 7: cl=0.6922179460525513, cd=0.0953427404165268, cm=0.010078221559524536
  Angle 8: cl=0.7825803756713867, cd=0.10159848630428314, cm=0.01084628701210022
  Angle 9: cl=0.8775292634963989, cd=0.10564474761486053, cm=0.002675190567970276
  Angle 10: cl=0.9769132137298584, cd=0.11103054136037827, cm=-0.0052601248025894165
Genotype [0.0085, 0.46, 0.13, -0.8958637800628003, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0]:
  Angle -10: cl=-0.5673210620880127, cd=0.23544606566429138, cm=-0.1907452493906021
  Angle -9: cl=-0.5936793088912964, cd=0.20274361968040466, cm=-0.1864386647939682
