Experiment: Combination_Experiment_290
Generation: 99
Timestamp: 20231227_101201

Genotypes and their Fitness Values:
[0.0126, 0.4595059393507517, 0.11, -0.8419343664322463, 0.2, -0.015, 0.09153571507162502, -0.006, 0.005, 7.142276330801516, 14.0] - Fitness: -2.869657068668478
[0.0085, 0.4204575019508845, 0.11694263019898998, -0.7769058080191291, 0.24342590923466287, -0.015, 0.05, -0.006, 0.0025, 8.680933624746348, 11.256205510511293] - Fitness: -2.0289740622530013
[0.0126, 0.4204575019508845, 0.11694263019898998, -0.8419343664322463, 0.2, -0.015, 0.06637379834863928, -0.003, 0.005, 8.680933624746348, 13.951899209136359] - Fitness: -2.7298140049419475
[0.0126, 0.45682796531890424, 0.13, -0.9, 0.2, -0.015, 0.11336351589223165, -0.003136153840615989, 0.0034718755313698814, 7.183492866934781, 11.310870847974167] - Fitness: -2.885131026999585
[0.0126, 0.4303116523771542, 0.13, -0.7479216160058704, 0.24297871831172918, -0.015, 0.05, -0.0032555547125844397, 0.0025, 8.680933624746348, 14.0] - Fitness: -2.1084236256248983
[0.0085, 0.44852221217915406, 0.13, -0.7, 0.2, -0.015, 0.10709957769502942, -0.003, 0.0034718755313698814, 8.736225037489914, 11.213996188610862] - Fitness: -2.4036376030571023
[0.0126, 0.4303682556078692, 0.11, -0.8419343664322463, 0.2, -0.015, 0.10709957769502942, -0.006, 0.005, 8.736225037489914, 13.95341652503156] - Fitness: -2.7805373186408757
[0.0085, 0.434352762892434, 0.12682241451417237, -0.9, 0.26, -0.023, 0.06637379834863928, -0.003, 0.0034718755313698814, 8.680933624746348, 13.951899209136359] - Fitness: -0.4734857987112054
[0.0126, 0.44852221217915406, 0.13, -0.8419343664322463, 0.2, -0.015, 0.06637379834863928, -0.003, 0.005, 8.674647312067249, 13.951899209136359] - Fitness: -2.9612580246283953
[0.0126, 0.45682796531890424, 0.11001517806604369, -0.7698225876367294, 0.2, -0.023, 0.06637379834863928, -0.006, 0.0025, 8.680933624746348, 11.441921821627224] - Fitness: -2.4771217403530983
[0.0126, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003136153840615989, 0.0034718755313698814, 7.142276330801516, 11.441921821627224] - Fitness: -0.6805012922756555
[0.0085, 0.4303116523771542, 0.13, -0.7844117972406, 0.2, -0.015, 0.05, -0.0032555547125844397, 0.0034718755313698814, 8.736225037489914, 13.95190728680966] - Fitness: -2.4417123878378626
[0.0085, 0.4204575019508845, 0.11694263019898998, -0.8323603949450887, 0.26, -0.023, 0.06637379834863928, -0.006, 0.0025, 8.680933624746348, 11.469972267451361] - Fitness: -0.8589827396065861
[0.0126, 0.46, 0.11, -0.8272851562545075, 0.2, -0.015, 0.05, -0.006, 0.005, 8.680933624746348, 13.95341652503156] - Fitness: -2.8748004718166813
[0.0085, 0.45682796531890424, 0.12682241451417237, -0.8323603949450887, 0.26, -0.023, 0.05, -0.0031830250602786422, 0.0025, 7.183492866934781, 11.469972267451361] - Fitness: -0.03621156731587308
[0.0085, 0.4303116523771542, 0.13, -0.7944165683396939, 0.2, -0.023, 0.059972920625368124, -0.0032555547125844397, 0.0025, 7.142276330801516, 14.0] - Fitness: -1.8529781972510826
[0.0126, 0.46, 0.11806407364842644, -0.8419343664322463, 0.2, -0.015, 0.05, -0.003, 0.005, 8.680933624746348, 13.95341652503156] - Fitness: -2.923612946289418
[0.0085, 0.4204575019508845, 0.12682241451417237, -0.9, 0.26, -0.023, 0.05, -0.003136153840615989, 0.0034718755313698814, 7.183492866934781, 13.951899209136359] - Fitness: -0.4345931326373924
[0.0085, 0.41335162357541355, 0.13, -0.8419343664322463, 0.2, -0.023, 0.05, -0.003, 0.0025, 7.142276330801516, 13.966519707581547] - Fitness: -1.824045719590958
[0.010428916441538878, 0.45682796531890424, 0.12682241451417237, -0.7546842886647579, 0.26, -0.015, 0.05, -0.0032555547125844397, 0.0034718755313698814, 7.183492866934781, 14.0] - Fitness: -1.2827742234986266
[0.0126, 0.46, 0.13, -0.7, 0.2, -0.015, 0.05, -0.0032555547125844397, 0.0025, 8.71625022176555, 13.951899209136359] - Fitness: -2.9044173048435558
[0.0126, 0.4204575019508845, 0.13, -0.9, 0.24297871831172918, -0.023, 0.05, -0.003136153840615989, 0.0025, 8.680933624746348, 11.441921821627224] - Fitness: -1.2359982270717207
[0.0126, 0.44852221217915406, 0.13, -0.7, 0.2, -0.015, 0.05, -0.006, 0.0025, 8.674647312067249, 11.213996188610862] - Fitness: -2.794320522445795
[0.0126, 0.41335162357541355, 0.13, -0.7479216160058704, 0.2, -0.023, 0.05, -0.0032555547125844397, 0.0025, 8.680933624746348, 13.95341652503156] - Fitness: -2.2631020822256804
[0.0126, 0.4204575019508845, 0.13, -0.7386997811561431, 0.2, -0.015, 0.05, -0.0032555547125844397, 0.005, 7.142276330801516, 14.0] - Fitness: -2.7800194663599496
[0.0085, 0.46, 0.13, -0.7595387911563821, 0.26, -0.023, 0.06426849054355058, -0.003, 0.005, 8.70345647101083, 11.207354437023515] - Fitness: -0.22565485838443644
[0.0085, 0.45682796531890424, 0.12519746196980194, -0.9, 0.2582485191281554, -0.023, 0.08601186595522621, -0.003136153840615989, 0.0025, 9.188636537089428, 11.079351164682082] - Fitness: -0.2105362848463291
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.020901801969524438, 0.1523299213822188, -0.003, 0.0025, 9.235660941494624, 11.218263600997194] - Fitness: -0.2078662636099787
[0.0085, 0.4278586106433969, 0.12682241451417237, -0.7, 0.26, -0.023, 0.10709957769502942, -0.0032555547125844397, 0.0034718755313698814, 7.157523087256676, 11.197504611231341] - Fitness: -0.20312040055228217
[0.0085, 0.41, 0.13, -0.7902269724386798, 0.26, -0.021979546298220604, 0.10709957769502942, -0.0031830250602786422, 0.0025, 8.765109592572509, 11.469972267451361] - Fitness: -0.20302995494183243
[0.0085, 0.4278586106433969, 0.12682241451417237, -0.7234659389864527, 0.26, -0.023, 0.05, -0.0032555547125844397, 0.0025, 7.183492866934781, 12.27939745579097] - Fitness: -0.1784111988221398
[0.0085, 0.4403224140759587, 0.13, -0.7546842886647579, 0.25327472628395337, -0.023, 0.07396343926544802, -0.003, 0.0025, 9.775489341328967, 11.190911220825955] - Fitness: -0.17623956080022055
[0.0085, 0.45682796531890424, 0.12682241451417237, -0.7595387911563821, 0.2582485191281554, -0.023, 0.06394506074308538, -0.003136153840615989, 0.0034718755313698814, 7.183492866934781, 11.425548341728] - Fitness: -0.1760815899590359
[0.0085, 0.4303682556078692, 0.13, -0.8323603949450887, 0.26, -0.023, 0.10709957769502942, -0.0031830250602786422, 0.0034718755313698814, 8.736225037489914, 11.469972267451361] - Fitness: -0.17127403308874975
[0.009246328386305075, 0.46, 0.13, -0.8537654622807235, 0.26, -0.023, 0.07608126586094728, -0.003, 0.0025, 10.0, 11.207354437023515] - Fitness: -0.16926084681982032
[0.0085, 0.45682796531890424, 0.12682241451417237, -0.9, 0.2582485191281554, -0.023, 0.06394506074308538, -0.003136153840615989, 0.0034718755313698814, 7.183492866934781, 11.441921821627224] - Fitness: -0.16916994541949265
[0.0085, 0.45682796531890424, 0.12682241451417237, -0.9, 0.2582485191281554, -0.023, 0.05, -0.003136153840615989, 0.0034718755313698814, 7.183492866934781, 11.488088324017422] - Fitness: -0.1656720358569995
[0.0085, 0.4278586106433969, 0.12682241451417237, -0.7234659389864527, 0.26, -0.023, 0.05, -0.0032555547125844397, 0.0025, 8.736225037489914, 11.190911220825955] - Fitness: -0.1492718761512084
[0.0085, 0.42704388076185257, 0.12682241451417237, -0.7064914567939939, 0.26, -0.023, 0.05, -0.003, 0.0034718755313698814, 7.183492866934781, 11.256205510511293] - Fitness: -0.13153998648863927
[0.0085, 0.41, 0.13, -0.7234659389864527, 0.26, -0.023, 0.10642305252992355, -0.003, 0.0025, 9.711545695879252, 11.245723612259509] - Fitness: -0.12264001474796048
[0.0085, 0.45682796531890424, 0.12682241451417237, -0.9, 0.26, -0.023, 0.05, -0.003136153840615989, 0.0034718755313698814, 7.183492866934781, 11.441921821627224] - Fitness: -0.12228090308103136
[0.0085, 0.44347998594036464, 0.13, -0.8798147735529144, 0.25327472628395337, -0.023, 0.06480195702885355, -0.003, 0.0025, 8.736225037489914, 11.190911220825955] - Fitness: -0.10500583314914146
[0.0085, 0.41, 0.13, -0.7234659389864527, 0.26, -0.023, 0.10642305252992355, -0.003, 0.0025, 8.736225037489914, 11.469972267451361] - Fitness: -0.1025478597329354
[0.0085, 0.45162646598113765, 0.12682241451417237, -0.7234659389864527, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.183492866934781, 12.27939745579097] - Fitness: -0.1002262512924989
[0.0085, 0.4278586106433969, 0.13, -0.8217535493957405, 0.26, -0.023, 0.05, -0.0032555547125844397, 0.0034718755313698814, 7.183492866934781, 11.441921821627224] - Fitness: -0.08074189629930638
[0.0085, 0.44347998594036464, 0.13, -0.7696726950759487, 0.2520146333498563, -0.023, 0.06637379834863928, -0.003, 0.0025, 7.200349648350178, 11.256205510511293] - Fitness: -0.06276283399685059
[0.0085, 0.46, 0.13, -0.766344932002294, 0.2582485191281554, -0.023, 0.15839698399177862, -0.003, 0.0025, 9.188636537089428, 11.079351164682082] - Fitness: -0.05746988155483586
[0.0085, 0.46, 0.13, -0.8798147735529144, 0.26, -0.023, 0.05, -0.003, 0.0025, 9.813064220647885, 11.251257933018103] - Fitness: 0.0012439831370533888
[0.0085, 0.46, 0.128388752550808, -0.9, 0.2582485191281554, -0.023, 0.05, -0.003, 0.0025, 7.183492866934781, 11.488088324017422] - Fitness: 0.020662800713907626
[0.0085, 0.4303682556078692, 0.13, -0.8150541272212135, 0.26, -0.023, 0.07608126586094728, -0.003, 0.0025, 7.183492866934781, 11.065115616872415] - Fitness: 0.10597263215133601

Detailed Results for Each Genotype:
Genotype [0.0126, 0.4595059393507517, 0.11, -0.8419343664322463, 0.2, -0.015, 0.09153571507162502, -0.006, 0.005, 7.142276330801516, 14.0]:
  Angle -10: cl=-0.8763170838356018, cd=0.35239818692207336, cm=-0.13704811036586761
  Angle -9: cl=-0.8660077452659607, cd=0.3409704864025116, cm=-0.1727951020002365
  Angle -8: cl=-0.8682002425193787, cd=0.3160194158554077, cm=-0.20952840149402618
  Angle -7: cl=-0.8911142349243164, cd=0.30153557658195496, cm=-0.23710142076015472
  Angle -6: cl=-0.9029378890991211, cd=0.291007399559021, cm=-0.26134783029556274
  Angle -5: cl=-0.9110468626022339, cd=0.2818491756916046, cm=-0.282387912273407
  Angle -4: cl=-0.8983955979347229, cd=0.27280229330062866, cm=-0.30233365297317505
  Angle -3: cl=-0.8856042623519897, cd=0.2638743817806244, cm=-0.32223987579345703
  Angle -2: cl=-0.8481808304786682, cd=0.2538587152957916, cm=-0.3446640968322754
  Angle -1: cl=-0.7984405159950256, cd=0.24570916593074799, cm=-0.3647928237915039
  Angle 0: cl=-0.7804260849952698, cd=0.2251177877187729, cm=-0.38281166553497314
  Angle 1: cl=-0.7458412647247314, cd=0.20121993124485016, cm=-0.4001882076263428
  Angle 2: cl=-0.7086021900177002, cd=0.17795400321483612, cm=-0.41658759117126465
  Angle 3: cl=-0.6699661612510681, cd=0.1555679887533188, cm=-0.431770384311676
  Angle 4: cl=-0.5528061389923096, cd=0.15371565520763397, cm=-0.44369596242904663
  Angle 5: cl=-0.4416464567184448, cd=0.1547350287437439, cm=-0.45508986711502075
  Angle 6: cl=-0.3575909435749054, cd=0.15385279059410095, cm=-0.4658658504486084
  Angle 7: cl=-0.28040674328804016, cd=0.15244759619235992, cm=-0.47734367847442627
  Angle 8: cl=-0.20236371457576752, cd=0.15081262588500977, cm=-0.48871415853500366
  Angle 9: cl=-0.11670736968517303, cd=0.14982302486896515, cm=-0.5025727152824402
  Angle 10: cl=-0.012463314458727837, cd=0.14922091364860535, cm=-0.5115069150924683
Genotype [0.0085, 0.4204575019508845, 0.11694263019898998, -0.7769058080191291, 0.24342590923466287, -0.015, 0.05, -0.006, 0.0025, 8.680933624746348, 11.256205510511293]:
  Angle -10: cl=-0.6445897817611694, cd=0.1828736811876297, cm=-0.14235053956508636
  Angle -9: cl=-0.6976248621940613, cd=0.15781262516975403, cm=-0.1308520883321762
  Angle -8: cl=-0.7499605417251587, cd=0.1327427178621292, cm=-0.12017281353473663
  Angle -7: cl=-0.7811081409454346, cd=0.11173558980226517, cm=-0.089307501912117
  Angle -6: cl=-0.6971113681793213, cd=0.1082855761051178, cm=-0.07359428703784943
  Angle -5: cl=-0.607090175151825, cd=0.10929311811923981, cm=-0.061946019530296326
  Angle -4: cl=-0.5466861128807068, cd=0.11389078944921494, cm=-0.05159260332584381
  Angle -3: cl=-0.5267613530158997, cd=0.11467002332210541, cm=-0.04060418903827667
  Angle -2: cl=-0.5126683115959167, cd=0.11525636911392212, cm=-0.029393211007118225
  Angle -1: cl=-0.4971597194671631, cd=0.11486891657114029, cm=-0.02731780707836151
  Angle 0: cl=-0.4722382426261902, cd=0.11494126915931702, cm=-0.02604953944683075
  Angle 1: cl=-0.40506577491760254, cd=0.11167380958795547, cm=-0.03255860507488251
  Angle 2: cl=-0.262190580368042, cd=0.10801917314529419, cm=-0.04701752960681915
  Angle 3: cl=-0.11798156797885895, cd=0.10484538227319717, cm=-0.059799447655677795
  Angle 4: cl=0.012156084179878235, cd=0.10300636291503906, cm=-0.0767333060503006
  Angle 5: cl=0.13691446185112, cd=0.1016043946146965, cm=-0.09605272114276886
  Angle 6: cl=0.26203152537345886, cd=0.10111077129840851, cm=-0.11503089964389801
  Angle 7: cl=0.3958042562007904, cd=0.10111629217863083, cm=-0.1352667361497879
  Angle 8: cl=0.5142572522163391, cd=0.10146661847829819, cm=-0.15340514481067657
  Angle 9: cl=0.6025377511978149, cd=0.10245592892169952, cm=-0.16826261579990387
  Angle 10: cl=0.694016695022583, cd=0.10359948128461838, cm=-0.18362288177013397
Genotype [0.0126, 0.4204575019508845, 0.11694263019898998, -0.8419343664322463, 0.2, -0.015, 0.06637379834863928, -0.003, 0.005, 8.680933624746348, 13.951899209136359]:
  Angle -10: cl=-0.7772696614265442, cd=0.31668150424957275, cm=-0.11043094098567963
  Angle -9: cl=-0.8046972751617432, cd=0.32407379150390625, cm=-0.10769377648830414
  Angle -8: cl=-0.827820360660553, cd=0.3215866982936859, cm=-0.12276889383792877
  Angle -7: cl=-0.826066792011261, cd=0.29706358909606934, cm=-0.1579395979642868
  Angle -6: cl=-0.8456597328186035, cd=0.28224679827690125, cm=-0.18436412513256073
  Angle -5: cl=-0.8536233901977539, cd=0.27287378907203674, cm=-0.20671020448207855
  Angle -4: cl=-0.8381670117378235, cd=0.2639922797679901, cm=-0.22717835009098053
  Angle -3: cl=-0.8212564587593079, cd=0.2547057867050171, cm=-0.24647949635982513
  Angle -2: cl=-0.7997381091117859, cd=0.24516955018043518, cm=-0.2657923698425293
  Angle -1: cl=-0.7616066932678223, cd=0.2340470552444458, cm=-0.2855656147003174
  Angle 0: cl=-0.7099396586418152, cd=0.2278282344341278, cm=-0.2995285391807556
  Angle 1: cl=-0.6829391717910767, cd=0.20706996321678162, cm=-0.3153223395347595
  Angle 2: cl=-0.6470478773117065, cd=0.1831764578819275, cm=-0.3317895531654358
  Angle 3: cl=-0.6106123924255371, cd=0.15998469293117523, cm=-0.3477479815483093
  Angle 4: cl=-0.5285761952400208, cd=0.146905317902565, cm=-0.3614013195037842
  Angle 5: cl=-0.4073455035686493, cd=0.14832395315170288, cm=-0.3721681833267212
  Angle 6: cl=-0.3294915556907654, cd=0.14713867008686066, cm=-0.3826358914375305
  Angle 7: cl=-0.2556459307670593, cd=0.1460113227367401, cm=-0.3924189805984497
  Angle 8: cl=-0.18168918788433075, cd=0.1450425088405609, cm=-0.40274596214294434
  Angle 9: cl=-0.09485923498868942, cd=0.14426173269748688, cm=-0.41558921337127686
  Angle 10: cl=0.013844522647559643, cd=0.14392811059951782, cm=-0.4235994815826416
Genotype [0.0126, 0.45682796531890424, 0.13, -0.9, 0.2, -0.015, 0.11336351589223165, -0.003136153840615989, 0.0034718755313698814, 7.183492866934781, 11.310870847974167]:
  Angle -10: cl=-0.8497797250747681, cd=0.2980671525001526, cm=-0.11151711642742157
  Angle -9: cl=-0.8878071308135986, cd=0.3033933639526367, cm=-0.10948903858661652
  Angle -8: cl=-0.8989359736442566, cd=0.30280739068984985, cm=-0.11607201397418976
  Angle -7: cl=-0.9067428708076477, cd=0.28462064266204834, cm=-0.14100240170955658
  Angle -6: cl=-0.9342325329780579, cd=0.2713165283203125, cm=-0.16218630969524384
  Angle -5: cl=-0.928178608417511, cd=0.2616158127784729, cm=-0.1823340207338333
  Angle -4: cl=-0.9144587516784668, cd=0.25203749537467957, cm=-0.20175908505916595
  Angle -3: cl=-0.8987197279930115, cd=0.24268750846385956, cm=-0.22094283998012543
  Angle -2: cl=-0.8622633814811707, cd=0.23193466663360596, cm=-0.24019353091716766
  Angle -1: cl=-0.8013727068901062, cd=0.22431184351444244, cm=-0.2552748918533325
  Angle 0: cl=-0.7150260210037231, cd=0.220751091837883, cm=-0.26928091049194336
  Angle 1: cl=-0.6314258575439453, cd=0.1984369158744812, cm=-0.2860453724861145
  Angle 2: cl=-0.5947155952453613, cd=0.17500266432762146, cm=-0.3020051121711731
  Angle 3: cl=-0.5549757480621338, cd=0.1524006724357605, cm=-0.316536009311676
  Angle 4: cl=-0.47045886516571045, cd=0.13973546028137207, cm=-0.3297306299209595
  Angle 5: cl=-0.3661852180957794, cd=0.13981935381889343, cm=-0.33996230363845825
  Angle 6: cl=-0.279289573431015, cd=0.13826119899749756, cm=-0.34992843866348267
  Angle 7: cl=-0.19222010672092438, cd=0.13660548627376556, cm=-0.3603590130805969
  Angle 8: cl=-0.09790466725826263, cd=0.13529138267040253, cm=-0.37352824211120605
  Angle 9: cl=0.017203187569975853, cd=0.13446031510829926, cm=-0.3829749822616577
  Angle 10: cl=0.13929662108421326, cd=0.13343331217765808, cm=-0.3888132572174072
Genotype [0.0126, 0.4303116523771542, 0.13, -0.7479216160058704, 0.24297871831172918, -0.015, 0.05, -0.0032555547125844397, 0.0025, 8.680933624746348, 14.0]:
  Angle -10: cl=-0.5755418539047241, cd=0.20135371387004852, cm=-0.1481867879629135
  Angle -9: cl=-0.6173655390739441, cd=0.17161129415035248, cm=-0.13665907084941864
  Angle -8: cl=-0.6708332896232605, cd=0.1569233387708664, cm=-0.10330964624881744
  Angle -7: cl=-0.7068201899528503, cd=0.14439351856708527, cm=-0.08040384948253632
  Angle -6: cl=-0.7060667872428894, cd=0.1282394975423813, cm=-0.07072161138057709
  Angle -5: cl=-0.6761249899864197, cd=0.12642528116703033, cm=-0.0596267431974411
  Angle -4: cl=-0.6245853900909424, cd=0.12847106158733368, cm=-0.04980306327342987
  Angle -3: cl=-0.60512775182724, cd=0.1280423104763031, cm=-0.03871656954288483
  Angle -2: cl=-0.5892105102539062, cd=0.1265992820262909, cm=-0.027631089091300964
  Angle -1: cl=-0.5671934485435486, cd=0.12439490854740143, cm=-0.024670317769050598
  Angle 0: cl=-0.5292496681213379, cd=0.1203307956457138, cm=-0.03192697465419769
  Angle 1: cl=-0.4283868968486786, cd=0.11587806791067123, cm=-0.048753246665000916
  Angle 2: cl=-0.319735050201416, cd=0.10618948936462402, cm=-0.06438146531581879
  Angle 3: cl=-0.1663094013929367, cd=0.10405996441841125, cm=-0.08055762946605682
  Angle 4: cl=-0.03386453539133072, cd=0.10201070457696915, cm=-0.09695382416248322
  Angle 5: cl=0.09999313205480576, cd=0.10276739299297333, cm=-0.10715757310390472
  Angle 6: cl=0.24051110446453094, cd=0.104407399892807, cm=-0.12185315787792206
  Angle 7: cl=0.3518717586994171, cd=0.10549631714820862, cm=-0.13626699149608612
  Angle 8: cl=0.4436192810535431, cd=0.10600925236940384, cm=-0.15069706737995148
  Angle 9: cl=0.5360235571861267, cd=0.10664171725511551, cm=-0.16652868688106537
  Angle 10: cl=0.6261008977890015, cd=0.10701560229063034, cm=-0.18368016183376312
