Experiment: Combination_Experiment_292
Generation: 37
Timestamp: 20231227_104633

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8473067254891744, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.004591677838619, 10.303509067091767] - Fitness: 0.2100707243085205
[0.0126, 0.46, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.925826545315779, 10.259213967088739] - Fitness: -0.4937667425463826
[0.0085, 0.46, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.969101125549392, 10.264015849315834] - Fitness: 0.21716690424031057
[0.0085, 0.46, 0.13, -0.8620465662244812, 0.2547515795960816, -0.023, 0.05, -0.003, 0.0025, 7.962678148648731, 10.255223194739715] - Fitness: 0.10088127411019572
[0.0085, 0.4575452012958307, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.962678148648731, 10.255223194739715] - Fitness: 0.2185803075132294
[0.0085, 0.46, 0.13, -0.8970893132036273, 0.26, -0.023, 0.05373066523686154, -0.003, 0.0025, 7.986207310966749, 10.30461886189082] - Fitness: 0.2119038024101052
[0.0085, 0.46, 0.11, -0.8966623551417201, 0.26, -0.023, 0.05373066523686154, -0.003, 0.0025, 7.986207310966749, 10.264015849315834] - Fitness: -0.5141765985634814
[0.0085, 0.46, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05373066523686154, -0.003, 0.0025, 7.962678148648731, 10.30461886189082] - Fitness: 0.21074082473672748
[0.0085, 0.44698806062577173, 0.13, -0.8970893132036273, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.962678148648731, 10.312920194284716] - Fitness: 0.20212773169154857
[0.0085, 0.4575452012958307, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.962678148648731, 10.264015849315834] - Fitness: 0.21759619979855238
[0.0085, 0.46, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05373066523686154, -0.003, 0.0025, 7.962678148648731, 10.264015849315834] - Fitness: 0.21529139688377893
[0.0085, 0.46, 0.13, -0.8569447593936304, 0.26, -0.023, 0.05373066523686154, -0.003, 0.0025, 7.993172800896541, 10.264015849315834] - Fitness: 0.21349314795627566
[0.0085, 0.46, 0.13, -0.8620465662244812, 0.26, -0.015, 0.05, -0.003, 0.005, 8.018130106204485, 10.239122909614691] - Fitness: -0.6577139742145837
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.986207310966749, 10.30461886189082] - Fitness: 0.21427778690295998
[0.0085, 0.46, 0.13, -0.8970893132036273, 0.26, -0.023, 0.05373066523686154, -0.003, 0.0025, 8.004591677838619, 10.267658125780843] - Fitness: 0.21516341354338356
[0.0085, 0.4386469464211172, 0.13, -0.8966623551417201, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.993172800896541, 10.255223194739715] - Fitness: 0.19130144659300768
[0.0085, 0.46, 0.13, -0.8681508174275047, 0.26, -0.023, 0.05373066523686154, -0.003, 0.0025, 7.986207310966749, 10.255223194739715] - Fitness: 0.215546836248784
[0.0085, 0.46, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.95673521881719, 10.255223194739715] - Fitness: 0.21874588715938623
[0.0085, 0.46, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.030064227133801, 10.30461886189082] - Fitness: 0.2096886426852354
[0.0085, 0.46, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.005, 8.018130106204485, 10.313196239474243] - Fitness: -0.07550194312982571
[0.0085, 0.46, 0.13, -0.8970893132036273, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.004591677838619, 10.30461886189082] - Fitness: 0.21320297174483513
[0.0085, 0.4575452012958307, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05373066523686154, -0.003, 0.0025, 7.962678148648731, 10.264015849315834] - Fitness: 0.2154118468361764
[0.0085, 0.43667408386768103, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.993172800896541, 10.221893034332853] - Fitness: 0.18877853058568678
[0.0085, 0.4575452012958307, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.962678148648731, 10.341576672043388] - Fitness: 0.208897203097243
[0.0085, 0.4575452012958307, 0.11, -0.8620465662244812, 0.21616050818945853, -0.023, 0.05373066523686154, -0.003, 0.0025, 7.885999367344448, 10.264015849315834] - Fitness: -1.6250875741758084
[0.0085, 0.46, 0.13, -0.8970893132036273, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.004591677838619, 10.30461886189082] - Fitness: 0.21320297174483513
[0.0085, 0.46, 0.13, -0.8970893132036273, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.004591677838619, 10.30461886189082] - Fitness: 0.21320297174483513
[0.0085, 0.46, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05373066523686154, -0.003, 0.0025, 7.993172800896541, 10.267658125780843] - Fitness: 0.21341858649128564
[0.0085, 0.46, 0.13, -0.8499062456599253, 0.26, -0.023, 0.05373066523686154, -0.003, 0.0025, 7.972545800014794, 10.267658125780843] - Fitness: 0.21361476036489377
[0.0085, 0.46, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05373066523686154, -0.003, 0.0025, 8.004591677838619, 10.255223194739715] - Fitness: 0.21426457734506252
[0.0085, 0.4575452012958307, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05373066523686154, -0.003, 0.0025, 8.004591677838619, 10.255223194739715] - Fitness: 0.21437559595004893
[0.0085, 0.46, 0.13, -0.8681508174275047, 0.26, -0.023, 0.05373066523686154, -0.003, 0.0025, 7.986207310966749, 10.264015849315834] - Fitness: 0.21456153182208137
[0.0085, 0.46, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.018130106204485, 10.264015849315834] - Fitness: 0.21481172752984484
[0.0085, 0.46, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.018130106204485, 10.264015849315834] - Fitness: 0.21481172752984484
[0.0085, 0.46, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.018130106204485, 10.264015849315834] - Fitness: 0.21481172752984484
[0.0085, 0.46, 0.13, -0.8447663822117208, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.990040383253015, 10.265674009960899] - Fitness: 0.2148435347662706
[0.0085, 0.46, 0.13, -0.8322594371590794, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.962678148648731, 10.264015849315834] - Fitness: 0.21552640795374947
[0.0085, 0.46, 0.13, -0.8966623551417201, 0.26, -0.023, 0.05373066523686154, -0.003, 0.0025, 7.993172800896541, 10.264015849315834] - Fitness: 0.2160927145255085
[0.0085, 0.46, 0.13, -0.8966623551417201, 0.26, -0.023, 0.05373066523686154, -0.003, 0.0025, 7.986207310966749, 10.264015849315834] - Fitness: 0.2164273051258197
[0.0085, 0.46, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.004591677838619, 10.255223194739715] - Fitness: 0.21644655138199206
[0.0085, 0.46, 0.13, -0.8970893132036273, 0.26, -0.023, 0.05373066523686154, -0.003, 0.0025, 7.986207310966749, 10.264015849315834] - Fitness: 0.21645534323246596
[0.0085, 0.46, 0.13, -0.8465260468569613, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.962678148648731, 10.264015849315834] - Fitness: 0.21645969508704418
[0.0085, 0.4575452012958307, 0.13, -0.8465260468569613, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.962678148648731, 10.264015849315834] - Fitness: 0.2165720906696108
[0.0085, 0.46, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.993172800896541, 10.255223194739715] - Fitness: 0.21699622626122803
[0.0085, 0.4575452012958307, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.962678148648731, 10.264015849315834] - Fitness: 0.21759619979855238
[0.0085, 0.4575452012958307, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.962678148648731, 10.264015849315834] - Fitness: 0.21759619979855238
[0.0085, 0.46, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.962678148648731, 10.255223194739715] - Fitness: 0.2184606671743747
[0.0085, 0.46, 0.13, -0.8966623551417201, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.986207310966749, 10.264015849315834] - Fitness: 0.21861016832204339
[0.0085, 0.46, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.925826545315779, 10.259213967088739] - Fitness: 0.21978548967648687
[0.0085, 0.46, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.925826545315779, 10.259213967088739] - Fitness: 0.21978548967648687

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8473067254891744, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.004591677838619, 10.303509067091767]:
  Angle -10: cl=-0.562789797782898, cd=0.23115457594394684, cm=-0.18929873406887054
  Angle -9: cl=-0.5888416171073914, cd=0.19786077737808228, cm=-0.18631796538829803
  Angle -8: cl=-0.6116400361061096, cd=0.16294492781162262, cm=-0.18504856526851654
  Angle -7: cl=-0.6505764722824097, cd=0.1288396120071411, cm=-0.17919473350048065
  Angle -6: cl=-0.6052111387252808, cd=0.11440487205982208, cm=-0.16410069167613983
  Angle -5: cl=-0.5023505687713623, cd=0.10399378091096878, cm=-0.15092657506465912
  Angle -4: cl=-0.4106508195400238, cd=0.0991227850317955, cm=-0.13759084045886993
  Angle -3: cl=-0.3084348440170288, cd=0.09311828017234802, cm=-0.12371473014354706
  Angle -2: cl=-0.23307734727859497, cd=0.08769718557596207, cm=-0.10032613575458527
  Angle -1: cl=-0.17193564772605896, cd=0.08310740441083908, cm=-0.07103852927684784
  Angle 0: cl=-0.1004602313041687, cd=0.08242302387952805, cm=-0.043200209736824036
  Angle 1: cl=-0.016710786148905754, cd=0.08301991969347, cm=-0.021343186497688293
  Angle 2: cl=0.06651608645915985, cd=0.08376656472682953, cm=-0.005982890725135803
  Angle 3: cl=0.30993103981018066, cd=0.06785425543785095, cm=-0.0022201985120773315
  Angle 4: cl=0.4121001064777374, cd=0.07387357205152512, cm=0.00220605731010437
  Angle 5: cl=0.5102757215499878, cd=0.08216254413127899, cm=0.005598634481430054
  Angle 6: cl=0.6045480370521545, cd=0.08911637961864471, cm=0.007668808102607727
  Angle 7: cl=0.6944112777709961, cd=0.09571386873722076, cm=0.010102719068527222
  Angle 8: cl=0.7848853468894958, cd=0.10185639560222626, cm=0.010387957096099854
  Angle 9: cl=0.8801668286323547, cd=0.10596968233585358, cm=0.002185121178627014
  Angle 10: cl=0.9788148403167725, cd=0.11204187572002411, cm=-0.005686625838279724
Genotype [0.0126, 0.46, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.925826545315779, 10.259213967088739]:
  Angle -10: cl=-0.5412050485610962, cd=0.20296406745910645, cm=-0.18317992985248566
  Angle -9: cl=-0.5725679397583008, cd=0.17177850008010864, cm=-0.17855007946491241
  Angle -8: cl=-0.5978278517723083, cd=0.14560410380363464, cm=-0.17087329924106598
  Angle -7: cl=-0.6273676156997681, cd=0.12273893505334854, cm=-0.15964816510677338
  Angle -6: cl=-0.6427039504051208, cd=0.10991988331079483, cm=-0.14556796848773956
  Angle -5: cl=-0.5540212392807007, cd=0.10241256654262543, cm=-0.1285753697156906
  Angle -4: cl=-0.46963706612586975, cd=0.09458694607019424, cm=-0.10481952130794525
  Angle -3: cl=-0.38422587513923645, cd=0.08679234236478806, cm=-0.08108441531658173
  Angle -2: cl=-0.3124116361141205, cd=0.08065133541822433, cm=-0.0541621595621109
  Angle -1: cl=-0.2594749629497528, cd=0.08185931295156479, cm=-0.031365856528282166
  Angle 0: cl=-0.1995127648115158, cd=0.08980091661214828, cm=-0.014869704842567444
  Angle 1: cl=-0.12501895427703857, cd=0.09689688682556152, cm=5.05298376083374e-05
  Angle 2: cl=0.024744128808379173, cd=0.09518230706453323, cm=0.009536996483802795
  Angle 3: cl=0.17083656787872314, cd=0.09407146275043488, cm=0.01593184471130371
  Angle 4: cl=0.2634030878543854, cd=0.0991082414984703, cm=0.020665690302848816
  Angle 5: cl=0.36241772770881653, cd=0.10224737972021103, cm=0.01796722412109375
  Angle 6: cl=0.4589028060436249, cd=0.1036268025636673, cm=0.012472718954086304
  Angle 7: cl=0.5576264262199402, cd=0.10487040132284164, cm=0.007105618715286255
  Angle 8: cl=0.6556011438369751, cd=0.10580520331859589, cm=-0.0014669597148895264
  Angle 9: cl=0.7702665328979492, cd=0.10569307208061218, cm=-0.024643614888191223
  Angle 10: cl=0.8841918110847473, cd=0.10808997601270676, cm=-0.047791823744773865
Genotype [0.0085, 0.46, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.969101125549392, 10.264015849315834]:
  Angle -10: cl=-0.562961220741272, cd=0.23134471476078033, cm=-0.18936394155025482
  Angle -9: cl=-0.5889295339584351, cd=0.19806112349033356, cm=-0.18635235726833344
  Angle -8: cl=-0.6117297410964966, cd=0.1631593406200409, cm=-0.1851222962141037
  Angle -7: cl=-0.6506276726722717, cd=0.1290092021226883, cm=-0.17934702336788177
  Angle -6: cl=-0.6049944758415222, cd=0.11452464759349823, cm=-0.16432271897792816
  Angle -5: cl=-0.5017545223236084, cd=0.10400315374135971, cm=-0.15110467374324799
  Angle -4: cl=-0.41026046872138977, cd=0.09915471822023392, cm=-0.1377643495798111
  Angle -3: cl=-0.3080998361110687, cd=0.09317237883806229, cm=-0.12392161786556244
  Angle -2: cl=-0.23237380385398865, cd=0.08776643127202988, cm=-0.10067082941532135
  Angle -1: cl=-0.17120860517024994, cd=0.08316445350646973, cm=-0.07138924300670624
  Angle 0: cl=-0.09943991899490356, cd=0.08244874328374863, cm=-0.04354505240917206
  Angle 1: cl=-0.015619402751326561, cd=0.08306262642145157, cm=-0.021697059273719788
  Angle 2: cl=0.0675620287656784, cd=0.0838049054145813, cm=-0.006345823407173157
  Angle 3: cl=0.31062552332878113, cd=0.06772147119045258, cm=-0.002360314130783081
  Angle 4: cl=0.413642942905426, cd=0.0737396851181984, cm=0.0020242631435394287
  Angle 5: cl=0.5118287205696106, cd=0.08202698081731796, cm=0.005417734384536743
  Angle 6: cl=0.6059035658836365, cd=0.08899813145399094, cm=0.007499560713768005
  Angle 7: cl=0.6957634687423706, cd=0.09559594094753265, cm=0.009946092963218689
  Angle 8: cl=0.7862199544906616, cd=0.10182482749223709, cm=0.010460004210472107
  Angle 9: cl=0.8815196752548218, cd=0.10593710094690323, cm=0.0022639036178588867
  Angle 10: cl=0.9802001118659973, cd=0.11206168681383133, cm=-0.005603626370429993
Genotype [0.0085, 0.46, 0.13, -0.8620465662244812, 0.2547515795960816, -0.023, 0.05, -0.003, 0.0025, 7.962678148648731, 10.255223194739715]:
  Angle -10: cl=-0.5621008276939392, cd=0.22802965342998505, cm=-0.18846215307712555
  Angle -9: cl=-0.5891388654708862, cd=0.1946861743927002, cm=-0.18552102148532867
  Angle -8: cl=-0.6119192838668823, cd=0.15955176949501038, cm=-0.18361122906208038
  Angle -7: cl=-0.6513577103614807, cd=0.12616683542728424, cm=-0.17653502523899078
  Angle -6: cl=-0.6099391579627991, cd=0.11309820413589478, cm=-0.16121233999729156
  Angle -5: cl=-0.5122001767158508, cd=0.10380422323942184, cm=-0.14785881340503693
  Angle -4: cl=-0.41827988624572754, cd=0.09874283522367477, cm=-0.1346719115972519
  Angle -3: cl=-0.315343976020813, cd=0.09246287494897842, cm=-0.12040002644062042
  Angle -2: cl=-0.2446291446685791, cd=0.08685899525880814, cm=-0.0950281172990799
  Angle -1: cl=-0.18456080555915833, cd=0.08210580796003342, cm=-0.06594963371753693
  Angle 0: cl=-0.1164218932390213, cd=0.08180216699838638, cm=-0.03827999532222748
  Angle 1: cl=-0.034161269664764404, cd=0.08221305906772614, cm=-0.016336843371391296
  Angle 2: cl=0.049459442496299744, cd=0.08344972878694534, cm=-0.0012922435998916626
  Angle 3: cl=0.2958771884441376, cd=0.0699516162276268, cm=-0.00016896426677703857
  Angle 4: cl=0.3911183476448059, cd=0.07558774948120117, cm=0.004673168063163757
  Angle 5: cl=0.4896417558193207, cd=0.08386597037315369, cm=0.00808347761631012
  Angle 6: cl=0.5862801671028137, cd=0.09050704538822174, cm=0.009841054677963257
  Angle 7: cl=0.6765034198760986, cd=0.09709841012954712, cm=0.012168452143669128
  Angle 8: cl=0.7673556804656982, cd=0.10222422331571579, cm=0.00974099338054657
  Angle 9: cl=0.8623772263526917, cd=0.10637350380420685, cm=0.0014503449201583862
  Angle 10: cl=0.9605351686477661, cd=0.11235995590686798, cm=-0.006423339247703552
Genotype [0.0085, 0.4575452012958307, 0.13, -0.8620465662244812, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.962678148648731, 10.255223194739715]:
  Angle -10: cl=-0.5619359016418457, cd=0.23146693408489227, cm=-0.18931369483470917
  Angle -9: cl=-0.5893699526786804, cd=0.19847695529460907, cm=-0.1857948750257492
  Angle -8: cl=-0.612181544303894, cd=0.16350848972797394, cm=-0.18438540399074554
  Angle -7: cl=-0.6496145725250244, cd=0.12947048246860504, cm=-0.17881323397159576
  Angle -6: cl=-0.6056008338928223, cd=0.11478450149297714, cm=-0.16387899219989777
  Angle -5: cl=-0.5005795359611511, cd=0.10395980626344681, cm=-0.1509605199098587
  Angle -4: cl=-0.4080595374107361, cd=0.09896372258663177, cm=-0.13766853511333466
  Angle -3: cl=-0.30569589138031006, cd=0.09289727360010147, cm=-0.12369824945926666
  Angle -2: cl=-0.22964683175086975, cd=0.08744481205940247, cm=-0.10062773525714874
  Angle -1: cl=-0.168687105178833, cd=0.08296773582696915, cm=-0.07130728662014008
  Angle 0: cl=-0.0983593612909317, cd=0.0822959840297699, cm=-0.04316540062427521
  Angle 1: cl=-0.014724990352988243, cd=0.08291476964950562, cm=-0.0211956650018692
  Angle 2: cl=0.06811031699180603, cd=0.08364246785640717, cm=-0.005757138133049011
  Angle 3: cl=0.31316518783569336, cd=0.06763601303100586, cm=-0.002016320824623108
