Experiment: Combination_Experiment_292
Generation: 82
Timestamp: 20231227_105740

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.76619489011208, 10.051439670184928] - Fitness: 0.25272410441264315
[0.0085, 0.46, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.788381031189647, 10.051439670184928] - Fitness: 0.2516970828578112
[0.0085, 0.43713597358463985, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.005, 7.824678700313268, 10.052494276470338] - Fitness: -0.05523561114623199
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7986308330346095, 10.083226715492] - Fitness: 0.24784619854656834
[0.0085, 0.46, 0.13, -0.8977469853498677, 0.2199954244759063, -0.023, 0.05, -0.003, 0.0025, 7.729296924935449, 10.070791300142528] - Fitness: -0.8250910278315171
[0.0085, 0.46, 0.1209526505044703, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.743333756764586, 10.083226715492] - Fitness: -0.09811593271520751
[0.0085, 0.46, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.749684441969002, 10.051439670184928] - Fitness: 0.253490188658254
[0.0085, 0.46, 0.13, -0.8970893132036273, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.788381031189647, 10.070791300142528] - Fitness: 0.24950909154114356
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05048122491032603, -0.003, 0.0025, 7.749684441969002, 10.034980701592364] - Fitness: 0.25518379748505227
[0.0085, 0.46, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.76619489011208, 10.082057597204374] - Fitness: 0.24933206832981436
[0.0085, 0.46, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.76619489011208, 10.034980701592364] - Fitness: 0.25454777579408194
[0.0085, 0.439988757482553, 0.13, -0.9, 0.26, -0.023, 0.06824637724647595, -0.003, 0.005, 7.780441403540881, 10.013600481973125] - Fitness: -0.054676693489642055
[0.0085, 0.46, 0.13, -0.8977469853498677, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.749684441969002, 10.051439670184928] - Fitness: -0.3898107610221155
[0.0085, 0.46, 0.13, -0.8977469853498677, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.793993086094563, 10.051439670184928] - Fitness: -0.391541333180548
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.749684441969002, 10.083226715492] - Fitness: 0.2501141347572953
[0.0085, 0.4349308913487866, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.003161311532270635, 7.749684441969002, 10.034980701592364] - Fitness: 0.14636188174489767
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.743333756764586, 10.070791300142528] - Fitness: 0.2517862033235729
[0.0085, 0.46, 0.11219664483720243, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.743333756764586, 10.034980701592364] - Fitness: -0.4016633838436018
[0.0085, 0.46, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.743333756764586, 10.051439670184928] - Fitness: 0.2537847775668615
[0.0085, 0.46, 0.11, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.749684441969002, 10.076075417224228] - Fitness: -0.48122657911506095
[0.0085, 0.46, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.767329972283029, 10.052494276470338] - Fitness: 0.25255470414696807
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.793993086094563, 10.083226715492] - Fitness: 0.2480609241583157
[0.0126, 0.4194396185747641, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.743333756764586, 10.055874879868327] - Fitness: -0.48361857969545324
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.793993086094563, 10.076075417224228] - Fitness: -0.03434339780737934
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.743333756764586, 10.083226715492] - Fitness: 0.25040872120882113
[0.0085, 0.46, 0.13, -0.8970893132036273, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.749684441969002, 10.083226715492] - Fitness: 0.24992453607692186
[0.0085, 0.46, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.824678700313268, 10.051439670184928] - Fitness: 0.2500135989022319
[0.0085, 0.46, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.824678700313268, 10.051439670184928] - Fitness: 0.2500135989022319
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.749684441969002, 10.083226715492] - Fitness: 0.2501141347572953
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.749684441969002, 10.083226715492] - Fitness: 0.2501141347572953
[0.0085, 0.46, 0.13, -0.8976653204188902, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.775179841771363, 10.070791300142528] - Fitness: 0.25015960570605533
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.775179841771363, 10.070791300142528] - Fitness: 0.25031140747724506
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.775179841771363, 10.070791300142528] - Fitness: 0.25031140747724506
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.743333756764586, 10.083226715492] - Fitness: 0.25040872120882113
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.749684441969002, 10.076075417224228] - Fitness: 0.2509070803041223
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.793993086094563, 10.055874879868327] - Fitness: 0.25109228894218594
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.793993086094563, 10.055874879868327] - Fitness: 0.25109228894218594
[0.0085, 0.46, 0.13, -0.8970893132036273, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.749684441969002, 10.070791300142528] - Fitness: 0.25130274136423403
[0.0085, 0.46, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.793993086094563, 10.052494276470338] - Fitness: 0.2513199800281873
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.743333756764586, 10.070791300142528] - Fitness: 0.2517862033235729
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.780441403540881, 10.051439670184928] - Fitness: 0.2522109525211216
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.780441403540881, 10.051439670184928] - Fitness: 0.2522109525211216
[0.0085, 0.46, 0.13, -0.8970893132036273, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.729296924935449, 10.070791300142528] - Fitness: 0.25224758137013703
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.770704149667393, 10.051303190116117] - Fitness: 0.25267841542391534
[0.0085, 0.46, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.76619489011208, 10.051439670184928] - Fitness: 0.25272410441264315
[0.0085, 0.46, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.76619489011208, 10.051439670184928] - Fitness: 0.25272410441264315
[0.0085, 0.46, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.76619489011208, 10.034980701592364] - Fitness: 0.25454777579408194
[0.0085, 0.46, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.749684441969002, 10.034980701592364] - Fitness: 0.25531484184803116
[0.0085, 0.46, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.743333756764586, 10.034980701592364] - Fitness: 0.25560878997760383
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.743333756764586, 10.034980701592364] - Fitness: 0.2557553139621718

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.76619489011208, 10.051439670184928]:
  Angle -10: cl=-0.5640503168106079, cd=0.2324269413948059, cm=-0.18972446024417877
  Angle -9: cl=-0.5896415710449219, cd=0.19921216368675232, cm=-0.18652234971523285
  Angle -8: cl=-0.6124578714370728, cd=0.1643805056810379, cm=-0.1854904741048813
  Angle -7: cl=-0.6512176394462585, cd=0.12995095551013947, cm=-0.18017207086086273
  Angle -6: cl=-0.604266881942749, cd=0.11529085785150528, cm=-0.16543354094028473
  Angle -5: cl=-0.4987245202064514, cd=0.1040540486574173, cm=-0.1520770937204361
  Angle -4: cl=-0.40829649567604065, cd=0.09931774437427521, cm=-0.13871414959430695
  Angle -3: cl=-0.30643582344055176, cd=0.0934566929936409, cm=-0.1250540167093277
  Angle -2: cl=-0.22855037450790405, cd=0.0881328135728836, cm=-0.10258500277996063
  Angle -1: cl=-0.1673208773136139, cd=0.08345749229192734, cm=-0.07333134114742279
  Angle 0: cl=-0.0940779447555542, cd=0.08257470279932022, cm=-0.045429423451423645
  Angle 1: cl=-0.010388748720288277, cd=0.08316841721534729, cm=-0.02360399067401886
  Angle 2: cl=0.07323582470417023, cd=0.08400589972734451, cm=-0.008362457156181335
  Angle 3: cl=0.3136306405067444, cd=0.06786303967237473, cm=-0.0038868337869644165
  Angle 4: cl=0.4216223955154419, cd=0.07298741489648819, cm=0.0010465681552886963
  Angle 5: cl=0.5198764801025391, cd=0.08126398175954819, cm=0.004444882273674011
  Angle 6: cl=0.6128511428833008, cd=0.08833641558885574, cm=0.006637215614318848
  Angle 7: cl=0.7026958465576172, cd=0.09493471682071686, cm=0.009110331535339355
  Angle 8: cl=0.793070375919342, cd=0.10163532197475433, cm=0.010885939002037048
  Angle 9: cl=0.8884274363517761, cd=0.10574029386043549, cm=0.002725169062614441
  Angle 10: cl=0.987310528755188, cd=0.1120852455496788, cm=-0.005121961236000061
Genotype [0.0085, 0.46, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.788381031189647, 10.051439670184928]:
  Angle -10: cl=-0.5639516115188599, cd=0.23233819007873535, cm=-0.1897025853395462
  Angle -9: cl=-0.5895246267318726, cd=0.1991111785173416, cm=-0.18652470409870148
  Angle -8: cl=-0.6123403906822205, cd=0.16427820920944214, cm=-0.18548931181430817
  Angle -7: cl=-0.6511013507843018, cd=0.12987644970417023, cm=-0.18013058602809906
  Angle -6: cl=-0.6041508316993713, cd=0.11521683633327484, cm=-0.1653895229101181
  Angle -5: cl=-0.49882638454437256, cd=0.10405025631189346, cm=-0.15201912820339203
  Angle -4: cl=-0.4083564877510071, cd=0.09931185096502304, cm=-0.13865675032138824
  Angle -3: cl=-0.3064780831336975, cd=0.0934436172246933, cm=-0.12498585879802704
  Angle -2: cl=-0.22876793146133423, cd=0.08811736106872559, cm=-0.10245664417743683
  Angle -1: cl=-0.16753406822681427, cd=0.08344700187444687, cm=-0.0732002705335617
  Angle 0: cl=-0.0943245068192482, cd=0.08257398009300232, cm=-0.04531483352184296
  Angle 1: cl=-0.010603373870253563, cd=0.0831727683544159, cm=-0.02349613606929779
  Angle 2: cl=0.07298636436462402, cd=0.08400234580039978, cm=-0.008244618773460388
  Angle 3: cl=0.31377074122428894, cd=0.06781522929668427, cm=-0.003790542483329773
  Angle 4: cl=0.4213261008262634, cd=0.07304004579782486, cm=0.0010946542024612427
  Angle 5: cl=0.5195679068565369, cd=0.08131740242242813, cm=0.004491910338401794
  Angle 6: cl=0.6126125454902649, cd=0.08838125318288803, cm=0.006675168871879578
  Angle 7: cl=0.7024586796760559, cd=0.09497956186532974, cm=0.009148269891738892
  Angle 8: cl=0.7928431034088135, cd=0.10165295004844666, cm=0.010847046971321106
  Angle 9: cl=0.8882072567939758, cd=0.10576004534959793, cm=0.00268438458442688
  Angle 10: cl=0.9870650172233582, cd=0.11212092638015747, cm=-0.00516180694103241
Genotype [0.0085, 0.43713597358463985, 0.13, -0.8977469853498677, 0.26, -0.023, 0.05, -0.003, 0.005, 7.824678700313268, 10.052494276470338]:
  Angle -10: cl=-0.5330103635787964, cd=0.22359080612659454, cm=-0.1841241866350174
  Angle -9: cl=-0.566196858882904, cd=0.1930212825536728, cm=-0.17932955920696259
  Angle -8: cl=-0.5912976264953613, cd=0.15800954401493073, cm=-0.17587782442569733
  Angle -7: cl=-0.6172761917114258, cd=0.1288595199584961, cm=-0.16773657500743866
  Angle -6: cl=-0.6050443053245544, cd=0.11338411271572113, cm=-0.15643827617168427
  Angle -5: cl=-0.49820250272750854, cd=0.10203192383050919, cm=-0.14398197829723358
  Angle -4: cl=-0.3964763879776001, cd=0.0948997363448143, cm=-0.12925930321216583
  Angle -3: cl=-0.30077052116394043, cd=0.08789752423763275, cm=-0.11168958246707916
  Angle -2: cl=-0.2374192178249359, cd=0.08183588832616806, cm=-0.08460651338100433
  Angle -1: cl=-0.1773739904165268, cd=0.07874120026826859, cm=-0.05442415177822113
  Angle 0: cl=-0.11536462604999542, cd=0.07904119044542313, cm=-0.026592865586280823
  Angle 1: cl=-0.050557367503643036, cd=0.08398112654685974, cm=-0.007140979170799255
  Angle 2: cl=0.02577374503016472, cd=0.08996503055095673, cm=0.0050951093435287476
  Angle 3: cl=0.25045499205589294, cd=0.07957027107477188, cm=0.00712721049785614
  Angle 4: cl=0.3337910771369934, cd=0.08551397174596786, cm=0.012654304504394531
  Angle 5: cl=0.4219217002391815, cd=0.09184453636407852, cm=0.017076224088668823
  Angle 6: cl=0.5191695094108582, cd=0.09758644551038742, cm=0.019589856266975403
  Angle 7: cl=0.6149784922599792, cd=0.10106513649225235, cm=0.013490423560142517
  Angle 8: cl=0.7059289813041687, cd=0.10430854558944702, cm=0.006020113825798035
  Angle 9: cl=0.7966415882110596, cd=0.10794821381568909, cm=-0.0023821592330932617
  Angle 10: cl=0.8935070633888245, cd=0.11292997747659683, cm=-0.012289866805076599
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.7986308330346095, 10.083226715492]:
  Angle -10: cl=-0.563857913017273, cd=0.2322547286748886, cm=-0.1896689385175705
  Angle -9: cl=-0.5894933938980103, cd=0.1990271955728531, cm=-0.1864994913339615
  Angle -8: cl=-0.6123097538948059, cd=0.1641858071088791, cm=-0.18544133007526398
  Angle -7: cl=-0.6510749459266663, cd=0.12980490922927856, cm=-0.18004761636257172
  Angle -6: cl=-0.6042806506156921, cd=0.11514047533273697, cm=-0.16529826819896698
  Angle -5: cl=-0.4991469979286194, cd=0.10404632985591888, cm=-0.1519290953874588
  Angle -4: cl=-0.4085666835308075, cd=0.09929488599300385, cm=-0.1385691612958908
  Angle -3: cl=-0.3066602349281311, cd=0.09341531991958618, cm=-0.12488122284412384
  Angle -2: cl=-0.2291262149810791, cd=0.088080994784832, cm=-0.10228978097438812
  Angle -1: cl=-0.16789835691452026, cd=0.08341605216264725, cm=-0.07303120195865631
  Angle 0: cl=-0.09486056119203568, cd=0.08255860209465027, cm=-0.0451422780752182
  Angle 1: cl=-0.011125562712550163, cd=0.08316049724817276, cm=-0.023324623703956604
  Angle 2: cl=0.07240699231624603, cd=0.08397889882326126, cm=-0.00805489718914032
  Angle 3: cl=0.3133089244365692, cd=0.06777402758598328, cm=-0.003601565957069397
  Angle 4: cl=0.42048439383506775, cd=0.07310554385185242, cm=0.001192733645439148
  Angle 5: cl=0.5187325477600098, cd=0.08138483762741089, cm=0.004591509699821472
  Angle 6: cl=0.6118707656860352, cd=0.08843996375799179, cm=0.006761103868484497
  Angle 7: cl=0.701718270778656, cd=0.09503832459449768, cm=0.009234130382537842
  Angle 8: cl=0.7921077013015747, cd=0.1016668826341629, cm=0.0108155757188797
  Angle 9: cl=0.8874578475952148, cd=0.1057734563946724, cm=0.0026500076055526733
  Angle 10: cl=0.9863064289093018, cd=0.11209621280431747, cm=-0.0052001625299453735
Genotype [0.0085, 0.46, 0.13, -0.8977469853498677, 0.2199954244759063, -0.023, 0.05, -0.003, 0.0025, 7.729296924935449, 10.070791300142528]:
  Angle -10: cl=-0.5610616207122803, cd=0.19878585636615753, cm=-0.18204940855503082
  Angle -9: cl=-0.594475507736206, cd=0.16943080723285675, cm=-0.17729131877422333
  Angle -8: cl=-0.6204345226287842, cd=0.14283178746700287, cm=-0.16968749463558197
  Angle -7: cl=-0.6534745693206787, cd=0.11908643692731857, cm=-0.15840674936771393
  Angle -6: cl=-0.6582671999931335, cd=0.10902978479862213, cm=-0.14358408749103546
  Angle -5: cl=-0.5926955342292786, cd=0.10225158929824829, cm=-0.12269611656665802
  Angle -4: cl=-0.5102746486663818, cd=0.09431574493646622, cm=-0.09871859848499298
  Angle -3: cl=-0.42446380853652954, cd=0.08652523159980774, cm=-0.07462610304355621
  Angle -2: cl=-0.3486068844795227, cd=0.07992678880691528, cm=-0.04826460778713226
