Experiment: Combination_Experiment_302
Generation: 30
Timestamp: 20231227_150228

Genotypes and their Fitness Values:
[0.008518845231639885, 0.41, 0.13, -0.9, 0.26, -0.015, 0.2, -0.005813132325113084, 0.005, 9.694198926102013, 14.0] - Fitness: -1.7240390191753918
[0.0126, 0.46, 0.11, -0.7, 0.2, -0.015, 0.10697647537546397, -0.005813132325113084, 0.005, 8.316868166368845, 10.411650333947467] - Fitness: -2.8318379341225057
[0.008518845231639885, 0.46, 0.11, -0.7633487342302903, 0.2, -0.015, 0.10697647537546397, -0.003757539395889206, 0.005, 8.263437423013151, 12.851379391127562] - Fitness: -2.6893678295142642
[0.0126, 0.46, 0.11, -0.7, 0.2, -0.015, 0.05, -0.005813132325113084, 0.0025, 9.694198926102013, 13.487222080358846] - Fitness: -2.7764617166027272
[0.0126, 0.4230651342788027, 0.13, -0.7, 0.2, -0.022322254436154817, 0.05, -0.005813132325113084, 0.005, 8.38597170769028, 14.0] - Fitness: -2.4395181160804795
[0.008518845231639885, 0.46, 0.11, -0.9, 0.2, -0.015, 0.10697647537546397, -0.003757539395889206, 0.005, 7.352250077813979, 11.779429796470081] - Fitness: -2.6894891731216717
[0.008518845231639885, 0.46, 0.13, -0.7, 0.2, -0.023, 0.05, -0.006, 0.005, 8.846512663047863, 11.554410577861114] - Fitness: -1.7169282739782408
[0.008518845231639885, 0.46, 0.11, -0.9, 0.2, -0.015, 0.10697647537546397, -0.003757539395889206, 0.005, 9.428299504867262, 10.411650333947467] - Fitness: -2.59567344454973
[0.0126, 0.46, 0.11, -0.7, 0.2, -0.015, 0.2, -0.005813132325113084, 0.005, 9.694198926102013, 11.779429796470081] - Fitness: -2.886747820313712
[0.0085, 0.41, 0.11, -0.7, 0.26, -0.023, 0.10697647537546397, -0.003, 0.0025140648603506604, 9.96849957540994, 10.0] - Fitness: -0.6708432394226028
[0.0126, 0.46, 0.13, -0.7, 0.2, -0.022322254436154817, 0.2, -0.003, 0.005, 8.263437423013151, 12.851379391127562] - Fitness: -2.5160242776661987
[0.0085, 0.4166362333631339, 0.11, -0.7, 0.2, -0.015, 0.10697647537546397, -0.003, 0.0025, 7.000752758512801, 10.0] - Fitness: -2.9983543148906913
[0.008518845231639885, 0.46, 0.13, -0.7633487342302903, 0.2, -0.023, 0.05, -0.003757539395889206, 0.005, 8.263437423013151, 12.851379391127562] - Fitness: -1.769197115940246
[0.0126, 0.46, 0.11, -0.7, 0.26, -0.023, 0.05, -0.005813132325113084, 0.005, 8.38597170769028, 11.18754729770089] - Fitness: -1.8382911915468612
[0.008518845231639885, 0.4230651342788027, 0.13, -0.7, 0.2, -0.022322254436154817, 0.05, -0.005813132325113084, 0.005, 9.694198926102013, 14.0] - Fitness: -2.10430050350107
[0.0085, 0.46, 0.11, -0.7, 0.2, -0.015, 0.2, -0.005813132325113084, 0.005, 9.694198926102013, 10.0] - Fitness: -2.6140865362122767
[0.008518845231639885, 0.46, 0.11, -0.7, 0.2, -0.022322254436154817, 0.10697647537546397, -0.003757539395889206, 0.005, 9.428299504867262, 10.411650333947467] - Fitness: -2.58382996173433
[0.0126, 0.46, 0.11, -0.9, 0.26, -0.023, 0.05, -0.005813132325113084, 0.005, 8.44979628721675, 11.779429796470081] - Fitness: -1.8806482478865763
[0.0085, 0.46, 0.13, -0.7, 0.2, -0.023, 0.05, -0.003757539395889206, 0.0025, 7.82944415145916, 11.18754729770089] - Fitness: -1.6188253061479356
[0.0126, 0.46, 0.13, -0.7304587195449366, 0.26, -0.023, 0.10697647537546397, -0.003, 0.005, 8.784518555119755, 10.0] - Fitness: -0.7168273144026255
[0.0085, 0.46, 0.11, -0.7, 0.26, -0.015, 0.11838728646699535, -0.006, 0.005, 8.82957282517343, 10.0] - Fitness: -1.7523438001216132
[0.008518845231639885, 0.4230651342788027, 0.13, -0.7, 0.2, -0.022322254436154817, 0.05, -0.006, 0.005, 9.694198926102013, 11.65588549795875] - Fitness: -1.9962696917574927
[0.0126, 0.46, 0.11, -0.7, 0.2, -0.023, 0.11838728646699535, -0.006, 0.005, 8.38597170769028, 10.0] - Fitness: -2.487907178987114
[0.0085, 0.4166362333631339, 0.11, -0.7, 0.2, -0.023, 0.10697647537546397, -0.003757539395889206, 0.0025, 7.000752758512801, 11.18754729770089] - Fitness: -2.3298047161940256
[0.0085, 0.46, 0.11, -0.7627146189448906, 0.26, -0.02152689578799067, 0.05, -0.005813132325113084, 0.005, 8.069355928908717, 10.972834098853765] - Fitness: -1.2850435134464622
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003757539395889206, 0.005, 9.257073830446464, 11.779429796470081] - Fitness: -0.41435725319738176
[0.009022058816844942, 0.46, 0.13, -0.8829673683861878, 0.25182994175403906, -0.022433672406978383, 0.2, -0.003, 0.002930677195631895, 9.507591507474256, 10.45959223429476] - Fitness: -0.3918829129002076
[0.009570402705319492, 0.4230651342788027, 0.13, -0.7, 0.26, -0.023, 0.2, -0.003908375369372134, 0.0025, 7.82944415145916, 11.18754729770089] - Fitness: -0.35966521178403305
[0.00915075340347277, 0.4239411220107432, 0.13, -0.7780681652540133, 0.25182994175403906, -0.022433672406978383, 0.2, -0.003, 0.0025140648603506604, 9.507591507474256, 10.025585027195158] - Fitness: -0.3595985883374734
[0.010735507382276025, 0.45361774241845, 0.13, -0.8865074976955662, 0.26, -0.023, 0.0786649459719468, -0.003197160179779956, 0.0026540012327904558, 9.96849957540994, 10.0] - Fitness: -0.3337626438937464
[0.008504422324019876, 0.4230651342788027, 0.13, -0.7, 0.25182994175403906, -0.023, 0.14777839556159547, -0.003757539395889206, 0.0025, 7.82944415145916, 11.18754729770089] - Fitness: -0.31287411575704477
[0.0085, 0.45361774241845, 0.13, -0.7858158704860233, 0.26, -0.023, 0.14777839556159547, -0.004371734778677146, 0.0025974431064986086, 7.82944415145916, 12.067344799852409] - Fitness: -0.2880557710085419
[0.0085, 0.4529177370298383, 0.13, -0.7780681652540133, 0.26, -0.023, 0.08264157120661672, -0.003, 0.005, 10.0, 10.97343379916167] - Fitness: -0.2726150184455717
[0.0085, 0.4230651342788027, 0.13, -0.8482014208150023, 0.25182994175403906, -0.023, 0.11838728646699535, -0.0032239056499816852, 0.002873977842771822, 9.507591507474256, 10.45959223429476] - Fitness: -0.2391246439256335
[0.009570402705319492, 0.4230651342788027, 0.13, -0.7, 0.26, -0.02152689578799067, 0.05, -0.003, 0.0025140648603506604, 7.230269839440837, 11.18754729770089] - Fitness: -0.23674404319892695
[0.008504422324019876, 0.45774122465258893, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.005, 8.789566557780834, 11.18754729770089] - Fitness: -0.22495771701117628
[0.0085, 0.45774122465258893, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.005, 8.789566557780834, 11.18754729770089] - Fitness: -0.2240962092258964
[0.008504422324019876, 0.45774122465258893, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 8.789566557780834, 11.18754729770089] - Fitness: -0.21253604383153982
[0.0085, 0.46, 0.13, -0.7627146189448906, 0.26, -0.02152689578799067, 0.05, -0.003, 0.005, 8.789566557780834, 10.0] - Fitness: -0.2051765699421514
[0.008518845231639885, 0.4166362333631339, 0.13, -0.9, 0.26, -0.022322254436154817, 0.11838728646699535, -0.0032239056499816852, 0.002873977842771822, 9.454928666159818, 10.97343379916167] - Fitness: -0.1829406137964785
[0.0085, 0.4166362333631339, 0.13, -0.7, 0.25182994175403906, -0.023, 0.05, -0.003, 0.0025, 8.816088040151818, 10.972834098853765] - Fitness: -0.17359512608525896
[0.0085, 0.4166362333631339, 0.13, -0.7780681652540133, 0.26, -0.022433672406978383, 0.08264157120661672, -0.003757539395889206, 0.0032614411960000685, 7.665525291051718, 10.45959223429476] - Fitness: -0.14931566169524987
[0.0085, 0.46, 0.13, -0.7304587195449366, 0.26, -0.023, 0.10697647537546397, -0.003, 0.005, 8.784518555119755, 10.0] - Fitness: -0.1270093386604132
[0.0085, 0.46, 0.13, -0.7858158704860233, 0.26, -0.023, 0.10697647537546397, -0.003, 0.005, 8.784518555119755, 10.0] - Fitness: -0.12351631327155733
[0.00936511723187286, 0.46, 0.13, -0.7, 0.26, -0.022433672406978383, 0.05, -0.003, 0.0026540012327904558, 9.507591507474256, 10.219821263959027] - Fitness: -0.11320388278342246
[0.0085, 0.46, 0.13, -0.7633487342302903, 0.26, -0.02152689578799067, 0.10697647537546397, -0.003, 0.0025140648603506604, 9.197955269487297, 10.974733325488588] - Fitness: -0.09786640269477198
[0.0085, 0.4529177370298383, 0.13, -0.8865074976955662, 0.25952835973839106, -0.023, 0.14777839556159547, -0.004371734778677146, 0.0025, 8.16200996643825, 10.0] - Fitness: -0.08296015963430968
[0.008504422324019876, 0.41, 0.13, -0.7684621811436537, 0.26, -0.023, 0.08264157120661672, -0.0032239056499816852, 0.002873977842771822, 8.789566557780834, 10.681023776105844] - Fitness: -0.08082341771238336
[0.008504422324019876, 0.4230651342788027, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.789566557780834, 11.18754729770089] - Fitness: -0.005282230655117243
[0.0085, 0.4529177370298383, 0.13, -0.7684621811436537, 0.26, -0.023, 0.08264157120661672, -0.003908375369372134, 0.0025140648603506604, 7.0, 10.45959223429476] - Fitness: 0.0356272236977685

Detailed Results for Each Genotype:
Genotype [0.008518845231639885, 0.41, 0.13, -0.9, 0.26, -0.015, 0.2, -0.005813132325113084, 0.005, 9.694198926102013, 14.0]:
  Angle -10: cl=-0.5687477588653564, cd=0.19546329975128174, cm=-0.14476950466632843
  Angle -9: cl=-0.6202419400215149, cd=0.1716848760843277, cm=-0.13410301506519318
  Angle -8: cl=-0.6677443981170654, cd=0.14648304879665375, cm=-0.12452296912670135
  Angle -7: cl=-0.7155112028121948, cd=0.12128736823797226, cm=-0.09517870843410492
  Angle -6: cl=-0.6758717894554138, cd=0.10907083004713058, cm=-0.07636208832263947
  Angle -5: cl=-0.5738309025764465, cd=0.1098695695400238, cm=-0.06348143517971039
  Angle -4: cl=-0.5462102890014648, cd=0.11001820117235184, cm=-0.051669731736183167
  Angle -3: cl=-0.5229389071464539, cd=0.11098450422286987, cm=-0.04166601598262787
  Angle -2: cl=-0.5090166330337524, cd=0.11553902179002762, cm=-0.0295092910528183
  Angle -1: cl=-0.48340678215026855, cd=0.11588596552610397, cm=-0.02806498110294342
  Angle 0: cl=-0.45831865072250366, cd=0.11592064052820206, cm=-0.026627585291862488
  Angle 1: cl=-0.37649911642074585, cd=0.11192046850919724, cm=-0.04230360686779022
  Angle 2: cl=-0.23858335614204407, cd=0.10875388234853745, cm=-0.06151358783245087
  Angle 3: cl=-0.09503194689750671, cd=0.10625352710485458, cm=-0.08034329116344452
  Angle 4: cl=0.04777243733406067, cd=0.10375094413757324, cm=-0.09949593245983124
  Angle 5: cl=0.17642827332019806, cd=0.10170929878950119, cm=-0.1178530603647232
  Angle 6: cl=0.28963807225227356, cd=0.10460534691810608, cm=-0.13097108900547028
  Angle 7: cl=0.4214898347854614, cd=0.10730785876512527, cm=-0.14522404968738556
  Angle 8: cl=0.5143588185310364, cd=0.10795325040817261, cm=-0.15991659462451935
  Angle 9: cl=0.6052154898643494, cd=0.10900088399648666, cm=-0.1741597205400467
  Angle 10: cl=0.6983906030654907, cd=0.10990305989980698, cm=-0.18808265030384064
Genotype [0.0126, 0.46, 0.11, -0.7, 0.2, -0.015, 0.10697647537546397, -0.005813132325113084, 0.005, 8.316868166368845, 10.411650333947467]:
  Angle -10: cl=-0.8794170022010803, cd=0.3466057777404785, cm=-0.12744034826755524
  Angle -9: cl=-0.8719630837440491, cd=0.33726954460144043, cm=-0.16264592111110687
  Angle -8: cl=-0.8706839680671692, cd=0.3136260211467743, cm=-0.19808699190616608
  Angle -7: cl=-0.8935885429382324, cd=0.29884013533592224, cm=-0.22572050988674164
  Angle -6: cl=-0.9056168794631958, cd=0.28849920630455017, cm=-0.24947936832904816
  Angle -5: cl=-0.9024662375450134, cd=0.2782789468765259, cm=-0.2707322835922241
  Angle -4: cl=-0.8862651586532593, cd=0.26886194944381714, cm=-0.29082179069519043
  Angle -3: cl=-0.8734956979751587, cd=0.25990164279937744, cm=-0.3107373118400574
  Angle -2: cl=-0.8349913358688354, cd=0.249881774187088, cm=-0.3328864574432373
  Angle -1: cl=-0.7846179008483887, cd=0.24218063056468964, cm=-0.35190796852111816
  Angle 0: cl=-0.7514405846595764, cd=0.22247762978076935, cm=-0.3693568706512451
  Angle 1: cl=-0.7165254950523376, cd=0.19820286333560944, cm=-0.3867340683937073
  Angle 2: cl=-0.6793360710144043, cd=0.17472566664218903, cm=-0.403104305267334
  Angle 3: cl=-0.6405941843986511, cd=0.15227098762989044, cm=-0.41794323921203613
  Angle 4: cl=-0.5190725326538086, cd=0.1514749825000763, cm=-0.42902594804763794
  Angle 5: cl=-0.41477933526039124, cd=0.15197157859802246, cm=-0.4394572377204895
  Angle 6: cl=-0.3327636122703552, cd=0.15107928216457367, cm=-0.4505903124809265
  Angle 7: cl=-0.2556242048740387, cd=0.14962883293628693, cm=-0.4622277617454529
  Angle 8: cl=-0.1762089729309082, cd=0.14799483120441437, cm=-0.4736472964286804
  Angle 9: cl=-0.0826379582285881, cd=0.14703091979026794, cm=-0.4878288507461548
  Angle 10: cl=0.027080653235316277, cd=0.14637428522109985, cm=-0.4947751760482788
Genotype [0.008518845231639885, 0.46, 0.11, -0.7633487342302903, 0.2, -0.015, 0.10697647537546397, -0.003757539395889206, 0.005, 8.263437423013151, 12.851379391127562]:
  Angle -10: cl=-0.7063398361206055, cd=0.2130115032196045, cm=-0.10169632732868195
  Angle -9: cl=-0.738700270652771, cd=0.21833406388759613, cm=-0.08664216101169586
  Angle -8: cl=-0.7536352276802063, cd=0.22558289766311646, cm=-0.07784400880336761
  Angle -7: cl=-0.771579384803772, cd=0.21816331148147583, cm=-0.07332976162433624
  Angle -6: cl=-0.7761920690536499, cd=0.21787865459918976, cm=-0.06951113045215607
  Angle -5: cl=-0.8070303201675415, cd=0.2119862288236618, cm=-0.07584716379642487
  Angle -4: cl=-0.7814662456512451, cd=0.1991966962814331, cm=-0.09965039789676666
  Angle -3: cl=-0.7693060636520386, cd=0.18553675711154938, cm=-0.12190552055835724
  Angle -2: cl=-0.7473148107528687, cd=0.17515403032302856, cm=-0.13839422166347504
  Angle -1: cl=-0.6878027319908142, cd=0.1643086075782776, cm=-0.15592347085475922
  Angle 0: cl=-0.6131207942962646, cd=0.15975645184516907, cm=-0.1688321977853775
  Angle 1: cl=-0.5395429134368896, cd=0.15716080367565155, cm=-0.18028561770915985
  Angle 2: cl=-0.48142021894454956, cd=0.1362340748310089, cm=-0.1961357742547989
  Angle 3: cl=-0.42851781845092773, cd=0.11533597856760025, cm=-0.21150340139865875
  Angle 4: cl=-0.28780388832092285, cd=0.11754381656646729, cm=-0.2207346111536026
  Angle 5: cl=-0.1546257883310318, cd=0.11894647032022476, cm=-0.23006130754947662
  Angle 6: cl=-0.027332300320267677, cd=0.12011680006980896, cm=-0.24079163372516632
  Angle 7: cl=0.07188589125871658, cd=0.11930736899375916, cm=-0.2530354857444763
  Angle 8: cl=0.1663627028465271, cd=0.11879396438598633, cm=-0.26821833848953247
  Angle 9: cl=0.2579021453857422, cd=0.11873055249452591, cm=-0.28590822219848633
  Angle 10: cl=0.35086214542388916, cd=0.1189899891614914, cm=-0.30301231145858765
Genotype [0.0126, 0.46, 0.11, -0.7, 0.2, -0.015, 0.05, -0.005813132325113084, 0.0025, 9.694198926102013, 13.487222080358846]:
  Angle -10: cl=-0.8544651865959167, cd=0.34468209743499756, cm=-0.12833945453166962
  Angle -9: cl=-0.8469815254211426, cd=0.3345496654510498, cm=-0.16200955212116241
  Angle -8: cl=-0.8554494380950928, cd=0.3081834614276886, cm=-0.19835813343524933
  Angle -7: cl=-0.8733155131340027, cd=0.2952251732349396, cm=-0.22490890324115753
  Angle -6: cl=-0.8847524523735046, cd=0.28468069434165955, cm=-0.24845673143863678
  Angle -5: cl=-0.8833897709846497, cd=0.27429866790771484, cm=-0.2698546051979065
  Angle -4: cl=-0.869456946849823, cd=0.26545676589012146, cm=-0.28958427906036377
  Angle -3: cl=-0.8553792834281921, cd=0.25671833753585815, cm=-0.30925166606903076
  Angle -2: cl=-0.8153533935546875, cd=0.24650698900222778, cm=-0.3312845826148987
  Angle -1: cl=-0.7654057145118713, cd=0.2387533038854599, cm=-0.3508530855178833
  Angle 0: cl=-0.7384265661239624, cd=0.2194770872592926, cm=-0.3679884672164917
  Angle 1: cl=-0.70110023021698, cd=0.19610440731048584, cm=-0.3843647241592407
  Angle 2: cl=-0.6638250946998596, cd=0.17272354662418365, cm=-0.4007207751274109
  Angle 3: cl=-0.6267072558403015, cd=0.1495252102613449, cm=-0.41669124364852905
  Angle 4: cl=-0.495544970035553, cd=0.15042927861213684, cm=-0.42733603715896606
  Angle 5: cl=-0.3881923258304596, cd=0.1512429565191269, cm=-0.4382365942001343
  Angle 6: cl=-0.3095839023590088, cd=0.15039971470832825, cm=-0.4495217800140381
  Angle 7: cl=-0.23250672221183777, cd=0.1489023119211197, cm=-0.4609073996543884
  Angle 8: cl=-0.15876343846321106, cd=0.14763358235359192, cm=-0.47209692001342773
  Angle 9: cl=-0.06976484507322311, cd=0.14676353335380554, cm=-0.4864733815193176
  Angle 10: cl=0.03696666657924652, cd=0.1464393436908722, cm=-0.4951403737068176
Genotype [0.0126, 0.4230651342788027, 0.13, -0.7, 0.2, -0.022322254436154817, 0.05, -0.005813132325113084, 0.005, 8.38597170769028, 14.0]:
  Angle -10: cl=-0.7095313668251038, cd=0.2656233310699463, cm=-0.10071520507335663
  Angle -9: cl=-0.7150264978408813, cd=0.27915021777153015, cm=-0.09474976360797882
  Angle -8: cl=-0.7423226237297058, cd=0.2755310535430908, cm=-0.09160320460796356
  Angle -7: cl=-0.8023853898048401, cd=0.25801515579223633, cm=-0.1044914573431015
  Angle -6: cl=-0.8253051042556763, cd=0.24100786447525024, cm=-0.13282395899295807
  Angle -5: cl=-0.8268779516220093, cd=0.22951753437519073, cm=-0.15174980461597443
  Angle -4: cl=-0.8191612362861633, cd=0.22012802958488464, cm=-0.1705445796251297
  Angle -3: cl=-0.795392632484436, cd=0.21113520860671997, cm=-0.19083167612552643
  Angle -2: cl=-0.7497392296791077, cd=0.20140860974788666, cm=-0.21243102848529816
  Angle -1: cl=-0.6858315467834473, cd=0.19663207232952118, cm=-0.22899191081523895
  Angle 0: cl=-0.610666036605835, cd=0.19071204960346222, cm=-0.2432544082403183
  Angle 1: cl=-0.5659157037734985, cd=0.16927947103977203, cm=-0.26010847091674805
  Angle 2: cl=-0.5145273208618164, cd=0.14803487062454224, cm=-0.275445818901062
  Angle 3: cl=-0.4339948296546936, cd=0.1352716088294983, cm=-0.28676319122314453
  Angle 4: cl=-0.30190929770469666, cd=0.13664084672927856, cm=-0.29634928703308105
  Angle 5: cl=-0.17820745706558228, cd=0.1367906630039215, cm=-0.3073957562446594
  Angle 6: cl=-0.07819005846977234, cd=0.13506139814853668, cm=-0.3186533451080322
