Experiment: Combination_Experiment_306
Generation: 26
Timestamp: 20231227_163746

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.278134344698122
[0.0085, 0.4552015580643532, 0.13, -0.9, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.122570933288139, 10.0] - Fitness: 0.200094900014899
[0.0085, 0.4552015580643532, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.065998564637806, 10.0] - Fitness: 0.27303039532160583
[0.0085, 0.4552015580643532, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.005, 7.122570933288139, 10.0] - Fitness: -0.0022967100662128316
[0.0126, 0.4552015580643532, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: -0.42686022132448026
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.610990274163145] - Fitness: 0.11477479228587009
[0.0085, 0.41, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.065998564637806, 10.0] - Fitness: 0.17554044570689042
[0.0085, 0.4552015580643532, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.113572620404291, 10.0] - Fitness: 0.2843619985128609
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.113572620404291, 10.0] - Fitness: 0.28657205546731546
[0.0085, 0.41, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.065998564637806, 10.0] - Fitness: 0.16095186168239614
[0.0085, 0.4552015580643532, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.122570933288139, 10.0] - Fitness: 0.2708073361641545
[0.0085, 0.4552015580643532, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.113572620404291, 10.0] - Fitness: 0.2711602597867648
[0.0085, 0.4552015580643532, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.113572620404291, 10.0] - Fitness: 0.2711602597867648
[0.0085, 0.4552015580643532, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.065998564637806, 10.0] - Fitness: 0.27303039532160583
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.122570933288139, 10.0] - Fitness: 0.2731098696539318
[0.0085, 0.4552015580643532, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2756312131476499
[0.0085, 0.4552015580643532, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2756312131476499
[0.0085, 0.4552015580643532, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2756312131476499
[0.0085, 0.4552015580643532, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2756312131476499
[0.0085, 0.4552015580643532, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.2756312131476499
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.278134344698122
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.278134344698122
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.278134344698122
[0.0085, 0.4552015580643532, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.113572620404291, 10.0] - Fitness: 0.2843619985128609
[0.0085, 0.4552015580643532, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.113572620404291, 10.0] - Fitness: 0.2843619985128609
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.122570933288139, 10.0] - Fitness: 0.28620645093517966
[0.0085, 0.4552015580643532, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.065998564637806, 10.0] - Fitness: 0.28623023932200586
[0.0085, 0.4552015580643532, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.065998564637806, 10.0] - Fitness: 0.28623023932200586
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.113572620404291, 10.0] - Fitness: 0.28657205546731546
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.113572620404291, 10.0] - Fitness: 0.28657205546731546
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.113572620404291, 10.0] - Fitness: 0.28657205546731546
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.065998564637806, 10.0] - Fitness: 0.2885113930994671
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.065998564637806, 10.0] - Fitness: 0.2885113930994671
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.065998564637806, 10.0] - Fitness: 0.2885113930994671
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.065998564637806, 10.0] - Fitness: 0.2885113930994671
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.065998564637806, 10.0] - Fitness: 0.2885113930994671
[0.0085, 0.4552015580643532, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.28881935230115025
[0.0085, 0.4552015580643532, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.28881935230115025
[0.0085, 0.4552015580643532, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.28881935230115025
[0.0085, 0.4552015580643532, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.28881935230115025
[0.0085, 0.4552015580643532, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.28881935230115025
[0.0085, 0.4552015580643532, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.28881935230115025
[0.0085, 0.4552015580643532, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.28881935230115025
[0.0085, 0.4552015580643532, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.28881935230115025
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.29120005009671157
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.29120005009671157
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.29120005009671157
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.29120005009671157
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.29120005009671157
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Fitness: 0.29120005009671157

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0]:
  Angle -10: cl=-0.5678344368934631, cd=0.23549644649028778, cm=-0.1907474845647812
  Angle -9: cl=-0.5944766998291016, cd=0.20283456146717072, cm=-0.18638278543949127
  Angle -8: cl=-0.6172710657119751, cd=0.1680409163236618, cm=-0.18548105657100677
  Angle -7: cl=-0.6560194492340088, cd=0.13254475593566895, cm=-0.18166746199131012
  Angle -6: cl=-0.6081656217575073, cd=0.11799629777669907, cm=-0.16716279089450836
  Angle -5: cl=-0.5013254284858704, cd=0.1051260381937027, cm=-0.1534232646226883
  Angle -4: cl=-0.40653693675994873, cd=0.09947623312473297, cm=-0.1407327502965927
  Angle -3: cl=-0.30541786551475525, cd=0.09388255327939987, cm=-0.12745808064937592
  Angle -2: cl=-0.2222984880208969, cd=0.08860639482736588, cm=-0.10672931373119354
  Angle -1: cl=-0.16019700467586517, cd=0.08380039781332016, cm=-0.07795043289661407
  Angle 0: cl=-0.08680956810712814, cd=0.08284354954957962, cm=-0.05006437003612518
  Angle 1: cl=-0.003529118373990059, cd=0.08294480293989182, cm=-0.02735908329486847
  Angle 2: cl=0.08130434900522232, cd=0.0840652585029602, cm=-0.012478366494178772
  Angle 3: cl=0.3067280054092407, cd=0.06960499286651611, cm=-0.007176205515861511
  Angle 4: cl=0.43084248900413513, cd=0.07109039276838303, cm=-0.0006175786256790161
  Angle 5: cl=0.5295649170875549, cd=0.07933782786130905, cm=0.0028273016214370728
  Angle 6: cl=0.6200101375579834, cd=0.08671825379133224, cm=0.005339637398719788
  Angle 7: cl=0.7098420858383179, cd=0.09331612288951874, cm=0.00781308114528656
  Angle 8: cl=0.7998465895652771, cd=0.0998494103550911, cm=0.00944499671459198
  Angle 9: cl=0.8948690295219421, cd=0.10500097274780273, cm=0.004237458109855652
  Angle 10: cl=0.9946944117546082, cd=0.11063428223133087, cm=-0.003652796149253845
Genotype [0.0085, 0.4552015580643532, 0.13, -0.9, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.122570933288139, 10.0]:
  Angle -10: cl=-0.5629259347915649, cd=0.2327495813369751, cm=-0.18928660452365875
  Angle -9: cl=-0.5935501456260681, cd=0.2003234326839447, cm=-0.18474330008029938
  Angle -8: cl=-0.6163179874420166, cd=0.1651669144630432, cm=-0.18298979103565216
  Angle -7: cl=-0.6525408029556274, cd=0.13078626990318298, cm=-0.17819036543369293
  Angle -6: cl=-0.6104445457458496, cd=0.11580318212509155, cm=-0.1635749489068985
  Angle -5: cl=-0.5047781467437744, cd=0.10450980812311172, cm=-0.15056101977825165
  Angle -4: cl=-0.40748900175094604, cd=0.09873560816049576, cm=-0.13787390291690826
  Angle -3: cl=-0.305109441280365, cd=0.0926874428987503, cm=-0.12396951019763947
  Angle -2: cl=-0.22617319226264954, cd=0.08718463778495789, cm=-0.10182066261768341
  Angle -1: cl=-0.16589514911174774, cd=0.0826035737991333, cm=-0.07265134155750275
  Angle 0: cl=-0.09782619029283524, cd=0.08190586417913437, cm=-0.043890759348869324
  Angle 1: cl=-0.014739451929926872, cd=0.08245861530303955, cm=-0.021700695157051086
  Angle 2: cl=0.06759420782327652, cd=0.08321521431207657, cm=-0.006269112229347229
  Angle 3: cl=0.30804023146629333, cd=0.0675560012459755, cm=-0.0017869621515274048
  Angle 4: cl=0.4094124734401703, cd=0.0733317956328392, cm=0.0027606934309005737
  Angle 5: cl=0.5077637434005737, cd=0.08160940557718277, cm=0.006157979369163513
  Angle 6: cl=0.600429356098175, cd=0.0888202041387558, cm=0.008570194244384766
  Angle 7: cl=0.6903243064880371, cd=0.09541179984807968, cm=0.010812193155288696
  Angle 8: cl=0.7806509733200073, cd=0.10151470452547073, cm=0.01120254397392273
  Angle 9: cl=0.875117838382721, cd=0.1054791584610939, cm=0.0030401647090911865
  Angle 10: cl=0.9750601649284363, cd=0.11008084565401077, cm=-0.004962727427482605
Genotype [0.0085, 0.4552015580643532, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.065998564637806, 10.0]:
  Angle -10: cl=-0.565671443939209, cd=0.23551355302333832, cm=-0.19032134115695953
  Angle -9: cl=-0.5950314998626709, cd=0.20331959426403046, cm=-0.1852998286485672
  Angle -8: cl=-0.6178230047225952, cd=0.16835014522075653, cm=-0.1839863806962967
  Angle -7: cl=-0.6537412405014038, cd=0.13320939242839813, cm=-0.18045775592327118
  Angle -6: cl=-0.6089950203895569, cd=0.11820444464683533, cm=-0.16606508195400238
  Angle -5: cl=-0.502822995185852, cd=0.10560145974159241, cm=-0.15250925719738007
  Angle -4: cl=-0.40262752771377563, cd=0.09908107668161392, cm=-0.14031623303890228
  Angle -3: cl=-0.3008670210838318, cd=0.09327611327171326, cm=-0.1267756074666977
  Angle -2: cl=-0.21734577417373657, cd=0.08792489767074585, cm=-0.1063631922006607
  Angle -1: cl=-0.1561335027217865, cd=0.08332926034927368, cm=-0.07727731764316559
  Angle 0: cl=-0.08593520522117615, cd=0.08256298303604126, cm=-0.04883812367916107
  Angle 1: cl=-0.002829045057296753, cd=0.08264867216348648, cm=-0.025954410433769226
  Angle 2: cl=0.08113979548215866, cd=0.08370823413133621, cm=-0.010805144906044006
  Angle 3: cl=0.3118394613265991, cd=0.06869132071733475, cm=-0.005522146821022034
  Angle 4: cl=0.4263005256652832, cd=0.07165465503931046, cm=0.0006524175405502319
  Angle 5: cl=0.5246700048446655, cd=0.07992863655090332, cm=0.004053562879562378
  Angle 6: cl=0.6147254109382629, cd=0.0874103233218193, cm=0.006707966327667236
  Angle 7: cl=0.7045888900756836, cd=0.09400507062673569, cm=0.009070605039596558
  Angle 8: cl=0.7946379780769348, cd=0.1005861833691597, cm=0.01084280014038086
  Angle 9: cl=0.8891310095787048, cd=0.10503845661878586, cm=0.004073157906532288
  Angle 10: cl=0.9890350103378296, cd=0.1096363291144371, cm=-0.003905847668647766
Genotype [0.0085, 0.4552015580643532, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.005, 7.122570933288139, 10.0]:
  Angle -10: cl=-0.5432804822921753, cd=0.22662949562072754, cm=-0.18571262061595917
  Angle -9: cl=-0.5668632388114929, cd=0.19375397264957428, cm=-0.18337656557559967
  Angle -8: cl=-0.589005172252655, cd=0.15874195098876953, cm=-0.18198291957378387
  Angle -7: cl=-0.6215695738792419, cd=0.12797018885612488, cm=-0.17302541434764862
  Angle -6: cl=-0.6035882830619812, cd=0.11257689446210861, cm=-0.1604011505842209
  Angle -5: cl=-0.511967122554779, cd=0.10360156744718552, cm=-0.14669032394886017
  Angle -4: cl=-0.4129136800765991, cd=0.097570039331913, cm=-0.13352222740650177
  Angle -3: cl=-0.3115987479686737, cd=0.09066478163003922, cm=-0.11789624392986298
  Angle -2: cl=-0.2500954270362854, cd=0.08491557091474533, cm=-0.09002502262592316
  Angle -1: cl=-0.18988995254039764, cd=0.08052720129489899, cm=-0.06046871840953827
  Angle 0: cl=-0.12162414193153381, cd=0.0808357372879982, cm=-0.03299431502819061
  Angle 1: cl=-0.05248642712831497, cd=0.0817820355296135, cm=-0.010549083352088928
  Angle 2: cl=0.03154982253909111, cd=0.08681073039770126, cm=0.000872194766998291
  Angle 3: cl=0.2671234905719757, cd=0.07466593384742737, cm=0.0021177083253860474
  Angle 4: cl=0.35589492321014404, cd=0.08031582087278366, cm=0.007559716701507568
  Angle 5: cl=0.4476166069507599, cd=0.08712232857942581, cm=0.01139204204082489
  Angle 6: cl=0.5486719608306885, cd=0.09423442929983139, cm=0.01394110918045044
  Angle 7: cl=0.6403920650482178, cd=0.10034866631031036, cm=0.014949515461921692
  Angle 8: cl=0.731874942779541, cd=0.10355094820261002, cm=0.007555186748504639
  Angle 9: cl=0.8256807327270508, cd=0.10756926983594894, cm=-0.0008128583431243896
  Angle 10: cl=0.920820951461792, cd=0.1146913468837738, cm=-0.009498640894889832
Genotype [0.0126, 0.4552015580643532, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0]:
  Angle -10: cl=-0.5445290803909302, cd=0.20708361268043518, cm=-0.18290312588214874
  Angle -9: cl=-0.5761242508888245, cd=0.17546574771404266, cm=-0.1781465858221054
