Experiment: Combination_Experiment_359
Generation: 32
Timestamp: 20231225_225945

Genotypes and their Fitness Values:
[0.00875512163351571, 0.44120969804489996, 0.12993221043024775, -0.8236309814427967, 0.25931023723320185, -0.022911364681006543, 0.07629871502228935, -0.003079127975713528, 0.002948372516993128, 7.466935938277464, 10.53002890379323] - Fitness: 0.03298681078697819
[0.00852578461388469, 0.44898506046820896, 0.12918050908171225, -0.8228435336808401, 0.2587335363366942, -0.022465515331232068, 0.07586856597026001, -0.003238377313784559, 0.0028215144894613484, 7.541647926325395, 10.253260546052367] - Fitness: 0.023215848991363527
[0.008563818907797971, 0.4333273091874437, 0.12978935353781143, -0.853183554748535, 0.2591229868313443, -0.022606695238032607, 0.07752819026768744, -0.0030807169602312372, 0.0029470072617618546, 8.609934321193757, 10.054981482839846] - Fitness: 0.015102186714813877
[0.008500295213222629, 0.43328632376745696, 0.12973980626657672, -0.8137110370811448, 0.25952137879852405, -0.022447452182265706, 0.07963422189939123, -0.003064913352502047, 0.002812517348199415, 8.623587549010596, 10.36253188119454] - Fitness: 0.00025704137912325255
[0.008733252071761429, 0.43628453136512685, 0.1297836234952852, -0.8320092242809083, 0.25907228846118285, -0.022992616513034518, 0.08918103941208347, -0.0030759465513359877, 0.0030446437723856074, 7.7689445640372625, 10.520576925442219] - Fitness: -0.007470358200664006
[0.008522060814462952, 0.4416734900343928, 0.1290956389606067, -0.8144663520551529, 0.2589346717750263, -0.022546947635878275, 0.07436700039843909, -0.0031174207359986822, 0.0029267003772312553, 7.896331030024687, 10.474641551987569] - Fitness: -0.008762111529118044
[0.008660834997761827, 0.4443131499326356, 0.12988225623226352, -0.8253773240015201, 0.25908298828532816, -0.02264932699867462, 0.08633207676409527, -0.0031117916862378066, 0.003120471069807929, 7.8082686012741105, 10.452280373004662] - Fitness: -0.012103681919107863
[0.008714188169163575, 0.4397125549600233, 0.1298067166433889, -0.8348614399700732, 0.258959092600101, -0.023, 0.0794159543734602, -0.0033076158793636005, 0.0028282318884971973, 8.002090927695292, 10.401132652039589] - Fitness: -0.0129834702359665
[0.008603901578714438, 0.43424927298479854, 0.12951161436498393, -0.833034418714624, 0.2582440275096022, -0.022430666397088767, 0.06721525292144276, -0.003078281945431057, 0.0027798267052027755, 7.666682580288902, 10.550517399620018] - Fitness: -0.016712230607698695
[0.00861610640215182, 0.4523629351134568, 0.12923100796484216, -0.8207368710811624, 0.2588269550963824, -0.022345063530956756, 0.07247812330837008, -0.0030319349341694835, 0.0028339263454688836, 7.988464456284026, 10.599321954565847] - Fitness: -0.02049834620572522
[0.008511274757103782, 0.4324000159467735, 0.12900249448666223, -0.8451704102043897, 0.25908648777444626, -0.022821422833398965, 0.06820425617561637, -0.003103118995160835, 0.0027714322956694315, 8.772951932263403, 10.477790448533426] - Fitness: -0.024869275054966715
[0.008599767855362421, 0.4368125846858566, 0.12956521474531127, -0.8341933440933401, 0.2582657719982925, -0.02226144738291044, 0.0627456542018823, -0.0030958003088869283, 0.002860690285330327, 7.671747215880893, 10.488216752282197] - Fitness: -0.02500779923536171
[0.008551622543895413, 0.43273712479771326, 0.12970916018716933, -0.8190036104766286, 0.2589111852049941, -0.02244483105125004, 0.08257902549302626, -0.003075931315297454, 0.002741468072493148, 8.52381772209593, 10.4545543378753] - Fitness: -0.026766230202330384
[0.008507390563869548, 0.4108547939570186, 0.1297414583133717, -0.8314495164859316, 0.25892256482086956, -0.02263961418831622, 0.07065506981983993, -0.003360968764411485, 0.0025059815219170846, 8.53703263460139, 10.07026562367732] - Fitness: -0.03354198496630454
[0.00854545850729903, 0.428235376322229, 0.12977262321616478, -0.8351381147249217, 0.2587188630841988, -0.022413594425912477, 0.09141507477054962, -0.003088574251427137, 0.002864806876311009, 8.07135907570157, 10.432954241266817] - Fitness: -0.035223824914638956
[0.008502698997493244, 0.43369162441554054, 0.1298329083208526, -0.8317408287037826, 0.2574139012201288, -0.022440692951885742, 0.08095952513190034, -0.003116509374648203, 0.0029124436754551066, 8.31058840997943, 10.273069396134195] - Fitness: -0.0377687872783964
[0.008702235371555676, 0.42816623888260535, 0.12970732994341871, -0.8108508301061402, 0.25917656712978654, -0.022761440845449614, 0.0797789256448226, -0.0030453460527617333, 0.00282374867454133, 8.3589901861668, 10.542980072156409] - Fitness: -0.038263993536339025
[0.00871655028994019, 0.4321472309394337, 0.12969147718987475, -0.8133380007304493, 0.2592569657558588, -0.02258511320255775, 0.07961003206102839, -0.0030350768771894546, 0.002673831439984994, 8.387898805796697, 10.635546028032987] - Fitness: -0.03844877110791918
[0.00869913289542389, 0.44012192147757767, 0.12955658083026403, -0.8349890293820291, 0.2588637862334463, -0.022566769287449582, 0.06990804351629142, -0.003115273647112987, 0.0028007889710975208, 8.463790132381064, 10.451304337116618] - Fitness: -0.04022996131128742
[0.008652499223812286, 0.43900014716760655, 0.12950111683641058, -0.8381083834808051, 0.25880846786061773, -0.022547714738011582, 0.07530285497216038, -0.00313772545832177, 0.0027565391295542386, 8.484457394479886, 10.451985802230952] - Fitness: -0.04137078768129356
[0.008651696767125622, 0.44091110538520645, 0.1295450619875954, -0.835446297129221, 0.2583121766436684, -0.02255339223597628, 0.07000348745657303, -0.0030859727479150925, 0.002857445460208342, 8.425560410813514, 10.454392543882516] - Fitness: -0.04238542590128865
[0.008641231900232861, 0.4356247700880999, 0.1297354637855532, -0.8499201573268589, 0.2591407281743274, -0.022409277298730813, 0.07740753051833636, -0.0030398670074028864, 0.00284679430705066, 8.564675904724348, 10.51566848852848] - Fitness: -0.04268593336302545
[0.00867651114311212, 0.42441720294339935, 0.12947411638691989, -0.8365392575853625, 0.2591438715410291, -0.02243737447059015, 0.060499973577401465, -0.0031946813210820676, 0.0027818144287538225, 8.139373916000334, 10.244590561917978] - Fitness: -0.0433488934578699
[0.008541405840691919, 0.4333070099966153, 0.129840070090335, -0.8481444248356483, 0.257937076676352, -0.02252398205142518, 0.08002699967904017, -0.0031028294602931756, 0.00280865986022509, 8.85222329793877, 10.34358949893553] - Fitness: -0.04475921537672014
[0.008678648009124018, 0.4368798895896456, 0.12927152988202376, -0.8360757189959976, 0.25899237165295624, -0.022553267336374232, 0.06927694124622348, -0.00303111650041891, 0.0028750709949082586, 8.513431331910727, 10.45653720602132] - Fitness: -0.04494510080954344
[0.008681994025473112, 0.4313261751332457, 0.12911905830817177, -0.8318533595486349, 0.2587517441127189, -0.022352724955728074, 0.07129505542542092, -0.0030552482126445573, 0.002701131193864577, 8.264637049355386, 10.333513528282824] - Fitness: -0.04620079647155256
[0.00870719693057432, 0.43545769977498694, 0.12984143458908182, -0.8307934755943877, 0.25876606849927675, -0.022464110142418732, 0.08202944015966712, -0.0031248050283172162, 0.0031131790115819496, 7.588240411607379, 10.42934627131404] - Fitness: -0.04622509044249159
[0.008552083528290608, 0.42524850492589716, 0.12884914411169832, -0.8256174916200539, 0.2586522475497375, -0.022397205637321116, 0.07152843746118001, -0.0030293325513441136, 0.002869452740067129, 7.7274339360347195, 10.5533352031248] - Fitness: -0.05127948579022396
[0.008799986112361036, 0.4337836613716071, 0.12992323380291093, -0.8167746704034632, 0.25907457138186035, -0.022459002906927625, 0.06882754674826748, -0.0030673807674037505, 0.0028267033088898914, 8.260975251769143, 10.520773428704357] - Fitness: -0.052860135906778766
[0.008742991158483614, 0.43476600239520374, 0.12986515243516883, -0.8313513360211767, 0.2590720730261874, -0.02243828376129829, 0.08966783429830923, -0.0030755736081647905, 0.0030410557256299923, 7.754460140750851, 10.52094059572147] - Fitness: -0.05454143763356824
[0.00878032565201005, 0.4225778574606342, 0.13, -0.8363854389411258, 0.2591950159846493, -0.02239258568076385, 0.09845969933587004, -0.0031329003069651504, 0.002968759342823939, 8.010103736578742, 10.052224803462405] - Fitness: -0.05460294952702584
[0.008606797662737814, 0.4231280611896298, 0.1290433102991906, -0.832959089456517, 0.2585155950067032, -0.022287982917600903, 0.07049607067567595, -0.0030710474358698467, 0.0028583623966081627, 7.343891467395417, 10.52473497224693] - Fitness: -0.05550478963972265
[0.008704991839175714, 0.43580298669358725, 0.12963626311472187, -0.835983946278566, 0.2588274539003539, -0.022592407249361124, 0.09041417750789732, -0.0030609120326807425, 0.0029900546064249136, 8.353296027375027, 10.439278903859917] - Fitness: -0.05970605865992758
[0.00852335799810642, 0.43483556725614236, 0.1292075600872761, -0.8531055847326127, 0.25904203523210934, -0.02264401817354623, 0.07306263688847654, -0.0031723996633275654, 0.0028460191676894435, 8.814424934263656, 10.53790148560495] - Fitness: -0.05987889330070303
[0.009074520835522128, 0.44222189765594927, 0.12920460932972339, -0.8426598214965411, 0.2593106404074188, -0.022547146097161543, 0.06815869446803383, -0.003049919839722842, 0.002928542495127984, 7.40626252346894, 10.473201134437874] - Fitness: -0.06040343022036805
[0.008720217699360095, 0.41, 0.12967172989851947, -0.8360187735998382, 0.25982440561085296, -0.022479676066905215, 0.07072697773560388, -0.0031418527159497115, 0.002549116598502933, 8.659652690862886, 10.226171477311098] - Fitness: -0.0606135250071834
[0.008517510706132802, 0.43875759884007265, 0.129605265890529, -0.8375508978377901, 0.25780752615244645, -0.022493139216062125, 0.0655515327440181, -0.003260885181125358, 0.0028116206438614996, 8.563057434179417, 10.436045692997519] - Fitness: -0.06188008688529148
[0.00869889508829326, 0.43749517381123765, 0.12926811525006068, -0.8361036328392277, 0.25832638259797785, -0.022621920900908955, 0.06623368545320832, -0.0030630556300783526, 0.0029391150434565044, 8.34073871331195, 10.47818934884946] - Fitness: -0.062309509047364375
[0.008660347105312148, 0.4342220036201161, 0.12926093837915428, -0.8362410273846519, 0.25837482953230684, -0.02254649252254421, 0.06857127778084968, -0.003058045347897322, 0.0029206560635888774, 8.286005006165484, 10.476620725760474] - Fitness: -0.06234119954523587
[0.009001881991330186, 0.44291892766856766, 0.12910567728078118, -0.81996929841916, 0.2594902322212216, -0.022547079795125744, 0.07670726809675, -0.003110926917109477, 0.0028772217188252486, 7.526697488283464, 10.473853996173723] - Fitness: -0.0642543792950673
[0.008715088344051667, 0.4261405897481429, 0.12971414340598816, -0.8068380854606338, 0.25920939184269415, -0.022669834297912254, 0.08469530118572371, -0.0030442432198799383, 0.003001243785350572, 8.23161673408542, 10.547876529961421] - Fitness: -0.06795800637596801
[0.008792773332210702, 0.4266750692599186, 0.1293836753735823, -0.8709362745831521, 0.2592168012389177, -0.022285557627313594, 0.07615007794533869, -0.003204820135066819, 0.002746215328356147, 8.26961234406705, 10.101881830619215] - Fitness: -0.06813138950367455
[0.008732481934779239, 0.4295195034758889, 0.12966937761409825, -0.832987500040543, 0.2591330985727534, -0.022385893229607372, 0.08569742080325941, -0.0030249425661597953, 0.0027692127926631873, 8.239771824337886, 10.62579642587734] - Fitness: -0.06886699132552124
[0.008726256134386405, 0.4298398784049181, 0.1296041152063068, -0.8326624308897286, 0.2591676892317814, -0.022363243499353452, 0.08632479048147271, -0.0030175504191872144, 0.00284128344453121, 8.651755567073339, 10.38027984682215] - Fitness: -0.06904822376720833
[0.008838077932412425, 0.44289318392206767, 0.12979780217108938, -0.8361266225561651, 0.2588961764606383, -0.022253476133113202, 0.06985362616812954, -0.00313114299181291, 0.0025815804365949273, 8.734396013950171, 10.423213604295116] - Fitness: -0.07047243197197478
[0.008755736050638424, 0.4364633264300064, 0.12927795045232113, -0.8391616464223506, 0.2588984499705976, -0.02261951493667707, 0.07546253884908544, -0.003077400844100609, 0.0029404620073272244, 8.341556302289309, 10.481348005225756] - Fitness: -0.07089331557630386
[0.008730528413562148, 0.4345994603836314, 0.12933959241258214, -0.8359860671226295, 0.2585959185161811, -0.02283996616938806, 0.07839004934318114, -0.0031246132346213246, 0.0028948352724550764, 8.295436090488506, 10.588552312591684] - Fitness: -0.0713287242634849
[0.008518215027506191, 0.4363438761978822, 0.12925132090431599, -0.8557401096887005, 0.2589471554354443, -0.022604804965862108, 0.07690194275078908, -0.0034272521015877356, 0.003021856987286563, 8.066113758434339, 10.382086682482697] - Fitness: -0.07198044147664345
[0.008668264027445876, 0.4318109886558928, 0.1292535586029145, -0.8248424626147725, 0.25879357003274744, -0.02233064477400467, 0.07260861494059391, -0.0031374356868036, 0.003127729672378111, 7.770788006763377, 10.299361272633481] - Fitness: -0.07303863793188657
[0.008533455094578856, 0.43377408852658433, 0.12987723550112004, -0.8425955589509686, 0.2586449021203194, -0.022542644948570955, 0.0780450915316246, -0.003342691867739003, 0.0028086781117650367, 8.777482254454437, 10.454938283946316] - Fitness: -0.07348742609845478

Detailed Results for Each Genotype:
Genotype [0.00875512163351571, 0.44120969804489996, 0.12993221043024775, -0.8236309814427967, 0.25931023723320185, -0.022911364681006543, 0.07629871502228935, -0.003079127975713528, 0.002948372516993128, 7.466935938277464, 10.53002890379323]:
  Angle -10: cl=-0.5555692315101624, cd=0.22732746601104736, cm=-0.1858559101819992
  Angle -9: cl=-0.5891937017440796, cd=0.19669149816036224, cm=-0.18047262728214264
  Angle -8: cl=-0.6134845018386841, cd=0.16198182106018066, cm=-0.1778518706560135
  Angle -7: cl=-0.6416952013969421, cd=0.1290750652551651, cm=-0.17016498744487762
  Angle -6: cl=-0.6163989305496216, cd=0.11513856798410416, cm=-0.15759892761707306
  Angle -5: cl=-0.5016447305679321, cd=0.10318338871002197, cm=-0.14523304998874664
  Angle -4: cl=-0.39892199635505676, cd=0.0960487499833107, cm=-0.13223038613796234
  Angle -3: cl=-0.29502442479133606, cd=0.08936242759227753, cm=-0.11745865643024445
  Angle -2: cl=-0.22610312700271606, cd=0.0832546129822731, cm=-0.0919189602136612
  Angle -1: cl=-0.16707830131053925, cd=0.07985322922468185, cm=-0.06229455769062042
  Angle 0: cl=-0.1043521910905838, cd=0.08008113503456116, cm=-0.033408865332603455
  Angle 1: cl=-0.03694283217191696, cd=0.08052929490804672, cm=-0.008819058537483215
  Angle 2: cl=0.04413090646266937, cd=0.08595789223909378, cm=0.002398192882537842
  Angle 3: cl=0.27604636549949646, cd=0.07460761070251465, cm=0.004619687795639038
  Angle 4: cl=0.3628150522708893, cd=0.08022823929786682, cm=0.010184749960899353
  Angle 5: cl=0.45631781220436096, cd=0.08675258606672287, cm=0.014008313417434692
  Angle 6: cl=0.5498910546302795, cd=0.09401515871286392, cm=0.016618594527244568
  Angle 7: cl=0.6439200043678284, cd=0.09966907650232315, cm=0.015933603048324585
  Angle 8: cl=0.7357222437858582, cd=0.10281068831682205, cm=0.008738324046134949
  Angle 9: cl=0.8270857930183411, cd=0.10648107528686523, cm=0.0004395991563796997
  Angle 10: cl=0.9258261322975159, cd=0.11107904464006424, cm=-0.00792519748210907
Genotype [0.00852578461388469, 0.44898506046820896, 0.12918050908171225, -0.8228435336808401, 0.2587335363366942, -0.022465515331232068, 0.07586856597026001, -0.003238377313784559, 0.0028215144894613484, 7.541647926325395, 10.253260546052367]:
  Angle -10: cl=-0.5598664879798889, cd=0.22557005286216736, cm=-0.1859178990125656
  Angle -9: cl=-0.5940026044845581, cd=0.19498439133167267, cm=-0.18112273514270782
  Angle -8: cl=-0.6164452433586121, cd=0.15963175892829895, cm=-0.17901025712490082
  Angle -7: cl=-0.650363564491272, cd=0.12604480981826782, cm=-0.17136652767658234
  Angle -6: cl=-0.6130077838897705, cd=0.11409575492143631, cm=-0.1581927388906479
  Angle -5: cl=-0.49950289726257324, cd=0.10231845825910568, cm=-0.14591015875339508
  Angle -4: cl=-0.40106329321861267, cd=0.09615203738212585, cm=-0.13239572942256927
  Angle -3: cl=-0.2971259653568268, cd=0.08943628519773483, cm=-0.11750389635562897
  Angle -2: cl=-0.23160049319267273, cd=0.08342118561267853, cm=-0.09076319634914398
  Angle -1: cl=-0.1723565012216568, cd=0.08008700609207153, cm=-0.06098385155200958
  Angle 0: cl=-0.10874548554420471, cd=0.08034736663103104, cm=-0.03282897174358368
  Angle 1: cl=-0.04023100435733795, cd=0.08086095005273819, cm=-0.008932575583457947
  Angle 2: cl=0.041109293699264526, cd=0.08637680113315582, cm=0.002038031816482544
  Angle 3: cl=0.27445733547210693, cd=0.07465671747922897, cm=0.0038540661334991455
  Angle 4: cl=0.36277711391448975, cd=0.08022567629814148, cm=0.009420081973075867
  Angle 5: cl=0.4584934413433075, cd=0.08673027902841568, cm=0.012877807021141052
  Angle 6: cl=0.5537498593330383, cd=0.09378769248723984, cm=0.015247270464897156
  Angle 7: cl=0.6469671130180359, cd=0.09979181736707687, cm=0.015593752264976501
  Angle 8: cl=0.7385745048522949, cd=0.10290142148733139, cm=0.008374586701393127
  Angle 9: cl=0.8310626745223999, cd=0.10670891404151917, cm=0.00010989606380462646
  Angle 10: cl=0.9299458265304565, cd=0.11129601299762726, cm=-0.008207693696022034
Genotype [0.008563818907797971, 0.4333273091874437, 0.12978935353781143, -0.853183554748535, 0.2591229868313443, -0.022606695238032607, 0.07752819026768744, -0.0030807169602312372, 0.0029470072617618546, 8.609934321193757, 10.054981482839846]:
  Angle -10: cl=-0.5512838363647461, cd=0.22384941577911377, cm=-0.18465958535671234
  Angle -9: cl=-0.5838963985443115, cd=0.19327542185783386, cm=-0.17961780726909637
  Angle -8: cl=-0.6115288138389587, cd=0.15937405824661255, cm=-0.1758352369070053
  Angle -7: cl=-0.6392094492912292, cd=0.12718886137008667, cm=-0.16784672439098358
  Angle -6: cl=-0.6131081581115723, cd=0.11476678401231766, cm=-0.1555251032114029
  Angle -5: cl=-0.4946621060371399, cd=0.10238464176654816, cm=-0.14319925010204315
  Angle -4: cl=-0.3901684880256653, cd=0.09467156231403351, cm=-0.12938888370990753
  Angle -3: cl=-0.28919169306755066, cd=0.08792287856340408, cm=-0.11364541947841644
  Angle -2: cl=-0.22256073355674744, cd=0.08173279464244843, cm=-0.08727960288524628
  Angle -1: cl=-0.16386868059635162, cd=0.07906806468963623, cm=-0.057255253195762634
  Angle 0: cl=-0.10199001431465149, cd=0.07947631180286407, cm=-0.028893426060676575
  Angle 1: cl=-0.03647074103355408, cd=0.08238549530506134, cm=-0.0066376179456710815
  Angle 2: cl=0.045101918280124664, cd=0.08782177418470383, cm=0.004948243498802185
  Angle 3: cl=0.2677612602710724, cd=0.07784529030323029, cm=0.007302612066268921
  Angle 4: cl=0.3526993989944458, cd=0.0836712196469307, cm=0.012826040387153625
  Angle 5: cl=0.44310399889945984, cd=0.08986188471317291, cm=0.01706787943840027
  Angle 6: cl=0.5368722081184387, cd=0.09638144075870514, cm=0.019635021686553955
  Angle 7: cl=0.6332672834396362, cd=0.10016694664955139, cm=0.014360785484313965
  Angle 8: cl=0.7249826192855835, cd=0.10355839133262634, cm=0.00726848840713501
  Angle 9: cl=0.8155173659324646, cd=0.10718545317649841, cm=-0.0011359155178070068
  Angle 10: cl=0.9131335616111755, cd=0.11187269538640976, cm=-0.010124847292900085
Genotype [0.008500295213222629, 0.43328632376745696, 0.12973980626657672, -0.8137110370811448, 0.25952137879852405, -0.022447452182265706, 0.07963422189939123, -0.003064913352502047, 0.002812517348199415, 8.623587549010596, 10.36253188119454]:
  Angle -10: cl=-0.5531137585639954, cd=0.22445018589496613, cm=-0.1847735494375229
  Angle -9: cl=-0.5857217907905579, cd=0.19386997818946838, cm=-0.17961736023426056
  Angle -8: cl=-0.6138859987258911, cd=0.16013257205486298, cm=-0.17573128640651703
  Angle -7: cl=-0.6419087052345276, cd=0.12754486501216888, cm=-0.1679423600435257
  Angle -6: cl=-0.6154671311378479, cd=0.11507511883974075, cm=-0.15555275976657867
  Angle -5: cl=-0.4967053532600403, cd=0.10261274129152298, cm=-0.1431548148393631
  Angle -4: cl=-0.3909749686717987, cd=0.09462878853082657, cm=-0.1295495182275772
  Angle -3: cl=-0.28934744000434875, cd=0.08789774775505066, cm=-0.11404012143611908
  Angle -2: cl=-0.2218857705593109, cd=0.08164650946855545, cm=-0.0879039615392685
  Angle -1: cl=-0.1633656620979309, cd=0.07898782938718796, cm=-0.0579485148191452
  Angle 0: cl=-0.1021256148815155, cd=0.0793367400765419, cm=-0.029328569769859314
  Angle 1: cl=-0.03660853952169418, cd=0.08210209012031555, cm=-0.006784364581108093
  Angle 2: cl=0.04058544710278511, cd=0.0879838615655899, cm=0.004965618252754211
  Angle 3: cl=0.26655301451683044, cd=0.07761482149362564, cm=0.0073728859424591064
  Angle 4: cl=0.35134151577949524, cd=0.08346125483512878, cm=0.01293899118900299
  Angle 5: cl=0.44135165214538574, cd=0.08964087814092636, cm=0.017227262258529663
  Angle 6: cl=0.534516453742981, cd=0.09613741934299469, cm=0.019849777221679688
  Angle 7: cl=0.6309041380882263, cd=0.09994832426309586, cm=0.01463635265827179
  Angle 8: cl=0.7226638793945312, cd=0.10335848480463028, cm=0.007634460926055908
  Angle 9: cl=0.8131905794143677, cd=0.10698472708463669, cm=-0.0007644742727279663
  Angle 10: cl=0.9105913639068604, cd=0.11160328984260559, cm=-0.009610101580619812
Genotype [0.008733252071761429, 0.43628453136512685, 0.1297836234952852, -0.8320092242809083, 0.25907228846118285, -0.022992616513034518, 0.08918103941208347, -0.0030759465513359877, 0.0030446437723856074, 7.7689445640372625, 10.520576925442219]:
  Angle -10: cl=-0.553995668888092, cd=0.22570176422595978, cm=-0.18497367203235626
  Angle -9: cl=-0.5868488550186157, cd=0.19511938095092773, cm=-0.17974336445331573
  Angle -8: cl=-0.6134318709373474, cd=0.16101190447807312, cm=-0.17646943032741547
  Angle -7: cl=-0.6413492560386658, cd=0.1282179206609726, cm=-0.16819517314434052
  Angle -6: cl=-0.6169561743736267, cd=0.11511386185884476, cm=-0.1561758667230606
  Angle -5: cl=-0.500871479511261, cd=0.1029377430677414, cm=-0.143768772482872
  Angle -4: cl=-0.3957461416721344, cd=0.09512987732887268, cm=-0.1303911656141281
  Angle -3: cl=-0.29277303814888, cd=0.08842387795448303, cm=-0.11537118256092072
  Angle -2: cl=-0.22527751326560974, cd=0.0821906253695488, cm=-0.089195117354393
  Angle -1: cl=-0.16648121178150177, cd=0.07920539379119873, cm=-0.05936403572559357
  Angle 0: cl=-0.10505582392215729, cd=0.07956916838884354, cm=-0.03058464825153351
  Angle 1: cl=-0.03906302899122238, cd=0.08159521222114563, cm=-0.007391825318336487
  Angle 2: cl=0.038812056183815, cd=0.08737197518348694, cm=0.004106670618057251
  Angle 3: cl=0.26669639348983765, cd=0.07664698362350464, cm=0.006433218717575073
  Angle 4: cl=0.3527572751045227, cd=0.08236837387084961, cm=0.011992305517196655
  Angle 5: cl=0.44304147362709045, cd=0.0885913223028183, cm=0.016199946403503418
  Angle 6: cl=0.5366599559783936, cd=0.0954093262553215, cm=0.018852874636650085
  Angle 7: cl=0.6319667100906372, cd=0.09987138211727142, cm=0.015216454863548279
  Angle 8: cl=0.723928689956665, cd=0.10317356884479523, cm=0.008172839879989624
  Angle 9: cl=0.8144406080245972, cd=0.1067984476685524, cm=-0.0002167224884033203
  Angle 10: cl=0.9124705791473389, cd=0.11140421032905579, cm=-0.008902087807655334
Genotype [0.008522060814462952, 0.4416734900343928, 0.1290956389606067, -0.8144663520551529, 0.2589346717750263, -0.022546947635878275, 0.07436700039843909, -0.0031174207359986822, 0.0029267003772312553, 7.896331030024687, 10.474641551987569]:
  Angle -10: cl=-0.5573940873146057, cd=0.22576577961444855, cm=-0.18548469245433807
  Angle -9: cl=-0.5908839106559753, cd=0.1951880007982254, cm=-0.18041114509105682
  Angle -8: cl=-0.6159117221832275, cd=0.16068176925182343, cm=-0.17757998406887054
  Angle -7: cl=-0.6448825597763062, cd=0.127760648727417, cm=-0.16943179070949554
  Angle -6: cl=-0.6177064180374146, cd=0.1148579865694046, cm=-0.15692995488643646
  Angle -5: cl=-0.5015991926193237, cd=0.10274181514978409, cm=-0.14465580880641937
  Angle -4: cl=-0.3987222909927368, cd=0.09548408538103104, cm=-0.13131417334079742
  Angle -3: cl=-0.29529163241386414, cd=0.08876427263021469, cm=-0.11635132133960724
  Angle -2: cl=-0.2281491458415985, cd=0.08256945013999939, cm=-0.09008176624774933
  Angle -1: cl=-0.16913466155529022, cd=0.07943379133939743, cm=-0.0602140873670578
  Angle 0: cl=-0.10744661092758179, cd=0.07973121851682663, cm=-0.03157840669155121
  Angle 1: cl=-0.041277483105659485, cd=0.08125744760036469, cm=-0.008057430386543274
  Angle 2: cl=0.038958851248025894, cd=0.08685766160488129, cm=0.0032148510217666626
  Angle 3: cl=0.26826244592666626, cd=0.07577075064182281, cm=0.005429878830909729
  Angle 4: cl=0.35505571961402893, cd=0.0814112201333046, cm=0.011017918586730957
  Angle 5: cl=0.44708871841430664, cd=0.08763229101896286, cm=0.014982238411903381
  Angle 6: cl=0.5411812663078308, cd=0.09463461488485336, cm=0.017528250813484192
  Angle 7: cl=0.6354405879974365, cd=0.09982351213693619, cm=0.01566965878009796
  Angle 8: cl=0.7273995876312256, cd=0.10298514366149902, cm=0.008534178137779236
  Angle 9: cl=0.818195641040802, cd=0.10662610083818436, cm=0.00019350647926330566
  Angle 10: cl=0.9168282747268677, cd=0.1112484335899353, cm=-0.00829063355922699
Genotype [0.008660834997761827, 0.4443131499326356, 0.12988225623226352, -0.8253773240015201, 0.25908298828532816, -0.02264932699867462, 0.08633207676409527, -0.0031117916862378066, 0.003120471069807929, 7.8082686012741105, 10.452280373004662]:
  Angle -10: cl=-0.5524887442588806, cd=0.22458197176456451, cm=-0.18527169525623322
  Angle -9: cl=-0.586129367351532, cd=0.19398033618927002, cm=-0.1805046647787094
  Angle -8: cl=-0.6092787384986877, cd=0.15877366065979004, cm=-0.17811928689479828
  Angle -7: cl=-0.6391313076019287, cd=0.12662982940673828, cm=-0.16943113505840302
  Angle -6: cl=-0.6141493320465088, cd=0.11376491189002991, cm=-0.15668867528438568
