Experiment: Combination_Experiment_372
Generation: 42
Timestamp: 20231226_024958

Genotypes and their Fitness Values:
[0.00915790574801418, 0.4403287214369607, 0.1277085051294961, -0.7598164865438617, 0.22797660821689197, -0.022370740756439952, 0.07811524636888022, -0.003061506228391161, 0.002707534352633235, 7.804386818330928, 10.329239650955062] - Fitness: -1.0214677894378155
[0.00870031910184963, 0.4243687314583488, 0.12379441699857631, -0.7242886010120896, 0.2580558594349159, -0.022599112595006084, 0.13083146552062105, -0.003476134806385935, 0.002697527651412618, 8.624593977052966, 10.248759946706906] - Fitness: -0.3710695473204751
[0.008810666694378312, 0.43239848102046813, 0.12535139696415734, -0.7222897287554224, 0.26, -0.02260374985360398, 0.13919698312968615, -0.0034612908386279515, 0.0026995877598137894, 8.578674422149819, 10.137240737339063] - Fitness: -0.26756387249526253
[0.008708829287398618, 0.44775312378797993, 0.1289881701029986, -0.7698159381787949, 0.2584082088242798, -0.022413218464853495, 0.11679530474537718, -0.003618282956690221, 0.0025, 7.968547948978608, 10.423396736010579] - Fitness: -0.14435914986436324
[0.008789960068091253, 0.4446014852626877, 0.1287051292619771, -0.7601692512377644, 0.25996145836511725, -0.015, 0.0815862450963714, -0.003499286426604682, 0.0027085642895719126, 7.225358166944983, 10.360704554917866] - Fitness: -0.5973039271180095
[0.008581851827107658, 0.44396639675200783, 0.12870265061389818, -0.7455999957331164, 0.2585450089934166, -0.022484990492236137, 0.08674860867685721, -0.0031795644589491124, 0.0029975075566640638, 8.48939255758521, 10.797213187561265] - Fitness: -0.1472603212123682
[0.008566116433452838, 0.4455726244602377, 0.12745997842187964, -0.8286174333313819, 0.25915813370807517, -0.022328093164083164, 0.10489743775341628, -0.0034227824769148376, 0.0026900255402879333, 8.46770467906863, 10.29117467231346] - Fitness: -0.1490461371577387
[0.008657223374494144, 0.46, 0.12862076839488185, -0.8106883054680712, 0.258244106440041, -0.02297094327423292, 0.10184172390389079, -0.0036682966043463877, 0.002653705017743208, 7.915200510240842, 10.42951894013459] - Fitness: -0.11671819228536827
[0.008963699025740193, 0.44778105196011353, 0.12888985722102744, -0.7448064592388179, 0.2584386932702364, -0.02267097164544962, 0.1382014066465625, -0.0033388076302196725, 0.0029102578018726484, 7.883106638711092, 10.495487536058288] - Fitness: -0.18934117175932116
[0.008816417735447049, 0.4516885753574425, 0.12912540099850303, -0.7431900965232782, 0.2581002644428941, -0.02227115604221574, 0.09535614768396337, -0.0034264210811136495, 0.0026230715609115987, 8.609895818755538, 10.310653051580417] - Fitness: -0.16646217732089427
[0.008649076676795781, 0.4400556807681343, 0.12895313568614747, -0.7496526565356013, 0.2597163601274817, -0.023, 0.0795785353818648, -0.0031885511635240792, 0.0029737210553445305, 8.473482543893274, 10.33084770272593] - Fitness: -0.03056140237970938
[0.008578260840379697, 0.43767698147102896, 0.1283352966368405, -0.7714626779877708, 0.2578524569425817, -0.022212824267990365, 0.08724903606777311, -0.003471576400756544, 0.0026893066221499247, 7.975906251416071, 10.321894690218947] - Fitness: -0.14623408973179006
[0.009022508931355035, 0.42803788562111106, 0.12836188982731905, -0.7397284672778756, 0.25978655887582613, -0.02183795471966911, 0.07526253634284116, -0.0034550786158190506, 0.0025457216416039726, 7.977625995607949, 10.40272026606031] - Fitness: -0.21409767974792326
[0.008537703967625784, 0.43489866755970796, 0.11086724388101647, -0.7541844730577466, 0.25961876532246986, -0.02238505626801411, 0.09338791986036482, -0.003150611078074084, 0.00265304419183267, 8.64101152264029, 10.302722036028278] - Fitness: -0.6558337094123455
[0.008611112725116625, 0.4469438563002847, 0.1289199662943231, -0.7872386191843639, 0.26, -0.022277194801303635, 0.0813277056187905, -0.0033754733920493695, 0.005, 7.777973800906122, 10.140800476544285] - Fitness: -0.2575582452356613
[0.008642551013137415, 0.4410087605912648, 0.1299799193640062, -0.7295133421363649, 0.26, -0.02252382382739522, 0.11238158438534965, -0.003105128276410396, 0.0028866492957058563, 7.986196417092761, 10.828815538488824] - Fitness: -0.04336550163591
[0.008521339025964953, 0.4305136191589294, 0.12886138687524837, -0.7965887061811527, 0.25971990235968256, -0.02225497190388736, 0.09356736692931573, -0.0031102171892101013, 0.00275007391038507, 7.75794193599411, 10.411141194351343] - Fitness: -0.022887267568219606
[0.008644561514423051, 0.4356290561854734, 0.1284077793078289, -0.762137560797485, 0.25864375516886257, -0.022455755141164577, 0.07952586310879294, -0.0031851538813030687, 0.005, 8.520474497056698, 10.349435018248977] - Fitness: -0.33243229817756964
[0.008677039786585516, 0.45233088230160295, 0.13, -0.7248736008770503, 0.25858299852203454, -0.022942821314846512, 0.1245704767996544, -0.0030437354531311477, 0.0025881781688930944, 8.613709146490711, 10.36018485536647] - Fitness: 0.01680404628448378
[0.00923114389525018, 0.42301974907541673, 0.12896929614830638, -0.8058162725457729, 0.2592873934593583, -0.022684366043811077, 0.10516901223269777, -0.0036463447417087926, 0.0026182983553348356, 7.561009949634099, 10.5433093719211] - Fitness: -0.23066765576322776
[0.008642854271677589, 0.4575016723641159, 0.12858703246900657, -0.760110058941233, 0.25921125372274867, -0.022524522053855897, 0.12233427176602832, -0.003224295449035791, 0.0025963386483090043, 8.523313120934016, 10.382413998670117] - Fitness: -0.07843208753821673
[0.0085, 0.44368131643059733, 0.12829033495559208, -0.778539995960326, 0.2578149441223475, -0.022674763595057726, 0.14695840489823564, -0.0032069119752022248, 0.002559065722356772, 8.673400064131314, 10.242789457582726] - Fitness: -0.08805381514802889
[0.00857625074649339, 0.4376637684012473, 0.1284494813342856, -0.7750208904710696, 0.2588058888896433, -0.022199415907137237, 0.10582646862632972, -0.0034413879605749223, 0.002691404373348032, 8.287606122954147, 10.321743700016087] - Fitness: -0.1406437333468291
[0.0085, 0.43239791475923217, 0.12978375623526112, -0.7430939844239294, 0.2590724122305312, -0.022198349439364683, 0.10638111558428809, -0.0034291987789242056, 0.005, 8.684562329270413, 10.429993115237991] - Fitness: -0.33787171486617695
[0.0126, 0.41, 0.13, -0.7604260192018639, 0.258357978015961, -0.01713854268424231, 0.11297408953480717, -0.00317871665773367, 0.002633610672239608, 8.162143398842353, 10.550976927055004] - Fitness: -1.118538131981772
[0.008501792145905147, 0.4445039816252452, 0.12868353106535968, -0.7329178765858442, 0.2579905651095487, -0.02232613291308806, 0.158192780756181, -0.0031965692363527926, 0.0025373087108166922, 8.688022591057486, 10.344407802647872] - Fitness: -0.11623606498321593
[0.008747416423997493, 0.4506145956422427, 0.1279659375739457, -0.765667626575044, 0.25959608000235707, -0.02237144269773062, 0.09308667288280817, -0.0031161328145761567, 0.002738324542684404, 8.760805473800337, 10.354878722901518] - Fitness: -0.11554812786731768
[0.008725336011614713, 0.45399702978543294, 0.12944513066088698, -0.7893107785068012, 0.26, -0.022915430397911503, 0.12171612847746395, -0.0033882159347018363, 0.002956073790482534, 8.638275507029944, 10.594277141837734] - Fitness: -0.11382942929756266
[0.009031178676221443, 0.44752272920266034, 0.13, -0.7536608251997499, 0.2584607101624367, -0.022793059322373077, 0.11528137004502892, -0.003352412852978356, 0.0025047680816775294, 8.257766719158429, 10.481222574833481] - Fitness: -0.11117783705353873
[0.008787878865690237, 0.4419906739120109, 0.12890273454841242, -0.7981362025820317, 0.259760608377227, -0.02290403421520993, 0.12903441747231872, -0.003397982096302655, 0.002560114552877805, 8.637091675958011, 10.502890839924088] - Fitness: -0.10987155662502775
[0.00853658869468843, 0.43661179407710365, 0.12869219338711832, -0.7494971966852464, 0.2587362505487442, -0.02233649323757821, 0.08847202651967792, -0.003368002203126892, 0.0027380967889436805, 8.26709094001976, 10.369656700397181] - Fitness: -0.10461131308727137
[0.008921643386207047, 0.459056954401069, 0.12774412928461754, -0.7868863644897146, 0.25807758639767875, -0.022555348146635058, 0.09934737466961432, -0.003028083937589338, 0.0026833062348755442, 8.192924055377997, 10.170086229489081] - Fitness: -0.10440744075795498
[0.008853747420377835, 0.4438588046628489, 0.12840293408561101, -0.7587215461102331, 0.25990391937379953, -0.022712864819251777, 0.0851431360789126, -0.0035286936485343814, 0.0027079599319700296, 7.558681068193969, 10.362981236059632] - Fitness: -0.09913728729282405
[0.008778884916962078, 0.43220069697108304, 0.1283014978444259, -0.7532525684081569, 0.2592289035249472, -0.02202108330121468, 0.05, -0.003133372901206027, 0.002540257070134891, 8.010988156403227, 10.432825758549567] - Fitness: -0.09619787055905393
[0.00854484326815995, 0.44115357186396353, 0.12869846501619714, -0.7461379605684525, 0.2584673764765475, -0.022518134330954297, 0.0793509346790196, -0.003199668612827255, 0.0025391855889016685, 8.543824226291397, 10.782423759639933] - Fitness: -0.09203434262827367
[0.008654066350591138, 0.4444561372031557, 0.1286109917237149, -0.7610341800794518, 0.25874880344468976, -0.022351212156406695, 0.08184878402264456, -0.0032426428827888073, 0.0028697402875536722, 8.225718958114784, 10.25438120401628] - Fitness: -0.09171132295348491
[0.008681386033289945, 0.44573279222899537, 0.12740702790447356, -0.7458351790267181, 0.2583020320885711, -0.022948620203374535, 0.10872813167061536, -0.003163767670143479, 0.0025, 8.299613874049983, 10.440795145361838] - Fitness: -0.08609381997641663
[0.008570073842247037, 0.4450563024244849, 0.12858810033021276, -0.7483819865242471, 0.25860658148845117, -0.02244398638288553, 0.08931852903892283, -0.00328895947504033, 0.003010448294500756, 8.136453007988607, 10.131912036823302] - Fitness: -0.08204728929880879
[0.008667256711708605, 0.45088756805933067, 0.12936861508100958, -0.8230823349330105, 0.25815872986884925, -0.0228139941918693, 0.10671889874688915, -0.0034856030105653835, 0.002644142327232781, 7.9728795545916675, 10.441673873502248] - Fitness: -0.0785715034351205
[0.008567791818277892, 0.44923586567363505, 0.12914166102203123, -0.768960450468609, 0.25875328163877953, -0.022589557453329936, 0.10765655504860971, -0.003205470526930512, 0.0025, 8.708223100137094, 10.635940799210788] - Fitness: -0.06686378200107237
[0.008648813382653553, 0.436838205649854, 0.12873745565325898, -0.7529342058504589, 0.25943457084392213, -0.022335133123966466, 0.08848675576866125, -0.003193053037610152, 0.0025299780647523285, 8.472950565696237, 10.335223748517345] - Fitness: -0.061935120157224674
[0.008692346832904901, 0.4477235692773874, 0.12758879426073558, -0.728722414222672, 0.2584108242417032, -0.022920043821591282, 0.12615044121750915, -0.003053105746882186, 0.002615433994038227, 7.991490754884876, 10.388630633772083] - Fitness: -0.058165739499059066
[0.0085, 0.45071786580261447, 0.1279712290399241, -0.7640684696018402, 0.25822792678240736, -0.022271195907481275, 0.06588643460418211, -0.0030647129722049726, 0.002575448030875831, 8.203807775449123, 10.565128443791687] - Fitness: -0.04958974730653507
[0.008536525252459114, 0.4473623064784188, 0.1287328895398989, -0.7974676904079281, 0.25843247418516707, -0.022372160880899945, 0.08216577402777142, -0.003132165486780666, 0.0029635959006800946, 8.212738890464983, 10.173833781249272] - Fitness: -0.04183324106546452
[0.00862874443080061, 0.43787802144449633, 0.12886666873981, -0.7493972725944228, 0.2589872346240178, -0.02236810212042384, 0.08671541781319902, -0.003, 0.0026832252117433633, 8.551541809344469, 10.345530150466315] - Fitness: -0.041757453679029374
[0.008644393028935157, 0.4424047051229506, 0.13, -0.7613406096872872, 0.25849185434665783, -0.022626692059417836, 0.07881528658873965, -0.0031864139600581657, 0.002900121066148755, 8.47046313620388, 10.357032466443737] - Fitness: -0.039352466970880205
[0.008564464108769583, 0.4545119475075875, 0.1290954490260553, -0.744271287973883, 0.25792938745161476, -0.02230547990906367, 0.06534927413093512, -0.0031980018779812157, 0.002554754986808011, 8.47079994057994, 10.272098657216441] - Fitness: -0.033629052748022144
[0.008871601113815892, 0.43970149684590654, 0.13, -0.7290638622103204, 0.25874283659069386, -0.02288196100873981, 0.10237530415363337, -0.0031254383768962077, 0.002790790411626419, 7.825069313830317, 10.4636445749203] - Fitness: -0.030726137804626744
[0.00856000815925779, 0.4477977077422292, 0.12896526417154525, -0.7467992308235676, 0.2591231847989274, -0.022683711395618013, 0.09670101032975216, -0.0031872310688906185, 0.0025075040811794124, 8.558006623737798, 10.28776220350564] - Fitness: 7.535717202645317e-05
[0.008510574571254082, 0.45155735007968223, 0.12866955476132452, -0.756807380029195, 0.26, -0.022587932973012682, 0.11063859786904418, -0.003225116577909137, 0.002553665341874457, 7.188047250599266, 10.20376529634558] - Fitness: 0.08034189609820186

Detailed Results for Each Genotype:
Genotype [0.00915790574801418, 0.4403287214369607, 0.1277085051294961, -0.7598164865438617, 0.22797660821689197, -0.022370740756439952, 0.07811524636888022, -0.003061506228391161, 0.002707534352633235, 7.804386818330928, 10.329239650955062]:
  Angle -10: cl=-0.5620700716972351, cd=0.19645893573760986, cm=-0.17809505760669708
  Angle -9: cl=-0.607157289981842, cd=0.17219753563404083, cm=-0.16925428807735443
  Angle -8: cl=-0.6388407945632935, cd=0.14339140057563782, cm=-0.1631043702363968
  Angle -7: cl=-0.6613532900810242, cd=0.11998051404953003, cm=-0.15210764110088348
  Angle -6: cl=-0.6526446342468262, cd=0.10704923421144485, cm=-0.13795937597751617
  Angle -5: cl=-0.5912752747535706, cd=0.09783288836479187, cm=-0.11109043657779694
  Angle -4: cl=-0.5112776160240173, cd=0.09000000357627869, cm=-0.08672009408473969
  Angle -3: cl=-0.427666574716568, cd=0.08234597742557526, cm=-0.06263257563114166
  Angle -2: cl=-0.3495461940765381, cd=0.08302651345729828, cm=-0.04555089771747589
  Angle -1: cl=-0.3027711808681488, cd=0.09014737606048584, cm=-0.026817873120307922
  Angle 0: cl=-0.25269320607185364, cd=0.09725101292133331, cm=-0.008471891283988953
  Angle 1: cl=-0.1802615374326706, cd=0.1039176806807518, cm=0.007382526993751526
  Angle 2: cl=-0.02606932260096073, cd=0.10120411962270737, cm=0.01656249165534973
  Angle 3: cl=0.09886651486158371, cd=0.10197041928768158, cm=0.023584172129631042
  Angle 4: cl=0.18032579123973846, cd=0.10316349565982819, cm=0.020488396286964417
  Angle 5: cl=0.26625940203666687, cd=0.10455126315355301, cm=0.016646698117256165
  Angle 6: cl=0.3550930917263031, cd=0.1064094826579094, cm=0.011487558484077454
  Angle 7: cl=0.4496362507343292, cd=0.10818926244974136, cm=0.00609724223613739
  Angle 8: cl=0.5682156085968018, cd=0.1068437397480011, cm=-0.011722281575202942
  Angle 9: cl=0.6795624494552612, cd=0.10469822585582733, cm=-0.03379185497760773
  Angle 10: cl=0.7928498387336731, cd=0.10232019424438477, cm=-0.05566705763339996
Genotype [0.00870031910184963, 0.4243687314583488, 0.12379441699857631, -0.7242886010120896, 0.2580558594349159, -0.022599112595006084, 0.13083146552062105, -0.003476134806385935, 0.002697527651412618, 8.624593977052966, 10.248759946706906]:
  Angle -10: cl=-0.5715639591217041, cd=0.21459130942821503, cm=-0.18031303584575653
  Angle -9: cl=-0.6052554249763489, cd=0.18387852609157562, cm=-0.17572195827960968
  Angle -8: cl=-0.6466761231422424, cd=0.15469984710216522, cm=-0.16716410219669342
  Angle -7: cl=-0.6799430847167969, cd=0.12479398399591446, cm=-0.1617863029241562
  Angle -6: cl=-0.6329353451728821, cd=0.11612267792224884, cm=-0.14983730018138885
  Angle -5: cl=-0.5018280744552612, cd=0.10112874954938889, cm=-0.13777385652065277
  Angle -4: cl=-0.3890359103679657, cd=0.09028403460979462, cm=-0.12309499084949493
  Angle -3: cl=-0.30541130900382996, cd=0.08266699314117432, cm=-0.09934379160404205
  Angle -2: cl=-0.22808963060379028, cd=0.07773689925670624, cm=-0.07344131171703339
  Angle -1: cl=-0.1718132495880127, cd=0.07536319643259048, cm=-0.04395623505115509
  Angle 0: cl=-0.1178971379995346, cd=0.08012682944536209, cm=-0.019721820950508118
  Angle 1: cl=-0.06350304186344147, cd=0.08885233849287033, cm=-0.0006907880306243896
  Angle 2: cl=0.02832808904349804, cd=0.09247854351997375, cm=0.01069699227809906
  Angle 3: cl=0.20307821035385132, cd=0.08721069246530533, cm=0.01485016942024231
  Angle 4: cl=0.28118783235549927, cd=0.09350256621837616, cm=0.021244287490844727
  Angle 5: cl=0.3624771237373352, cd=0.0985921248793602, cm=0.023494884371757507
  Angle 6: cl=0.45016908645629883, cd=0.10081363469362259, cm=0.0183880478143692
  Angle 7: cl=0.5455814003944397, cd=0.10228192806243896, cm=0.012456223368644714
  Angle 8: cl=0.6392223834991455, cd=0.10427965223789215, cm=0.00627841055393219
  Angle 9: cl=0.7300133109092712, cd=0.1079619899392128, cm=-0.002067059278488159
  Angle 10: cl=0.8242483735084534, cd=0.11235583573579788, cm=-0.011480316519737244
Genotype [0.008810666694378312, 0.43239848102046813, 0.12535139696415734, -0.7222897287554224, 0.26, -0.02260374985360398, 0.13919698312968615, -0.0034612908386279515, 0.0026995877598137894, 8.578674422149819, 10.137240737339063]:
  Angle -10: cl=-0.5661913752555847, cd=0.21580591797828674, cm=-0.18188662827014923
  Angle -9: cl=-0.5997841954231262, cd=0.18528974056243896, cm=-0.17732389271259308
  Angle -8: cl=-0.6385037302970886, cd=0.1546487659215927, cm=-0.16937433183193207
  Angle -7: cl=-0.6678175330162048, cd=0.12347838282585144, cm=-0.16449092328548431
  Angle -6: cl=-0.6237710118293762, cd=0.11433452367782593, cm=-0.15193809568881989
  Angle -5: cl=-0.4981517791748047, cd=0.10054538398981094, cm=-0.1392843872308731
  Angle -4: cl=-0.38968124985694885, cd=0.09163431078195572, cm=-0.12486456334590912
  Angle -3: cl=-0.3049263060092926, cd=0.08393015712499619, cm=-0.101639524102211
  Angle -2: cl=-0.23226764798164368, cd=0.07885321229696274, cm=-0.0752570778131485
  Angle -1: cl=-0.17508676648139954, cd=0.07643457502126694, cm=-0.045462653040885925
  Angle 0: cl=-0.11942781507968903, cd=0.07931888848543167, cm=-0.01975862681865692
  Angle 1: cl=-0.060059137642383575, cd=0.08787398785352707, cm=-0.0021359622478485107
  Angle 2: cl=0.029821373522281647, cd=0.09174185991287231, cm=0.009263813495635986
  Angle 3: cl=0.2172228991985321, cd=0.08520150184631348, cm=0.012765184044837952
  Angle 4: cl=0.30114397406578064, cd=0.09116611629724503, cm=0.018423452973365784
  Angle 5: cl=0.3857605457305908, cd=0.0974147617816925, cm=0.02319115400314331
  Angle 6: cl=0.47799551486968994, cd=0.09967542439699173, cm=0.018528178334236145
  Angle 7: cl=0.5746511816978455, cd=0.10114731639623642, cm=0.012508302927017212
  Angle 8: cl=0.6670768857002258, cd=0.10434653609991074, cm=0.005859002470970154
  Angle 9: cl=0.7576943039894104, cd=0.10796911269426346, cm=-0.002535015344619751
  Angle 10: cl=0.8533388376235962, cd=0.11261992901563644, cm=-0.01206885278224945
Genotype [0.008708829287398618, 0.44775312378797993, 0.1289881701029986, -0.7698159381787949, 0.2584082088242798, -0.022413218464853495, 0.11679530474537718, -0.003618282956690221, 0.0025, 7.968547948978608, 10.423396736010579]:
  Angle -10: cl=-0.5595794320106506, cd=0.21575096249580383, cm=-0.18383990228176117
  Angle -9: cl=-0.5935747027397156, cd=0.185161754488945, cm=-0.17920522391796112
  Angle -8: cl=-0.6229649186134338, cd=0.15157966315746307, cm=-0.17390702664852142
  Angle -7: cl=-0.6567808985710144, cd=0.12097226828336716, cm=-0.16695640981197357
  Angle -6: cl=-0.6117230653762817, cd=0.11162960529327393, cm=-0.15377475321292877
  Angle -5: cl=-0.4969426989555359, cd=0.10031814873218536, cm=-0.14042584598064423
  Angle -4: cl=-0.39597639441490173, cd=0.09340410679578781, cm=-0.12510307133197784
  Angle -3: cl=-0.30859610438346863, cd=0.0862869843840599, cm=-0.10393460094928741
  Angle -2: cl=-0.24358174204826355, cd=0.08096937090158463, cm=-0.07678179442882538
  Angle -1: cl=-0.1857297122478485, cd=0.07854463905096054, cm=-0.046689972281455994
  Angle 0: cl=-0.12330451607704163, cd=0.0792354866862297, cm=-0.02051214873790741
  Angle 1: cl=-0.05967424809932709, cd=0.08738705515861511, cm=-0.0036693960428237915
  Angle 2: cl=0.026333563029766083, cd=0.09175817668437958, cm=0.007442280650138855
  Angle 3: cl=0.23622114956378937, cd=0.08311252295970917, cm=0.00945483148097992
  Angle 4: cl=0.32362890243530273, cd=0.08880223333835602, cm=0.015007257461547852
  Angle 5: cl=0.41807839274406433, cd=0.09497782588005066, cm=0.018559113144874573
  Angle 6: cl=0.5159488916397095, cd=0.09852118790149689, cm=0.01751728355884552
  Angle 7: cl=0.6134539842605591, cd=0.10105764120817184, cm=0.011607632040977478
  Angle 8: cl=0.7054989337921143, cd=0.104451023042202, cm=0.004567325115203857
  Angle 9: cl=0.7965695261955261, cd=0.1081543043255806, cm=-0.0038786083459854126
  Angle 10: cl=0.8942406177520752, cd=0.11318597942590714, cm=-0.013770267367362976
Genotype [0.008789960068091253, 0.4446014852626877, 0.1287051292619771, -0.7601692512377644, 0.25996145836511725, -0.015, 0.0815862450963714, -0.003499286426604682, 0.0027085642895719126, 7.225358166944983, 10.360704554917866]:
  Angle -10: cl=-0.5510395765304565, cd=0.20518703758716583, cm=-0.17828403413295746
  Angle -9: cl=-0.5922295451164246, cd=0.1783011555671692, cm=-0.17152349650859833
  Angle -8: cl=-0.6306384801864624, cd=0.151321142911911, cm=-0.1636616438627243
  Angle -7: cl=-0.6609084010124207, cd=0.12266415357589722, cm=-0.15807200968265533
  Angle -6: cl=-0.6185364723205566, cd=0.10883791744709015, cm=-0.14736254513263702
  Angle -5: cl=-0.5063809752464294, cd=0.09668069332838058, cm=-0.13063286244869232
  Angle -4: cl=-0.42585664987564087, cd=0.08899902552366257, cm=-0.10703788697719574
  Angle -3: cl=-0.34042292833328247, cd=0.08149649947881699, cm=-0.08330215513706207
  Angle -2: cl=-0.2685217261314392, cd=0.07707027345895767, cm=-0.05647660791873932
  Angle -1: cl=-0.2239360213279724, cd=0.08134347945451736, cm=-0.036344513297080994
  Angle 0: cl=-0.17419782280921936, cd=0.08830880373716354, cm=-0.018079355359077454
  Angle 1: cl=-0.11144162714481354, cd=0.0962296798825264, cm=-0.0003090798854827881
  Angle 2: cl=0.007808184251189232, cd=0.09766831248998642, cm=0.011073604226112366
  Angle 3: cl=0.14223410189151764, cd=0.09806284308433533, cm=0.019131481647491455
  Angle 4: cl=0.21831129491329193, cd=0.10195079445838928, cm=0.020939886569976807
  Angle 5: cl=0.30338364839553833, cd=0.10400989651679993, cm=0.01643650233745575
  Angle 6: cl=0.39866533875465393, cd=0.10556798428297043, cm=0.010972157120704651
  Angle 7: cl=0.4941593408584595, cd=0.10691611468791962, cm=0.005266249179840088
  Angle 8: cl=0.6003099083900452, cd=0.10699713230133057, cm=-0.005109623074531555
  Angle 9: cl=0.7224757075309753, cd=0.1046505719423294, cm=-0.026879295706748962
  Angle 10: cl=0.8393160700798035, cd=0.10384350270032883, cm=-0.05085931718349457
Genotype [0.008581851827107658, 0.44396639675200783, 0.12870265061389818, -0.7455999957331164, 0.2585450089934166, -0.022484990492236137, 0.08674860867685721, -0.0031795644589491124, 0.0029975075566640638, 8.48939255758521, 10.797213187561265]:
  Angle -10: cl=-0.554695725440979, cd=0.220273956656456, cm=-0.18453966081142426
  Angle -9: cl=-0.5883973240852356, cd=0.18973368406295776, cm=-0.17993198335170746
  Angle -8: cl=-0.6154512763023376, cd=0.1554412841796875, cm=-0.17564313113689423
  Angle -7: cl=-0.6446574330329895, cd=0.1250176727771759, cm=-0.1673765629529953
  Angle -6: cl=-0.6178340911865234, cd=0.1127946674823761, cm=-0.1544083207845688
  Angle -5: cl=-0.5037263035774231, cd=0.10106172412633896, cm=-0.14174388349056244
  Angle -4: cl=-0.40498587489128113, cd=0.09442305564880371, cm=-0.1269112378358841
  Angle -3: cl=-0.31201881170272827, cd=0.08744708448648453, cm=-0.10806502401828766
  Angle -2: cl=-0.24421560764312744, cd=0.0812266618013382, cm=-0.08196921646595001
  Angle -1: cl=-0.18520605564117432, cd=0.07856659591197968, cm=-0.051588937640190125
  Angle 0: cl=-0.12369303405284882, cd=0.07915328443050385, cm=-0.024441316723823547
  Angle 1: cl=-0.05952264368534088, cd=0.08508752286434174, cm=-0.0056061893701553345
  Angle 2: cl=0.016583900898694992, cd=0.0908660739660263, cm=0.006442472338676453
  Angle 3: cl=0.24095171689987183, cd=0.08048772066831589, cm=0.008356943726539612
  Angle 4: cl=0.327847957611084, cd=0.08615554124116898, cm=0.013996273279190063
  Angle 5: cl=0.4177275002002716, cd=0.09245812147855759, cm=0.018215954303741455
  Angle 6: cl=0.5149144530296326, cd=0.09703991562128067, cm=0.019793808460235596
  Angle 7: cl=0.611343264579773, cd=0.1005052700638771, cm=0.013758659362792969
  Angle 8: cl=0.7033201456069946, cd=0.10382551699876785, cm=0.006616845726966858
  Angle 9: cl=0.7940755486488342, cd=0.10748954117298126, cm=-0.001814812421798706
  Angle 10: cl=0.8916629552841187, cd=0.11246081441640854, cm=-0.011451587080955505
Genotype [0.008566116433452838, 0.4455726244602377, 0.12745997842187964, -0.8286174333313819, 0.25915813370807517, -0.022328093164083164, 0.10489743775341628, -0.0034227824769148376, 0.0026900255402879333, 8.46770467906863, 10.29117467231346]:
  Angle -10: cl=-0.5614854693412781, cd=0.21802379190921783, cm=-0.18417607247829437
  Angle -9: cl=-0.5951929688453674, cd=0.18748529255390167, cm=-0.17957328259944916
  Angle -8: cl=-0.6241530776023865, cd=0.15395691990852356, cm=-0.1747518926858902
