Experiment: Combination_Experiment_377
Generation: 20
Timestamp: 20231226_041549

Genotypes and their Fitness Values:
[0.008551572392882208, 0.439238594134805, 0.1290587504105132, -0.8340412473510961, 0.2587570759851287, -0.022746627451694253, 0.06190818680524132, -0.0030805852733511337, 0.00274193582209655, 7.888548991028939, 10.192692105776674] - Fitness: 0.05884890901072614
[0.008677830998478657, 0.45762778813194693, 0.12918711433600003, -0.8335164721619439, 0.25941222922135004, -0.02255743409710464, 0.15092033235170185, -0.0030907799770106582, 0.0025, 7.456278475659449, 10.168396640445168] - Fitness: 0.05692764234010593
[0.008742160612404997, 0.45458048455875855, 0.1294981758714457, -0.8412705749835496, 0.258699823981292, -0.022826851802729354, 0.15387692531877398, -0.003, 0.0025, 7.806756698884135, 10.257602235686955] - Fitness: 0.04540178433288387
[0.00858251010367941, 0.44291536909404594, 0.12906017659293256, -0.8657337118311418, 0.2595121934687743, -0.022884367420964447, 0.06014042659170415, -0.0031928708775984774, 0.003089819303907289, 7.73954166033055, 10.138147396886822] - Fitness: 0.04395962537842912
[0.0085, 0.45236215605655133, 0.12950985997891565, -0.8281803310924104, 0.25868382799972484, -0.02289985769207001, 0.15067832646024962, -0.0030357563782979014, 0.0029266727163154115, 7.820863279445209, 10.295549924595084] - Fitness: 0.041950285713268094
[0.008534751181140669, 0.4584108559383454, 0.13, -0.8053516981815443, 0.25916931988077285, -0.022926955699720083, 0.12577400212600764, -0.003137683328069297, 0.0028733234329389244, 8.257714010524097, 10.315123594362346] - Fitness: 0.04129501538440875
[0.008638693197719604, 0.44976390874890443, 0.12952019355245253, -0.8591547775271876, 0.2595801547811547, -0.022982305184934514, 0.12222061646730972, -0.003138571812474932, 0.0028799087664550887, 7.951687604822275, 10.284503368099408] - Fitness: 0.036661030348556556
[0.008556934832873937, 0.4444252739033913, 0.12966150683182817, -0.8277982677410776, 0.258870585733168, -0.022912818163586625, 0.13583448941183354, -0.003051342979274202, 0.002884850689672894, 7.8591190699754865, 10.335977810274478] - Fitness: 0.035924674052830216
[0.008665446596233249, 0.4446831305259968, 0.12889304930071435, -0.8295719121856617, 0.2594648555368895, -0.023, 0.07816433490263512, -0.0031323472053400676, 0.002990223051411238, 7.850108325836913, 10.136535246661676] - Fitness: 0.03580444459410957
[0.00864444280448576, 0.44946544799042376, 0.12834346228983867, -0.8412170528896276, 0.2594022660538739, -0.023, 0.05962089521367667, -0.003144091289052434, 0.003050364322130908, 7.817029929786018, 10.107650119942328] - Fitness: 0.03264891521463588
[0.008724487371002171, 0.4583450018993889, 0.12901468584397613, -0.8342008295767139, 0.25915165866484735, -0.022865002049076096, 0.12056089310306385, -0.0031492699155518523, 0.002779433437658652, 7.92877350176939, 10.0] - Fitness: 0.026443222396500335
[0.008530428361877979, 0.4521893912118175, 0.12879237757431336, -0.8547579966519497, 0.25976954075443603, -0.02280638928176293, 0.14250730547443052, -0.003271975184429975, 0.0029769744469207303, 7.486536025464184, 10.118545595192595] - Fitness: 0.01848921310720319
[0.008669154122455298, 0.42770584869357675, 0.12956121638651483, -0.8570674442331966, 0.25929670251824294, -0.023, 0.08483957290494146, -0.003065372610327139, 0.0032076240961495784, 7.593122707120367, 10.161647886136924] - Fitness: 0.018341155974104864
[0.008659999601102841, 0.4472132024730878, 0.12965945965306153, -0.8318187776783963, 0.2594399296849835, -0.022892357166228783, 0.14625355510517318, -0.003161173489510564, 0.0028154937788444027, 7.908264659947191, 10.29036033679603] - Fitness: 0.011558154904263013
[0.00859187842322667, 0.46, 0.12873371309025053, -0.8353809525142332, 0.2589499742332956, -0.022594783389516787, 0.07892089896187338, -0.0030712103715941864, 0.0030429927572919414, 7.985256378216702, 10.131615855028452] - Fitness: 0.01051116165485891
[0.008515443659685616, 0.4350293361355231, 0.12879849138059984, -0.8315511758254747, 0.2588284566492756, -0.022903577894263505, 0.15054089723022215, -0.0030171863854475734, 0.002927409444231725, 7.820879803470659, 10.151213703289189] - Fitness: 0.009827615430280935
[0.008681930257639168, 0.4468126186403638, 0.1288525298800123, -0.8335859843755488, 0.25944051861307044, -0.023, 0.09366439783757571, -0.003143775017086199, 0.0030746557706486082, 7.864934649571569, 10.160404413437991] - Fitness: 0.009257303873101771
[0.008550248982571194, 0.4531296099758608, 0.12868204569194272, -0.8378875889270965, 0.2586750535678817, -0.022779111068263715, 0.10076889629716962, -0.00303421308294507, 0.003008815561882251, 7.827653385239041, 10.342766860287167] - Fitness: 0.007992662350217158
[0.008673038831388346, 0.4218024778641283, 0.13, -0.8294102615712339, 0.2590941338607326, -0.022480168203788328, 0.08634295479862979, -0.0030129354128775247, 0.002957431213392323, 7.60569302128947, 10.136793150122758] - Fitness: 0.007311449596876531
[0.008583162812753703, 0.43427972709665236, 0.12898989160579458, -0.9, 0.25927288736083104, -0.022939823511099695, 0.12865615973184663, -0.0031550156518655344, 0.002843529045823085, 7.794552686549026, 10.242616708980677] - Fitness: 0.006214946686082014
[0.008675453049043642, 0.46, 0.12893831806938783, -0.8517232959407863, 0.26, -0.022376388169113304, 0.09443926094754349, -0.0031550638462846527, 0.002887256624570524, 7.849302283410683, 10.148086049984157] - Fitness: 0.00580497616817147
[0.008644192694332989, 0.42674818357558947, 0.12972678054174724, -0.8500131178065417, 0.2593175526113609, -0.022498737324913268, 0.08741434992570485, -0.003050763721702193, 0.0031482599009428638, 7.467695248674149, 10.1431891828292] - Fitness: 0.0029484464876067696
[0.008545527871122552, 0.4309426606024832, 0.12906060061300606, -0.7628499116533358, 0.25886087666516155, -0.022925393964455813, 0.11509689648527753, -0.0030315491861191003, 0.0028712185512864727, 8.236771227961615, 10.196081197271031] - Fitness: -0.0002134120169323556
[0.008576639724402743, 0.42287992805449387, 0.12880010431738328, -0.8349023228772573, 0.25884274440850746, -0.02280873136711188, 0.07854305617670462, -0.0030246448149094467, 0.002985936385887974, 7.807209031855973, 10.13609563342645] - Fitness: -0.002198596137035341
[0.008554731137675511, 0.4327240167384574, 0.1290761347052269, -0.8591158549293395, 0.258868588175653, -0.02293861874463343, 0.0955067116386153, -0.003028235945774845, 0.0030232311319459393, 8.376651096582405, 10.210262272072107] - Fitness: -0.0030683669958965695
[0.008523202054050152, 0.4309259783850172, 0.12964265960840488, -0.9, 0.25879839899349383, -0.022670258419436914, 0.13399387836042728, -0.003007205340809829, 0.0029623338515922344, 7.853125092935069, 10.382011506335136] - Fitness: -0.004083449714664632
[0.008623039916277997, 0.442502697572258, 0.12970333261474715, -0.8451498558412263, 0.2588628634820474, -0.022908584700163808, 0.1517461739306083, -0.003167299904777841, 0.0030137715063875744, 7.828750029695678, 10.187410753108296] - Fitness: -0.006999157833326276
[0.008676183081793461, 0.44767606158973194, 0.12892008948359845, -0.83226838068477, 0.25943433657327136, -0.023, 0.11248873729502862, -0.0031460067464173466, 0.0030667594183434884, 8.045882558284948, 10.157596772298223] - Fitness: -0.007541922485645451
[0.008610547401360214, 0.44553589439424485, 0.12960352371395026, -0.8455949503624116, 0.258624354714211, -0.022896192337596284, 0.16151456653366322, -0.0031837617571612038, 0.002891022123886338, 7.76534929796267, 10.255422130389835] - Fitness: -0.010571869094167269
[0.008584636405498445, 0.4522333669047697, 0.12801773229042915, -0.8231948643264303, 0.2595063461547645, -0.022836135624146485, 0.0741584675698477, -0.0032702523798890646, 0.0030324617769527384, 7.75167176037433, 10.170192170026668] - Fitness: -0.012349676225716928
[0.00856300532982257, 0.4400464570505966, 0.12850789108428137, -0.8300418921287349, 0.2587664904204573, -0.02276543071300883, 0.1468959212181054, -0.0030446659094169287, 0.00291945124578424, 7.854450282077832, 10.116997317878058] - Fitness: -0.013111791348210583
[0.008601130812662684, 0.43147908759925846, 0.12959750535627076, -0.8422352135747078, 0.258556737618146, -0.022630076167817946, 0.13564811929451004, -0.0030001521580863898, 0.0031031713242946875, 7.7707499407439, 10.099807685790028] - Fitness: -0.01314278546598613
[0.00859187842322667, 0.4365738698554169, 0.12873371309025053, -0.8353809525142332, 0.2589499742332956, -0.022594783389516787, 0.07892089896187338, -0.0030712103715941864, 0.0030429927572919414, 7.985256378216702, 10.131615855028452] - Fitness: -0.013631365968845786
[0.008550737128596296, 0.4529442288714067, 0.1288185131813975, -0.79160709629807, 0.2596898762125771, -0.022819463922066765, 0.151694861512927, -0.00325031699296647, 0.003039562330907777, 7.703046400607638, 10.173524638243768] - Fitness: -0.016637172541262932
[0.008580797569548234, 0.44077243902164676, 0.12870733199988182, -0.8346666582795589, 0.2589957225023733, -0.022789592093764355, 0.05, -0.0032614166523976095, 0.0031876797979685668, 7.946748086815981, 10.126018933390759] - Fitness: -0.0215554743036662
[0.00853381195776249, 0.43518893581177487, 0.12879484512173772, -0.8327834798093743, 0.2596529108924396, -0.02271330060386184, 0.15049723139585075, -0.003166635966194196, 0.0029413981135955384, 7.848391101891242, 10.154112408090615] - Fitness: -0.022669164700328374
[0.008517183513771663, 0.4239830480040658, 0.12915042792346118, -0.8819021549123628, 0.2592181852451411, -0.022356709650406377, 0.08863391127757936, -0.003073444149238048, 0.0030110931524289612, 7.931153605525876, 10.135956631925362] - Fitness: -0.024660619939622964
[0.008527048518562005, 0.42245748629356555, 0.12933430802023438, -0.8716696147134584, 0.25918112914985697, -0.022899987662139163, 0.11329069457312455, -0.003175988863195393, 0.0028784253320389957, 8.273416719484572, 10.214356932464753] - Fitness: -0.025593891446894623
[0.00861979503046443, 0.46, 0.12979844169914484, -0.8471768170121207, 0.25903603188782875, -0.02251211540903582, 0.1356018391284361, -0.0031589419421553136, 0.0031468004491489805, 7.772751717141456, 10.25612501905762] - Fitness: -0.027060068765165698
[0.008582841732723211, 0.43008381959476677, 0.12883020254319935, -0.8349626656845115, 0.25904172561624506, -0.022791623669737755, 0.06370708691881495, -0.0031533311112526075, 0.0031839247697229905, 7.958183667641567, 10.140963789042535] - Fitness: -0.02766050292335128
[0.008574504901882784, 0.44352220442804524, 0.128403649375503, -0.8268778227610744, 0.2586930472248047, -0.022883110740095268, 0.05344646364744185, -0.003355768425364745, 0.0030228629414225908, 7.832226641542048, 10.181653097711365] - Fitness: -0.029621406155481426
[0.008581740355431354, 0.42120234136677936, 0.1291016439670376, -0.8412423682397526, 0.2589379332509134, -0.02258393836011527, 0.0876622166482883, -0.0030153333595814456, 0.0031294441482366303, 7.781863564506582, 10.141151416371299] - Fitness: -0.0315313673076185
[0.008553425194792071, 0.4550637776934531, 0.1288689217150324, -0.823370375910262, 0.2589488515852451, -0.02284117523228059, 0.07641880456736774, -0.0033677586868591453, 0.0030435439239645946, 7.7399195751979954, 10.383335358678208] - Fitness: -0.03158700471219042
[0.008639026918273077, 0.41846117911770103, 0.12780470152250165, -0.8371096012240458, 0.25878910190198456, -0.0227892377120868, 0.07017064076002319, -0.003, 0.002754425593665074, 7.821856719080351, 10.145962274966323] - Fitness: -0.03386572502978923
[0.008634463318725671, 0.439067735868621, 0.12787359897899422, -0.8444055226305416, 0.2594976574571435, -0.02276060072348429, 0.06425026220865988, -0.0031976721296286016, 0.003057668924024144, 7.819804071619029, 10.169326228352588] - Fitness: -0.03546753839771876
[0.00864461056936521, 0.41519310123748826, 0.12862125704874897, -0.8403746455296658, 0.2586441182351913, -0.0228170195941197, 0.0576468329562862, -0.0030366984058512285, 0.003094257044439514, 7.8117216527669004, 10.0] - Fitness: -0.037481615441003424
[0.008702626604317143, 0.455988405201997, 0.1289428783679729, -0.9, 0.2599022424648634, -0.022580872771729613, 0.16381478786737153, -0.003196730746785776, 0.0029832658230657828, 7.861851015183621, 10.061246131592975] - Fitness: -0.03759561244556864
[0.008591931330992307, 0.4198825726169101, 0.1280797376303993, -0.8354336908957593, 0.25894078032741646, -0.022560998894552237, 0.06254617196609277, -0.0031353275985084093, 0.002780284008200452, 7.612710186161128, 10.147719660883887] - Fitness: -0.03797473194398665
[0.008579504203735978, 0.44334118801870265, 0.12770249801297404, -0.8600011814763678, 0.25944412958868285, -0.022810411218611826, 0.08682029707172015, -0.0032268589611385164, 0.0030464970469759683, 7.83246690391389, 10.17104388619651] - Fitness: -0.039559535335498074
[0.00877940782885541, 0.4169076172310721, 0.1291175752549677, -0.8269904761248672, 0.25897657359575316, -0.02291724036068869, 0.09076927358314413, -0.003109822104870881, 0.002837969809613318, 7.676774171373922, 10.192458877186144] - Fitness: -0.04327230191726973

Detailed Results for Each Genotype:
Genotype [0.008551572392882208, 0.439238594134805, 0.1290587504105132, -0.8340412473510961, 0.2587570759851287, -0.022746627451694253, 0.06190818680524132, -0.0030805852733511337, 0.00274193582209655, 7.888548991028939, 10.192692105776674]:
  Angle -10: cl=-0.5584174394607544, cd=0.22796034812927246, cm=-0.1864738017320633
  Angle -9: cl=-0.5931089520454407, cd=0.19728992879390717, cm=-0.18065990507602692
  Angle -8: cl=-0.6184176206588745, cd=0.1630236655473709, cm=-0.1777663677930832
  Angle -7: cl=-0.6460363268852234, cd=0.12973956763744354, cm=-0.17074181139469147
  Angle -6: cl=-0.6169690489768982, cd=0.11587843298912048, cm=-0.15804974734783173
  Angle -5: cl=-0.5018829107284546, cd=0.10385376214981079, cm=-0.14561618864536285
  Angle -4: cl=-0.3950853943824768, cd=0.09589646011590958, cm=-0.1330370455980301
  Angle -3: cl=-0.29118314385414124, cd=0.08921277523040771, cm=-0.11826129257678986
  Angle -2: cl=-0.2196001559495926, cd=0.08310580253601074, cm=-0.0935639888048172
  Angle -1: cl=-0.1609276384115219, cd=0.07985134422779083, cm=-0.06393267214298248
  Angle 0: cl=-0.09933556616306305, cd=0.07998477667570114, cm=-0.03451351821422577
  Angle 1: cl=-0.030645320191979408, cd=0.08059236407279968, cm=-0.010028794407844543
  Angle 2: cl=0.05041946470737457, cd=0.08510897308588028, cm=0.002011328935623169
  Angle 3: cl=0.2823058068752289, cd=0.07370799034833908, cm=0.004293516278266907
  Angle 4: cl=0.36893975734710693, cd=0.07933566719293594, cm=0.009845450520515442
  Angle 5: cl=0.4623282253742218, cd=0.08616258203983307, cm=0.01363380253314972
  Angle 6: cl=0.5542919635772705, cd=0.09353514760732651, cm=0.016356706619262695
  Angle 7: cl=0.6479915976524353, cd=0.09955841302871704, cm=0.01659397780895233
  Angle 8: cl=0.7396026253700256, cd=0.10265728086233139, cm=0.009402260184288025
  Angle 9: cl=0.830673336982727, cd=0.10630106180906296, cm=0.0010866671800613403
  Angle 10: cl=0.9294438362121582, cd=0.11083972454071045, cm=-0.0071365684270858765
Genotype [0.008677830998478657, 0.45762778813194693, 0.12918711433600003, -0.8335164721619439, 0.25941222922135004, -0.02255743409710464, 0.15092033235170185, -0.0030907799770106582, 0.0025, 7.456278475659449, 10.168396640445168]:
  Angle -10: cl=-0.5629732012748718, cd=0.22777028381824493, cm=-0.18766377866268158
  Angle -9: cl=-0.5945999622344971, cd=0.19553036987781525, cm=-0.18376897275447845
  Angle -8: cl=-0.6172520518302917, cd=0.16018716990947723, cm=-0.18162058293819427
  Angle -7: cl=-0.655263364315033, cd=0.12645353376865387, cm=-0.17458130419254303
  Angle -6: cl=-0.6143372058868408, cd=0.1137198731303215, cm=-0.1599704474210739
  Angle -5: cl=-0.509986400604248, cd=0.1033075824379921, cm=-0.14735151827335358
  Angle -4: cl=-0.41338083148002625, cd=0.0978715568780899, cm=-0.13431118428707123
  Angle -3: cl=-0.30974921584129333, cd=0.09133096784353256, cm=-0.11967684328556061
  Angle -2: cl=-0.23938000202178955, cd=0.08553897589445114, cm=-0.0942264050245285
  Angle -1: cl=-0.1799549162387848, cd=0.08129486441612244, cm=-0.06501533091068268
  Angle 0: cl=-0.11399157345294952, cd=0.08114158362150192, cm=-0.036951497197151184
  Angle 1: cl=-0.03732345998287201, cd=0.08138881623744965, cm=-0.014042511582374573
  Angle 2: cl=0.045503489673137665, cd=0.08416421711444855, cm=-0.0005568116903305054
  Angle 3: cl=0.28662654757499695, cd=0.07132472097873688, cm=0.0010443925857543945
  Angle 4: cl=0.3790834844112396, cd=0.07685389369726181, cm=0.006153792142868042
  Angle 5: cl=0.477443665266037, cd=0.08444905281066895, cm=0.009610414505004883
  Angle 6: cl=0.5727455019950867, cd=0.0912722796201706, cm=0.011613979935646057
  Angle 7: cl=0.6639329791069031, cd=0.09784862399101257, cm=0.013711392879486084
  Angle 8: cl=0.754866361618042, cd=0.10221138596534729, cm=0.009571358561515808
  Angle 9: cl=0.8488344550132751, cd=0.10620345175266266, cm=0.0013190209865570068
  Angle 10: cl=0.9484179615974426, cd=0.11078135669231415, cm=-0.006696954369544983
Genotype [0.008742160612404997, 0.45458048455875855, 0.1294981758714457, -0.8412705749835496, 0.258699823981292, -0.022826851802729354, 0.15387692531877398, -0.003, 0.0025, 7.806756698884135, 10.257602235686955]:
  Angle -10: cl=-0.5606840252876282, cd=0.22717969119548798, cm=-0.18750692903995514
  Angle -9: cl=-0.5916206240653992, cd=0.1949819177389145, cm=-0.18357659876346588
  Angle -8: cl=-0.6142304539680481, cd=0.1596301645040512, cm=-0.1814168244600296
  Angle -7: cl=-0.6503387689590454, cd=0.1265593320131302, cm=-0.17369572818279266
  Angle -6: cl=-0.6151639223098755, cd=0.11356736719608307, cm=-0.15915049612522125
  Angle -5: cl=-0.5113846659660339, cd=0.10336147248744965, cm=-0.14654265344142914
  Angle -4: cl=-0.4149036407470703, cd=0.09791868180036545, cm=-0.13346071541309357
  Angle -3: cl=-0.31109240651130676, cd=0.0913071408867836, cm=-0.11871926486492157
  Angle -2: cl=-0.24123665690422058, cd=0.0854484811425209, cm=-0.0930669754743576
  Angle -1: cl=-0.18199533224105835, cd=0.08113968372344971, cm=-0.06390176713466644
  Angle 0: cl=-0.1156512200832367, cd=0.08106581121683121, cm=-0.035851821303367615
  Angle 1: cl=-0.03974123299121857, cd=0.08149702101945877, cm=-0.01289696991443634
  Angle 2: cl=0.043414585292339325, cd=0.08475933223962784, cm=0.00022280216217041016
  Angle 3: cl=0.2843571901321411, cd=0.07205120474100113, cm=0.0018352270126342773
  Angle 4: cl=0.3761657476425171, cd=0.07759121805429459, cm=0.007034286856651306
  Angle 5: cl=0.4740699529647827, cd=0.08503353595733643, cm=0.010472282767295837
  Angle 6: cl=0.5692038536071777, cd=0.09180016815662384, cm=0.012470349669456482
  Angle 7: cl=0.660906195640564, cd=0.09837023913860321, cm=0.014516502618789673
  Angle 8: cl=0.7520977854728699, cd=0.1023760586977005, cm=0.009322196245193481
  Angle 9: cl=0.8459187150001526, cd=0.10638288408517838, cm=0.00102919340133667
  Angle 10: cl=0.9451056122779846, cd=0.1109505444765091, cm=-0.0070325881242752075
Genotype [0.00858251010367941, 0.44291536909404594, 0.12906017659293256, -0.8657337118311418, 0.2595121934687743, -0.022884367420964447, 0.06014042659170415, -0.0031928708775984774, 0.003089819303907289, 7.73954166033055, 10.138147396886822]:
  Angle -10: cl=-0.5564947128295898, cd=0.22608023881912231, cm=-0.18590863049030304
  Angle -9: cl=-0.5901404619216919, cd=0.1955084502696991, cm=-0.18071727454662323
  Angle -8: cl=-0.6140137314796448, cd=0.16072385013103485, cm=-0.1782093495130539
  Angle -7: cl=-0.6443074345588684, cd=0.12765873968601227, cm=-0.17061562836170197
  Angle -6: cl=-0.6123677492141724, cd=0.11482232809066772, cm=-0.15797381103038788
  Angle -5: cl=-0.49814462661743164, cd=0.10289493203163147, cm=-0.14562086760997772
  Angle -4: cl=-0.3952848017215729, cd=0.09575531631708145, cm=-0.13239608705043793
  Angle -3: cl=-0.29159730672836304, cd=0.08903318643569946, cm=-0.11751772463321686
  Angle -2: cl=-0.22528699040412903, cd=0.08297322690486908, cm=-0.09118132293224335
  Angle -1: cl=-0.1657310575246811, cd=0.07991084456443787, cm=-0.06117783486843109
  Angle 0: cl=-0.10324549674987793, cd=0.08023425191640854, cm=-0.03265060484409332
  Angle 1: cl=-0.03573356568813324, cd=0.0808119922876358, cm=-0.008435830473899841
  Angle 2: cl=0.045084722340106964, cd=0.0863761380314827, cm=0.002533629536628723
  Angle 3: cl=0.27679693698883057, cd=0.07495025545358658, cm=0.004396513104438782
  Angle 4: cl=0.36337798833847046, cd=0.0806008130311966, cm=0.009900033473968506
  Angle 5: cl=0.45724570751190186, cd=0.08711791783571243, cm=0.013638556003570557
  Angle 6: cl=0.5517353415489197, cd=0.09437064081430435, cm=0.016244247555732727
  Angle 7: cl=0.6453237533569336, cd=0.0999966561794281, cm=0.015548944473266602
  Angle 8: cl=0.7371113896369934, cd=0.10311786085367203, cm=0.008334234356880188
  Angle 9: cl=0.8285686373710632, cd=0.1068115234375, cm=-1.6242265701293945e-06
  Angle 10: cl=0.9273819923400879, cd=0.11140227317810059, cm=-0.008347317576408386
Genotype [0.0085, 0.45236215605655133, 0.12950985997891565, -0.8281803310924104, 0.25868382799972484, -0.02289985769207001, 0.15067832646024962, -0.0030357563782979014, 0.0029266727163154115, 7.820863279445209, 10.295549924595084]:
  Angle -10: cl=-0.5577391386032104, cd=0.22710393369197845, cm=-0.18699951469898224
  Angle -9: cl=-0.5889946222305298, cd=0.19529017806053162, cm=-0.1829829066991806
  Angle -8: cl=-0.6113155484199524, cd=0.1599217802286148, cm=-0.18088044226169586
  Angle -7: cl=-0.6463114619255066, cd=0.12700413167476654, cm=-0.1732969731092453
  Angle -6: cl=-0.6134750247001648, cd=0.1137310117483139, cm=-0.15914197266101837
  Angle -5: cl=-0.507499098777771, cd=0.10308625549077988, cm=-0.1467641443014145
  Angle -4: cl=-0.411371111869812, cd=0.09754108637571335, cm=-0.13355232775211334
  Angle -3: cl=-0.30735287070274353, cd=0.09082473814487457, cm=-0.11864958703517914
  Angle -2: cl=-0.23916035890579224, cd=0.08495854586362839, cm=-0.09264035522937775
  Angle -1: cl=-0.17921841144561768, cd=0.08084068447351456, cm=-0.0631839781999588
  Angle 0: cl=-0.11390621960163116, cd=0.08089891821146011, cm=-0.03511987626552582
  Angle 1: cl=-0.03980730473995209, cd=0.08110890537500381, cm=-0.011772379279136658
  Angle 2: cl=0.04293476790189743, cd=0.08515755832195282, cm=0.0006545335054397583
  Angle 3: cl=0.2814664840698242, cd=0.0727151483297348, cm=0.002253413200378418
  Angle 4: cl=0.3712959587574005, cd=0.07828003168106079, cm=0.007653474807739258
  Angle 5: cl=0.4682026207447052, cd=0.08557751774787903, cm=0.011093899607658386
  Angle 6: cl=0.563987135887146, cd=0.0924701914191246, cm=0.013266220688819885
  Angle 7: cl=0.6559448838233948, cd=0.09903591871261597, cm=0.015261739492416382
  Angle 8: cl=0.7472343444824219, cd=0.10263053327798843, cm=0.009063720703125
  Angle 9: cl=0.8406773805618286, cd=0.10659769177436829, cm=0.0007497519254684448
  Angle 10: cl=0.9398850202560425, cd=0.11119506508111954, cm=-0.007421955466270447
Genotype [0.008534751181140669, 0.4584108559383454, 0.13, -0.8053516981815443, 0.25916931988077285, -0.022926955699720083, 0.12577400212600764, -0.003137683328069297, 0.0028733234329389244, 8.257714010524097, 10.315123594362346]:
  Angle -10: cl=-0.5563227534294128, cd=0.22422559559345245, cm=-0.1875341683626175
  Angle -9: cl=-0.5839075446128845, cd=0.19128842651844025, cm=-0.1844065934419632
  Angle -8: cl=-0.6064308881759644, cd=0.15602833032608032, cm=-0.18222464621067047
  Angle -7: cl=-0.6457329988479614, cd=0.12349886447191238, cm=-0.1738237589597702
  Angle -6: cl=-0.606654942035675, cd=0.11198782920837402, cm=-0.15923409163951874
  Angle -5: cl=-0.5120159983634949, cd=0.10335614532232285, cm=-0.1456417590379715
  Angle -4: cl=-0.413895845413208, cd=0.09784353524446487, cm=-0.1325584501028061
  Angle -3: cl=-0.3108427822589874, cd=0.09106159955263138, cm=-0.11723072826862335
  Angle -2: cl=-0.24801138043403625, cd=0.08533481508493423, cm=-0.08945043385028839
  Angle -1: cl=-0.1875593364238739, cd=0.081321120262146, cm=-0.05984435975551605
  Angle 0: cl=-0.11945845186710358, cd=0.08153558522462845, cm=-0.033052876591682434
  Angle 1: cl=-0.044391363859176636, cd=0.08152635395526886, cm=-0.010082259774208069
  Angle 2: cl=0.03897060453891754, cd=0.08655528724193573, cm=0.001246809959411621
  Angle 3: cl=0.27920520305633545, cd=0.0739697813987732, cm=0.0021935999393463135
  Angle 4: cl=0.3718242943286896, cd=0.07954753190279007, cm=0.007351607084274292
  Angle 5: cl=0.4701118469238281, cd=0.08652129769325256, cm=0.010532930493354797
  Angle 6: cl=0.5681443214416504, cd=0.09319683909416199, cm=0.012431785464286804
  Angle 7: cl=0.6599228978157043, cd=0.09976881742477417, cm=0.014587417244911194
  Angle 8: cl=0.751513659954071, cd=0.10313450545072556, cm=0.007568493485450745
  Angle 9: cl=0.846037745475769, cd=0.10727862268686295, cm=-0.0008236914873123169
  Angle 10: cl=0.9433222413063049, cd=0.11317267268896103, cm=-0.009257271885871887
Genotype [0.008638693197719604, 0.44976390874890443, 0.12952019355245253, -0.8591547775271876, 0.2595801547811547, -0.022982305184934514, 0.12222061646730972, -0.003138571812474932, 0.0028799087664550887, 7.951687604822275, 10.284503368099408]:
  Angle -10: cl=-0.5567061901092529, cd=0.22525426745414734, cm=-0.18637655675411224
  Angle -9: cl=-0.5888087749481201, cd=0.19397249817848206, cm=-0.18209369480609894
  Angle -8: cl=-0.6111088991165161, cd=0.15857136249542236, cm=-0.1800083965063095
