Experiment: Combination_Experiment_378
Generation: 63
Timestamp: 20231226_044140

Genotypes and their Fitness Values:
[0.008501723531770328, 0.4597435906791478, 0.12999617106451006, -0.8956989111108024, 0.2599818140198995, -0.02298053507631921, 0.050749190502455, -0.0030062153924977834, 0.002508337941811038, 7.027073207041829, 10.007170746650504] - Fitness: 0.28434307621371613
[0.008503553135465637, 0.45953663159612307, 0.12999948018873672, -0.8951017571350975, 0.2599730854192758, -0.022992701986721643, 0.050770226301254266, -0.003001119078290841, 0.0025019124566020108, 7.049657632206566, 10.007316424140656] - Fitness: 0.28524905361933023
[0.00850079001183133, 0.45997672019827135, 0.12999785663746102, -0.8991259685657368, 0.2599891044577489, -0.022986996649066564, 0.05041549217439569, -0.003, 0.0025, 7.011848351242091, 10.005949071966588] - Fitness: 0.2883409701964301
[0.00850212570894701, 0.45933906339361946, 0.1299914832878051, -0.8943808710597599, 0.25999004858567754, -0.022993415693028908, 0.05074458914433499, -0.003007772764923315, 0.002503887303965211, 7.071211161445812, 10.006751922613633] - Fitness: 0.283480322113069
[0.008501082945281672, 0.45978436884623686, 0.12998965233543516, -0.9, 0.26, -0.02298854173405509, 0.05041709642211178, -0.0030080980944042096, 0.0025024601492385804, 7.049763775896476, 10.00614000503978] - Fitness: 0.2851668737556979
[0.008501822497459142, 0.459397604911344, 0.12999117330365748, -0.8945152361772243, 0.2599862761610686, -0.02296321738038158, 0.0505586500991297, -0.0030079671538463006, 0.0025027310156482906, 7.070805811852162, 10.00094340298582] - Fitness: 0.2820724605466495
[0.008502033116147499, 0.45859355748260006, 0.13, -0.8949540961746724, 0.2599850089969178, -0.022989752586881688, 0.05059955663976101, -0.003010824635204998, 0.0025, 7.010599320164624, 10.00382024735009] - Fitness: 0.2860558209023501
[0.008502009909724259, 0.45886537504546754, 0.1299965356949867, -0.8949359296972762, 0.259985060200689, -0.02298921140940654, 0.05043479967966907, -0.00300765425008374, 0.0025075840260890287, 7.009739338016151, 10.005422722322155] - Fitness: 0.28560387779782237
[0.008502067692659758, 0.459054299057759, 0.1299952543732883, -0.8934930243354021, 0.2599857876236528, -0.02297911440857721, 0.0509309449432161, -0.0030089706962093893, 0.002503451299457624, 7.014791439968004, 10.003881281195657] - Fitness: 0.2847000711733412
[0.008502076084376541, 0.45996974652674094, 0.12999298628398728, -0.8980843289185563, 0.25999076798629256, -0.023, 0.050382284424093794, -0.0030077002159621755, 0.002506483366263042, 7.939969482245657, 10.014325495899273] - Fitness: 0.24571205845642882
[0.008502042522167868, 0.45809477004101495, 0.12999806396671676, -0.8950219898136204, 0.25998688539929843, -0.022993593614138254, 0.050572504797859595, -0.003, 0.0025040035158152897, 7.020223574695844, 10.010366663656205] - Fitness: 0.28621583252925425
[0.008502301291702322, 0.4598989579288152, 0.12996879299509254, -0.8986725755566065, 0.2599857022933425, -0.02299055617163949, 0.05034771404752828, -0.003008863496462458, 0.00250871962135448, 7.0, 10.009705816264649] - Fitness: 0.28487651310721845
[0.008501412251922713, 0.45963862617166723, 0.12999542189669158, -0.8959849946971503, 0.2599814686393085, -0.022987225833964765, 0.05096499306150909, -0.0030076569212137963, 0.0025057937787393123, 7.006951580496777, 10.004398281624164] - Fitness: 0.28588047081438656
[0.008501972875557559, 0.45917212669625534, 0.12999741937113793, -0.895160724460908, 0.25998830962881575, -0.02298684769123431, 0.05062382949781839, -0.003007616994079218, 0.0025089133857792325, 7.0108032387374815, 10.005284165487925] - Fitness: 0.28538088592329536
[0.008500307303816622, 0.45976209549816294, 0.129997171544813, -0.8952905286450474, 0.2599920845466322, -0.022987057019324204, 0.05060497729135449, -0.003007432628642478, 0.0025054455072651004, 7.0, 10.009284121435316] - Fitness: 0.28639470111754006
[0.0126, 0.4590245123243897, 0.12999183299440414, -0.8958038990343955, 0.25998796846251954, -0.022989169593003598, 0.05059780957207646, -0.0030078972212012195, 0.002508261723471417, 7.033944326420491, 10.006674728372627] - Fitness: -0.4348182514458034
[0.008502498885335682, 0.45999710117314724, 0.13, -0.8945068585241761, 0.25998782545323046, -0.022988398351207244, 0.0504085487267253, -0.0030097557027726532, 0.002505851797895586, 7.0, 10.009222791712197] - Fitness: 0.2859183326513944
[0.008502270121783164, 0.4592035259134423, 0.12999151368851686, -0.8928315960741258, 0.259986219735315, -0.022992928900004074, 0.05056019173086557, -0.0030080985723257418, 0.0025, 7.042086165275288, 10.0] - Fitness: 0.28555338300190275
[0.008502706846769221, 0.459918800858251, 0.12999865879466438, -0.8995178279791666, 0.25998969812072836, -0.023, 0.05040026538697639, -0.0030072350935584106, 0.0025044026489858375, 7.012798776891385, 10.006303634635323] - Fitness: 0.28737473583039247
[0.008502479934490586, 0.4587637128869307, 0.12999233682912925, -0.8937456968338252, 0.259985339911884, -0.02298190618064494, 0.05055220952850998, -0.0030079585155757885, 0.0025074670732272136, 7.046260997917308, 10.00795518472022] - Fitness: 0.2828743095014267
[0.008501292014775091, 0.45982154966831595, 0.12999848918546836, -0.895344520773836, 0.25999806366330513, -0.022990315821068398, 0.05038530206354283, -0.003008696304144468, 0.002512294444897466, 7.0, 10.011072555349886] - Fitness: 0.2856864204416313
[0.008501568561875316, 0.45941813660401243, 0.12999282200374718, -0.8948280235788691, 0.2599864730600384, -0.0229888136531623, 0.05, -0.003007402010774619, 0.0025014833949590317, 7.028009948527527, 10.00756220886072] - Fitness: 0.2856314782910865
[0.00850047617373031, 0.45943098056024156, 0.12999267752019092, -0.8952177327953094, 0.25999110101459816, -0.022988083362525957, 0.05065180299543282, -0.0030073028767880214, 0.0025076363878883674, 7.063092580738758, 10.0] - Fitness: 0.2843126059865598
[0.00850153943859793, 0.45979541151275277, 0.1299935664781466, -0.893470795052131, 0.25998298557641786, -0.022975390782149007, 0.05080218190906921, -0.0030060306270226515, 0.0025083871184793604, 7.041959159757543, 10.005134061632454] - Fitness: 0.2833969078630035
[0.008502623682467455, 0.45902463494937534, 0.1299939443397671, -0.8943115635977439, 0.2599862272812364, -0.02299299856518948, 0.050567719770058035, -0.003013558182270943, 0.002501372452942818, 7.04968310063979, 10.0081085300686] - Fitness: 0.28351681723422656
[0.008502160724574373, 0.4595473690537185, 0.1299328482720246, -0.8945312395961843, 0.2599875708618943, -0.022992516565023005, 0.05, -0.0030101097950258745, 0.0025063115768128824, 7.0, 10.006096663761586] - Fitness: 0.28388535378878416
[0.008501982037687516, 0.4593995375200113, 0.12999687122323814, -0.8948658629991473, 0.2599846201130582, -0.022981923223270494, 0.050556765831846255, -0.003, 0.0025085082394704517, 7.076856097674995, 10.001503401078871] - Fitness: 0.28390542684624326
[0.008501809783019877, 0.45976344346836406, 0.12999263842585304, -0.8936476919685666, 0.2599941960097068, -0.022980371007697235, 0.05061651851325017, -0.0030078846561344386, 0.002503693470624577, 7.053289091493747, 10.001755232296823] - Fitness: 0.28412010529998555
[0.008502182966924333, 0.4598522495053694, 0.1299499146880406, -0.8958549862773773, 0.25998732113299855, -0.02299264328936511, 0.05, -0.003010428967863021, 0.002508433138669317, 7.0, 10.009042196241923] - Fitness: 0.28418243651300684
[0.008502182966924333, 0.4598522495053694, 0.1299499146880406, -0.8958549862773773, 0.25998732113299855, -0.02299264328936511, 0.05, -0.003010428967863021, 0.002508433138669317, 7.0, 10.009042196241923] - Fitness: 0.28418243651300684
[0.008501939561744122, 0.46, 0.1299606460585112, -0.8953929196918828, 0.25999138119333176, -0.02299564057563787, 0.05048998101856863, -0.00300917493105977, 0.002510716283562059, 7.0, 10.013648626710095] - Fitness: 0.28419238097535593
[0.008502026546303006, 0.45965414368175406, 0.13, -0.8943000273402698, 0.2599861858243005, -0.023, 0.05, -0.0030079601494707193, 0.002508666484924577, 7.067332785040342, 10.0071579100523] - Fitness: 0.2843407356269815
[0.008502026546303006, 0.45965414368175406, 0.13, -0.8943000273402698, 0.2599861858243005, -0.023, 0.05, -0.0030079601494707193, 0.002508666484924577, 7.067332785040342, 10.0071579100523] - Fitness: 0.2843407356269815
[0.008502140501763055, 0.45916602516168786, 0.1299912706449527, -0.893178548219741, 0.25998626631364935, -0.022993989542804922, 0.05052556032855988, -0.003007808888810179, 0.0025011261045805645, 7.0527618569817525, 10.00702269342419] - Fitness: 0.2844194909072153
[0.008503567351613407, 0.4596840861220249, 0.13, -0.895086793819691, 0.25997331812767216, -0.022989921229190784, 0.05070780365504275, -0.0030029448668729792, 0.0025092185230538083, 7.057143537040409, 10.001423746034499] - Fitness: 0.2844713731519358
[0.008502235152304142, 0.4595985805059496, 0.12998975239266844, -0.9, 0.25998629070909646, -0.022990839783021036, 0.05050175819159878, -0.003007904790641149, 0.002503038570553119, 7.054350612197188, 10.0061906250372] - Fitness: 0.2845030263618628
[0.008503415071300771, 0.45813547198415455, 0.1299994680147748, -0.8951179756091758, 0.2599877648496404, -0.022991967872693538, 0.05066530352131896, -0.0030096946414564594, 0.0025091696272502547, 7.025343204048514, 10.001416264402112] - Fitness: 0.28471130459789773
[0.008500847318965088, 0.46, 0.12999439165442792, -0.8952284403532524, 0.25999134256021245, -0.022992170255403125, 0.05066060243281737, -0.0030090744785704732, 0.0025074108706729468, 7.0468588973312025, 10.004045675269403] - Fitness: 0.2848506469559364
[0.00850025492695889, 0.4593289714163682, 0.12999780026546753, -0.8952949456725551, 0.25999914639329924, -0.022996307213281476, 0.05000396663471004, -0.0030072189939543766, 0.0025090174735677923, 7.048739922644024, 10.00693152526556] - Fitness: 0.28535409885875257
[0.008502033116147499, 0.45859355748260006, 0.13, -0.8949540961746724, 0.2599850089969178, -0.022989752586881688, 0.05059955663976101, -0.003010824635204998, 0.002503602370638005, 7.010599320164624, 10.00382024735009] - Fitness: 0.28568474382960407
[0.00850169556797035, 0.4597821803172775, 0.12999168927274957, -0.8950354661679472, 0.25998679791876755, -0.02298810426222772, 0.050602502343097974, -0.003007701726771094, 0.0025084929620279198, 7.000626115058444, 10.00762120430154] - Fitness: 0.2856918161667054
[0.0085026516956223, 0.4598032593790291, 0.12999518893885117, -0.8951410067470255, 0.2599898400360278, -0.022987575300807774, 0.05041512125837558, -0.0030075090563134307, 0.0025074677421129577, 7.009600765458487, 10.006224329137407] - Fitness: 0.2857215047673453
[0.008502001731114308, 0.45972102068252746, 0.12999447086788465, -0.8949903481244488, 0.25998753051392814, -0.022992482450355376, 0.05, -0.0030072273475549908, 0.0025085365650868636, 7.016195293992476, 10.00764002887727] - Fitness: 0.2858224733279321
[0.008502227849787072, 0.4587260691974522, 0.12998661891171867, -0.894774039763851, 0.259985994501777, -0.022992390983525395, 0.050533895888101386, -0.0030114414227599903, 0.002500744167481859, 7.0, 10.001743139370934] - Fitness: 0.28626069788911623
[0.008501310981242051, 0.4599517627963654, 0.13, -0.9, 0.25999148740175937, -0.022987183622350877, 0.05039136533169786, -0.003009261640509066, 0.0025052360672791316, 7.0, 10.012269218078805] - Fitness: 0.28626676125821177
[0.008502003107866756, 0.4594440757688083, 0.1299954736818077, -0.8950072951607884, 0.2599836510771851, -0.02298614094122696, 0.050160252636621425, -0.0030032492524770206, 0.0025085049390935043, 7.0, 10.008271763137712] - Fitness: 0.2862810128279832
[0.00850031144096035, 0.4595277104800799, 0.12999258496806088, -0.8952956958317068, 0.2599939585120847, -0.022989032903555136, 0.05067950150602008, -0.0030075734888528583, 0.002507700148364898, 7.0, 10.006420280639878] - Fitness: 0.2862938612108986
[0.008501422375167975, 0.45981169477580447, 0.12999989204104048, -0.8953419186558425, 0.25999103772926285, -0.022986534948613028, 0.05041274883626587, -0.0030094372989178005, 0.0025, 7.0, 10.010996829508718] - Fitness: 0.2864484855567706
[0.008501123601968072, 0.4596892926229307, 0.12999307791580758, -0.8953446323657862, 0.26, -0.023, 0.050588646580550706, -0.0030072944389323317, 0.002508833572458372, 7.0, 10.011076123415952] - Fitness: 0.28666905542579624
[0.008502262123588292, 0.46, 0.12999830497886092, -0.8950131541431648, 0.25998690631537624, -0.02299243892281381, 0.05075448240162095, -0.003, 0.0025042012352020186, 7.018394239464643, 10.00833715206257] - Fitness: 0.28705234978900745

Detailed Results for Each Genotype:
Genotype [0.008501723531770328, 0.4597435906791478, 0.12999617106451006, -0.8956989111108024, 0.2599818140198995, -0.02298053507631921, 0.050749190502455, -0.0030062153924977834, 0.002508337941811038, 7.027073207041829, 10.007170746650504]:
  Angle -10: cl=-0.5669752955436707, cd=0.23519055545330048, cm=-0.1905221790075302
  Angle -9: cl=-0.5935027003288269, cd=0.20246073603630066, cm=-0.18632854521274567
  Angle -8: cl=-0.6163057684898376, cd=0.16766680777072906, cm=-0.18541689217090607
  Angle -7: cl=-0.6546223163604736, cd=0.13236519694328308, cm=-0.18144549429416656
  Angle -6: cl=-0.6070815920829773, cd=0.11769625544548035, cm=-0.16693444550037384
  Angle -5: cl=-0.5001301169395447, cd=0.10500451922416687, cm=-0.15329082310199738
  Angle -4: cl=-0.4058130085468292, cd=0.09946168959140778, cm=-0.14054356515407562
  Angle -3: cl=-0.304531991481781, cd=0.09382348507642746, cm=-0.1272154301404953
  Angle -2: cl=-0.22174644470214844, cd=0.08856043964624405, cm=-0.10642834007740021
  Angle -1: cl=-0.16008581221103668, cd=0.08376146852970123, cm=-0.07748876512050629
  Angle 0: cl=-0.08679183572530746, cd=0.08285143971443176, cm=-0.04958681762218475
  Angle 1: cl=-0.003305617719888687, cd=0.08300145715475082, cm=-0.02697370946407318
  Angle 2: cl=0.08134371787309647, cd=0.08408340066671371, cm=-0.012043431401252747
  Angle 3: cl=0.30983009934425354, cd=0.06929896026849747, cm=-0.006890848278999329
  Angle 4: cl=0.43098095059394836, cd=0.07133490592241287, cm=-0.0004379004240036011
  Angle 5: cl=0.5296345353126526, cd=0.07959046214818954, cm=0.0029926151037216187
  Angle 6: cl=0.620344340801239, cd=0.08694711327552795, cm=0.005477443337440491
  Angle 7: cl=0.710176408290863, cd=0.09354498237371445, cm=0.007950916886329651
  Angle 8: cl=0.8001675605773926, cd=0.10007762163877487, cm=0.009533494710922241
  Angle 9: cl=0.8952966332435608, cd=0.10511305183172226, cm=0.004005342721939087
  Angle 10: cl=0.9950435161590576, cd=0.11090785264968872, cm=-0.0038738399744033813
Genotype [0.008503553135465637, 0.45953663159612307, 0.12999948018873672, -0.8951017571350975, 0.2599730854192758, -0.022992701986721643, 0.050770226301254266, -0.003001119078290841, 0.0025019124566020108, 7.049657632206566, 10.007316424140656]:
  Angle -10: cl=-0.5668805837631226, cd=0.23521201312541962, cm=-0.19053508341312408
  Angle -9: cl=-0.5934547185897827, cd=0.20248959958553314, cm=-0.18632124364376068
  Angle -8: cl=-0.6162578463554382, cd=0.16769365966320038, cm=-0.18540440499782562
  Angle -7: cl=-0.6544539332389832, cd=0.13241715729236603, cm=-0.18143616616725922
  Angle -6: cl=-0.6071051955223083, cd=0.11771717667579651, cm=-0.16692914068698883
  Angle -5: cl=-0.5001155138015747, cd=0.10501912981271744, cm=-0.1532810479402542
  Angle -4: cl=-0.4057541489601135, cd=0.09946563839912415, cm=-0.14054279029369354
  Angle -3: cl=-0.3044818341732025, cd=0.09382735937833786, cm=-0.12721075117588043
  Angle -2: cl=-0.2216658592224121, cd=0.08856180310249329, cm=-0.10643438994884491
  Angle -1: cl=-0.15995782613754272, cd=0.08376278728246689, cm=-0.07751767337322235
  Angle 0: cl=-0.08671120554208755, cd=0.08285818994045258, cm=-0.0496053546667099
  Angle 1: cl=-0.0031691528856754303, cd=0.08300630003213882, cm=-0.026987507939338684
  Angle 2: cl=0.08149777352809906, cd=0.0840950608253479, cm=-0.012050345540046692
  Angle 3: cl=0.3101755380630493, cd=0.06929149478673935, cm=-0.0068997591733932495
  Angle 4: cl=0.4311526119709015, cd=0.07133606821298599, cm=-0.00042113661766052246
  Angle 5: cl=0.5297634601593018, cd=0.07958776503801346, cm=0.003005415201187134
  Angle 6: cl=0.6204337477684021, cd=0.0869484692811966, cm=0.005496114492416382
  Angle 7: cl=0.7102656960487366, cd=0.0935463234782219, cm=0.007969573140144348
  Angle 8: cl=0.8002526164054871, cd=0.10008003562688828, cm=0.009549498558044434
  Angle 9: cl=0.8953834772109985, cd=0.10511108487844467, cm=0.004016131162643433
  Angle 10: cl=0.995133638381958, cd=0.11088404804468155, cm=-0.003865078091621399
Genotype [0.00850079001183133, 0.45997672019827135, 0.12999785663746102, -0.8991259685657368, 0.2599891044577489, -0.022986996649066564, 0.05041549217439569, -0.003, 0.0025, 7.011848351242091, 10.005949071966588]:
  Angle -10: cl=-0.5672168731689453, cd=0.23536179959774017, cm=-0.1906743198633194
  Angle -9: cl=-0.5936079621315002, cd=0.20264196395874023, cm=-0.18641652166843414
  Angle -8: cl=-0.6164012551307678, cd=0.16786539554595947, cm=-0.18555955588817596
  Angle -7: cl=-0.6547960042953491, cd=0.1325063854455948, cm=-0.18164430558681488
  Angle -6: cl=-0.6071153879165649, cd=0.11784614622592926, cm=-0.1671483963727951
  Angle -5: cl=-0.5000802278518677, cd=0.10504703223705292, cm=-0.15344907343387604
  Angle -4: cl=-0.40561720728874207, cd=0.09947971254587173, cm=-0.14071981608867645
  Angle -3: cl=-0.3047885298728943, cd=0.09391354769468307, cm=-0.12741778790950775
  Angle -2: cl=-0.22197984158992767, cd=0.08865408599376678, cm=-0.10661555826663971
  Angle -1: cl=-0.15987621247768402, cd=0.08384507149457932, cm=-0.07784353196620941
  Angle 0: cl=-0.08623511344194412, cd=0.08290348201990128, cm=-0.05000199377536774
  Angle 1: cl=-0.0027321428060531616, cd=0.08302879333496094, cm=-0.027346447110176086
  Angle 2: cl=0.08209548145532608, cd=0.08414030820131302, cm=-0.01245097815990448
  Angle 3: cl=0.30956920981407166, cd=0.06949178874492645, cm=-0.007261112332344055
  Angle 4: cl=0.43229052424430847, cd=0.0711786299943924, cm=-0.0006411373615264893
  Angle 5: cl=0.5309459567070007, cd=0.07942543923854828, cm=0.0027904510498046875
  Angle 6: cl=0.6215011477470398, cd=0.08679413795471191, cm=0.005297794938087463
  Angle 7: cl=0.7113330960273743, cd=0.09339199215173721, cm=0.007771283388137817
  Angle 8: cl=0.8013404607772827, cd=0.09992267936468124, cm=0.009358972311019897
  Angle 9: cl=0.8964651226997375, cd=0.10506972670555115, cm=0.0041106343269348145
  Angle 10: cl=0.9961960911750793, cd=0.11092384159564972, cm=-0.0037618130445480347
Genotype [0.00850212570894701, 0.45933906339361946, 0.1299914832878051, -0.8943808710597599, 0.25999004858567754, -0.022993415693028908, 0.05074458914433499, -0.003007772764923315, 0.002503887303965211, 7.071211161445812, 10.006751922613633]:
  Angle -10: cl=-0.566722571849823, cd=0.23507378995418549, cm=-0.19043229520320892
  Angle -9: cl=-0.5934064388275146, cd=0.20234696567058563, cm=-0.18626035749912262
  Angle -8: cl=-0.6162175536155701, cd=0.16753947734832764, cm=-0.18530656397342682
  Angle -7: cl=-0.6543741822242737, cd=0.13229697942733765, cm=-0.1813020259141922
  Angle -6: cl=-0.6069816946983337, cd=0.11761115491390228, cm=-0.16678185760974884
  Angle -5: cl=-0.5000392198562622, cd=0.10498903691768646, cm=-0.15317432582378387
  Angle -4: cl=-0.40555766224861145, cd=0.09942786395549774, cm=-0.14043410122394562
  Angle -3: cl=-0.30415087938308716, cd=0.0937567725777626, cm=-0.12706975638866425
  Angle -2: cl=-0.221377432346344, cd=0.08848985284566879, cm=-0.10629947483539581
  Angle -1: cl=-0.1599866896867752, cd=0.08372168987989426, cm=-0.07725022733211517
  Angle 0: cl=-0.0869695395231247, cd=0.0828261524438858, cm=-0.049303725361824036
  Angle 1: cl=-0.003448598086833954, cd=0.08299338817596436, cm=-0.026714608073234558
  Angle 2: cl=0.08109353482723236, cd=0.08406220376491547, cm=-0.011755451560020447
  Angle 3: cl=0.31063342094421387, cd=0.06916237622499466, cm=-0.0066462308168411255
  Angle 4: cl=0.4303630590438843, cd=0.07145451754331589, cm=-0.000277787446975708
  Angle 5: cl=0.5289613604545593, cd=0.07971291244029999, cm=0.003146260976791382
  Angle 6: cl=0.6197392344474792, cd=0.08706594258546829, cm=0.00562150776386261
  Angle 7: cl=0.7095709443092346, cd=0.0936637818813324, cm=0.008094996213912964
  Angle 8: cl=0.7995879650115967, cd=0.10020875185728073, cm=0.009700298309326172
  Angle 9: cl=0.8946868777275085, cd=0.10514738410711288, cm=0.003932148218154907
  Angle 10: cl=0.9944537281990051, cd=0.11087527126073837, cm=-0.00395415723323822
Genotype [0.008501082945281672, 0.45978436884623686, 0.12998965233543516, -0.9, 0.26, -0.02298854173405509, 0.05041709642211178, -0.0030080980944042096, 0.0025024601492385804, 7.049763775896476, 10.00614000503978]:
  Angle -10: cl=-0.5669759511947632, cd=0.2351313978433609, cm=-0.19051428139209747
  Angle -9: cl=-0.5934544205665588, cd=0.20238453149795532, cm=-0.18635307252407074
  Angle -8: cl=-0.6162580251693726, cd=0.16759300231933594, cm=-0.18544729053974152
  Angle -7: cl=-0.6546399593353271, cd=0.1322944313287735, cm=-0.18145154416561127
  Angle -6: cl=-0.6069218516349792, cd=0.1176534965634346, cm=-0.16693036258220673
  Angle -5: cl=-0.4999235272407532, cd=0.10497648268938065, cm=-0.15329574048519135
  Angle -4: cl=-0.4057230055332184, cd=0.0994587317109108, cm=-0.1405295878648758
  Angle -3: cl=-0.30448421835899353, cd=0.09382274001836777, cm=-0.12719254195690155
  Angle -2: cl=-0.22173890471458435, cd=0.08856242895126343, cm=-0.10639367997646332
  Angle -1: cl=-0.16013914346694946, cd=0.08377277851104736, cm=-0.0774243026971817
  Angle 0: cl=-0.0867900475859642, cd=0.08286058157682419, cm=-0.04953257739543915
  Angle 1: cl=-0.0032815542072057724, cd=0.0830182209610939, cm=-0.02693648636341095
  Angle 2: cl=0.08136861771345139, cd=0.08409947901964188, cm=-0.012008950114250183
  Angle 3: cl=0.3101547956466675, cd=0.0692821815609932, cm=-0.006883576512336731
  Angle 4: cl=0.4310948848724365, cd=0.07136019319295883, cm=-0.00043670833110809326
  Angle 5: cl=0.5297317504882812, cd=0.07961532473564148, cm=0.0029915422201156616
  Angle 6: cl=0.6204822063446045, cd=0.08696679770946503, cm=0.005471855401992798
  Angle 7: cl=0.710314154624939, cd=0.09356463700532913, cm=0.007945314049720764
  Angle 8: cl=0.8003073334693909, cd=0.10009831935167313, cm=0.00952465832233429
  Angle 9: cl=0.8954611420631409, cd=0.10512853413820267, cm=0.003977835178375244
  Angle 10: cl=0.9951874017715454, cd=0.11094886809587479, cm=-0.003899410367012024
Genotype [0.008501822497459142, 0.459397604911344, 0.12999117330365748, -0.8945152361772243, 0.2599862761610686, -0.02296321738038158, 0.0505586500991297, -0.0030079671538463006, 0.0025027310156482906, 7.070805811852162, 10.00094340298582]:
  Angle -10: cl=-0.5666893124580383, cd=0.23503302037715912, cm=-0.19039244949817657
  Angle -9: cl=-0.5933905243873596, cd=0.20229412615299225, cm=-0.1862495094537735
  Angle -8: cl=-0.6162033677101135, cd=0.16748298704624176, cm=-0.18528427183628082
  Angle -7: cl=-0.6543509364128113, cd=0.13225796818733215, cm=-0.18125997483730316
  Angle -6: cl=-0.6070196032524109, cd=0.1175633892416954, cm=-0.16673655807971954
  Angle -5: cl=-0.500085711479187, cd=0.10496789216995239, cm=-0.15314005315303802
  Angle -4: cl=-0.4056251049041748, cd=0.09941834211349487, cm=-0.1403927356004715
  Angle -3: cl=-0.3042071461677551, cd=0.09374314546585083, cm=-0.1270231157541275
  Angle -2: cl=-0.22143152356147766, cd=0.08847537636756897, cm=-0.10625551640987396
  Angle -1: cl=-0.16015620529651642, cd=0.08369975537061691, cm=-0.0771736353635788
  Angle 0: cl=-0.08718955516815186, cd=0.08280444145202637, cm=-0.04922182857990265
  Angle 1: cl=-0.00366821326315403, cd=0.08297871053218842, cm=-0.026645377278327942
  Angle 2: cl=0.080825075507164, cd=0.08403987437486649, cm=-0.011673763394355774
  Angle 3: cl=0.31051522493362427, cd=0.06912483274936676, cm=-0.006562814116477966
  Angle 4: cl=0.43002182245254517, cd=0.07148142158985138, cm=-0.00024159252643585205
  Angle 5: cl=0.528621256351471, cd=0.07973957061767578, cm=0.003182724118232727
  Angle 6: cl=0.6194484829902649, cd=0.0870877131819725, cm=0.005650728940963745
  Angle 7: cl=0.7092804908752441, cd=0.0936855748295784, cm=0.008124187588691711
  Angle 8: cl=0.799301028251648, cd=0.10023363679647446, cm=0.009736672043800354
  Angle 9: cl=0.8943954110145569, cd=0.10515078157186508, cm=0.003911733627319336
  Angle 10: cl=0.9941591024398804, cd=0.11088145524263382, cm=-0.003974661231040955
Genotype [0.008502033116147499, 0.45859355748260006, 0.13, -0.8949540961746724, 0.2599850089969178, -0.022989752586881688, 0.05059955663976101, -0.003010824635204998, 0.0025, 7.010599320164624, 10.00382024735009]:
