Experiment: Combination_Experiment_399
Generation: 22
Timestamp: 20231226_110136

Genotypes and their Fitness Values:
[0.008502085890256875, 0.43565711990031597, 0.12943469237157507, -0.885843194542518, 0.25977843432095943, -0.022905708185295325, 0.06861557693347564, -0.003174640824718731, 0.002548714986142864, 7.680985721905072, 10.0] - Fitness: 0.14576446966757758
[0.008885219985158042, 0.4294540490714952, 0.12997045902722246, -0.8585249951591224, 0.26, -0.02285672256728177, 0.06862988015875839, -0.003, 0.002584174197991212, 7.831571756764011, 10.375417722912815] - Fitness: 0.053915778083130445
[0.008858917247883066, 0.4283576422243289, 0.129967456868575, -0.881248339479497, 0.2597133542044968, -0.022914334890613664, 0.0687856827400715, -0.003124241303108864, 0.0025, 7.649469864378841, 10.406633096526715] - Fitness: 0.047652377182846366
[0.008840820740972002, 0.42668461721235346, 0.12996830786616329, -0.850462090438984, 0.25997147844707896, -0.02297179313241304, 0.07491585991717488, -0.003, 0.002706004046740146, 7.565718416086572, 10.498011074376675] - Fitness: 0.04722536150547689
[0.008885219985158042, 0.4294540490714952, 0.12997045902722246, -0.8585249951591224, 0.25961725544224784, -0.02285672256728177, 0.06862988015875839, -0.003, 0.002584174197991212, 7.831571756764011, 10.417550728820599] - Fitness: 0.04086191759388945
[0.008861383086230756, 0.428467868398611, 0.13, -0.8796536380268842, 0.2597537349823675, -0.022871383781642093, 0.068647646836723, -0.0031506417754614815, 0.0025742588958823057, 7.720139469594891, 10.409034329962486] - Fitness: 0.02909624667189874
[0.008504432033557868, 0.43195053541608375, 0.12990164517257294, -0.8971335591127665, 0.2599139376840727, -0.022821254936933447, 0.07095860874042241, -0.003616659605635549, 0.00256142082616438, 7.688631478371599, 10.374883049880477] - Fitness: 0.025077047364804227
[0.00867458330044387, 0.4313603323499595, 0.1299139254575214, -0.8638881605919335, 0.2589560677557316, -0.022810192541023597, 0.057363865038242125, -0.003, 0.002583444070039503, 7.483707039514075, 11.088751194095185] - Fitness: 0.020027250906897227
[0.008713857845516653, 0.4143548256830549, 0.1296069146789949, -0.7733262894400326, 0.25966686125328775, -0.02276465652068947, 0.11676255406137255, -0.0030366598197642675, 0.00265755629643534, 7.476019389332241, 10.185476949983531] - Fitness: 0.002996618462133401
[0.00850591064560798, 0.42399487991805085, 0.12926406612781463, -0.7771696433342737, 0.2594926088471751, -0.02298952300771371, 0.09158863189191052, -0.0033155704456360856, 0.0026379054173957216, 7.6232829382963, 10.501550776165068] - Fitness: 0.0016745839731870874
[0.008864990102607873, 0.46, 0.1298701551949426, -0.8629633793779934, 0.2596428997503756, -0.022795776578991227, 0.0674468572106564, -0.003025250553024958, 0.002587551213892743, 7.786106037677109, 11.134902277115328] - Fitness: -0.0014607315391806518
[0.008802948532884913, 0.4280253971141707, 0.12998172835907035, -0.7837659771505862, 0.25952101559006974, -0.022676477169728912, 0.12096591246702891, -0.0031184039148067395, 0.0025094577407309706, 7.483554486663553, 10.540250118856276] - Fitness: -0.007360379485033425
[0.008507534782405105, 0.42548568111060714, 0.12905972524345397, -0.7414663692661665, 0.25908448040881105, -0.02257257174670628, 0.0924451969398982, -0.003314435298341331, 0.002620521397028607, 7.574588197477557, 10.21953852062461] - Fitness: -0.012734668038761934
[0.008885219985158042, 0.41, 0.12997045902722246, -0.8585249951591224, 0.25961725544224784, -0.02285672256728177, 0.06862988015875839, -0.003, 0.002584174197991212, 7.814673887817752, 10.417550728820599] - Fitness: -0.01674160671773887
[0.008606441683004005, 0.4118964355426945, 0.12988942512006665, -0.8642076914701795, 0.25988702325002855, -0.022827524760221003, 0.11303864163915717, -0.003518442189183132, 0.0025, 7.633312258171078, 10.110551703591053] - Fitness: -0.01788635863222679
[0.008553395620124925, 0.43060401975864315, 0.1297937809988216, -0.7564192508580976, 0.2593962917746084, -0.022766721862654504, 0.09240626306759013, -0.0030563983970681623, 0.0025116293546067537, 7.582685860291082, 11.365004223196594] - Fitness: -0.020845682331836715
[0.00870471418647316, 0.4285572152900624, 0.1299508137847339, -0.7517405217657159, 0.25838561996761383, -0.022962333418958987, 0.0705210457967223, -0.003253952178663507, 0.002667531206138553, 7.181213728526013, 10.875595932915692] - Fitness: -0.026292740234354867
[0.008615243772619996, 0.42810651589909027, 0.12988860677646186, -0.7621715028793694, 0.26, -0.022701085584122763, 0.11548484249541395, -0.003039145958548205, 0.0025, 7.100355404466676, 11.518117513992532] - Fitness: -0.02632159626976784
[0.008504041191115589, 0.42384426275671927, 0.12986385753459087, -0.7945702302411549, 0.2588155580306176, -0.022836118930209072, 0.12893934488080733, -0.003365548916239301, 0.0025108329038242465, 7.614043878770495, 10.581627875212424] - Fitness: -0.028033617129397257
[0.008602740710324798, 0.4347853452913275, 0.12935125781952794, -0.7495364544662586, 0.25989706268674306, -0.022503946264796, 0.052604255925957744, -0.003042389982635984, 0.002524150112435777, 7.367733828147453, 11.531197142050004] - Fitness: -0.02912108639232443
[0.008627290013015283, 0.42422295105310537, 0.12962006437367463, -0.7814544608362165, 0.2582747592051887, -0.022826126602688644, 0.08814860402049636, -0.0031996771739590687, 0.0025180385845582553, 7.474942644040123, 10.7413758273628] - Fitness: -0.029587067539200314
[0.008895769183725475, 0.4269143204580393, 0.12990265506762128, -0.8898897871887274, 0.25987934858649436, -0.022851599707263776, 0.07548019962483576, -0.0033862275365934874, 0.0025901694497551388, 7.692681344217708, 10.4269822187558] - Fitness: -0.03021200789057606
[0.008880923204210566, 0.4291295609035108, 0.12997175184260445, -0.8865952591272401, 0.26, -0.022900709377152283, 0.06858717823506616, -0.003516938192893263, 0.0025937195253609015, 7.708911379039927, 10.41018337361019] - Fitness: -0.031106883647487742
[0.008885219985158042, 0.4294540490714952, 0.12997045902722246, -0.8585249951591224, 0.25961725544224784, -0.02285672256728177, 0.06862988015875839, -0.0034049888865569635, 0.002584174197991212, 7.831571756764011, 10.417550728820599] - Fitness: -0.03157930128421958
[0.00886616146779719, 0.43300719764846646, 0.13, -0.8810655482581525, 0.2592593414600058, -0.022821088009689055, 0.06507890828768528, -0.00311749223234492, 0.0025, 7.50627155120783, 11.197604770026159] - Fitness: -0.03256122332087271
[0.008853793094793177, 0.43087258185346133, 0.12994809881340805, -0.8729941960242386, 0.25924859794814176, -0.02295345877735632, 0.05, -0.0034277904610151627, 0.002585198853505818, 7.866327485644342, 10.629963338106766] - Fitness: -0.041066096159026566
[0.008572623041474246, 0.44304893065112694, 0.12975461271051425, -0.7828737595636379, 0.2593031759424735, -0.022820320309611945, 0.10493190811598123, -0.00363752385184314, 0.0025503480736609433, 7.539015777391962, 10.638733912399854] - Fitness: -0.04117198592450804
[0.008606967522297325, 0.429513375042114, 0.13, -0.757613392885954, 0.2592968628345521, -0.022784930409465727, 0.10089957204622846, -0.003, 0.0027749057951792044, 7.630116978176849, 11.26964767191418] - Fitness: -0.04267354685777391
[0.00889859213466529, 0.4430457818851984, 0.12996908807390548, -0.8547807435714437, 0.259141750178019, -0.023, 0.09812980223024607, -0.0034656786782297625, 0.0026831130600140363, 7.325021813248834, 10.577100821134081] - Fitness: -0.042827457326452156
[0.008584057252923487, 0.43642183885643415, 0.12962178360702215, -0.7858975017884253, 0.25930950036997114, -0.02274354585259144, 0.06052549821977338, -0.0030714087258511534, 0.0027319403791510135, 7.269037608825194, 11.658991715361486] - Fitness: -0.045320962971237826
[0.008855601589908575, 0.42788619504364994, 0.12998027481502783, -0.843350723089926, 0.25930187051948067, -0.02286324646755904, 0.06894781147328774, -0.0035571161118950452, 0.0025850726812897814, 7.735703495469782, 10.324749554416197] - Fitness: -0.04824313619788662
[0.008775578671242047, 0.427074007316127, 0.12850628618249665, -0.7609590971422451, 0.26, -0.022785799789433073, 0.09139276549015861, -0.0034709604212452027, 0.0025706121399544646, 7.560401321105718, 10.093433050649809] - Fitness: -0.04935990785601909
[0.00855776212907852, 0.4383345506983249, 0.12976779394785445, -0.7418340339931055, 0.2581752834252986, -0.02271416252827796, 0.06044555920253683, -0.003, 0.002700372494963666, 7.307752938958183, 11.692678839743431] - Fitness: -0.049738244048394754
[0.0085, 0.4362463710805924, 0.12856154647376977, -0.8163528104120829, 0.2596362912219875, -0.022619667623156592, 0.060586943022344485, -0.0030547618653190382, 0.0025458150728765467, 7.50573430819954, 11.641469988277295] - Fitness: -0.054417379891552695
[0.00889859213466529, 0.43279699342623085, 0.12996908807390548, -0.8547807435714437, 0.259141750178019, -0.023, 0.09812980223024607, -0.0034656786782297625, 0.0026831130600140363, 7.325021813248834, 10.577100821134081] - Fitness: -0.058568201388721514
[0.008536501755005936, 0.4239856326356173, 0.12982829038081806, -0.7930177097349912, 0.25933968282833053, -0.022944588159168253, 0.09158592339518731, -0.0034584782282797797, 0.0026800469567614003, 7.616679497931874, 10.871619888535786] - Fitness: -0.05929986954511038
[0.008597658471557997, 0.43694685403285616, 0.1296652867621418, -0.8894625948985261, 0.26, -0.023, 0.0708825054993074, -0.0038904597238194607, 0.002915949651430104, 7.66900010925817, 10.37783387768917] - Fitness: -0.05937950851269879
[0.00852716038315121, 0.42326765491963725, 0.12912741811649067, -0.7403216844159877, 0.25920858198365143, -0.02265785147787386, 0.058290982257943484, -0.003, 0.0026343003407189067, 7.562494714739772, 11.42412134738812] - Fitness: -0.059835904837192935
[0.009009392262730485, 0.41, 0.12995386693920316, -0.7794682676201696, 0.25925638248375427, -0.02288355585990727, 0.10722969107352026, -0.0030106607748459973, 0.0026530184088256327, 7.57524136100619, 10.330432781100411] - Fitness: -0.060981262583283166
[0.008892467886313368, 0.4273327841082136, 0.12989333819034013, -0.8024875782245527, 0.25921494596045347, -0.022866781532575795, 0.08563392726599187, -0.0034835890482901384, 0.0025602805694212977, 7.527463342403928, 10.431987288366694] - Fitness: -0.061087995663029936
[0.008606595208437122, 0.44293060631208403, 0.1299039022681889, -0.7506881743664702, 0.25847306966486644, -0.022705202737418103, 0.08869824585835556, -0.0030521133813538326, 0.002690774429182823, 7.1983563357909235, 11.724085054893207] - Fitness: -0.06404471375615406
[0.008617224742709146, 0.42739716896713636, 0.12990851628028993, -0.7594121648540291, 0.259534437150583, -0.022702337289846573, 0.08654981941226636, -0.0030456636973307223, 0.002642027035027204, 7.46747620407171, 11.607238654473734] - Fitness: -0.06720701884078968
[0.008615243772619996, 0.42810651589909027, 0.12988860677646186, -0.7621715028793694, 0.25861551217906065, -0.022701085584122763, 0.08967999783478185, -0.003039145958548205, 0.002721819296895607, 7.140314554403393, 11.518117513992532] - Fitness: -0.06860767461004812
[0.008589122449044608, 0.43573383869281923, 0.12860038493729722, -0.8169962700284141, 0.2594641410521476, -0.022562513346507763, 0.05725404786463705, -0.0030262994777481246, 0.0025237191770576643, 7.513778380152923, 11.677758460160605] - Fitness: -0.0744444095708923
[0.008503832530450464, 0.43146003600340227, 0.1298768314343032, -0.7522047707006609, 0.25845656005410456, -0.022810965651634863, 0.05882690080603852, -0.003, 0.0026016172252959838, 7.563507581250238, 12.054303571249068] - Fitness: -0.07482678416576431
[0.008898631204627453, 0.4308170177942712, 0.12995151151021153, -0.814773220617299, 0.259113491626969, -0.022813919939676616, 0.09452286249191252, -0.0034627501798572473, 0.002516097125944144, 7.583199179704519, 10.647302987409478] - Fitness: -0.08045704787737613
[0.008904576176270546, 0.43069043028369286, 0.12808766148281095, -0.7881603168452395, 0.25909949825530787, -0.022728135749601676, 0.09091078533496999, -0.003, 0.002522631166997277, 7.563937688186783, 10.81110935003863] - Fitness: -0.08743057032967491
[0.008694843697913863, 0.42565010594776725, 0.12995002856471088, -0.8238486016932656, 0.2593282985071965, -0.022971214238643706, 0.0690036919499633, -0.0035217281482671932, 0.002580563693194437, 7.735596862381719, 11.070132866969884] - Fitness: -0.0909281244753409
[0.008513451716401122, 0.4312339138566759, 0.12844111017582577, -0.7126857916163892, 0.25932302773741484, -0.022767542573834215, 0.06279567978596962, -0.0031024979187596596, 0.0025990709378891415, 7.551870442852578, 11.644306889074588] - Fitness: -0.09212215625195949
[0.008616531077262452, 0.4299820293052949, 0.1287208822616882, -0.7589973498157939, 0.2592362632279653, -0.022753689652261752, 0.08429855566115656, -0.0030337670257435476, 0.002554274727015924, 7.649057364363492, 11.545927599168682] - Fitness: -0.09502844844286044

Detailed Results for Each Genotype:
Genotype [0.008502085890256875, 0.43565711990031597, 0.12943469237157507, -0.885843194542518, 0.25977843432095943, -0.022905708185295325, 0.06861557693347564, -0.003174640824718731, 0.002548714986142864, 7.680985721905072, 10.0]:
  Angle -10: cl=-0.5592472553253174, cd=0.22973288595676422, cm=-0.18720965087413788
  Angle -9: cl=-0.5947509407997131, cd=0.19899170100688934, cm=-0.18056465685367584
  Angle -8: cl=-0.6214824914932251, cd=0.16528958082199097, cm=-0.17730413377285004
  Angle -7: cl=-0.6486068964004517, cd=0.13113348186016083, cm=-0.17172162234783173
  Angle -6: cl=-0.6126007437705994, cd=0.11700969189405441, cm=-0.15936632454395294
  Angle -5: cl=-0.4971950650215149, cd=0.10498320311307907, cm=-0.14687038958072662
  Angle -4: cl=-0.3849240243434906, cd=0.09583010524511337, cm=-0.13467223942279816
  Angle -3: cl=-0.2808744013309479, cd=0.08916597068309784, cm=-0.11995668709278107
  Angle -2: cl=-0.20618654787540436, cd=0.08319652080535889, cm=-0.09661982953548431
  Angle -1: cl=-0.14764095842838287, cd=0.08035709708929062, cm=-0.0668671578168869
  Angle 0: cl=-0.08656717836856842, cd=0.08027449250221252, cm=-0.036925360560417175
  Angle 1: cl=-0.015587849542498589, cd=0.08106790482997894, cm=-0.012484267354011536
  Angle 2: cl=0.06416294723749161, cd=0.08373245596885681, cm=0.0012193173170089722
  Angle 3: cl=0.29669317603111267, cd=0.07227649539709091, cm=0.0035097897052764893
  Angle 4: cl=0.3833160996437073, cd=0.07793422788381577, cm=0.008867025375366211
  Angle 5: cl=0.47757527232170105, cd=0.08533617854118347, cm=0.012601956725120544
  Angle 6: cl=0.5677971839904785, cd=0.09295014292001724, cm=0.015573620796203613
  Angle 7: cl=0.6611040234565735, cd=0.09939124435186386, cm=0.016817763447761536
  Angle 8: cl=0.7525742053985596, cd=0.10249777883291245, cm=0.009717106819152832
  Angle 9: cl=0.843751847743988, cd=0.10612744092941284, cm=0.0013846606016159058
  Angle 10: cl=0.9421771168708801, cd=0.11057490110397339, cm=-0.00675530731678009
Genotype [0.008885219985158042, 0.4294540490714952, 0.12997045902722246, -0.8585249951591224, 0.26, -0.02285672256728177, 0.06862988015875839, -0.003, 0.002584174197991212, 7.831571756764011, 10.375417722912815]:
  Angle -10: cl=-0.5554354190826416, cd=0.22828519344329834, cm=-0.18574737012386322
  Angle -9: cl=-0.5896831154823303, cd=0.1975545734167099, cm=-0.17941053211688995
  Angle -8: cl=-0.6190571188926697, cd=0.16440443694591522, cm=-0.1753743439912796
  Angle -7: cl=-0.647297739982605, cd=0.130313903093338, cm=-0.1687949150800705
  Angle -6: cl=-0.6193662881851196, cd=0.11703801900148392, cm=-0.15641991794109344
  Angle -5: cl=-0.5016055703163147, cd=0.10454093664884567, cm=-0.1440502256155014
  Angle -4: cl=-0.388444721698761, cd=0.0950431376695633, cm=-0.1315164417028427
  Angle -3: cl=-0.2844656705856323, cd=0.0883740708231926, cm=-0.11679767072200775
  Angle -2: cl=-0.2109944224357605, cd=0.0821525827050209, cm=-0.09272153675556183
  Angle -1: cl=-0.15330806374549866, cd=0.07928083837032318, cm=-0.0633181482553482
  Angle 0: cl=-0.09238161146640778, cd=0.07935743778944016, cm=-0.03346182405948639
  Angle 1: cl=-0.02603732980787754, cd=0.08036188781261444, cm=-0.008445486426353455
  Angle 2: cl=0.051669832319021225, cd=0.0856262743473053, cm=0.003448486328125
  Angle 3: cl=0.28031617403030396, cd=0.07492931932210922, cm=0.006219640374183655
  Angle 4: cl=0.3647351861000061, cd=0.08084379136562347, cm=0.011829063296318054
  Angle 5: cl=0.4548391103744507, cd=0.08703194558620453, cm=0.01606929302215576
  Angle 6: cl=0.54476398229599, cd=0.09460761398077011, cm=0.01901237666606903
  Angle 7: cl=0.6401945352554321, cd=0.09930530190467834, cm=0.01597754657268524
  Angle 8: cl=0.7321321964263916, cd=0.10270357131958008, cm=0.009133368730545044
  Angle 9: cl=0.8226441740989685, cd=0.10632848739624023, cm=0.0007437914609909058
  Angle 10: cl=0.9201830625534058, cd=0.11069408059120178, cm=-0.007489457726478577
Genotype [0.008858917247883066, 0.4283576422243289, 0.129967456868575, -0.881248339479497, 0.2597133542044968, -0.022914334890613664, 0.0687856827400715, -0.003124241303108864, 0.0025, 7.649469864378841, 10.406633096526715]:
  Angle -10: cl=-0.5570854544639587, cd=0.22736912965774536, cm=-0.1853359192609787
  Angle -9: cl=-0.5911629796028137, cd=0.1966772824525833, cm=-0.17901192605495453
  Angle -8: cl=-0.6220189929008484, cd=0.16398324072360992, cm=-0.17459149658679962
  Angle -7: cl=-0.6514304876327515, cd=0.12947796285152435, cm=-0.16833053529262543
  Angle -6: cl=-0.6195781826972961, cd=0.11720867455005646, cm=-0.15592853724956512
  Angle -5: cl=-0.4986587166786194, cd=0.10439620912075043, cm=-0.1437239795923233
  Angle -4: cl=-0.3839752972126007, cd=0.09445371478796005, cm=-0.1309501975774765
  Angle -3: cl=-0.28000783920288086, cd=0.08778385072946548, cm=-0.11623089015483856
  Angle -2: cl=-0.20813608169555664, cd=0.081523098051548, cm=-0.0916290432214737
  Angle -1: cl=-0.15077656507492065, cd=0.07903845608234406, cm=-0.06208057701587677
  Angle 0: cl=-0.09012064337730408, cd=0.07921085506677628, cm=-0.032325729727745056
  Angle 1: cl=-0.02478696219623089, cd=0.08033117651939392, cm=-0.00721411406993866
  Angle 2: cl=0.05085161328315735, cd=0.08623992651700974, cm=0.004154577851295471
  Angle 3: cl=0.27764400839805603, cd=0.07578340172767639, cm=0.006878077983856201
  Angle 4: cl=0.3619970381259918, cd=0.08175081759691238, cm=0.012436449527740479
  Angle 5: cl=0.45168519020080566, cd=0.08788129687309265, cm=0.016762197017669678
  Angle 6: cl=0.5415973663330078, cd=0.09517490118741989, cm=0.019714489579200745
  Angle 7: cl=0.6373841166496277, cd=0.09940681606531143, cm=0.015486657619476318
  Angle 8: cl=0.729114294052124, cd=0.10285043716430664, cm=0.008721023797988892
  Angle 9: cl=0.819625973701477, cd=0.10647530853748322, cm=0.0003315061330795288
  Angle 10: cl=0.916857898235321, cd=0.11078308522701263, cm=-0.007897421717643738
Genotype [0.008840820740972002, 0.42668461721235346, 0.12996830786616329, -0.850462090438984, 0.25997147844707896, -0.02297179313241304, 0.07491585991717488, -0.003, 0.002706004046740146, 7.565718416086572, 10.498011074376675]:
  Angle -10: cl=-0.5558752417564392, cd=0.22926262021064758, cm=-0.1857343167066574
  Angle -9: cl=-0.5899340510368347, cd=0.19854596257209778, cm=-0.17902253568172455
  Angle -8: cl=-0.6210072040557861, cd=0.16591858863830566, cm=-0.17451123893260956
  Angle -7: cl=-0.649904191493988, cd=0.13120746612548828, cm=-0.16868992149829865
  Angle -6: cl=-0.6209114193916321, cd=0.11784663051366806, cm=-0.1562655121088028
  Angle -5: cl=-0.5039926767349243, cd=0.10528478771448135, cm=-0.1439775973558426
  Angle -4: cl=-0.3859224021434784, cd=0.09470726549625397, cm=-0.13173551857471466
  Angle -3: cl=-0.28206977248191833, cd=0.08802944421768188, cm=-0.11701090633869171
  Angle -2: cl=-0.20692269504070282, cd=0.08177248388528824, cm=-0.09347979724407196
  Angle -1: cl=-0.14912377297878265, cd=0.07901079952716827, cm=-0.06417451798915863
  Angle 0: cl=-0.08835531771183014, cd=0.0789809376001358, cm=-0.03412504494190216
  Angle 1: cl=-0.023670954629778862, cd=0.08010149747133255, cm=-0.008621469140052795
  Angle 2: cl=0.0525546632707119, cd=0.0853014886379242, cm=0.003496885299682617
  Angle 3: cl=0.27960875630378723, cd=0.07476288080215454, cm=0.006469026207923889
  Angle 4: cl=0.36322617530822754, cd=0.08077134937047958, cm=0.012108325958251953
  Angle 5: cl=0.45165130496025085, cd=0.08689257502555847, cm=0.016581907868385315
  Angle 6: cl=0.5416446328163147, cd=0.09446078538894653, cm=0.019523411989212036
  Angle 7: cl=0.6360991597175598, cd=0.09915994852781296, cm=0.016267910599708557
  Angle 8: cl=0.7277123928070068, cd=0.10257792472839355, cm=0.009499669075012207
  Angle 9: cl=0.8182240724563599, cd=0.10620284825563431, cm=0.001110076904296875
  Angle 10: cl=0.9151750206947327, cd=0.1104751005768776, cm=-0.007110044360160828
Genotype [0.008885219985158042, 0.4294540490714952, 0.12997045902722246, -0.8585249951591224, 0.25961725544224784, -0.02285672256728177, 0.06862988015875839, -0.003, 0.002584174197991212, 7.831571756764011, 10.417550728820599]:
  Angle -10: cl=-0.5555005073547363, cd=0.22793063521385193, cm=-0.1855672150850296
  Angle -9: cl=-0.5896536707878113, cd=0.19720983505249023, cm=-0.179329052567482
  Angle -8: cl=-0.6191456317901611, cd=0.16408246755599976, cm=-0.17525894939899445
  Angle -7: cl=-0.6475111246109009, cd=0.13005009293556213, cm=-0.16855348646640778
  Angle -6: cl=-0.6197517514228821, cd=0.11691021174192429, cm=-0.15615810453891754
  Angle -5: cl=-0.5019180178642273, cd=0.1043848916888237, cm=-0.14377854764461517
  Angle -4: cl=-0.3892066180706024, cd=0.09495844691991806, cm=-0.13115496933460236
  Angle -3: cl=-0.2852364480495453, cd=0.08828882873058319, cm=-0.11643581092357635
  Angle -2: cl=-0.21227262914180756, cd=0.08203916996717453, cm=-0.09214140474796295
  Angle -1: cl=-0.1546422392129898, cd=0.07919210195541382, cm=-0.06271390616893768
  Angle 0: cl=-0.09381377696990967, cd=0.07928694039583206, cm=-0.03293965756893158
  Angle 1: cl=-0.02765549160540104, cd=0.08025544881820679, cm=-0.007923170924186707
  Angle 2: cl=0.049635931849479675, cd=0.08590405434370041, cm=0.003704756498336792
  Angle 3: cl=0.27788111567497253, cd=0.07526612281799316, cm=0.006485238671302795
  Angle 4: cl=0.3623250722885132, cd=0.08117808401584625, cm=0.01210571825504303
  Angle 5: cl=0.45212867856025696, cd=0.08729039132595062, cm=0.0163850337266922
  Angle 6: cl=0.5421911478042603, cd=0.09478573501110077, cm=0.019304096698760986
  Angle 7: cl=0.6378545165061951, cd=0.099326491355896, cm=0.015892833471298218
  Angle 8: cl=0.7297623157501221, cd=0.10273928940296173, cm=0.009053662419319153
  Angle 9: cl=0.8202739357948303, cd=0.1063641905784607, cm=0.0006641298532485962
  Angle 10: cl=0.9177543520927429, cd=0.11073074489831924, cm=-0.007579579949378967
Genotype [0.008861383086230756, 0.428467868398611, 0.13, -0.8796536380268842, 0.2597537349823675, -0.022871383781642093, 0.068647646836723, -0.0031506417754614815, 0.0025742588958823057, 7.720139469594891, 10.409034329962486]:
  Angle -10: cl=-0.5562719106674194, cd=0.22623080015182495, cm=-0.1848709136247635
  Angle -9: cl=-0.5898565649986267, cd=0.19557587802410126, cm=-0.17883683741092682
  Angle -8: cl=-0.6206799149513245, cd=0.16285721957683563, cm=-0.17439667880535126
  Angle -7: cl=-0.6504359841346741, cd=0.12864787876605988, cm=-0.1677781194448471
  Angle -6: cl=-0.6189009547233582, cd=0.11678293347358704, cm=-0.15542401373386383
  Angle -5: cl=-0.49723196029663086, cd=0.10388995707035065, cm=-0.14319758117198944
  Angle -4: cl=-0.3838081955909729, cd=0.0941910371184349, cm=-0.13013921678066254
  Angle -3: cl=-0.27990850806236267, cd=0.08751650154590607, cm=-0.11541683971881866
  Angle -2: cl=-0.21036042273044586, cd=0.08135014772415161, cm=-0.0899529904127121
  Angle -1: cl=-0.15290279686450958, cd=0.07886417955160141, cm=-0.06032098829746246
  Angle 0: cl=-0.0923948809504509, cd=0.07913772761821747, cm=-0.030843272805213928
  Angle 1: cl=-0.027429351583123207, cd=0.08108711987733841, cm=-0.006741240620613098
  Angle 2: cl=0.04722168669104576, cd=0.0870617926120758, cm=0.004798024892807007
  Angle 3: cl=0.27286311984062195, cd=0.07678829878568649, cm=0.007462173700332642
  Angle 4: cl=0.3571315109729767, cd=0.08276976644992828, cm=0.013007104396820068
  Angle 5: cl=0.446353554725647, cd=0.0889226645231247, cm=0.017390087246894836
  Angle 6: cl=0.5368019342422485, cd=0.09583081305027008, cm=0.020338013768196106
  Angle 7: cl=0.6333428025245667, cd=0.0995824858546257, cm=0.014975205063819885
  Angle 8: cl=0.7249495983123779, cd=0.1030600443482399, cm=0.00819370150566101
  Angle 9: cl=0.8154616951942444, cd=0.10668496042490005, cm=-0.0001958906650543213
  Angle 10: cl=0.9126235246658325, cd=0.11101756244897842, cm=-0.00849933922290802
Genotype [0.008504432033557868, 0.43195053541608375, 0.12990164517257294, -0.8971335591127665, 0.2599139376840727, -0.022821254936933447, 0.07095860874042241, -0.003616659605635549, 0.00256142082616438, 7.688631478371599, 10.374883049880477]:
  Angle -10: cl=-0.5591575503349304, cd=0.22135530412197113, cm=-0.1835889369249344
  Angle -9: cl=-0.5912504196166992, cd=0.1908663958311081, cm=-0.17834068834781647
  Angle -8: cl=-0.624626636505127, cd=0.158824622631073, cm=-0.17257924377918243
