Experiment: Combination_Experiment_412
Generation: 93
Timestamp: 20231226_150047

Genotypes and their Fitness Values:
[0.008518647621296204, 0.4588969741748736, 0.11, -0.9, 0.2599562404329676, -0.02294781710032046, 0.051643354139065976, -0.006, 0.00250151153932594, 7.036650435586547, 10.41253271517629] - Fitness: -0.8947072991319719
[0.0126, 0.45511302000063164, 0.12997512555786433, -0.8862601015771693, 0.25994764027123096, -0.02291936854598433, 0.05054690821762019, -0.0030181226424656517, 0.0025052961089557747, 7.026193226999108, 10.001932175803391] - Fitness: -0.4407463217675209
[0.008537202843792285, 0.46, 0.12997322463990515, -0.8744986718078226, 0.259961804436519, -0.022998109741571474, 0.05006707245135311, -0.00302074227387664, 0.0025140952497995227, 7.0264743368339735, 10.00005886853465] - Fitness: 0.2750563001537067
[0.008502405133663333, 0.457976086405952, 0.13, -0.9, 0.2599853535147432, -0.022932219681808176, 0.057710296473972134, -0.003, 0.0025099080163674585, 7.00436378846534, 10.014997784410815] - Fitness: 0.2775533065974925
[0.008507071198834221, 0.4593318168220289, 0.12997597896329977, -0.8909138579950803, 0.2599868729478783, -0.022975360113806263, 0.05, -0.003005803415377015, 0.0025073990059671747, 7.014613862543537, 10.016082979238751] - Fitness: 0.2819731288403526
[0.008507360508956691, 0.4571520666769728, 0.12998983286843932, -0.8749152430179005, 0.2599661110749728, -0.02296452460012027, 0.051938553421170715, -0.003020030521578423, 0.0025091584440330725, 7.00775559567594, 10.001266787231163] - Fitness: 0.27794665901175747
[0.008516868669433067, 0.41, 0.12997491298282252, -0.8971171969777482, 0.2599888754632082, -0.02297832086184794, 0.05, -0.0030238441857267403, 0.002514806565702721, 7.0240742528120705, 10.007702839741512] - Fitness: 0.1647572824352753
[0.008513547072847173, 0.45898474517764837, 0.13, -0.8963153890794426, 0.2599852407108733, -0.023, 0.05945427298745455, -0.003, 0.002508339243701543, 7.005051939957654, 10.0] - Fitness: 0.28148168944957086
[0.008500190097038238, 0.459769817362373, 0.12996055907637627, -0.9, 0.259987076673005, -0.022946994502095572, 0.05069866477745972, -0.0030118610959852217, 0.0025034808270063837, 7.023515500881579, 11.12627931618694] - Fitness: 0.15845215752605515
[0.008501392075426184, 0.454810867500668, 0.1299899037853493, -0.8744084765509427, 0.25999869820834876, -0.022969604952426764, 0.050024092285260086, -0.0030286358777937197, 0.0025111037964441465, 7.004638623609877, 10.001352405653] - Fitness: 0.2783671773517788
[0.008516356539008748, 0.45966242743195057, 0.12997465057864407, -0.8894578424915297, 0.259987705431219, -0.02297905901983503, 0.05019130453124339, -0.003023772157112604, 0.0025168104424861453, 7.0214729169712395, 10.013091975526933] - Fitness: 0.2768591962801507
[0.008523709951701965, 0.45405560149296453, 0.13, -0.8981529144834872, 0.25994482258416557, -0.022950349229354215, 0.05061473432463062, -0.003044358088823982, 0.002513102229630439, 8.917922283685598, 10.013128916687055] - Fitness: 0.16972223950650342
[0.008513252847556054, 0.4548392955429993, 0.12997369038466294, -0.8902335496361704, 0.2599730246336083, -0.02295342339227681, 0.051453913624221886, -0.003, 0.0025002977431446334, 8.012725592986419, 10.013974722681512] - Fitness: 0.23502715229656468
[0.008510501991263795, 0.4573577236629591, 0.1299763995809121, -0.8737402035620605, 0.2599414585028248, -0.02293194464955695, 0.051045818944898264, -0.0030197113909832133, 0.0025120784943194535, 7.028592469165273, 10.001593443450473] - Fitness: 0.2732557933868046
[0.008505280736663312, 0.4594025785578159, 0.12998718527603498, -0.8764636620451224, 0.2599896462769565, -0.015, 0.050128298916167054, -0.003010028232943442, 0.002507614054272052, 7.0031189432553465, 10.002397043478675] - Fitness: -0.35444641025737667
[0.008516636104634923, 0.4595174775676421, 0.1299700430027686, -0.882341218279151, 0.25998362709350636, -0.022957525246630795, 0.05090642760822046, -0.003012805897502344, 0.002503079588896688, 7.027474911099829, 10.01369969798817] - Fitness: 0.2768192546141861
[0.00850887913012264, 0.45526856169416735, 0.12998727256097636, -0.8857041038700691, 0.2, -0.022951822365429482, 0.2, -0.00304354881796481, 0.0025168720257134018, 7.0, 10.001142325954342] - Fitness: -1.5733337967786798
[0.008505942332974005, 0.46, 0.12998063571747528, -0.8933992811142116, 0.25995089724288584, -0.022960691710357833, 0.0503554593072192, -0.006, 0.002503337118553764, 7.01751431073111, 10.012850512054207] - Fitness: -0.18393291723715122
[0.008521271307690322, 0.4568862302313455, 0.1299941719427769, -0.8798078555106079, 0.2599941581793567, -0.022964841602118997, 0.05017713085219393, -0.003000196589416695, 0.002516221981554444, 7.0663482953007435, 10.001710996344796] - Fitness: 0.27718424504827704
[0.0126, 0.4560630862398737, 0.12998454260926184, -0.8878876890266577, 0.2598966901886064, -0.02288049488304671, 0.050628839318535485, -0.003, 0.002501028522859239, 7.026178780034094, 10.002460385819807] - Fitness: -0.44217300514546154
[0.008504247907225357, 0.4562794801125182, 0.12997814623629106, -0.8757264835159687, 0.25999361702592455, -0.023, 0.05015136164030333, -0.003, 0.005, 7.983931276809826, 10.109270415959577] - Fitness: -0.05435156967955463
[0.0085070600937125, 0.457838147687176, 0.1299796042038896, -0.8970742260786038, 0.2599400177562905, -0.022910707504366794, 0.052464859952703786, -0.003, 0.0025107314747873665, 7.029521652886016, 10.001238435698157] - Fitness: 0.2764621622549239
[0.008505178983984587, 0.4596670235134659, 0.1299722322616968, -0.8863433995595245, 0.25996603534459356, -0.022923275226816753, 0.05, -0.003015564046060878, 0.002515162581185457, 7.023245041865322, 10.001687573227388] - Fitness: 0.27667691079018547
[0.008502405133663333, 0.457976086405952, 0.13, -0.8894379680207476, 0.2599853535147432, -0.022932219681808176, 0.057710296473972134, -0.003, 0.0025099080163674585, 7.00436378846534, 10.014997784410815] - Fitness: 0.27686437841989636
[0.0085, 0.45550576825885475, 0.12999089455093302, -0.8977143576031589, 0.25995066116651355, -0.023, 0.05210852401684262, -0.0030518446229868866, 0.0025110152964863256, 7.008496084720967, 10.00221583363402] - Fitness: 0.27693387432216426
[0.008520668335393625, 0.4595057693323056, 0.1299735820676768, -0.890991092056257, 0.26, -0.02296939822803682, 0.05060595239471561, -0.0030170085800526212, 0.0025025420107721392, 7.0328377821044805, 10.013600392500365] - Fitness: 0.2773988943162244
[0.0085, 0.4564176188611184, 0.1299699028859013, -0.8853714253938142, 0.2599962542784182, -0.022964963767973506, 0.05051054246829944, -0.003029875568684025, 0.0025135111881109304, 7.025143354942224, 10.001455989316558] - Fitness: 0.2775389916170403
[0.008502405133663333, 0.457976086405952, 0.13, -0.9, 0.2599853535147432, -0.022932219681808176, 0.057710296473972134, -0.003, 0.0025099080163674585, 7.00436378846534, 10.014997784410815] - Fitness: 0.2775533065974925
[0.008505194346487702, 0.45966510716773235, 0.1299742177506829, -0.8988928264443242, 0.259985017633715, -0.02297247572853969, 0.053476122423517285, -0.0030212521812697057, 0.0025191069622454948, 7.0146911640036205, 10.01260896383727] - Fitness: 0.27760610437578687
[0.008528911177598025, 0.46, 0.12997548135381606, -0.892253540862373, 0.2599922308973588, -0.02297737615684574, 0.05004589339688363, -0.0030094599185366434, 0.0025118973226473528, 7.020660933416932, 10.01315602049746] - Fitness: 0.2776428328289131
[0.008520894112408224, 0.45971162570199214, 0.12997395060789632, -0.8909999110723767, 0.2599841783087249, -0.022951083974789843, 0.05148086582230727, -0.003, 0.0025030068926756837, 7.03317826688295, 10.013416775429477] - Fitness: 0.277719226673285
[0.008518075264175671, 0.4593897573931584, 0.1299936489534492, -0.9, 0.2599664151556968, -0.022960907962725416, 0.050072303526715545, -0.003, 0.002520525153698326, 7.047026049573625, 10.015866983046465] - Fitness: 0.2780195929585842
[0.008500620839884697, 0.4599923034443363, 0.12998286236516016, -0.8797426397103795, 0.25992852397639415, -0.022901722067655658, 0.050600362112214976, -0.003, 0.0025024325699632907, 7.028746122920791, 10.002895937961103] - Fitness: 0.27811407108862707
[0.008525925007851383, 0.45969015613838915, 0.12997270798275434, -0.8944363270721055, 0.2599562053850749, -0.0229511901341276, 0.051230162104950114, -0.003, 0.0025030745877632006, 7.0, 10.011121630525553] - Fitness: 0.27815756215577714
[0.008516788628736399, 0.45907709313203415, 0.13, -0.8818158802321449, 0.25996396917038983, -0.022956155666427454, 0.05, -0.003, 0.0025149078071195923, 7.051997593515967, 10.005163954669001] - Fitness: 0.2783962465111509
[0.0085, 0.46, 0.1299974271315779, -0.895943846318058, 0.26, -0.023, 0.05189810935691502, -0.0030613471870592785, 0.002502743872251192, 7.008226720745132, 10.011235875174476] - Fitness: 0.2784970313461489
[0.008515650371147444, 0.4551717935482519, 0.1299767940329477, -0.8900679220564595, 0.25996185600474203, -0.022959263666288168, 0.05031032077459943, -0.003, 0.002500853820403979, 7.008148838705479, 10.013828602991557] - Fitness: 0.2786639969132947
[0.0085, 0.4594345769151772, 0.12996344143087468, -0.8801359875007058, 0.2599869463612346, -0.022961745814583306, 0.05087104273168111, -0.0030207836993629005, 0.0025034032921264333, 7.024707573698273, 10.012802736234828] - Fitness: 0.27876405533511067
[0.00852047052571188, 0.45930411644729796, 0.12997375997145072, -0.8913114944354579, 0.25998457802290925, -0.022974261731639724, 0.050303023791243365, -0.003003123944166966, 0.002502986079666231, 7.034585822561718, 10.016459224052612] - Fitness: 0.27922834305802574
[0.008503266054071224, 0.45632679127581616, 0.12996248359039758, -0.8456867389697699, 0.2599856308764042, -0.023, 0.05025316591694856, -0.0030126537203098965, 0.0025, 7.025230240272402, 10.012601820615988] - Fitness: 0.2792553562008459
[0.008515229333474178, 0.45929830971685603, 0.12997613572472708, -0.8914943381504441, 0.25999028422786563, -0.023, 0.05023612270630989, -0.0030327037058920123, 0.0025012731618125066, 7.0090968690370055, 10.01374073588525] - Fitness: 0.2794821479626595
[0.008519908111607221, 0.45736582697407274, 0.12999052679497883, -0.8871050836783753, 0.2599867518516124, -0.022992225112069675, 0.05015249686001639, -0.0030144188134971777, 0.0025165208863810683, 7.0204461819031145, 10.0015097357061] - Fitness: 0.2796094784275349
[0.00852229211521197, 0.4599828285356945, 0.12995989252488582, -0.9, 0.259991802863119, -0.022973144419267816, 0.05045107593865761, -0.0030039128803830187, 0.002502961422028077, 7.028666529794087, 10.004880219112286] - Fitness: 0.28049419411059795
[0.008505608129747712, 0.45955228086091543, 0.12996038092143433, -0.885842719708043, 0.259986832623947, -0.02295534539466121, 0.0507615179796444, -0.0030015608621055336, 0.0025030773598797964, 7.020944229561645, 10.012780613942327] - Fitness: 0.280619871357304
[0.00852048290132754, 0.45946173014947783, 0.12997259333476258, -0.8911206916724665, 0.25998511003701696, -0.022981650184815867, 0.05078327663106159, -0.0030014152697700244, 0.002502343590574444, 7.028401411580246, 10.008038267155591] - Fitness: 0.280974930527238
[0.008522879102590886, 0.45929739429107447, 0.12997606146183122, -0.8909983398401655, 0.2599907910301178, -0.022984169408214496, 0.05016963222395496, -0.003, 0.002501411286359, 7.026236121973253, 10.013601820626896] - Fitness: 0.28105639522308096
[0.00850986770394641, 0.45903240874615103, 0.12998987523442418, -0.8801150704595692, 0.2599631216653852, -0.023, 0.05, -0.003018548929646741, 0.0025149371943332015, 7.008935797890665, 10.002340152115051] - Fitness: 0.28166580066175534
[0.008520476945032041, 0.45930155114936605, 0.12997563892275932, -0.8892945793050582, 0.25998830515374727, -0.022978961908449926, 0.05017286340629458, -0.003, 0.002501403446321048, 7.027244089068862, 10.002473587194443] - Fitness: 0.2820775570525687
[0.008505945579728313, 0.454727476964119, 0.1299956106951909, -0.8982507059350057, 0.25999151933765463, -0.022977740521214905, 0.050484134295685025, -0.0030042514312162683, 0.0025022671286481475, 7.026623767756727, 10.005332689596877] - Fitness: 0.2826524753041192
[0.008514093902577232, 0.45911295514047057, 0.12997280764262006, -0.8937880080771473, 0.25998616571463606, -0.022976255858255627, 0.05001019549700908, -0.003, 0.0025063371042285234, 7.0, 10.010412554823162] - Fitness: 0.2829216222302578

Detailed Results for Each Genotype:
Genotype [0.008518647621296204, 0.4588969741748736, 0.11, -0.9, 0.2599562404329676, -0.02294781710032046, 0.051643354139065976, -0.006, 0.00250151153932594, 7.036650435586547, 10.41253271517629]:
  Angle -10: cl=-0.6293088793754578, cd=0.1860588937997818, cm=-0.16942299902439117
  Angle -9: cl=-0.6713702082633972, cd=0.16079851984977722, cm=-0.16196350753307343
  Angle -8: cl=-0.7139182686805725, cd=0.13515476882457733, cm=-0.1545623391866684
  Angle -7: cl=-0.7033066749572754, cd=0.119806669652462, cm=-0.1436634510755539
  Angle -6: cl=-0.5930041074752808, cd=0.10250476002693176, cm=-0.1339149922132492
  Angle -5: cl=-0.4997982978820801, cd=0.09111979603767395, cm=-0.11218233406543732
  Angle -4: cl=-0.4163705110549927, cd=0.0842105969786644, cm=-0.08744688332080841
  Angle -3: cl=-0.33553433418273926, cd=0.07982635498046875, cm=-0.06270523369312286
  Angle -2: cl=-0.261515736579895, cd=0.08493862301111221, cm=-0.04712887108325958
  Angle -1: cl=-0.21837952733039856, cd=0.0917716771364212, cm=-0.028525128960609436
  Angle 0: cl=-0.1702895611524582, cd=0.09981973469257355, cm=-0.008936569094657898
  Angle 1: cl=-0.11893104016780853, cd=0.10598613321781158, cm=0.008157223463058472
  Angle 2: cl=-0.01012149266898632, cd=0.10429628938436508, cm=0.014977887272834778
  Angle 3: cl=0.0950346514582634, cd=0.10451504588127136, cm=0.017500296235084534
  Angle 4: cl=0.1725500226020813, cd=0.10619685053825378, cm=0.01430867612361908
  Angle 5: cl=0.254869669675827, cd=0.1083255335688591, cm=0.009258762001991272
  Angle 6: cl=0.3438971936702728, cd=0.11023300141096115, cm=0.004207432270050049
  Angle 7: cl=0.4314805269241333, cd=0.11199596524238586, cm=-0.0007067620754241943
  Angle 8: cl=0.5401008129119873, cd=0.11148814857006073, cm=-0.013012126088142395
  Angle 9: cl=0.658480167388916, cd=0.10905485600233078, cm=-0.03345485031604767
  Angle 10: cl=0.7731542587280273, cd=0.10805366188287735, cm=-0.054529353976249695
Genotype [0.0126, 0.45511302000063164, 0.12997512555786433, -0.8862601015771693, 0.25994764027123096, -0.02291936854598433, 0.05054690821762019, -0.0030181226424656517, 0.0025052961089557747, 7.026193226999108, 10.001932175803391]:
  Angle -10: cl=-0.544285237789154, cd=0.20644503831863403, cm=-0.18272237479686737
  Angle -9: cl=-0.5764244198799133, cd=0.17515185475349426, cm=-0.1778772920370102
  Angle -8: cl=-0.6045833826065063, cd=0.14649184048175812, cm=-0.17138104140758514
  Angle -7: cl=-0.6297407150268555, cd=0.1228620707988739, cm=-0.16038335859775543
  Angle -6: cl=-0.6362948417663574, cd=0.10988937318325043, cm=-0.14725516736507416
  Angle -5: cl=-0.5437955260276794, cd=0.10230932384729385, cm=-0.13178889453411102
  Angle -4: cl=-0.4560285210609436, cd=0.09464696049690247, cm=-0.10947947204113007
  Angle -3: cl=-0.37064123153686523, cd=0.08684343844652176, cm=-0.08583490550518036
  Angle -2: cl=-0.29959627985954285, cd=0.08060083538293839, cm=-0.059180840849876404
  Angle -1: cl=-0.2455485761165619, cd=0.07922033965587616, cm=-0.032720670104026794
  Angle 0: cl=-0.18568682670593262, cd=0.08722168207168579, cm=-0.016189202666282654
  Angle 1: cl=-0.11320698261260986, cd=0.09466536343097687, cm=-0.0006647706031799316
  Angle 2: cl=0.026055332273244858, cd=0.09391216933727264, cm=0.00894300639629364
  Angle 3: cl=0.18117380142211914, cd=0.09186772257089615, cm=0.015039101243019104
  Angle 4: cl=0.2715781331062317, cd=0.09709450602531433, cm=0.020233139395713806
  Angle 5: cl=0.37017396092414856, cd=0.10092972964048386, cm=0.019346624612808228
  Angle 6: cl=0.46651139855384827, cd=0.1024518609046936, cm=0.013543233275413513
  Angle 7: cl=0.5652939677238464, cd=0.10377269983291626, cm=0.007989674806594849
  Angle 8: cl=0.6599361300468445, cd=0.10559435188770294, cm=0.0009789317846298218
  Angle 9: cl=0.7702580094337463, cd=0.10700929909944534, cm=-0.01735498011112213
  Angle 10: cl=0.8831358551979065, cd=0.10647974163293839, cm=-0.03827290236949921
Genotype [0.008537202843792285, 0.46, 0.12997322463990515, -0.8744986718078226, 0.259961804436519, -0.022998109741571474, 0.05006707245135311, -0.00302074227387664, 0.0025140952497995227, 7.0264743368339735, 10.00005886853465]:
  Angle -10: cl=-0.5668786764144897, cd=0.23478908836841583, cm=-0.19027207791805267
  Angle -9: cl=-0.593431293964386, cd=0.2019766867160797, cm=-0.18628711998462677
  Angle -8: cl=-0.6162508726119995, cd=0.1671607494354248, cm=-0.1853032261133194
  Angle -7: cl=-0.654873251914978, cd=0.13191287219524384, cm=-0.18116198480129242
  Angle -6: cl=-0.6070634722709656, cd=0.11733967065811157, cm=-0.16659657657146454
  Angle -5: cl=-0.500188410282135, cd=0.1048392727971077, cm=-0.1530555635690689
  Angle -4: cl=-0.40628939867019653, cd=0.09940177947282791, cm=-0.1402198225259781
  Angle -3: cl=-0.3048485815525055, cd=0.09371877461671829, cm=-0.1268407553434372
  Angle -2: cl=-0.22234338521957397, cd=0.0884515568614006, cm=-0.10595835745334625
  Angle -1: cl=-0.1613362729549408, cd=0.08368463069200516, cm=-0.07677312195301056
  Angle 0: cl=-0.08835501223802567, cd=0.08278051763772964, cm=-0.04883415997028351
  Angle 1: cl=-0.0048647355288267136, cd=0.08299052715301514, cm=-0.026339277625083923
  Angle 2: cl=0.07951612025499344, cd=0.08402440696954727, cm=-0.01139099895954132
  Angle 3: cl=0.30958065390586853, cd=0.06905724108219147, cm=-0.0063279420137405396
  Angle 4: cl=0.4286592900753021, cd=0.07159114629030228, cm=-0.00017789006233215332
  Angle 5: cl=0.5273447632789612, cd=0.0798550546169281, cm=0.0032552629709243774
  Angle 6: cl=0.6184767484664917, cd=0.0871717557311058, cm=0.005683287978172302
  Angle 7: cl=0.7083084583282471, cd=0.09376959502696991, cm=0.008156746625900269
  Angle 8: cl=0.798348605632782, cd=0.10031967610120773, cm=0.009769216179847717
  Angle 9: cl=0.8934879899024963, cd=0.10519682615995407, cm=0.0038107633590698242
  Angle 10: cl=0.9931586980819702, cd=0.11098231375217438, cm=-0.004071429371833801
Genotype [0.008502405133663333, 0.457976086405952, 0.13, -0.9, 0.2599853535147432, -0.022932219681808176, 0.057710296473972134, -0.003, 0.0025099080163674585, 7.00436378846534, 10.014997784410815]:
  Angle -10: cl=-0.5661616325378418, cd=0.23525869846343994, cm=-0.1903064101934433
  Angle -9: cl=-0.5938085913658142, cd=0.20269498229026794, cm=-0.1858825534582138
  Angle -8: cl=-0.6166359782218933, cd=0.1678313910961151, cm=-0.1847689002752304
  Angle -7: cl=-0.6538166403770447, cd=0.13269130885601044, cm=-0.18091274797916412
  Angle -6: cl=-0.6078946590423584, cd=0.11777937412261963, cm=-0.16645447909832
  Angle -5: cl=-0.5013138651847839, cd=0.10519351065158844, cm=-0.1528516560792923
  Angle -4: cl=-0.40477728843688965, cd=0.09930457919836044, cm=-0.140328511595726
  Angle -3: cl=-0.30322399735450745, cd=0.09358765929937363, cm=-0.12691576778888702
  Angle -2: cl=-0.2201654314994812, cd=0.08828854560852051, cm=-0.10628260672092438
  Angle -1: cl=-0.15891723334789276, cd=0.08354067802429199, cm=-0.07723654806613922
  Angle 0: cl=-0.08701398968696594, cd=0.08269432932138443, cm=-0.04910321533679962
  Angle 1: cl=-0.0035998933017253876, cd=0.08283823728561401, cm=-0.0264119952917099
  Angle 2: cl=0.08066549152135849, cd=0.08389203250408173, cm=-0.011360391974449158
  Angle 3: cl=0.3106362521648407, cd=0.06895501911640167, cm=-0.006150528788566589
  Angle 4: cl=0.4284309148788452, cd=0.07153262943029404, cm=9.641051292419434e-05
  Angle 5: cl=0.5269765257835388, cd=0.07979414612054825, cm=0.0035147815942764282
  Angle 6: cl=0.6175640225410461, cd=0.0871889516711235, cm=0.006015703082084656
  Angle 7: cl=0.7073980569839478, cd=0.0937865599989891, cm=0.008480638265609741
  Angle 8: cl=0.7974268794059753, cd=0.1003461554646492, cm=0.010149955749511719
  Angle 9: cl=0.8922867774963379, cd=0.10509656369686127, cm=0.00398196280002594
  Angle 10: cl=0.9922924637794495, cd=0.11041020601987839, cm=-0.0039413124322891235
Genotype [0.008507071198834221, 0.4593318168220289, 0.12997597896329977, -0.8909138579950803, 0.2599868729478783, -0.022975360113806263, 0.05, -0.003005803415377015, 0.0025073990059671747, 7.014613862543537, 10.016082979238751]:
  Angle -10: cl=-0.5668686032295227, cd=0.23522984981536865, cm=-0.19048987329006195
  Angle -9: cl=-0.5937310457229614, cd=0.2025558352470398, cm=-0.18621264398097992
  Angle -8: cl=-0.6165410876274109, cd=0.16774313151836395, cm=-0.18524710834026337
  Angle -7: cl=-0.6546135544776917, cd=0.13246138393878937, cm=-0.18132324516773224
  Angle -6: cl=-0.6073908805847168, cd=0.11775143444538116, cm=-0.1668270081281662
  Angle -5: cl=-0.5005577802658081, cd=0.10507025569677353, cm=-0.1531853824853897
  Angle -4: cl=-0.40561941266059875, cd=0.099423848092556, cm=-0.14050428569316864
  Angle -3: cl=-0.3042263090610504, cd=0.0937618836760521, cm=-0.12715904414653778
  Angle -2: cl=-0.22133436799049377, cd=0.0884883925318718, cm=-0.10641776025295258
  Angle -1: cl=-0.15975211560726166, cd=0.08370735496282578, cm=-0.07746066153049469
  Angle 0: cl=-0.08682822436094284, cd=0.08281458169221878, cm=-0.04949526488780975
  Angle 1: cl=-0.0033923890441656113, cd=0.08295563608407974, cm=-0.026851847767829895
  Angle 2: cl=0.08117341250181198, cd=0.08403397351503372, cm=-0.011897578835487366
  Angle 3: cl=0.3097934126853943, cd=0.06923617422580719, cm=-0.006722167134284973
  Angle 4: cl=0.4302988350391388, cd=0.07136751711368561, cm=-0.0003133714199066162
  Angle 5: cl=0.5289309620857239, cd=0.07962407916784286, cm=0.003114834427833557
  Angle 6: cl=0.6195831894874573, cd=0.08699403703212738, cm=0.005605071783065796
  Angle 7: cl=0.7094148397445679, cd=0.09359189867973328, cm=0.008078590035438538
  Angle 8: cl=0.7994030117988586, cd=0.10012758523225784, cm=0.00967782735824585
  Angle 9: cl=0.8944647312164307, cd=0.10510096698999405, cm=0.004020139575004578
  Angle 10: cl=0.9942968487739563, cd=0.11074355989694595, cm=-0.003872588276863098
Genotype [0.008507360508956691, 0.4571520666769728, 0.12998983286843932, -0.8749152430179005, 0.2599661110749728, -0.02296452460012027, 0.051938553421170715, -0.003020030521578423, 0.0025091584440330725, 7.00775559567594, 10.001266787231163]:
  Angle -10: cl=-0.5658872127532959, cd=0.2351153939962387, cm=-0.1902480274438858
  Angle -9: cl=-0.5941266417503357, cd=0.20266129076480865, cm=-0.18565542995929718
  Angle -8: cl=-0.6169587969779968, cd=0.16777187585830688, cm=-0.184470072388649
  Angle -7: cl=-0.6538780331611633, cd=0.13262821733951569, cm=-0.18067605793476105
  Angle -6: cl=-0.607653796672821, cd=0.11777277290821075, cm=-0.16621939837932587
  Angle -5: cl=-0.5012332797050476, cd=0.10526520758867264, cm=-0.15269525349140167
  Angle -4: cl=-0.40351295471191406, cd=0.09919083118438721, cm=-0.14024434983730316
  Angle -3: cl=-0.30182474851608276, cd=0.09342201054096222, cm=-0.1267605572938919
  Angle -2: cl=-0.21881817281246185, cd=0.08811579644680023, cm=-0.10615931451320648
  Angle -1: cl=-0.15791256725788116, cd=0.0834713950753212, cm=-0.07695089280605316
  Angle 0: cl=-0.08657225221395493, cd=0.08264660835266113, cm=-0.04872862994670868
  Angle 1: cl=-0.0033222734928131104, cd=0.08279868215322495, cm=-0.026009634137153625
  Angle 2: cl=0.08071648329496384, cd=0.08383078873157501, cm=-0.010933741927146912
  Angle 3: cl=0.3121749460697174, cd=0.06873170286417007, cm=-0.005790099501609802
  Angle 4: cl=0.4275391399860382, cd=0.07169511169195175, cm=0.0003480762243270874
  Angle 5: cl=0.5260581970214844, cd=0.07997225970029831, cm=0.0037586092948913574
  Angle 6: cl=0.6166567802429199, cd=0.08738293498754501, cm=0.006290555000305176
  Angle 7: cl=0.7065011858940125, cd=0.09397955983877182, cm=0.008717656135559082
  Angle 8: cl=0.79658442735672, cd=0.10055318474769592, cm=0.010436415672302246
  Angle 9: cl=0.891321063041687, cd=0.10513628274202347, cm=0.0038804858922958374
  Angle 10: cl=0.9912950396537781, cd=0.11019183695316315, cm=-0.004064694046974182
