Experiment: Combination_Experiment_420
Generation: 77
Timestamp: 20231226_170629

Genotypes and their Fitness Values:
[0.008597752097154535, 0.4472343819250174, 0.1292185412851545, -0.7118190638310868, 0.2591235148088694, -0.022776438442192314, 0.0810507539937984, -0.0031489424869208453, 0.0030355919008827016, 7.702979632051514, 10.175365010529545] - Fitness: 0.025496371875133105
[0.008705724733974666, 0.45215567872080126, 0.12905340220278155, -0.8887332161540321, 0.258729890585723, -0.02288727401976803, 0.0668600531300998, -0.003077458184703024, 0.0025858537977609965, 7.0, 10.211698351480257] - Fitness: 0.12055561943120172
[0.008688160428271747, 0.45492685321181275, 0.11689737366559855, -0.7, 0.25988977392825874, -0.022604326726388853, 0.06258364352883652, -0.00310017576105487, 0.005, 7.711155178630418, 10.194299124455712] - Fitness: -0.6165854067874154
[0.008542392617280088, 0.4500248984247236, 0.129814003025033, -0.788821417385632, 0.25953819161411024, -0.02279863129531793, 0.15442419840506075, -0.003062096463666136, 0.0027125326191387166, 7.607858063297898, 10.194177280348102] - Fitness: 0.09097828762512684
[0.008765304737839999, 0.446852040000392, 0.11, -0.8832088957788362, 0.2597172413402215, -0.022923458029656372, 0.051535970857843116, -0.0030256943942506853, 0.002849175740520839, 7.727541731896132, 10.220502545384463] - Fitness: -0.5926158314812661
[0.008531751152167935, 0.4464842423759402, 0.12632949648011577, -0.8890432926174106, 0.25993591156214274, -0.023, 0.06377960479748614, -0.0031324609776392964, 0.0026100869236013995, 7.838699285982247, 10.203139420187645] - Fitness: 0.02760353172162534
[0.008546425537972517, 0.4528696708534939, 0.12946252778924638, -0.798064924035964, 0.25945007846290946, -0.022844588960872332, 0.056177763292541455, -0.006, 0.002572781176561031, 7.694990700978029, 10.1881320032164] - Fitness: -0.284894614895385
[0.008545242900217256, 0.451049005399989, 0.12926325785941975, -0.8788423278087104, 0.2597772839149495, -0.022925479048476683, 0.06719728325989827, -0.0030927845875661497, 0.0028125673848650567, 7.639463024644278, 10.2149666864968] - Fitness: 0.12339223936174386
[0.008579479897967961, 0.44921475768018126, 0.12962981041605945, -0.8801397828138939, 0.25997110718098376, -0.02279528065658236, 0.055914650694920125, -0.003090808526583932, 0.002527437875480652, 7.691750802281299, 12.221685801940804] - Fitness: -0.06305363923713196
[0.008589748796467216, 0.45285408110716485, 0.13, -0.8926361610227531, 0.259008019016255, -0.02292816565669411, 0.06311807047773998, -0.003, 0.002666483027340431, 7.520775669752107, 10.149255316364007] - Fitness: 0.1787947968670741
[0.008651142590588627, 0.453141112434713, 0.13, -0.892162509321364, 0.2591691515080173, -0.022867117904108742, 0.06665001659026636, -0.003053804335909104, 0.0025718039678648244, 7.521728966058342, 10.226599640748635] - Fitness: 0.15488028637070145
[0.0126, 0.44687869684991455, 0.12949165527432877, -0.7979436559497188, 0.2594952504533508, -0.022828015311901175, 0.062259820429832115, -0.0031574212109407094, 0.0025093167207600685, 7.698141092853794, 10.176453580725305] - Fitness: -0.5483505645942661
[0.0085, 0.46, 0.12949333979297054, -0.8255421795206556, 0.25943778873624557, -0.022824356411331098, 0.05, -0.0032538048785398254, 0.0025019336368058503, 7.638795438285007, 11.319609968989877] - Fitness: 0.018591217302562947
[0.0126, 0.4473223342005054, 0.12991843410690246, -0.857069730087118, 0.25914032533436127, -0.02281096681177255, 0.05, -0.003075448020262327, 0.0027672044747030253, 7.595808285847192, 10.336682299604814] - Fitness: -0.5603436808510726
[0.008521950414979362, 0.446966459150771, 0.11005120374873385, -0.8444857641582979, 0.2597106026252092, -0.02281570495941516, 0.06376229494945972, -0.0031007027340571465, 0.0026649162712310557, 8.197227252522143, 10.223151486815203] - Fitness: -0.5782299569861687
[0.008640621893189922, 0.4497338878978336, 0.13, -0.8156986875550244, 0.25914624361900257, -0.022815772523935105, 0.1508469017183373, -0.0030743380209296515, 0.002719441556855355, 7.769281651538784, 10.0] - Fitness: 0.0828104984983551
[0.00850982102678566, 0.45507926631099516, 0.1291600980197684, -0.8857006586447611, 0.2, -0.022919461831983536, 0.052868791676491826, -0.0031309033779971895, 0.0026563495041882334, 7.933645340753854, 10.209262854707232] - Fitness: -1.523810835254289
[0.008721929841959613, 0.4469622634828411, 0.12955950314748826, -0.8878713938725196, 0.2597225160139473, -0.02294170182263703, 0.05737995005969167, -0.00300611165610587, 0.002911400918655063, 8.888672133395326, 10.216843306133873] - Fitness: 0.03578730063004474
[0.0085, 0.44590761719446564, 0.12986864856877492, -0.8312087440472191, 0.2598696368701516, -0.015, 0.06758531224256609, -0.00312905798843219, 0.0025713297023810837, 7.688579936721683, 10.119031211829375] - Fitness: -0.43717591556393043
[0.008636660093919599, 0.41, 0.13, -0.8332067949929797, 0.2586619409002307, -0.02286959172954335, 0.1588380933046628, -0.0030725686565944506, 0.002605746928364623, 7.555710714282873, 10.400594364526876] - Fitness: -0.043045567978800416
[0.008565991062484188, 0.41, 0.12989987288873467, -0.7724547834233064, 0.25970718580877733, -0.022720307909716988, 0.2, -0.003060522407540969, 0.00256694171716694, 7.637925427065318, 10.268379572578288] - Fitness: -0.03432551844993211
[0.008564072937470673, 0.4484708765405538, 0.1294764191133938, -0.7676870513755716, 0.2594398901871594, -0.022818158184635954, 0.06494723657157099, -0.003072081939732066, 0.0025428781117131467, 7.456404134653353, 10.265503953682265] - Fitness: 0.14020963635939973
[0.008535277514745311, 0.4542559000579633, 0.1291260672515902, -0.8888981425952672, 0.25950932928893283, -0.022931338422648842, 0.06758047137432738, -0.0030640174509632364, 0.0025, 7.987159410871875, 10.215418498346494] - Fitness: 0.14113751075537181
[0.008573893404586431, 0.45158016531972867, 0.12976893204481915, -0.8954173394755035, 0.2586520039270769, -0.02279471101058447, 0.06978693854315339, -0.003081562281140605, 0.0025, 7.542378668944586, 10.215914389469763] - Fitness: 0.14349836004625532
[0.008565542534805765, 0.45598145976966903, 0.13, -0.856882404179131, 0.25906370436437215, -0.02273206976834117, 0.05157631703213597, -0.0031099074576549884, 0.0027192419347237167, 7.522413220448695, 10.188311155377981] - Fitness: 0.14388341790824127
[0.008561487687141298, 0.4564273569406359, 0.12974366585521288, -0.8481277894786612, 0.26, -0.022564154770578538, 0.05183827587316966, -0.0031029719629716065, 0.0026287559480962035, 7.476943878331816, 10.304564930983] - Fitness: 0.14404898380098008
[0.008565073542421019, 0.452488277421403, 0.12943210854522383, -0.8112400353303688, 0.26, -0.022846795594714142, 0.06086353008270279, -0.0031253749975370506, 0.002578052113706277, 7.72625675960903, 10.16547514009028] - Fitness: 0.14635869268772542
[0.00868293490430436, 0.45146700940142226, 0.1297788057150203, -0.8158760041039578, 0.2597858160014147, -0.02281695981335611, 0.07008597151758204, -0.0030817668901456773, 0.0025268921355690818, 7.61805817768663, 10.108089489017257] - Fitness: 0.14854893256553714
[0.00851533387847275, 0.4447933318038215, 0.1298441464539592, -0.8958924733627466, 0.2598885610572673, -0.022781733177457547, 0.06144374486714543, -0.003, 0.0027339333254936897, 7.80788359427197, 10.261879574140123] - Fitness: 0.1501209981904775
[0.008574676748064454, 0.44474038824002227, 0.12980478752621638, -0.7858005942739386, 0.2592149730890175, -0.023, 0.08480088048957767, -0.003, 0.0025193432344824997, 7.867362659437708, 10.157756491807511] - Fitness: 0.15054738982368618
[0.008528437239693924, 0.46, 0.13, -0.7554125355693948, 0.2599749323273216, -0.022800050972807767, 0.06785441269254988, -0.0030544190748800102, 0.002677489567290148, 7.727198884400025, 10.347238792162097] - Fitness: 0.15064186246404532
[0.00856594632843323, 0.45071330866123666, 0.12969250913709954, -0.8277158339926978, 0.2597923674456184, -0.02283450082246938, 0.06982644568586371, -0.0030995128701179573, 0.0025715680230770695, 7.755824572656931, 10.136542294219357] - Fitness: 0.15143770596502332
[0.00853152806186787, 0.4510297637086366, 0.12993990650277953, -0.9, 0.2599759684642543, -0.022822399216794437, 0.07069216205258144, -0.0030552999287147787, 0.0027251372684693486, 7.73170026051778, 10.275742303962197] - Fitness: 0.15269304115839072
[0.008560145131806012, 0.45354245305580765, 0.12962071179077472, -0.8342698994893251, 0.2597905725448079, -0.02285132482273188, 0.06337134815536795, -0.0030985653804654094, 0.002628308893074128, 7.753802260547134, 10.126453238079957] - Fitness: 0.15389854576184925
[0.008720606814656537, 0.4434632185405607, 0.1299663573144504, -0.8964619342917367, 0.2597546506154921, -0.022858387658418786, 0.052336748786628515, -0.003099398456023457, 0.0026773624857590046, 7.0020654365320105, 10.215875516721944] - Fitness: 0.15449604008072773
[0.008547279925461117, 0.45169992729313124, 0.12974609946464305, -0.7972457428856143, 0.25942853165900953, -0.02281040741102621, 0.05637033445931592, -0.003098120094039374, 0.002555317770422761, 7.620855547668604, 10.189134485278878] - Fitness: 0.15801093190755489
[0.008592543579496655, 0.4546317678953724, 0.12976931745422443, -0.8725589855973093, 0.25945471663622277, -0.022868994805134702, 0.07470958633921604, -0.0030380261457412746, 0.002663812888629328, 7.6162340496987575, 10.121416411765294] - Fitness: 0.15905533007906003
[0.008565114810702944, 0.45266094321309014, 0.12930093412890697, -0.8708003676282183, 0.25985801136103426, -0.022849264803775603, 0.05, -0.003038485844218377, 0.0026632823881828863, 7.684609774516564, 10.136242758296856] - Fitness: 0.161618770285088
[0.008665180723348069, 0.45259772529565373, 0.12990908778212584, -0.883275618881412, 0.25989484890808195, -0.02286910634312583, 0.06220638880220613, -0.003104033022256225, 0.0025419153112917407, 7.680573197890845, 10.125097306284237] - Fitness: 0.16299084834356026
[0.008505349813525812, 0.4428669149193717, 0.12989437085062047, -0.8915917136048117, 0.26, -0.02281965602504189, 0.06243010955830032, -0.00305394788458764, 0.0027250578515740755, 7.395181363380914, 10.301047981381945] - Fitness: 0.16326738808963312
[0.008506257956250438, 0.44533471802361474, 0.12981428417946664, -0.8858152164705054, 0.25973674970257915, -0.02278853490041833, 0.06424934269022455, -0.0031149084763472, 0.0027317091800309356, 7.172978842350894, 10.186892737554208] - Fitness: 0.1662828643350901
[0.008539942598899083, 0.4472882122425965, 0.13, -0.802316845291625, 0.25928246742295885, -0.022856512733126607, 0.06703344852472187, -0.0030346457009841083, 0.0025719656655188218, 7.719526301987375, 10.138828844620964] - Fitness: 0.16819163052097424
[0.008585386581990293, 0.4515166232906391, 0.1297517489455478, -0.8219041916201163, 0.2594206528118271, -0.0228298283303955, 0.06977978042263279, -0.0030419485344818286, 0.0025, 7.623069310249013, 10.129785218851476] - Fitness: 0.16889886990429995
[0.008533045779926243, 0.45237830722809547, 0.12985575392449175, -0.743888583123707, 0.2598851499796403, -0.022791639496105368, 0.06734191269085829, -0.0030649403068958975, 0.0026660794492311007, 7.732521166600614, 10.04088692234257] - Fitness: 0.16896997142442508
[0.00856066962743004, 0.44894307708293435, 0.12980770861283034, -0.9, 0.25951057692958496, -0.02281463347347058, 0.0664167388875545, -0.003020290587444088, 0.0025, 7.64636344207957, 10.163101885293784] - Fitness: 0.17960235787540557
[0.008511120905405593, 0.45959870561298855, 0.1295107250898282, -0.8267025890313361, 0.25964676374712503, -0.02285478001937585, 0.07210362188385189, -0.0030350392535788613, 0.0025087561025909323, 7.707859702608832, 10.144456319113388] - Fitness: 0.18079411892194336
[0.0085, 0.45431548423517154, 0.12917921355379705, -0.9, 0.2597288957167198, -0.022944246960224516, 0.06789732348626626, -0.0031021087521279672, 0.0025954556862495333, 7.107639423098918, 10.209624506934837] - Fitness: 0.18291205138038732
[0.008540588980720359, 0.44897934924187666, 0.1294384534019058, -0.824172624547417, 0.25965874575280373, -0.022829632859383144, 0.05, -0.003073726911786011, 0.0025, 7.032870184381363, 10.260450252633053] - Fitness: 0.1888059847741262
[0.008532269686978369, 0.45748867846134456, 0.12970167086789597, -0.7863799795538771, 0.25999940222790063, -0.02264440916073011, 0.06652728267914029, -0.0031270970802645174, 0.0026733152404511172, 7.0, 10.0] - Fitness: 0.19056302009132486
[0.008555960656703178, 0.4548845685152689, 0.12968700839010242, -0.8565099804086731, 0.26, -0.0228950411437014, 0.06488301758828845, -0.0030350440908736, 0.0025190018058086714, 7.7087031439504, 10.155000515570658] - Fitness: 0.19164254903517447

Detailed Results for Each Genotype:
Genotype [0.008597752097154535, 0.4472343819250174, 0.1292185412851545, -0.7118190638310868, 0.2591235148088694, -0.022776438442192314, 0.0810507539937984, -0.0031489424869208453, 0.0030355919008827016, 7.702979632051514, 10.175365010529545]:
  Angle -10: cl=-0.5573633909225464, cd=0.22608868777751923, cm=-0.1860361546278
  Angle -9: cl=-0.5911170840263367, cd=0.19545088708400726, cm=-0.18119455873966217
  Angle -8: cl=-0.6133968830108643, cd=0.16003301739692688, cm=-0.17912663519382477
  Angle -7: cl=-0.6459161043167114, cd=0.1269504725933075, cm=-0.17135007679462433
  Angle -6: cl=-0.6135825514793396, cd=0.1142355427145958, cm=-0.15815643966197968
  Angle -5: cl=-0.5007174015045166, cd=0.10253041982650757, cm=-0.1459779590368271
  Angle -4: cl=-0.40225234627723694, cd=0.09631385654211044, cm=-0.1324976533651352
  Angle -3: cl=-0.2984478771686554, cd=0.08959203213453293, cm=-0.11760012805461884
  Angle -2: cl=-0.2321886122226715, cd=0.08357605338096619, cm=-0.0911063402891159
  Angle -1: cl=-0.17256560921669006, cd=0.0801100954413414, cm=-0.06131838262081146
  Angle 0: cl=-0.10904334485530853, cd=0.08038017898797989, cm=-0.03305165469646454
  Angle 1: cl=-0.040061116218566895, cd=0.08071795105934143, cm=-0.009024366736412048
  Angle 2: cl=0.041514843702316284, cd=0.08624255657196045, cm=0.0019945353269577026
  Angle 3: cl=0.2752205431461334, cd=0.07449164986610413, cm=0.0037963688373565674
  Angle 4: cl=0.36308184266090393, cd=0.0800773873925209, cm=0.009358108043670654
  Angle 5: cl=0.4579310119152069, cd=0.08671943098306656, cm=0.012932896614074707
  Angle 6: cl=0.5532097220420837, cd=0.09380502253770828, cm=0.015343129634857178
  Angle 7: cl=0.6463055610656738, cd=0.09981878846883774, cm=0.01573897898197174
  Angle 8: cl=0.7379260659217834, cd=0.10294780880212784, cm=0.008487850427627563
  Angle 9: cl=0.8303953409194946, cd=0.10676125437021255, cm=0.00021478533744812012
  Angle 10: cl=0.9291536211967468, cd=0.11136238276958466, cm=-0.008184030652046204
Genotype [0.008705724733974666, 0.45215567872080126, 0.12905340220278155, -0.8887332161540321, 0.258729890585723, -0.02288727401976803, 0.0668600531300998, -0.003077458184703024, 0.0025858537977609965, 7.0, 10.211698351480257]:
  Angle -10: cl=-0.5628681778907776, cd=0.2312956005334854, cm=-0.18839944899082184
  Angle -9: cl=-0.5980914235115051, cd=0.19986364245414734, cm=-0.18284501135349274
  Angle -8: cl=-0.6207021474838257, cd=0.16448234021663666, cm=-0.18076331913471222
  Angle -7: cl=-0.6551392078399658, cd=0.13011012971401215, cm=-0.17548443377017975
  Angle -6: cl=-0.6150385141372681, cd=0.11558092385530472, cm=-0.16119779646396637
  Angle -5: cl=-0.5078158974647522, cd=0.10443374514579773, cm=-0.14866138994693756
  Angle -4: cl=-0.40581196546554565, cd=0.09781862050294876, cm=-0.13645108044147491
  Angle -3: cl=-0.3024688959121704, cd=0.09136781096458435, cm=-0.1219371110200882
  Angle -2: cl=-0.22580641508102417, cd=0.08562338352203369, cm=-0.09885765612125397
  Angle -1: cl=-0.16630971431732178, cd=0.08152924478054047, cm=-0.06956110894680023
  Angle 0: cl=-0.10242561995983124, cd=0.08111695945262909, cm=-0.040312036871910095
  Angle 1: cl=-0.02381911687552929, cd=0.0815986692905426, cm=-0.01739157736301422
  Angle 2: cl=0.05772198736667633, cd=0.08222264051437378, cm=-0.0018053948879241943
  Angle 3: cl=0.29910340905189514, cd=0.06919963657855988, cm=0.0001601874828338623
  Angle 4: cl=0.3901166617870331, cd=0.07470334321260452, cm=0.005327001214027405
  Angle 5: cl=0.48851051926612854, cd=0.08304791152477264, cm=0.00871044397354126
  Angle 6: cl=0.5807470083236694, cd=0.09030341356992722, cm=0.011258825659751892
  Angle 7: cl=0.6715905070304871, cd=0.09688026458024979, cm=0.01327379047870636
  Angle 8: cl=0.7621548771858215, cd=0.10182207077741623, cm=0.010835617780685425
  Angle 9: cl=0.8555668592453003, cd=0.10566338151693344, cm=0.002647772431373596
  Angle 10: cl=0.9555224776268005, cd=0.11026089638471603, cm=-0.005345627665519714
Genotype [0.008688160428271747, 0.45492685321181275, 0.11689737366559855, -0.7, 0.25988977392825874, -0.022604326726388853, 0.06258364352883652, -0.00310017576105487, 0.005, 7.711155178630418, 10.194299124455712]:
  Angle -10: cl=-0.5763898491859436, cd=0.2186814695596695, cm=-0.1822330802679062
  Angle -9: cl=-0.6112924218177795, cd=0.18816551566123962, cm=-0.1778668314218521
  Angle -8: cl=-0.6459097266197205, cd=0.1566413938999176, cm=-0.17192919552326202
  Angle -7: cl=-0.6775694489479065, cd=0.12450156360864639, cm=-0.16497673094272614
  Angle -6: cl=-0.6418520212173462, cd=0.11374128609895706, cm=-0.15194196999073029
  Angle -5: cl=-0.5355274677276611, cd=0.1012144386768341, cm=-0.1395963579416275
  Angle -4: cl=-0.43210259079933167, cd=0.09184122830629349, cm=-0.12520454823970795
  Angle -3: cl=-0.34961384534835815, cd=0.08418746292591095, cm=-0.10202054679393768
  Angle -2: cl=-0.268491268157959, cd=0.07759003341197968, cm=-0.07821594178676605
  Angle -1: cl=-0.20843374729156494, cd=0.074961818754673, cm=-0.04734240472316742
  Angle 0: cl=-0.1592305451631546, cd=0.07903390377759933, cm=-0.0239705890417099
  Angle 1: cl=-0.10353989899158478, cd=0.08746884018182755, cm=-0.006016477942466736
  Angle 2: cl=-0.027434932067990303, cd=0.09291930496692657, cm=0.00618918240070343
  Angle 3: cl=0.17585478723049164, cd=0.08314300328493118, cm=0.009354084730148315
  Angle 4: cl=0.25648432970046997, cd=0.08881698548793793, cm=0.015940606594085693
  Angle 5: cl=0.339219331741333, cd=0.09490655362606049, cm=0.02099493145942688
  Angle 6: cl=0.43076807260513306, cd=0.09998894482851028, cm=0.02382415533065796
  Angle 7: cl=0.5204601883888245, cd=0.10146581381559372, cm=0.017497986555099487
  Angle 8: cl=0.6099213361740112, cd=0.10346418619155884, cm=0.010468468070030212
  Angle 9: cl=0.7007765769958496, cd=0.10708584636449814, cm=0.0020601898431777954
  Angle 10: cl=0.7971645593643188, cd=0.11167868226766586, cm=-0.006791219115257263
Genotype [0.008542392617280088, 0.4500248984247236, 0.129814003025033, -0.788821417385632, 0.25953819161411024, -0.02279863129531793, 0.15442419840506075, -0.003062096463666136, 0.0027125326191387166, 7.607858063297898, 10.194177280348102]:
  Angle -10: cl=-0.5582513809204102, cd=0.2285543531179428, cm=-0.1873401552438736
  Angle -9: cl=-0.5916051268577576, cd=0.19705629348754883, cm=-0.18258310854434967
  Angle -8: cl=-0.6139616966247559, cd=0.1616753190755844, cm=-0.18049176037311554
  Angle -7: cl=-0.647600531578064, cd=0.12828999757766724, cm=-0.1737445443868637
  Angle -6: cl=-0.6124550104141235, cd=0.1145099550485611, cm=-0.15979759395122528
  Angle -5: cl=-0.5029017925262451, cd=0.10320964455604553, cm=-0.14749906957149506
  Angle -4: cl=-0.4059787094593048, cd=0.09756992757320404, cm=-0.13462670147418976
  Angle -3: cl=-0.30199629068374634, cd=0.09086748212575912, cm=-0.11973731219768524
  Angle -2: cl=-0.23105666041374207, cd=0.08502306044101715, cm=-0.09485282003879547
  Angle -1: cl=-0.17139467597007751, cd=0.0810689702630043, cm=-0.06541691720485687
  Angle 0: cl=-0.1063840389251709, cd=0.08095745742321014, cm=-0.03691868484020233
  Angle 1: cl=-0.0311324093490839, cd=0.08135108649730682, cm=-0.01359112560749054
  Angle 2: cl=0.05084485560655594, cd=0.08416887372732162, cm=1.2874603271484375e-05
  Angle 3: cl=0.28978803753852844, cd=0.07169578224420547, cm=0.0018004179000854492
  Angle 4: cl=0.37990880012512207, cd=0.0772307813167572, cm=0.007118672132492065
  Angle 5: cl=0.4772076904773712, cd=0.0848834291100502, cm=0.010526135563850403
  Angle 6: cl=0.5712990760803223, cd=0.09194327890872955, cm=0.012882351875305176
  Angle 7: cl=0.6632959246635437, cd=0.09850642830133438, cm=0.014795646071434021
  Angle 8: cl=0.7544796466827393, cd=0.10238248109817505, cm=0.009422898292541504
  Angle 9: cl=0.8476676344871521, cd=0.10628537833690643, cm=0.001133054494857788
  Angle 10: cl=0.9474855065345764, cd=0.11088435351848602, cm=-0.006920471787452698
Genotype [0.008765304737839999, 0.446852040000392, 0.11, -0.8832088957788362, 0.2597172413402215, -0.022923458029656372, 0.051535970857843116, -0.0030256943942506853, 0.002849175740520839, 7.727541731896132, 10.220502545384463]:
  Angle -10: cl=-0.6105055809020996, cd=0.22741740942001343, cm=-0.18606428802013397
  Angle -9: cl=-0.647493302822113, cd=0.19705241918563843, cm=-0.17835630476474762
  Angle -8: cl=-0.689103901386261, cd=0.16598090529441833, cm=-0.17292802035808563
  Angle -7: cl=-0.7144370079040527, cd=0.13619603216648102, cm=-0.16537834703922272
  Angle -6: cl=-0.6633894443511963, cd=0.1226947233080864, cm=-0.15273995697498322
  Angle -5: cl=-0.5660343766212463, cd=0.10848435014486313, cm=-0.14179547131061554
  Angle -4: cl=-0.4528384208679199, cd=0.09649083018302917, cm=-0.1288747936487198
  Angle -3: cl=-0.32912325859069824, cd=0.08451446145772934, cm=-0.11500726640224457
  Angle -2: cl=-0.24058890342712402, cd=0.07734435051679611, cm=-0.09189720451831818
  Angle -1: cl=-0.17816628515720367, cd=0.07412461191415787, cm=-0.06416909396648407
  Angle 0: cl=-0.12071707844734192, cd=0.0738837718963623, cm=-0.0342489629983902
  Angle 1: cl=-0.06665776669979095, cd=0.07923754304647446, cm=-0.011380508542060852
  Angle 2: cl=-0.002283213660120964, cd=0.08521239459514618, cm=0.0026489347219467163
  Angle 3: cl=0.18312659859657288, cd=0.07714608311653137, cm=0.006850942969322205
  Angle 4: cl=0.28246763348579407, cd=0.08041702955961227, cm=0.013370200991630554
  Angle 5: cl=0.3625248968601227, cd=0.0859977975487709, cm=0.018624767661094666
  Angle 6: cl=0.4446326196193695, cd=0.09164964407682419, cm=0.02201966941356659
  Angle 7: cl=0.529394268989563, cd=0.0980052575469017, cm=0.024236023426055908
  Angle 8: cl=0.6182655692100525, cd=0.10109486430883408, cm=0.017680272459983826
  Angle 9: cl=0.7089323401451111, cd=0.10419869422912598, cm=0.010298922657966614
  Angle 10: cl=0.8036031723022461, cd=0.10817819833755493, cm=0.002266794443130493
Genotype [0.008531751152167935, 0.4464842423759402, 0.12632949648011577, -0.8890432926174106, 0.25993591156214274, -0.023, 0.06377960479748614, -0.0031324609776392964, 0.0026100869236013995, 7.838699285982247, 10.203139420187645]:
  Angle -10: cl=-0.5682889223098755, cd=0.22924241423606873, cm=-0.18774639070034027
  Angle -9: cl=-0.6051766276359558, cd=0.19850972294807434, cm=-0.18153439462184906
  Angle -8: cl=-0.6300341486930847, cd=0.1641119122505188, cm=-0.17902587354183197
  Angle -7: cl=-0.6630472540855408, cd=0.12936779856681824, cm=-0.1730818897485733
  Angle -6: cl=-0.6226949691772461, cd=0.11640782654285431, cm=-0.15935523808002472
  Angle -5: cl=-0.5104937553405762, cd=0.1046808660030365, cm=-0.14703570306301117
  Angle -4: cl=-0.4014213979244232, cd=0.0962575376033783, cm=-0.13494451344013214
  Angle -3: cl=-0.29758313298225403, cd=0.08954913169145584, cm=-0.12004981935024261
  Angle -2: cl=-0.2217293381690979, cd=0.0834965929389, cm=-0.09627221524715424
  Angle -1: cl=-0.16286447644233704, cd=0.08024214953184128, cm=-0.06658501923084259
  Angle 0: cl=-0.10333968698978424, cd=0.08020589500665665, cm=-0.03670550882816315
  Angle 1: cl=-0.0309161227196455, cd=0.08062826097011566, cm=-0.01275913417339325
  Angle 2: cl=0.05031464248895645, cd=0.08369535207748413, cm=0.0004426240921020508
  Angle 3: cl=0.2838716208934784, cd=0.07159751653671265, cm=0.0024929791688919067
  Angle 4: cl=0.3715657591819763, cd=0.07710686326026917, cm=0.008025094866752625
  Angle 5: cl=0.4663115441799164, cd=0.08443272858858109, cm=0.011623531579971313
  Angle 6: cl=0.5573704242706299, cd=0.09184965491294861, cm=0.014378920197486877
  Angle 7: cl=0.6490222811698914, cd=0.09841258823871613, cm=0.016222074627876282
  Angle 8: cl=0.7397738695144653, cd=0.10219327360391617, cm=0.01101522147655487
  Angle 9: cl=0.8316311836242676, cd=0.10583951324224472, cm=0.0028830915689468384
  Angle 10: cl=0.9306148886680603, cd=0.11036995053291321, cm=-0.005246087908744812
Genotype [0.008546425537972517, 0.4528696708534939, 0.12946252778924638, -0.798064924035964, 0.25945007846290946, -0.022844588960872332, 0.056177763292541455, -0.006, 0.002572781176561031, 7.694990700978029, 10.1881320032164]:
  Angle -10: cl=-0.5661500096321106, cd=0.18871644139289856, cm=-0.1739744395017624
