Experiment: Combination_Experiment_420
Generation: 83
Timestamp: 20231226_170723

Genotypes and their Fitness Values:
[0.008520662311611988, 0.45453877707365925, 0.11879326059591536, -0.8345725240347698, 0.2597229295038528, -0.022898205441518084, 0.08983961124342665, -0.0030522953265166653, 0.005, 7.097014178071869, 11.690978737924183] - Fitness: -0.6181969488154689
[0.008778872904205136, 0.43803840511540204, 0.12959538782847657, -0.7827361100546374, 0.2595698491867801, -0.02289312366297379, 0.06171986169704878, -0.003091875708250843, 0.0025, 7.7974398551519535, 11.432572951392114] - Fitness: -0.04700318116886592
[0.008506880673393547, 0.4573853413640887, 0.12969321968995878, -0.8785469466030146, 0.25955441058718837, -0.022945391539168837, 0.05481499200560027, -0.0030606023910238313, 0.002756485880183613, 7.470165966599766, 10.0] - Fitness: 0.20304909181917336
[0.008565008187816142, 0.4532526786176105, 0.12956441983664677, -0.835948890787406, 0.259498433373434, -0.015, 0.05, -0.003047279465097257, 0.0025, 7.767512468198409, 10.033665716887002] - Fitness: -0.43885276999839584
[0.008563640502892546, 0.4530964401609051, 0.12985190918247688, -0.7, 0.2599033513179408, -0.022804188816444648, 0.0649625660630448, -0.0030296661341028385, 0.0027109398153278602, 7.836766302851305, 10.084667330515261] - Fitness: 0.1548247240911067
[0.008559157753153197, 0.4528141837536204, 0.12981487249143706, -0.8877615231802959, 0.26, -0.02283952570294074, 0.06104602653304461, -0.0030177476651996956, 0.002523268156348264, 7.735449620555554, 10.147191101482512] - Fitness: 0.1952949400255465
[0.0126, 0.4533027440155187, 0.12970006675309895, -0.8699667204097242, 0.2598867239502404, -0.02281431546285182, 0.0632602973414542, -0.0030401359766951226, 0.002544712458688008, 7.786232076760984, 10.232018689594009] - Fitness: -0.525136132835901
[0.008584219122847483, 0.44389763549014843, 0.12972156522762415, -0.835215025210951, 0.2594835947881436, -0.022879100997253914, 0.06751334681619299, -0.003069245230202626, 0.0025736198833911017, 7.456913580807316, 10.055119189612347] - Fitness: 0.16725167087676354
[0.00860353552019431, 0.4526498200358601, 0.12979368713087447, -0.8418920024566149, 0.26, -0.023, 0.06552224638270343, -0.006, 0.0025126285054678514, 7.687668584963362, 10.143885382639905] - Fitness: -0.2551005802107044
[0.008527557287258184, 0.4529134320961698, 0.12968884029871214, -0.7532292508611513, 0.21393415824950268, -0.022869397250295458, 0.09133045801685927, -0.006, 0.002668592233519466, 7.744487610704003, 10.043370258581609] - Fitness: -1.4886154842291381
[0.008506320063651268, 0.4560409134662623, 0.12968998548662955, -0.7, 0.2594445469892715, -0.02274664027815386, 0.07087879285039372, -0.0030578326253614774, 0.003035980936272644, 7.481910578379951, 10.235656971439356] - Fitness: 0.10419164900055654
[0.008517259782624336, 0.45108747954485784, 0.13, -0.8227784737183369, 0.26, -0.02284752920404809, 0.06280788051181066, -0.0030435335519675925, 0.0026426457346672956, 7.673721353449799, 10.079861329516778] - Fitness: 0.19620266752416574
[0.008564842448501614, 0.45325702898959347, 0.11, -0.8597271405942933, 0.25949482772861826, -0.02294487757273714, 0.060664769675917704, -0.0030683153591356985, 0.0025, 7.826524436031939, 10.044865631238903] - Fitness: -0.523745562879127
[0.008528569936546035, 0.4528488163047419, 0.12986833446322146, -0.887678057306302, 0.25994108165854823, -0.022796685523626205, 0.06858758218618902, -0.0030636961129622883, 0.002744701783333192, 7.814145306209061, 10.092735228610476] - Fitness: 0.16226352210190065
[0.008571877948012407, 0.45455090457671093, 0.1297132944853481, -0.7792428388400631, 0.2594744469228217, -0.022929501187694053, 0.0669029144760952, -0.0030704470366992994, 0.0025036597332530846, 7.568901582361207, 10.084048191964936] - Fitness: 0.18391053196278087
[0.00857213496051402, 0.45472311460815945, 0.12980062298083234, -0.8647654768341578, 0.26, -0.02289314995781837, 0.06544609791984315, -0.0030152510157474043, 0.002509904510614659, 7.708965161969109, 10.143054249548685] - Fitness: 0.19899157004885978
[0.008625024803939674, 0.4524069851218899, 0.12962716204079294, -0.7576822518918156, 0.25992842823212625, -0.022849736099964203, 0.05, -0.003139309506683632, 0.0025009867823690742, 7.779285080857855, 10.121345141704397] - Fitness: 0.15130870361048301
[0.008542273436017406, 0.448014460668514, 0.129838032965849, -0.7890219816601822, 0.2598062577359245, -0.022782409168630495, 0.06648494830555987, -0.003077741487754257, 0.002617599185550184, 8.081330105500458, 10.214859390011158] - Fitness: 0.1265792816650026
[0.008584732590297992, 0.45192717452243075, 0.12982422060334517, -0.8455886584468401, 0.25978316169921545, -0.02286599767411639, 0.0712457751815442, -0.0030345863663029664, 0.002711708533835795, 7.5000836316025215, 10.119645919490718] - Fitness: 0.16898272860560454
[0.008607499357174395, 0.45237797656268347, 0.12977524113981515, -0.8877606915238333, 0.26, -0.022891075788355926, 0.0634500975896281, -0.003110068765245691, 0.00255941164750885, 7.691497397377105, 10.131802170715703] - Fitness: 0.1683337385577312
[0.0085, 0.45310658708982593, 0.12966440459511946, -0.7921613610538193, 0.2593414963918929, -0.022897805535185622, 0.06733448600490274, -0.0030539144379282566, 0.0026004139005815184, 7.484079812855882, 10.246307947813944] - Fitness: 0.16873031318753876
[0.008585386581990293, 0.4515166232906391, 0.1297517489455478, -0.8219041916201163, 0.2594206528118271, -0.0228298283303955, 0.06977978042263279, -0.0030419485344818286, 0.0025, 7.623069310249013, 10.129785218851476] - Fitness: 0.16889886990429995
[0.008533045779926243, 0.45237830722809547, 0.12985575392449175, -0.743888583123707, 0.2598851499796403, -0.022791639496105368, 0.06734191269085829, -0.0030649403068958975, 0.0026660794492311007, 7.732521166600614, 10.04088692234257] - Fitness: 0.16896997142442508
[0.008567840462864988, 0.45610402944529616, 0.13, -0.8645903879873017, 0.2597130881599677, -0.02289165770592833, 0.06974263043703502, -0.0030582008655545088, 0.002685355089886998, 7.574913984012919, 10.205741807954851] - Fitness: 0.17023920021050398
[0.008504202791516096, 0.45945396026577423, 0.1295333124192992, -0.8368477310541959, 0.2597438719907979, -0.022800584572916612, 0.07056310829206833, -0.003022369958631214, 0.002596236038399041, 7.75706990710975, 10.145508072301988] - Fitness: 0.17234023838718493
[0.00858432779851916, 0.4465374203025009, 0.12981304718117556, -0.8841530237043861, 0.25947695342229565, -0.022819436897451487, 0.0653056494551807, -0.003, 0.0027145763703763305, 7.237415928973061, 10.154942095584417] - Fitness: 0.1726921331787798
[0.008554400385074525, 0.4532209341501293, 0.12964614662821222, -0.8603966471900624, 0.25937314549169893, -0.023, 0.060018012056765234, -0.0030122948659574425, 0.002659946129888184, 7.5826581112640765, 10.206376564507055] - Fitness: 0.175376043226132
[0.008562944245723443, 0.45300226476769295, 0.1297337075557507, -0.7977069711179093, 0.259485874901425, -0.022897157651477727, 0.06718818968378619, -0.00305401577445967, 0.0025, 7.743183195347004, 10.087242439493345] - Fitness: 0.1774328788401452
[0.008585884836547234, 0.4514290803703667, 0.12982863645068718, -0.8124283041900653, 0.25967216068923754, -0.023, 0.07085185890243112, -0.003052376355466302, 0.002722626831625294, 7.3655812760446855, 10.11190674388079] - Fitness: 0.17793453913852345
[0.008589748796467216, 0.45285408110716485, 0.13, -0.8926361610227531, 0.259008019016255, -0.02292816565669411, 0.06311807047773998, -0.003, 0.002666483027340431, 7.520775669752107, 10.149255316364007] - Fitness: 0.1787947968670741
[0.008602296864013429, 0.45547056045855283, 0.12973911858193474, -0.8912274811417524, 0.25994076356525436, -0.022840587056898315, 0.05, -0.0031100236782949757, 0.0026728792294081734, 7.619920795101561, 10.0] - Fitness: 0.17908825005193568
[0.00856066962743004, 0.44894307708293435, 0.12980770861283034, -0.9, 0.25951057692958496, -0.02281463347347058, 0.0664167388875545, -0.003020290587444088, 0.0025, 7.64636344207957, 10.163101885293784] - Fitness: 0.17960235787540557
[0.008511120905405593, 0.45959870561298855, 0.1295107250898282, -0.8267025890313361, 0.25964676374712503, -0.02285478001937585, 0.07210362188385189, -0.0030350392535788613, 0.0025087561025909323, 7.707859702608832, 10.144456319113388] - Fitness: 0.18079411892194336
[0.008567948489650725, 0.4544166229449893, 0.129478572767564, -0.7, 0.25990863993588376, -0.022959229720973397, 0.060623345854396035, -0.0031106916288398566, 0.0026032327365363953, 7.0, 10.205794551622699] - Fitness: 0.18091591449516572
[0.0085, 0.4512581277426141, 0.12963041567595057, -0.8145763475565706, 0.25956686627042447, -0.023, 0.06310157573820283, -0.0030393385478486783, 0.002683522382712319, 7.626725427546136, 10.127529122036432] - Fitness: 0.18154958157929266
[0.0085, 0.45431548423517154, 0.12917921355379705, -0.9, 0.2597288957167198, -0.022944246960224516, 0.06789732348626626, -0.0031021087521279672, 0.0025954556862495333, 7.107639423098918, 10.209624506934837] - Fitness: 0.18291205138038732
[0.008580484071974826, 0.4515846524575877, 0.13, -0.8708329406496779, 0.25942518466562736, -0.02284142556666895, 0.06557906420294474, -0.0030159465725916657, 0.0025, 7.578753085597888, 10.216865531651491] - Fitness: 0.18377307023835798
[0.00856579530961902, 0.45327179240327825, 0.12929351820464086, -0.8558404884044266, 0.2594945791754671, -0.023, 0.05, -0.0030682686619119743, 0.0025, 7.854762207603978, 10.0] - Fitness: 0.1839305861649245
[0.008505797763448321, 0.45653065289184497, 0.12924252071996728, -0.8897544136848825, 0.25994932820578504, -0.02281168660329443, 0.06323842095850339, -0.003085653439495071, 0.0026131110814574835, 7.136469007820322, 10.18167296645477] - Fitness: 0.18436526966192457
[0.008563090458931548, 0.45295709690165054, 0.12972320719093552, -0.9, 0.25948666160375466, -0.022889332363702514, 0.06129945513216664, -0.0030266176233455233, 0.0025188295982109844, 7.690748530912351, 10.147627504202685] - Fitness: 0.18561742326972638
[0.008524632536710017, 0.4525140818264252, 0.1296757874855547, -0.760447717066598, 0.25998166316173754, -0.02283961488729326, 0.06295769418730862, -0.0030607008827213834, 0.0025, 7.7355482391246655, 10.102596984710072] - Fitness: 0.1861011661018594
[0.008540588980720359, 0.44897934924187666, 0.1294384534019058, -0.824172624547417, 0.25965874575280373, -0.022829632859383144, 0.05, -0.003073726911786011, 0.0025, 7.032870184381363, 10.260450252633053] - Fitness: 0.1888059847741262
[0.008532269686978369, 0.45748867846134456, 0.12970167086789597, -0.7863799795538771, 0.25999940222790063, -0.02264440916073011, 0.06652728267914029, -0.0031270970802645174, 0.0026733152404511172, 7.0, 10.0] - Fitness: 0.19056302009132486
[0.008515383854935173, 0.4494999178560658, 0.12990873078029705, -0.8978429830741501, 0.2599886610719504, -0.022837557184084638, 0.06829198824511436, -0.0030111760445288363, 0.0025528540533934644, 7.686641382836459, 10.230672308410382] - Fitness: 0.19068559092647744
[0.008555960656703178, 0.4548845685152689, 0.12968700839010242, -0.8565099804086731, 0.26, -0.0228950411437014, 0.06488301758828845, -0.0030350440908736, 0.0025190018058086714, 7.7087031439504, 10.155000515570658] - Fitness: 0.19164254903517447
[0.00855946858474019, 0.45471882951929504, 0.1295886732409661, -0.7462984802216043, 0.2599084547230028, -0.022904251184570013, 0.06092825913311851, -0.003132649784382666, 0.0026035586950086875, 7.0, 10.1110337447816] - Fitness: 0.1926524194374962
[0.00854600459653743, 0.4540129207575572, 0.1299202500257689, -0.7094244875543557, 0.2598508145561164, -0.02275638900065549, 0.06832336416096461, -0.0030651311482777117, 0.0025, 7.594994174862562, 10.012773983651703] - Fitness: 0.19334540887819301
[0.008555804821263419, 0.45460387864281215, 0.12989704321358733, -0.8717805101885143, 0.25992937218406326, -0.022845651021679535, 0.06434495682973138, -0.003034436131437027, 0.002718601233738511, 7.400824417554089, 10.078686258345076] - Fitness: 0.19700686665934372
[0.008522321065536126, 0.45442455656896485, 0.12971044892399564, -0.89105820210103, 0.25993751516161, -0.022810643907894976, 0.05452454136239041, -0.003, 0.002750206905521883, 7.364768051561546, 10.085812877203665] - Fitness: 0.2036670394990002
[0.0085, 0.4529224938172121, 0.12979136981438277, -0.8236709785230786, 0.26, -0.022886291055756142, 0.06178728307568856, -0.00300387741805224, 0.002540637573985542, 7.701424071914288, 10.13411309010153] - Fitness: 0.21005964481517783

Detailed Results for Each Genotype:
Genotype [0.008520662311611988, 0.45453877707365925, 0.11879326059591536, -0.8345725240347698, 0.2597229295038528, -0.022898205441518084, 0.08983961124342665, -0.0030522953265166653, 0.005, 7.097014178071869, 11.690978737924183]:
  Angle -10: cl=-0.5738770961761475, cd=0.22104549407958984, cm=-0.1822075992822647
  Angle -9: cl=-0.6083279848098755, cd=0.19057771563529968, cm=-0.1778499335050583
  Angle -8: cl=-0.6425845623016357, cd=0.1588473916053772, cm=-0.1722109466791153
  Angle -7: cl=-0.6751402020454407, cd=0.12621068954467773, cm=-0.16549895703792572
  Angle -6: cl=-0.6443183422088623, cd=0.11419463157653809, cm=-0.15264005959033966
  Angle -5: cl=-0.5398255586624146, cd=0.10190743207931519, cm=-0.14032231271266937
  Angle -4: cl=-0.4349842667579651, cd=0.09233447164297104, cm=-0.12624101340770721
  Angle -3: cl=-0.3507937490940094, cd=0.0847732350230217, cm=-0.10369522869586945
  Angle -2: cl=-0.2697851359844208, cd=0.07784733176231384, cm=-0.0802149623632431
  Angle -1: cl=-0.20954453945159912, cd=0.07514669001102448, cm=-0.04932178556919098
  Angle 0: cl=-0.15881678462028503, cd=0.07819350808858871, cm=-0.02462412416934967
  Angle 1: cl=-0.10413482785224915, cd=0.08669940382242203, cm=-0.00647445023059845
  Angle 2: cl=-0.02800016663968563, cd=0.09216303378343582, cm=0.005762666463851929
  Angle 3: cl=0.17486709356307983, cd=0.08240000903606415, cm=0.00926770269870758
  Angle 4: cl=0.2557426691055298, cd=0.08806905150413513, cm=0.015823379158973694
  Angle 5: cl=0.3387531340122223, cd=0.09416002035140991, cm=0.020838186144828796
  Angle 6: cl=0.4306914210319519, cd=0.09940097481012344, cm=0.024060383439064026
  Angle 7: cl=0.5207087397575378, cd=0.10095036029815674, cm=0.017934367060661316
  Angle 8: cl=0.6094343662261963, cd=0.10308309644460678, cm=0.01096297800540924
  Angle 9: cl=0.7002915740013123, cd=0.10670290142297745, cm=0.002558201551437378
  Angle 10: cl=0.7964709401130676, cd=0.11125325411558151, cm=-0.006237104535102844
Genotype [0.008778872904205136, 0.43803840511540204, 0.12959538782847657, -0.7827361100546374, 0.2595698491867801, -0.02289312366297379, 0.06171986169704878, -0.003091875708250843, 0.0025, 7.7974398551519535, 11.432572951392114]:
  Angle -10: cl=-0.5594393014907837, cd=0.22617276012897491, cm=-0.18515615165233612
  Angle -9: cl=-0.5931232571601868, cd=0.1955389827489853, cm=-0.1798885315656662
  Angle -8: cl=-0.620761513710022, cd=0.16174592077732086, cm=-0.17634610831737518
  Angle -7: cl=-0.6491423845291138, cd=0.1283823549747467, cm=-0.168475940823555
  Angle -6: cl=-0.6229333877563477, cd=0.11543072015047073, cm=-0.1559533327817917
  Angle -5: cl=-0.5050400495529175, cd=0.10305909067392349, cm=-0.1434471160173416
  Angle -4: cl=-0.399543821811676, cd=0.09510809183120728, cm=-0.13025663793087006
  Angle -3: cl=-0.2960605025291443, cd=0.08842362463474274, cm=-0.11533544957637787
  Angle -2: cl=-0.2267206311225891, cd=0.08204776793718338, cm=-0.08960889279842377
  Angle -1: cl=-0.1686948835849762, cd=0.07915811240673065, cm=-0.0599522739648819
  Angle 0: cl=-0.10791350901126862, cd=0.07948314398527145, cm=-0.03080745041370392
  Angle 1: cl=-0.041643135249614716, cd=0.08145682513713837, cm=-0.007324829697608948
  Angle 2: cl=0.035823266953229904, cd=0.08721370995044708, cm=0.00419694185256958
  Angle 3: cl=0.2620682716369629, cd=0.07658150792121887, cm=0.0067757368087768555
  Angle 4: cl=0.3489578664302826, cd=0.0822238177061081, cm=0.01237669587135315
  Angle 5: cl=0.43952929973602295, cd=0.08841567486524582, cm=0.01654668152332306
  Angle 6: cl=0.5320635437965393, cd=0.09497222304344177, cm=0.01916515827178955
  Angle 7: cl=0.6274080872535706, cd=0.0994647890329361, cm=0.015603363513946533
  Angle 8: cl=0.7195420861244202, cd=0.1028023287653923, cm=0.008735373616218567
  Angle 9: cl=0.8102253675460815, cd=0.10643694549798965, cm=0.000375404953956604
  Angle 10: cl=0.9079940319061279, cd=0.11093596369028091, cm=-0.008043065667152405
Genotype [0.008506880673393547, 0.4573853413640887, 0.12969321968995878, -0.8785469466030146, 0.25955441058718837, -0.022945391539168837, 0.05481499200560027, -0.0030606023910238313, 0.002756485880183613, 7.470165966599766, 10.0]:
  Angle -10: cl=-0.5621904730796814, cd=0.23151423037052155, cm=-0.1889689415693283
  Angle -9: cl=-0.5906239748001099, cd=0.19881704449653625, cm=-0.1851108819246292
  Angle -8: cl=-0.6132634282112122, cd=0.1638152301311493, cm=-0.18365950882434845
  Angle -7: cl=-0.6504098773002625, cd=0.12966223061084747, cm=-0.1782957762479782
  Angle -6: cl=-0.6064786911010742, cd=0.11498324573040009, cm=-0.16356350481510162
  Angle -5: cl=-0.5012809634208679, cd=0.10399290174245834, cm=-0.15077979862689972
  Angle -4: cl=-0.40653514862060547, cd=0.09865736216306686, cm=-0.13770820200443268
  Angle -3: cl=-0.3039303123950958, cd=0.09251603484153748, cm=-0.12366266548633575
  Angle -2: cl=-0.22841569781303406, cd=0.08705847710371017, cm=-0.10041962563991547
  Angle -1: cl=-0.1674351692199707, cd=0.08265792578458786, cm=-0.07102479040622711
  Angle 0: cl=-0.09883113205432892, cd=0.08205167949199677, cm=-0.04272432625293732
  Angle 1: cl=-0.016249490901827812, cd=0.08249270915985107, cm=-0.0205429345369339
  Angle 2: cl=0.0663461685180664, cd=0.08318512886762619, cm=-0.005157187581062317
  Angle 3: cl=0.31073108315467834, cd=0.06779070198535919, cm=-0.0018882453441619873
  Angle 4: cl=0.4076255261898041, cd=0.0740009993314743, cm=0.00281408429145813
  Angle 5: cl=0.5057783722877502, cd=0.08232791721820831, cm=0.006149575114250183
  Angle 6: cl=0.599672257900238, cd=0.08946406096220016, cm=0.008494928479194641
  Angle 7: cl=0.6895472407341003, cd=0.09605811536312103, cm=0.010822653770446777
  Angle 8: cl=0.7800397276878357, cd=0.10190630704164505, cm=0.010493099689483643
  Angle 9: cl=0.8747157454490662, cd=0.10593762248754501, cm=0.0022687315940856934
  Angle 10: cl=0.9741666913032532, cd=0.11124225705862045, cm=-0.005671784281730652
Genotype [0.008565008187816142, 0.4532526786176105, 0.12956441983664677, -0.835948890787406, 0.259498433373434, -0.015, 0.05, -0.003047279465097257, 0.0025, 7.767512468198409, 10.033665716887002]:
  Angle -10: cl=-0.5505194664001465, cd=0.21292153000831604, cm=-0.18167893588542938
  Angle -9: cl=-0.584381103515625, cd=0.1817985475063324, cm=-0.17649494111537933
  Angle -8: cl=-0.6178983449935913, cd=0.15196096897125244, cm=-0.17038948833942413
  Angle -7: cl=-0.6458145976066589, cd=0.12505456805229187, cm=-0.16218788921833038
  Angle -6: cl=-0.6232348680496216, cd=0.1097954660654068, cm=-0.15098388493061066
  Angle -5: cl=-0.5181818008422852, cd=0.09993769228458405, cm=-0.13659076392650604
  Angle -4: cl=-0.4238033592700958, cd=0.09281366318464279, cm=-0.11856015026569366
  Angle -3: cl=-0.33824923634529114, cd=0.08508861064910889, cm=-0.09518508613109589
  Angle -2: cl=-0.26842156052589417, cd=0.0786128118634224, cm=-0.06886972486972809
  Angle -1: cl=-0.21587908267974854, cd=0.07608410716056824, cm=-0.040306225419044495
  Angle 0: cl=-0.16306717693805695, cd=0.08171170204877853, cm=-0.021353498101234436
  Angle 1: cl=-0.09858840703964233, cd=0.08985110372304916, cm=-0.004688665270805359
  Angle 2: cl=-0.008406231179833412, cd=0.09467939287424088, cm=0.007910341024398804
  Angle 3: cl=0.1790057271718979, cd=0.08892987668514252, cm=0.013751059770584106
  Angle 4: cl=0.2646387815475464, cd=0.0946563184261322, cm=0.020355120301246643
  Angle 5: cl=0.35637152194976807, cd=0.09911011904478073, cm=0.02119182050228119
  Angle 6: cl=0.45040780305862427, cd=0.1007903665304184, cm=0.015520304441452026
  Angle 7: cl=0.5491307377815247, cd=0.10216599702835083, cm=0.009846478700637817
  Angle 8: cl=0.6455571055412292, cd=0.10366065800189972, cm=0.003587484359741211
  Angle 9: cl=0.7457681894302368, cd=0.10585060715675354, cm=-0.009171292185783386
  Angle 10: cl=0.8637093305587769, cd=0.10742384195327759, cm=-0.03196020424365997
Genotype [0.008563640502892546, 0.4530964401609051, 0.12985190918247688, -0.7, 0.2599033513179408, -0.022804188816444648, 0.0649625660630448, -0.0030296661341028385, 0.0027109398153278602, 7.836766302851305, 10.084667330515261]:
  Angle -10: cl=-0.5584880709648132, cd=0.23005376756191254, cm=-0.18835000693798065
  Angle -9: cl=-0.5897222757339478, cd=0.19775596261024475, cm=-0.18399332463741302
  Angle -8: cl=-0.6121676564216614, cd=0.1624758243560791, cm=-0.1820029765367508
  Angle -7: cl=-0.6470487713813782, cd=0.129059836268425, cm=-0.1760091632604599
  Angle -6: cl=-0.6087268590927124, cd=0.11460990458726883, cm=-0.1614799052476883
  Angle -5: cl=-0.5023024678230286, cd=0.10366202145814896, cm=-0.14911283552646637
  Angle -4: cl=-0.40591660141944885, cd=0.09816430509090424, cm=-0.136116161942482
  Angle -3: cl=-0.30260661244392395, cd=0.09173499047756195, cm=-0.12163595855236053
  Angle -2: cl=-0.22956988215446472, cd=0.08607732504606247, cm=-0.09755568206310272
  Angle -1: cl=-0.16916228830814362, cd=0.08190029114484787, cm=-0.06812621653079987
  Angle 0: cl=-0.10316498577594757, cd=0.08157283812761307, cm=-0.03968231379985809
  Angle 1: cl=-0.022901346907019615, cd=0.08197356760501862, cm=-0.017055228352546692
  Angle 2: cl=0.059475548565387726, cd=0.0827372744679451, cm=-0.0015143752098083496
  Angle 3: cl=0.3021239936351776, cd=0.06972077488899231, cm=2.3543834686279297e-05
  Angle 4: cl=0.3947801887989044, cd=0.07538051158189774, cm=0.005054175853729248
  Angle 5: cl=0.4924803078174591, cd=0.08373855799436569, cm=0.008384153246879578
  Angle 6: cl=0.5863863229751587, cd=0.09081168472766876, cm=0.010756686329841614
  Angle 7: cl=0.6772201061248779, cd=0.09739164263010025, cm=0.012859582901000977
  Angle 8: cl=0.7681185007095337, cd=0.10219477862119675, cm=0.009802445769309998
  Angle 9: cl=0.8620724678039551, cd=0.10617349296808243, cm=0.0015361011028289795
  Angle 10: cl=0.9618037343025208, cd=0.11076229810714722, cm=-0.006480768322944641
Genotype [0.008559157753153197, 0.4528141837536204, 0.12981487249143706, -0.8877615231802959, 0.26, -0.02283952570294074, 0.06104602653304461, -0.0030177476651996956, 0.002523268156348264, 7.735449620555554, 10.147191101482512]:
  Angle -10: cl=-0.5599409937858582, cd=0.23141279816627502, cm=-0.18898631632328033
  Angle -9: cl=-0.5916125178337097, cd=0.19919440150260925, cm=-0.18423901498317719
  Angle -8: cl=-0.6143308877944946, cd=0.16395734250545502, cm=-0.18232856690883636
  Angle -7: cl=-0.6488184332847595, cd=0.1301649957895279, cm=-0.17702917754650116
  Angle -6: cl=-0.6081807017326355, cd=0.11518202722072601, cm=-0.16236849129199982
  Angle -5: cl=-0.502970278263092, cd=0.10432898998260498, cm=-0.14976345002651215
  Angle -4: cl=-0.4040595591068268, cd=0.09839046001434326, cm=-0.13712339103221893
  Angle -3: cl=-0.30108755826950073, cd=0.09209784120321274, cm=-0.12284891307353973
  Angle -2: cl=-0.22492080926895142, cd=0.08650796860456467, cm=-0.0998757928609848
  Angle -1: cl=-0.1646650731563568, cd=0.082288958132267, cm=-0.0705132931470871
  Angle 0: cl=-0.0984940379858017, cd=0.08177352696657181, cm=-0.04166616499423981
  Angle 1: cl=-0.01594730280339718, cd=0.08235255628824234, cm=-0.019357994198799133
  Angle 2: cl=0.06617695838212967, cd=0.0830158144235611, cm=-0.0037319809198379517
  Angle 3: cl=0.3108319640159607, cd=0.06831267476081848, cm=-0.0008313208818435669
  Angle 4: cl=0.40438947081565857, cd=0.07448329031467438, cm=0.004065260291099548
  Angle 5: cl=0.502291202545166, cd=0.08281954377889633, cm=0.00741828978061676
  Angle 6: cl=0.5949853658676147, cd=0.08998587727546692, cm=0.009871333837509155
  Angle 7: cl=0.6854102611541748, cd=0.09657027572393417, cm=0.011997103691101074
  Angle 8: cl=0.7761010527610779, cd=0.10192224383354187, cm=0.010397210717201233
  Angle 9: cl=0.8701891899108887, cd=0.1058713048696518, cm=0.0021953433752059937
  Angle 10: cl=0.9701414108276367, cd=0.11047450453042984, cm=-0.005815818905830383
Genotype [0.0126, 0.4533027440155187, 0.12970006675309895, -0.8699667204097242, 0.2598867239502404, -0.02281431546285182, 0.0632602973414542, -0.0030401359766951226, 0.002544712458688008, 7.786232076760984, 10.232018689594009]:
