Experiment: Combination_Experiment_432
Generation: 48
Timestamp: 20231226_200913

Genotypes and their Fitness Values:
[0.008630346698371667, 0.4450326924067024, 0.12865095199406756, -0.8647689648418668, 0.2583386787334785, -0.022438288999312314, 0.13620168929679305, -0.003092523521699976, 0.0029756854846805124, 7.169602422945925, 10.571766659244792] - Fitness: -0.07113728949156628
[0.008542035645209105, 0.445319260948447, 0.12831798608563974, -0.7892629854125544, 0.26, -0.022943726214790523, 0.08522664444541733, -0.0033563745409990247, 0.003034571933538265, 7.604252157151873, 10.11018615129742] - Fitness: 0.007775730059962482
[0.008597908083105635, 0.44240980762774074, 0.1287572795075823, -0.8053218991489779, 0.25961784637022933, -0.022879217287636713, 0.10993728389034046, -0.0030670897899524553, 0.0028655532722054564, 7.497142442743071, 10.4514107757404] - Fitness: 0.02458531034579261
[0.00871797312401619, 0.4425113046762468, 0.1295374974992255, -0.720969597769285, 0.2589075075261845, -0.02285943267477244, 0.12069512499497553, -0.0031991236134604065, 0.0027325594542111447, 7.585954035889552, 10.227596229150034] - Fitness: 0.008451243263871294
[0.00854203472288392, 0.44539265802970956, 0.12935756753974006, -0.8386994673094647, 0.2597369262702409, -0.022601587761536538, 0.14296771738456168, -0.003294695993432877, 0.0031452966165081263, 7.673988128521291, 10.437722296475654] - Fitness: -0.05844767087102537
[0.00853507387757016, 0.4415862706663331, 0.12888587113365038, -0.7805533537054162, 0.2593344103057096, -0.02269292350062122, 0.14668145711590863, -0.0030841003779912535, 0.002667489214293948, 8.660661904471958, 10.11619256904277] - Fitness: -0.011344837925280328
[0.00881992652620709, 0.4236272218913109, 0.12889248550321827, -0.7800660535416328, 0.25966876502848935, -0.022777298949315787, 0.0770866151366069, -0.003050671788411848, 0.0025770552305220185, 8.318129701807646, 10.13417107557187] - Fitness: -0.017674790236711087
[0.008610116390045632, 0.4417803603712595, 0.12890748473381855, -0.8119059898584362, 0.2589550241622467, -0.02212944856363567, 0.12000526110593188, -0.0032093109443997103, 0.002824631612019614, 7.653322845466336, 10.0] - Fitness: -0.03700675793322596
[0.00855766566352259, 0.4449037576421785, 0.13, -0.8386465814684744, 0.25913996289184893, -0.022819818037773987, 0.12346580644577401, -0.0033248609350462585, 0.002885879736716454, 7.828777280220246, 10.580870385507664] - Fitness: -0.024485027471406916
[0.00864218181121904, 0.44724215658682365, 0.1293497604495885, -0.802095940306042, 0.2586064334959317, -0.022760752051164904, 0.10334373980998976, -0.003027656189199167, 0.0026273919997148207, 7.822202819863198, 10.538144992587151] - Fitness: 0.02277614670088005
[0.0085797573710428, 0.4438256486899287, 0.1290524346488113, -0.8409632310980583, 0.25854512358616805, -0.022832917751226606, 0.13597682933260619, -0.0032155165865008226, 0.0025, 7.655722587553951, 10.352425927738336] - Fitness: 0.014195116286715962
[0.008588995225646087, 0.4397599969836475, 0.128730714194324, -0.7982913890626919, 0.259432096597609, -0.02294820493474593, 0.10781083930523916, -0.003039500558016335, 0.0027774068647500615, 7.715872515530262, 10.320800739572963] - Fitness: 0.04093912986124968
[0.009220492592589924, 0.43986967765411594, 0.1284217138131012, -0.7755268940703411, 0.2586945197093932, -0.022814461837573394, 0.12961441292025722, -0.003463811262725428, 0.0025952618232170255, 7.755675901625312, 10.23257862574249] - Fitness: -0.18741099932567765
[0.008661386551472108, 0.4426958153631293, 0.128073633175867, -0.8224103004083135, 0.25844799642571614, -0.022945457338303197, 0.11965903635497462, -0.003080593775252179, 0.002591859639124932, 7.678502434234978, 10.183267513304916] - Fitness: 0.008124786222867955
[0.008624031673538207, 0.4376239262369523, 0.12877058451208523, -0.8526482186393971, 0.2581008855115651, -0.0226811375490102, 0.11781416382220535, -0.003232443765833618, 0.0028690935954075415, 7.231183034385713, 10.065864770776278] - Fitness: -0.016333121699757272
[0.008514476965545567, 0.43977321534511077, 0.12962068007529995, -0.7231908537486146, 0.2591297712442581, -0.022996220437482333, 0.11608802359336107, -0.0034162845108062527, 0.0027298493758331167, 7.579705862332831, 10.28906998623934] - Fitness: 0.019188567832103494
[0.008598606876481828, 0.4443536503542732, 0.12832663149803075, -0.7999416760247406, 0.25951333136215365, -0.02278550258413047, 0.12683750365250268, -0.0031405901369837633, 0.0025782001727177087, 7.666640440490058, 10.506131923897932] - Fitness: -0.0064420491860667
[0.008650528577575018, 0.4447468006690398, 0.12893462871504577, -0.8601606850374957, 0.26, -0.02291587182617628, 0.1178095145005104, -0.003108933805793296, 0.0027371802386331333, 7.009687639049106, 10.108969958083406] - Fitness: 0.10371052382121643
[0.00857876725070544, 0.4424747534380907, 0.12940426020924997, -0.802055801278584, 0.2592824437780502, -0.02219338985659544, 0.11315638446303833, -0.0030183091933996056, 0.002554447336567944, 7.38863532243983, 10.34870344566722] - Fitness: 0.04801245793447104
[0.0085, 0.4461694768174657, 0.1296179947517765, -0.7110714932379967, 0.2598428089522973, -0.022744035317278987, 0.1167723997878246, -0.003204761036214307, 0.0027470649115511783, 7.619192820138756, 10.214044526847134] - Fitness: 0.07203730590760553
[0.008641843404401994, 0.4465469749111885, 0.1287311228884843, -0.8004197871243007, 0.25847678467904184, -0.022484766732800688, 0.11831684481493246, -0.0032126303851892817, 0.0025586632011826253, 7.673887604287301, 10.384028144075309] - Fitness: -0.04032547030997951
[0.008643235949802605, 0.44015487594398506, 0.12758708775761066, -0.7998556956177941, 0.25762988637401246, -0.022514390511069033, 0.11960473904985311, -0.0031596221948581352, 0.0025592098087716636, 7.484729171355414, 10.434703441573248] - Fitness: -0.09334335931703881
[0.008528888173545714, 0.44194123990832773, 0.12943252220315785, -0.7564258524083587, 0.2586642034102536, -0.02287247864909906, 0.11891675100647442, -0.003187427805774624, 0.002515019885746598, 7.741125391902943, 10.344520272964811] - Fitness: 0.046491198438457254
[0.008521667631337018, 0.4412199512154331, 0.12972172942142807, -0.7076166501226304, 0.25875753732070167, -0.022889724676838284, 0.12942817148507782, -0.0033567270709788325, 0.0027224988792215014, 7.752520600059689, 10.00787329175676] - Fitness: 0.03150832289398347
[0.008586466815063969, 0.44372460817515735, 0.1286881654526023, -0.8359708944609275, 0.25922287814582695, -0.022775276943596313, 0.10415903973843903, -0.00322389802394385, 0.00254657761886504, 7.372632303451739, 10.199496549819136] - Fitness: 0.05360477176253229
[0.008694700188113457, 0.44625005609583873, 0.12974799296142167, -0.8264915660624172, 0.2584181663399416, -0.022414975928814716, 0.12266361987818444, -0.0032086176118800093, 0.0025642033119135394, 7.244623859620967, 10.30114766558179] - Fitness: 0.011122072934730283
[0.0085, 0.45631209748031487, 0.12854427884909905, -0.815558205902525, 0.2581799564875758, -0.022973076682145106, 0.11723921062433523, -0.0033868965585128214, 0.0025829099724414776, 7.629588592848668, 10.210361682177988] - Fitness: 0.011343524282658758
[0.008590115354785014, 0.4436014465204077, 0.12863422547133477, -0.8381647630066329, 0.2592745922146227, -0.02273881961301801, 0.12534313652634965, -0.0031633213790859377, 0.0027920841798026565, 7.634680634791392, 10.138941145769339] - Fitness: 0.013704738856374538
[0.0085, 0.44182483212907814, 0.12888903481024575, -0.7956555569634449, 0.2592673159666312, -0.023, 0.14598323525917978, -0.0031003900824891632, 0.0026643692238204537, 8.731922169316073, 10.113062129512588] - Fitness: 0.014648852467526596
[0.008693081067400963, 0.44389736415128855, 0.128403784411991, -0.767508480740719, 0.2598452312646136, -0.023, 0.11583368586743631, -0.003023248537773403, 0.0025125862877568464, 8.389347242428872, 10.341176839759896] - Fitness: 0.01538242388041962
[0.008571517989151173, 0.4339652739031553, 0.12997740812486416, -0.8329549370188104, 0.2592192188104018, -0.022770352871025797, 0.15429043401801218, -0.003288829652148895, 0.0025, 7.676928781277846, 10.351770525853269] - Fitness: 0.015563267521555658
[0.008612681948999197, 0.4396747933525831, 0.1292804250775823, -0.8058847768377644, 0.2571617111150405, -0.02293865544328706, 0.11852303631162527, -0.003105303233783729, 0.002562290250722944, 7.455112078593565, 10.346192037035246] - Fitness: 0.020369265136795035
[0.008597749426050417, 0.4405950780748058, 0.12923392324787727, -0.8038268453606825, 0.25870784877229425, -0.02225472494577985, 0.10542089458780314, -0.0030062800023277414, 0.0025544733184616956, 7.47458959742612, 10.403706827748254] - Fitness: 0.022858026883348825
[0.008649127708136094, 0.4414595197853977, 0.1289690329333763, -0.8206602582251346, 0.2585696277769879, -0.022936340483709076, 0.11095794197073047, -0.003268256846223119, 0.0025565743895731483, 7.493093152506025, 10.211317756988386] - Fitness: 0.023844788109171157
[0.008663296573177022, 0.4416557628080196, 0.12871816091015834, -0.7818397147094026, 0.25951739395268886, -0.023, 0.11313267274235937, -0.0032216296045118878, 0.002564136377701314, 7.548055026515112, 10.356231820574209] - Fitness: 0.024028880894365827
[0.008508776883083423, 0.44154491285695036, 0.1291009923949967, -0.8141383310520312, 0.25870819994762023, -0.022963440506863417, 0.11099532771471257, -0.0032909069390591097, 0.002736477478481981, 8.138630564026244, 10.0] - Fitness: 0.026134768408501343
[0.008735161808725501, 0.4457751575419673, 0.1288306138458193, -0.7771910406724192, 0.259908744567996, -0.022667852345778006, 0.14514991342148126, -0.0030774213248038742, 0.002597667769329817, 7.77920442152301, 10.06422578424875] - Fitness: 0.026831913088244314
[0.008656481172841207, 0.44696803676151514, 0.12958387560548465, -0.815489214125882, 0.2572821319037664, -0.02287093612129384, 0.11686162702944741, -0.003050256976455355, 0.0025617377757326987, 7.700622821075576, 10.352514385175681] - Fitness: 0.02925723668688479
[0.008792248613358493, 0.4297657050233715, 0.12888871074636746, -0.7701297072579831, 0.25989574577955427, -0.022950782588154254, 0.08079228481842454, -0.0030559656290749175, 0.0027505832444539805, 7.6135384613759, 10.151357587587682] - Fitness: 0.03313818976513465
[0.008592879422667251, 0.44129264743816554, 0.128751092909065, -0.811069800366045, 0.25962335737801795, -0.022898726546850563, 0.10769221169527393, -0.003, 0.00285392830523283, 7.526084620290914, 10.488870216181946] - Fitness: 0.035723223634391246
[0.008723829844679372, 0.4438227105195866, 0.12884201265670622, -0.7777974772084097, 0.26, -0.02266615861163513, 0.14828374367455865, -0.0030051247746632832, 0.0025, 8.007596947683954, 10.073346978371164] - Fitness: 0.03838127662244954
[0.008646453572020872, 0.44868369639526445, 0.1295786863502612, -0.8131378037211241, 0.25820425505400757, -0.02276100972034336, 0.13873121948886113, -0.0030103899320727246, 0.002539519537616646, 8.07875078023282, 10.19706067389563] - Fitness: 0.038793502590734365
[0.008603914112979998, 0.45580663934084953, 0.12892632037770324, -0.785254219111911, 0.25879390612081987, -0.022897023454240627, 0.10917792674184551, -0.003047150139090949, 0.002594104080411211, 7.699162517595838, 10.533881747188703] - Fitness: 0.042136665305385325
[0.00867648977739448, 0.4433768018062961, 0.12859469257421557, -0.7778948391362867, 0.2583422347266716, -0.02248037795400466, 0.11396195038243667, -0.0030627398569203312, 0.0025035513956250853, 7.0817207601450285, 10.05952045257919] - Fitness: 0.04322424997350062
[0.008704764148165133, 0.44090171474827755, 0.12968435363053818, -0.8006742585434391, 0.2580888065160804, -0.022533165673741806, 0.11121667060846606, -0.003, 0.002689478086650612, 7.4332756654639995, 10.099305737653637] - Fitness: 0.04413085860088621
[0.008647322392430653, 0.44224097293734455, 0.1293316019370819, -0.8046945050745161, 0.25866754313944457, -0.022615360265533117, 0.06063197072823277, -0.003018889980254464, 0.002619497330023526, 7.784949117175712, 10.424526510562389] - Fitness: 0.045980667852079306
[0.0085, 0.43996777343867605, 0.1296209754333672, -0.7284673555306858, 0.2593092688356962, -0.02282030668804461, 0.11620119315598884, -0.0032083689024530577, 0.002733300356282072, 7.590123846852876, 10.27968493920244] - Fitness: 0.05298621532175638
[0.008669666901021241, 0.4440337106676709, 0.1286717165989706, -0.7766129056614723, 0.25930047775709875, -0.02253613968835508, 0.1212415772957318, -0.0031181940774381717, 0.0025050950535461104, 7.016420688751322, 10.157510441431015] - Fitness: 0.05323535065371901
[0.008592519769661326, 0.43254445366308814, 0.1286664850453882, -0.8002856544545152, 0.26, -0.023, 0.08928608905352553, -0.003132016672515249, 0.0028375029388496707, 7.3546461511395504, 10.220545698060711] - Fitness: 0.05612301834481348
[0.008607301986720082, 0.43868436925532467, 0.12873745657016758, -0.8049452012184661, 0.259456162469128, -0.02294491965104326, 0.11230273474805992, -0.003046229873164607, 0.002784799823193826, 7.679252563737867, 10.083552615687543] - Fitness: 0.0592001573783135

Detailed Results for Each Genotype:
Genotype [0.008630346698371667, 0.4450326924067024, 0.12865095199406756, -0.8647689648418668, 0.2583386787334785, -0.022438288999312314, 0.13620168929679305, -0.003092523521699976, 0.0029756854846805124, 7.169602422945925, 10.571766659244792]:
  Angle -10: cl=-0.5606502890586853, cd=0.22615210711956024, cm=-0.18522338569164276
  Angle -9: cl=-0.594578206539154, cd=0.19557245075702667, cm=-0.18029330670833588
  Angle -8: cl=-0.6193796992301941, cd=0.16102614998817444, cm=-0.17751584947109222
  Angle -7: cl=-0.649699866771698, cd=0.12774653732776642, cm=-0.16923396289348602
  Angle -6: cl=-0.6226490139961243, cd=0.11472038179636002, cm=-0.15664629638195038
  Angle -5: cl=-0.5080550909042358, cd=0.10266228765249252, cm=-0.1443934589624405
  Angle -4: cl=-0.4063001573085785, cd=0.0956062451004982, cm=-0.13112173974514008
  Angle -3: cl=-0.3032832145690918, cd=0.08886543661355972, cm=-0.11594326794147491
  Angle -2: cl=-0.23443716764450073, cd=0.08260322362184525, cm=-0.0900329202413559
  Angle -1: cl=-0.17561474442481995, cd=0.07920132577419281, cm=-0.0603339821100235
  Angle 0: cl=-0.11473704874515533, cd=0.07937611639499664, cm=-0.03158460557460785
  Angle 1: cl=-0.04919247329235077, cd=0.08119180798530579, cm=-0.008481308817863464
  Angle 2: cl=0.030750099569559097, cd=0.08677972108125687, cm=0.0029001832008361816
  Angle 3: cl=0.26002246141433716, cd=0.07558587938547134, cm=0.00531943142414093
  Angle 4: cl=0.3474384546279907, cd=0.08115126937627792, cm=0.01102563738822937
  Angle 5: cl=0.4392757713794708, cd=0.08737986534833908, cm=0.015033796429634094
  Angle 6: cl=0.5334450006484985, cd=0.0941094309091568, cm=0.017526760697364807
  Angle 7: cl=0.6274862289428711, cd=0.09957015514373779, cm=0.016348615288734436
  Angle 8: cl=0.719124972820282, cd=0.10266678035259247, cm=0.009194955229759216
  Angle 9: cl=0.810085654258728, cd=0.10631704330444336, cm=0.0008825510740280151
  Angle 10: cl=0.9088114500045776, cd=0.11092878878116608, cm=-0.007536694407463074
Genotype [0.008542035645209105, 0.445319260948447, 0.12831798608563974, -0.7892629854125544, 0.26, -0.022943726214790523, 0.08522664444541733, -0.0033563745409990247, 0.003034571933538265, 7.604252157151873, 10.11018615129742]:
  Angle -10: cl=-0.5607542395591736, cd=0.22446705400943756, cm=-0.18551133573055267
  Angle -9: cl=-0.5943243503570557, cd=0.1939186304807663, cm=-0.18048666417598724
  Angle -8: cl=-0.6189965009689331, cd=0.15941943228244781, cm=-0.17785100638866425
  Angle -7: cl=-0.6523706316947937, cd=0.12559254467487335, cm=-0.17021794617176056
  Angle -6: cl=-0.612402617931366, cd=0.1144724115729332, cm=-0.15765483677387238
  Angle -5: cl=-0.4970439672470093, cd=0.10241945832967758, cm=-0.14533556997776031
  Angle -4: cl=-0.39403000473976135, cd=0.09516651928424835, cm=-0.13172493875026703
  Angle -3: cl=-0.29223114252090454, cd=0.08839164674282074, cm=-0.11612896621227264
  Angle -2: cl=-0.22677180171012878, cd=0.08232468366622925, cm=-0.08943529427051544
  Angle -1: cl=-0.1672619730234146, cd=0.07970744371414185, cm=-0.05917976796627045
  Angle 0: cl=-0.10552316904067993, cd=0.0801723301410675, cm=-0.030965879559516907
  Angle 1: cl=-0.03923085331916809, cd=0.08175855129957199, cm=-0.0078000277280807495
  Angle 2: cl=0.040275536477565765, cd=0.08728776127099991, cm=0.0031701475381851196
  Angle 3: cl=0.26999783515930176, cd=0.07598083466291428, cm=0.004827231168746948
  Angle 4: cl=0.3568163514137268, cd=0.0816272422671318, cm=0.0103253573179245
  Angle 5: cl=0.450724720954895, cd=0.08788445591926575, cm=0.014022976160049438
  Angle 6: cl=0.545953094959259, cd=0.09488579630851746, cm=0.01659514009952545
  Angle 7: cl=0.6395085453987122, cd=0.10020985454320908, cm=0.015132918953895569
  Angle 8: cl=0.7313042879104614, cd=0.1033049002289772, cm=0.007964864373207092
  Angle 9: cl=0.82258540391922, cd=0.10697782784700394, cm=-0.0003896355628967285
  Angle 10: cl=0.921485185623169, cd=0.11155735701322556, cm=-0.008702561259269714
Genotype [0.008597908083105635, 0.44240980762774074, 0.1287572795075823, -0.8053218991489779, 0.25961784637022933, -0.022879217287636713, 0.10993728389034046, -0.0030670897899524553, 0.0028655532722054564, 7.497142442743071, 10.4514107757404]:
  Angle -10: cl=-0.5601571798324585, cd=0.228613942861557, cm=-0.18657861649990082
  Angle -9: cl=-0.5949534773826599, cd=0.19795173406600952, cm=-0.1808454543352127
  Angle -8: cl=-0.6195276379585266, cd=0.1634553074836731, cm=-0.17815513908863068
  Angle -7: cl=-0.6489728093147278, cd=0.12981143593788147, cm=-0.1711888462305069
  Angle -6: cl=-0.6200924515724182, cd=0.11581429839134216, cm=-0.15826423466205597
  Angle -5: cl=-0.5062874555587769, cd=0.10388810187578201, cm=-0.1458481103181839
  Angle -4: cl=-0.4004490375518799, cd=0.09614584594964981, cm=-0.1334005445241928
  Angle -3: cl=-0.2966141402721405, cd=0.08944830298423767, cm=-0.11857189238071442
  Angle -2: cl=-0.22422531247138977, cd=0.08332066982984543, cm=-0.09408392012119293
  Angle -1: cl=-0.1652367264032364, cd=0.07987337559461594, cm=-0.06443481147289276
  Angle 0: cl=-0.10403268039226532, cd=0.07998477667570114, cm=-0.034998103976249695
  Angle 1: cl=-0.03507609665393829, cd=0.08044422417879105, cm=-0.010579004883766174
  Angle 2: cl=0.046141646802425385, cd=0.08487986773252487, cm=0.0015317201614379883
  Angle 3: cl=0.2782241106033325, cd=0.07330042123794556, cm=0.0038449466228485107
  Angle 4: cl=0.3652836084365845, cd=0.07886477559804916, cm=0.00946110486984253
  Angle 5: cl=0.4586281180381775, cd=0.0856916606426239, cm=0.013227880001068115
  Angle 6: cl=0.5510222315788269, cd=0.09305672347545624, cm=0.01594872772693634
  Angle 7: cl=0.6442607641220093, cd=0.09938815236091614, cm=0.017027825117111206
  Angle 8: cl=0.735598087310791, cd=0.10246021300554276, cm=0.009837016463279724
  Angle 9: cl=0.8268584609031677, cd=0.10611168295145035, cm=0.0015488266944885254
  Angle 10: cl=0.9257404804229736, cd=0.11066656559705734, cm=-0.006669566035270691
Genotype [0.00871797312401619, 0.4425113046762468, 0.1295374974992255, -0.720969597769285, 0.2589075075261845, -0.02285943267477244, 0.12069512499497553, -0.0031991236134604065, 0.0027325594542111447, 7.585954035889552, 10.227596229150034]:
  Angle -10: cl=-0.5585480332374573, cd=0.22515490651130676, cm=-0.18534325063228607
  Angle -9: cl=-0.592557966709137, cd=0.19453954696655273, cm=-0.18035770952701569
  Angle -8: cl=-0.6170123815536499, cd=0.15995453298091888, cm=-0.17769329249858856
  Angle -7: cl=-0.647733747959137, cd=0.12666210532188416, cm=-0.16948221623897552
  Angle -6: cl=-0.6155151724815369, cd=0.11452358216047287, cm=-0.15691401064395905
  Angle -5: cl=-0.49928557872772217, cd=0.1024451032280922, cm=-0.14456893503665924
  Angle -4: cl=-0.3979278802871704, cd=0.09558192640542984, cm=-0.131143257021904
  Angle -3: cl=-0.29466524720191956, cd=0.08886268734931946, cm=-0.11603207886219025
  Angle -2: cl=-0.2281712293624878, cd=0.08271575719118118, cm=-0.08959515392780304
  Angle -1: cl=-0.1695755273103714, cd=0.07964810729026794, cm=-0.05979733169078827
  Angle 0: cl=-0.10668428242206573, cd=0.080010786652565, cm=-0.03135766088962555
  Angle 1: cl=-0.04025156795978546, cd=0.0814710259437561, cm=-0.007797256112098694
  Angle 2: cl=0.03994167968630791, cd=0.08703958988189697, cm=0.0032578259706497192
  Angle 3: cl=0.27090978622436523, cd=0.07580651342868805, cm=0.005275920033454895
  Angle 4: cl=0.3578695058822632, cd=0.08142049610614777, cm=0.010865330696105957
  Angle 5: cl=0.4521869719028473, cd=0.08762938529253006, cm=0.014581993222236633
  Angle 6: cl=0.5463773012161255, cd=0.09463085979223251, cm=0.017016634345054626
  Angle 7: cl=0.6405913829803467, cd=0.09988667070865631, cm=0.015326157212257385
  Angle 8: cl=0.732566237449646, cd=0.10304088890552521, cm=0.008156299591064453
  Angle 9: cl=0.8240353465080261, cd=0.1067318320274353, cm=-0.00014710426330566406
  Angle 10: cl=0.9227114915847778, cd=0.1113521084189415, cm=-0.008627906441688538
Genotype [0.00854203472288392, 0.44539265802970956, 0.12935756753974006, -0.8386994673094647, 0.2597369262702409, -0.022601587761536538, 0.14296771738456168, -0.003294695993432877, 0.0031452966165081263, 7.673988128521291, 10.437722296475654]:
  Angle -10: cl=-0.5546796917915344, cd=0.22226186096668243, cm=-0.18468822538852692
  Angle -9: cl=-0.5883715748786926, cd=0.19172602891921997, cm=-0.18009702861309052
  Angle -8: cl=-0.6136195659637451, cd=0.15709103643894196, cm=-0.17668484151363373
  Angle -7: cl=-0.6447241902351379, cd=0.1248016208410263, cm=-0.16870637238025665
  Angle -6: cl=-0.6136656403541565, cd=0.11327079683542252, cm=-0.15586887300014496
  Angle -5: cl=-0.49730467796325684, cd=0.1012919470667839, cm=-0.14366747438907623
  Angle -4: cl=-0.39894935488700867, cd=0.09490387886762619, cm=-0.12925143539905548
  Angle -3: cl=-0.30187496542930603, cd=0.08802522718906403, cm=-0.11191870272159576
  Angle -2: cl=-0.23651590943336487, cd=0.0819430947303772, cm=-0.08529983460903168
  Angle -1: cl=-0.17714567482471466, cd=0.07914476096630096, cm=-0.054983481764793396
  Angle 0: cl=-0.11424128711223602, cd=0.07978854328393936, cm=-0.027631446719169617
  Angle 1: cl=-0.04982925206422806, cd=0.08362510800361633, cm=-0.006690844893455505
  Angle 2: cl=0.027990633621811867, cd=0.089283786714077, cm=0.0047448426485061646
  Angle 3: cl=0.25546175241470337, cd=0.0784502774477005, cm=0.006523385643959045
  Angle 4: cl=0.3423233926296234, cd=0.08412230759859085, cm=0.012091591954231262
  Angle 5: cl=0.43481743335723877, cd=0.09042908251285553, cm=0.01599794626235962
  Angle 6: cl=0.5319582223892212, cd=0.09623676538467407, cm=0.018343299627304077
  Angle 7: cl=0.6271694898605347, cd=0.10042600333690643, cm=0.014008507132530212
  Angle 8: cl=0.7191652059555054, cd=0.10363128036260605, cm=0.006830662488937378
  Angle 9: cl=0.8102909326553345, cd=0.10733175277709961, cm=-0.0015593916177749634
  Angle 10: cl=0.9084884524345398, cd=0.11213892698287964, cm=-0.010707154870033264
Genotype [0.00853507387757016, 0.4415862706663331, 0.12888587113365038, -0.7805533537054162, 0.2593344103057096, -0.02269292350062122, 0.14668145711590863, -0.0030841003779912535, 0.002667489214293948, 8.660661904471958, 10.11619256904277]:
  Angle -10: cl=-0.5571536421775818, cd=0.22377121448516846, cm=-0.18543599545955658
  Angle -9: cl=-0.5909146666526794, cd=0.19317777454853058, cm=-0.180691197514534
  Angle -8: cl=-0.6150551438331604, cd=0.15839837491512299, cm=-0.1780226081609726
  Angle -7: cl=-0.6447415351867676, cd=0.12599381804466248, cm=-0.16912291944026947
  Angle -6: cl=-0.6158298850059509, cd=0.11406087130308151, cm=-0.15622542798519135
  Angle -5: cl=-0.49954962730407715, cd=0.10204605758190155, cm=-0.14411266148090363
  Angle -4: cl=-0.4004194140434265, cd=0.09553111344575882, cm=-0.13017772138118744
  Angle -3: cl=-0.29912251234054565, cd=0.08876097202301025, cm=-0.1143345981836319
  Angle -2: cl=-0.23200762271881104, cd=0.08259071409702301, cm=-0.08799229562282562
  Angle -1: cl=-0.1732739359140396, cd=0.07953667640686035, cm=-0.058087125420570374
  Angle 0: cl=-0.11029554903507233, cd=0.07991451025009155, cm=-0.029935196042060852
  Angle 1: cl=-0.04360730201005936, cd=0.0822039321064949, cm=-0.007279977202415466
  Angle 2: cl=0.03736720234155655, cd=0.08773867040872574, cm=0.003985747694969177
  Angle 3: cl=0.26786428689956665, cd=0.07660180330276489, cm=0.005909264087677002
  Angle 4: cl=0.35471996665000916, cd=0.08224421739578247, cm=0.011506572365760803
  Angle 5: cl=0.44795870780944824, cd=0.08842375874519348, cm=0.015350207686424255
  Angle 6: cl=0.5424937009811401, cd=0.09511903673410416, cm=0.017590343952178955
  Angle 7: cl=0.6371132135391235, cd=0.10008525103330612, cm=0.015197262167930603
  Angle 8: cl=0.7290621399879456, cd=0.10326177626848221, cm=0.00791749358177185
  Angle 9: cl=0.8206066489219666, cd=0.10700269788503647, cm=-0.0004170536994934082
  Angle 10: cl=0.9189397692680359, cd=0.11170143634080887, cm=-0.009193047881126404
Genotype [0.00881992652620709, 0.4236272218913109, 0.12889248550321827, -0.7800660535416328, 0.25966876502848935, -0.022777298949315787, 0.0770866151366069, -0.003050671788411848, 0.0025770552305220185, 8.318129701807646, 10.13417107557187]:
  Angle -10: cl=-0.5576353669166565, cd=0.22568045556545258, cm=-0.18460474908351898
  Angle -9: cl=-0.5913204550743103, cd=0.19504867494106293, cm=-0.1784464567899704
  Angle -8: cl=-0.6247873306274414, cd=0.16309216618537903, cm=-0.17314012348651886
