Experiment: Combination_Experiment_438
Generation: 72
Timestamp: 20231226_214929

Genotypes and their Fitness Values:
[0.008519377844707503, 0.45531212272985766, 0.12969376892292894, -0.8175441571754547, 0.2593531246660643, -0.022830716323074755, 0.08159538024596685, -0.0031178856790584812, 0.002545180499245117, 7.967432521340717, 11.325785242663944] - Fitness: 0.0018530524239259009
[0.008513781010628002, 0.45540647966328035, 0.12970668031778915, -0.8175432984743461, 0.25935334653075803, -0.02282044808536529, 0.07581939054887177, -0.0031178208824004937, 0.0025548295578346246, 7.96749526500577, 11.325395704169768] - Fitness: 0.005220271354116661
[0.0085, 0.4553649397344698, 0.12970915866422422, -0.8175434986610011, 0.25961178515761296, -0.0228261111762173, 0.07699224219894615, -0.0031178964851328746, 0.0025512520671247376, 7.967469458638587, 11.325785573303776] - Fitness: 0.014177365095002043
[0.008518187818544826, 0.4553254784399035, 0.1296938198876812, -0.8425755272238958, 0.25919823297639555, -0.022821009829509048, 0.07691144173580397, -0.003117850920704695, 0.0025487838848793163, 7.967421918714258, 11.324150326373488] - Fitness: 0.0020055913583105545
[0.008515215182137433, 0.4553477140249278, 0.1296950214924669, -0.8175440851407401, 0.25912007489148464, -0.022815063893512802, 0.0771506184766973, -0.003117723837903541, 0.002542101259692224, 7.967482896918429, 11.325790731044542] - Fitness: -0.000715997020806657
[0.008518754066660755, 0.4553169177838591, 0.12969386668262262, -0.8175442337289652, 0.25935297526268825, -0.02282508614525539, 0.08062045495723777, -0.003117862677038969, 0.0025454438584493885, 7.96743252224041, 11.325785931501201] - Fitness: 0.00209512724638143
[0.008523248787169277, 0.45526163799796715, 0.12969259556375576, -0.8175445599870858, 0.2596116628680618, -0.022836678904604033, 0.08465310758091818, -0.003118003003781044, 0.002544614957806786, 7.967376550742253, 11.325780895489903] - Fitness: 0.005530834902429553
[0.008514831258677429, 0.4554022294792531, 0.12972688719597342, -0.8175435537962606, 0.25922436912202595, -0.02281786931791293, 0.07872518976227065, -0.003117879699424901, 0.002560978936473666, 7.9674535535187, 11.342322060436057] - Fitness: -0.0018103272247302618
[0.008511511842243726, 0.4554580708950775, 0.1296954898616049, -0.8175430938567537, 0.2589268916972042, -0.022817933943954382, 0.07594944916491031, -0.0031177467447045465, 0.0025614915990529548, 7.967513088971023, 11.325354775584053] - Fitness: -0.005478840133689927
[0.008516446160063963, 0.4553804902397926, 0.12972332668540792, -0.8175437822555743, 0.25912128896254605, -0.022822869972453096, 0.0796931911256521, -0.0031179107758726073, 0.0025608067285700356, 7.967429869850366, 11.324803277324781] - Fitness: -0.002867731452425906
[0.008524863192505602, 0.4552576925628137, 0.12969194650074223, -0.817544541811042, 0.25974110857870786, -0.022841961244689363, 0.0864699952917935, -0.003118088848486532, 0.002549311269154868, 7.967348564581078, 11.325778043567787] - Fitness: 0.0068851869870676
[0.008519078596337524, 0.4553649332046329, 0.129701134363351, -0.8175434571573182, 0.25961219269700375, -0.022838344746839823, 0.08368211468830275, -0.003118018584366553, 0.0025598175699636312, 7.9674254473095, 11.325781533386532] - Fitness: 0.005775980711672136
[0.0085219045932206, 0.4553227197938674, 0.12969236161925674, -0.8175441553675592, 0.25958626348426467, -0.02283525261534869, 0.08423293392565462, -0.0031180612274743086, 0.0025599406244962925, 7.967364472184662, 11.325125026787791] - Fitness: 0.0037044294258963707
[0.008519410570994375, 0.45535939304583284, 0.1297049106587025, -0.8175434365210391, 0.2597414617980025, -0.02283870738474132, 0.08429344584437118, -0.0031180442635042795, 0.0025596674822220156, 7.967421911586809, 11.325780696250465] - Fitness: 0.008454281080734377
[0.008516580647635334, 0.45538638849279733, 0.12970169320820019, -0.8175435934585248, 0.25937958306014003, -0.022825521824826257, 0.08039625012813241, -0.003117924534445777, 0.0025606126362217162, 7.967438706078223, 11.324410407587155] - Fitness: 0.002066353924984972
[0.008516762162580474, 0.45532657032304213, 0.12969448454900856, -0.8175443354157157, 0.25912036802784705, -0.022817086261339162, 0.07414482758903615, -0.003117768994777298, 0.0025429742313879244, 7.967453439384152, 11.32469838000484] - Fitness: 0.0009727386832746705
[0.00851576692574755, 0.45539503689825095, 0.12972674055643285, -0.8175434389659948, 0.25922459322709, -0.02282631458464198, 0.0801875776953643, -0.0031179142024541687, 0.002560583897667258, 7.96745355216916, 11.342321027180171] - Fitness: -0.0021738859263744107
[0.008517519814957693, 0.4553795317102768, 0.12969836748728608, -0.8175435907589479, 0.2594182346385241, -0.02282951458782908, 0.08132996272542997, -0.003117948615804842, 0.002560410557041491, 7.967431959787698, 11.325194821038135] - Fitness: 0.0023113427563689346
[0.008516041595630493, 0.45537891573294775, 0.12969428726778184, -0.8175437931894356, 0.25926261803513423, -0.022820103408223172, 0.0788500370572128, -0.003117841789081254, 0.002554933344679192, 7.96745211152299, 11.325787093055517] - Fitness: 0.00024156336413017271
[0.008514544328249328, 0.4554129317914616, 0.12970229999291125, -0.8175433892919978, 0.25926318572816226, -0.022821739115375876, 0.07875775255209512, -0.003117863245544873, 0.002560924535426187, 7.967467427876709, 11.324543541251831] - Fitness: 0.0005281195004476424
[0.008515107014423116, 0.4553934682686597, 0.1297508725390282, -0.8175433679614958, 0.2594186007951294, -0.022821387417247548, 0.08027430266710044, -0.0031179390489111548, 0.002560516798294226, 7.967456997430914, 11.350588262668797] - Fitness: 0.0019115269345281456
[0.008513835199398216, 0.45539632791061846, 0.129706772081005, -0.8175433881837911, 0.25935322277473477, -0.022819375452465512, 0.07431614866388281, -0.003117801830723097, 0.0025518336743504295, 7.9674988003271885, 11.325527116397868] - Fitness: 0.006373230926032254
[0.008520058398146414, 0.4553358777194675, 0.12969307430342628, -0.8175440306126085, 0.25950841202342284, -0.022830910913768793, 0.08260128160932326, -0.0031179813720200057, 0.002556190193736472, 7.9673989384349015, 11.3257821752782] - Fitness: 0.003363688494271447
[0.008507865287104129, 0.4554065744165108, 0.1297044882963697, -0.8175436582648439, 0.2585383342549237, -0.022796186810636155, 0.060829186426361787, -0.0031174553174095326, 0.0025337128543943366, 7.96759539867325, 11.324349460132211] - Fitness: -0.002405996103564296
[0.0085, 0.4554045485862599, 0.12974331994832528, -0.8175434092340539, 0.25916006259313196, -0.022820662141444556, 0.07905164035496354, -0.003117887690635703, 0.0025608169737774563, 7.967464068876298, 11.350589936940926] - Fitness: -0.00039803012691576735
[0.00850800799059865, 0.45546499175990846, 0.12969671319649298, -0.8175433183430899, 0.25877103005855706, -0.02279848839713194, 0.07134754795299192, -0.0031175626232037516, 0.00255241964656463, 7.967558457699164, 11.325796928610156] - Fitness: -0.006019313552196495
[0.008516065778872988, 0.45539756824609545, 0.12972337068675055, -0.8175428401432443, 0.2590317324777963, -0.022832886028386457, 0.08322227687799005, -0.0031180131637208426, 0.0025596990141826606, 7.967475964082773, 11.320828357443016] - Fitness: -0.005626549775272429
[0.008512623478284114, 0.45543209694590836, 0.12969493148606914, -0.8175436302304667, 0.25896565871066163, -0.022809342651081685, 0.07542667874382035, -0.003117762261839509, 0.0025617957234641813, 7.967472292073564, 11.324154057384138] - Fitness: -0.005159980006168399
[0.008515133835424057, 0.45538347471816554, 0.12974315662724784, -0.8175439714727063, 0.2589663786075726, -0.022813036973397274, 0.07784901695864292, -0.003117873142393611, 0.002561266050652152, 7.9674281039140205, 11.32414999043553] - Fitness: -0.005061467130694546
[0.00850990685535245, 0.4553939083865308, 0.1296967537072333, -0.8175438622584024, 0.2587707243346792, -0.02280003051589892, 0.07194586375588659, -0.0031175155792003994, 0.002537087361556477, 7.967558458935457, 11.325797930359553] - Fitness: -0.004941296160315558
[0.008515526485893894, 0.45534548401646424, 0.12969465145116404, -0.8175443460673769, 0.25896551663964607, -0.02281215987529516, 0.07660640195671417, -0.0031177404302002764, 0.002546373930073123, 7.967454618838744, 11.323499688579687] - Fitness: -0.004485617467448138
[0.008507283261411265, 0.4554053889152732, 0.1297707776484147, -0.8175439086964273, 0.25838393282787314, -0.022788775910852502, 0.05998098898844989, -0.003117496058828413, 0.00254003191188176, 7.967564350756582, 11.32536230329279] - Fitness: -0.004313871918312821
[0.008513575968946602, 0.45543911943709625, 0.1296950484716145, -0.8175429949153374, 0.2590304817425095, -0.022830166244125226, 0.0786372932074767, -0.0031178205701878976, 0.0025608246722447756, 7.967502482002963, 11.325788641626211] - Fitness: -0.004193770934915371
[0.008510471689477316, 0.45546601838879003, 0.12970351356233337, -0.8175429809589438, 0.2590303910642068, -0.022814173696475114, 0.07548075740002054, -0.0031177406677430648, 0.002561548333835129, 7.96752487147368, 11.324809808581183] - Fitness: -0.002552537772432833
[0.008521039130473525, 0.4553232946736262, 0.12969249056502652, -0.817544406153644, 0.2593539628734925, -0.022828856965848816, 0.08244467002933958, -0.0031180147725594874, 0.0025604031918621, 7.967358877374473, 11.32305421911078] - Fitness: -0.0006585068317627072
[0.008517061377211619, 0.4553345560993277, 0.12969430880829735, -0.8175442098956908, 0.25919792635232647, -0.0228194055950927, 0.07878227079302866, -0.003117803693357844, 0.0025458516904520445, 7.967448430668189, 11.325133582554134] - Fitness: -0.00037160419802677644
[0.008518414647023822, 0.4553760135222331, 0.12969358177264806, -0.8175434984298764, 0.2593536544950063, -0.022837619471036828, 0.08245945237616584, -0.0031179672260911013, 0.0025601177454468616, 7.967432518754884, 11.32578320765866] - Fitness: 0.0004088509710171254
[0.008504747161884502, 0.4554175919208875, 0.12969869414448384, -0.8175438261339818, 0.2583824381567206, -0.02278392647584843, 0.05, -0.003117265885751161, 0.0025255538083469213, 7.967642417212936, 11.325806319167665] - Fitness: 0.0009936938678547032
[0.008516855201906953, 0.45538800115723665, 0.1296938261718823, -0.8175436898136529, 0.2593532809865661, -0.02282354402648841, 0.08002213915434309, -0.003117909721042321, 0.0025607761434575417, 7.967432521004117, 11.325784929751805] - Fitness: 0.001012607357291334
[0.008516855201906953, 0.45538800115723665, 0.1296938261718823, -0.8175436898136529, 0.2593532809865661, -0.02282354402648841, 0.08002213915434309, -0.003117909721042321, 0.0025607761434575417, 7.967432521004117, 11.325784929751805] - Fitness: 0.001012607357291334
[0.008513910850651774, 0.4553287540893194, 0.12969581387166323, -0.8175442882570968, 0.25896463813075005, -0.022809239124999395, 0.06861159929550054, -0.0031176051429225053, 0.0025313549244051405, 7.967516480723938, 11.325794487267546] - Fitness: 0.002066936335499112
[0.008520019976496623, 0.455269528868274, 0.12969389368978285, -0.8175445963391735, 0.25935277144676966, -0.022826114224433373, 0.08101933215916754, -0.003117831314370068, 0.00253522233511062, 7.9674325230646055, 11.325786599334132] - Fitness: 0.002815704845999682
[0.008520019976496623, 0.455269528868274, 0.12969389368978285, -0.8175445963391735, 0.25935277144676966, -0.022826114224433373, 0.08101933215916754, -0.003117831314370068, 0.00253522233511062, 7.9674325230646055, 11.325786599334132] - Fitness: 0.002815704845999682
[0.00851367263308757, 0.45542678316860424, 0.12970649679135737, -0.8175431190554561, 0.25935359404280456, -0.022822593351164846, 0.07882587431884971, -0.003117858985755287, 0.002560821324803015, 7.967488194362929, 11.325132879713568] - Fitness: 0.00291493956973209
[0.008520653286407345, 0.4553333018954688, 0.12970047963877807, -0.8175440017915787, 0.2596123777240955, -0.022833087243727016, 0.08367324528020699, -0.003118047112247585, 0.002559988837812774, 7.967381262481253, 11.324144140257804] - Fitness: 0.0051401284379669265
[0.008513943576938647, 0.45537602440529457, 0.12970695560743678, -0.8175435676026812, 0.25935297526268825, -0.02281723018666596, 0.07130966489390486, -0.0031177637273683036, 0.0025458419073820394, 7.9675058709700295, 11.325789940854069] - Fitness: 0.008676044315764495
[0.008528092003178257, 0.4552498016925068, 0.12969064837471514, -0.8175445054589542, 0.26, -0.022852525924860024, 0.09010377071354414, -0.003118260537897508, 0.002558703891851034, 7.967292592258726, 11.32577233972356] - Fitness: 0.009588332927769628
[0.008512770163604076, 0.45535657868788315, 0.12969573189423284, -0.8175443160242435, 0.2587712935227228, -0.023, 0.07368726792040148, -0.0031176032590206713, 0.002539359299178634, 7.967502489570879, 11.323722423314141] - Fitness: 0.010101763404983595
[0.008520074520308077, 0.4553483127282326, 0.1297124632494054, -0.817543395248481, 0.26, -0.022839432660544313, 0.08551610815650809, -0.0031180956217797314, 0.0025593673067387853, 7.967414840141425, 11.325779021978338] - Fitness: 0.01380067860353294
[0.008515582077569119, 0.4553670697148546, 0.12969451636755464, -0.8175440166739495, 0.2591205038051048, -0.02281605128042236, 0.07766374010995922, -0.003, 0.0025511663681227568, 7.967456384469981, 11.324807074164134] - Fitness: 0.0217177318127391

Detailed Results for Each Genotype:
Genotype [0.008519377844707503, 0.45531212272985766, 0.12969376892292894, -0.8175441571754547, 0.2593531246660643, -0.022830716323074755, 0.08159538024596685, -0.0031178856790584812, 0.002545180499245117, 7.967432521340717, 11.325785242663944]:
  Angle -10: cl=-0.5608410835266113, cd=0.22625602781772614, cm=-0.18715964257717133
  Angle -9: cl=-0.5920673608779907, cd=0.1944931000471115, cm=-0.18315137922763824
  Angle -8: cl=-0.6145978569984436, cd=0.1591174453496933, cm=-0.18101249635219574
  Angle -7: cl=-0.6526340246200562, cd=0.12547269463539124, cm=-0.17305882275104523
  Angle -6: cl=-0.6155900955200195, cd=0.11337078362703323, cm=-0.15880940854549408
  Angle -5: cl=-0.5101200342178345, cd=0.10296610742807388, cm=-0.14613454043865204
  Angle -4: cl=-0.4136303961277008, cd=0.0973752960562706, cm=-0.1328335851430893
  Angle -3: cl=-0.30959582328796387, cd=0.09066705405712128, cm=-0.11794333159923553
  Angle -2: cl=-0.2428036332130432, cd=0.08470897376537323, cm=-0.09140528738498688
  Angle -1: cl=-0.18313780426979065, cd=0.0808630883693695, cm=-0.06189639866352081
  Angle 0: cl=-0.11773215234279633, cd=0.0810040533542633, cm=-0.03405247628688812
  Angle 1: cl=-0.04471788555383682, cd=0.08118069916963577, cm=-0.010478273034095764
  Angle 2: cl=0.038032736629247665, cd=0.08588478714227676, cm=0.0012903958559036255
  Angle 3: cl=0.2744063138961792, cd=0.07362005114555359, cm=0.0028784871101379395
  Angle 4: cl=0.36451175808906555, cd=0.07919137924909592, cm=0.008257463574409485
  Angle 5: cl=0.46224817633628845, cd=0.08595594763755798, cm=0.011679500341415405
  Angle 6: cl=0.558526873588562, cd=0.09275424480438232, cm=0.013738125562667847
  Angle 7: cl=0.6509189605712891, cd=0.09931434690952301, cm=0.015651553869247437
  Angle 8: cl=0.7423143982887268, cd=0.10260502249002457, cm=0.008757635951042175
  Angle 9: cl=0.8355680704116821, cd=0.1065647080540657, cm=0.00043608248233795166
  Angle 10: cl=0.9351558685302734, cd=0.11119630187749863, cm=-0.0077444761991500854
Genotype [0.008513781010628002, 0.45540647966328035, 0.12970668031778915, -0.8175432984743461, 0.25935334653075803, -0.02282044808536529, 0.07581939054887177, -0.0031178208824004937, 0.0025548295578346246, 7.96749526500577, 11.325395704169768]:
  Angle -10: cl=-0.560761034488678, cd=0.22634932398796082, cm=-0.18718551099300385
  Angle -9: cl=-0.5919322967529297, cd=0.19456471502780914, cm=-0.18319372832775116
  Angle -8: cl=-0.6144471168518066, cd=0.15918922424316406, cm=-0.18105833232402802
  Angle -7: cl=-0.6524909734725952, cd=0.12554487586021423, cm=-0.17316071689128876
  Angle -6: cl=-0.6153609752655029, cd=0.11338828504085541, cm=-0.1588982492685318
  Angle -5: cl=-0.5099731683731079, cd=0.10298637300729752, cm=-0.146224245429039
  Angle -4: cl=-0.4135088622570038, cd=0.09740512818098068, cm=-0.1329381912946701
  Angle -3: cl=-0.3094765543937683, cd=0.09069711714982986, cm=-0.11804787814617157
  Angle -2: cl=-0.24259421229362488, cd=0.08474818617105484, cm=-0.09155432879924774
  Angle -1: cl=-0.18288302421569824, cd=0.08089423924684525, cm=-0.06204123795032501
  Angle 0: cl=-0.11745697259902954, cd=0.08102550357580185, cm=-0.03419436514377594
  Angle 1: cl=-0.04425804316997528, cd=0.08119724690914154, cm=-0.010639861226081848
  Angle 2: cl=0.03849397599697113, cd=0.08581258356571198, cm=0.0012157261371612549
  Angle 3: cl=0.274976909160614, cd=0.07352975755929947, cm=0.002798810601234436
  Angle 4: cl=0.36514660716056824, cd=0.07909947633743286, cm=0.008168667554855347
  Angle 5: cl=0.4628903865814209, cd=0.08590347319841385, cm=0.011586099863052368
  Angle 6: cl=0.5591664910316467, cd=0.0927087739109993, cm=0.013653755187988281
  Angle 7: cl=0.6515153050422668, cd=0.09926945716142654, cm=0.015572935342788696
  Angle 8: cl=0.742897629737854, cd=0.10259705036878586, cm=0.008774816989898682
  Angle 9: cl=0.8361707925796509, cd=0.1065584272146225, cm=0.0004532039165496826
  Angle 10: cl=0.935759425163269, cd=0.11118605732917786, cm=-0.007713153958320618
Genotype [0.0085, 0.4553649397344698, 0.12970915866422422, -0.8175434986610011, 0.25961178515761296, -0.0228261111762173, 0.07699224219894615, -0.0031178964851328746, 0.0025512520671247376, 7.967469458638587, 11.325785573303776]:
  Angle -10: cl=-0.5608765482902527, cd=0.22664041817188263, cm=-0.18724144995212555
  Angle -9: cl=-0.5920345783233643, cd=0.1948484182357788, cm=-0.18325792253017426
  Angle -8: cl=-0.6145523190498352, cd=0.1594730168581009, cm=-0.18112559616565704
  Angle -7: cl=-0.6525673270225525, cd=0.1257716566324234, cm=-0.1733957976102829
  Angle -6: cl=-0.615034818649292, cd=0.11349491775035858, cm=-0.15911035239696503
  Angle -5: cl=-0.5093382596969604, cd=0.10301846265792847, cm=-0.14647088944911957
  Angle -4: cl=-0.4129845201969147, cd=0.09746138751506805, cm=-0.13321809470653534
  Angle -3: cl=-0.30895882844924927, cd=0.09075423330068588, cm=-0.11832763254642487
  Angle -2: cl=-0.2416227161884308, cd=0.08482051640748978, cm=-0.09201659262180328
  Angle -1: cl=-0.18183954060077667, cd=0.08097419142723083, cm=-0.06249324977397919
  Angle 0: cl=-0.11645020544528961, cd=0.08107530325651169, cm=-0.03459484875202179
  Angle 1: cl=-0.04277179390192032, cd=0.0812559649348259, cm=-0.011083617806434631
  Angle 2: cl=0.03992288559675217, cd=0.08559685200452805, cm=0.0010346919298171997
  Angle 3: cl=0.2765983045101166, cd=0.07327517122030258, cm=0.0026184767484664917
  Angle 4: cl=0.36690059304237366, cd=0.07883840799331665, cm=0.007964178919792175
  Angle 5: cl=0.4646576941013336, cd=0.08574238419532776, cm=0.011373758316040039
  Angle 6: cl=0.5607800483703613, cd=0.09257427603006363, cm=0.01347188651561737
  Angle 7: cl=0.6530300974845886, cd=0.09913605451583862, cm=0.01539793610572815
  Angle 8: cl=0.7443742156028748, cd=0.10255981981754303, cm=0.00885695219039917
  Angle 9: cl=0.8376570343971252, cd=0.1065191924571991, cm=0.0005376040935516357
  Angle 10: cl=0.9373635649681091, cd=0.11113579571247101, cm=-0.007567271590232849
Genotype [0.008518187818544826, 0.4553254784399035, 0.1296938198876812, -0.8425755272238958, 0.25919823297639555, -0.022821009829509048, 0.07691144173580397, -0.003117850920704695, 0.0025487838848793163, 7.967421918714258, 11.324150326373488]:
  Angle -10: cl=-0.5607214570045471, cd=0.22620606422424316, cm=-0.1871526688337326
  Angle -9: cl=-0.5919393301010132, cd=0.1944398581981659, cm=-0.18314652144908905
  Angle -8: cl=-0.6144591569900513, cd=0.15906423330307007, cm=-0.1810087412595749
  Angle -7: cl=-0.6524480581283569, cd=0.1254497915506363, cm=-0.173034206032753
  Angle -6: cl=-0.6154849529266357, cd=0.11335118114948273, cm=-0.15878982841968536
  Angle -5: cl=-0.5101423263549805, cd=0.10296782851219177, cm=-0.1461050659418106
  Angle -4: cl=-0.41362425684928894, cd=0.09737419337034225, cm=-0.1328011304140091
  Angle -3: cl=-0.30958858132362366, cd=0.09066583961248398, cm=-0.11791090667247772
  Angle -2: cl=-0.24288222193717957, cd=0.0847093015909195, cm=-0.09134425222873688
  Angle -1: cl=-0.18322889506816864, cd=0.08085707575082779, cm=-0.06183867156505585
  Angle 0: cl=-0.11778832972049713, cd=0.08100065588951111, cm=-0.034005776047706604
  Angle 1: cl=-0.04480547457933426, cd=0.08117789775133133, cm=-0.010431215167045593
  Angle 2: cl=0.03795916214585304, cd=0.08591055870056152, cm=0.0013120323419570923
  Angle 3: cl=0.2743833065032959, cd=0.07364542782306671, cm=0.002894654870033264
  Angle 4: cl=0.36449918150901794, cd=0.07921740412712097, cm=0.008274421095848083
  Angle 5: cl=0.46222931146621704, cd=0.08598114550113678, cm=0.01169593632221222
  Angle 6: cl=0.5585383772850037, cd=0.09277492761611938, cm=0.01374921202659607
  Angle 7: cl=0.6509442925453186, cd=0.09933490306138992, cm=0.015663519501686096
  Angle 8: cl=0.7423482537269592, cd=0.10261606425046921, cm=0.008740365505218506
  Angle 9: cl=0.8356104493141174, cd=0.10657718777656555, cm=0.0004179924726486206
  Angle 10: cl=0.935162365436554, cd=0.11121048033237457, cm=-0.0077753812074661255
Genotype [0.008515215182137433, 0.4553477140249278, 0.1296950214924669, -0.8175440851407401, 0.25912007489148464, -0.022815063893512802, 0.0771506184766973, -0.003117723837903541, 0.002542101259692224, 7.967482896918429, 11.325790731044542]:
  Angle -10: cl=-0.5608782768249512, cd=0.22618679702281952, cm=-0.18714509904384613
  Angle -9: cl=-0.5921176671981812, cd=0.19442956149578094, cm=-0.18313367664813995
  Angle -8: cl=-0.6146472096443176, cd=0.15905386209487915, cm=-0.18099422752857208
  Angle -7: cl=-0.6526985764503479, cd=0.12541526556015015, cm=-0.17300446331501007
  Angle -6: cl=-0.6157252788543701, cd=0.11334709078073502, cm=-0.15875662863254547
  Angle -5: cl=-0.5103318691253662, cd=0.10295864194631577, cm=-0.14607255160808563
  Angle -4: cl=-0.41381850838661194, cd=0.09736362844705582, cm=-0.1327657848596573
  Angle -3: cl=-0.3097817599773407, cd=0.0906551331281662, cm=-0.11787565052509308
  Angle -2: cl=-0.2430703341960907, cd=0.08469327539205551, cm=-0.09129925072193146
  Angle -1: cl=-0.18343959748744965, cd=0.08083615452051163, cm=-0.061799392104148865
  Angle 0: cl=-0.11803245544433594, cd=0.08098249137401581, cm=-0.03396324813365936
  Angle 1: cl=-0.04513256251811981, cd=0.08115893602371216, cm=-0.01037965714931488
  Angle 2: cl=0.03764296695590019, cd=0.0859280675649643, cm=0.0013288408517837524
  Angle 3: cl=0.27398791909217834, cd=0.07366976141929626, cm=0.0029214173555374146
  Angle 4: cl=0.36406761407852173, cd=0.07924266159534454, cm=0.008306175470352173
  Angle 5: cl=0.46181079745292664, cd=0.0859840139746666, cm=0.011731550097465515
  Angle 6: cl=0.5581212043762207, cd=0.09277467429637909, cm=0.013780876994132996
  Angle 7: cl=0.650536298751831, cd=0.09933449327945709, cm=0.01569245755672455
  Angle 8: cl=0.7419373989105225, cd=0.10260818898677826, cm=0.008754357695579529
  Angle 9: cl=0.8351854681968689, cd=0.10656807571649551, cm=0.00043241679668426514
  Angle 10: cl=0.9347560405731201, cd=0.11120233684778214, cm=-0.0077604204416275024
Genotype [0.008518754066660755, 0.4553169177838591, 0.12969386668262262, -0.8175442337289652, 0.25935297526268825, -0.02282508614525539, 0.08062045495723777, -0.003117862677038969, 0.0025454438584493885, 7.96743252224041, 11.325785931501201]:
  Angle -10: cl=-0.5608382821083069, cd=0.22626514732837677, cm=-0.18716005980968475
  Angle -9: cl=-0.59206622838974, cd=0.1945030242204666, cm=-0.1831512600183487
  Angle -8: cl=-0.6145949363708496, cd=0.1591273844242096, cm=-0.18101291358470917
  Angle -7: cl=-0.6526221632957458, cd=0.12548230588436127, cm=-0.1730639487504959
  Angle -6: cl=-0.615580677986145, cd=0.11337418109178543, cm=-0.1588156670331955
  Angle -5: cl=-0.5100936889648438, cd=0.10296616703271866, cm=-0.14614243805408478
  Angle -4: cl=-0.41360676288604736, cd=0.09737591445446014, cm=-0.1328422874212265
  Angle -3: cl=-0.3095723092556, cd=0.09066767990589142, cm=-0.11795203387737274
  Angle -2: cl=-0.242768794298172, cd=0.08470998704433441, cm=-0.09141941368579865
  Angle -1: cl=-0.183102086186409, cd=0.08086322247982025, cm=-0.061910465359687805
  Angle 0: cl=-0.11769841611385345, cd=0.08100336790084839, cm=-0.03406502306461334
  Angle 1: cl=-0.04467947036027908, cd=0.081179678440094, cm=-0.010490849614143372
  Angle 2: cl=0.03807125613093376, cd=0.0858784094452858, cm=0.0012840479612350464
  Angle 3: cl=0.2744433283805847, cd=0.07361362874507904, cm=0.002873852849006653
  Angle 4: cl=0.3645498752593994, cd=0.07918485254049301, cm=0.00825260579586029
  Angle 5: cl=0.4622844159603119, cd=0.08595141023397446, cm=0.011674687266349792
  Angle 6: cl=0.558559000492096, cd=0.09275072067975998, cm=0.013734489679336548
  Angle 7: cl=0.6509501338005066, cd=0.09931083768606186, cm=0.015647724270820618
  Angle 8: cl=0.7423450350761414, cd=0.10260351002216339, cm=0.008759692311286926
  Angle 9: cl=0.835597038269043, cd=0.10656294226646423, cm=0.0004382878541946411
  Angle 10: cl=0.9351892471313477, cd=0.11119444668292999, cm=-0.007740840315818787
Genotype [0.008523248787169277, 0.45526163799796715, 0.12969259556375576, -0.8175445599870858, 0.2596116628680618, -0.022836678904604033, 0.08465310758091818, -0.003118003003781044, 0.002544614957806786, 7.967376550742253, 11.325780895489903]:
  Angle -10: cl=-0.5608305931091309, cd=0.2263622283935547, cm=-0.1871778517961502
  Angle -9: cl=-0.5920562744140625, cd=0.19459810853004456, cm=-0.1831691712141037
  Angle -8: cl=-0.6145898699760437, cd=0.15922242403030396, cm=-0.18103115260601044
  Angle -7: cl=-0.652584433555603, cd=0.1255638152360916, cm=-0.17313311994075775
  Angle -6: cl=-0.6154338717460632, cd=0.11341138929128647, cm=-0.15888391435146332
