Experiment: Combination_Experiment_44
Generation: 33
Timestamp: 20231225_151747

Genotypes and their Fitness Values:
[0.0085, 0.45404804326726844, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.0025, 7.307035305533588, 10.476138378115953] - Fitness: 0.1991716539630562
[0.0085, 0.43806102819958204, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.0025, 7.307035305533588, 10.50609798072372] - Fitness: 0.1741629591706184
[0.0085, 0.45904420826171155, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.06735512380629358, -0.006, 0.002615802922266465, 7.29743883051501, 10.492143733452881] - Fitness: -0.27534554619720253
[0.0085, 0.45609724015891506, 0.11, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.002615802922266465, 7.307035305533588, 10.428294904278943] - Fitness: -0.5292132156900897
[0.0085, 0.4285269719315858, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.0025, 7.307035305533588, 10.47136150011066] - Fitness: 0.15325168423379953
[0.0085, 0.46, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.0025, 7.307035305533588, 10.50609798072372] - Fitness: 0.1990090475453844
[0.0085, 0.44674399167813095, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.07783153107957919, -0.003, 0.002615802922266465, 7.307035305533588, 10.476138378115953] - Fitness: 0.16388869809812237
[0.0085, 0.46, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.002615802922266465, 7.29743883051501, 10.476138378115953] - Fitness: 0.19045831375782948
[0.0085, 0.43806102819958204, 0.13, -0.7503532396789866, 0.26, -0.022848595055503823, 0.06735512380629358, -0.003, 0.005, 7.29743883051501, 10.473561748826667] - Fitness: -0.10192056355747107
[0.0085, 0.44674399167813095, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.0025, 7.307035305533588, 10.476138378115953] - Fitness: 0.19257687259660886
[0.0085, 0.44674399167813095, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.002615802922266465, 7.29743883051501, 10.500541224558683] - Fitness: 0.17783675182607192
[0.0126, 0.43806102819958204, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.002615802922266465, 7.29743883051501, 10.50609798072372] - Fitness: -0.5205506068803607
[0.0085, 0.45404804326726844, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.0025, 7.307035305533588, 10.50609798072372] - Fitness: 0.19586974390912607
[0.0085, 0.45609724015891506, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.0025, 7.307035305533588, 10.50609798072372] - Fitness: 0.19732527275350759
[0.0085, 0.43806102819958204, 0.13, -0.7352062649287288, 0.26, -0.022848595055503823, 0.06735512380629358, -0.003, 0.0025, 7.29743883051501, 10.513680907709247] - Fitness: 0.16554942998393665
[0.0085, 0.44674399167813095, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.06735512380629358, -0.003, 0.0025, 7.307035305533588, 10.492143733452881] - Fitness: 0.1807870479838788
[0.0085, 0.46, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.06735512380629358, -0.003, 0.002615802922266465, 7.29743883051501, 10.500541224558683] - Fitness: 0.1779197007839824
[0.0085, 0.45404804326726844, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.06735512380629358, -0.003, 0.002615802922266465, 7.29743883051501, 10.500541224558683] - Fitness: 0.1749790287435376
[0.0085, 0.46, 0.13, -0.758592338714707, 0.26, -0.022848595055503823, 0.05, -0.003, 0.005, 7.307035305533588, 10.476138378115953] - Fitness: -0.07113783786261553
[0.0085, 0.44674399167813095, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.002615802922266465, 7.29743883051501, 10.444637086964919] - Fitness: 0.18392756123541001
[0.0085, 0.44674399167813095, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.06735512380629358, -0.003, 0.0025, 7.307035305533588, 10.476138378115953] - Fitness: 0.18252973640391637
[0.0085, 0.44674399167813095, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.002615802922266465, 7.307035305533588, 10.476138378115953] - Fitness: 0.18002379593178827
[0.0085, 0.45404804326726844, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.06735512380629358, -0.003, 0.0025, 7.307035305533588, 10.476138378115953] - Fitness: 0.18942204384932404
[0.0085, 0.44674399167813095, 0.13, -0.7088024483795178, 0.26, -0.015, 0.06735512380629358, -0.003, 0.002615802922266465, 7.29743883051501, 10.444637086964919] - Fitness: -0.44111714462096635
[0.0085, 0.46, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.00359865883866034, 7.29743883051501, 10.473561748826667] - Fitness: 0.08279072128960659
[0.0085, 0.46, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.06735512380629358, -0.003, 0.002615802922266465, 7.29743883051501, 10.500541224558683] - Fitness: 0.1779197007839824
[0.0085, 0.44674399167813095, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.002615802922266465, 7.307035305533588, 10.492143733452881] - Fitness: 0.17827978365915662
[0.0085, 0.43806102819958204, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.0025, 7.29743883051501, 10.47136150011066] - Fitness: 0.17839334692121092
[0.0085, 0.43806102819958204, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.0025, 7.29743883051501, 10.47136150011066] - Fitness: 0.17839334692121092
[0.0085, 0.46, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.06735512380629358, -0.003, 0.002615802922266465, 7.29743883051501, 10.492143733452881] - Fitness: 0.17885021114129346
[0.0085, 0.46, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.06735512380629358, -0.003, 0.002615802922266465, 7.29743883051501, 10.492143733452881] - Fitness: 0.17885021114129346
[0.0085, 0.44674399167813095, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.06735512380629358, -0.003, 0.0025, 7.307035305533588, 10.500541224558683] - Fitness: 0.1798720507043081
[0.0085, 0.44674399167813095, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.002615802922266465, 7.307035305533588, 10.476138378115953] - Fitness: 0.18002379593178827
[0.0085, 0.43806102819958204, 0.13, -0.7088024483795178, 0.26, -0.023, 0.05, -0.003, 0.002615802922266465, 7.29743883051501, 10.444637086964919] - Fitness: 0.18039328901176194
[0.0085, 0.44674399167813095, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.002615802922266465, 7.29743883051501, 10.476138378115953] - Fitness: 0.18049547013375258
[0.0085, 0.44674399167813095, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.002615802922266465, 7.29743883051501, 10.476138378115953] - Fitness: 0.18049547013375258
[0.0085, 0.44674399167813095, 0.13, -0.7088024483795178, 0.26, -0.023, 0.06735512380629358, -0.003, 0.002615802922266465, 7.29743883051501, 10.492143733452881] - Fitness: 0.18054893376915276
[0.0085, 0.46, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.06735512380629358, -0.003, 0.002615802922266465, 7.29743883051501, 10.473561748826667] - Fitness: 0.18091079055364245
[0.0085, 0.44674399167813095, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.06735512380629358, -0.003, 0.0025, 7.307035305533588, 10.476138378115953] - Fitness: 0.18252973640391637
[0.0085, 0.44674399167813095, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.06735512380629358, -0.003, 0.0025, 7.307035305533588, 10.476138378115953] - Fitness: 0.18252973640391637
[0.0085, 0.45002394704884896, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.002615802922266465, 7.3073199376423945, 10.488602829769942] - Fitness: 0.18287925250253598
[0.0085, 0.44674399167813095, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.0025, 7.351561199617191, 10.50609798072372] - Fitness: 0.18710064638061016
[0.0085, 0.45609724015891506, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.002615802922266465, 7.29743883051501, 10.492143733452881] - Fitness: 0.1871094192744693
[0.0085, 0.45609724015891506, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.002615802922266465, 7.29743883051501, 10.492143733452881] - Fitness: 0.1871094192744693
[0.0085, 0.46, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.002615802922266465, 7.307035305533588, 10.476138378115953] - Fitness: 0.19004310272356287
[0.0085, 0.46, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.002615802922266465, 7.307035305533588, 10.476138378115953] - Fitness: 0.19004310272356287
[0.0085, 0.45404804326726844, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.0025, 7.307035305533588, 10.50609798072372] - Fitness: 0.19586974390912607
[0.0085, 0.45609724015891506, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.0025, 7.307035305533588, 10.50609798072372] - Fitness: 0.19732527275350759
[0.0085, 0.45404804326726844, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.0025, 7.307035305533588, 10.476138378115953] - Fitness: 0.1991716539630562
[0.0085, 0.45609724015891506, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.0025, 7.307035305533588, 10.476138378115953] - Fitness: 0.20062730607672832

Detailed Results for Each Genotype:
Genotype [0.0085, 0.45404804326726844, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.0025, 7.307035305533588, 10.476138378115953]:
  Angle -10: cl=-0.5629730224609375, cd=0.23366382718086243, cm=-0.189552441239357
  Angle -9: cl=-0.5944347977638245, cd=0.20162387192249298, cm=-0.18446268141269684
  Angle -8: cl=-0.6171692609786987, cd=0.1664060652256012, cm=-0.18263496458530426
  Angle -7: cl=-0.6525062918663025, cd=0.13180813193321228, cm=-0.17830969393253326
  Angle -6: cl=-0.6118021607398987, cd=0.11656870692968369, cm=-0.16379715502262115
  Angle -5: cl=-0.5063679218292236, cd=0.10506483912467957, cm=-0.15072377026081085
  Angle -4: cl=-0.4054047167301178, cd=0.09861519932746887, cm=-0.13843677937984467
  Angle -3: cl=-0.3029397428035736, cd=0.09252770990133286, cm=-0.12447123229503632
  Angle -2: cl=-0.22270728647708893, cd=0.08699089288711548, cm=-0.10289914906024933
  Angle -1: cl=-0.16228842735290527, cd=0.08254511654376984, cm=-0.07360200583934784
  Angle 0: cl=-0.0956307202577591, cd=0.08189849555492401, cm=-0.04457788169384003
  Angle 1: cl=-0.012927250936627388, cd=0.082305908203125, cm=-0.022088006138801575
  Angle 2: cl=0.06955798715353012, cd=0.08308514952659607, cm=-0.0064995139837265015
  Angle 3: cl=0.3053390383720398, cd=0.06773298978805542, cm=-0.0015523731708526611
  Angle 4: cl=0.4085683822631836, cd=0.07315337657928467, cm=0.0029377490282058716
  Angle 5: cl=0.5068923830986023, cd=0.08146422356367111, cm=0.0063434988260269165
  Angle 6: cl=0.5987381339073181, cd=0.08879710733890533, cm=0.008948475122451782
  Angle 7: cl=0.6886590123176575, cd=0.09538620710372925, cm=0.011096864938735962
  Angle 8: cl=0.7789179682731628, cd=0.10142526030540466, cm=0.011430293321609497
  Angle 9: cl=0.8729631304740906, cd=0.10532942414283752, cm=0.003267422318458557
  Angle 10: cl=0.9728860855102539, cd=0.10992991179227829, cm=-0.004725053906440735
Genotype [0.0085, 0.43806102819958204, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.0025, 7.307035305533588, 10.50609798072372]:
  Angle -10: cl=-0.5598326921463013, cd=0.23410432040691376, cm=-0.18861077725887299
  Angle -9: cl=-0.5961516499519348, cd=0.20325352251529694, cm=-0.18127302825450897
  Angle -8: cl=-0.6218031644821167, cd=0.1690644770860672, cm=-0.1783818155527115
  Angle -7: cl=-0.6478177309036255, cd=0.1346043348312378, cm=-0.17410267889499664
  Angle -6: cl=-0.6172358393669128, cd=0.11819730699062347, cm=-0.1610158532857895
  Angle -5: cl=-0.5058225989341736, cd=0.10639961808919907, cm=-0.14851008355617523
  Angle -4: cl=-0.3919617235660553, cd=0.09712371975183487, cm=-0.1373220533132553
  Angle -3: cl=-0.28786998987197876, cd=0.09046249091625214, cm=-0.12260840833187103
  Angle -2: cl=-0.20570097863674164, cd=0.08460872620344162, cm=-0.10193516314029694
  Angle -1: cl=-0.14682196080684662, cd=0.081001415848732, cm=-0.07245244085788727
  Angle 0: cl=-0.0865478515625, cd=0.08074245601892471, cm=-0.042209044098854065
  Angle 1: cl=-0.010439490899443626, cd=0.08134642988443375, cm=-0.01798112690448761
  Angle 2: cl=0.07075586915016174, cd=0.08204785734415054, cm=-0.002135634422302246
  Angle 3: cl=0.3066082298755646, cd=0.06902123242616653, cm=0.0014560669660568237
  Angle 4: cl=0.39455005526542664, cd=0.0745985358953476, cm=0.006821185350418091
  Angle 5: cl=0.4895409047603607, cd=0.08294030278921127, cm=0.010438963770866394
  Angle 6: cl=0.5794902443885803, cd=0.09052060544490814, cm=0.013370051980018616
  Angle 7: cl=0.6704562306404114, cd=0.09729641675949097, cm=0.015203684568405151
  Angle 8: cl=0.7612661123275757, cd=0.10163500905036926, cm=0.011427074670791626
  Angle 9: cl=0.8531764149665833, cd=0.10528216511011124, cm=0.0032391250133514404
  Angle 10: cl=0.9516909122467041, cd=0.10974669456481934, cm=-0.0048713237047195435
Genotype [0.0085, 0.45904420826171155, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.06735512380629358, -0.006, 0.002615802922266465, 7.29743883051501, 10.492143733452881]:
  Angle -10: cl=-0.5659109354019165, cd=0.18939971923828125, cm=-0.17498107254505157
  Angle -9: cl=-0.6085472106933594, cd=0.1642087697982788, cm=-0.167725071310997
  Angle -8: cl=-0.6378266215324402, cd=0.1356615424156189, cm=-0.16320140659809113
  Angle -7: cl=-0.639900267124176, cd=0.11104676872491837, cm=-0.15883396565914154
  Angle -6: cl=-0.5534800887107849, cd=0.10077430307865143, cm=-0.14030082523822784
  Angle -5: cl=-0.47056201100349426, cd=0.09268426895141602, cm=-0.11502014100551605
  Angle -4: cl=-0.3909299969673157, cd=0.0872107744216919, cm=-0.08937706053256989
  Angle -3: cl=-0.3195529878139496, cd=0.08309675008058548, cm=-0.06346149742603302
  Angle -2: cl=-0.26643016934394836, cd=0.08574987947940826, cm=-0.04094730317592621
  Angle -1: cl=-0.2109212875366211, cd=0.09266861528158188, cm=-0.023530349135398865
  Angle 0: cl=-0.1486961394548416, cd=0.10030202567577362, cm=-0.005844995379447937
  Angle 1: cl=-0.08966284245252609, cd=0.10718434303998947, cm=0.008832424879074097
  Angle 2: cl=0.07862889766693115, cd=0.10169382393360138, cm=0.01434578001499176
  Angle 3: cl=0.16209015250205994, cd=0.10498572140932083, cm=0.016429409384727478
  Angle 4: cl=0.2469169795513153, cd=0.1070190891623497, cm=0.011355534195899963
  Angle 5: cl=0.34462621808052063, cd=0.10925867408514023, cm=0.005218803882598877
  Angle 6: cl=0.4458411633968353, cd=0.11115337163209915, cm=-0.0005174875259399414
  Angle 7: cl=0.5663835406303406, cd=0.10984881222248077, cm=-0.015227213501930237
  Angle 8: cl=0.6919022798538208, cd=0.10765617340803146, cm=-0.034002885222435
  Angle 9: cl=0.8073105216026306, cd=0.10580170899629593, cm=-0.05679990351200104
  Angle 10: cl=0.9221770167350769, cd=0.1043936163187027, cm=-0.07930199801921844
Genotype [0.0085, 0.45609724015891506, 0.11, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.002615802922266465, 7.307035305533588, 10.428294904278943]:
  Angle -10: cl=-0.6157533526420593, cd=0.23245160281658173, cm=-0.18831343948841095
  Angle -9: cl=-0.6512324810028076, cd=0.20203761756420135, cm=-0.18019084632396698
  Angle -8: cl=-0.695609986782074, cd=0.17105858027935028, cm=-0.17437179386615753
  Angle -7: cl=-0.7184768319129944, cd=0.1393270045518875, cm=-0.16928742825984955
  Angle -6: cl=-0.667499840259552, cd=0.12583167850971222, cm=-0.15667785704135895
  Angle -5: cl=-0.5723718404769897, cd=0.11068937927484512, cm=-0.1439095288515091
  Angle -4: cl=-0.4612177312374115, cd=0.09830862283706665, cm=-0.131552055478096
  Angle -3: cl=-0.32916054129600525, cd=0.08603750169277191, cm=-0.12011201679706573
  Angle -2: cl=-0.23463329672813416, cd=0.0789717584848404, cm=-0.09981559216976166
  Angle -1: cl=-0.17319834232330322, cd=0.07504899054765701, cm=-0.07221226394176483
  Angle 0: cl=-0.1149435043334961, cd=0.07472721487283707, cm=-0.04209358990192413
  Angle 1: cl=-0.05663549154996872, cd=0.07564541697502136, cm=-0.015288278460502625
  Angle 2: cl=0.008520755916833878, cd=0.08139218389987946, cm=-0.0006536692380905151
  Angle 3: cl=0.16463807225227356, cd=0.07658214867115021, cm=0.004613041877746582
  Angle 4: cl=0.30410510301589966, cd=0.07525286078453064, cm=0.009417727589607239
  Angle 5: cl=0.3851231336593628, cd=0.0807008221745491, cm=0.014603301882743835
  Angle 6: cl=0.46953585743904114, cd=0.0873694196343422, cm=0.01770816743373871
  Angle 7: cl=0.5530339479446411, cd=0.09476760029792786, cm=0.020636454224586487
  Angle 8: cl=0.642251193523407, cd=0.10014228522777557, cm=0.020160406827926636
  Angle 9: cl=0.7319292426109314, cd=0.10314580798149109, cm=0.01285475492477417
  Angle 10: cl=0.8267600536346436, cd=0.10716628283262253, cm=0.004851609468460083
Genotype [0.0085, 0.4285269719315858, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.0025, 7.307035305533588, 10.47136150011066]:
  Angle -10: cl=-0.5594084858894348, cd=0.23416829109191895, cm=-0.18787898123264313
  Angle -9: cl=-0.5956087112426758, cd=0.20335792005062103, cm=-0.18001513183116913
  Angle -8: cl=-0.6259419322013855, cd=0.1706886738538742, cm=-0.17577452957630157
  Angle -7: cl=-0.6527837514877319, cd=0.1354903280735016, cm=-0.17131204903125763
  Angle -6: cl=-0.621423602104187, cd=0.1198040097951889, cm=-0.1591784805059433
  Angle -5: cl=-0.5060706734657288, cd=0.10736247152090073, cm=-0.14725326001644135
  Angle -4: cl=-0.38556191325187683, cd=0.09630631655454636, cm=-0.13583941757678986
  Angle -3: cl=-0.27870070934295654, cd=0.08913375437259674, cm=-0.12141536176204681
  Angle -2: cl=-0.1951359510421753, cd=0.08312896639108658, cm=-0.10109417140483856
  Angle -1: cl=-0.13690753281116486, cd=0.08002322167158127, cm=-0.0718948096036911
  Angle 0: cl=-0.0771825760602951, cd=0.07979132235050201, cm=-0.04154078662395477
  Angle 1: cl=-0.008688339963555336, cd=0.08071177452802658, cm=-0.015596732497215271
  Angle 2: cl=0.07159525901079178, cd=0.08154742419719696, cm=0.00024937093257904053
  Angle 3: cl=0.3027666509151459, cd=0.07020977139472961, cm=0.003348305821418762
  Angle 4: cl=0.3872658908367157, cd=0.07611388713121414, cm=0.008924722671508789
  Angle 5: cl=0.4784170985221863, cd=0.08374562859535217, cm=0.01297062635421753
  Angle 6: cl=0.5684379935264587, cd=0.09132799506187439, cm=0.01585918664932251
  Angle 7: cl=0.6588060855865479, cd=0.0984087735414505, cm=0.018059521913528442
  Angle 8: cl=0.7499066591262817, cd=0.10173053294420242, cm=0.011523038148880005
  Angle 9: cl=0.8406242728233337, cd=0.10534533858299255, cm=0.0031347572803497314
  Angle 10: cl=0.9377611875534058, cd=0.10956740379333496, cm=-0.004909351468086243
Genotype [0.0085, 0.46, 0.13, -0.7088024483795178, 0.26, -0.022848595055503823, 0.05, -0.003, 0.0025, 7.307035305533588, 10.50609798072372]:
  Angle -10: cl=-0.5655034184455872, cd=0.23341406881809235, cm=-0.18968389928340912
