Experiment: Combination_Experiment_47
Generation: 15
Timestamp: 20231225_170402

Genotypes and their Fitness Values:
[0.0085, 0.45532819034010685, 0.13, -0.8432942873452722, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 7.010531860238816, 10.194940128930996] - Fitness: 0.23113940887520468
[0.0085, 0.4301611321829687, 0.13, -0.7374465783920392, 0.25814004012619, -0.023, 0.05, -0.003, 0.0025, 7.010531860238816, 10.194940128930996] - Fitness: 0.17807414562629173
[0.0085, 0.46, 0.13, -0.8432942873452722, 0.26, -0.02277262035027314, 0.05, -0.003, 0.0025, 7.963001239967761, 10.68673166544735] - Fitness: 0.1508449142822674
[0.0085, 0.45532819034010685, 0.13, -0.7416349738436532, 0.26, -0.02277262035027314, 0.05, -0.003, 0.0025, 7.963001239967761, 10.68673166544735] - Fitness: 0.14251257220283206
[0.0085, 0.45532819034010685, 0.13, -0.8432942873452722, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 7.963001239967761, 10.68673166544735] - Fitness: 0.1321164354205296
[0.008704440842885313, 0.43335812898275444, 0.13, -0.7416349738436532, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 7.963001239967761, 10.194940128930996] - Fitness: 0.10141757570094062
[0.0085, 0.45532819034010685, 0.13, -0.8432942873452722, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 7.441456924398113, 11.251775622179158] - Fitness: 0.09715693636772256
[0.0085, 0.45532819034010685, 0.13, -0.8432942873452722, 0.26, -0.02277262035027314, 0.0776716559844281, -0.0030397829749932966, 0.0025, 7.414729788284363, 11.251775622179158] - Fitness: 0.09179415822606511
[0.0085, 0.45532819034010685, 0.13, -0.8432942873452722, 0.26, -0.02277262035027314, 0.0776716559844281, -0.0030397829749932966, 0.0025, 7.414729788284363, 11.251775622179158] - Fitness: 0.09179415822606511
[0.0085, 0.45532819034010685, 0.13, -0.7374465783920392, 0.26, -0.02277262035027314, 0.05401141069025589, -0.0032584432416799133, 0.0025, 7.963001239967761, 10.68673166544735] - Fitness: 0.08758640528529303
[0.0085, 0.45532819034010685, 0.13, -0.8432942873452722, 0.26, -0.023, 0.1068823638907676, -0.0032584432416799133, 0.0025, 7.963001239967761, 10.68673166544735] - Fitness: 0.08056652650516627
[0.0085, 0.44972972423545277, 0.13, -0.7416349738436532, 0.26, -0.023, 0.0776716559844281, -0.003, 0.0025, 8.265235475177104, 11.149345654995868] - Fitness: 0.07044095975777612
[0.0085, 0.46, 0.13, -0.7374465783920392, 0.25814004012619, -0.023, 0.05, -0.0032584432416799133, 0.0025, 7.963001239967761, 10.68673166544735] - Fitness: 0.06905287160341686
[0.0085, 0.46, 0.13, -0.7374465783920392, 0.25814004012619, -0.023, 0.05, -0.0032584432416799133, 0.0025, 7.963001239967761, 10.68673166544735] - Fitness: 0.06905287160341686
[0.0085, 0.45532819034010685, 0.13, -0.7416349738436532, 0.26, -0.023, 0.14847175667600626, -0.003, 0.0025, 7.413824331847671, 11.251775622179158] - Fitness: 0.0688798554415823
[0.0085, 0.43335812898275444, 0.13, -0.7374465783920392, 0.25814004012619, -0.02277262035027314, 0.05, -0.003, 0.0025, 7.963001239967761, 10.679313058294413] - Fitness: 0.06509897727906118
[0.0085, 0.43335812898275444, 0.13, -0.7374465783920392, 0.25814004012619, -0.02277262035027314, 0.05, -0.003, 0.0025, 7.963001239967761, 10.68673166544735] - Fitness: 0.06430849867925381
[0.0085, 0.45532819034010685, 0.13, -0.8432942873452722, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 8.265235475177104, 11.149345654995868] - Fitness: 0.06270288011996362
[0.0085, 0.45532819034010685, 0.13, -0.8432942873452722, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 8.265235475177104, 11.149345654995868] - Fitness: 0.06270288011996362
[0.0085, 0.43335812898275444, 0.13, -0.7416349738436532, 0.26, -0.02277262035027314, 0.05, -0.003, 0.0025, 9.878720723181342, 10.194940128930996] - Fitness: 0.06141701848170078
[0.0085, 0.45532819034010685, 0.13, -0.8432942873452722, 0.25814004012619, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 7.414729788284363, 11.231342981569542] - Fitness: 0.06031874031855812
[0.0085, 0.45532819034010685, 0.13, -0.8432942873452722, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 8.265235475177104, 11.176352654191584] - Fitness: 0.05965381079830934
[0.0085, 0.45532819034010685, 0.13, -0.8432942873452722, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 8.265235475177104, 11.182153885146196] - Fitness: 0.05899937624351956
[0.0085, 0.46, 0.13, -0.7416349738436532, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 8.265235475177104, 11.149345654995868] - Fitness: 0.05795454819606636
[0.0085, 0.46, 0.13, -0.8432942873452722, 0.26, -0.02277262035027314, 0.0776716559844281, -0.0030397829749932966, 0.0025, 8.260364473547098, 11.149345654995868] - Fitness: 0.05645224148841175
[0.0085, 0.45532819034010685, 0.13, -0.7416349738436532, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 8.265235475177104, 11.149345654995868] - Fitness: 0.05628427309892556
[0.0085, 0.45532819034010685, 0.13, -0.7416349738436532, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 8.265235475177104, 11.149345654995868] - Fitness: 0.05628427309892556
[0.0085, 0.45532819034010685, 0.13, -0.7416349738436532, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 8.265235475177104, 11.176352654191584] - Fitness: 0.053236587770800266
[0.0085, 0.4532168855534911, 0.13, -0.7416349738436532, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 8.265235475177104, 11.176352654191584] - Fitness: 0.05198695186090919
[0.0085, 0.4532168855534911, 0.13, -0.7416349738436532, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 8.265235475177104, 11.176352654191584] - Fitness: 0.05198695186090919
[0.0085, 0.4532168855534911, 0.13, -0.7416349738436532, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 8.265235475177104, 11.176352654191584] - Fitness: 0.05198695186090919
[0.008704440842885313, 0.43335812898275444, 0.13, -0.7416349738436532, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 7.963001239967761, 10.68673166544735] - Fitness: 0.048500391174209415
[0.0085, 0.4532168855534911, 0.13, -0.7416349738436532, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 8.265235475177104, 11.251775622179158] - Fitness: 0.04348337104401608
[0.0085, 0.4301611321829687, 0.13, -0.7374465783920392, 0.25814004012619, -0.023, 0.05, -0.0030397829749932966, 0.0025, 7.414729788284363, 11.251775622179158] - Fitness: 0.03715932751577208
[0.0085, 0.4301611321829687, 0.13, -0.7374465783920392, 0.25814004012619, -0.023, 0.05, -0.0032584432416799133, 0.0025, 7.963001239967761, 10.68673166544735] - Fitness: 0.026949459492601233
[0.0085, 0.43335812898275444, 0.13, -0.7416349738436532, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 8.260364473547098, 11.149345654995868] - Fitness: 0.02353644152702071
[0.0085, 0.43335812898275444, 0.13, -0.7416349738436532, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 8.265235475177104, 11.149345654995868] - Fitness: 0.02328290160732562
[0.0085, 0.43335812898275444, 0.13, -0.7416349738436532, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 8.265235475177104, 11.149345654995868] - Fitness: 0.02328290160732562
[0.0085, 0.44972972423545277, 0.13, -0.7416349738436532, 0.26, -0.023, 0.06834400054491051, -0.0032584432416799133, 0.0034120969981857726, 7.414729788284363, 10.667092997284096] - Fitness: 0.02318686743316909
[0.0085, 0.43335812898275444, 0.13, -0.7374465783920392, 0.25814004012619, -0.02277262035027314, 0.05, -0.003, 0.0025, 9.878720723181342, 10.194940128930996] - Fitness: 0.0220575704493009
[0.0085, 0.43335812898275444, 0.13, -0.7416349738436532, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 8.265235475177104, 11.176352654191584] - Fitness: 0.020414462945063522
[0.0085, 0.44972972423545277, 0.13, -0.7416349738436532, 0.26, -0.023, 0.05803742772053306, -0.003, 0.0034120969981857726, 7.414729788284363, 11.251775622179158] - Fitness: 0.016300877299630725
[0.0085, 0.43335812898275444, 0.13, -0.7416349738436532, 0.26, -0.02277262035027314, 0.0776716559844281, -0.0030397829749932966, 0.0025, 8.260364473547098, 11.149345654995868] - Fitness: 0.01606260515529674
[0.0085, 0.43335812898275444, 0.13, -0.7374465783920392, 0.26, -0.02277262035027314, 0.0776716559844281, -0.0030397829749932966, 0.0025, 8.260364473547098, 11.149345654995868] - Fitness: 0.01578432452928622
[0.0085, 0.43335812898275444, 0.13, -0.7374465783920392, 0.25814004012619, -0.02277262035027314, 0.05, -0.003, 0.0025, 8.265235475177104, 11.149345654995868] - Fitness: -0.0007088368360318319
[0.0085, 0.43335812898275444, 0.13, -0.7374465783920392, 0.25814004012619, -0.02277262035027314, 0.05, -0.003, 0.0025, 8.265235475177104, 11.182153885146196] - Fitness: -0.004205097253790417
[0.0085, 0.45532819034010685, 0.13, -0.7416349738436532, 0.26, -0.023, 0.05, -0.003, 0.0025, 9.878720723181342, 11.168800925902406] - Fitness: -0.00489396795846456
[0.0085, 0.45532819034010685, 0.13, -0.8432942873452722, 0.26, -0.023, 0.16125229732624025, -0.003, 0.0034120969981857726, 7.963001239967761, 10.725462441884238] - Fitness: -0.008875943089886141
[0.0085, 0.45532819034010685, 0.13, -0.8432942873452722, 0.26, -0.023, 0.0776716559844281, -0.0032584432416799133, 0.0043967574530921925, 7.010531860238816, 10.194940128930996] - Fitness: -0.010083689579799993
[0.0085, 0.45795246666171235, 0.13, -0.7603144063693262, 0.26, -0.023, 0.0776716559844281, -0.0032584432416799133, 0.0043967574530921925, 7.010531860238816, 10.194940128930996] - Fitness: -0.013980866074226512

Detailed Results for Each Genotype:
Genotype [0.0085, 0.45532819034010685, 0.13, -0.8432942873452722, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 7.010531860238816, 10.194940128930996]:
  Angle -10: cl=-0.5642479658126831, cd=0.2345176339149475, cm=-0.18983836472034454
  Angle -9: cl=-0.5947505831718445, cd=0.20236250758171082, cm=-0.1848323792219162
  Angle -8: cl=-0.6175150871276855, cd=0.16726043820381165, cm=-0.1832377165555954
  Angle -7: cl=-0.6530659794807434, cd=0.1324487328529358, cm=-0.17927540838718414
  Angle -6: cl=-0.6106951236724854, cd=0.11724582314491272, cm=-0.16481627523899078
  Angle -5: cl=-0.505013108253479, cd=0.10525011271238327, cm=-0.15149690210819244
  Angle -4: cl=-0.4046868085861206, cd=0.09885179996490479, cm=-0.13925857841968536
  Angle -3: cl=-0.30260923504829407, cd=0.0929206982254982, cm=-0.12552841007709503
  Angle -2: cl=-0.22065097093582153, cd=0.08748692274093628, cm=-0.10456599295139313
  Angle -1: cl=-0.16018736362457275, cd=0.08286657929420471, cm=-0.07534931600093842
  Angle 0: cl=-0.09181994199752808, cd=0.08215063810348511, cm=-0.046635642647743225
  Angle 1: cl=-0.008793642744421959, cd=0.08240511268377304, cm=-0.023995622992515564
  Angle 2: cl=0.0742570012807846, cd=0.08330976217985153, cm=-0.00859774649143219
  Angle 3: cl=0.30747485160827637, cd=0.06799620389938354, cm=-0.003280267119407654
  Angle 4: cl=0.4166288673877716, cd=0.07238747179508209, cm=0.0017943978309631348
  Angle 5: cl=0.5150801539421082, cd=0.08067189902067184, cm=0.0052074044942855835
  Angle 6: cl=0.6062383055686951, cd=0.08806060999631882, cm=0.00780843198299408
  Angle 7: cl=0.6961305141448975, cd=0.09465253353118896, cm=0.010061204433441162
  Angle 8: cl=0.7862784266471863, cd=0.10122977942228317, cm=0.011802315711975098
  Angle 9: cl=0.880553662776947, cd=0.10515285283327103, cm=0.0036662817001342773
  Angle 10: cl=0.9804674983024597, cd=0.10975248366594315, cm=-0.004320308566093445
Genotype [0.0085, 0.4301611321829687, 0.13, -0.7374465783920392, 0.25814004012619, -0.023, 0.05, -0.003, 0.0025, 7.010531860238816, 10.194940128930996]:
  Angle -10: cl=-0.5601993203163147, cd=0.23498474061489105, cm=-0.18830247223377228
  Angle -9: cl=-0.5969128608703613, cd=0.20414243638515472, cm=-0.1803162842988968
  Angle -8: cl=-0.6263945698738098, cd=0.1712196171283722, cm=-0.1763840764760971
  Angle -7: cl=-0.6526647210121155, cd=0.13594524562358856, cm=-0.17242272198200226
  Angle -6: cl=-0.6206854581832886, cd=0.12010148167610168, cm=-0.15993358194828033
  Angle -5: cl=-0.507006049156189, cd=0.10760470479726791, cm=-0.1479610949754715
  Angle -4: cl=-0.38683825731277466, cd=0.09673319011926651, cm=-0.13682781159877777
  Angle -3: cl=-0.28035157918930054, cd=0.0896335244178772, cm=-0.12233711779117584
  Angle -2: cl=-0.19520583748817444, cd=0.08371984958648682, cm=-0.10258178412914276
  Angle -1: cl=-0.13697464764118195, cd=0.08039617538452148, cm=-0.07338587939739227
  Angle 0: cl=-0.07754120230674744, cd=0.08013761043548584, cm=-0.043047741055488586
  Angle 1: cl=-0.006373615935444832, cd=0.08084829151630402, cm=-0.017350807785987854
  Angle 2: cl=0.07450749725103378, cd=0.08165312558412552, cm=-0.0015285313129425049
  Angle 3: cl=0.30835580825805664, cd=0.06901442259550095, cm=0.0023726671934127808
  Angle 4: cl=0.39442795515060425, cd=0.07477360218763351, cm=0.007849887013435364
  Angle 5: cl=0.48635271191596985, cd=0.08293851464986801, cm=0.011737719178199768
  Angle 6: cl=0.5763657689094543, cd=0.09052086621522903, cm=0.014627352356910706
  Angle 7: cl=0.6659983992576599, cd=0.09761543571949005, cm=0.016804933547973633
  Angle 8: cl=0.7569010257720947, cd=0.1015610545873642, cm=0.012001588940620422
  Angle 9: cl=0.8480189442634583, cd=0.10517037659883499, cm=0.003675684332847595
  Angle 10: cl=0.9454622268676758, cd=0.10944174230098724, cm=-0.004367932677268982
Genotype [0.0085, 0.46, 0.13, -0.8432942873452722, 0.26, -0.02277262035027314, 0.05, -0.003, 0.0025, 7.963001239967761, 10.68673166544735]:
  Angle -10: cl=-0.5617519617080688, cd=0.23035845160484314, cm=-0.18883253633975983
  Angle -9: cl=-0.5893360376358032, cd=0.1971813291311264, cm=-0.1857425421476364
  Angle -8: cl=-0.6121344566345215, cd=0.16212019324302673, cm=-0.1840674728155136
  Angle -7: cl=-0.6508283019065857, cd=0.12821480631828308, cm=-0.1779022365808487
  Angle -6: cl=-0.6088827252388, cd=0.1139972135424614, cm=-0.16266654431819916
  Angle -5: cl=-0.5071842074394226, cd=0.1039511039853096, cm=-0.14974309504032135
  Angle -4: cl=-0.41335877776145935, cd=0.09882155060768127, cm=-0.13649068772792816
  Angle -3: cl=-0.3107753098011017, cd=0.09267096221446991, cm=-0.12240158021450043
  Angle -2: cl=-0.2370418906211853, cd=0.08711719512939453, cm=-0.09839661419391632
  Angle -1: cl=-0.17626650631427765, cd=0.08254498988389969, cm=-0.06912709772586823
  Angle 0: cl=-0.1076575368642807, cd=0.08206181228160858, cm=-0.041102781891822815
  Angle 1: cl=-0.024852724745869637, cd=0.08248812705278397, cm=-0.019047006964683533
  Angle 2: cl=0.05858481675386429, cd=0.08327692747116089, cm=-0.003603413701057434
  Angle 3: cl=0.3015309274196625, cd=0.06891226768493652, cm=-0.0011117607355117798
  Angle 4: cl=0.3995693624019623, cd=0.07459879666566849, cm=0.003567606210708618
  Angle 5: cl=0.4978555142879486, cd=0.08289864659309387, cm=0.006971836090087891
  Angle 6: cl=0.5932137370109558, cd=0.08978991955518723, cm=0.009039923548698425
  Angle 7: cl=0.6831170320510864, cd=0.09638351202011108, cm=0.01132868230342865
  Angle 8: cl=0.7737694978713989, cd=0.10192815214395523, cm=0.010123133659362793
  Angle 9: cl=0.8685488700866699, cd=0.1060171127319336, cm=0.0018794536590576172
  Angle 10: cl=0.9673037528991699, cd=0.11132986098527908, cm=-0.006060674786567688
Genotype [0.0085, 0.45532819034010685, 0.13, -0.7416349738436532, 0.26, -0.02277262035027314, 0.05, -0.003, 0.0025, 7.963001239967761, 10.68673166544735]:
  Angle -10: cl=-0.5600070357322693, cd=0.23055121302604675, cm=-0.1887069195508957
  Angle -9: cl=-0.5906792879104614, cd=0.19800032675266266, cm=-0.1846000999212265
  Angle -8: cl=-0.6134068369865417, cd=0.1627436876296997, cm=-0.18255944550037384
  Angle -7: cl=-0.6496999263763428, cd=0.12898148596286774, cm=-0.17666049301624298
  Angle -6: cl=-0.6107284426689148, cd=0.11455271393060684, cm=-0.16184495389461517
  Angle -5: cl=-0.5056593418121338, cd=0.10384625941514969, cm=-0.1493077427148819
  Angle -4: cl=-0.4096781015396118, cd=0.09841559082269669, cm=-0.13622699677944183
  Angle -3: cl=-0.3066268861293793, cd=0.09209102392196655, cm=-0.12190447747707367
  Angle -2: cl=-0.2324136197566986, cd=0.08642160892486572, cm=-0.0981433242559433
  Angle -1: cl=-0.17202778160572052, cd=0.0820995420217514, cm=-0.06880728900432587
  Angle 0: cl=-0.10579918324947357, cd=0.08171230554580688, cm=-0.0402955561876297
  Angle 1: cl=-0.024252502247691154, cd=0.08217756450176239, cm=-0.017880186438560486
  Angle 2: cl=0.05855412036180496, cd=0.08290085941553116, cm=-0.002263113856315613
  Angle 3: cl=0.3014719486236572, cd=0.06927575916051865, cm=-0.0002266019582748413
  Angle 4: cl=0.3949282765388489, cd=0.07498407363891602, cm=0.0047173649072647095
  Angle 5: cl=0.49297040700912476, cd=0.08331214636564255, cm=0.008094295859336853
  Angle 6: cl=0.5869896411895752, cd=0.09033173322677612, cm=0.010378137230873108
  Angle 7: cl=0.6776420474052429, cd=0.09691387414932251, cm=0.012498259544372559
  Angle 8: cl=0.7684454321861267, cd=0.10197536647319794, cm=0.01012788712978363
  Angle 9: cl=0.8624900579452515, cd=0.10596916824579239, cm=0.0018877238035202026
  Angle 10: cl=0.9621029496192932, cd=0.11055057495832443, cm=-0.006128296256065369
Genotype [0.0085, 0.45532819034010685, 0.13, -0.8432942873452722, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 7.963001239967761, 10.68673166544735]:
  Angle -10: cl=-0.5594334006309509, cd=0.2300328016281128, cm=-0.18851767480373383
  Angle -9: cl=-0.5901839137077332, cd=0.19746093451976776, cm=-0.1845213919878006
  Angle -8: cl=-0.6129043698310852, cd=0.16218061745166779, cm=-0.18241749703884125
  Angle -7: cl=-0.6491519808769226, cd=0.1285839080810547, cm=-0.17628107964992523
  Angle -6: cl=-0.6107845902442932, cd=0.11434763669967651, cm=-0.1615063101053238
  Angle -5: cl=-0.5064297318458557, cd=0.10380587726831436, cm=-0.14890246093273163
  Angle -4: cl=-0.4103047549724579, cd=0.09837271273136139, cm=-0.1358218938112259
  Angle -3: cl=-0.30715814232826233, cd=0.09200962632894516, cm=-0.1214413195848465
  Angle -2: cl=-0.2338067591190338, cd=0.086322121322155, cm=-0.09735913574695587
  Angle -1: cl=-0.17353366315364838, cd=0.08200011402368546, cm=-0.06803567707538605
  Angle 0: cl=-0.10713048279285431, cd=0.08165958523750305, cm=-0.03965701162815094
  Angle 1: cl=-0.026259707286953926, cd=0.08212067186832428, cm=-0.01716010272502899
  Angle 2: cl=0.05662931501865387, cd=0.08285142481327057, cm=-0.0015521347522735596
  Angle 3: cl=0.29934778809547424, cd=0.06970217823982239, cm=6.580352783203125e-05
  Angle 4: cl=0.39266517758369446, cd=0.07527488470077515, cm=0.005044028162956238
  Angle 5: cl=0.49071967601776123, cd=0.08360545337200165, cm=0.008419856429100037
  Angle 6: cl=0.5849975943565369, cd=0.09057673811912537, cm=0.010649263858795166
  Angle 7: cl=0.6758295297622681, cd=0.09715687483549118, cm=0.012760058045387268
  Angle 8: cl=0.7667153477668762, cd=0.10205528885126114, cm=0.009940281510353088
  Angle 9: cl=0.86075359582901, cd=0.10605953633785248, cm=0.0016834884881973267
  Angle 10: cl=0.9602276682853699, cd=0.11063190549612045, cm=-0.006331548094749451
Genotype [0.008704440842885313, 0.43335812898275444, 0.13, -0.7416349738436532, 0.26, -0.02277262035027314, 0.0776716559844281, -0.003, 0.0025, 7.963001239967761, 10.194940128930996]:
  Angle -10: cl=-0.556362509727478, cd=0.22943536937236786, cm=-0.18669410049915314
  Angle -9: cl=-0.5913255214691162, cd=0.19866035878658295, cm=-0.1802656203508377
  Angle -8: cl=-0.6184542775154114, cd=0.16488178074359894, cm=-0.17688004672527313
  Angle -7: cl=-0.6454200744628906, cd=0.13101747632026672, cm=-0.17039944231510162
