Experiment: Combination_Experiment_484
Generation: 53
Timestamp: 20231226_121414

Genotypes and their Fitness Values:
[0.008669361521290591, 0.4481054378540671, 0.1292658399055326, -0.7573201303409427, 0.25960836029931944, -0.02283654488078557, 0.07080128033309706, -0.003068141791152396, 0.00267636456152099, 8.195823256953334, 10.238727109146778] - Fitness: 0.06127796424328033
[0.008702743748305465, 0.44788555058707197, 0.12926903632473186, -0.7656173600186982, 0.25962219409025833, -0.022775433079649757, 0.06869008041469993, -0.0030564454845518514, 0.0026601064074722926, 7.364682314177033, 10.329699757737533] - Fitness: 0.08923222714347469
[0.008763843005685796, 0.4446698493707819, 0.12926479048405395, -0.7742098831113567, 0.2598663435443454, -0.02260436152190321, 0.2, -0.003075183723918959, 0.0027034335796168544, 7.383577565114981, 10.030741134792663] - Fitness: 0.010117602635960125
[0.008748786719242884, 0.4504905912427767, 0.12926310688517656, -0.7609431688350053, 0.2596725702591534, -0.02259672113264348, 0.063804121513523, -0.003098750194138457, 0.002793611638238817, 7.495659458706519, 10.072287509177395] - Fitness: 0.07125370621681362
[0.008774130729067367, 0.44386360475930475, 0.11, -0.7722623706422789, 0.25972100577665813, -0.022686081065494745, 0.07127310535242382, -0.003072002328042031, 0.002727075691043469, 7.373186385889285, 10.123642290888009] - Fitness: -0.5980884077907095
[0.008673611920969222, 0.44869066172576144, 0.12926613524426872, -0.7907115614728876, 0.25961489518352543, -0.022703457883116673, 0.07144977218195618, -0.003092657269521911, 0.0029278608692095503, 7.2175931045950765, 10.255042070278549] - Fitness: 0.0694195328436786
[0.008759649340707505, 0.44645290495007994, 0.12926417625191336, -0.7751459370781847, 0.2597995153165181, -0.022607003263741432, 0.057922043423368236, -0.0030829307567633284, 0.0027619273437003112, 7.428842285641478, 10.046111702188995] - Fitness: 0.08456934094956696
[0.008572220009444938, 0.45321678954420574, 0.12926147206086236, -0.7345555500283049, 0.25958659343719287, -0.0226345338686695, 0.0728640301935437, -0.0030938492293494458, 0.002677384419571858, 7.438953708630431, 10.089734212455348] - Fitness: 0.11928433207283358
[0.008570506445917022, 0.45053419836117803, 0.12926150739535247, -0.7579209954794637, 0.2595753235190864, -0.022640465995573875, 0.07217849436456947, -0.0030950854905491326, 0.0027775876158427143, 7.413404562950493, 10.100587634237044] - Fitness: 0.10701200168426338
[0.008699158322648051, 0.4488775304939699, 0.12926538738275384, -0.7584480739391329, 0.25964954779205274, -0.02275481732117836, 0.07136570820535298, -0.003079620068350701, 0.0027102974280317303, 7.429444661312143, 10.171299468783447] - Fitness: 0.09217793560071354
[0.008727134827162445, 0.44708841224836876, 0.12926355042912976, -0.7684329436402726, 0.25952506489822014, -0.022790586490368882, 0.07067423873789933, -0.006, 0.0027801025313085037, 7.3031385762496575, 10.067787864985942] - Fitness: -0.3262101297213533
[0.008761226486511998, 0.4452153013675223, 0.12926611025170553, -0.763555547751104, 0.2595713288554339, -0.02283453762245089, 0.07070469857382414, -0.0030728427805988947, 0.002724366203502862, 7.283923407484212, 10.309462488593008] - Fitness: 0.07201676024445451
[0.008608330014167406, 0.4559923948788523, 0.129264741109252, -0.7174397390920451, 0.2595824611783493, -0.02260238026512354, 0.071829366181537, -0.0030813161804725204, 0.0025345784205799762, 7.397545541466848, 10.243401684196074] - Fitness: 0.11535659446704981
[0.008703728217118257, 0.4512911989423502, 0.12970525211970527, -0.7531908378492413, 0.2595371088509399, -0.02268003664515269, 0.06326287211992242, -0.0030879033424625383, 0.002734538859270737, 7.240745581316311, 10.123713767773058] - Fitness: 0.11803777135035678
[0.0126, 0.4554778596961372, 0.12926187995904692, -0.7230370333522033, 0.25959290706264965, -0.02262066401662891, 0.07304364413093656, -0.0030943415610413232, 0.002618256279714572, 7.449581542475409, 10.107268177640432] - Fitness: -0.5675196830265584
[0.0086717518050622, 0.44744411791613514, 0.12926827253351794, -0.7620996543939862, 0.25959012449812313, -0.022850288719766507, 0.06901752847266168, -0.0030526920686198295, 0.0026429038811480315, 7.34587741877635, 10.344327301782837] - Fitness: 0.10171601217231849
[0.008707245368815692, 0.4432867439570161, 0.12926630934943711, -0.7654283623644453, 0.25981039412554113, -0.022759446822936062, 0.06975203497048643, -0.0030538878896404463, 0.0025952671622697684, 7.299135925627187, 10.149432955949376] - Fitness: 0.11472593538178912
[0.0126, 0.4513930277502684, 0.1295578781795579, -0.7560505694356634, 0.259542288334242, -0.022667114307162717, 0.058841914746614946, -0.003086593688957369, 0.0027241859279902294, 7.160497054210874, 11.929703369653923] - Fitness: -0.710756375790013
[0.008706237102679346, 0.4512800010858671, 0.1292631633596404, -0.7571526534519504, 0.25960240619037966, -0.022619299401160555, 0.05920274767568199, -0.0030899714726066374, 0.0027167851655854796, 7.191940512019154, 10.162027235698924] - Fitness: 0.09979472863597515
[0.00871987024342096, 0.4511216589457482, 0.12926317988982897, -0.7548439638736721, 0.2596272856351465, -0.022608314286149442, 0.063804121513523, -0.003092970017936442, 0.002723437715663612, 7.2879107680287305, 10.131099476235244] - Fitness: 0.09065534914019761
[0.008748680092244138, 0.42616868630951016, 0.12926341805685565, -0.7519808633067382, 0.259679073374422, -0.022586419677259783, 0.07285634651911989, -0.0031003354084640157, 0.0027419410882062777, 7.449229538942084, 10.078222396485042] - Fitness: 0.024461984412253328
[0.008739392924598334, 0.4510604805933339, 0.12926236669221267, -0.7432416671048496, 0.2596404590227872, -0.023, 0.07334840601543172, -0.003096560765828542, 0.0027091292523309905, 8.78523539593603, 10.091110470141956] - Fitness: 0.03353471572397271
[0.008710178589705814, 0.44915678217972277, 0.12926329498330025, -0.7650931669694805, 0.2595424964382458, -0.022729642536848813, 0.07101250330302844, -0.0030863237439061938, 0.0027702376844313823, 7.337747166154944, 10.10168179747891] - Fitness: 0.09093900888762656
[0.008759550021234625, 0.449686514774444, 0.1292625093173183, -0.7589579646371868, 0.2596472396670905, -0.02259631983410611, 0.07168221505125771, -0.0030989996904241483, 0.0027283410591074824, 7.482261906414036, 10.064884299292029] - Fitness: 0.0712529418992816
[0.008601223597245015, 0.44996752250167, 0.12926152360468365, -0.7564892732668578, 0.25960492048457273, -0.022629977502545515, 0.07268809006132303, -0.0030957936485390275, 0.002780176343046053, 7.4030875783102585, 10.074807353960466] - Fitness: 0.10237184579811957
[0.00872030203380654, 0.4505532965402966, 0.1292715292943401, -0.76809636471739, 0.2595179552126441, -0.022674781963475707, 0.06263269588183785, -0.0030322947337717756, 0.00259989548552367, 7.25375822690577, 10.57221182449452] - Fitness: 0.07325648752475496
[0.008746688563813464, 0.4451459022108563, 0.12925809062291416, -0.7791189577939959, 0.25947422693151756, -0.022781185993522565, 0.07123939677374742, -0.0030873202661714097, 0.0029254078697195885, 7.354846252435068, 10.0] - Fitness: 0.07396704337942475
[0.008739392924598334, 0.4510604805933339, 0.12926236669221267, -0.7432416671048496, 0.2596404590227872, -0.022582998625569416, 0.07334840601543172, -0.003096560765828542, 0.0027091292523309905, 7.4595992332774195, 10.091110470141956] - Fitness: 0.07473605434555561
[0.008718459921354562, 0.4524083676167465, 0.12926275559664668, -0.7704389762626713, 0.25960157936997597, -0.022640815440406276, 0.055312721749211494, -0.003091349627243016, 0.0028272444086440045, 7.451527590793774, 10.167656522213122] - Fitness: 0.07682477410729767
[0.008774354447378894, 0.4477783120158114, 0.12926413739648981, -0.7722280736506371, 0.2597498883424458, -0.02260301857115258, 0.07069405870578964, -0.00309606813595501, 0.002694511460120814, 7.4805912532898065, 10.023337924907299] - Fitness: 0.07904687577302513
[0.008768728246919363, 0.44325572132868213, 0.13, -0.7, 0.2595035025034403, -0.022619264356685688, 0.06756881672339127, -0.0030133725908059825, 0.0026560002468882446, 7.128564372929041, 10.500791843979039] - Fitness: 0.07979358207480977
[0.008676266114792556, 0.4532935220424308, 0.12926278409164127, -0.7584136136278967, 0.259577359518297, -0.02260775462980867, 0.07168903243328667, -0.003098416877424297, 0.0027505079906771403, 7.406964345965516, 10.169469662464852] - Fitness: 0.0818758749856624
[0.008778462812832635, 0.4397694150922809, 0.12926235831624616, -0.7720800713010787, 0.2597883946434768, -0.022577958536132623, 0.07194801016737909, -0.00305082140832076, 0.0026462529602525407, 7.3513985839192335, 10.02734082155017] - Fitness: 0.08405402087054777
[0.00871977862426967, 0.454040320395556, 0.12926247637994712, -0.7288277780698997, 0.25962881745304583, -0.02258630718789552, 0.07336656134552856, -0.003096149252027388, 0.0026394195015539933, 7.4633452255734, 10.108185682764839] - Fitness: 0.08716076518627369
[0.008756261055988292, 0.44368308232739256, 0.1292620710881639, -0.7764479839192362, 0.2594848768559518, -0.02286871159611354, 0.07041160532967655, -0.003074562784476496, 0.0028416907732816935, 7.0, 10.18784327044657] - Fitness: 0.08717169324769947
[0.008669256787260014, 0.4559923948788523, 0.12926246731016844, -0.7605703731389175, 0.25950516013364466, -0.022683608479888873, 0.06328180437302874, -0.0030807368344294385, 0.002749738713809175, 7.349761386942728, 10.303862050060319] - Fitness: 0.08738631073636625
[0.008608330014167406, 0.4568166534454885, 0.1292636709074111, -0.7493193330349651, 0.2595605776100242, -0.022605402048964822, 0.07301823149258654, -0.0030979957535962974, 0.002773687701769308, 7.354355345967017, 10.243552895929259] - Fitness: 0.08890793849691987
[0.008713581134892238, 0.44130862755228734, 0.12926163014617925, -0.7651333384292069, 0.2594953359884245, -0.02272952535388792, 0.07241469470860964, -0.0030743526448871695, 0.0025433995313998044, 7.413969505753576, 10.149432955949376] - Fitness: 0.09464450193055511
[0.008707005439692791, 0.4540583608843426, 0.12926085370241527, -0.7316475831175984, 0.25955301136074493, -0.022668228984937665, 0.07253748191293233, -0.0030921238411236117, 0.0026701631478878354, 7.424440827073244, 10.085401664806364] - Fitness: 0.09721381476265956
[0.008671264135363862, 0.44266418814511704, 0.12926162740083907, -0.760499071771366, 0.25950284222932546, -0.022846625677594903, 0.072624538985473, -0.0030778102102559726, 0.0027571282310219093, 7.0, 10.273059310080011] - Fitness: 0.09829452672956401
[0.008612837858173343, 0.45398859231827837, 0.1292642479201143, -0.754913364669316, 0.25951939058093926, -0.02266126038458833, 0.06534423873043887, -0.0030739249278008522, 0.0026953078263560965, 7.329043604101511, 10.334241382864972] - Fitness: 0.09902187240521067
[0.008778399229638138, 0.44445197119842395, 0.1292615043404464, -0.7720519483926587, 0.2596853729351033, -0.02261213954854105, 0.06884714290524363, -0.0030802895488477875, 0.0025, 7.385503990992983, 10.058344812268244] - Fitness: 0.09944151312865686
[0.008761047302075706, 0.4429516723856607, 0.12926406132078874, -0.7751124969818564, 0.25949020181816884, -0.022912474397409024, 0.06999770960764111, -0.0030681840436290386, 0.002799832225062746, 7.233921396439086, 10.0] - Fitness: 0.10314806463178605
[0.008772230335642374, 0.44110373821218585, 0.12926601894833512, -0.772337775177701, 0.26, -0.022599078038226774, 0.06980510855842059, -0.00305968965823022, 0.0025864460514499407, 7.293048124061987, 10.0] - Fitness: 0.10668822568689709
[0.008680550023612343, 0.46, 0.12926269575541602, -0.7, 0.25960553431356315, -0.02259292431254773, 0.07340287200572226, -0.00309532622442508, 0.0025, 7.470837210165362, 10.142336108010607] - Fitness: 0.10830070609234323
[0.008678970821196117, 0.45159668536610476, 0.12926313029926317, -0.7617700326085073, 0.2595526473008461, -0.022641269631182775, 0.05, -0.0030839743819470293, 0.0027034800654292136, 7.0, 10.223882754626281] - Fitness: 0.11805478726374462
[0.008720233147733016, 0.45108754132651385, 0.13, -0.7474713746763975, 0.2595267498843358, -0.02270588132113263, 0.07210478686653736, -0.003090522649472878, 0.002755244721831753, 7.401242635527185, 10.056934443204243] - Fitness: 0.118065143409176
[0.0085, 0.44998098719713064, 0.12926780914000602, -0.7435993477301128, 0.25954785147552856, -0.022616564193987256, 0.06946910744525911, -0.0030603011145436815, 0.0025864460514499407, 7.287608038419077, 10.395000048474277] - Fitness: 0.12119011992946212
[0.0085, 0.44869464924034286, 0.12926065626449326, -0.7575925833805082, 0.25957396618627937, -0.022662273572750677, 0.072504802318758, -0.003092864565965689, 0.00279564069928643, 7.417698040940478, 10.054666282085172] - Fitness: 0.12357153749824795
[0.00860976791857567, 0.4465612525742615, 0.12926674495109008, -0.7550642431445621, 0.25952598531385285, -0.023, 0.06967242458858519, -0.0030451852367557857, 0.00260849882849951, 7.308267627974986, 10.373582389873441] - Fitness: 0.12683683683892635

Detailed Results for Each Genotype:
Genotype [0.008669361521290591, 0.4481054378540671, 0.1292658399055326, -0.7573201303409427, 0.25960836029931944, -0.02283654488078557, 0.07080128033309706, -0.003068141791152396, 0.00267636456152099, 8.195823256953334, 10.238727109146778]:
  Angle -10: cl=-0.5577337741851807, cd=0.2266560196876526, cm=-0.18680106103420258
  Angle -9: cl=-0.5913963913917542, cd=0.19552142918109894, cm=-0.18213196098804474
  Angle -8: cl=-0.6136857271194458, cd=0.1601419299840927, cm=-0.1800403743982315
  Angle -7: cl=-0.6465532779693604, cd=0.12718676030635834, cm=-0.17236889898777008
  Angle -6: cl=-0.6129516959190369, cd=0.11421318352222443, cm=-0.15865932404994965
  Angle -5: cl=-0.5013306736946106, cd=0.10273900628089905, cm=-0.14647679030895233
  Angle -4: cl=-0.4045540690422058, cd=0.09696578979492188, cm=-0.13311509788036346
  Angle -3: cl=-0.3005548119544983, cd=0.09026149660348892, cm=-0.11822541058063507
  Angle -2: cl=-0.23221218585968018, cd=0.08430296927690506, cm=-0.09237267076969147
  Angle -1: cl=-0.17279165983200073, cd=0.08067423850297928, cm=-0.06279359757900238
  Angle 0: cl=-0.10809589922428131, cd=0.08078359812498093, cm=-0.034458234906196594
  Angle 1: cl=-0.0354926735162735, cd=0.08118848502635956, cm=-0.010807856917381287
  Angle 2: cl=0.04667486995458603, cd=0.08549181371927261, cm=0.0013851076364517212
  Angle 3: cl=0.2832750380039215, cd=0.07339686155319214, cm=0.003085002303123474
  Angle 4: cl=0.37251561880111694, cd=0.07894496619701385, cm=0.008523017168045044
  Angle 5: cl=0.4686296880245209, cd=0.08609283715486526, cm=0.011984318494796753
  Angle 6: cl=0.5630736351013184, cd=0.09307564795017242, cm=0.014248475432395935
  Angle 7: cl=0.6557435393333435, cd=0.09961683303117752, cm=0.016058146953582764
  Angle 8: cl=0.7472769021987915, cd=0.10276824980974197, cm=0.008756175637245178
  Angle 9: cl=0.8401787877082825, cd=0.10665718466043472, cm=0.00046338140964508057
  Angle 10: cl=0.9395718574523926, cd=0.11125371605157852, cm=-0.007725581526756287
Genotype [0.008702743748305465, 0.44788555058707197, 0.12926903632473186, -0.7656173600186982, 0.25962219409025833, -0.022775433079649757, 0.06869008041469993, -0.0030564454845518514, 0.0026601064074722926, 7.364682314177033, 10.329699757737533]:
  Angle -10: cl=-0.560463011264801, cd=0.23002983629703522, cm=-0.18759821355342865
  Angle -9: cl=-0.5960708260536194, cd=0.19919458031654358, cm=-0.18182776868343353
  Angle -8: cl=-0.6184414029121399, cd=0.16376954317092896, cm=-0.17978046834468842
  Angle -7: cl=-0.650314211845398, cd=0.12990257143974304, cm=-0.17365513741970062
  Angle -6: cl=-0.6160634160041809, cd=0.1155180111527443, cm=-0.15993358194828033
  Angle -5: cl=-0.5056653618812561, cd=0.1040327250957489, cm=-0.1474878042936325
  Angle -4: cl=-0.403598427772522, cd=0.09733748435974121, cm=-0.13529033958911896
  Angle -3: cl=-0.29962554574012756, cd=0.0906413346529007, cm=-0.12041844427585602
  Angle -2: cl=-0.2253163754940033, cd=0.08473837375640869, cm=-0.0966503769159317
  Angle -1: cl=-0.1660013645887375, cd=0.08090563863515854, cm=-0.06721632182598114
  Angle 0: cl=-0.1026543527841568, cd=0.08071544766426086, cm=-0.038038596510887146
  Angle 1: cl=-0.027961155399680138, cd=0.08121933788061142, cm=-0.01450096070766449
  Angle 2: cl=0.05357379838824272, cd=0.0834152027964592, cm=-0.00030797719955444336
  Angle 3: cl=0.2911875247955322, cd=0.07107658684253693, cm=0.001771777868270874
  Angle 4: cl=0.3802875280380249, cd=0.07659195363521576, cm=0.007161647081375122
  Angle 5: cl=0.4771563410758972, cd=0.08431264758110046, cm=0.010634765028953552
  Angle 6: cl=0.5695160627365112, cd=0.09157944470643997, cm=0.01322561502456665
  Angle 7: cl=0.6615526676177979, cd=0.0981387123465538, cm=0.015053436160087585
  Angle 8: cl=0.7525470852851868, cd=0.10213051736354828, cm=0.010146930813789368
  Angle 9: cl=0.8452000021934509, cd=0.10592743754386902, cm=0.0019020289182662964
  Angle 10: cl=0.9447535872459412, cd=0.11050204932689667, cm=-0.006165757775306702
Genotype [0.008763843005685796, 0.4446698493707819, 0.12926479048405395, -0.7742098831113567, 0.2598663435443454, -0.02260436152190321, 0.2, -0.003075183723918959, 0.0027034335796168544, 7.383577565114981, 10.030741134792663]:
  Angle -10: cl=-0.5593799352645874, cd=0.22679314017295837, cm=-0.18590356409549713
  Angle -9: cl=-0.5941870212554932, cd=0.19610221683979034, cm=-0.1807253211736679
  Angle -8: cl=-0.6176248788833618, cd=0.1611292064189911, cm=-0.1783541589975357
  Angle -7: cl=-0.6479447484016418, cd=0.12791667878627777, cm=-0.1704501360654831
  Angle -6: cl=-0.6187183260917664, cd=0.11474692076444626, cm=-0.15743418037891388
  Angle -5: cl=-0.5039254426956177, cd=0.10283134877681732, cm=-0.14521725475788116
  Angle -4: cl=-0.40352797508239746, cd=0.09624966233968735, cm=-0.1321473866701126
  Angle -3: cl=-0.2994843125343323, cd=0.08955167979001999, cm=-0.11729834973812103
  Angle -2: cl=-0.23021572828292847, cd=0.08342112600803375, cm=-0.0916825383901596
  Angle -1: cl=-0.17162130773067474, cd=0.07987045496702194, cm=-0.06220637261867523
  Angle 0: cl=-0.10859264433383942, cd=0.079986572265625, cm=-0.03343908488750458
  Angle 1: cl=-0.04062175005674362, cd=0.0804302841424942, cm=-0.009138032793998718
  Angle 2: cl=0.04101873189210892, cd=0.08585365861654282, cm=0.002007782459259033
  Angle 3: cl=0.27444329857826233, cd=0.07426659017801285, cm=0.004229724407196045
  Angle 4: cl=0.36177858710289, cd=0.07982753217220306, cm=0.009894922375679016
  Angle 5: cl=0.4570704996585846, cd=0.08635330945253372, cm=0.013526946306228638
  Angle 6: cl=0.5504903793334961, cd=0.09345187246799469, cm=0.015919312834739685
  Angle 7: cl=0.6440659165382385, cd=0.09948509186506271, cm=0.01626056432723999
  Angle 8: cl=0.7356536388397217, cd=0.10260014981031418, cm=0.009029224514961243
  Angle 9: cl=0.8277072906494141, cd=0.1063525602221489, cm=0.0007811188697814941
  Angle 10: cl=0.9266650676727295, cd=0.11092407256364822, cm=-0.007478728890419006
Genotype [0.008748786719242884, 0.4504905912427767, 0.12926310688517656, -0.7609431688350053, 0.2596725702591534, -0.02259672113264348, 0.063804121513523, -0.003098750194138457, 0.002793611638238817, 7.495659458706519, 10.072287509177395]:
  Angle -10: cl=-0.5590053200721741, cd=0.22796882688999176, cm=-0.18699057400226593
  Angle -9: cl=-0.5928139686584473, cd=0.19674623012542725, cm=-0.18215115368366241
  Angle -8: cl=-0.6150555610656738, cd=0.16132406890392303, cm=-0.1800965815782547
  Angle -7: cl=-0.6483682990074158, cd=0.12798380851745605, cm=-0.17311860620975494
  Angle -6: cl=-0.613234281539917, cd=0.11448144912719727, cm=-0.15939880907535553
  Angle -5: cl=-0.5026360154151917, cd=0.10304348915815353, cm=-0.14715583622455597
  Angle -4: cl=-0.40499061346054077, cd=0.09720293432474136, cm=-0.13419316709041595
  Angle -3: cl=-0.30099207162857056, cd=0.09049827605485916, cm=-0.11930491030216217
  Angle -2: cl=-0.23100608587265015, cd=0.08461148291826248, cm=-0.09404541552066803
  Angle -1: cl=-0.17148669064044952, cd=0.08078561723232269, cm=-0.06456057727336884
  Angle 0: cl=-0.10700538754463196, cd=0.08076226711273193, cm=-0.03608061373233795
  Angle 1: cl=-0.033687882125377655, cd=0.08103927224874496, cm=-0.012512251734733582
  Angle 2: cl=0.04816577583551407, cd=0.08463415503501892, cm=0.0003294050693511963
  Angle 3: cl=0.28588902950286865, cd=0.07233627140522003, cm=0.0021643787622451782
  Angle 4: cl=0.3755282163619995, cd=0.07787702232599258, cm=0.007544755935668945
  Angle 5: cl=0.4723440706729889, cd=0.08525268733501434, cm=0.01098833978176117
  Angle 6: cl=0.5665056705474854, cd=0.0923299714922905, cm=0.013365745544433594
  Angle 7: cl=0.6587024331092834, cd=0.09888935834169388, cm=0.015253663063049316
  Angle 8: cl=0.7499236464500427, cd=0.10249052941799164, cm=0.009220898151397705
  Angle 9: cl=0.8429513573646545, cd=0.10636762529611588, cm=0.0009403824806213379
  Angle 10: cl=0.9425578117370605, cd=0.11095599085092545, cm=-0.0071592777967453
Genotype [0.008774130729067367, 0.44386360475930475, 0.11, -0.7722623706422789, 0.25972100577665813, -0.022686081065494745, 0.07127310535242382, -0.003072002328042031, 0.002727075691043469, 7.373186385889285, 10.123642290888009]:
  Angle -10: cl=-0.6124525666236877, cd=0.22774849832057953, cm=-0.1857367604970932
  Angle -9: cl=-0.6487594842910767, cd=0.1974191516637802, cm=-0.17783217132091522
  Angle -8: cl=-0.6914269328117371, cd=0.16618546843528748, cm=-0.17224906384944916
  Angle -7: cl=-0.7174946665763855, cd=0.1375773847103119, cm=-0.16409237682819366
  Angle -6: cl=-0.6654586791992188, cd=0.12372005730867386, cm=-0.1522112637758255
  Angle -5: cl=-0.5652140974998474, cd=0.10897421836853027, cm=-0.1418813318014145
  Angle -4: cl=-0.4529932141304016, cd=0.09697325527667999, cm=-0.12866948544979095
  Angle -3: cl=-0.3285244107246399, cd=0.08471343666315079, cm=-0.11517511308193207
  Angle -2: cl=-0.23748144507408142, cd=0.07705256342887878, cm=-0.09206466376781464
  Angle -1: cl=-0.17400908470153809, cd=0.07380576431751251, cm=-0.0646149069070816
  Angle 0: cl=-0.1162133514881134, cd=0.07348643243312836, cm=-0.03458757698535919
  Angle 1: cl=-0.06279664486646652, cd=0.07899072766304016, cm=-0.011623993515968323
  Angle 2: cl=-0.0014749374240636826, cd=0.08507455140352249, cm=0.0027524828910827637
  Angle 3: cl=0.18439750373363495, cd=0.07698940485715866, cm=0.007084071636199951
  Angle 4: cl=0.28084897994995117, cd=0.08059369772672653, cm=0.013868778944015503
  Angle 5: cl=0.3606615662574768, cd=0.08615610003471375, cm=0.019062653183937073
  Angle 6: cl=0.4415554404258728, cd=0.0917821079492569, cm=0.02247662842273712
  Angle 7: cl=0.5255922079086304, cd=0.09801279753446579, cm=0.024755224585533142
  Angle 8: cl=0.6144508719444275, cd=0.10095895081758499, cm=0.017832055687904358
  Angle 9: cl=0.705088198184967, cd=0.10402029752731323, cm=0.010521501302719116
  Angle 10: cl=0.7991805076599121, cd=0.10789648443460464, cm=0.00251200795173645
Genotype [0.008673611920969222, 0.44869066172576144, 0.12926613524426872, -0.7907115614728876, 0.25961489518352543, -0.022703457883116673, 0.07144977218195618, -0.003092657269521911, 0.0029278608692095503, 7.2175931045950765, 10.255042070278549]:
  Angle -10: cl=-0.5591768026351929, cd=0.22914977371692657, cm=-0.18709112703800201
  Angle -9: cl=-0.5937290787696838, cd=0.19827747344970703, cm=-0.18168358504772186
  Angle -8: cl=-0.6159713268280029, cd=0.16285333037376404, cm=-0.17963747680187225
  Angle -7: cl=-0.6481480002403259, cd=0.12924934923648834, cm=-0.17314167320728302
  Angle -6: cl=-0.6149927377700806, cd=0.11511706560850143, cm=-0.15962417423725128
  Angle -5: cl=-0.5043757557868958, cd=0.10359285026788712, cm=-0.1472722440958023
  Angle -4: cl=-0.40361085534095764, cd=0.0970844253897667, cm=-0.13473419845104218
  Angle -3: cl=-0.29967090487480164, cd=0.0903792530298233, cm=-0.1198437362909317
  Angle -2: cl=-0.22789180278778076, cd=0.08446720987558365, cm=-0.09525690972805023
  Angle -1: cl=-0.16823607683181763, cd=0.08066299557685852, cm=-0.06572209298610687
  Angle 0: cl=-0.10488927364349365, cd=0.08060281723737717, cm=-0.036843881011009216
  Angle 1: cl=-0.03198416531085968, cd=0.08088255673646927, cm=-0.01308460533618927
  Angle 2: cl=0.04949299618601799, cd=0.0841408371925354, cm=0.00010888278484344482
  Angle 3: cl=0.28611722588539124, cd=0.0719309002161026, cm=0.0021218210458755493
  Angle 4: cl=0.3746979832649231, cd=0.07746781408786774, cm=0.007598400115966797
  Angle 5: cl=0.47103071212768555, cd=0.0849003866314888, cm=0.011068686842918396
  Angle 6: cl=0.5645788311958313, cd=0.092144675552845, cm=0.013651356101036072
  Angle 7: cl=0.6567946076393127, cd=0.0987003892660141, cm=0.01548178493976593
  Angle 8: cl=0.7478896975517273, cd=0.10235265642404556, cm=0.009688407182693481
  Angle 9: cl=0.8405628204345703, cd=0.10616155713796616, cm=0.0014242827892303467
  Angle 10: cl=0.939848005771637, cd=0.11073814332485199, cm=-0.006729915738105774
Genotype [0.008759649340707505, 0.44645290495007994, 0.12926417625191336, -0.7751459370781847, 0.2597995153165181, -0.022607003263741432, 0.057922043423368236, -0.0030829307567633284, 0.0027619273437003112, 7.428842285641478, 10.046111702188995]:
  Angle -10: cl=-0.5589033365249634, cd=0.2288651317358017, cm=-0.1870439201593399
  Angle -9: cl=-0.5942161083221436, cd=0.1981443464756012, cm=-0.18139682710170746
  Angle -8: cl=-0.6166282892227173, cd=0.16279393434524536, cm=-0.17930035293102264
