Experiment: Combination_Experiment_488
Generation: 53
Timestamp: 20231226_141601

Genotypes and their Fitness Values:
[0.008557038524159323, 0.448548470501054, 0.12968233485337904, -0.8041437910221758, 0.2589022731461518, -0.02289685493010944, 0.07454145876455014, -0.0030916086542744476, 0.0026088691486393107, 7.294405681145408, 10.193688519168841] - Fitness: 0.14600540881812277
[0.008575336554563127, 0.4504065584006337, 0.12970063262792655, -0.8039393851268133, 0.2582560434344012, -0.022927570110784244, 0.060923545918856896, -0.003056840294702037, 0.00258971001546068, 7.395865564656339, 10.177007072876851] - Fitness: 0.14754670799830064
[0.008568804449121798, 0.4567958150917, 0.12963597605161223, -0.8083435479222203, 0.25815838295142035, -0.015, 0.07375731573039421, -0.003030334071870965, 0.0026092503104683112, 7.413970448131723, 10.128708860041362] - Fitness: -0.5029189753590373
[0.008568321486991411, 0.45251542354044927, 0.1297059926416056, -0.8088086199411394, 0.26, -0.022911492173713698, 0.07249365360041407, -0.006, 0.0025996624318013334, 8.312509455700088, 10.155154469114793] - Fitness: -0.29495408925507555
[0.008552069195585573, 0.4503466700043581, 0.12964640986900566, -0.8039811428282626, 0.2589301127782161, -0.02286595548324962, 0.06388517057945015, -0.0030761204972293687, 0.00262367363728189, 7.434832843191526, 10.20026841043341] - Fitness: 0.14605442869693475
[0.008566459875609906, 0.44739416273797883, 0.12970274304108892, -0.8085123270328811, 0.25815553009234554, -0.022915661305848833, 0.0653252724388992, -0.0030416982386423054, 0.002551114479252987, 7.406659475612502, 10.168064546947708] - Fitness: 0.14706578861050768
[0.0085840744019572, 0.46, 0.1296847694802415, -0.8037311437632957, 0.2580858750739723, -0.022934178937705343, 0.06092297278982061, -0.0030535404297275704, 0.0025664099245173502, 7.4353093964259, 10.163139434203067] - Fitness: 0.1519489099836581
[0.008572955916479566, 0.4494462742340054, 0.12972062009877636, -0.8055498394083244, 0.25825177236713037, -0.022934344135857498, 0.06388584856941666, -0.003055666789058863, 0.0025888172837407178, 7.308361858668709, 10.177673321031936] - Fitness: 0.15107951184745966
[0.008572915803026559, 0.4475343531930955, 0.1297345312743785, -0.8068136843426639, 0.25825005058044914, -0.02294331642952787, 0.06752831915850581, -0.0030612726323179535, 0.0025348127281203175, 7.229780816370878, 10.170621485645711] - Fitness: 0.15718943823744388
[0.008550544377775087, 0.44840018232360296, 0.12966878298204862, -0.805653995672136, 0.25884581099383697, -0.022879367034735594, 0.07157699302086246, -0.003074639941419612, 0.002608114940532232, 7.2889892666262135, 10.203328999232543] - Fitness: 0.14842152055972346
[0.008543235449882867, 0.45029351527041883, 0.12964039939539124, -0.8030912642321895, 0.2, -0.022853532696109402, 0.07082775586917522, -0.003096424554047538, 0.0026339476962316238, 7.392993170366819, 10.217207282367333] - Fitness: -1.5462007634474144
[0.00857251607649099, 0.44740760416785386, 0.12970858099337723, -0.8067249803915378, 0.25818329914997157, -0.022929421012462276, 0.06473201923789956, -0.006, 0.002530877743253197, 7.286614862186334, 10.16761581786785] - Fitness: -0.28236112568167127
[0.008573950604110401, 0.41, 0.1296740341679224, -0.9, 0.2585915661499276, -0.02297610637008418, 0.07231594703947336, -0.0030770091231326928, 0.002543135034107068, 7.258967396214651, 10.177511927332915] - Fitness: 0.05963888440843088
[0.008580581983992525, 0.4476396783803668, 0.12987229452544438, -0.8026652813547834, 0.25847083626044676, -0.022933107723157715, 0.060147846948365766, -0.0030874514231811817, 0.0025719745344622005, 7.469572053764706, 10.191718867481566] - Fitness: 0.1449523596856274
[0.008568950795177764, 0.45519372263755, 0.12964191955576834, -0.808082607935416, 0.25816360070178723, -0.022875289957066898, 0.07237674699797587, -0.0030334471883056878, 0.0026045712911763955, 7.429416363657115, 10.13337456667513] - Fitness: 0.1446392313750804
[0.008577901865744988, 0.4470767945538243, 0.12969959617252316, -0.8056006279085004, 0.2580566513891462, -0.022933996768938415, 0.059742975092455616, -0.003044940915184407, 0.002565199697200012, 7.332721149101078, 10.173599683555807] - Fitness: 0.14764688300740472
[0.008573748185317403, 0.45236651160345515, 0.1296484856873856, -0.8021841872634653, 0.25852021499734856, -0.022937320001276518, 0.06510783897770528, -0.003061291620349848, 0.0025942730654648803, 7.449873004873455, 10.183815780087818] - Fitness: 0.14751248320383642
[0.008576063244835973, 0.44754011805466, 0.12971715543031354, -0.8055089752568757, 0.2582545974790227, -0.022940265925210448, 0.06600689601715223, -0.0030665745353482456, 0.0025, 7.294065062822499, 10.165031931181446] - Fitness: 0.1566921110477624
[0.008558285881829133, 0.46, 0.12964774599100112, -0.8009556887542921, 0.25895875134136564, -0.022879888085114226, 0.06688453495009256, -0.003090325450666581, 0.0026166956129927994, 7.466249315865922, 10.20583875643408] - Fitness: 0.1484241260187616
[0.008565060880862247, 0.4527629194790097, 0.12962861720956398, -0.8037785645641451, 0.2, -0.02287298390488813, 0.0747454516560041, -0.003076481633616755, 0.0025, 7.428328496030919, 10.156062258447246] - Fitness: -1.537937825048346
[0.008542218904675877, 0.4489958568165821, 0.12965531480408654, -0.9, 0.25923054066255796, -0.02286247373043339, 0.07595563749678344, -0.0030954375168410334, 0.002623575231731852, 7.295764119323278, 10.219247674900089] - Fitness: 0.15325466766227858
[0.008571342082121854, 0.44753147076231325, 0.12974321919641102, -0.8074660388855581, 0.25824777713116237, -0.022944841681686583, 0.0682890307291826, -0.0030586216808028074, 0.002552219092180476, 7.197638693145068, 10.17341626287784] - Fitness: 0.15743213889831725
[0.008568384910330896, 0.4550102823602995, 0.12967869144217042, -0.8088275559260358, 0.2581860605634475, -0.022893292167568545, 0.07383525346535301, -0.0030357926145099185, 0.0026059777375516038, 7.2831889489259405, 10.143228795001137] - Fitness: 0.15312133522490892
[0.008571511042631362, 0.4527549272244399, 0.12984963561732002, -0.8060035095759996, 0.25847081952483847, -0.02289546478087242, 0.07075522822645812, -0.0030630103440680645, 0.002596978467482557, 7.41194982750541, 10.174637701218977] - Fitness: 0.15065867520272724
[0.008559907625038358, 0.4515853841753145, 0.12962913193814746, -0.8028720940614507, 0.2588971424766918, -0.02286959930087422, 0.07572878844641143, -0.003090032613058637, 0.002614814375912708, 7.419476720947296, 10.171867167982608] - Fitness: 0.1400046344139083
[0.008574552190888993, 0.45488475115592697, 0.12965061837253491, -0.8008177861742929, 0.2583228837085604, -0.022895533335460867, 0.05749841092660607, -0.00304617569059042, 0.0026091939601002806, 7.592742373582812, 10.182471683634876] - Fitness: 0.1404152557472652
[0.008592852651206432, 0.44701199298278327, 0.12969554138005362, -0.8009147955156881, 0.25807545630884676, -0.022959556678798194, 0.05307672897656494, -0.003071755275971243, 0.0025507640300808264, 7.46203979163441, 10.17088918719812] - Fitness: 0.1404449205266975
[0.008560057629459196, 0.4472968591935248, 0.12969313478160582, -0.8105145615502182, 0.2580894851678941, -0.02289925822627442, 0.06487085672006383, -0.003025114040838345, 0.002585190798754978, 7.481722417472504, 10.170086290791884] - Fitness: 0.1406455554326332
[0.008575367392510028, 0.45511799008639997, 0.129627587752397, -0.8055915055695335, 0.258230403558939, -0.022879753112915957, 0.07277877807518943, -0.0030493796747329896, 0.0026018948884842866, 7.446032046198166, 10.124452439376523] - Fitness: 0.14155671540827372
[0.008566181534679529, 0.45042531155067483, 0.1296669159699223, -0.8085453391579442, 0.2581458525243121, -0.022891456180931035, 0.06803402526211408, -0.003034820294396203, 0.0025918724346467017, 7.467446268962769, 10.15183275022574] - Fitness: 0.14175331723279325
[0.008569243487289695, 0.4519895377292499, 0.12965380656408054, -0.8075607279618073, 0.25817403620252105, -0.022887555158259344, 0.0696156095331392, -0.0030396734211751318, 0.002595213252592563, 7.460308194707902, 10.142705979942667] - Fitness: 0.14201634916446
[0.008593961678402203, 0.44687873637809394, 0.12970541142434877, -0.8011780876309545, 0.2580271009882731, -0.02296526145733601, 0.05512788162760822, -0.0030627851020958627, 0.0025472077058005423, 7.418643530904567, 10.176761737043336] - Fitness: 0.142348562908254
[0.0085577244724831, 0.4487936414168228, 0.1296116134330302, -0.8088504766591321, 0.25884556651742124, -0.022912771359665355, 0.07489588454843653, -0.003041758402586656, 0.002606387340367622, 7.490030210487538, 10.19573689916265] - Fitness: 0.14325929883239058
[0.008525567958477451, 0.45018720580254046, 0.1296283784481624, -0.8013115070400434, 0.26, -0.022828687121828964, 0.08471292644862535, -0.0031370326676838757, 0.0026544958141310917, 7.309313824717405, 10.251085026235177] - Fitness: 0.14402768663355123
[0.008568511757009869, 0.46, 0.12962408904330003, -0.8088654278958289, 0.2581479474506866, -0.022856892155278235, 0.0765184531952309, -0.003024107839001521, 0.0026186083490521437, 7.383078617080936, 10.119377446773825] - Fitness: 0.14526644231492605
[0.008585039560259305, 0.4469887686979442, 0.12970218072889012, -0.8036350544518134, 0.258043517877647, -0.02294789218600401, 0.05769182244141233, -0.0030528716649228316, 0.0025572032565780254, 7.370908874347073, 10.175005040661375] - Fitness: 0.14529675123299274
[0.008568129391611093, 0.44767367090184973, 0.12987725391264232, -0.8066631630377553, 0.2584474346117215, -0.022912411209270896, 0.0660961896363913, -0.0030634128248027944, 0.0025836114473636908, 7.4514073476620375, 10.1949212388262] - Fitness: 0.14618748946059784
[0.008569736686990986, 0.45045297947223645, 0.12965843081623446, -0.8057609000204087, 0.2582168546303602, -0.022890801057530063, 0.05, -0.003035512383593031, 0.002603125519382422, 7.51851218884094, 10.166390666565565] - Fitness: 0.1473729264341396
[0.008575642203331874, 0.44738275281250484, 0.1296663503823974, -0.8042555292402546, 0.2581368208496587, -0.022913267997580304, 0.060622875535250934, -0.003, 0.0025708731634473134, 7.510800123652035, 10.137000855848] - Fitness: 0.14959098122210612
[0.008573510566379025, 0.4479248787073997, 0.13, -0.8040955640294467, 0.25868606757427304, -0.02292117986460188, 0.06691307824727627, -0.00308894534744576, 0.002582558546436166, 7.431197301121727, 10.211477870849077] - Fitness: 0.14987128047971976
[0.008572544230767429, 0.451838172840282, 0.1296599560168143, -0.8030979930493307, 0.25821721168464573, -0.022898503764749098, 0.06210346346774017, -0.0030504216993154265, 0.0025946867762601353, 7.530660905357168, 10.06835567487925] - Fitness: 0.15007336639687172
[0.008567195323973513, 0.4472088333376446, 0.12969571933797275, -0.808548988093531, 0.2580763516563949, -0.02291315364334002, 0.06281970406902054, -0.0030330447905767698, 0.0025771943581329917, 7.275439561232086, 10.171491647897454] - Fitness: 0.15116431304637612
[0.00857544053472507, 0.44929811652407997, 0.12956841440578537, -0.8012091495144757, 0.2591981997291589, -0.023, 0.08099633251023272, -0.0031043960064666403, 0.002561798325652437, 7.303711955220066, 10.190382663050647] - Fitness: 0.15272109074604964
[0.008575930384281517, 0.45414158810368, 0.12962931960651253, -0.8036808775041893, 0.25829353998652693, -0.022884591501216127, 0.06978746678703913, -0.0030538011812061587, 0.002602709408122313, 7.499167140086301, 10.0] - Fitness: 0.15413855768943815
[0.00856886643435828, 0.4516011203458938, 0.12959554161999975, -0.8025468729373892, 0.2588436059449001, -0.022943120728819884, 0.07584631409088244, -0.0030771173298312702, 0.0025866664382099983, 7.412790498934309, 10.114229597830388] - Fitness: 0.15414679975639828
[0.008559005283808093, 0.4550556260786145, 0.1296362324413214, -0.8045534580717593, 0.25831171526851177, -0.022857801822049703, 0.068121286461857, -0.0030361993148782154, 0.002623968607046341, 7.576408314505673, 10.0] - Fitness: 0.15489791431863997
[0.008571092998077491, 0.4482346701500812, 0.12968372278659973, -0.8057461085885981, 0.25862521803121685, -0.022968735311602404, 0.0742848053264148, -0.0030737502692501652, 0.0025769384224414507, 7.201497450104095, 10.183556555625522] - Fitness: 0.15589143293202873
[0.008572542176960019, 0.44858915227474744, 0.12964528665966163, -0.804233788897224, 0.2588162119305309, -0.023, 0.07652198105435411, -0.0030839655149889904, 0.0025718917235117798, 7.235568951809419, 10.18583192476723] - Fitness: 0.15658854202028705
[0.008576063244835973, 0.44754011805466, 0.12971715543031354, -0.8055089752568757, 0.2582545974790227, -0.022940265925210448, 0.06600689601715223, -0.0030665745353482456, 0.0025, 7.294065062822499, 10.165031931181446] - Fitness: 0.1566921110477624
[0.00856819464031244, 0.4475257059007487, 0.129760595040476, -0.8087707479713463, 0.2582432302325888, -0.02294789218600401, 0.06981045387053618, -0.0030533197777725153, 0.0025870318203007935, 7.133354446693447, 10.179005817342105] - Fitness: 0.1579172889604628

Detailed Results for Each Genotype:
Genotype [0.008557038524159323, 0.448548470501054, 0.12968233485337904, -0.8041437910221758, 0.2589022731461518, -0.02289685493010944, 0.07454145876455014, -0.0030916086542744476, 0.0026088691486393107, 7.294405681145408, 10.193688519168841]:
  Angle -10: cl=-0.5602733492851257, cd=0.23099146783351898, cm=-0.18824170529842377
  Angle -9: cl=-0.5955084562301636, cd=0.19982746243476868, cm=-0.18241389095783234
  Angle -8: cl=-0.6180891990661621, cd=0.16444635391235352, cm=-0.18033145368099213
  Angle -7: cl=-0.6508386731147766, cd=0.13030603528022766, cm=-0.17504845559597015
  Angle -6: cl=-0.6120607852935791, cd=0.11568356305360794, cm=-0.16109685599803925
  Angle -5: cl=-0.5035902261734009, cd=0.10440727323293686, cm=-0.14853216707706451
  Angle -4: cl=-0.4009399116039276, cd=0.09765881299972534, cm=-0.1363901048898697
  Angle -3: cl=-0.29729071259498596, cd=0.09109117835760117, cm=-0.12170888483524323
  Angle -2: cl=-0.2217651903629303, cd=0.08533435314893723, cm=-0.09850738942623138
  Angle -1: cl=-0.16213949024677277, cd=0.08147449791431427, cm=-0.06904612481594086
  Angle 0: cl=-0.09815086424350739, cd=0.08111416548490524, cm=-0.039857909083366394
  Angle 1: cl=-0.0202422384172678, cd=0.08165756613016129, cm=-0.016696706414222717
  Angle 2: cl=0.06095821410417557, cd=0.08244812488555908, cm=-0.0012125670909881592
  Angle 3: cl=0.30109095573425293, cd=0.06975019723176956, cm=0.0006895959377288818
  Angle 4: cl=0.39155083894729614, cd=0.07524780929088593, cm=0.005907922983169556
  Angle 5: cl=0.4893040955066681, cd=0.08357224613428116, cm=0.009249210357666016
  Angle 6: cl=0.5813959240913391, cd=0.09088964015245438, cm=0.011900201439857483
  Angle 7: cl=0.6728132367134094, cd=0.09745733439922333, cm=0.013809829950332642
  Angle 8: cl=0.763637363910675, cd=0.10201957076787949, cm=0.010363131761550903
  Angle 9: cl=0.8567368388175964, cd=0.10584032535552979, cm=0.0021385997533798218
  Angle 10: cl=0.956534743309021, cd=0.11043062061071396, cm=-0.005885407328605652
Genotype [0.008575336554563127, 0.4504065584006337, 0.12970063262792655, -0.8039393851268133, 0.2582560434344012, -0.022927570110784244, 0.060923545918856896, -0.003056840294702037, 0.00258971001546068, 7.395865564656339, 10.177007072876851]:
  Angle -10: cl=-0.5600667595863342, cd=0.23094740509986877, cm=-0.1884266585111618
  Angle -9: cl=-0.5944545269012451, cd=0.1993546336889267, cm=-0.18303503096103668
  Angle -8: cl=-0.617054283618927, cd=0.16397392749786377, cm=-0.18094928562641144
  Angle -7: cl=-0.6507576704025269, cd=0.13003459572792053, cm=-0.17551963031291962
  Angle -6: cl=-0.6118568778038025, cd=0.11538808792829514, cm=-0.16125942766666412
  Angle -5: cl=-0.5046170949935913, cd=0.10426721721887589, cm=-0.14872916042804718
  Angle -4: cl=-0.40387430787086487, cd=0.0979224294424057, cm=-0.13636018335819244
  Angle -3: cl=-0.30047211050987244, cd=0.0914478600025177, cm=-0.12181045114994049
  Angle -2: cl=-0.22491934895515442, cd=0.0857304260134697, cm=-0.09853197634220123
  Angle -1: cl=-0.16517700254917145, cd=0.08166620135307312, cm=-0.06916643679141998
  Angle 0: cl=-0.100511834025383, cd=0.08127142488956451, cm=-0.04012121260166168
  Angle 1: cl=-0.021249758079648018, cd=0.0818227082490921, cm=-0.01725633442401886
  Angle 2: cl=0.06038105487823486, cd=0.08244016766548157, cm=-0.001598849892616272
  Angle 3: cl=0.3021254241466522, cd=0.06940332800149918, cm=0.0003028959035873413
  Angle 4: cl=0.39358991384506226, cd=0.07502022385597229, cm=0.005427360534667969
  Angle 5: cl=0.49159514904022217, cd=0.08337768167257309, cm=0.008777454495429993
  Angle 6: cl=0.5840520262718201, cd=0.09059969335794449, cm=0.01131322979927063
  Angle 7: cl=0.6751266717910767, cd=0.09717433154582977, cm=0.013309657573699951
  Angle 8: cl=0.7658940553665161, cd=0.10198493301868439, cm=0.010429143905639648
  Angle 9: cl=0.8593604564666748, cd=0.10585813224315643, cm=0.002208024263381958
  Angle 10: cl=0.9593145847320557, cd=0.11045902967453003, cm=-0.0057962387800216675
Genotype [0.008568804449121798, 0.4567958150917, 0.12963597605161223, -0.8083435479222203, 0.25815838295142035, -0.015, 0.07375731573039421, -0.003030334071870965, 0.0026092503104683112, 7.413970448131723, 10.128708860041362]:
  Angle -10: cl=-0.5513603687286377, cd=0.21206887066364288, cm=-0.18162105977535248
  Angle -9: cl=-0.5857818722724915, cd=0.18145820498466492, cm=-0.17636366188526154
  Angle -8: cl=-0.6181397438049316, cd=0.1513766497373581, cm=-0.17047305405139923
  Angle -7: cl=-0.645500898361206, cd=0.12495525181293488, cm=-0.1618199199438095
  Angle -6: cl=-0.6252027750015259, cd=0.10908226668834686, cm=-0.1507815569639206
  Angle -5: cl=-0.5265785455703735, cd=0.10015591233968735, cm=-0.13583724200725555
  Angle -4: cl=-0.43401655554771423, cd=0.09293399751186371, cm=-0.11689825356006622
  Angle -3: cl=-0.3486533463001251, cd=0.08519434183835983, cm=-0.09339053928852081
  Angle -2: cl=-0.2782018184661865, cd=0.07868307083845139, cm=-0.06714500486850739
  Angle -1: cl=-0.2267150580883026, cd=0.0758209154009819, cm=-0.038697466254234314
  Angle 0: cl=-0.17357783019542694, cd=0.08248380571603775, cm=-0.02112962305545807
  Angle 1: cl=-0.10856333374977112, cd=0.09057344496250153, cm=-0.004544481635093689
  Angle 2: cl=-0.021630452945828438, cd=0.095755435526371, cm=0.008112102746963501
  Angle 3: cl=0.1688174605369568, cd=0.0896061435341835, cm=0.01386997103691101
  Angle 4: cl=0.25512465834617615, cd=0.09522295743227005, cm=0.020597845315933228
  Angle 5: cl=0.3488239049911499, cd=0.09948819130659103, cm=0.021232008934020996
  Angle 6: cl=0.4425402879714966, cd=0.10117248445749283, cm=0.015600800514221191
  Angle 7: cl=0.541212797164917, cd=0.1025533527135849, cm=0.00991995632648468
  Angle 8: cl=0.6377547383308411, cd=0.10405462235212326, cm=0.0036829113960266113
  Angle 9: cl=0.74189692735672, cd=0.10530755668878555, cm=-0.011140838265419006
  Angle 10: cl=0.8587020635604858, cd=0.10681435465812683, cm=-0.03401683270931244
Genotype [0.008568321486991411, 0.45251542354044927, 0.1297059926416056, -0.8088086199411394, 0.26, -0.022911492173713698, 0.07249365360041407, -0.006, 0.0025996624318013334, 8.312509455700088, 10.155154469114793]:
  Angle -10: cl=-0.5642421245574951, cd=0.1874811351299286, cm=-0.17370955646038055
  Angle -9: cl=-0.607149064540863, cd=0.16335245966911316, cm=-0.1660013347864151
  Angle -8: cl=-0.6363087892532349, cd=0.13485389947891235, cm=-0.16150252521038055
  Angle -7: cl=-0.632654070854187, cd=0.10963766276836395, cm=-0.1566576510667801
  Angle -6: cl=-0.5554762482643127, cd=0.09958773106336594, cm=-0.1348419040441513
  Angle -5: cl=-0.47219377756118774, cd=0.09239857643842697, cm=-0.10921864211559296
  Angle -4: cl=-0.3919845521450043, cd=0.08695153146982193, cm=-0.08342333137989044
  Angle -3: cl=-0.3216080963611603, cd=0.08305398374795914, cm=-0.05804838240146637
  Angle -2: cl=-0.26828187704086304, cd=0.08859778195619583, cm=-0.03843395411968231
  Angle -1: cl=-0.2142896205186844, cd=0.09553264826536179, cm=-0.021694675087928772
  Angle 0: cl=-0.15211555361747742, cd=0.10305327922105789, cm=-0.004301175475120544
  Angle 1: cl=-0.09016808122396469, cd=0.10909616947174072, cm=0.010429427027702332
  Angle 2: cl=0.07171113044023514, cd=0.10469157993793488, cm=0.016252636909484863
  Angle 3: cl=0.15621256828308105, cd=0.10624056309461594, cm=0.013657703995704651
  Angle 4: cl=0.2387588620185852, cd=0.10835473239421844, cm=0.00845329463481903
  Angle 5: cl=0.3335634469985962, cd=0.11047302186489105, cm=0.002643883228302002
  Angle 6: cl=0.4402526021003723, cd=0.11150811612606049, cm=-0.005533084273338318
  Angle 7: cl=0.5662105083465576, cd=0.10932402312755585, cm=-0.022787287831306458
  Angle 8: cl=0.6907122731208801, cd=0.1071372926235199, cm=-0.041683509945869446
  Angle 9: cl=0.8041082620620728, cd=0.10600441694259644, cm=-0.06512390077114105
  Angle 10: cl=0.9200249314308167, cd=0.10478498041629791, cm=-0.08873678743839264
Genotype [0.008552069195585573, 0.4503466700043581, 0.12964640986900566, -0.8039811428282626, 0.2589301127782161, -0.02286595548324962, 0.06388517057945015, -0.0030761204972293687, 0.00262367363728189, 7.434832843191526, 10.20026841043341]:
  Angle -10: cl=-0.5599479079246521, cd=0.23074516654014587, cm=-0.1883462816476822
  Angle -9: cl=-0.5942946076393127, cd=0.19923071563243866, cm=-0.18293534219264984
  Angle -8: cl=-0.6168197393417358, cd=0.163849338889122, cm=-0.18085698783397675
  Angle -7: cl=-0.6505351662635803, cd=0.1298959106206894, cm=-0.17540614306926727
  Angle -6: cl=-0.6113654971122742, cd=0.11536157131195068, cm=-0.16123591363430023
  Angle -5: cl=-0.5037594437599182, cd=0.10419734567403793, cm=-0.14869903028011322
  Angle -4: cl=-0.40289855003356934, cd=0.09782641381025314, cm=-0.13634316623210907
  Angle -3: cl=-0.29939085245132446, cd=0.09130913019180298, cm=-0.12172909080982208
  Angle -2: cl=-0.22445330023765564, cd=0.08558332920074463, cm=-0.09828709065914154
  Angle -1: cl=-0.16462014615535736, cd=0.08161153644323349, cm=-0.06885306537151337
  Angle 0: cl=-0.10008412599563599, cd=0.08125263452529907, cm=-0.0398685485124588
  Angle 1: cl=-0.021341564133763313, cd=0.08174976706504822, cm=-0.016892120242118835
  Angle 2: cl=0.060201242566108704, cd=0.08250059187412262, cm=-0.0013571828603744507
  Angle 3: cl=0.301242470741272, cd=0.06966055929660797, cm=0.00043192505836486816
  Angle 4: cl=0.3924305737018585, cd=0.07518110424280167, cm=0.005587473511695862
  Angle 5: cl=0.49028316140174866, cd=0.08354917913675308, cm=0.00892309844493866
  Angle 6: cl=0.5829036831855774, cd=0.09078820794820786, cm=0.011483564972877502
  Angle 7: cl=0.6740807890892029, cd=0.09736145287752151, cm=0.013462454080581665
  Angle 8: cl=0.7648923993110657, cd=0.10204633325338364, cm=0.010273948311805725
  Angle 9: cl=0.8582728505134583, cd=0.10591444373130798, cm=0.002043306827545166
  Angle 10: cl=0.9582268595695496, cd=0.1105152815580368, cm=-0.005960568785667419
Genotype [0.008566459875609906, 0.44739416273797883, 0.12970274304108892, -0.8085123270328811, 0.25815553009234554, -0.022915661305848833, 0.0653252724388992, -0.0030416982386423054, 0.002551114479252987, 7.406659475612502, 10.168064546947708]:
  Angle -10: cl=-0.5599705576896667, cd=0.2312353104352951, cm=-0.18832306563854218
  Angle -9: cl=-0.595553994178772, cd=0.20010656118392944, cm=-0.18237681686878204
  Angle -8: cl=-0.6181497573852539, cd=0.16472485661506653, cm=-0.18029041588306427
  Angle -7: cl=-0.6499980688095093, cd=0.13073918223381042, cm=-0.17494814097881317
  Angle -6: cl=-0.613161563873291, cd=0.11583641171455383, cm=-0.16095121204853058
  Angle -5: cl=-0.5046616792678833, cd=0.1045566126704216, cm=-0.1483878344297409
  Angle -4: cl=-0.4016125202178955, cd=0.09772232919931412, cm=-0.13631270825862885
  Angle -3: cl=-0.2979864776134491, cd=0.09117394685745239, cm=-0.12167303264141083
  Angle -2: cl=-0.22145572304725647, cd=0.08539929986000061, cm=-0.09876765310764313
  Angle -1: cl=-0.16204066574573517, cd=0.08143813163042068, cm=-0.06938891112804413
  Angle 0: cl=-0.09808073937892914, cd=0.08104868978261948, cm=-0.04004235565662384
  Angle 1: cl=-0.01988947205245495, cd=0.0817180722951889, cm=-0.016950413584709167
  Angle 2: cl=0.06152746081352234, cd=0.08232521265745163, cm=-0.0012574046850204468
  Angle 3: cl=0.3019878566265106, cd=0.06957113742828369, cm=0.0007625222206115723
  Angle 4: cl=0.39240115880966187, cd=0.07510128617286682, cm=0.005988553166389465
  Angle 5: cl=0.48998117446899414, cd=0.08346513658761978, cm=0.009370893239974976
  Angle 6: cl=0.5816108584403992, cd=0.09077638387680054, cm=0.012007132172584534
  Angle 7: cl=0.6730830073356628, cd=0.09734394401311874, cm=0.01390521228313446
  Angle 8: cl=0.7639139890670776, cd=0.10195821523666382, cm=0.01056671142578125
  Angle 9: cl=0.8569560647010803, cd=0.10577011853456497, cm=0.0023564547300338745
  Angle 10: cl=0.956758439540863, cd=0.1103614941239357, cm=-0.005665972828865051
Genotype [0.0085840744019572, 0.46, 0.1296847694802415, -0.8037311437632957, 0.2580858750739723, -0.022934178937705343, 0.06092297278982061, -0.0030535404297275704, 0.0025664099245173502, 7.4353093964259, 10.163139434203067]:
  Angle -10: cl=-0.5634366869926453, cd=0.23051264882087708, cm=-0.18875311315059662
  Angle -9: cl=-0.5923219919204712, cd=0.19751448929309845, cm=-0.18536503612995148
  Angle -8: cl=-0.6151564717292786, cd=0.16243965923786163, cm=-0.1836651712656021
