Experiment: Combination_Experiment_50
Generation: 94
Timestamp: 20231225_191304

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.11, -0.7029463882943543, 0.2, -0.021179757927707214, 0.07450561654995898, -0.0030136548536835238, 0.005, 10.0, 11.071588728175017] - Fitness: -2.627462768219582
[0.0085, 0.46, 0.13, -0.7029463882943543, 0.2, -0.015, 0.07450561654995898, -0.003, 0.0025, 8.77773835021849, 10.0] - Fitness: -2.3475344699860763
[0.0085, 0.46, 0.13, -0.7, 0.2, -0.023, 0.2, -0.003, 0.005, 10.0, 10.83563696986933] - Fitness: -1.5792198636288381
[0.0085, 0.46, 0.13, -0.7029463882943543, 0.2, -0.021179757927707214, 0.07450561654995898, -0.0030136548536835238, 0.005, 10.0, 11.071588728175017] - Fitness: -1.7459849527643523
[0.0085, 0.46, 0.13, -0.7029463882943543, 0.2, -0.021179757927707214, 0.05, -0.003, 0.005, 9.818838373265262, 12.951447213926354] - Fitness: -1.8545291206660686
[0.0085, 0.46, 0.11, -0.7029463882943543, 0.2, -0.015, 0.07450561654995898, -0.006, 0.005, 7.241358588472057, 11.423562379595989] - Fitness: -2.6989286669963697
[0.0085, 0.46, 0.11, -0.7, 0.2, -0.015, 0.05, -0.003, 0.005, 7.241358588472057, 11.423562379595989] - Fitness: -2.7227971948323653
[0.0126, 0.46, 0.13, -0.9, 0.2, -0.023, 0.07450561654995898, -0.0030136548536835238, 0.005, 10.0, 11.071588728175017] - Fitness: -2.355856426379361
[0.0085, 0.46, 0.13, -0.7, 0.2, -0.015, 0.2, -0.003, 0.005, 7.241358588472057, 11.423562379595989] - Fitness: -2.520753502033517
[0.0085, 0.46, 0.13, -0.7029463882943543, 0.2, -0.023, 0.2, -0.003, 0.005, 7.241358588472057, 11.423562379595989] - Fitness: -1.7564220115025444
[0.0085, 0.41, 0.13, -0.7, 0.2, -0.015, 0.05, -0.003, 0.005, 7.241358588472057, 11.071588728175017] - Fitness: -2.38851662685966
[0.0085, 0.41, 0.13, -0.7, 0.2, -0.015, 0.05, -0.003, 0.005, 7.241358588472057, 11.423562379595989] - Fitness: -2.3998847939783823
[0.0085, 0.41, 0.13, -0.9, 0.2, -0.023, 0.2, -0.003, 0.005, 9.818838373265262, 11.423562379595989] - Fitness: -2.031043896899633
[0.0085, 0.46, 0.11, -0.7029463882943543, 0.2, -0.0213683737749531, 0.08062877234741246, -0.006, 0.0025, 8.146032098262472, 10.938649267019912] - Fitness: -2.820129701245199
[0.0085, 0.46, 0.11, -0.7029463882943543, 0.2, -0.023, 0.07450561654995898, -0.006, 0.005, 9.818838373265262, 10.83563696986933] - Fitness: -2.5063359171821786
[0.0085, 0.41, 0.13, -0.9, 0.2, -0.015, 0.2, -0.003, 0.005, 7.241358588472057, 11.423562379595989] - Fitness: -2.424547734582015
[0.0085, 0.46, 0.11, -0.7029463882943543, 0.2, -0.021179757927707214, 0.05, -0.006, 0.005, 9.818838373265262, 11.423562379595989] - Fitness: -2.4660940480047207
[0.0085, 0.46, 0.11, -0.7, 0.2, -0.023, 0.07450561654995898, -0.003, 0.0025, 8.77773835021849, 10.0] - Fitness: -2.1748000882767267
[0.0126, 0.46, 0.13, -0.7, 0.2, -0.021179757927707214, 0.07450561654995898, -0.006, 0.005, 9.818838373265262, 11.423562379595989] - Fitness: -2.5590297608266663
[0.0085, 0.41, 0.13, -0.7029463882943543, 0.2, -0.015, 0.07450561654995898, -0.003, 0.0025, 8.77773835021849, 10.0] - Fitness: -2.288290388106288
[0.0126, 0.46, 0.13, -0.7, 0.2, -0.023, 0.05, -0.003, 0.005, 7.241358588472057, 10.83563696986933] - Fitness: -2.3099668295275153
[0.0085, 0.41, 0.11, -0.7, 0.2, -0.021179757927707214, 0.07450561654995898, -0.0030136548536835238, 0.005, 10.0, 11.071588728175017] - Fitness: -2.8274707719298977
[0.0126, 0.46, 0.13, -0.7, 0.2, -0.021179757927707214, 0.07450561654995898, -0.006, 0.005, 9.818838373265262, 10.83563696986933] - Fitness: -2.542497140942585
[0.0085, 0.46, 0.11, -0.7, 0.2, -0.023, 0.2, -0.003, 0.005, 10.0, 10.83563696986933] - Fitness: -2.4911910299877755
[0.0085, 0.46, 0.13, -0.7, 0.2, -0.021179757927707214, 0.2, -0.006, 0.005, 9.818838373265262, 12.951447213926354] - Fitness: -2.076542556174265
[0.0085, 0.41, 0.13, -0.9, 0.26, -0.021179757927707214, 0.07450561654995898, -0.0030136548536835238, 0.0025, 7.039327729063171, 11.628365840478414] - Fitness: -0.147150955171009
[0.0085, 0.41, 0.13, -0.9, 0.26, -0.021179757927707214, 0.07450561654995898, -0.0030136548536835238, 0.0025, 7.039327729063171, 11.628365840478414] - Fitness: -0.147150955171009
[0.0085, 0.41, 0.13, -0.9, 0.26, -0.021179757927707214, 0.07450561654995898, -0.0030136548536835238, 0.0025, 7.039327729063171, 11.628365840478414] - Fitness: -0.147150955171009
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.07450561654995898, -0.00356797964951337, 0.0038901897678680843, 9.818838373265262, 10.174315008851806] - Fitness: -0.14646728010023197
[0.0085, 0.41, 0.13, -0.7, 0.26, -0.0213683737749531, 0.08062877234741246, -0.0030136548536835238, 0.0025, 8.146032098262472, 10.938649267019912] - Fitness: -0.13142197081809162
[0.0085, 0.41, 0.13, -0.7, 0.26, -0.0213683737749531, 0.08062877234741246, -0.0030136548536835238, 0.0025, 8.146032098262472, 10.938649267019912] - Fitness: -0.13142197081809162
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.0213683737749531, 0.08062877234741246, -0.0030136548536835238, 0.0038901897678680843, 8.869167576203822, 10.0] - Fitness: -0.1311152916230974
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.07450561654995898, -0.00356797964951337, 0.0038901897678680843, 9.818838373265262, 10.0] - Fitness: -0.1275382946644313
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.021179757927707214, 0.07450561654995898, -0.00356797964951337, 0.0025, 9.283191516313046, 10.18760131442534] - Fitness: -0.11643850793123724
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.021179757927707214, 0.07450561654995898, -0.00356797964951337, 0.0025, 9.283191516313046, 10.0] - Fitness: -0.09559867830070234
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.021179757927707214, 0.07450561654995898, -0.00356797964951337, 0.0025, 9.283191516313046, 10.0] - Fitness: -0.09559867830070234
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.021179757927707214, 0.07450561654995898, -0.0030136548536835238, 0.0025, 9.173464504250822, 10.938649267019912] - Fitness: -0.09393843545764023
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.021179757927707214, 0.07450561654995898, -0.00356797964951337, 0.0025, 7.0, 10.938649267019912] - Fitness: -0.0816035398538724
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.021179757927707214, 0.07450561654995898, -0.00356797964951337, 0.0025, 7.0, 10.938649267019912] - Fitness: -0.0816035398538724
[0.0085, 0.41, 0.13, -0.7, 0.26, -0.023, 0.16851271668523357, -0.003, 0.0025, 8.590736725467867, 10.938649267019912] - Fitness: -0.07570743790934441
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.0213683737749531, 0.16452319577132057, -0.003, 0.0025, 8.146032098262472, 10.938649267019912] - Fitness: -0.07052946095316734
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.021179757927707214, 0.07450561654995898, -0.0030136548536835238, 0.0025, 7.028970184196891, 11.628365840478414] - Fitness: -0.04586442154965771
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.021179757927707214, 0.05, -0.003, 0.0025, 8.590736725467867, 10.938649267019912] - Fitness: -0.04148220602689924
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.021179757927707214, 0.07450561654995898, -0.003, 0.0038901897678680843, 7.269843018974002, 10.0] - Fitness: -0.0341432913546413
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.021179757927707214, 0.07450561654995898, -0.003, 0.0038901897678680843, 7.269843018974002, 10.0] - Fitness: -0.0341432913546413
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.0213683737749531, 0.08062877234741246, -0.0030136548536835238, 0.0025, 8.146032098262472, 10.938649267019912] - Fitness: -0.03394383768207029
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.2, -0.00356797964951337, 0.0025, 9.217976139355038, 10.0] - Fitness: -0.022233793935511493
[0.0085, 0.41, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.590736725467867, 10.938649267019912] - Fitness: -0.01173462118072796
[0.0085, 0.41, 0.13, -0.9, 0.26, -0.021179757927707214, 0.07450561654995898, -0.0030136548536835238, 0.0025, 7.039327729063171, 10.0] - Fitness: 0.01857299968940605
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.07450561654995898, -0.003, 0.0025, 7.241358588472057, 10.0] - Fitness: 0.26741866209934895

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.11, -0.7029463882943543, 0.2, -0.021179757927707214, 0.07450561654995898, -0.0030136548536835238, 0.005, 10.0, 11.071588728175017]:
  Angle -10: cl=-0.6211219429969788, cd=0.18836872279644012, cm=-0.15331383049488068
  Angle -9: cl=-0.6743851900100708, cd=0.16246019303798676, cm=-0.1265311986207962
  Angle -8: cl=-0.7149196267127991, cd=0.1474028080701828, cm=-0.09842623770236969
  Angle -7: cl=-0.7445877194404602, cd=0.13502179086208344, cm=-0.07951469719409943
  Angle -6: cl=-0.7455045580863953, cd=0.12648816406726837, cm=-0.06928490102291107
  Angle -5: cl=-0.7402493357658386, cd=0.12443558871746063, cm=-0.06016908586025238
  Angle -4: cl=-0.7129208445549011, cd=0.127252995967865, cm=-0.04848082363605499
  Angle -3: cl=-0.6759533882141113, cd=0.12929201126098633, cm=-0.036678001284599304
  Angle -2: cl=-0.6590520739555359, cd=0.12633772194385529, cm=-0.025281891226768494
  Angle -1: cl=-0.6411442756652832, cd=0.1230265349149704, cm=-0.014080598950386047
  Angle 0: cl=-0.601123034954071, cd=0.12191637605428696, cm=-0.009460017085075378
  Angle 1: cl=-0.5516327619552612, cd=0.11803534626960754, cm=-0.010404422879219055
  Angle 2: cl=-0.37378716468811035, cd=0.10702967643737793, cm=-0.025444194674491882
  Angle 3: cl=-0.2076500654220581, cd=0.10519018024206161, cm=-0.03826214373111725
  Angle 4: cl=-0.07198347896337509, cd=0.10367993265390396, cm=-0.0549897700548172
  Angle 5: cl=0.055211056023836136, cd=0.10283217579126358, cm=-0.07240341603755951
  Angle 6: cl=0.177986279129982, cd=0.10176023095846176, cm=-0.09096972644329071
  Angle 7: cl=0.298756867647171, cd=0.10046015679836273, cm=-0.11232469975948334
  Angle 8: cl=0.4071659743785858, cd=0.09883446246385574, cm=-0.13637690246105194
  Angle 9: cl=0.5066143870353699, cd=0.09786994010210037, cm=-0.1591784507036209
  Angle 10: cl=0.5984802842140198, cd=0.09917333722114563, cm=-0.17488832771778107
Genotype [0.0085, 0.46, 0.13, -0.7029463882943543, 0.2, -0.015, 0.07450561654995898, -0.003, 0.0025, 8.77773835021849, 10.0]:
  Angle -10: cl=-0.6907907724380493, cd=0.20217762887477875, cm=-0.10580466687679291
  Angle -9: cl=-0.6985703706741333, cd=0.19864919781684875, cm=-0.0892886370420456
  Angle -8: cl=-0.7167249917984009, cd=0.2007199078798294, cm=-0.07877878844738007
  Angle -7: cl=-0.732562780380249, cd=0.20205727219581604, cm=-0.0715232640504837
  Angle -6: cl=-0.7410537600517273, cd=0.1997266560792923, cm=-0.06468154489994049
  Angle -5: cl=-0.7449259161949158, cd=0.19967246055603027, cm=-0.05333755910396576
  Angle -4: cl=-0.7741380929946899, cd=0.19694165885448456, cm=-0.043207719922065735
  Angle -3: cl=-0.7631897330284119, cd=0.18590961396694183, cm=-0.055250510573387146
  Angle -2: cl=-0.7249239683151245, cd=0.17034485936164856, cm=-0.07680530846118927
  Angle -1: cl=-0.6667264699935913, cd=0.15888234972953796, cm=-0.09530527889728546
  Angle 0: cl=-0.5677924752235413, cd=0.15462654829025269, cm=-0.10740117728710175
  Angle 1: cl=-0.4681755602359772, cd=0.15308791399002075, cm=-0.1189078837633133
  Angle 2: cl=-0.3535545766353607, cd=0.1315632313489914, cm=-0.13430769741535187
  Angle 3: cl=-0.29376813769340515, cd=0.1106182187795639, cm=-0.14803408086299896
  Angle 4: cl=-0.15969105064868927, cd=0.1092924177646637, cm=-0.1583654135465622
  Angle 5: cl=-0.02481961064040661, cd=0.1102733239531517, cm=-0.17010872066020966
  Angle 6: cl=0.10072776675224304, cd=0.11007137596607208, cm=-0.1826891452074051
  Angle 7: cl=0.21132521331310272, cd=0.10901278257369995, cm=-0.1958170384168625
  Angle 8: cl=0.30829593539237976, cd=0.10886343568563461, cm=-0.21184135973453522
  Angle 9: cl=0.40887385606765747, cd=0.10893948376178741, cm=-0.2289934605360031
  Angle 10: cl=0.507507860660553, cd=0.1094817966222763, cm=-0.24385760724544525
Genotype [0.0085, 0.46, 0.13, -0.7, 0.2, -0.023, 0.2, -0.003, 0.005, 10.0, 10.83563696986933]:
  Angle -10: cl=-0.5396008491516113, cd=0.19158411026000977, cm=-0.16614137589931488
  Angle -9: cl=-0.5711947083473206, cd=0.17963819205760956, cm=-0.1461053341627121
  Angle -8: cl=-0.610737144947052, cd=0.16573545336723328, cm=-0.11917285621166229
  Angle -7: cl=-0.6314730644226074, cd=0.15231074392795563, cm=-0.09485511481761932
  Angle -6: cl=-0.6386956572532654, cd=0.13522130250930786, cm=-0.07156385481357574
  Angle -5: cl=-0.6293628811836243, cd=0.12802395224571228, cm=-0.056394800543785095
  Angle -4: cl=-0.5932985544204712, cd=0.128154918551445, cm=-0.04597313702106476
  Angle -3: cl=-0.5667546391487122, cd=0.12717768549919128, cm=-0.03723280131816864
  Angle -2: cl=-0.5499987602233887, cd=0.12578414380550385, cm=-0.025540217757225037
  Angle -1: cl=-0.4994797706604004, cd=0.12897923588752747, cm=-0.010794565081596375
  Angle 0: cl=-0.4356729984283447, cd=0.13192103803157806, cm=0.002018839120864868
  Angle 1: cl=-0.370382696390152, cd=0.13075672090053558, cm=0.007026687264442444
  Angle 2: cl=-0.22997602820396423, cd=0.11069025099277496, cm=-0.0011618435382843018
  Angle 3: cl=-0.09428081661462784, cd=0.10436856746673584, cm=-0.01601274311542511
  Angle 4: cl=0.041947949677705765, cd=0.10218049585819244, cm=-0.03154410421848297
  Angle 5: cl=0.18297138810157776, cd=0.10143330693244934, cm=-0.05191715061664581
  Angle 6: cl=0.30712980031967163, cd=0.09967348724603653, cm=-0.07302330434322357
  Angle 7: cl=0.4167473614215851, cd=0.09722665697336197, cm=-0.09669475257396698
  Angle 8: cl=0.5246039628982544, cd=0.09569642692804337, cm=-0.12055103480815887
  Angle 9: cl=0.6183223128318787, cd=0.09686676412820816, cm=-0.13703705370426178
  Angle 10: cl=0.7120630741119385, cd=0.09896653890609741, cm=-0.15250755846500397
Genotype [0.0085, 0.46, 0.13, -0.7029463882943543, 0.2, -0.021179757927707214, 0.07450561654995898, -0.0030136548536835238, 0.005, 10.0, 11.071588728175017]:
  Angle -10: cl=-0.5543955564498901, cd=0.19844022393226624, cm=-0.15471623837947845
  Angle -9: cl=-0.5926751494407654, cd=0.18645909428596497, cm=-0.12692148983478546
  Angle -8: cl=-0.63641756772995, cd=0.1698153018951416, cm=-0.10127405822277069
  Angle -7: cl=-0.6511017084121704, cd=0.1554861068725586, cm=-0.07825486361980438
  Angle -6: cl=-0.6576420664787292, cd=0.14669734239578247, cm=-0.06587587296962738
  Angle -5: cl=-0.6295103430747986, cd=0.1464209258556366, cm=-0.05403910577297211
  Angle -4: cl=-0.6027275919914246, cd=0.14828242361545563, cm=-0.04326529800891876
  Angle -3: cl=-0.587738037109375, cd=0.146600142121315, cm=-0.03366841375827789
  Angle -2: cl=-0.587343692779541, cd=0.14246155321598053, cm=-0.023320868611335754
  Angle -1: cl=-0.547031581401825, cd=0.14517313241958618, cm=-0.008417680859565735
  Angle 0: cl=-0.4922405481338501, cd=0.14324356615543365, cm=-0.005662545561790466
  Angle 1: cl=-0.4035244286060333, cd=0.13593798875808716, cm=-0.01858063042163849
  Angle 2: cl=-0.26268619298934937, cd=0.11389864981174469, cm=-0.03501875698566437
  Angle 3: cl=-0.14662888646125793, cd=0.10202033072710037, cm=-0.05125702917575836
  Angle 4: cl=-0.00558839924633503, cd=0.10028210282325745, cm=-0.06766526401042938
  Angle 5: cl=0.14297699928283691, cd=0.09889886528253555, cm=-0.08540083467960358
  Angle 6: cl=0.2854478359222412, cd=0.09808313101530075, cm=-0.10560782253742218
  Angle 7: cl=0.3811049163341522, cd=0.0980529859662056, cm=-0.1233891099691391
  Angle 8: cl=0.47384586930274963, cd=0.09851036965847015, cm=-0.142353817820549
  Angle 9: cl=0.5670212507247925, cd=0.09940155595541, cm=-0.1600542515516281
  Angle 10: cl=0.6609082818031311, cd=0.10131485015153885, cm=-0.17412050068378448
Genotype [0.0085, 0.46, 0.13, -0.7029463882943543, 0.2, -0.021179757927707214, 0.05, -0.003, 0.005, 9.818838373265262, 12.951447213926354]:
  Angle -10: cl=-0.5582154989242554, cd=0.2001018077135086, cm=-0.1527821272611618
  Angle -9: cl=-0.6003182530403137, cd=0.18734988570213318, cm=-0.12378944456577301
  Angle -8: cl=-0.6432521343231201, cd=0.17045076191425323, cm=-0.09833522140979767
  Angle -7: cl=-0.6597052216529846, cd=0.15703892707824707, cm=-0.07624571025371552
  Angle -6: cl=-0.6661275625228882, cd=0.14878606796264648, cm=-0.06600518524646759
  Angle -5: cl=-0.6357027888298035, cd=0.14941859245300293, cm=-0.05439101159572601
  Angle -4: cl=-0.6121619343757629, cd=0.15092727541923523, cm=-0.04336051642894745
  Angle -3: cl=-0.6053078174591064, cd=0.148842915892601, cm=-0.033599451184272766
  Angle -2: cl=-0.6026585698127747, cd=0.14504209160804749, cm=-0.023341968655586243
  Angle -1: cl=-0.5707211494445801, cd=0.14605961740016937, cm=-0.010125711560249329
  Angle 0: cl=-0.5071414113044739, cd=0.1418963223695755, cm=-0.013922616839408875
  Angle 1: cl=-0.4171598553657532, cd=0.1348886340856552, cm=-0.027853623032569885
  Angle 2: cl=-0.2819136083126068, cd=0.11448114365339279, cm=-0.04377205669879913
  Angle 3: cl=-0.1706797331571579, cd=0.10161994397640228, cm=-0.060378775000572205
