Experiment: Combination_Experiment_510
Generation: 94
Timestamp: 20231226_022445

Genotypes and their Fitness Values:
[0.00850077232974516, 0.46, 0.1299994129533405, -0.8928479091159796, 0.25997745698682906, -0.022998119109293086, 0.05, -0.0030004217362740396, 0.002501442814628705, 7.825635393995996, 11.38491532869999] - Fitness: 0.09931638795384193
[0.008500712874627985, 0.45830528775676926, 0.129999477593506, -0.8941514425686921, 0.25997870561872005, -0.022998119461666716, 0.05047377436774672, -0.003000225178090987, 0.002502144809775496, 7.820472268750783, 11.376620100921935] - Fitness: 0.10054111100420793
[0.00850072710577604, 0.4585402457858068, 0.12999952296431028, -0.8933287134352915, 0.25997923383701926, -0.022998119941454516, 0.050504639291594544, -0.00300033776713648, 0.002502165599569281, 7.845359316441177, 11.336137322365872] - Fitness: 0.10372418506114883
[0.00850075169887478, 0.4581339891068607, 0.12999945771557805, -0.8961474613282545, 0.259978272328777, -0.022998116397485245, 0.050247226712030635, -0.0030000900712363948, 0.0025021917258435614, 7.819176575998631, 11.37938188011983] - Fitness: 0.10058641616651434
[0.008500903878966376, 0.4581427389803519, 0.12999950123992382, -0.891775716434213, 0.2599781374214144, -0.022998101766502722, 0.05021318570321724, -0.003000423667041662, 0.002502417717636767, 7.81517742557849, 11.401045215717698] - Fitness: 0.09800039489376813
[0.008500794392318949, 0.4588388631939732, 0.12999959382799092, -0.9, 0.25997985698367476, -0.02299811783684863, 0.050339821483574125, -0.0030004278383728746, 0.0025, 7.8152412172459975, 11.391912874378871] - Fitness: 0.09971652667938927
[0.008500727100035382, 0.43789203830055795, 0.12999953873639586, -0.9, 0.25997916695111833, -0.02299811753421046, 0.05050556858587115, -0.003, 0.005, 7.817641093605649, 11.385692726010685] - Fitness: -0.19738891936254885
[0.008500852628689142, 0.46, 0.129999564011099, -0.8966733020673963, 0.26, -0.022998113240576424, 0.05051626181741957, -0.003, 0.0025023244693270145, 7.81329767811777, 11.396055543175713] - Fitness: 0.09907598831493544
[0.0085, 0.45796403313554, 0.12999947159563735, -0.8952452997203773, 0.2599776433007207, -0.022998122703850626, 0.054412107323982245, -0.003000390780187158, 0.0025019895427510937, 7.820913179605823, 11.395796446233838] - Fitness: 0.09632629457340643
[0.008500733494866679, 0.4576069069047687, 0.12999939774838853, -0.89055028247419, 0.25997647384843814, -0.02299812379106845, 0.05031884158927294, -0.0030001923734580467, 0.0025024181928997528, 7.823215764158748, 11.397069611516354] - Fitness: 0.09804959939601632
[0.0085, 0.4582832978109439, 0.12999949314741838, -0.896322741574635, 0.2599785839021047, -0.022998115345182306, 0.05016481780802043, -0.003000135106854592, 0.002502235973671379, 7.817216943371678, 11.384939767805125] - Fitness: 0.10024064767637035
[0.0085, 0.4580782322354791, 0.12999948484758933, -0.8939146205473356, 0.25997793216068277, -0.023, 0.05025668910350205, -0.0030004808514235526, 0.0025019582653723832, 7.821352205455316, 11.393955260101908] - Fitness: 0.0989638786275319
[0.008500662070757194, 0.4200173422163296, 0.12999937750893167, -0.8974895403718507, 0.25997643089442757, -0.02299813346012459, 0.05048034811351653, -0.003000161216149267, 0.0025009438758908055, 7.82779547103054, 11.39261331085638] - Fitness: 0.02717592035423938
[0.008500837186780838, 0.45850801266815455, 0.1299995475632235, -0.8908577765636112, 0.25997904761212354, -0.022998109506536947, 0.050339821483574125, -0.003000530140594527, 0.0025023266865576545, 7.81620645049711, 11.395853051450835] - Fitness: 0.09836555852490898
[0.008500651876157995, 0.4581090560804959, 0.1299994638910839, -0.892907612625172, 0.2599777165099324, -0.022998135185561607, 0.050545389244989025, -0.003000225178090987, 0.002502298685498949, 7.823546223659788, 11.390367655246493] - Fitness: 0.09874872236082907
[0.008500813804442345, 0.4587532138690189, 0.12999958388902694, -0.8946772833078338, 0.25997964033870324, -0.023, 0.05022654765571608, -0.003000360284945579, 0.002502277553258949, 7.814593370869923, 11.393293763977816] - Fitness: 0.0992233113900195
[0.0085, 0.4576933466790615, 0.12999939932367385, -0.8975914680142991, 0.23464204464541374, -0.022998124220669894, 0.05026778705400124, -0.003000317528224131, 0.0025004113910566308, 7.8157007794984175, 11.39682004331796] - Fitness: -0.5403254205762503
[0.00850087799613518, 0.458256938080291, 0.1299995144918758, -0.8904450372611714, 0.25997842628137646, -0.02299810380929037, 0.05022654765571608, -0.0030005137382780565, 0.0025023864402580567, 7.816041220746591, 11.399204029585768] - Fitness: 0.0980514961033691
[0.008500770519156823, 0.4577608498347665, 0.12999941932619907, -0.892590439255307, 0.2262627254448589, -0.022998123545310785, 0.09352099593381503, -0.0030004982576200025, 0.0025015332528866797, 7.826233542401117, 11.338087860912724] - Fitness: -0.805499026263073
[0.008500781054570156, 0.45763418185913063, 0.12999939775053823, -0.8913166028758938, 0.25997707623485566, -0.022998116587437563, 0.05, -0.003000403040373168, 0.0025009438758908055, 7.827160028425031, 11.394765234205689] - Fitness: 0.09846020236191844
[0.008500824166393028, 0.45811199916103534, 0.1299994732694904, -0.8983187603341973, 0.2599781506121617, -0.022998112281000835, 0.05045453196972391, -0.003, 0.002502282889739445, 7.8159212506195255, 11.38770154700302] - Fitness: 0.09983703131716427
[0.008500656408121192, 0.4576019687748332, 0.12999939123748286, -0.8930645103713607, 0.26, -0.022998139792088035, 0.05048996765827431, -0.003000260520124772, 0.00250210146559726, 7.827903395345071, 11.391729245728518] - Fitness: 0.09899856437532006
[0.008500833347797877, 0.45818282968191615, 0.129999633929835, -0.9, 0.26, -0.022998103345844213, 0.05044729388992892, -0.003000568128781441, 0.0025023335516616294, 7.8221164325722725, 11.398070297791588] - Fitness: 0.0988454343294056
[0.0126, 0.4580197900069216, 0.1299994444636261, -0.8974781405012959, 0.25997798346881495, -0.022998114354697598, 0.050440369486499624, -0.003, 0.002502223003222272, 7.81831278083053, 11.381223066251762] - Fitness: -0.5966776231418887
[0.008500714952451844, 0.4575922275410555, 0.11, -0.8921190188938046, 0.2599767177123956, -0.022998125961152582, 0.05044631175666873, -0.0030002686935821123, 0.0025014158138362084, 7.8275130520947585, 11.393569721233852] - Fitness: -0.6202696185837424
[0.008501025180897119, 0.4578205878861832, 0.12999947566475256, -0.8895658872438554, 0.25997728131568, -0.022998099621992098, 0.05042718213409399, -0.003000411213830508, 0.002502532985185084, 7.807539043663762, 11.408330117388584] - Fitness: 0.09728604720935603
[0.008501010832691202, 0.4577018551056512, 0.1299994123540762, -0.8881359517108118, 0.25997826730942775, -0.02299807478844845, 0.05024591558248018, -0.0030006853563841803, 0.002502587339186283, 7.825803409001723, 11.400223719324924] - Fitness: 0.09731269995991511
[0.008501010832691202, 0.4577018551056512, 0.1299994123540762, -0.8881359517108118, 0.25997826730942775, -0.02299807478844845, 0.05024591558248018, -0.0030006853563841803, 0.002502587339186283, 7.825803409001723, 11.400223719324924] - Fitness: 0.09731269995991511
[0.008501010832691202, 0.4577018551056512, 0.1299994123540762, -0.8881359517108118, 0.25997826730942775, -0.02299807478844845, 0.05024591558248018, -0.0030006853563841803, 0.002502587339186283, 7.825803409001723, 11.400223719324924] - Fitness: 0.09731269995991511
[0.008500882869276508, 0.457660529354274, 0.1299994077166185, -0.8889939477057599, 0.25998696038565666, -0.02299807751009196, 0.05031848948746233, -0.003, 0.0025024996547630043, 7.827138446317367, 11.402548634222821] - Fitness: 0.09734760235522087
[0.008500959614843864, 0.4577547889045637, 0.12999944834918042, -0.8896195586562923, 0.2599771836198822, -0.022998092414797215, 0.05, -0.0030004809336451163, 0.0025025059476588606, 7.815710761245551, 11.405905985855629] - Fitness: 0.09742908731327705
[0.008500775806451248, 0.4585180610918922, 0.12999953761048147, -0.8950099531010942, 0.2599794374613929, -0.02299810422770238, 0.050339821483574125, -0.003000797985364279, 0.0025016700127855167, 7.813136052899325, 11.407382214127454] - Fitness: 0.09754758319101373
[0.0085, 0.45760925695140076, 0.12999938476133527, -0.8887618335386265, 0.25997944010159013, -0.02299802969257496, 0.05038554114997451, -0.003, 0.002502007434360777, 7.783230429642071, 11.41982270000102] - Fitness: 0.09761770260196433
[0.008500733040751135, 0.4576584871174326, 0.12999942683095056, -0.8974895403718507, 0.2599845928250042, -0.02299812010610746, 0.05, -0.003, 0.002502384751020905, 7.830341286581673, 11.403561971957329] - Fitness: 0.09780752343339273
[0.00850091325880678, 0.4577180904952807, 0.1299994202412122, -0.8897117708400718, 0.25997779327977577, -0.022998097840007538, 0.050147549349488105, -0.00300067173395528, 0.0025022380552728214, 7.826453981085577, 11.39715626014937] - Fitness: 0.09781751511214003
[0.00850091325880678, 0.4577180904952807, 0.1299994202412122, -0.8897117708400718, 0.25997779327977577, -0.022998097840007538, 0.05031867541848947, -0.00300067173395528, 0.0025, 7.826453981085577, 11.39715626014937] - Fitness: 0.09796062483197701
[0.008500684376452749, 0.4581565307906684, 0.12999948542743228, -0.891901044190087, 0.2599772311452405, -0.02299810345681578, 0.05041785260927985, -0.0030004866273957674, 0.0025022523534493743, 7.813599660663436, 11.398863773514258] - Fitness: 0.0982372129747775
[0.008500766897980148, 0.457742443579725, 0.12999943207191622, -0.8920754995339619, 0.2599770822352978, -0.022998132417346176, 0.050427815172503415, -0.00300065130031193, 0.002501714129402629, 7.8274298392113595, 11.392555071386036] - Fitness: 0.09833142766572922
[0.008500766897980148, 0.457742443579725, 0.12999943207191622, -0.8920754995339619, 0.2599770822352978, -0.022998132417346176, 0.05, -0.00300065130031193, 0.002501714129402629, 7.8274298392113595, 11.392555071386036] - Fitness: 0.0985775511097125
[0.00850058274821522, 0.4575083189049054, 0.1299993640145273, -0.8937238509296266, 0.2599760006674755, -0.022998144708582607, 0.050531402648788235, -0.003, 0.0025023596897270142, 7.828219099434213, 11.391178695290172] - Fitness: 0.09862624147812775
[0.008500917335767133, 0.45829641746926264, 0.12999953088121907, -0.9, 0.2599784848988551, -0.022998108133607302, 0.05048285693617247, -0.003, 0.0025024026627737906, 7.811138190197517, 11.40065850850554] - Fitness: 0.09867567265376782
[0.008500820275150145, 0.4587246640940341, 0.12999958057603894, -0.8950099531010942, 0.2599795681237127, -0.022998115794060983, 0.050532964258043114, -0.00300033776713648, 0.0025022853726036267, 7.8143774220778965, 11.393754060510801] - Fitness: 0.09888050540197095
[0.008500755568072154, 0.45901016184388177, 0.12999961370591887, -0.8916832551684903, 0.2599802902736178, -0.022998120901030105, 0.050566369139290204, -0.0030005629452274666, 0.0025022071791568506, 7.81653690999815, 11.389151095180974] - Fitness: 0.09901850452666072
[0.008500714952451844, 0.4575922275410555, 0.12999938650520126, -0.9, 0.2599767177123956, -0.022998125961152582, 0.05044631175666873, -0.0030002686935821123, 0.0025, 7.8275130520947585, 11.393569721233852] - Fitness: 0.09902066556197141
[0.008500852628689142, 0.4585819152191103, 0.129999564011099, -0.8966733020673963, 0.2599792070487602, -0.022998113240576424, 0.05, -0.003000225178090987, 0.0025023244693270145, 7.81329767811777, 11.396055543175713] - Fitness: 0.09911219015883073
[0.008500754236544167, 0.4578450253860705, 0.12999941855138275, -0.8939786700357478, 0.26, -0.02299812160994586, 0.05, -0.003000390780187158, 0.0025010284776415775, 7.797982370603907, 11.401695526444124] - Fitness: 0.09971935252300103
[0.008500775950921835, 0.45778845921732886, 0.12999940020762335, -0.8933628488373246, 0.2599777068211832, -0.02299811023725769, 0.05, -0.0030002686935821123, 0.0025012619381127557, 7.824439097185754, 11.379822166909292] - Fitness: 0.10033984265285696
[0.008500684397980223, 0.45796383533548396, 0.12999942628211136, -0.8942385581773308, 0.25997748196736914, -0.02299811248398099, 0.050414367755742574, -0.003000194650958307, 0.0025, 7.819297369016898, 11.380505172255248] - Fitness: 0.10047483104933919
[0.008500684412331871, 0.4578353716986943, 0.12999938685189744, -0.8957969008354932, 0.2599776491821215, -0.022998118502091127, 0.05041204452005106, -0.003, 0.0025021032301879263, 7.823095841252538, 11.368266104749242] - Fitness: 0.10157250224181072
[0.008500623413861881, 0.45763914002242095, 0.12999937314947535, -0.8945530708919732, 0.25997666007333387, -0.022998134225986018, 0.050483659397293365, -0.003, 0.0025022571059113794, 7.782378203988824, 11.3820136590738] - Fitness: 0.10191694623320978

Detailed Results for Each Genotype:
Genotype [0.00850077232974516, 0.46, 0.1299994129533405, -0.8928479091159796, 0.25997745698682906, -0.022998119109293086, 0.05, -0.0030004217362740396, 0.002501442814628705, 7.825635393995996, 11.38491532869999]:
  Angle -10: cl=-0.5620136260986328, cd=0.23039524257183075, cm=-0.18867038190364838
  Angle -9: cl=-0.5906646847724915, cd=0.1973877102136612, cm=-0.1853874772787094
  Angle -8: cl=-0.6134558320045471, cd=0.16220127046108246, cm=-0.18338795006275177
  Angle -7: cl=-0.6527895927429199, cd=0.12811411917209625, cm=-0.1772087663412094
  Angle -6: cl=-0.6131139397621155, cd=0.11406395584344864, cm=-0.1620209664106369
  Angle -5: cl=-0.5112861394882202, cd=0.10396848618984222, cm=-0.14916162192821503
  Angle -4: cl=-0.41658109426498413, cd=0.09867224097251892, cm=-0.13593034446239471
  Angle -3: cl=-0.3137872815132141, cd=0.09244855493307114, cm=-0.1217547208070755
  Angle -2: cl=-0.24016627669334412, cd=0.08678604662418365, cm=-0.09761469066143036
  Angle -1: cl=-0.179475337266922, cd=0.08227898925542831, cm=-0.06832738220691681
  Angle 0: cl=-0.11256042122840881, cd=0.08190415054559708, cm=-0.040093258023262024
  Angle 1: cl=-0.03070054017007351, cd=0.08229050040245056, cm=-0.017817631363868713
  Angle 2: cl=0.05270661413669586, cd=0.08306799083948135, cm=-0.0023441463708877563
  Angle 3: cl=0.29074931144714355, cd=0.06989914178848267, cm=-0.00026716291904449463
  Angle 4: cl=0.3899233043193817, cd=0.07487274706363678, cm=0.004448443651199341
  Angle 5: cl=0.48839181661605835, cd=0.08317551761865616, cm=0.007866829633712769
  Angle 6: cl=0.5840279459953308, cd=0.09007817506790161, cm=0.009956017136573792
  Angle 7: cl=0.6743006706237793, cd=0.09666628390550613, cm=0.01216915249824524
  Angle 8: cl=0.7649766802787781, cd=0.10190023481845856, cm=0.010239958763122559
  Angle 9: cl=0.8593366146087646, cd=0.1059543788433075, cm=0.001979157328605652
  Angle 10: cl=0.9582874774932861, cd=0.11049440503120422, cm=-0.006031587719917297
Genotype [0.008500712874627985, 0.45830528775676926, 0.129999477593506, -0.8941514425686921, 0.25997870561872005, -0.022998119461666716, 0.05047377436774672, -0.003000225178090987, 0.002502144809775496, 7.820472268750783, 11.376620100921935]:
  Angle -10: cl=-0.5612552165985107, cd=0.23048058152198792, cm=-0.18862409889698029
  Angle -9: cl=-0.5910008549690247, cd=0.1976998746395111, cm=-0.18498696386814117
  Angle -8: cl=-0.6137518286705017, cd=0.1624404340982437, cm=-0.18288181722164154
  Angle -7: cl=-0.6521397829055786, cd=0.12842367589473724, cm=-0.17679716646671295
  Angle -6: cl=-0.6134470701217651, cd=0.11426122486591339, cm=-0.16176737844944
  Angle -5: cl=-0.5105481147766113, cd=0.1039506196975708, cm=-0.1490553468465805
  Angle -4: cl=-0.41504690051078796, cd=0.09854120761156082, cm=-0.13587410748004913
  Angle -3: cl=-0.31210145354270935, cd=0.09225940704345703, cm=-0.121615931391716
  Angle -2: cl=-0.2382844090461731, cd=0.08656241744756699, cm=-0.09758181869983673
  Angle -1: cl=-0.1777305155992508, cd=0.08214329928159714, cm=-0.06827138364315033
  Angle 0: cl=-0.11150836944580078, cd=0.0817975252866745, cm=-0.039883896708488464
  Angle 1: cl=-0.03007023222744465, cd=0.082188680768013, cm=-0.017472639679908752
  Angle 2: cl=0.05309023708105087, cd=0.08295651525259018, cm=-0.0019398480653762817
  Angle 3: cl=0.29276400804519653, cd=0.06982272863388062, cm=-5.537271499633789e-05
  Angle 4: cl=0.38888823986053467, cd=0.07499781250953674, cm=0.0048151761293411255
  Angle 5: cl=0.4872626066207886, cd=0.08331070095300674, cm=0.008221998810768127
  Angle 6: cl=0.5824018120765686, cd=0.09026060253381729, cm=0.010389268398284912
  Angle 7: cl=0.6729341745376587, cd=0.09684477746486664, cm=0.012545302510261536
  Angle 8: cl=0.7636656165122986, cd=0.10192161798477173, cm=0.01023431122303009
  Angle 9: cl=0.8577825427055359, cd=0.10594385117292404, cm=0.001974329352378845
  Angle 10: cl=0.9570587873458862, cd=0.11050384491682053, cm=-0.006039127707481384
Genotype [0.00850072710577604, 0.4585402457858068, 0.12999952296431028, -0.8933287134352915, 0.25997923383701926, -0.022998119941454516, 0.050504639291594544, -0.00300033776713648, 0.002502165599569281, 7.845359316441177, 11.336137322365872]:
  Angle -10: cl=-0.561302661895752, cd=0.23042413592338562, cm=-0.18863482773303986
  Angle -9: cl=-0.5907791256904602, cd=0.19758754968643188, cm=-0.18508149683475494
  Angle -8: cl=-0.61353999376297, cd=0.1623510718345642, cm=-0.18301330506801605
  Angle -7: cl=-0.6520436406135559, cd=0.12834706902503967, cm=-0.1768965870141983
  Angle -6: cl=-0.613050103187561, cd=0.11421075463294983, cm=-0.1618364006280899
  Angle -5: cl=-0.5103895664215088, cd=0.103951096534729, cm=-0.14908938109874725
  Angle -4: cl=-0.4150831699371338, cd=0.09857170283794403, cm=-0.135894313454628
  Angle -3: cl=-0.31216365098953247, cd=0.09230036288499832, cm=-0.12165196239948273
  Angle -2: cl=-0.23844501376152039, cd=0.08661559969186783, cm=-0.09758399426937103
  Angle -1: cl=-0.17785637080669403, cd=0.08218523114919662, cm=-0.0682738870382309
  Angle 0: cl=-0.11142829060554504, cd=0.08183199912309647, cm=-0.03993077576160431
  Angle 1: cl=-0.02983449585735798, cd=0.08222699910402298, cm=-0.017559513449668884
  Angle 2: cl=0.053371772170066833, cd=0.08299660682678223, cm=-0.002039670944213867
  Angle 3: cl=0.29330018162727356, cd=0.06977523863315582, cm=-0.00013002753257751465
  Angle 4: cl=0.3896397650241852, cd=0.07498596608638763, cm=0.0047181397676467896
  Angle 5: cl=0.4880064129829407, cd=0.08329752832651138, cm=0.008124306797981262
  Angle 6: cl=0.5832293033599854, cd=0.09023585915565491, cm=0.010274484753608704
  Angle 7: cl=0.673702597618103, cd=0.09682096540927887, cm=0.012445181608200073
  Angle 8: cl=0.7644320130348206, cd=0.10193154960870743, cm=0.010208070278167725
  Angle 9: cl=0.8586198687553406, cd=0.10596255213022232, cm=0.0019478797912597656
  Angle 10: cl=0.9578077793121338, cd=0.11051706224679947, cm=-0.006064906716346741
Genotype [0.00850075169887478, 0.4581339891068607, 0.12999945771557805, -0.8961474613282545, 0.259978272328777, -0.022998116397485245, 0.050247226712030635, -0.0030000900712363948, 0.0025021917258435614, 7.819176575998631, 11.37938188011983]:
  Angle -10: cl=-0.5611806511878967, cd=0.23049257695674896, cm=-0.18862079083919525
  Angle -9: cl=-0.5910372138023376, cd=0.19773611426353455, cm=-0.1849452406167984
  Angle -8: cl=-0.6137834787368774, cd=0.16246885061264038, cm=-0.1828286200761795
  Angle -7: cl=-0.6520726084709167, cd=0.12845899164676666, cm=-0.17675445973873138
  Angle -6: cl=-0.6134947538375854, cd=0.11428282409906387, cm=-0.1617410033941269
  Angle -5: cl=-0.5104799866676331, cd=0.103949174284935, cm=-0.1490449160337448
  Angle -4: cl=-0.41489705443382263, cd=0.09852796792984009, cm=-0.13586924970149994
  Angle -3: cl=-0.3119371235370636, cd=0.09224023669958115, cm=-0.12160219252109528
  Angle -2: cl=-0.23809456825256348, cd=0.08653950691223145, cm=-0.09758071601390839
  Angle -1: cl=-0.17755535244941711, cd=0.08212915807962418, cm=-0.0682680755853653
  Angle 0: cl=-0.11137525737285614, cd=0.08178519457578659, cm=-0.03986679017543793
  Angle 1: cl=-0.030013376846909523, cd=0.08217816799879074, cm=-0.01743800938129425
  Angle 2: cl=0.053122010082006454, cd=0.08294489234685898, cm=-0.0018986165523529053
  Angle 3: cl=0.2929374873638153, cd=0.06981713324785233, cm=-3.2082200050354004e-05
  Angle 4: cl=0.38876643776893616, cd=0.07500996440649033, cm=0.004853963851928711
  Angle 5: cl=0.48713210225105286, cd=0.0833238810300827, cm=0.00825965404510498
  Angle 6: cl=0.5822189450263977, cd=0.09027886390686035, cm=0.010435298085212708
  Angle 7: cl=0.6727792024612427, cd=0.09686263650655746, cm=0.012585222721099854
  Angle 8: cl=0.7635161280632019, cd=0.10192327201366425, cm=0.010235145688056946
  Angle 9: cl=0.8576065897941589, cd=0.10594208538532257, cm=0.0019752085208892822
  Angle 10: cl=0.9569174647331238, cd=0.11050421744585037, cm=-0.006038501858711243
Genotype [0.008500903878966376, 0.4581427389803519, 0.12999950123992382, -0.891775716434213, 0.2599781374214144, -0.022998101766502722, 0.05021318570321724, -0.003000423667041662, 0.002502417717636767, 7.81517742557849, 11.401045215717698]:
  Angle -10: cl=-0.5611850619316101, cd=0.23047158122062683, cm=-0.1886051744222641
  Angle -9: cl=-0.5910961627960205, cd=0.19772541522979736, cm=-0.18492458760738373
  Angle -8: cl=-0.6138400435447693, cd=0.1624504029750824, cm=-0.1827923208475113
  Angle -7: cl=-0.6521554589271545, cd=0.12843739986419678, cm=-0.17671041190624237
  Angle -6: cl=-0.6136779189109802, cd=0.11427786946296692, cm=-0.16170193254947662
  Angle -5: cl=-0.5106937289237976, cd=0.10394836217164993, cm=-0.14900512993335724
  Angle -4: cl=-0.4150351285934448, cd=0.0985170528292656, cm=-0.13583384454250336
  Angle -3: cl=-0.3120630383491516, cd=0.09222447127103806, cm=-0.12155945599079132
  Angle -2: cl=-0.2382635474205017, cd=0.0865183025598526, cm=-0.0975189059972763
  Angle -1: cl=-0.17773328721523285, cd=0.08211014419794083, cm=-0.06820590794086456
  Angle 0: cl=-0.1115850955247879, cd=0.08177190274000168, cm=-0.039806440472602844
  Angle 1: cl=-0.03033960424363613, cd=0.0821605920791626, cm=-0.01735834777355194
  Angle 2: cl=0.052797507494688034, cd=0.0829281136393547, cm=-0.0018174946308135986
  Angle 3: cl=0.2925078570842743, cd=0.06986267119646072, cm=6.9141387939453125e-06
  Angle 4: cl=0.388255774974823, cd=0.07505688816308975, cm=0.004901140928268433
  Angle 5: cl=0.48662418127059937, cd=0.0833456888794899, cm=0.008309125900268555
  Angle 6: cl=0.5817297101020813, cd=0.09029962867498398, cm=0.010484278202056885
  Angle 7: cl=0.6723124980926514, cd=0.09688307344913483, cm=0.012630164623260498
  Angle 8: cl=0.7630527019500732, cd=0.10192382335662842, cm=0.010232195258140564
  Angle 9: cl=0.857123613357544, cd=0.10594131797552109, cm=0.0019710659980773926
  Angle 10: cl=0.9564462900161743, cd=0.11050418764352798, cm=-0.006042733788490295
Genotype [0.008500794392318949, 0.4588388631939732, 0.12999959382799092, -0.9, 0.25997985698367476, -0.02299811783684863, 0.050339821483574125, -0.0030004278383728746, 0.0025, 7.8152412172459975, 11.391912874378871]:
  Angle -10: cl=-0.5614908337593079, cd=0.23046748340129852, cm=-0.18863655626773834
  Angle -9: cl=-0.5909358263015747, cd=0.19762103259563446, cm=-0.1851048618555069
  Angle -8: cl=-0.6136978268623352, cd=0.16238176822662354, cm=-0.18302811682224274
  Angle -7: cl=-0.6523845791816711, cd=0.1283370405435562, cm=-0.17691989243030548
  Angle -6: cl=-0.6133993864059448, cd=0.11420537531375885, cm=-0.16184301674365997
  Angle -5: cl=-0.5108139514923096, cd=0.1039571538567543, cm=-0.14908777177333832
  Angle -4: cl=-0.41555240750312805, cd=0.09858109056949615, cm=-0.13589037954807281
  Angle -3: cl=-0.3126518428325653, cd=0.09231742471456528, cm=-0.12165950238704681
  Angle -2: cl=-0.23887142539024353, cd=0.08662999421358109, cm=-0.09760035574436188
  Angle -1: cl=-0.17827963829040527, cd=0.08218362182378769, cm=-0.06829817593097687
  Angle 0: cl=-0.1118602454662323, cd=0.08182857185602188, cm=-0.03995271027088165
  Angle 1: cl=-0.03030012734234333, cd=0.08221858739852905, cm=-0.017580613493919373
  Angle 2: cl=0.052932657301425934, cd=0.08298918604850769, cm=-0.0020651966333389282
  Angle 3: cl=0.2919909358024597, cd=0.06985607743263245, cm=-0.00011356174945831299
  Angle 4: cl=0.3891372084617615, cd=0.07495502382516861, cm=0.004706919193267822
  Angle 5: cl=0.48754703998565674, cd=0.08326464891433716, cm=0.008117958903312683
  Angle 6: cl=0.58283531665802, cd=0.0902010127902031, cm=0.010261908173561096
  Angle 7: cl=0.6732921600341797, cd=0.09678632766008377, cm=0.012434229254722595
  Angle 8: cl=0.7640047073364258, cd=0.10191147029399872, cm=0.01024259626865387
  Angle 9: cl=0.8581904768943787, cd=0.10594262927770615, cm=0.001982584595680237
  Angle 10: cl=0.9573754072189331, cd=0.11049706488847733, cm=-0.006030097603797913
Genotype [0.008500727100035382, 0.43789203830055795, 0.12999953873639586, -0.9, 0.25997916695111833, -0.02299811753421046, 0.05050556858587115, -0.003, 0.005, 7.817641093605649, 11.385692726010685]:
