Experiment: Combination_Experiment_522
Generation: 97
Timestamp: 20231226_104023

Genotypes and their Fitness Values:
[0.008500084811540203, 0.45991111694894665, 0.12999917407451328, -0.8997694032654484, 0.25999812085189644, -0.02299989353297156, 0.05003228759775373, -0.0030003154473332606, 0.0025, 7.001237390490342, 10.000419964414096] - Fitness: 0.2908839290038837
[0.0126, 0.459914275541936, 0.1299992865405288, -0.8996140406428025, 0.25999844681582257, -0.022999891958597755, 0.050046983136192436, -0.0030001992152531784, 0.0025, 7.001331500998677, 10.000325076400424] - Fitness: -0.4295969129977858
[0.008500119403934773, 0.45991052813670075, 0.12999969208220125, -0.8995693648486565, 0.2599987361580441, -0.02299985799148295, 0.05, -0.0030003437264833166, 0.0025, 8.712515832537957, 10.000600290624698] - Fitness: 0.20946605947435307
[0.008500075107460975, 0.45991200528256343, 0.12999928827645785, -0.8995470369411145, 0.26, -0.022999692734607714, 0.050012563990713216, -0.0030002027567830603, 0.0025000968502149204, 7.0014323890669665, 10.000378954587713] - Fitness: 0.29091307359748303
[0.008500270077973104, 0.4599045011700982, 0.11, -0.8994211582959919, 0.25999945695217147, -0.023, 0.050042108200771894, -0.0030002774535317278, 0.0025000836613917913, 7.001228550342585, 10.000818724404755] - Fitness: -0.43670223959100474
[0.008500226834472734, 0.4599095104708929, 0.12999989622588595, -0.8995036751550951, 0.25999981614325574, -0.022999852205659227, 0.05004537664869972, -0.0030002788957663273, 0.002500089619322793, 7.001366971664469, 10.00061198042679] - Fitness: 0.2908619451719517
[0.008500163269165681, 0.45991725390639937, 0.12999952605372958, -0.8997019991547035, 0.25999793068745486, -0.02299982760606855, 0.17406386340927815, -0.003000133329037806, 0.0025000915189305646, 7.0, 10.000981112379222] - Fitness: 0.22145925134328348
[0.008500134761836316, 0.45990207837148217, 0.13, -0.8992572894382412, 0.2599989064576832, -0.022999562688229346, 0.050045226320016685, -0.003, 0.0025000928577749945, 7.0010679965429, 10.000325076400424] - Fitness: 0.29090894587003563
[0.008500155628601118, 0.4599158439092353, 0.1299996840358197, -0.8996274799578696, 0.25999851831566756, -0.022999804712049494, 0.050059386039836534, -0.003000199993556709, 0.002500092785131809, 7.0013010150776935, 10.000840937216584] - Fitness: 0.29083079828860053
[0.008500106664078712, 0.4599032825848694, 0.12999955245247347, -0.8996084347072582, 0.26, -0.022999642728713278, 0.05004706818363083, -0.0030003995926941515, 0.005, 7.001281927288803, 10.000588988526594] - Fitness: 0.019114951598915565
[0.008500028844390712, 0.45991586215834596, 0.12999911226346944, -0.8996484245343384, 0.2599987972480472, -0.02299985535440683, 0.050024797081478334, -0.0030002789144477292, 0.0025000100716289306, 7.0014822683404825, 12.32460947092788] - Fitness: 0.03659694903592495
[0.008500265971019666, 0.4599384194998294, 0.11, -0.899511561491604, 0.2599989064576832, -0.022999984649855417, 0.05003408194575905, -0.0030003222121473393, 0.002500088209215089, 7.001208229621196, 10.382471616513829] - Fitness: -0.47642115086694525
[0.008500143618896549, 0.459931735968379, 0.1299995821735649, -0.8995607919900157, 0.2, -0.023, 0.050041244426268866, -0.0030003930334919146, 0.002500089505445954, 7.001306423750558, 10.000796152867846] - Fitness: -1.40066631071233
[0.008500226834472734, 0.45990463160271144, 0.12999954289889132, -0.8993609746732705, 0.25999918542825723, -0.022999996851252397, 0.05004467392222942, -0.003000317552535569, 0.005, 7.001261569882158, 10.000883551242126] - Fitness: 0.019074897325114134
[0.008500118229725344, 0.4599094537084128, 0.12999993718631206, -0.7, 0.2599989986133884, -0.022999755964725057, 0.05003952273894282, -0.0030003973037212497, 0.0025000977097020096, 7.001444578657157, 10.00080450469109] - Fitness: 0.27777840447788954
[0.008500202142754473, 0.45990402524631385, 0.1299997665082434, -0.8993753907732891, 0.2599983596865248, -0.022999704522885057, 0.05004863925893955, -0.0030002410726784204, 0.0025000891361001776, 7.00103336048474, 10.000487614600635] - Fitness: 0.2908414614398166
[0.00850016920090348, 0.459906207401996, 0.12999945647842226, -0.8996091224083593, 0.2, -0.022999903569604553, 0.05, -0.003000377066325436, 0.002500077287322175, 7.001157442049416, 10.000841623490885] - Fitness: -1.4006574596813364
[0.008500156061701014, 0.4599047677229032, 0.12999926787098964, -0.8998790212688901, 0.25999712763054345, -0.015, 0.0500112357744131, -0.0030003855509973722, 0.0025, 7.0009736899477275, 10.000804179750737] - Fitness: -0.3487394062582795
[0.008500098315619448, 0.4599124579276365, 0.13, -0.8995665031961473, 0.2599989633676882, -0.022999838744763204, 0.05004310901193945, -0.003000322465261513, 0.0025000381270137194, 7.502858091457637, 10.00047493866864] - Fitness: 0.26996718955768745
[0.008500118641195854, 0.4599077965462234, 0.12999914274493582, -0.8996970290917874, 0.25999781299232483, -0.0229999380090315, 0.050012060688446006, -0.0030003609425265313, 0.0025000412143156995, 7.001175357773777, 10.000672942183964] - Fitness: 0.2908434389623748
[0.008500043266586066, 0.459914536617898, 0.12999913322712092, -0.8996648007469673, 0.2599985789069546, -0.02299986913017761, 0.05001653138765222, -0.003, 0.0025000151074433957, 7.001435181134635, 10.0] - Fitness: 0.29098514643612167
[0.008500126385113846, 0.45991136006276956, 0.1299997947214675, -0.8995390570871715, 0.2599990552960603, -0.02299982496899243, 0.050045038633299, -0.003000340258520383, 0.0025000738044902177, 7.005735744666931, 10.000587056046902] - Fitness: 0.2906806280545733
[0.008500128078126268, 0.45990714032760277, 0.12999923696546772, -0.7, 0.25999746582861877, -0.022999934860283892, 0.0500074905162754, -0.003000367284554606, 0.0025000151074433957, 7.001096128872798, 10.0] - Fitness: 0.2778636785936183
[0.008500145254608828, 0.45994109199511496, 0.12999937326034733, -0.8996019672029225, 0.2599990223054317, -0.022999892942581382, 0.05003637835143916, -0.003, 0.0025000865994017816, 7.001207996326594, 10.000913935856115] - Fitness: 0.2908887022410593
[0.008500270077973104, 0.4599077537488858, 0.12999984433882894, -0.8995162919505417, 0.2599998774288372, -0.022999898846483145, 0.050042576685085424, -0.0030002516823522335, 0.005, 7.001298818197459, 10.0] - Fitness: 0.019207244311330713
[0.008500148526033384, 0.45995980404858683, 0.12999895543391224, -0.8996843176287364, 0.25999857479432426, -0.022999982288294713, 0.050026646201779726, -0.0030004825998380144, 0.002500080787313437, 7.0010111414786635, 10.001149501832655] - Fitness: 0.29079855354785306
[0.008500237531443975, 0.45989740360232384, 0.13, -0.8992492685497788, 0.2599986423804287, -0.02299971160756717, 0.05001536017686839, -0.003000359425992848, 0.0025000880187591636, 7.001390521695772, 10.000717716138318] - Fitness: 0.2908004573703574
[0.008500199328287081, 0.4599007911015593, 0.13, -0.8999054604036532, 0.25999647260726577, -0.022999980320327462, 0.05002124178907817, -0.0030004373882187175, 0.0025000570111417112, 7.000832428330184, 10.001065529445127] - Fitness: 0.29080238023000937
[0.0085, 0.45992727018453644, 0.12999899810619242, -0.9, 0.25999872321705375, -0.022999713004775456, 0.05004133774728409, -0.003, 0.0025000980649593483, 7.0016431856236725, 10.001563759446533] - Fitness: 0.290806375570851
[0.00850033690459079, 0.45990791899597716, 0.12999961084707232, -0.899611593443385, 0.259997266144208, -0.022999988192196476, 0.050055465136785264, -0.0030001315036826976, 0.0025000816927505443, 7.000964088368423, 10.000812691001059] - Fitness: 0.29080969148581676
[0.008500100546127112, 0.46, 0.12999900385426097, -0.8994738627145604, 0.26, -0.02299997048049119, 0.05003304414179152, -0.003000529745735117, 0.002500101035530962, 7.00124541272498, 10.001222837213101] - Fitness: 0.290812859953664
[0.008500177773464523, 0.45990668122690304, 0.12999925408745577, -0.9, 0.26, -0.02299988520191018, 0.05005284667793741, -0.003000395703708916, 0.0025000841439635855, 7.001378366375192, 10.000981647544325] - Fitness: 0.2908211458740858
[0.008500056138988799, 0.4599089992072357, 0.12999939258313684, -0.8993467291683925, 0.25999847171447876, -0.02299960268910267, 0.05, -0.003000337927971767, 0.002500102970926371, 7.0013890744172365, 10.000631590979523] - Fitness: 0.29082949749893827
[0.00850021868197225, 0.4599587531690642, 0.12999940231255658, -0.89944487352375, 0.26, -0.022999982288294713, 0.050019826485074914, -0.0030004493511237677, 0.0025000925535247857, 7.001370990456378, 10.000910434403036] - Fitness: 0.29083456032834615
[0.008500108166465167, 0.4599085716858822, 0.12999922756355256, -0.8997384937037969, 0.2599975963720381, -0.02299993112114611, 0.050031540409649834, -0.0030003739493535296, 0.00250003776860849, 7.001223288708318, 10.00065337423597] - Fitness: 0.2908347718370899
[0.008500317262758808, 0.45989844619422, 0.13, -0.8996030180039819, 0.2599985890429063, -0.022999992128130985, 0.05000849671563127, -0.0030003722108115334, 0.0025000707027659974, 7.001268585564158, 10.000691309890811] - Fitness: 0.2908407048004668
[0.008500105441576627, 0.4599088642845632, 0.12999948680366874, -0.899629980371626, 0.2599980978820115, -0.022999924036463996, 0.05003613171935503, -0.0030003506624091845, 0.002500041534924098, 7.00124887745045, 10.000626759780292] - Fitness: 0.29085002153075507
[0.008500258900423096, 0.45990038071208283, 0.12999933238180994, -0.8996187465004934, 0.25999791562366903, -0.023, 0.05001651832103143, -0.003, 0.0025000720754303402, 7.001278624168394, 10.000839477357076] - Fitness: 0.29085111099955197
[0.00850011959697225, 0.45990787995663235, 0.12999962813446658, -0.8997895450858242, 0.2599975771364524, -0.02299991931334259, 0.05002927646109912, -0.0030003601754512964, 0.0025000342066850267, 7.001130034098982, 10.000639317667076] - Fitness: 0.2908587957975384
[0.008500091624642834, 0.45992360534922705, 0.1299991291666924, -0.8997694032654484, 0.2599981765731828, -0.022999767785451763, 0.050043874522938285, -0.003000146613780099, 0.0025000977298518974, 7.0014130224228905, 10.000609157765393] - Fitness: 0.29086067344118455
[0.008500140347471992, 0.4599130239149071, 0.13, -0.8994784415642019, 0.2599996935720929, -0.022999758924011383, 0.0500509765759283, -0.003000333322594515, 0.0025000953175342983, 7.001503278598488, 10.000560586891307] - Fitness: 0.2908613630108453
[0.008500356564973846, 0.4599042403048716, 0.1299997405647149, -0.8995415255414348, 0.26, -0.022999992128130985, 0.050036976757856844, -0.003000197255524046, 0.0025000810720055364, 7.00116251126344, 10.000689070730015] - Fitness: 0.29086507005442064
[0.008500395885739958, 0.45989688292266045, 0.13, -0.8994013897375344, 0.26, -0.023, 0.05, -0.0030003287592067435, 0.002500079830515521, 7.001559357053473, 10.000441830187935] - Fitness: 0.29086665585711435
[0.008500119033529872, 0.4599172184948204, 0.12999918276641476, -0.8996700949643627, 0.2599977177876114, -0.02299988880985015, 0.050061773839335175, -0.003000146613780099, 0.0025000331736962237, 7.001172762682663, 10.000423972617256] - Fitness: 0.2908751657282501
[0.008500070294384418, 0.45991208060278943, 0.129999347981168, -0.8996252109507776, 0.2599984765647517, -0.022999891958597755, 0.050037863969280214, -0.0030003152270395117, 0.0025, 7.00135806588436, 10.00041783985353] - Fitness: 0.29088387229747487
[0.008500072110976777, 0.4599118855370021, 0.12999917515442386, -0.8996975531722249, 0.25999814222476947, -0.022999896681719166, 0.05, -0.003000330751669075, 0.0025000251790723267, 7.001341006722939, 10.000435582823982] - Fitness: 0.2908895114064882
[0.0085, 0.45989818462181886, 0.13, -0.8990210867681454, 0.26, -0.022999279018917927, 0.05003840044217097, -0.003000405426172005, 0.0025001003011246277, 7.0011372686592175, 10.0] - Fitness: 0.29088996115740556
[0.0085, 0.4599185132392419, 0.12999907033616648, -0.8996156721090808, 0.2599992339302323, -0.022999827802865275, 0.05004132846913055, -0.003000244356300165, 0.0025001197312824394, 7.001576442752179, 10.0] - Fitness: 0.29093090643540165
[0.0085, 0.4599185132392419, 0.12999907033616648, -0.8996156721090808, 0.2599992339302323, -0.022999827802865275, 0.05004132846913055, -0.003000244356300165, 0.0025, 7.001576442752179, 10.0] - Fitness: 0.29094405071811374
[0.00850010356016924, 0.459916514395555, 0.1299991318164394, -0.8998474986001974, 0.2599984001796999, -0.022999827802865275, 0.05003140997678303, -0.003, 0.002500087669147745, 7.001497361041561, 10.0] - Fitness: 0.2909625252813231

Detailed Results for Each Genotype:
Genotype [0.008500084811540203, 0.45991111694894665, 0.12999917407451328, -0.8997694032654484, 0.25999812085189644, -0.02299989353297156, 0.05003228759775373, -0.0030003154473332606, 0.0025, 7.001237390490342, 10.000419964414096]:
  Angle -10: cl=-0.567269504070282, cd=0.23543891310691833, cm=-0.19073157012462616
  Angle -9: cl=-0.5936747789382935, cd=0.20274271070957184, cm=-0.1864183396100998
  Angle -8: cl=-0.616465151309967, cd=0.1679709553718567, cm=-0.1855769008398056
  Angle -7: cl=-0.6548264622688293, cd=0.1325860321521759, cm=-0.18170474469661713
  Angle -6: cl=-0.6070576310157776, cd=0.11792962998151779, cm=-0.16722016036510468
  Angle -5: cl=-0.5000241994857788, cd=0.10508660227060318, cm=-0.1535000056028366
  Angle -4: cl=-0.40537112951278687, cd=0.09948325902223587, cm=-0.14079658687114716
  Angle -3: cl=-0.3046133518218994, cd=0.09392997622489929, cm=-0.12750263512134552
  Angle -2: cl=-0.22181355953216553, cd=0.08867147564888, cm=-0.10669638216495514
  Angle -1: cl=-0.15952128171920776, cd=0.08387292921543121, cm=-0.07798795402050018
  Angle 0: cl=-0.08580207824707031, cd=0.0829247459769249, cm=-0.05015905201435089
  Angle 1: cl=-0.002321554347872734, cd=0.0830371081829071, cm=-0.027474865317344666
  Angle 2: cl=0.0825575441122055, cd=0.08415893465280533, cm=-0.012593135237693787
  Angle 3: cl=0.30980727076530457, cd=0.06957124173641205, cm=-0.007398232817649841
  Angle 4: cl=0.43286123871803284, cd=0.07114113122224808, cm=-0.0007177889347076416
  Angle 5: cl=0.5315167307853699, cd=0.0793725922703743, cm=0.002727523446083069
  Angle 6: cl=0.6219833493232727, cd=0.08675122261047363, cm=0.0052470862865448
  Angle 7: cl=0.7118154764175415, cd=0.09334908425807953, cm=0.007720515131950378
  Angle 8: cl=0.8018329739570618, cd=0.09987864643335342, cm=0.009311765432357788
  Angle 9: cl=0.8969405889511108, cd=0.1050560399889946, cm=0.004145681858062744
  Angle 10: cl=0.9966927170753479, cd=0.11090666800737381, cm=-0.0037265270948410034
Genotype [0.0126, 0.459914275541936, 0.1299992865405288, -0.8996140406428025, 0.25999844681582257, -0.022999891958597755, 0.050046983136192436, -0.0030001992152531784, 0.0025, 7.001331500998677, 10.000325076400424]:
  Angle -10: cl=-0.5453860759735107, cd=0.2070218175649643, cm=-0.1834709495306015
  Angle -9: cl=-0.5752764344215393, cd=0.1744241714477539, cm=-0.17907832562923431
  Angle -8: cl=-0.6019406914710999, cd=0.14643517136573792, cm=-0.17228437960147858
  Angle -7: cl=-0.6311830282211304, cd=0.12196633219718933, cm=-0.1614583283662796
  Angle -6: cl=-0.6379125714302063, cd=0.10991591960191727, cm=-0.1476297825574875
  Angle -5: cl=-0.5480077266693115, cd=0.10270148515701294, cm=-0.13203512132167816
  Angle -4: cl=-0.45924898982048035, cd=0.09528174996376038, cm=-0.11055709421634674
  Angle -3: cl=-0.37377604842185974, cd=0.08746648579835892, cm=-0.0869198590517044
  Angle -2: cl=-0.3034120202064514, cd=0.0813261866569519, cm=-0.060263291001319885
  Angle -1: cl=-0.2474183738231659, cd=0.07876043021678925, cm=-0.03348250687122345
  Angle 0: cl=-0.18735070526599884, cd=0.08675406873226166, cm=-0.01690487563610077
  Angle 1: cl=-0.11410804092884064, cd=0.09408508241176605, cm=-0.0014892667531967163
  Angle 2: cl=0.021301666274666786, cd=0.09369569271802902, cm=0.008414357900619507
  Angle 3: cl=0.1857980638742447, cd=0.09060345590114594, cm=0.013791143894195557
  Angle 4: cl=0.27820292115211487, cd=0.09577213227748871, cm=0.018761053681373596
  Angle 5: cl=0.37765777111053467, cd=0.10037343204021454, cm=0.019993752241134644
  Angle 6: cl=0.4746675491333008, cd=0.10192041844129562, cm=0.014065787196159363
  Angle 7: cl=0.5734277963638306, cd=0.1032073125243187, cm=0.008595123887062073
  Angle 8: cl=0.6671563982963562, cd=0.10543800890445709, cm=0.001363903284072876
  Angle 9: cl=0.774603545665741, cd=0.10725673288106918, cm=-0.015712305903434753
  Angle 10: cl=0.8874630331993103, cd=0.10783972591161728, cm=-0.03552429378032684
Genotype [0.008500119403934773, 0.45991052813670075, 0.12999969208220125, -0.8995693648486565, 0.2599987361580441, -0.02299985799148295, 0.05, -0.0030003437264833166, 0.0025, 8.712515832537957, 10.000600290624698]:
  Angle -10: cl=-0.5605436563491821, cd=0.22866973280906677, cm=-0.18900622427463531
  Angle -9: cl=-0.5845734477043152, cd=0.19495680928230286, cm=-0.18665020167827606
  Angle -8: cl=-0.6072796583175659, cd=0.16007792949676514, cm=-0.18546737730503082
  Angle -7: cl=-0.6461519002914429, cd=0.12682926654815674, cm=-0.17847447097301483
  Angle -6: cl=-0.60016930103302, cd=0.11312708258628845, cm=-0.1631482094526291
  Angle -5: cl=-0.5026509761810303, cd=0.10389825701713562, cm=-0.149678573012352
  Angle -4: cl=-0.4104698896408081, cd=0.09910276532173157, cm=-0.13638316094875336
  Angle -3: cl=-0.3078910708427429, cd=0.09292013198137283, cm=-0.1222367137670517
  Angle -2: cl=-0.23709410429000854, cd=0.08750616759061813, cm=-0.09729774296283722
  Angle -1: cl=-0.175987109541893, cd=0.08304192125797272, cm=-0.06786687672138214
  Angle 0: cl=-0.10395863652229309, cd=0.08256679028272629, cm=-0.040688470005989075
  Angle 1: cl=-0.019975515082478523, cd=0.08313077688217163, cm=-0.0189846009016037
  Angle 2: cl=0.06366325169801712, cd=0.08390796929597855, cm=-0.0035621076822280884
  Angle 3: cl=0.31311896443367004, cd=0.06873077154159546, cm=-0.0016214549541473389
  Angle 4: cl=0.4099801480770111, cd=0.07518219202756882, cm=0.003008544445037842
  Angle 5: cl=0.5077071189880371, cd=0.08349162340164185, cm=0.006348758935928345
  Angle 6: cl=0.6036028861999512, cd=0.09021066874265671, cm=0.008198574185371399
  Angle 7: cl=0.6934614181518555, cd=0.09680859744548798, cm=0.010649576783180237
  Angle 8: cl=0.7843732833862305, cd=0.10237943381071091, cm=0.009238094091415405
  Angle 9: cl=0.8799886703491211, cd=0.10658581554889679, cm=0.0009673088788986206
  Angle 10: cl=0.9777588844299316, cd=0.11366026848554611, cm=-0.00680483877658844
Genotype [0.008500075107460975, 0.45991200528256343, 0.12999928827645785, -0.8995470369411145, 0.26, -0.022999692734607714, 0.050012563990713216, -0.0030002027567830603, 0.0025000968502149204, 7.0014323890669665, 10.000378954587713]:
  Angle -10: cl=-0.5672693848609924, cd=0.2354404777288437, cm=-0.19073252379894257
  Angle -9: cl=-0.5936729311943054, cd=0.2027442753314972, cm=-0.1864190548658371
  Angle -8: cl=-0.6164628267288208, cd=0.16797266900539398, cm=-0.1855780929327011
  Angle -7: cl=-0.6548236608505249, cd=0.13258785009384155, cm=-0.18170614540576935
  Angle -6: cl=-0.6070577502250671, cd=0.11793066561222076, cm=-0.1672217696905136
  Angle -5: cl=-0.5000239610671997, cd=0.10508693754673004, cm=-0.1535012573003769
  Angle -4: cl=-0.4053700864315033, cd=0.09948346018791199, cm=-0.14079798758029938
  Angle -3: cl=-0.3046148121356964, cd=0.09393065422773361, cm=-0.12750418484210968
  Angle -2: cl=-0.2218155562877655, cd=0.08867214620113373, cm=-0.10669787228107452
  Angle -1: cl=-0.1595192551612854, cd=0.0838736817240715, cm=-0.07799054682254791
  Angle 0: cl=-0.08579796552658081, cd=0.08292505145072937, cm=-0.05016215145587921
  Angle 1: cl=-0.002316949889063835, cd=0.08303726464509964, cm=-0.027477756142616272
  Angle 2: cl=0.08256316184997559, cd=0.08415921032428741, cm=-0.012596026062965393
  Angle 3: cl=0.3098054826259613, cd=0.06957298517227173, cm=-0.007400736212730408
  Angle 4: cl=0.432869553565979, cd=0.07114170491695404, cm=-0.0007207095623016357
  Angle 5: cl=0.5315251350402832, cd=0.07937151938676834, cm=0.0027261972427368164
  Angle 6: cl=0.6219900250434875, cd=0.08675026148557663, cm=0.005245983600616455
  Angle 7: cl=0.7118222117424011, cd=0.09334810078144073, cm=0.007719412446022034
  Angle 8: cl=0.8018396496772766, cd=0.09987764805555344, cm=0.009310662746429443
  Angle 9: cl=0.89694744348526, cd=0.10505577176809311, cm=0.004146263003349304
  Angle 10: cl=0.9966991543769836, cd=0.11090686172246933, cm=-0.0037258416414260864
Genotype [0.008500270077973104, 0.4599045011700982, 0.11, -0.8994211582959919, 0.25999945695217147, -0.023, 0.050042108200771894, -0.0030002774535317278, 0.0025000836613917913, 7.001228550342585, 10.000818724404755]:
  Angle -10: cl=-0.6168383359909058, cd=0.23522591590881348, cm=-0.1899956613779068
  Angle -9: cl=-0.6515207290649414, cd=0.20482267439365387, cm=-0.1814006119966507
  Angle -8: cl=-0.6959413290023804, cd=0.17382316291332245, cm=-0.17556379735469818
  Angle -7: cl=-0.717983603477478, cd=0.1410961002111435, cm=-0.17187024652957916
  Angle -6: cl=-0.6672292351722717, cd=0.12773925065994263, cm=-0.15900678932666779
  Angle -5: cl=-0.5735442042350769, cd=0.11252409964799881, cm=-0.14534251391887665
  Angle -4: cl=-0.461967796087265, cd=0.09984810650348663, cm=-0.13434626162052155
  Angle -3: cl=-0.3276432156562805, cd=0.08726806938648224, cm=-0.12302975356578827
  Angle -2: cl=-0.22604167461395264, cd=0.08025812357664108, cm=-0.10506869852542877
  Angle -1: cl=-0.16640126705169678, cd=0.07608822733163834, cm=-0.07717935740947723
  Angle 0: cl=-0.10605724155902863, cd=0.07564619183540344, cm=-0.04728098213672638
  Angle 1: cl=-0.046945810317993164, cd=0.07619806379079819, cm=-0.020067468285560608
  Angle 2: cl=0.019766734912991524, cd=0.078922800719738, cm=-0.0026277899742126465
  Angle 3: cl=0.16877636313438416, cd=0.07514607161283493, cm=0.0024691224098205566
  Angle 4: cl=0.3253515362739563, cd=0.07180416584014893, cm=0.006627514958381653
  Angle 5: cl=0.4088534116744995, cd=0.07756181806325912, cm=0.01141849160194397
  Angle 6: cl=0.4929271936416626, cd=0.0852409154176712, cm=0.014300704002380371
  Angle 7: cl=0.5760061144828796, cd=0.09289159625768661, cm=0.017987266182899475
  Angle 8: cl=0.6654595136642456, cd=0.09917372465133667, cm=0.020040646195411682
  Angle 9: cl=0.7551425099372864, cd=0.10270238667726517, cm=0.014149785041809082
  Angle 10: cl=0.8498310446739197, cd=0.1067488044500351, cm=0.0061255693435668945
Genotype [0.008500226834472734, 0.4599095104708929, 0.12999989622588595, -0.8995036751550951, 0.25999981614325574, -0.022999852205659227, 0.05004537664869972, -0.0030002788957663273, 0.002500089619322793, 7.001366971664469, 10.00061198042679]:
  Angle -10: cl=-0.5672662258148193, cd=0.23543837666511536, cm=-0.19073058664798737
  Angle -9: cl=-0.5936707258224487, cd=0.2027418613433838, cm=-0.1864180713891983
  Angle -8: cl=-0.6164608597755432, cd=0.16797001659870148, cm=-0.185576394200325
  Angle -7: cl=-0.6548211574554443, cd=0.1325857788324356, cm=-0.18170364201068878
  Angle -6: cl=-0.607057511806488, cd=0.11792847514152527, cm=-0.16721896827220917
  Angle -5: cl=-0.5000242590904236, cd=0.10508619248867035, cm=-0.15349926054477692
  Angle -4: cl=-0.405374139547348, cd=0.09948336333036423, cm=-0.1407955139875412
  Angle -3: cl=-0.3046136498451233, cd=0.09392975270748138, cm=-0.1275014728307724
  Angle -2: cl=-0.22181469202041626, cd=0.08867119252681732, cm=-0.10669533908367157
  Angle -1: cl=-0.159524068236351, cd=0.08387253433465958, cm=-0.07798607647418976
  Angle 0: cl=-0.0858067125082016, cd=0.08292457461357117, cm=-0.05015690624713898
  Angle 1: cl=-0.002325369045138359, cd=0.08303714543581009, cm=-0.02747310698032379
  Angle 2: cl=0.08255268633365631, cd=0.08415874093770981, cm=-0.012591078877449036
  Angle 3: cl=0.3098078966140747, cd=0.06956994533538818, cm=-0.007396146655082703
  Angle 4: cl=0.4328535199165344, cd=0.07114074379205704, cm=-0.000715404748916626
  Angle 5: cl=0.5315090417861938, cd=0.0793735459446907, cm=0.002728700637817383
  Angle 6: cl=0.621976912021637, cd=0.08675208687782288, cm=0.005248084664344788
  Angle 7: cl=0.7118089199066162, cd=0.09334994107484818, cm=0.00772152841091156
  Angle 8: cl=0.8018263578414917, cd=0.09987951815128326, cm=0.009312644600868225
  Angle 9: cl=0.8969340324401855, cd=0.1050562709569931, cm=0.0041448622941970825
  Angle 10: cl=0.996685802936554, cd=0.11090677231550217, cm=-0.003727361559867859
