Experiment: Experiment1
Generation: 19
Timestamp: 20231224_160938

Genotypes and their Fitness Values:
[0.0085, 0.418076790237637, 0.12954496021774514, -0.7886280008120997, 0.26, -0.023, 0.060634195200821216, -0.003, 0.0025211086381272305, 8.138094731896372, 10.081391323354111] - Fitness: 7.283515076181328
[0.0085, 0.418076790237637, 0.1290784151947498, -0.7667386543545175, 0.26, -0.023, 0.05, -0.003030195814193234, 0.0025, 8.138094731896372, 10.004775175097594] - Fitness: 7.256433721919825
[0.0085, 0.418076790237637, 0.1298072342190618, -0.7684375775335405, 0.26, -0.023, 0.08920734497232859, -0.003, 0.0025211086381272305, 8.22268974820264, 10.261421220993475] - Fitness: 7.207883558081591
[0.0085, 0.418076790237637, 0.12945302610052828, -0.7886280008120997, 0.26, -0.023, 0.060634195200821216, -0.003030195814193234, 0.0025862418227786026, 8.119975970621223, 10.081391323354111] - Fitness: 7.133755695072855
[0.0085, 0.418076790237637, 0.1297695771290017, -0.7667386543545175, 0.26, -0.023, 0.07459583377003612, -0.003030195814193234, 0.0025862418227786026, 8.274865197947431, 10.081391323354111] - Fitness: 7.107569007734394
[0.0085, 0.418076790237637, 0.13, -0.7667386543545175, 0.26, -0.023, 0.06114068347227903, -0.0031394563445547355, 0.0025280751840808984, 8.138094731896372, 10.0] - Fitness: 7.0983782903015085
[0.0085, 0.418076790237637, 0.1285306790404815, -0.7878727606856999, 0.26, -0.023, 0.07459583377003612, -0.003, 0.0025862418227786026, 8.22268974820264, 10.0] - Fitness: 7.088552508529402
[0.0085, 0.418076790237637, 0.12763700615391202, -0.7667386543545175, 0.26, -0.023, 0.060634195200821216, -0.003030195814193234, 0.0025, 8.385202022304474, 10.0] - Fitness: 7.088542172288216
[0.0085, 0.41993298235894605, 0.13, -0.8074810304702107, 0.26, -0.023, 0.08280839247201144, -0.003075279591744802, 0.0025862418227786026, 8.22268974820264, 10.0] - Fitness: 7.086229298957343
[0.0085, 0.418076790237637, 0.12858862200697974, -0.7710594386143806, 0.26, -0.023, 0.07459583377003612, -0.003, 0.0025862418227786026, 8.22268974820264, 10.064564192881095] - Fitness: 7.078924583842211
[0.0085, 0.418076790237637, 0.12858862200697974, -0.7684375775335405, 0.26, -0.023, 0.07459583377003612, -0.003, 0.0025862418227786026, 8.22268974820264, 10.081391323354111] - Fitness: 7.075477418882379
[0.0085, 0.42198546613116417, 0.12792524319569173, -0.7757115544516902, 0.26, -0.023, 0.07459583377003612, -0.003, 0.0025862418227786026, 8.138094731896372, 10.081391323354111] - Fitness: 7.063372354069064
[0.0085, 0.41993298235894605, 0.12949665081964787, -0.8076965781945242, 0.26, -0.023, 0.07383430841321097, -0.003142965921515718, 0.0025, 8.22268974820264, 10.081391323354111] - Fitness: 7.0595715966265375
[0.0085, 0.418076790237637, 0.13, -0.7667386543545175, 0.2595038553230944, -0.023, 0.060634195200821216, -0.003142965921515718, 0.0025, 8.138094731896372, 10.261421220993475] - Fitness: 7.054184850246162
[0.0085, 0.4240085256015393, 0.1285306790404815, -0.7824801381294906, 0.26, -0.023, 0.06751394706772595, -0.003030195814193234, 0.0025862418227786026, 8.385202022304474, 10.081391323354111] - Fitness: 7.046390595223203
[0.0085, 0.418076790237637, 0.1285306790404815, -0.7710594386143806, 0.26, -0.023, 0.060634195200821216, -0.003030195814193234, 0.0025862418227786026, 8.22268974820264, 10.081391323354111] - Fitness: 7.044699560848415
[0.0085, 0.418076790237637, 0.13, -0.7667386543545175, 0.26, -0.023, 0.08280839247201144, -0.003075279591744802, 0.0025862418227786026, 8.138094731896372, 10.261421220993475] - Fitness: 7.029709333866132
[0.0085, 0.418076790237637, 0.1285306790404815, -0.7886280008120997, 0.26, -0.023, 0.05931573793763024, -0.003030195814193234, 0.0025862418227786026, 8.342487003423729, 10.081391323354111] - Fitness: 7.027079106508315
[0.0085, 0.418076790237637, 0.13, -0.7667386543545175, 0.26, -0.023, 0.08280839247201144, -0.003075279591744802, 0.0025862418227786026, 8.170068508500567, 10.261421220993475] - Fitness: 7.02421242287876
[0.0085, 0.41993298235894605, 0.1285306790404815, -0.7884422517654351, 0.26, -0.023, 0.060634195200821216, -0.003142965921515718, 0.0025, 8.22268974820264, 10.0] - Fitness: 7.021666841177777
[0.0085, 0.418076790237637, 0.1285306790404815, -0.7773492828986511, 0.26, -0.023, 0.060634195200821216, -0.003091721738435522, 0.0025, 8.175861819558687, 10.431674094184148] - Fitness: 7.02042313950994
[0.0085, 0.418076790237637, 0.13, -0.7667386543545175, 0.26, -0.023, 0.08280839247201144, -0.003075279591744802, 0.0025862418227786026, 8.22268974820264, 10.261421220993475] - Fitness: 7.0155564387397105
[0.0085, 0.418076790237637, 0.1285306790404815, -0.7640769744900812, 0.26, -0.023, 0.07257212737826992, -0.003091721738435522, 0.0025, 8.138094731896372, 10.431674094184148] - Fitness: 7.0082297253364025
[0.0085, 0.418076790237637, 0.12792524319569173, -0.7667386543545175, 0.26, -0.023, 0.060634195200821216, -0.003030195814193234, 0.0025211086381272305, 8.52126305251801, 10.266835839657695] - Fitness: 7.007301198467076
[0.0085, 0.418076790237637, 0.1285306790404815, -0.7824801381294906, 0.26, -0.023, 0.06751394706772595, -0.003030195814193234, 0.0025862418227786026, 8.385202022304474, 10.081391323354111] - Fitness: 7.007253077721619
[0.0085, 0.418076790237637, 0.1285306790404815, -0.7824801381294906, 0.26, -0.023, 0.06751394706772595, -0.003030195814193234, 0.0025862418227786026, 8.385202022304474, 10.081391323354111] - Fitness: 7.007253077721619
[0.0085, 0.418076790237637, 0.12858862200697974, -0.7667386543545175, 0.26, -0.023, 0.07459583377003612, -0.003, 0.0025862418227786026, 8.625034422597324, 10.081391323354111] - Fitness: 7.003224712246679
[0.0085, 0.418076790237637, 0.12792524319569173, -0.7757115544516902, 0.26, -0.023, 0.07459583377003612, -0.003, 0.0025862418227786026, 8.385202022304474, 10.081391323354111] - Fitness: 6.999651780287564
[0.0085, 0.418076790237637, 0.13, -0.7667386543545175, 0.26, -0.023, 0.060634195200821216, -0.003075279591744802, 0.0025862418227786026, 8.52126305251801, 10.261421220993475] - Fitness: 6.996567208191725
[0.0085, 0.418076790237637, 0.12858862200697974, -0.7684375775335405, 0.26, -0.023, 0.060634195200821216, -0.0031394563445547355, 0.0025211086381272305, 8.138094731896372, 10.081391323354111] - Fitness: 6.990932274194046
[0.0085, 0.418076790237637, 0.12763700615391202, -0.7621684591287214, 0.26, -0.023, 0.060634195200821216, -0.003030195814193234, 0.0025862418227786026, 8.22268974820264, 10.0] - Fitness: 6.989627861147158
[0.0085, 0.418076790237637, 0.12858862200697974, -0.7684375775335405, 0.26, -0.023, 0.07459583377003612, -0.003, 0.0026450961148506984, 8.22268974820264, 10.081391323354111] - Fitness: 6.989610441434174
[0.0085, 0.41993298235894605, 0.12792524319569173, -0.7884422517654351, 0.26, -0.023, 0.05931573793763024, -0.003142965921515718, 0.0025, 8.22268974820264, 10.0] - Fitness: 6.981180336653562
[0.0085, 0.418076790237637, 0.12858862200697974, -0.7667386543545175, 0.25876473454265386, -0.023, 0.07459583377003612, -0.003, 0.0025862418227786026, 8.385202022304474, 10.064564192881095] - Fitness: 6.979919109471035
[0.0085, 0.418076790237637, 0.1285306790404815, -0.7667386543545175, 0.26, -0.023, 0.060634195200821216, -0.003, 0.002682984516335235, 8.138094731896372, 10.0] - Fitness: 6.979471829967655
[0.0085, 0.418076790237637, 0.1285306790404815, -0.7667386543545175, 0.26, -0.023, 0.060634195200821216, -0.003142965921515718, 0.0025, 8.138094731896372, 10.261421220993475] - Fitness: 6.978273098582457
[0.0085, 0.418076790237637, 0.1285306790404815, -0.7773519484863882, 0.25876473454265386, -0.023, 0.060634195200821216, -0.003030195814193234, 0.0025862418227786026, 8.22268974820264, 10.081391323354111] - Fitness: 6.975980350647712
[0.0085, 0.41965612094961063, 0.12879513852303684, -0.7667386543545175, 0.26, -0.023, 0.07459583377003612, -0.0031394563445547355, 0.0025, 8.22268974820264, 10.261421220993475] - Fitness: 6.975073535673012
[0.0085, 0.41993298235894605, 0.13, -0.7878727606856999, 0.26, -0.023, 0.08280839247201144, -0.003142965921515718, 0.0025862418227786026, 8.138094731896372, 10.07503340491751] - Fitness: 6.974125705697682
[0.0085, 0.418076790237637, 0.12945302610052828, -0.7667386543545175, 0.26, -0.023, 0.06717597782523427, -0.003030195814193234, 0.002637491735074357, 8.274865197947431, 10.326299519663156] - Fitness: 6.970528765440137
[0.0085, 0.418076790237637, 0.12792524319569173, -0.7773492828986511, 0.26, -0.023, 0.05931573793763024, -0.003091721738435522, 0.0025, 8.22268974820264, 10.431674094184148] - Fitness: 6.964311708274459
[0.0085, 0.418076790237637, 0.12858862200697974, -0.7621684591287214, 0.26, -0.023, 0.05931573793763024, -0.0030960889331427726, 0.0025862418227786026, 8.22268974820264, 10.0] - Fitness: 6.9625639244856
[0.0085, 0.418076790237637, 0.12763700615391202, -0.7667386543545175, 0.26, -0.023, 0.07459583377003612, -0.003030195814193234, 0.0025862418227786026, 8.22268974820264, 10.081391323354111] - Fitness: 6.955934233252596
[0.0085, 0.418076790237637, 0.1285306790404815, -0.7667386543545175, 0.25876473454265386, -0.023, 0.060634195200821216, -0.003030195814193234, 0.0025862418227786026, 8.385202022304474, 10.081391323354111] - Fitness: 6.9447310726599545
[0.0085, 0.418076790237637, 0.12792524319569173, -0.7684375775335405, 0.26, -0.023, 0.060634195200821216, -0.0031394563445547355, 0.0025211086381272305, 8.138094731896372, 10.081391323354111] - Fitness: 6.939946667686317
[0.0085, 0.418076790237637, 0.1297695771290017, -0.7667386543545175, 0.26, -0.023, 0.060634195200821216, -0.003030195814193234, 0.0027293073487361483, 8.274865197947431, 10.0] - Fitness: 6.9364044463360495
[0.0085, 0.41993298235894605, 0.12858862200697974, -0.7684375775335405, 0.26, -0.023, 0.060634195200821216, -0.0030386090312847884, 0.002682984516335235, 8.138094731896372, 10.0] - Fitness: 6.934031145209825
[0.0085, 0.418076790237637, 0.12858862200697974, -0.7844419407236377, 0.26, -0.023, 0.08280839247201144, -0.0030960889331427726, 0.0025862418227786026, 8.138094731896372, 10.081391323354111] - Fitness: 6.932161678141781
[0.008601766968340866, 0.418076790237637, 0.1297695771290017, -0.7684375775335405, 0.26, -0.023, 0.05421516743787738, -0.003030195814193234, 0.002637491735074357, 8.138094731896372, 10.645047838212069] - Fitness: 6.929642523160093
[0.0085, 0.418076790237637, 0.12792524319569173, -0.7684375775335405, 0.26, -0.023, 0.05931573793763024, -0.0031394563445547355, 0.0025211086381272305, 8.22268974820264, 10.081391323354111] - Fitness: 6.927800493298616

Detailed Results for Each Genotype:
Genotype [0.0085, 0.418076790237637, 0.12954496021774514, -0.7886280008120997, 0.26, -0.023, 0.060634195200821216, -0.003, 0.0025211086381272305, 8.138094731896372, 10.081391323354111]:
  Angle -10: cl=-0.3379148542881012, cd=0.035971708595752716, cm=-0.167709618806839
  Angle -9: cl=-0.35992714762687683, cd=0.03989467769861221, cm=-0.13082829117774963
  Angle -8: cl=-0.3395216166973114, cd=0.037322282791137695, cm=-0.11772529035806656
  Angle -7: cl=-0.27906596660614014, cd=0.03388543054461479, cm=-0.10602803528308868
  Angle -6: cl=-0.2021227777004242, cd=0.03356119245290756, cm=-0.09299471974372864
  Angle -5: cl=-0.11967994272708893, cd=0.03285134583711624, cm=-0.08211486786603928
  Angle -4: cl=-0.045932572335004807, cd=0.031125053763389587, cm=-0.0730825886130333
  Angle -3: cl=0.020646709948778152, cd=0.028546452522277832, cm=-0.06614647060632706
  Angle -2: cl=0.09583155810832977, cd=0.026716802269220352, cm=-0.06201314553618431
  Angle -1: cl=0.15696078538894653, cd=0.02917582169175148, cm=-0.056917883455753326
  Angle 0: cl=0.21519245207309723, cd=0.03176232799887657, cm=-0.05335298180580139
  Angle 1: cl=0.2866542637348175, cd=0.03507407754659653, cm=-0.04773610830307007
  Angle 2: cl=0.36017492413520813, cd=0.036638155579566956, cm=-0.04404359310865402
  Angle 3: cl=0.43214187026023865, cd=0.03640616685152054, cm=-0.04011717811226845
  Angle 4: cl=0.5036390423774719, cd=0.034886591136455536, cm=-0.03727199509739876
  Angle 5: cl=0.6085057258605957, cd=0.028938226401805878, cm=-0.03607863932847977
  Angle 6: cl=0.6919677257537842, cd=0.031298886984586716, cm=-0.035028424113988876
  Angle 7: cl=0.7862181663513184, cd=0.036068160086870193, cm=-0.03352036699652672
  Angle 8: cl=0.8691638112068176, cd=0.03998003527522087, cm=-0.03398483246564865
  Angle 9: cl=0.9437925219535828, cd=0.04212765023112297, cm=-0.03620072081685066
  Angle 10: cl=1.0150219202041626, cd=0.04567933827638626, cm=-0.038846105337142944
Genotype [0.0085, 0.418076790237637, 0.1290784151947498, -0.7667386543545175, 0.26, -0.023, 0.05, -0.003030195814193234, 0.0025, 8.138094731896372, 10.004775175097594]:
  Angle -10: cl=-0.33663231134414673, cd=0.0358438715338707, cm=-0.16848108172416687
  Angle -9: cl=-0.35599613189697266, cd=0.04004797339439392, cm=-0.13075651228427887
  Angle -8: cl=-0.33990198373794556, cd=0.03740503266453743, cm=-0.11713069677352905
  Angle -7: cl=-0.2799200415611267, cd=0.03382112830877304, cm=-0.10530953109264374
  Angle -6: cl=-0.20251141488552094, cd=0.03368503600358963, cm=-0.0922989472746849
  Angle -5: cl=-0.1202223002910614, cd=0.03297901526093483, cm=-0.08140041679143906
  Angle -4: cl=-0.046326231211423874, cd=0.031245727092027664, cm=-0.07235672324895859
  Angle -3: cl=0.020366191864013672, cd=0.02897500991821289, cm=-0.06539317220449448
  Angle -2: cl=0.09472872316837311, cd=0.027216095477342606, cm=-0.06118384376168251
  Angle -1: cl=0.15592998266220093, cd=0.029358576983213425, cm=-0.05634652078151703
  Angle 0: cl=0.21419566869735718, cd=0.031950321048498154, cm=-0.05278824642300606
  Angle 1: cl=0.28552061319351196, cd=0.0352313406765461, cm=-0.04711934179067612
  Angle 2: cl=0.3590715825557709, cd=0.036607399582862854, cm=-0.043654486536979675
  Angle 3: cl=0.4309577941894531, cd=0.03641882538795471, cm=-0.039776358753442764
  Angle 4: cl=0.5024439692497253, cd=0.03490769490599632, cm=-0.037004463374614716
  Angle 5: cl=0.6073905825614929, cd=0.028930462896823883, cm=-0.03580263629555702
  Angle 6: cl=0.6908777952194214, cd=0.03127113729715347, cm=-0.03475167229771614
  Angle 7: cl=0.7848909497261047, cd=0.03585302084684372, cm=-0.033252593129873276
  Angle 8: cl=0.8679935932159424, cd=0.0398080013692379, cm=-0.03369070589542389
  Angle 9: cl=0.942620038986206, cd=0.04195490479469299, cm=-0.03590874373912811
  Angle 10: cl=1.014045000076294, cd=0.04543184116482735, cm=-0.038523007184267044
Genotype [0.0085, 0.418076790237637, 0.1298072342190618, -0.7684375775335405, 0.26, -0.023, 0.08920734497232859, -0.003, 0.0025211086381272305, 8.22268974820264, 10.261421220993475]:
  Angle -10: cl=-0.34267666935920715, cd=0.035457465797662735, cm=-0.16649141907691956
  Angle -9: cl=-0.3690462112426758, cd=0.04028346389532089, cm=-0.12995056807994843
  Angle -8: cl=-0.3437346816062927, cd=0.03753194212913513, cm=-0.1171795204281807
  Angle -7: cl=-0.2827197313308716, cd=0.03381359949707985, cm=-0.10533710569143295
  Angle -6: cl=-0.20548489689826965, cd=0.033324193209409714, cm=-0.09217223525047302
  Angle -5: cl=-0.12244881689548492, cd=0.03261494264006615, cm=-0.08135610818862915
  Angle -4: cl=-0.047694701701402664, cd=0.03098234161734581, cm=-0.0722387358546257
  Angle -3: cl=0.01884760893881321, cd=0.0285588800907135, cm=-0.06530731171369553
  Angle -2: cl=0.09343625605106354, cd=0.02690792828798294, cm=-0.06126893311738968
  Angle -1: cl=0.1550021767616272, cd=0.029386475682258606, cm=-0.05619021877646446
  Angle 0: cl=0.21310052275657654, cd=0.03195243701338768, cm=-0.05259924381971359
  Angle 1: cl=0.2838975191116333, cd=0.03516814857721329, cm=-0.04694652184844017
  Angle 2: cl=0.3574497401714325, cd=0.03642896190285683, cm=-0.043645814061164856
  Angle 3: cl=0.4296633005142212, cd=0.03629172965884209, cm=-0.039532408118247986
  Angle 4: cl=0.5008869171142578, cd=0.03486500307917595, cm=-0.03675007447600365
  Angle 5: cl=0.6053099632263184, cd=0.029021713882684708, cm=-0.0355897881090641
  Angle 6: cl=0.689514696598053, cd=0.03134426102042198, cm=-0.034491896629333496
  Angle 7: cl=0.7838701605796814, cd=0.03582671657204628, cm=-0.03297632560133934
  Angle 8: cl=0.8673641085624695, cd=0.03988776355981827, cm=-0.033353909850120544
  Angle 9: cl=0.9419713616371155, cd=0.042029306292533875, cm=-0.03558908775448799
  Angle 10: cl=1.0140130519866943, cd=0.04537682235240936, cm=-0.03818416967988014
Genotype [0.0085, 0.418076790237637, 0.12945302610052828, -0.7886280008120997, 0.26, -0.023, 0.060634195200821216, -0.003030195814193234, 0.0025862418227786026, 8.119975970621223, 10.081391323354111]:
  Angle -10: cl=-0.34190744161605835, cd=0.035667866468429565, cm=-0.16620659828186035
  Angle -9: cl=-0.3656565845012665, cd=0.041090093553066254, cm=-0.12907162308692932
  Angle -8: cl=-0.3442538380622864, cd=0.03785959631204605, cm=-0.11592186242341995
  Angle -7: cl=-0.28345826268196106, cd=0.034079015254974365, cm=-0.10389925539493561
  Angle -6: cl=-0.2052946835756302, cd=0.03401738405227661, cm=-0.09093736857175827
  Angle -5: cl=-0.12183988094329834, cd=0.03333239629864693, cm=-0.08009842783212662
  Angle -4: cl=-0.04696570709347725, cd=0.03169429674744606, cm=-0.07097703963518143
  Angle -3: cl=0.019557716324925423, cd=0.02943609654903412, cm=-0.0640847310423851
  Angle -2: cl=0.09249724447727203, cd=0.027613434940576553, cm=-0.059921443462371826
  Angle -1: cl=0.15371716022491455, cd=0.02973802387714386, cm=-0.055251456797122955
  Angle 0: cl=0.21209222078323364, cd=0.032346662133932114, cm=-0.05171456187963486
  Angle 1: cl=0.2839796841144562, cd=0.03560413792729378, cm=-0.045888494700193405
  Angle 2: cl=0.3575129508972168, cd=0.03674984350800514, cm=-0.042658235877752304
  Angle 3: cl=0.4297100305557251, cd=0.03646337240934372, cm=-0.03856410086154938
  Angle 4: cl=0.5013575553894043, cd=0.03493543714284897, cm=-0.035895705223083496
  Angle 5: cl=0.6061664819717407, cd=0.028956174850463867, cm=-0.034693360328674316
  Angle 6: cl=0.6900097727775574, cd=0.0313924215734005, cm=-0.033552251756191254
  Angle 7: cl=0.7829204797744751, cd=0.03595590591430664, cm=-0.032103199511766434
  Angle 8: cl=0.8657713532447815, cd=0.03985564410686493, cm=-0.03278711810708046
  Angle 9: cl=0.9403841495513916, cd=0.041998714208602905, cm=-0.0350174754858017
  Angle 10: cl=1.0117921829223633, cd=0.045482054352760315, cm=-0.037634361535310745
Genotype [0.0085, 0.418076790237637, 0.1297695771290017, -0.7667386543545175, 0.26, -0.023, 0.07459583377003612, -0.003030195814193234, 0.0025862418227786026, 8.274865197947431, 10.081391323354111]:
  Angle -10: cl=-0.34447768330574036, cd=0.03599158301949501, cm=-0.16493135690689087
  Angle -9: cl=-0.3743642270565033, cd=0.041448552161455154, cm=-0.1283183991909027
  Angle -8: cl=-0.34593501687049866, cd=0.03798340633511543, cm=-0.11587014049291611
  Angle -7: cl=-0.2846353352069855, cd=0.034108493477106094, cm=-0.10379968583583832
  Angle -6: cl=-0.2062472105026245, cd=0.03400903195142746, cm=-0.09079073369503021
  Angle -5: cl=-0.12202654778957367, cd=0.03332565352320671, cm=-0.08004667609930038
  Angle -4: cl=-0.046720486134290695, cd=0.031730763614177704, cm=-0.07089222967624664
  Angle -3: cl=0.01973063126206398, cd=0.029328759759664536, cm=-0.06401901692152023
  Angle -2: cl=0.09246192872524261, cd=0.027554765343666077, cm=-0.05995534360408783
  Angle -1: cl=0.15381376445293427, cd=0.02972446009516716, cm=-0.0552389919757843
  Angle 0: cl=0.21212898194789886, cd=0.03232384845614433, cm=-0.05169036239385605
  Angle 1: cl=0.28392839431762695, cd=0.0355546660721302, cm=-0.04584791511297226
  Angle 2: cl=0.35741665959358215, cd=0.036647163331508636, cm=-0.0426693819463253
  Angle 3: cl=0.42958661913871765, cd=0.03634176403284073, cm=-0.03846379369497299
  Angle 4: cl=0.5013615489006042, cd=0.03486010804772377, cm=-0.03568456694483757
  Angle 5: cl=0.6060920357704163, cd=0.0290023572742939, cm=-0.034572534263134
  Angle 6: cl=0.6900924444198608, cd=0.031495749950408936, cm=-0.03336845338344574
  Angle 7: cl=0.783099889755249, cd=0.03604841232299805, cm=-0.03191486746072769
  Angle 8: cl=0.8659239411354065, cd=0.03994545340538025, cm=-0.03261933475732803
  Angle 9: cl=0.9405227899551392, cd=0.042084626853466034, cm=-0.03486194834113121
  Angle 10: cl=1.012268304824829, cd=0.04548437520861626, cm=-0.03745890408754349
Genotype [0.0085, 0.418076790237637, 0.13, -0.7667386543545175, 0.26, -0.023, 0.06114068347227903, -0.0031394563445547355, 0.0025280751840808984, 8.138094731896372, 10.0]:
  Angle -10: cl=-0.34456557035446167, cd=0.03627672418951988, cm=-0.164264976978302
  Angle -9: cl=-0.3724265396595001, cd=0.042249057441949844, cm=-0.127362459897995
  Angle -8: cl=-0.34642016887664795, cd=0.03847397491335869, cm=-0.11448945850133896
  Angle -7: cl=-0.28492486476898193, cd=0.034395571798086166, cm=-0.10217335820198059
  Angle -6: cl=-0.20633180439472198, cd=0.034270331263542175, cm=-0.08910030126571655
  Angle -5: cl=-0.11995084583759308, cd=0.03370537981390953, cm=-0.07834754884243011
  Angle -4: cl=-0.04460333660244942, cd=0.032090239226818085, cm=-0.06914814561605453
  Angle -3: cl=0.021583225578069687, cd=0.029726985841989517, cm=-0.06235301494598389
  Angle -2: cl=0.09266601502895355, cd=0.02765016257762909, cm=-0.05833854898810387
