Experiment: Nash_Combination_Experiment_1
Generation: 21
Generation Type: v
Timestamp: 20231226_015334

Genotypes and their Fitness Values:
[0.0085, 0.4532687738452371, 0.13, -0.7, 0.25870830790907473, -0.023, 0.07644417156695688, -0.003, 0.0025, 9.160332114271688, 10.133365342515166] - Base Fitness: 0.10559914150043502, Adjusted Fitness: 0.10559914150043502
[0.0085, 0.4532687738452371, 0.13, -0.7, 0.25870830790907473, -0.02261081962647727, 0.1462916255137237, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.02626539658203121, Adjusted Fitness: 0.02626539658203121
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.02261081962647727, 0.10740602584644611, -0.0034233608514805886, 0.0025, 9.137900656548721, 10.157301266968467] - Base Fitness: 0.000495321875515277, Adjusted Fitness: 0.0012142827807477283
[0.0085, 0.4532687738452371, 0.13, -0.7737343626539073, 0.26, -0.023, 0.1462916255137237, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.09419154164706356, Adjusted Fitness: 0.09419154164706356
[0.0085, 0.4253766408534128, 0.13, -0.7179998070389169, 0.26, -0.023, 0.1462916255137237, -0.003, 0.0025, 9.150878308214, 10.157301266968467] - Base Fitness: 0.04314542212094154, Adjusted Fitness: 0.04314542212094154
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.023, 0.07644417156695688, -0.0034233608514805886, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.049271836175264476, Adjusted Fitness: 0.049271836175264476
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.023, 0.06341540290452058, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.14274519615734488, Adjusted Fitness: 0.14274519615734488
[0.0085, 0.4532687738452371, 0.13, -0.7179998070389169, 0.26, -0.02261081962647727, 0.1462916255137237, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.05845515994036921, Adjusted Fitness: 0.05845515994036921
[0.0085, 0.4532687738452371, 0.13, -0.7, 0.25870830790907473, -0.02261081962647727, 0.1462916255137237, -0.003, 0.0025, 9.160332114271688, 10.157746364392867] - Base Fitness: 0.026278709424711038, Adjusted Fitness: 0.026278709424711038
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.02261081962647727, 0.1462916255137237, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.060874857013853395, Adjusted Fitness: 0.060874857013853395
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.02261081962647727, 0.07644417156695688, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.10346846436523428, Adjusted Fitness: 0.10346846436523428
[0.0085, 0.4532687738452371, 0.13, -0.7, 0.25870830790907473, -0.023, 0.05, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.11919179116614677, Adjusted Fitness: 0.11919179116614677
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.02261081962647727, 0.16804727073377945, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.04726643491509205, Adjusted Fitness: 0.04726643491509205
[0.0126, 0.4532687738452371, 0.11366362944133512, -0.7, 0.25870830790907473, -0.02261081962647727, 0.10740602584644611, -0.0034233608514805886, 0.0025, 9.121424835947549, 10.157301266968467] - Base Fitness: -1.2229839992241252, Adjusted Fitness: -1.2229839992241252
[0.0085, 0.4532687738452371, 0.13, -0.7, 0.25870830790907473, -0.023, 0.1462916255137237, -0.003, 0.0025, 9.168966474729974, 10.116037759000147] - Base Fitness: 0.06391942070168805, Adjusted Fitness: 0.06391942070168805
[0.0085, 0.4532687738452371, 0.13, -0.7, 0.25870830790907473, -0.023, 0.05, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.11919179116614677, Adjusted Fitness: 0.11919179116614677
[0.0085, 0.4532687738452371, 0.13, -0.7, 0.25870830790907473, -0.02261081962647727, 0.1462916255137237, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.02626539658203121, Adjusted Fitness: 0.02626539658203121
[0.0085, 0.4532687738452371, 0.13, -0.7, 0.25870830790907473, -0.023, 0.1462916255137237, -0.003, 0.0025, 9.11191597437142, 10.157301266968467] - Base Fitness: 0.06263139156603693, Adjusted Fitness: 0.06263139156603693
[0.0085, 0.4532687738452371, 0.13, -0.7, 0.25870830790907473, -0.02261081962647727, 0.1462916255137237, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.02626539658203121, Adjusted Fitness: 0.02626539658203121
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.023, 0.07644417156695688, -0.0034233608514805886, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.049271836175264476, Adjusted Fitness: 0.049271836175264476
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.023, 0.07644417156695688, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.13463085510964054, Adjusted Fitness: 0.13463085510964054
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.023, 0.07644417156695688, -0.0034233608514805886, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.049271836175264476, Adjusted Fitness: 0.049271836175264476
[0.0085, 0.4532687738452371, 0.13, -0.7179998070389169, 0.26, -0.023, 0.1462916255137237, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.09059938255238172, Adjusted Fitness: 0.09059938255238172
[0.0085, 0.4532687738452371, 0.13, -0.7, 0.26, -0.023, 0.1462916255137237, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.08937389991692105, Adjusted Fitness: 0.08937389991692105
[0.0085, 0.4532687738452371, 0.13, -0.7, 0.25870830790907473, -0.02261081962647727, 0.07644417156695688, -0.003, 0.0025, 9.150878308214, 10.157301266968467] - Base Fitness: 0.07058005718445237, Adjusted Fitness: 0.07058005718445237
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.023, 0.07644417156695688, -0.0034233608514805886, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.049271836175264476, Adjusted Fitness: 0.049271836175264476
[0.0085, 0.4532687738452371, 0.13, -0.7, 0.25870830790907473, -0.023, 0.05, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.11919179116614677, Adjusted Fitness: 0.11919179116614677
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.023, 0.1462916255137237, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.09255346315980598, Adjusted Fitness: 0.09255346315980598
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.02261081962647727, 0.10740602584644611, -0.0034233608514805886, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: -0.0004804524849548312, Adjusted Fitness: 0.0005650818977059799
[0.0085, 0.46, 0.13, -0.7530789503628846, 0.25870830790907473, -0.023, 0.07644417156695688, -0.003, 0.005, 9.160332114271688, 10.157301266968467] - Base Fitness: -0.16888992255654903, Adjusted Fitness: -0.1656741700818924
[0.0085, 0.4532687738452371, 0.13, -0.7, 0.25870830790907473, -0.023, 0.05, -0.003, 0.005, 9.160332114271688, 10.157301266968467] - Base Fitness: -0.15788397191240613, Adjusted Fitness: -0.15537126479415225
[0.0085, 0.42471138467686936, 0.13, -0.7530789503628846, 0.26, -0.02261081962647727, 0.07644417156695688, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.05345704657716117, Adjusted Fitness: 0.05345704657716117
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.02261081962647727, 0.1462916255137237, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.060874857013853395, Adjusted Fitness: 0.060874857013853395
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.02261081962647727, 0.07644417156695688, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.10346846436523428, Adjusted Fitness: 0.10346846436523428
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.023, 0.07644417156695688, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.13463085510964054, Adjusted Fitness: 0.13463085510964054
[0.0085, 0.4532687738452371, 0.13, -0.7, 0.25870830790907473, -0.02261081962647727, 0.07644417156695688, -0.003, 0.0025, 9.137900656548721, 10.116037759000147] - Base Fitness: 0.07592246888567629, Adjusted Fitness: 0.07592246888567629
[0.0085, 0.4532687738452371, 0.13, -0.7, 0.25870830790907473, -0.023, 0.05, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.11919179116614677, Adjusted Fitness: 0.11919179116614677
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.02261081962647727, 0.07644417156695688, -0.003, 0.0025, 9.160332114271688, 10.157746364392867] - Base Fitness: 0.10344456274411537, Adjusted Fitness: 0.10344456274411537
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.02261081962647727, 0.07644417156695688, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.10346846436523428, Adjusted Fitness: 0.10346846436523428
[0.0085, 0.4532687738452371, 0.13, -0.7, 0.25870830790907473, -0.023, 0.1462916255137237, -0.003, 0.0025, 9.160332114271688, 10.13611626839376] - Base Fitness: 0.06235844684336068, Adjusted Fitness: 0.06235844684336068
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.023, 0.07644417156695688, -0.0034233608514805886, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.049271836175264476, Adjusted Fitness: 0.049271836175264476
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.023, 0.07644417156695688, -0.0034233608514805886, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.049271836175264476, Adjusted Fitness: 0.049271836175264476
[0.0085, 0.4532687738452371, 0.13, -0.7, 0.26, -0.02261081962647727, 0.07644417156695688, -0.003, 0.0025, 9.109663890706775, 10.157301266968467] - Base Fitness: 0.1029976584675117, Adjusted Fitness: 0.1029976584675117
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.02261081962647727, 0.1462916255137237, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.060874857013853395, Adjusted Fitness: 0.060874857013853395
[0.0085, 0.4532687738452371, 0.13, -0.7179998070389169, 0.26, -0.023, 0.1462916255137237, -0.003, 0.0025, 9.191695454537943, 10.13611626839376] - Base Fitness: 0.09093209142402796, Adjusted Fitness: 0.09093209142402796
[0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.02261081962647727, 0.07644417156695688, -0.003, 0.0025, 9.150878308214, 10.157301266968467] - Base Fitness: 0.10369879389126857, Adjusted Fitness: 0.10369879389126857
[0.0085, 0.42302845126086475, 0.13, -0.7530789503628846, 0.25870830790907473, -0.02261081962647727, 0.07644417156695688, -0.003, 0.0025, 9.198316982659236, 10.157301266968467] - Base Fitness: 0.01941369909345047, Adjusted Fitness: 0.01941369909345047
[0.0085, 0.4532687738452371, 0.13, -0.7179998070389169, 0.26, -0.023, 0.1462916255137237, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.09059938255238172, Adjusted Fitness: 0.09059938255238172
[0.0085, 0.4532687738452371, 0.13, -0.7556530903678794, 0.26, -0.02261081962647727, 0.1462916255137237, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.06095830062519532, Adjusted Fitness: 0.06095830062519532
[0.0085, 0.4532687738452371, 0.13, -0.7, 0.25870830790907473, -0.023, 0.05, -0.003, 0.0025, 9.160332114271688, 10.157301266968467] - Base Fitness: 0.11919179116614677, Adjusted Fitness: 0.11919179116614677

Detailed Results for Each Genotype:
Genotype [0.0085, 0.4532687738452371, 0.13, -0.7, 0.25870830790907473, -0.023, 0.07644417156695688, -0.003, 0.0025, 9.160332114271688, 10.133365342515166]:
  Angle -10: cl=-0.555828332901001, cd=0.2254050374031067, cm=-0.18804197013378143
  Angle -9: cl=-0.5842272043228149, cd=0.19257882237434387, cm=-0.18461157381534576
  Angle -8: cl=-0.6067171692848206, cd=0.1573352813720703, cm=-0.18243320286273956
  Angle -7: cl=-0.6428510546684265, cd=0.1251581758260727, cm=-0.17438022792339325
  Angle -6: cl=-0.6047312021255493, cd=0.1126505583524704, cm=-0.15977777540683746
  Angle -5: cl=-0.5079405903816223, cd=0.10361555218696594, cm=-0.14636065065860748
  Angle -4: cl=-0.41049057245254517, cd=0.09815730899572372, cm=-0.13331760466098785
  Angle -3: cl=-0.3065427541732788, cd=0.09145928174257278, cm=-0.11841954290866852
  Angle -2: cl=-0.24057802557945251, cd=0.08570331335067749, cm=-0.09166352450847626
  Angle -1: cl=-0.18051142990589142, cd=0.08167562633752823, cm=-0.062188103795051575
  Angle 0: cl=-0.11248485743999481, cd=0.08170716464519501, cm=-0.03479544818401337
  Angle 1: cl=-0.03400249034166336, cd=0.08213680237531662, cm=-0.01220257580280304
  Angle 2: cl=0.04944383352994919, cd=0.0854802280664444, cm=0.0008935779333114624
  Angle 3: cl=0.29135823249816895, cd=0.07273368537425995, cm=0.0019496232271194458
  Angle 4: cl=0.3849782943725586, cd=0.07826071977615356, cm=0.0069610923528671265
  Angle 5: cl=0.4819626212120056, cd=0.08605165779590607, cm=0.010285556316375732
  Angle 6: cl=0.5782110095024109, cd=0.09265293180942535, cm=0.012107610702514648
  Angle 7: cl=0.6698428988456726, cd=0.099237360060215, cm=0.01429872214794159
  Angle 8: cl=0.7615116834640503, cd=0.10296520590782166, cm=0.008089110255241394
  Angle 9: cl=0.856080174446106, cd=0.1070917546749115, cm=-0.00025177001953125
  Angle 10: cl=0.953700840473175, cd=0.11243314296007156, cm=-0.008584961295127869
Genotype [0.0085, 0.4532687738452371, 0.13, -0.7, 0.25870830790907473, -0.02261081962647727, 0.1462916255137237, -0.003, 0.0025, 9.160332114271688, 10.157301266968467]:
  Angle -10: cl=-0.5546054244041443, cd=0.22316238284111023, cm=-0.18754853308200836
  Angle -9: cl=-0.5837019085884094, cd=0.19050662219524384, cm=-0.18388356268405914
  Angle -8: cl=-0.606377899646759, cd=0.1552649736404419, cm=-0.18168090283870697
  Angle -7: cl=-0.6421401500701904, cd=0.12360487878322601, cm=-0.1721881479024887
  Angle -6: cl=-0.608453094959259, cd=0.11193480342626572, cm=-0.15796341001987457
  Angle -5: cl=-0.5120223164558411, cd=0.10321172326803207, cm=-0.14438985288143158
  Angle -4: cl=-0.41355517506599426, cd=0.09755145013332367, cm=-0.1310211569070816
  Angle -3: cl=-0.31167957186698914, cd=0.09076277911663055, cm=-0.11528165638446808
  Angle -2: cl=-0.24742662906646729, cd=0.08489317446947098, cm=-0.08796213567256927
  Angle -1: cl=-0.1878827065229416, cd=0.08087295293807983, cm=-0.0585029274225235
  Angle 0: cl=-0.11958250403404236, cd=0.08111222088336945, cm=-0.0315641313791275
  Angle 1: cl=-0.046226777136325836, cd=0.08185163140296936, cm=-0.008850976824760437
  Angle 2: cl=0.037785131484270096, cd=0.08727400004863739, cm=0.002390071749687195
  Angle 3: cl=0.27649641036987305, cd=0.07503597438335419, cm=0.0035973042249679565
  Angle 4: cl=0.36886465549468994, cd=0.0806049257516861, cm=0.008835211396217346
  Angle 5: cl=0.4657275080680847, cd=0.08729782700538635, cm=0.012209713459014893
  Angle 6: cl=0.5624300837516785, cd=0.09382373094558716, cm=0.013943687081336975
  Angle 7: cl=0.6552474498748779, cd=0.09993688017129898, cm=0.01481996476650238
  Angle 8: cl=0.747262179851532, cd=0.10319821536540985, cm=0.007379397749900818
  Angle 9: cl=0.8412390351295471, cd=0.10732568800449371, cm=-0.0010086745023727417
  Angle 10: cl=0.9382660984992981, cd=0.11236903816461563, cm=-0.009773150086402893
Genotype [0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.02261081962647727, 0.10740602584644611, -0.0034233608514805886, 0.0025, 9.137900656548721, 10.157301266968467]:
  Angle -10: cl=-0.5533319711685181, cd=0.21785174310207367, cm=-0.18630044162273407
  Angle -9: cl=-0.5846076607704163, cd=0.18608513474464417, cm=-0.18237163126468658
  Angle -8: cl=-0.6092385649681091, cd=0.15115174651145935, cm=-0.178811714053154
  Angle -7: cl=-0.6468150019645691, cd=0.12044365704059601, cm=-0.16994886100292206
  Angle -6: cl=-0.6002256274223328, cd=0.1106877475976944, cm=-0.15621532499790192
  Angle -5: cl=-0.5015975832939148, cd=0.10194751620292664, cm=-0.14230380952358246
  Angle -4: cl=-0.4006478488445282, cd=0.09568953514099121, cm=-0.12816675007343292
  Angle -3: cl=-0.3069204092025757, cd=0.08873943239450455, cm=-0.10934431850910187
  Angle -2: cl=-0.24569010734558105, cd=0.08293527364730835, cm=-0.08154182136058807
  Angle -1: cl=-0.18604540824890137, cd=0.08033160865306854, cm=-0.05110497772693634
  Angle 0: cl=-0.11780217289924622, cd=0.08112207055091858, cm=-0.025535985827445984
  Angle 1: cl=-0.051514096558094025, cd=0.08542484790086746, cm=-0.00572986900806427
  Angle 2: cl=0.03913570195436478, cd=0.0898442491889, cm=0.004873022437095642
  Angle 3: cl=0.26341333985328674, cd=0.07943367958068848, cm=0.006030619144439697
  Angle 4: cl=0.35416167974472046, cd=0.08511058241128922, cm=0.011236697435379028
  Angle 5: cl=0.45302078127861023, cd=0.09100640565156937, cm=0.01414579153060913
  Angle 6: cl=0.5509424805641174, cd=0.096809022128582, cm=0.016122743487358093
  Angle 7: cl=0.6462336778640747, cd=0.10103682428598404, cm=0.012142285704612732
  Angle 8: cl=0.7380512952804565, cd=0.10430092364549637, cm=0.004710152745246887
  Angle 9: cl=0.8319572806358337, cd=0.10836633294820786, cm=-0.0037261396646499634
  Angle 10: cl=0.9286456108093262, cd=0.11324898153543472, cm=-0.013250306248664856
Genotype [0.0085, 0.4532687738452371, 0.13, -0.7737343626539073, 0.26, -0.023, 0.1462916255137237, -0.003, 0.0025, 9.160332114271688, 10.157301266968467]:
  Angle -10: cl=-0.5551891326904297, cd=0.22495000064373016, cm=-0.18800877034664154
  Angle -9: cl=-0.5835055708885193, cd=0.19209447503089905, cm=-0.18451692163944244
  Angle -8: cl=-0.6062090992927551, cd=0.15688665211200714, cm=-0.18237684667110443
  Angle -7: cl=-0.6425186395645142, cd=0.12478400766849518, cm=-0.17406632006168365
  Angle -6: cl=-0.6049360036849976, cd=0.11245594918727875, cm=-0.1594616323709488
  Angle -5: cl=-0.5083876252174377, cd=0.10354235023260117, cm=-0.1460479348897934
  Angle -4: cl=-0.4109441339969635, cd=0.09809055179357529, cm=-0.13292355835437775
  Angle -3: cl=-0.3069848120212555, cd=0.0913635641336441, cm=-0.11794333159923553
  Angle -2: cl=-0.24199017882347107, cd=0.08557888865470886, cm=-0.09096665680408478
  Angle -1: cl=-0.18174681067466736, cd=0.08158048987388611, cm=-0.061466410756111145
  Angle 0: cl=-0.11347568035125732, cd=0.08165033161640167, cm=-0.034192875027656555
  Angle 1: cl=-0.035919979214668274, cd=0.08210468292236328, cm=-0.011532649397850037
  Angle 2: cl=0.04771904647350311, cd=0.08584877848625183, cm=0.001201033592224121
  Angle 3: cl=0.2889650762081146, cd=0.07321728765964508, cm=0.0022166967391967773
  Angle 4: cl=0.38240256905555725, cd=0.0787460058927536, cm=0.007276877760887146
  Angle 5: cl=0.4790327250957489, cd=0.08635435998439789, cm=0.0106496661901474
  Angle 6: cl=0.5757820010185242, cd=0.09291426837444305, cm=0.01240566372871399
  Angle 7: cl=0.6676334142684937, cd=0.09948688745498657, cm=0.014530777931213379
  Angle 8: cl=0.7593736052513123, cd=0.10302669554948807, cm=0.007890880107879639
  Angle 9: cl=0.853786051273346, cd=0.1071631982922554, cm=-0.0005088895559310913
  Angle 10: cl=0.9513372182846069, cd=0.11250798404216766, cm=-0.008911237120628357
Genotype [0.0085, 0.4253766408534128, 0.13, -0.7179998070389169, 0.26, -0.023, 0.1462916255137237, -0.003, 0.0025, 9.150878308214, 10.157301266968467]:
  Angle -10: cl=-0.5533408522605896, cd=0.2252608686685562, cm=-0.1851213127374649
  Angle -9: cl=-0.586645781993866, cd=0.19464072585105896, cm=-0.17938177287578583
  Angle -8: cl=-0.6168500781059265, cd=0.16157634556293488, cm=-0.1750282496213913
  Angle -7: cl=-0.6453429460525513, cd=0.12819582223892212, cm=-0.16775549948215485
  Angle -6: cl=-0.6158583760261536, cd=0.11637299507856369, cm=-0.15520675480365753
  Angle -5: cl=-0.4959607720375061, cd=0.10359951108694077, cm=-0.14274363219738007
  Angle -4: cl=-0.3847901225090027, cd=0.09433076530694962, cm=-0.1295388787984848
  Angle -3: cl=-0.28097856044769287, cd=0.08765199780464172, cm=-0.11475153267383575
  Angle -2: cl=-0.21196816861629486, cd=0.08146953582763672, cm=-0.08902652561664581
  Angle -1: cl=-0.15436497330665588, cd=0.07896295189857483, cm=-0.059273943305015564
  Angle 0: cl=-0.09358881413936615, cd=0.07929154485464096, cm=-0.02992860972881317
  Angle 1: cl=-0.027268117293715477, cd=0.08146651089191437, cm=-0.006324902176856995
  Angle 2: cl=0.056766778230667114, cd=0.08659814298152924, cm=0.00519976019859314
  Angle 3: cl=0.2752024531364441, cd=0.07710757851600647, cm=0.007911458611488342
  Angle 4: cl=0.3578191101551056, cd=0.08322078734636307, cm=0.013513758778572083
  Angle 5: cl=0.44693249464035034, cd=0.08928360790014267, cm=0.01789592206478119
  Angle 6: cl=0.5376672744750977, cd=0.09622245281934738, cm=0.020699143409729004
  Angle 7: cl=0.6345524787902832, cd=0.09978946298360825, cm=0.01491093635559082
  Angle 8: cl=0.7262126803398132, cd=0.10330037772655487, cm=0.00798390805721283
  Angle 9: cl=0.8167974352836609, cd=0.10693150013685226, cm=-0.000433310866355896
  Angle 10: cl=0.9136657118797302, cd=0.11138685792684555, cm=-0.00900276005268097
Genotype [0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.023, 0.07644417156695688, -0.0034233608514805886, 0.0025, 9.160332114271688, 10.157301266968467]:
  Angle -10: cl=-0.5541500449180603, cd=0.2191973179578781, cm=-0.18673183023929596
  Angle -9: cl=-0.585054874420166, cd=0.18726979196071625, cm=-0.1829768866300583
  Angle -8: cl=-0.6088271737098694, cd=0.15218499302864075, cm=-0.1799006313085556
  Angle -7: cl=-0.6475200653076172, cd=0.12054412811994553, cm=-0.17130984365940094
  Angle -6: cl=-0.5979171395301819, cd=0.111109159886837, cm=-0.15740768611431122
  Angle -5: cl=-0.4995909333229065, cd=0.10225806385278702, cm=-0.14354003965854645
  Angle -4: cl=-0.3988463878631592, cd=0.09609930962324142, cm=-0.1295524388551712
  Angle -3: cl=-0.3026592433452606, cd=0.08920589834451675, cm=-0.11173747479915619
  Angle -2: cl=-0.24178427457809448, cd=0.08348290622234344, cm=-0.08378596603870392
  Angle -1: cl=-0.18175454437732697, cd=0.08089853078126907, cm=-0.05345357954502106
  Angle 0: cl=-0.11352460086345673, cd=0.08155504614114761, cm=-0.027597680687904358
  Angle 1: cl=-0.044116392731666565, cd=0.08432656526565552, cm=-0.006495997309684753
  Angle 2: cl=0.04253583401441574, cd=0.08917534351348877, cm=0.004207715392112732
  Angle 3: cl=0.2730826735496521, cd=0.07793440669775009, cm=0.004927292466163635
  Angle 4: cl=0.36455562710762024, cd=0.08366382122039795, cm=0.010041952133178711
  Angle 5: cl=0.4631638824939728, cd=0.08957548439502716, cm=0.012989923357963562
  Angle 6: cl=0.5611859560012817, cd=0.09607481211423874, cm=0.014940783381462097
  Angle 7: cl=0.6555431485176086, cd=0.10091269761323929, cm=0.012576460838317871
  Angle 8: cl=0.7473793029785156, cd=0.10418710112571716, cm=0.005119800567626953
  Angle 9: cl=0.8416021466255188, cd=0.10826680809259415, cm=-0.0032621771097183228
  Angle 10: cl=0.9385987520217896, cd=0.11319147050380707, cm=-0.012470200657844543
Genotype [0.0085, 0.4532687738452371, 0.13, -0.7530789503628846, 0.26, -0.023, 0.06341540290452058, -0.003, 0.0025, 9.160332114271688, 10.157301266968467]:
  Angle -10: cl=-0.5562877655029297, cd=0.22649812698364258, cm=-0.18817858397960663
  Angle -9: cl=-0.5840262174606323, cd=0.19356216490268707, cm=-0.18495194613933563
  Angle -8: cl=-0.6066485047340393, cd=0.1583961844444275, cm=-0.182997927069664
  Angle -7: cl=-0.6422823667526245, cd=0.12598146498203278, cm=-0.175367072224617
