Experiment: Nash_Combination_Experiment_1
Generation: 26
Generation Type: v
Timestamp: 20231226_022215

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.12874482790843828, -0.7830508607294394, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.386179093448582, 10.087099025552979] - Base Fitness: 0.12360653526942694, Adjusted Fitness: 0.12360653526942694
[0.0085, 0.43011443327376775, 0.13, -0.7647679715677376, 0.26, -0.023, 0.16061106902759426, -0.003, 0.0025, 7.401060951352542, 10.124419667656401] - Base Fitness: 0.14296780095799233, Adjusted Fitness: 0.14296780095799233
[0.0085, 0.46, 0.13, -0.7830508607294394, 0.26, -0.023, 0.1359306082612385, -0.003, 0.0025, 7.386179093448582, 10.093119022974243] - Base Fitness: 0.208947800019874, Adjusted Fitness: 0.208947800019874
[0.0085, 0.46, 0.11, -0.8213388098749517, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: -0.5569829966055793, Adjusted Fitness: -0.5569829966055793
[0.0085, 0.43011443327376775, 0.13, -0.7830508607294394, 0.26, -0.023, 0.1636519668428162, -0.003, 0.0025, 7.435399071661419, 10.124419667656401] - Base Fitness: 0.14073962092459943, Adjusted Fitness: 0.14073962092459943
[0.0085, 0.46, 0.13, -0.8213388098749517, 0.26, -0.023, 0.16061106902759426, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.19413287397859053, Adjusted Fitness: 0.19413287397859053
[0.0126, 0.46, 0.12874482790843828, -0.7830508607294394, 0.26, -0.023, 0.1359306082612385, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: -0.557983695973343, Adjusted Fitness: -0.557983695973343
[0.0085, 0.4307841757486379, 0.13, -0.8698818343092963, 0.26, -0.023, 0.15210927993613815, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.15757556448777016, Adjusted Fitness: 0.15757556448777016
[0.0085, 0.46, 0.12874482790843828, -0.7830508607294394, 0.26, -0.023, 0.1636519668428162, -0.003, 0.0025, 7.378926127377718, 10.124419667656401] - Base Fitness: 0.1401884624818615, Adjusted Fitness: 0.1401884624818615
[0.0085, 0.46, 0.13, -0.8507725333756836, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.373052729249194, 10.124419667656401] - Base Fitness: 0.17300507663838846, Adjusted Fitness: 0.17300507663838846
[0.0085, 0.46, 0.12874482790843828, -0.8064741915321436, 0.26, -0.023, 0.1359306082612385, -0.006, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: -0.29487147816263154, Adjusted Fitness: -0.29487147816263154
[0.0085, 0.43011443327376775, 0.13, -0.8507725333756836, 0.26, -0.023, 0.16061106902759426, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.1499183429916612, Adjusted Fitness: 0.1499183429916612
[0.0085, 0.43011443327376775, 0.13, -0.8587766130100992, 0.26, -0.023, 0.16061106902759426, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.15029415100378712, Adjusted Fitness: 0.15029415100378712
[0.0085, 0.46, 0.12874482790843828, -0.8213388098749517, 0.26, -0.015, 0.1359306082612385, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: -0.4765120183731111, Adjusted Fitness: -0.4765120183731111
[0.0085, 0.43011443327376775, 0.12874482790843828, -0.756298777222731, 0.26, -0.015, 0.1636519668428162, -0.006, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: -0.9123565261513055, Adjusted Fitness: -0.9123565261513055
[0.0085, 0.43011443327376775, 0.13, -0.7830508607294394, 0.26, -0.023, 0.1636519668428162, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.14332081531678764, Adjusted Fitness: 0.14332081531678764
[0.0085, 0.4307841757486379, 0.13, -0.8009656052597242, 0.26, -0.023, 0.1359306082612385, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.16244669925095223, Adjusted Fitness: 0.16244669925095223
[0.0085, 0.46, 0.12874482790843828, -0.7609946611872211, 0.26, -0.023, 0.16061106902759426, -0.003, 0.0025, 7.386179093448582, 10.124881746352628] - Base Fitness: 0.1399556731296104, Adjusted Fitness: 0.1399556731296104
[0.0085, 0.43011443327376775, 0.13, -0.7830508607294394, 0.26, -0.023, 0.19464294960839895, -0.003, 0.0025, 7.386179093448582, 10.078933824278296] - Base Fitness: 0.13022561532065696, Adjusted Fitness: 0.13022561532065696
[0.0085, 0.43011443327376775, 0.13, -0.7830508607294394, 0.26, -0.023, 0.1359306082612385, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.1596867488410133, Adjusted Fitness: 0.1596867488410133
[0.0085, 0.4307841757486379, 0.13, -0.8507725333756836, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.373052729249194, 10.124419667656401] - Base Fitness: 0.12924803509166105, Adjusted Fitness: 0.12924803509166105
[0.0085, 0.41, 0.13, -0.8507725333756836, 0.26, -0.023, 0.1636519668428162, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.079203713825729, Adjusted Fitness: 0.079203713825729
[0.0085, 0.4307841757486379, 0.13, -0.7830508607294394, 0.26, -0.023, 0.1636519668428162, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.14501796998999195, Adjusted Fitness: 0.14501796998999195
[0.0085, 0.46, 0.12874482790843828, -0.7830508607294394, 0.22842138151664682, -0.023, 0.1636519668428162, -0.003, 0.0025, 7.386179093448582, 10.144951935816025] - Base Fitness: -0.7144262153770318, Adjusted Fitness: -0.7144262153770318
[0.0085, 0.43011443327376775, 0.13, -0.8507725333756836, 0.26, -0.023, 0.16061106902759426, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.1499183429916612, Adjusted Fitness: 0.1499183429916612
[0.0085, 0.46, 0.12874482790843828, -0.7830508607294394, 0.26, -0.015, 0.1636519668428162, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: -0.49365012360797367, Adjusted Fitness: -0.49365012360797367
[0.0085, 0.43011443327376775, 0.13, -0.7830508607294394, 0.26, -0.023, 0.1636519668428162, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.14332081531678764, Adjusted Fitness: 0.14332081531678764
[0.0085, 0.4307841757486379, 0.13, -0.8507725333756836, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.12852528158407536, Adjusted Fitness: 0.12852528158407536
[0.0085, 0.46, 0.12874482790843828, -0.7830508607294394, 0.2403820793094523, -0.023, 0.14932163575104287, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: -0.35045708923568125, Adjusted Fitness: -0.35045708923568125
[0.0085, 0.43011443327376775, 0.13, -0.7830508607294394, 0.26, -0.023, 0.1359306082612385, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.1596867488410133, Adjusted Fitness: 0.1596867488410133
[0.0085, 0.46, 0.12874482790843828, -0.7609946611872211, 0.25632976230135185, -0.023, 0.19330075144319803, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.03805102692785391, Adjusted Fitness: 0.03805102692785391
[0.0085, 0.43011443327376775, 0.12874482790843828, -0.7609946611872211, 0.26, -0.023, 0.19330075144319803, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.08001755395773312, Adjusted Fitness: 0.08001755395773312
[0.0085, 0.4307841757486379, 0.13, -0.8507725333756836, 0.26, -0.023, 0.1636519668428162, -0.003, 0.0025, 7.386179093448582, 10.087099025552979] - Base Fitness: 0.15367301686085566, Adjusted Fitness: 0.15367301686085566
[0.0085, 0.43011443327376775, 0.13, -0.8213388098749517, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.386179093448582, 10.087099025552979] - Base Fitness: 0.12868597105963608, Adjusted Fitness: 0.12868597105963608
[0.0085, 0.46, 0.13, -0.7830508607294394, 0.26, -0.023, 0.16061106902759426, -0.003, 0.0025, 7.435399071661419, 10.124419667656401] - Base Fitness: 0.18851831420106052, Adjusted Fitness: 0.18851831420106052
[0.0085, 0.46, 0.12874482790843828, -0.8213388098749517, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.386179093448582, 10.087099025552979] - Base Fitness: 0.12582237272947694, Adjusted Fitness: 0.12582237272947694
[0.0085, 0.46, 0.12874482790843828, -0.7830508607294394, 0.26, -0.023, 0.16061106902759426, -0.003, 0.0025, 7.435399071661419, 10.124419667656401] - Base Fitness: 0.13951955325981902, Adjusted Fitness: 0.13951955325981902
[0.0085, 0.43011443327376775, 0.13, -0.7830508607294394, 0.26, -0.023, 0.16061106902759426, -0.006, 0.0025, 7.435399071661419, 10.124419667656401] - Base Fitness: -0.28629743698654514, Adjusted Fitness: -0.28629743698654514
[0.0085, 0.43011443327376775, 0.13, -0.7830508607294394, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.386179093448582, 10.087099025552979] - Base Fitness: 0.12631291283369694, Adjusted Fitness: 0.12631291283369694
[0.0085, 0.43011443327376775, 0.13, -0.8507725333756836, 0.26, -0.023, 0.16061106902759426, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.1499183429916612, Adjusted Fitness: 0.1499183429916612
[0.0085, 0.46, 0.12874482790843828, -0.7830508607294394, 0.26, -0.023, 0.1359306082612385, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.15597328884368408, Adjusted Fitness: 0.15597328884368408
[0.0085, 0.41, 0.13, -0.8507725333756836, 0.26, -0.023, 0.1636519668428162, -0.003, 0.0025, 7.386179093448582, 10.087099025552979] - Base Fitness: 0.08278144306862445, Adjusted Fitness: 0.08278144306862445
[0.0085, 0.46, 0.12874482790843828, -0.7830508607294394, 0.26, -0.023, 0.1359306082612385, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.15597328884368408, Adjusted Fitness: 0.15597328884368408
[0.0085, 0.46, 0.12874482790843828, -0.8213388098749517, 0.26, -0.023, 0.1359306082612385, -0.003, 0.0025, 7.386179093448582, 10.078933824278296] - Base Fitness: 0.16334031811437688, Adjusted Fitness: 0.16334031811437688
[0.0085, 0.4220719982436399, 0.13, -0.7830508607294394, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.386179093448582, 10.126382740391987] - Base Fitness: 0.097321287004986, Adjusted Fitness: 0.097321287004986
[0.0085, 0.43011443327376775, 0.13, -0.7830508607294394, 0.23100924308797358, -0.023, 0.2, -0.003, 0.0025, 7.386179093448582, 10.087099025552979] - Base Fitness: -0.6136482168668369, Adjusted Fitness: -0.6136482168668369
[0.0085, 0.46, 0.12874482790843828, -0.8507725333756836, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.373052729249194, 10.124419667656401] - Base Fitness: 0.1240490457636756, Adjusted Fitness: 0.1240490457636756
[0.0085, 0.43011443327376775, 0.13, -0.8507725333756836, 0.26, -0.023, 0.19330075144319803, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.1307505520026542, Adjusted Fitness: 0.1307505520026542
[0.0085, 0.43011443327376775, 0.13, -0.8213388098749517, 0.26, -0.023, 0.1359306082612385, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.1621433524745287, Adjusted Fitness: 0.1621433524745287
[0.0085, 0.43011443327376775, 0.13, -0.7830508607294394, 0.26, -0.023, 0.1636519668428162, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.14332081531678764, Adjusted Fitness: 0.14332081531678764

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.12874482790843828, -0.7830508607294394, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.386179093448582, 10.087099025552979]:
  Angle -10: cl=-0.5665339231491089, cd=0.23150776326656342, cm=-0.18917809426784515
  Angle -9: cl=-0.5973387360572815, cd=0.1988624483346939, cm=-0.18528617918491364
  Angle -8: cl=-0.6199952960014343, cd=0.16365116834640503, cm=-0.18342171609401703
  Angle -7: cl=-0.6596753597259521, cd=0.12906211614608765, cm=-0.17804108560085297
  Angle -6: cl=-0.6149301528930664, cd=0.11510530114173889, cm=-0.1631568819284439
  Angle -5: cl=-0.5090250968933105, cd=0.10392327606678009, cm=-0.1501670628786087
  Angle -4: cl=-0.41506123542785645, cd=0.09869050234556198, cm=-0.13705022633075714
  Angle -3: cl=-0.3126649856567383, cd=0.09259294718503952, cm=-0.12312464416027069
  Angle -2: cl=-0.2348857820034027, cd=0.08702267706394196, cm=-0.10010205209255219
  Angle -1: cl=-0.1746537685394287, cd=0.08235053718090057, cm=-0.07100306451320648
  Angle 0: cl=-0.10754060745239258, cd=0.08171545714139938, cm=-0.04224906861782074
  Angle 1: cl=-0.024786097928881645, cd=0.08215874433517456, cm=-0.02034600079059601
  Angle 2: cl=0.05823615938425064, cd=0.08297005295753479, cm=-0.005018934607505798
  Angle 3: cl=0.29231515526771545, cd=0.06880354881286621, cm=-0.0013754814863204956
  Angle 4: cl=0.39876589179039, cd=0.07357057929039001, cm=0.0029912441968917847
  Angle 5: cl=0.4971246123313904, cd=0.08181949704885483, cm=0.006468608975410461
  Angle 6: cl=0.5905501246452332, cd=0.08887229114770889, cm=0.008647173643112183
  Angle 7: cl=0.6804208755493164, cd=0.09546452015638351, cm=0.011031314730644226
  Angle 8: cl=0.7706155180931091, cd=0.10154830664396286, cm=0.011368855834007263
  Angle 9: cl=0.8654212951660156, cd=0.10555225610733032, cm=0.003248438239097595
  Angle 10: cl=0.9648883938789368, cd=0.11009868234395981, cm=-0.00473417341709137
Genotype [0.0085, 0.43011443327376775, 0.13, -0.7647679715677376, 0.26, -0.023, 0.16061106902759426, -0.003, 0.0025, 7.401060951352542, 10.124419667656401]:
  Angle -10: cl=-0.558912456035614, cd=0.23258955776691437, cm=-0.18758316338062286
  Angle -9: cl=-0.5947641134262085, cd=0.20178525149822235, cm=-0.18011610209941864
  Angle -8: cl=-0.6237274408340454, cd=0.16869638860225677, cm=-0.176300510764122
  Angle -7: cl=-0.6508902311325073, cd=0.13359597325325012, cm=-0.17160148918628693
  Angle -6: cl=-0.6197080612182617, cd=0.11865364760160446, cm=-0.1590851992368698
  Angle -5: cl=-0.5043590664863586, cd=0.10648895800113678, cm=-0.14676831662654877
  Angle -4: cl=-0.38572168350219727, cd=0.09594912827014923, cm=-0.13524995744228363
  Angle -3: cl=-0.28170982003211975, cd=0.08929461240768433, cm=-0.12053169310092926
  Angle -2: cl=-0.20049095153808594, cd=0.08326927572488785, cm=-0.09932874143123627
  Angle -1: cl=-0.14275090396404266, cd=0.08007265627384186, cm=-0.07001616060733795
  Angle 0: cl=-0.08226657658815384, cd=0.07989011704921722, cm=-0.039676979184150696
  Angle 1: cl=-0.012493187561631203, cd=0.08091799169778824, cm=-0.014424905180931091
  Angle 2: cl=0.06768912076950073, cd=0.08233393728733063, cm=0.0006648898124694824
  Angle 3: cl=0.29999715089797974, cd=0.0709015280008316, cm=0.0035343170166015625
  Angle 4: cl=0.38515999913215637, cd=0.07672548294067383, cm=0.00907987356185913
  Angle 5: cl=0.4771488904953003, cd=0.084261454641819, cm=0.012954175472259521
  Angle 6: cl=0.5672106742858887, cd=0.09184478223323822, cm=0.015917718410491943
  Angle 7: cl=0.6587711572647095, cd=0.0987183228135109, cm=0.01783880591392517
  Angle 8: cl=0.7501215934753418, cd=0.10194668173789978, cm=0.011013776063919067
  Angle 9: cl=0.8408645391464233, cd=0.10556063055992126, cm=0.0026642978191375732
  Angle 10: cl=0.9387089014053345, cd=0.10986988246440887, cm=-0.0054283589124679565
Genotype [0.0085, 0.46, 0.13, -0.7830508607294394, 0.26, -0.023, 0.1359306082612385, -0.003, 0.0025, 7.386179093448582, 10.093119022974243]:
  Angle -10: cl=-0.5648585557937622, cd=0.23251642286777496, cm=-0.18951864540576935
  Angle -9: cl=-0.591671347618103, cd=0.19940303266048431, cm=-0.18600790202617645
  Angle -8: cl=-0.6146982908248901, cd=0.1644984781742096, cm=-0.18468864262104034
  Angle -7: cl=-0.6536097526550293, cd=0.12990985810756683, cm=-0.1794542521238327
  Angle -6: cl=-0.6086018681526184, cd=0.11534062772989273, cm=-0.16463996469974518
  Angle -5: cl=-0.502627968788147, cd=0.10404367744922638, cm=-0.15144629776477814
  Angle -4: cl=-0.41108760237693787, cd=0.09914952516555786, cm=-0.13817711174488068
  Angle -3: cl=-0.3091181218624115, cd=0.09329583495855331, cm=-0.12457050383090973
  Angle -2: cl=-0.23083877563476562, cd=0.08786926418542862, cm=-0.10207568109035492
  Angle -1: cl=-0.16992871463298798, cd=0.08312217146158218, cm=-0.07290865480899811
  Angle 0: cl=-0.0985928475856781, cd=0.08229878544807434, cm=-0.04471351206302643
  Angle 1: cl=-0.015177356079220772, cd=0.08283903449773788, cm=-0.022831037640571594
  Angle 2: cl=0.06800314784049988, cd=0.0836641862988472, cm=-0.007608756422996521
  Angle 3: cl=0.30472537875175476, cd=0.06789212673902512, cm=-0.0028088539838790894
  Angle 4: cl=0.4139115512371063, cd=0.07301861047744751, cm=0.001613512635231018
  Angle 5: cl=0.5124759674072266, cd=0.08126602321863174, cm=0.0050166696310043335
  Angle 6: cl=0.6057078242301941, cd=0.08834773302078247, cm=0.007167160511016846
  Angle 7: cl=0.695682168006897, cd=0.09494028985500336, cm=0.009633287787437439
  Angle 8: cl=0.7857583165168762, cd=0.10150674730539322, cm=0.01114434003829956
  Angle 9: cl=0.8811072707176208, cd=0.1055731400847435, cm=0.0029525011777877808
  Angle 10: cl=0.9802032709121704, cd=0.11123938858509064, cm=-0.004935368895530701
Genotype [0.0085, 0.46, 0.11, -0.8213388098749517, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.386179093448582, 10.124419667656401]:
  Angle -10: cl=-0.6170226335525513, cd=0.23056550323963165, cm=-0.18805961310863495
  Angle -9: cl=-0.6537216305732727, cd=0.2001657783985138, cm=-0.18030132353305817
  Angle -8: cl=-0.697069525718689, cd=0.1691395491361618, cm=-0.17443780601024628
  Angle -7: cl=-0.7168189287185669, cd=0.13719609379768372, cm=-0.1697317212820053
  Angle -6: cl=-0.6666584014892578, cd=0.12412790954113007, cm=-0.15626998245716095
  Angle -5: cl=-0.5730735659599304, cd=0.10939178615808487, cm=-0.14353926479816437
  Angle -4: cl=-0.4607764184474945, cd=0.09731384366750717, cm=-0.13121552765369415
  Angle -3: cl=-0.33426186442375183, cd=0.08629024028778076, cm=-0.11892677843570709
  Angle -2: cl=-0.24226674437522888, cd=0.07918867468833923, cm=-0.09768219292163849
  Angle -1: cl=-0.18171845376491547, cd=0.07515346258878708, cm=-0.06996177136898041
  Angle 0: cl=-0.12354910373687744, cd=0.07484142482280731, cm=-0.0398322194814682
  Angle 1: cl=-0.06560664623975754, cd=0.07666608691215515, cm=-0.014188095927238464
  Angle 2: cl=0.0024141017347574234, cd=0.08228356391191483, cm=-0.000199049711227417
  Angle 3: cl=0.16264739632606506, cd=0.07705040276050568, cm=0.004746183753013611
  Angle 4: cl=0.30016061663627625, cd=0.07593061774969101, cm=0.009521767497062683
  Angle 5: cl=0.38228484988212585, cd=0.0813404992222786, cm=0.014659777283668518
  Angle 6: cl=0.46728092432022095, cd=0.08783698827028275, cm=0.017619401216506958
  Angle 7: cl=0.5526229739189148, cd=0.09503607451915741, cm=0.020603224635124207
  Angle 8: cl=0.6418333053588867, cd=0.10027450323104858, cm=0.01983654499053955
  Angle 9: cl=0.7314481139183044, cd=0.10331293940544128, cm=0.012440517544746399
  Angle 10: cl=0.8271681666374207, cd=0.10748986899852753, cm=0.004400268197059631
Genotype [0.0085, 0.43011443327376775, 0.13, -0.7830508607294394, 0.26, -0.023, 0.1636519668428162, -0.003, 0.0025, 7.435399071661419, 10.124419667656401]:
  Angle -10: cl=-0.5586264729499817, cd=0.23243381083011627, cm=-0.1875278800725937
  Angle -9: cl=-0.5945119857788086, cd=0.20157183706760406, cm=-0.18011803925037384
  Angle -8: cl=-0.6233296394348145, cd=0.1684228777885437, cm=-0.17625142633914948
  Angle -7: cl=-0.6504772305488586, cd=0.13342228531837463, cm=-0.17146186530590057
  Angle -6: cl=-0.619110107421875, cd=0.11852496862411499, cm=-0.15898405015468597
  Angle -5: cl=-0.5042813420295715, cd=0.10639522224664688, cm=-0.14668287336826324
  Angle -4: cl=-0.38580334186553955, cd=0.09592204540967941, cm=-0.13512031733989716
  Angle -3: cl=-0.28179672360420227, cd=0.08926336467266083, cm=-0.12040452659130096
  Angle -2: cl=-0.2011755406856537, cd=0.0832623764872551, cm=-0.09907419979572296
  Angle -1: cl=-0.14327533543109894, cd=0.08004185557365417, cm=-0.06970207393169403
  Angle 0: cl=-0.08255539834499359, cd=0.07986082136631012, cm=-0.03937976062297821
  Angle 1: cl=-0.012944472953677177, cd=0.08096655458211899, cm=-0.014211103320121765
  Angle 2: cl=0.06713399291038513, cd=0.0824500247836113, cm=0.0007959902286529541
  Angle 3: cl=0.29926010966300964, cd=0.07107421010732651, cm=0.0036568790674209595
  Angle 4: cl=0.38453754782676697, cd=0.07686097174882889, cm=0.00913006067276001
  Angle 5: cl=0.4765417277812958, cd=0.0843852236866951, cm=0.013033658266067505
  Angle 6: cl=0.5664922595024109, cd=0.09195481985807419, cm=0.016007661819458008
  Angle 7: cl=0.6582796573638916, cd=0.0987887904047966, cm=0.017877772450447083
  Angle 8: cl=0.7495448589324951, cd=0.10198362171649933, cm=0.010930925607681274
  Angle 9: cl=0.8404299020767212, cd=0.10559797286987305, cm=0.0025824308395385742
  Angle 10: cl=0.9383982419967651, cd=0.10992174595594406, cm=-0.005523130297660828
Genotype [0.0085, 0.46, 0.13, -0.8213388098749517, 0.26, -0.023, 0.16061106902759426, -0.003, 0.0025, 7.386179093448582, 10.124419667656401]:
  Angle -10: cl=-0.5642392635345459, cd=0.2320796400308609, cm=-0.18927328288555145
  Angle -9: cl=-0.5915320515632629, cd=0.19892627000808716, cm=-0.18585239350795746
  Angle -8: cl=-0.6144532561302185, cd=0.16397465765476227, cm=-0.18449176847934723
  Angle -7: cl=-0.6537760496139526, cd=0.12946106493473053, cm=-0.1790197640657425
  Angle -6: cl=-0.6086617708206177, cd=0.11491721868515015, cm=-0.16416384279727936
  Angle -5: cl=-0.5040672421455383, cd=0.10402575135231018, cm=-0.15102259814739227
  Angle -4: cl=-0.411776065826416, cd=0.0990852415561676, cm=-0.1377299278974533
  Angle -3: cl=-0.3097981810569763, cd=0.09316664189100266, cm=-0.12400709092617035
  Angle -2: cl=-0.2325410544872284, cd=0.08774539828300476, cm=-0.10125477612018585
  Angle -1: cl=-0.17163164913654327, cd=0.08296772092580795, cm=-0.07207171618938446
  Angle 0: cl=-0.10086260735988617, cd=0.08219495415687561, cm=-0.04390253126621246
  Angle 1: cl=-0.017466982826590538, cd=0.08275225758552551, cm=-0.02205662429332733
  Angle 2: cl=0.06541930884122849, cd=0.08353828638792038, cm=-0.0067139118909835815
  Angle 3: cl=0.3039451241493225, cd=0.06787392497062683, cm=-0.0022866278886795044
  Angle 4: cl=0.410671591758728, cd=0.07331489026546478, cm=0.001973852515220642
  Angle 5: cl=0.5091160535812378, cd=0.08158224821090698, cm=0.0054196566343307495
  Angle 6: cl=0.6029583811759949, cd=0.08860079199075699, cm=0.007541969418525696
  Angle 7: cl=0.6927364468574524, cd=0.0951865017414093, cm=0.00995345413684845
  Angle 8: cl=0.7830365300178528, cd=0.10156891494989395, cm=0.010966718196868896
  Angle 9: cl=0.8783277273178101, cd=0.10564792156219482, cm=0.0027896463871002197
  Angle 10: cl=0.9771896600723267, cd=0.1112435981631279, cm=-0.005121663212776184
Genotype [0.0126, 0.46, 0.12874482790843828, -0.7830508607294394, 0.26, -0.023, 0.1359306082612385, -0.003, 0.0025, 7.386179093448582, 10.124419667656401]:
