Experiment: Nash_Combination_Experiment_1
Generation: 44
Generation Type: v
Timestamp: 20231226_022601

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.386179093448582, 10.089890787977607] - Base Fitness: 0.24336231949974896, Adjusted Fitness: 0.24336231949974896
[0.0085, 0.46, 0.13, -0.8981048074327265, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.4149448740943065, 10.047464779980094] - Base Fitness: 0.24684514154614665, Adjusted Fitness: 0.24684514154614665
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.4149448740943065, 10.042344053022282] - Base Fitness: 0.24732488993815008, Adjusted Fitness: 0.24732488993815008
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.399270573656018, 10.089890787977607] - Base Fitness: 0.24291962772159806, Adjusted Fitness: 0.24291962772159806
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.4149448740943065, 10.093119022974243] - Base Fitness: 0.24179935534000113, Adjusted Fitness: 0.24179935534000113
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.425473236609879, 10.085621973734108] - Base Fitness: 0.24200827258051588, Adjusted Fitness: 0.24200827258051588
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.4149448740943065, 10.047464779980094] - Base Fitness: 0.2470782732352804, Adjusted Fitness: 0.2470782732352804
[0.0085, 0.46, 0.13, -0.8593598946041543, 0.26, -0.023, 0.08941748268760871, -0.006, 0.0025, 7.386179093448582, 10.089890787977607] - Base Fitness: -0.2223866428065312, Adjusted Fitness: -0.2223866428065312
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.362405182222198, 10.089890787977607] - Base Fitness: 0.24443630732565994, Adjusted Fitness: 0.24443630732565994
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.424164858646054, 10.124419667656401] - Base Fitness: 0.23799866847820414, Adjusted Fitness: 0.23799866847820414
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.424164858646054, 10.124419667656401] - Base Fitness: 0.23799866847820414, Adjusted Fitness: 0.23799866847820414
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.386179093448582, 10.089890787977607] - Base Fitness: 0.24336231949974896, Adjusted Fitness: 0.24336231949974896
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.399270573656018, 10.089890787977607] - Base Fitness: 0.24291962772159806, Adjusted Fitness: 0.24291962772159806
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.4149448740943065, 10.047464779980094] - Base Fitness: 0.2470782732352804, Adjusted Fitness: 0.2470782732352804
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.386179093448582, 10.089890787977607] - Base Fitness: 0.2433644275441116, Adjusted Fitness: 0.2433644275441116
[0.0085, 0.42562866394960297, 0.13, -0.8991728157490619, 0.26, -0.023, 0.06146551607020363, -0.003, 0.0025, 7.425473236609879, 10.124419667656401] - Base Fitness: 0.19395665330155556, Adjusted Fitness: 0.1943174461483257
[0.0085, 0.44918968776437374, 0.13, -0.9, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.449063330105523, 10.089890787977607] - Base Fitness: 0.23318893672583735, Adjusted Fitness: 0.23318893672583735
[0.0085, 0.46, 0.13, -0.8981048074327265, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.386179093448582, 10.089890787977607] - Base Fitness: 0.24329967671705596, Adjusted Fitness: 0.24329967671705596
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.2398442769483248, Adjusted Fitness: 0.2398442769483248
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.386179093448582, 10.093119022974243] - Base Fitness: 0.24290905103985214, Adjusted Fitness: 0.24290905103985214
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.424164858646054, 10.118081279765496] - Base Fitness: 0.2388563036542014, Adjusted Fitness: 0.2388563036542014
[0.0085, 0.44918968776437374, 0.13, -0.9, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.386179093448582, 10.089890787977607] - Base Fitness: 0.23640880370656064, Adjusted Fitness: 0.23640880370656064
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.424164858646054, 10.124419667656401] - Base Fitness: 0.23799866847820414, Adjusted Fitness: 0.23799866847820414
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.353821083694039, 10.124419667656401] - Base Fitness: 0.24091903398097442, Adjusted Fitness: 0.24091903398097442
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.08941748268760871, -0.003, 0.0025, 7.40885064760487, 10.124419667656401] - Base Fitness: -0.40312545904975594, Adjusted Fitness: -0.40312545904975594
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.08941748268760871, -0.003, 0.0025, 7.424164858646054, 10.124419667656401] - Base Fitness: -0.40354649809731136, Adjusted Fitness: -0.40354649809731136
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.09807904884854271, -0.003, 0.0025, 7.386179093448582, 10.089890787977607] - Base Fitness: 0.23874149761017432, Adjusted Fitness: 0.23874149761017432
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.424164858646054, 10.124419667656401] - Base Fitness: 0.23821306210565155, Adjusted Fitness: 0.23821306210565155
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.386179093448582, 10.089890787977607] - Base Fitness: 0.2433644275441116, Adjusted Fitness: 0.2433644275441116
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.4149448740943065, 10.047464779980094] - Base Fitness: 0.2470782732352804, Adjusted Fitness: 0.2470782732352804
[0.0126, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.386179093448582, 10.089890787977607] - Base Fitness: -0.474669398697666, Adjusted Fitness: -0.4746582508791082
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.2398442769483248, Adjusted Fitness: 0.2398442769483248
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.386179093448582, 10.089890787977607] - Base Fitness: 0.24336231949974896, Adjusted Fitness: 0.24336231949974896
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.430639420278145, 10.124419667656401] - Base Fitness: 0.23773058233809966, Adjusted Fitness: 0.23773058233809966
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.12113237940968573, -0.003, 0.0025, 7.386179093448582, 10.089890787977607] - Base Fitness: 0.22556318768237868, Adjusted Fitness: 0.22571638270184657
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.4149448740943065, 10.042344053022282] - Base Fitness: 0.24730447353808854, Adjusted Fitness: 0.24730447353808854
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.23992329585764244, Adjusted Fitness: 0.23992329585764244
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.425473236609879, 10.085621973734108] - Base Fitness: 0.24200827258051588, Adjusted Fitness: 0.24200827258051588
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.403184506424698, 10.093119022974243] - Base Fitness: 0.24238627217058223, Adjusted Fitness: 0.24238627217058223
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.006, 0.0025, 7.4149448740943065, 10.093119022974243] - Base Fitness: -0.22190083563500554, Adjusted Fitness: -0.22190083563500554
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.4149448740943065, 10.047464779980094] - Base Fitness: 0.2470782732352804, Adjusted Fitness: 0.2470782732352804
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.425473236609879, 10.085621973734108] - Base Fitness: 0.24200827258051588, Adjusted Fitness: 0.24200827258051588
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.386179093448582, 10.124419667656401] - Base Fitness: 0.2398442769483248, Adjusted Fitness: 0.2398442769483248
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.424164858646054, 10.124419667656401] - Base Fitness: 0.23821306210565155, Adjusted Fitness: 0.23821306210565155
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.386179093448582, 10.093119022974243] - Base Fitness: 0.24290905103985214, Adjusted Fitness: 0.24290905103985214
[0.0085, 0.46, 0.11, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.386179093448582, 10.089890787977607] - Base Fitness: -0.48708555481920895, Adjusted Fitness: -0.4782561070447512
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.386179093448582, 10.089890787977607] - Base Fitness: 0.2433644275441116, Adjusted Fitness: 0.2433644275441116
[0.0085, 0.46, 0.13, -0.8797670909006746, 0.26, -0.023, 0.11341504200499239, -0.003, 0.0025, 7.340255506683977, 10.089890787977607] - Base Fitness: 0.23043119328292397, Adjusted Fitness: 0.2304723806262646
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.424164858646054, 10.102064554307011] - Base Fitness: 0.24065854150736754, Adjusted Fitness: 0.24065854150736754
[0.0085, 0.46, 0.12848664991527697, -0.8991728157490619, 0.26, -0.023, 0.06146551607020363, -0.003, 0.0025, 7.425473236609879, 10.124419667656401] - Base Fitness: 0.19358941353380948, Adjusted Fitness: 0.19562949903682741

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.386179093448582, 10.089890787977607]:
  Angle -10: cl=-0.5651898980140686, cd=0.23321577906608582, cm=-0.18981893360614777
  Angle -9: cl=-0.5915194153785706, cd=0.20019695162773132, cm=-0.1863163262605667
  Angle -8: cl=-0.6142785549163818, cd=0.1653214991092682, cm=-0.18517525494098663
  Angle -7: cl=-0.6531338691711426, cd=0.13056859374046326, cm=-0.1802133470773697
  Angle -6: cl=-0.6069260239601135, cd=0.11594074964523315, cm=-0.16549237072467804
  Angle -5: cl=-0.49977755546569824, cd=0.10413553565740585, cm=-0.15228228271007538
  Angle -4: cl=-0.40879616141319275, cd=0.09931240230798721, cm=-0.13898496329784393
  Angle -3: cl=-0.3071751296520233, cd=0.09350963681936264, cm=-0.1254257708787918
  Angle -2: cl=-0.22761690616607666, cd=0.08818383514881134, cm=-0.10347683727741241
  Angle -1: cl=-0.16642296314239502, cd=0.08341719210147858, cm=-0.0743161290884018
  Angle 0: cl=-0.09402433782815933, cd=0.08254662156105042, cm=-0.0462581068277359
  Angle 1: cl=-0.01067931018769741, cd=0.08300511538982391, cm=-0.024193182587623596
  Angle 2: cl=0.07310015708208084, cd=0.08389690518379211, cm=-0.009025707840919495
  Angle 3: cl=0.308605432510376, cd=0.06831207871437073, cm=-0.004253849387168884
  Angle 4: cl=0.4210672378540039, cd=0.07253521680831909, cm=0.0008199512958526611
  Angle 5: cl=0.5195058584213257, cd=0.08080540597438812, cm=0.004262745380401611
  Angle 6: cl=0.6119202375411987, cd=0.08794772624969482, cm=0.0065247416496276855
  Angle 7: cl=0.7018139958381653, cd=0.09454765170812607, cm=0.008992552757263184
  Angle 8: cl=0.7919158339500427, cd=0.10121940076351166, cm=0.01079656183719635
  Angle 9: cl=0.8872364163398743, cd=0.10548164695501328, cm=0.0032028406858444214
  Angle 10: cl=0.9865787625312805, cd=0.11139652878046036, cm=-0.004733338952064514
Genotype [0.0085, 0.46, 0.13, -0.8981048074327265, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.4149448740943065, 10.047464779980094]:
  Angle -10: cl=-0.5650572180747986, cd=0.23315446078777313, cm=-0.18987272679805756
  Angle -9: cl=-0.5914895534515381, cd=0.20011666417121887, cm=-0.18635492026805878
  Angle -8: cl=-0.6140710711479187, cd=0.1652245819568634, cm=-0.18525762856006622
  Angle -7: cl=-0.6528670787811279, cd=0.13058798015117645, cm=-0.18025396764278412
  Angle -6: cl=-0.6064344048500061, cd=0.11590881645679474, cm=-0.16554872691631317
  Angle -5: cl=-0.4991922974586487, cd=0.10412425547838211, cm=-0.15230481326580048
  Angle -4: cl=-0.4087696373462677, cd=0.09932485222816467, cm=-0.1389647275209427
  Angle -3: cl=-0.30701735615730286, cd=0.09352239966392517, cm=-0.1254120022058487
  Angle -2: cl=-0.22759103775024414, cd=0.08818863332271576, cm=-0.10344494879245758
  Angle -1: cl=-0.1665082424879074, cd=0.08343378454446793, cm=-0.07429100573062897
  Angle 0: cl=-0.09377311915159225, cd=0.08254996687173843, cm=-0.046252891421318054
  Angle 1: cl=-0.010038571432232857, cd=0.0830342024564743, cm=-0.024289116263389587
  Angle 2: cl=0.07354822754859924, cd=0.08393241465091705, cm=-0.009090825915336609
  Angle 3: cl=0.3093128204345703, cd=0.06830960512161255, cm=-0.004300162196159363
  Angle 4: cl=0.4217236638069153, cd=0.07256118208169937, cm=0.0008165985345840454
  Angle 5: cl=0.5200376510620117, cd=0.08081527054309845, cm=0.004247710108757019
  Angle 6: cl=0.6125845313072205, cd=0.08795630186796188, cm=0.0064776986837387085
  Angle 7: cl=0.7022697329521179, cd=0.09455569088459015, cm=0.008958294987678528
  Angle 8: cl=0.7926065921783447, cd=0.1012069582939148, cm=0.010696172714233398
  Angle 9: cl=0.8879017233848572, cd=0.1055043414235115, cm=0.003144398331642151
  Angle 10: cl=0.9869940280914307, cd=0.11150792986154556, cm=-0.004746362566947937
Genotype [0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.4149448740943065, 10.042344053022282]:
  Angle -10: cl=-0.5650764107704163, cd=0.23317261040210724, cm=-0.18987451493740082
  Angle -9: cl=-0.5915112495422363, cd=0.2001463919878006, cm=-0.18636642396450043
  Angle -8: cl=-0.6140620112419128, cd=0.16524676978588104, cm=-0.1852550059556961
  Angle -7: cl=-0.6528829336166382, cd=0.13058824837207794, cm=-0.1802632063627243
  Angle -6: cl=-0.6064096093177795, cd=0.11591845005750656, cm=-0.16559256613254547
  Angle -5: cl=-0.49919193983078003, cd=0.10412365943193436, cm=-0.1523044854402542
  Angle -4: cl=-0.40861696004867554, cd=0.09931760281324387, cm=-0.13898198306560516
  Angle -3: cl=-0.3069956302642822, cd=0.09353230893611908, cm=-0.12545140087604523
  Angle -2: cl=-0.22754287719726562, cd=0.08819591253995895, cm=-0.10348676145076752
  Angle -1: cl=-0.16642768681049347, cd=0.08344125002622604, cm=-0.07430683076381683
  Angle 0: cl=-0.09374446421861649, cd=0.08255792409181595, cm=-0.046286001801490784
  Angle 1: cl=-0.010098369792103767, cd=0.08302359282970428, cm=-0.024291738867759705
  Angle 2: cl=0.07370752096176147, cd=0.0839364156126976, cm=-0.0091143399477005
  Angle 3: cl=0.3093903362751007, cd=0.0682910829782486, cm=-0.004335805773735046
  Angle 4: cl=0.4217805862426758, cd=0.07254907488822937, cm=0.0008017569780349731
  Angle 5: cl=0.5202178955078125, cd=0.08080670237541199, cm=0.00421297550201416
  Angle 6: cl=0.6126341223716736, cd=0.08795154094696045, cm=0.006478250026702881
  Angle 7: cl=0.702402651309967, cd=0.09454931318759918, cm=0.008946731686592102
  Angle 8: cl=0.7926875352859497, cd=0.10120557993650436, cm=0.01068037748336792
  Angle 9: cl=0.8879615068435669, cd=0.10550708323717117, cm=0.003138229250907898
  Angle 10: cl=0.9870596528053284, cd=0.11152109503746033, cm=-0.004739150404930115
Genotype [0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.399270573656018, 10.089890787977607]:
  Angle -10: cl=-0.5651248693466187, cd=0.23314325511455536, cm=-0.18981395661830902
  Angle -9: cl=-0.5914603471755981, cd=0.2001446634531021, cm=-0.18631969392299652
  Angle -8: cl=-0.614253044128418, cd=0.16526839137077332, cm=-0.18518386781215668
  Angle -7: cl=-0.653118908405304, cd=0.13054414093494415, cm=-0.1801937371492386
  Angle -6: cl=-0.6066315770149231, cd=0.11587359011173248, cm=-0.16546903550624847
  Angle -5: cl=-0.4996563196182251, cd=0.10411682724952698, cm=-0.15225137770175934
  Angle -4: cl=-0.40887558460235596, cd=0.09930270165205002, cm=-0.13895262777805328
  Angle -3: cl=-0.3072052299976349, cd=0.09349233657121658, cm=-0.12536664307117462
  Angle -2: cl=-0.2276204228401184, cd=0.08817152678966522, cm=-0.10342349112033844
  Angle -1: cl=-0.1666802018880844, cd=0.0834232047200203, cm=-0.07424943149089813
  Angle 0: cl=-0.09418987482786179, cd=0.08253917098045349, cm=-0.0461716502904892
  Angle 1: cl=-0.010644955560564995, cd=0.08301320672035217, cm=-0.024167701601982117
  Angle 2: cl=0.07301396876573563, cd=0.0838792473077774, cm=-0.008955642580986023
  Angle 3: cl=0.3085557818412781, cd=0.06830091774463654, cm=-0.004203543066978455
  Angle 4: cl=0.4208902418613434, cd=0.07256651669740677, cm=0.000856250524520874
  Angle 5: cl=0.5192892551422119, cd=0.08083097636699677, cm=0.004294663667678833
  Angle 6: cl=0.6118061542510986, cd=0.08796269446611404, cm=0.006559461355209351
  Angle 7: cl=0.7017024755477905, cd=0.09458184242248535, cm=0.008981093764305115
  Angle 8: cl=0.7918182611465454, cd=0.10121491551399231, cm=0.0108003169298172
  Angle 9: cl=0.886991024017334, cd=0.10550528019666672, cm=0.0031593143939971924
  Angle 10: cl=0.9865481853485107, cd=0.11146359890699387, cm=-0.004737302660942078
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.4149448740943065, 10.093119022974243]:
  Angle -10: cl=-0.564997136592865, cd=0.23307040333747864, cm=-0.18981440365314484
  Angle -9: cl=-0.5914475321769714, cd=0.20005562901496887, cm=-0.18631680309772491
  Angle -8: cl=-0.6141904592514038, cd=0.16516537964344025, cm=-0.18519888818264008
  Angle -7: cl=-0.6530764698982239, cd=0.1305006444454193, cm=-0.18015997111797333
  Angle -6: cl=-0.6066673994064331, cd=0.11582894623279572, cm=-0.1654403656721115
  Angle -5: cl=-0.49957406520843506, cd=0.10409430414438248, cm=-0.15222512185573578
  Angle -4: cl=-0.4091164171695709, cd=0.09932117909193039, cm=-0.13891975581645966
  Angle -3: cl=-0.30723637342453003, cd=0.09348771721124649, cm=-0.12533043324947357
  Angle -2: cl=-0.22803786396980286, cd=0.0881405919790268, cm=-0.10326509177684784
  Angle -1: cl=-0.16687297821044922, cd=0.08339138329029083, cm=-0.07410745322704315
  Angle 0: cl=-0.09430783987045288, cd=0.08253101259469986, cm=-0.04605482518672943
  Angle 1: cl=-0.01076011173427105, cd=0.08299651741981506, cm=-0.02407379448413849
  Angle 2: cl=0.07272407412528992, cd=0.08389353007078171, cm=-0.008861735463142395
  Angle 3: cl=0.3086394965648651, cd=0.06824826449155807, cm=-0.0041021257638931274
  Angle 4: cl=0.4206017553806305, cd=0.07260712236166, cm=0.0009003430604934692
  Angle 5: cl=0.5191694498062134, cd=0.08087950944900513, cm=0.004351824522018433
  Angle 6: cl=0.6114813089370728, cd=0.08800525218248367, cm=0.006609976291656494
  Angle 7: cl=0.7014825344085693, cd=0.09460780769586563, cm=0.009053021669387817
  Angle 8: cl=0.7916371822357178, cd=0.10126174986362457, cm=0.010805338621139526
  Angle 9: cl=0.88685542345047, cd=0.10551684349775314, cm=0.0031348317861557007
  Angle 10: cl=0.986221969127655, cd=0.11146575957536697, cm=-0.004742816090583801
Genotype [0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08941748268760871, -0.003, 0.0025, 7.425473236609879, 10.085621973734108]:
  Angle -10: cl=-0.5649842619895935, cd=0.23303964734077454, cm=-0.1898222416639328
  Angle -9: cl=-0.5914141535758972, cd=0.20001555979251862, cm=-0.18633513152599335
  Angle -8: cl=-0.6140720844268799, cd=0.16512177884578705, cm=-0.18519766628742218
  Angle -7: cl=-0.6529747843742371, cd=0.1304919272661209, cm=-0.18016232550144196
  Angle -6: cl=-0.6065332293510437, cd=0.115806445479393, cm=-0.16545696556568146
  Angle -5: cl=-0.49943989515304565, cd=0.10408172011375427, cm=-0.1522051841020584
  Angle -4: cl=-0.40910646319389343, cd=0.09932276606559753, cm=-0.13891850411891937
  Angle -3: cl=-0.30728498101234436, cd=0.09349943697452545, cm=-0.12529392540454865
  Angle -2: cl=-0.2281007170677185, cd=0.08814949542284012, cm=-0.10323379933834076
  Angle -1: cl=-0.1668851524591446, cd=0.08340238779783249, cm=-0.07408349215984344
  Angle 0: cl=-0.09434144198894501, cd=0.0825190469622612, cm=-0.04602591693401337
  Angle 1: cl=-0.010870909318327904, cd=0.08301015198230743, cm=-0.02402631938457489
  Angle 2: cl=0.07281417399644852, cd=0.08389540761709213, cm=-0.008843258023262024
  Angle 3: cl=0.3086387515068054, cd=0.06824604421854019, cm=-0.004092231392860413
  Angle 4: cl=0.42061394453048706, cd=0.07261721044778824, cm=0.0009002089500427246
  Angle 5: cl=0.5191127061843872, cd=0.08089394122362137, cm=0.004356846213340759
  Angle 6: cl=0.6114084720611572, cd=0.08802934736013412, cm=0.0065887123346328735
