Experiment: Nash_Combination_Experiment_1
Generation: 53
Generation Type: v
Timestamp: 20231226_022753

Genotypes and their Fitness Values:
[0.0126, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.057591475176254375, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: -0.45332430615086083, Adjusted Fitness: -0.4515098124437215
[0.0085, 0.4320142784007998, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: 0.23089505565271398, Adjusted Fitness: 0.23578281077259683
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.38402766803991, 10.068452512003695] - Base Fitness: 0.2681162247363404, Adjusted Fitness: 0.268372664283244
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: 0.2704835192445797, Adjusted Fitness: 0.271691517284745
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.21217567229429407, -0.023, 0.057591475176254375, -0.003, 0.0025, 7.393403098154563, 10.047464779980094] - Base Fitness: -1.0533067697519454, Adjusted Fitness: -1.0510388126569692
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.057591475176254375, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: 0.266212800231735, Adjusted Fitness: 0.2761973789328876
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.057591475176254375, -0.003, 0.005, 7.38402766803991, 10.022397789091588] - Base Fitness: -0.008840872317592991, Adjusted Fitness: -0.004319095082595243
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: 0.2704835192445797, Adjusted Fitness: 0.271691517284745
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.057591475176254375, -0.003, 0.002704670602715895, 7.38402766803991, 10.047464779980094] - Base Fitness: 0.24476722644830867, Adjusted Fitness: 0.24907920386840068
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08003699465421332, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: 0.25360519811697607, Adjusted Fitness: 0.26540074425212434
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: 0.2704835192445797, Adjusted Fitness: 0.271691517284745
[0.0085, 0.4492093231023725, 0.13, -0.8991728157490619, 0.26, -0.023, 0.057591475176254375, -0.003, 0.0025, 7.39070591442564, 10.00627051410776] - Base Fitness: 0.26356663234319694, Adjusted Fitness: 0.2665340312980721
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.400641480711659, 10.047464779980094] - Base Fitness: 0.26952891492988457, Adjusted Fitness: 0.26977096003625145
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.38402766803991, 10.049700623584096] - Base Fitness: 0.27021796102062723, Adjusted Fitness: 0.27046001975081985
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.22826623708942378, -0.023, 0.057591475176254375, -0.003, 0.0025, 7.38402766803991, 10.00268953700132] - Base Fitness: -0.5603277296214891, Adjusted Fitness: -0.5551696262601007
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.39070591442564, 10.037085690993175] - Base Fitness: 0.2712431241600189, Adjusted Fitness: 0.2712431241600189
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.104713120008653, -0.003, 0.0025, 7.4149448740943065, 10.047464779980094] - Base Fitness: 0.23812903763180085, Adjusted Fitness: 0.2426668947631128
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.4149448740943065, 10.047464779980094] - Base Fitness: 0.2690501102021477, Adjusted Fitness: 0.2701913747932318
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.057591475176254375, -0.003, 0.0025, 7.39070591442564, 10.037085690993175] - Base Fitness: 0.26687653705215864, Adjusted Fitness: 0.2672718062662635
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.057591475176254375, -0.003, 0.0025, 7.38402766803991, 10.008049290246253] - Base Fitness: 0.27029849485244495, Adjusted Fitness: 0.27051536904554496
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.057591475176254375, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: 0.266212800231735, Adjusted Fitness: 0.2761973789328876
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.057591475176254375, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: 0.266212800231735, Adjusted Fitness: 0.2761973789328876
[0.0085, 0.46, 0.13, -0.8991837973064529, 0.26, -0.023, 0.06501738950873298, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: 0.2620291833968078, Adjusted Fitness: 0.2649812078622191
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.36974740826541, 10.047464779980094] - Base Fitness: 0.27084651161627993, Adjusted Fitness: 0.27084651161627993
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.424415921771358, 10.037085690993175] - Base Fitness: 0.26986353911286304, Adjusted Fitness: 0.270102053623978
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.07047590718739727, -0.003, 0.0025, 7.4149448740943065, 10.047464779980094] - Base Fitness: 0.25733972141873046, Adjusted Fitness: 0.26356776928079073
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.25274700503248454, -0.023, 0.05, -0.003, 0.0025, 7.39070591442564, 10.037085690993175] - Base Fitness: 0.11322261550854194, Adjusted Fitness: 0.11896502762180104
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.39070591442564, 10.037085690993175] - Base Fitness: 0.27132465073062195, Adjusted Fitness: 0.27132465073062195
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.4149448740943065, 10.047464779980094] - Base Fitness: 0.2690501102021477, Adjusted Fitness: 0.2701913747932318
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.39070591442564, 10.037085690993175] - Base Fitness: 0.2712431241600189, Adjusted Fitness: 0.2712431241600189
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.39070591442564, 10.037085690993175] - Base Fitness: 0.2712431241600189, Adjusted Fitness: 0.2712431241600189
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.057591475176254375, -0.003, 0.0025, 7.39070591442564, 10.00627051410776] - Base Fitness: 0.2702343497692444, Adjusted Fitness: 0.27121830043875383
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05374053234765698, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: 0.2683486147733204, Adjusted Fitness: 0.26860510950941585
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: 0.2704835192445797, Adjusted Fitness: 0.271691517284745
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.057591475176254375, -0.003, 0.0025, 7.39070591442564, 10.00627051410776] - Base Fitness: 0.2702343497692444, Adjusted Fitness: 0.27121830043875383
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: 0.2704835192445797, Adjusted Fitness: 0.271691517284745
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.015, 0.057591475176254375, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: -0.37655393237092993, Adjusted Fitness: -0.37558599883761207
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.25274700503248454, -0.015, 0.057591475176254375, -0.003, 0.0025, 7.38402766803991, 10.034275758582744] - Base Fitness: -0.6349369155030791, Adjusted Fitness: -0.6305248964244514
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.057591475176254375, -0.003, 0.0025, 7.39070591442564, 10.00627051410776] - Base Fitness: 0.2702343497692444, Adjusted Fitness: 0.27121830043875383
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.057591475176254375, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: 0.266212800231735, Adjusted Fitness: 0.2761973789328876
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: 0.2704835192445797, Adjusted Fitness: 0.271691517284745
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.39070591442564, 10.037085690993175] - Base Fitness: 0.2712431241600189, Adjusted Fitness: 0.2712431241600189
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.39070591442564, 10.050965633534506] - Base Fitness: 0.26978354649145925, Adjusted Fitness: 0.27002201981661705
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.057591475176254375, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: 0.266212800231735, Adjusted Fitness: 0.2761973789328876
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.2523358537015379, -0.023, 0.05, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: 0.10270835859934174, Adjusted Fitness: 0.10834562814350884
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.2384218730999486, -0.023, 0.057591475176254375, -0.003, 0.005, 7.38402766803991, 10.034275758582744] - Base Fitness: -0.5274302683946325, Adjusted Fitness: -0.5223833991483893
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.057591475176254375, -0.003, 0.0025, 7.39070591442564, 10.00627051410776] - Base Fitness: 0.2702343497692444, Adjusted Fitness: 0.27121830043875383
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: 0.27049489846993163, Adjusted Fitness: 0.2705882203858555
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.08003699465421332, -0.003, 0.0025, 7.38402766803991, 10.047464779980094] - Base Fitness: 0.25360519811697607, Adjusted Fitness: 0.26540074425212434
[0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.057591475176254375, -0.003, 0.005, 7.38402766803991, 10.047464779980094] - Base Fitness: -0.011610204248694455, Adjusted Fitness: -0.006173735916086573

Detailed Results for Each Genotype:
Genotype [0.0126, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.057591475176254375, -0.003, 0.0025, 7.38402766803991, 10.047464779980094]:
  Angle -10: cl=-0.5435634255409241, cd=0.2052348405122757, cm=-0.1833585947751999
  Angle -9: cl=-0.5739058256149292, cd=0.17305204272270203, cm=-0.17892883718013763
  Angle -8: cl=-0.5999797582626343, cd=0.14608360826969147, cm=-0.1717233508825302
  Angle -7: cl=-0.6290218830108643, cd=0.12160120159387589, cm=-0.16084207594394684
  Angle -6: cl=-0.6396722793579102, cd=0.10993650555610657, cm=-0.14681975543498993
  Angle -5: cl=-0.5494123101234436, cd=0.10273920744657516, cm=-0.1311887949705124
  Angle -4: cl=-0.46332210302352905, cd=0.09502318501472473, cm=-0.10814808309078217
  Angle -3: cl=-0.37795358896255493, cd=0.08722098916769028, cm=-0.08448536694049835
  Angle -2: cl=-0.30716994404792786, cd=0.08106167614459991, cm=-0.057636842131614685
  Angle -1: cl=-0.25215697288513184, cd=0.08003143966197968, cm=-0.03259734809398651
  Angle 0: cl=-0.192146435379982, cd=0.08800255507230759, cm=-0.016057655215263367
  Angle 1: cl=-0.11834213137626648, cd=0.09523075073957443, cm=-0.000777319073677063
  Angle 2: cl=0.02361305244266987, cd=0.09420529752969742, cm=0.008864238858222961
  Angle 3: cl=0.1796129196882248, cd=0.0920337438583374, cm=0.014687597751617432
  Angle 4: cl=0.27279192209243774, cd=0.09708082675933838, cm=0.01946486532688141
  Angle 5: cl=0.3719120919704437, cd=0.10113625228404999, cm=0.01914408802986145
  Angle 6: cl=0.4688322842121124, cd=0.10262483358383179, cm=0.013370394706726074
  Angle 7: cl=0.5675287246704102, cd=0.10387376695871353, cm=0.007977217435836792
  Angle 8: cl=0.6619390845298767, cd=0.10576002299785614, cm=0.0007522255182266235
  Angle 9: cl=0.7731841802597046, cd=0.10660398751497269, cm=-0.019338205456733704
  Angle 10: cl=0.8863146305084229, cd=0.10765143483877182, cm=-0.03945739567279816
Genotype [0.0085, 0.4320142784007998, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.38402766803991, 10.047464779980094]:
  Angle -10: cl=-0.5582960844039917, cd=0.23485156893730164, cm=-0.18879874050617218
  Angle -9: cl=-0.594801664352417, cd=0.20398595929145813, cm=-0.18084131181240082
  Angle -8: cl=-0.6223136186599731, cd=0.17048504948616028, cm=-0.1774861365556717
  Angle -7: cl=-0.6479776501655579, cd=0.1354605108499527, cm=-0.17392636835575104
  Angle -6: cl=-0.6149882674217224, cd=0.11959286779165268, cm=-0.161090686917305
  Angle -5: cl=-0.5029265880584717, cd=0.1073729544878006, cm=-0.148708775639534
  Angle -4: cl=-0.3833128809928894, cd=0.09681988507509232, cm=-0.13778318464756012
  Angle -3: cl=-0.27897533774375916, cd=0.09013321995735168, cm=-0.12303949892520905
  Angle -2: cl=-0.194708451628685, cd=0.08434189110994339, cm=-0.1032307893037796
  Angle -1: cl=-0.13616248965263367, cd=0.08103145658969879, cm=-0.07378415763378143
  Angle 0: cl=-0.0764988586306572, cd=0.08077576756477356, cm=-0.04343952238559723
  Angle 1: cl=-0.001127634197473526, cd=0.08135172724723816, cm=-0.018616482615470886
  Angle 2: cl=0.08003929257392883, cd=0.08219672739505768, cm=-0.0028173476457595825
  Angle 3: cl=0.3162420988082886, cd=0.06846743822097778, cm=0.001537516713142395
  Angle 4: cl=0.40322014689445496, cd=0.0745842307806015, cm=0.0067865848541259766
  Angle 5: cl=0.49672719836235046, cd=0.08281051367521286, cm=0.010531172156333923
  Angle 6: cl=0.5868873000144958, cd=0.09039150923490524, cm=0.01341979205608368
  Angle 7: cl=0.6764019131660461, cd=0.09741564095020294, cm=0.015518411993980408
  Angle 8: cl=0.7672243118286133, cd=0.10169384628534317, cm=0.01159985363483429
  Angle 9: cl=0.8590387105941772, cd=0.10531727969646454, cm=0.003320664167404175
  Angle 10: cl=0.9570841193199158, cd=0.10969395190477371, cm=-0.004769310355186462
Genotype [0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.38402766803991, 10.068452512003695]:
  Angle -10: cl=-0.5656070709228516, cd=0.23392733931541443, cm=-0.19008304178714752
  Angle -9: cl=-0.591607928276062, cd=0.2008947730064392, cm=-0.18645577132701874
  Angle -8: cl=-0.614391028881073, cd=0.16608458757400513, cm=-0.18544836342334747
  Angle -7: cl=-0.6530277132987976, cd=0.13117468357086182, cm=-0.180825337767601
  Angle -6: cl=-0.6057890057563782, cd=0.1165011003613472, cm=-0.1661555916070938
  Angle -5: cl=-0.4989030361175537, cd=0.10443691909313202, cm=-0.1528332382440567
  Angle -4: cl=-0.40733277797698975, cd=0.09942909330129623, cm=-0.1396753340959549
  Angle -3: cl=-0.30577364563941956, cd=0.09368852525949478, cm=-0.12616784870624542
  Angle -2: cl=-0.22492405772209167, cd=0.08840412646532059, cm=-0.10472323000431061
  Angle -1: cl=-0.1637817770242691, cd=0.08364778012037277, cm=-0.07553420960903168
  Angle 0: cl=-0.09051752835512161, cd=0.08273360133171082, cm=-0.0475890189409256
  Angle 1: cl=-0.007007637992501259, cd=0.08309334516525269, cm=-0.025322631001472473
  Angle 2: cl=0.07732659578323364, cd=0.08406353741884232, cm=-0.010362759232521057
  Angle 3: cl=0.3110211491584778, cd=0.06869242340326309, cm=-0.005461946129798889
  Angle 4: cl=0.4262121915817261, cd=0.07211223244667053, cm=0.0002776682376861572
  Angle 5: cl=0.5248322486877441, cd=0.08036016672849655, cm=0.003675982356071472
  Angle 6: cl=0.6166688203811646, cd=0.08756698668003082, cm=0.006011307239532471
  Angle 7: cl=0.7064129710197449, cd=0.09418480098247528, cm=0.008501097559928894
  Angle 8: cl=0.796674370765686, cd=0.10078256577253342, cm=0.010138601064682007
  Angle 9: cl=0.8918980360031128, cd=0.105405792593956, cm=0.0034072846174240112
  Angle 10: cl=0.9912356734275818, cd=0.11144637316465378, cm=-0.004423364996910095
Genotype [0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.38402766803991, 10.047464779980094]:
  Angle -10: cl=-0.5656725764274597, cd=0.23392891883850098, cm=-0.19008372724056244
  Angle -9: cl=-0.591609001159668, cd=0.20092792809009552, cm=-0.18646590411663055
  Angle -8: cl=-0.6143296360969543, cd=0.16614040732383728, cm=-0.18549881875514984
  Angle -7: cl=-0.6530666351318359, cd=0.1312175989151001, cm=-0.18089090287685394
  Angle -6: cl=-0.6057338714599609, cd=0.11654157191514969, cm=-0.16622333228588104
  Angle -5: cl=-0.4987289309501648, cd=0.10444233566522598, cm=-0.15285493433475494
  Angle -4: cl=-0.4071941077709198, cd=0.09943801909685135, cm=-0.1397089809179306
  Angle -3: cl=-0.3055315911769867, cd=0.09369538724422455, cm=-0.1262463480234146
  Angle -2: cl=-0.22473418712615967, cd=0.08842530101537704, cm=-0.10481981933116913
  Angle -1: cl=-0.16367265582084656, cd=0.08366424590349197, cm=-0.0756353884935379
  Angle 0: cl=-0.090449757874012, cd=0.08274587988853455, cm=-0.04765753448009491
  Angle 1: cl=-0.0066390130668878555, cd=0.0830981656908989, cm=-0.02544577419757843
  Angle 2: cl=0.07765810191631317, cd=0.08407380431890488, cm=-0.010431453585624695
  Angle 3: cl=0.31162548065185547, cd=0.06865955144166946, cm=-0.005556777119636536
  Angle 4: cl=0.42684507369995117, cd=0.07207357883453369, cm=0.00021605193614959717
  Angle 5: cl=0.5254246592521667, cd=0.08034469932317734, cm=0.003607630729675293
  Angle 6: cl=0.6170536279678345, cd=0.08754593878984451, cm=0.005969241261482239
  Angle 7: cl=0.7069727778434753, cd=0.09414892643690109, cm=0.008428186178207397
  Angle 8: cl=0.7970276474952698, cd=0.10076548159122467, cm=0.010093122720718384
  Angle 9: cl=0.8923192024230957, cd=0.10539589077234268, cm=0.003414943814277649
  Angle 10: cl=0.9915063381195068, cd=0.11148326843976974, cm=-0.00441114604473114
Genotype [0.0085, 0.46, 0.13, -0.8991728157490619, 0.21217567229429407, -0.023, 0.057591475176254375, -0.003, 0.0025, 7.393403098154563, 10.047464779980094]:
  Angle -10: cl=-0.5636799335479736, cd=0.19353532791137695, cm=-0.18052522838115692
  Angle -9: cl=-0.5998034477233887, cd=0.16671672463417053, cm=-0.17372389137744904
  Angle -8: cl=-0.6240622401237488, cd=0.1411873996257782, cm=-0.16558359563350677
  Angle -7: cl=-0.657301664352417, cd=0.12228750437498093, cm=-0.15271516144275665
  Angle -6: cl=-0.6782392263412476, cd=0.10897226631641388, cm=-0.1380109339952469
  Angle -5: cl=-0.6236640214920044, cd=0.10111959278583527, cm=-0.1110135167837143
  Angle -4: cl=-0.5427799820899963, cd=0.09324247390031815, cm=-0.08678849041461945
  Angle -3: cl=-0.45666182041168213, cd=0.08545184880495071, cm=-0.06252668797969818
  Angle -2: cl=-0.38139939308166504, cd=0.08281305432319641, cm=-0.041638895869255066
  Angle -1: cl=-0.3338376581668854, cd=0.08975858241319656, cm=-0.02412576973438263
  Angle 0: cl=-0.2745901644229889, cd=0.09656494110822678, cm=-0.008649632334709167
  Angle 1: cl=-0.19760681688785553, cd=0.10268799960613251, cm=0.0054499804973602295
  Angle 2: cl=-0.0552142933011055, cd=0.10118437558412552, cm=0.01488599181175232
  Angle 3: cl=0.1085275188088417, cd=0.09734612703323364, cm=0.019442036747932434
  Angle 4: cl=0.19482062757015228, cd=0.10155559331178665, cm=0.02384147047996521
  Angle 5: cl=0.28926026821136475, cd=0.10286277532577515, cm=0.019553959369659424
  Angle 6: cl=0.3848852515220642, cd=0.10464584082365036, cm=0.014249056577682495
  Angle 7: cl=0.48032256960868835, cd=0.10656791180372238, cm=0.008688762784004211
  Angle 8: cl=0.5914522409439087, cd=0.10515900701284409, cm=-0.009259805083274841
  Angle 9: cl=0.702754020690918, cd=0.09870391339063644, cm=-0.024063751101493835
  Angle 10: cl=0.8151220679283142, cd=0.09677371382713318, cm=-0.04645948112010956
Genotype [0.0085, 0.46, 0.13, -0.8991728157490619, 0.26, -0.023, 0.057591475176254375, -0.003, 0.0025, 7.38402766803991, 10.047464779980094]:
  Angle -10: cl=-0.5655627846717834, cd=0.2338106781244278, cm=-0.19007991254329681
  Angle -9: cl=-0.5915784239768982, cd=0.20077048242092133, cm=-0.18642650544643402
  Angle -8: cl=-0.6142991185188293, cd=0.16592369973659515, cm=-0.18545906245708466
  Angle -7: cl=-0.6530998945236206, cd=0.13109123706817627, cm=-0.1807534247636795
  Angle -6: cl=-0.6061214804649353, cd=0.11644662916660309, cm=-0.1660938411951065
  Angle -5: cl=-0.49882566928863525, cd=0.10441115498542786, cm=-0.15276764333248138
  Angle -4: cl=-0.4074728786945343, cd=0.09943677484989166, cm=-0.1395825296640396
  Angle -3: cl=-0.3059101402759552, cd=0.09367059916257858, cm=-0.12612111866474152
  Angle -2: cl=-0.22516798973083496, cd=0.08837759494781494, cm=-0.10461752116680145
  Angle -1: cl=-0.16401894390583038, cd=0.08362560719251633, cm=-0.07539333403110504
  Angle 0: cl=-0.09083539992570877, cd=0.08271287381649017, cm=-0.04745687544345856
  Angle 1: cl=-0.007281212136149406, cd=0.08308949321508408, cm=-0.025283262133598328
  Angle 2: cl=0.07692664116621017, cd=0.08405888825654984, cm=-0.010203346610069275
  Angle 3: cl=0.3111966848373413, cd=0.06860912591218948, cm=-0.005374357104301453
  Angle 4: cl=0.4259525239467621, cd=0.07214412093162537, cm=0.00027763843536376953
  Angle 5: cl=0.5243734121322632, cd=0.08041539788246155, cm=0.0037244707345962524
  Angle 6: cl=0.6160348057746887, cd=0.08762761950492859, cm=0.006100177764892578
