Experiment: Nash_Combination_Experiment_1
Generation: 98
Generation Type: u
Timestamp: 20231226_023550

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.479960495047016, 10.16604911545637] - Base Fitness: 0.2500741111175644, Adjusted Fitness: 0.2500741111175644
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05, -0.003, 0.005, 7.455345354023227, 10.213696926536391] - Base Fitness: -0.031112786369464865, Adjusted Fitness: -0.031112786369464865
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.2440845442081653, Adjusted Fitness: 800.8681533660152
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.0828502641087809, -0.003, 0.0025, 7.527300152228145, 10.213696926536391] - Base Fitness: 0.22568084396135332, Adjusted Fitness: 0.22568084396135332
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.17746299978863] - Base Fitness: 0.2483800639329206, Adjusted Fitness: 0.2483800639329206
[0.0085, 0.45357240390616044, 0.13, -0.8724473288410888, 0.26, -0.015, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: -0.3949012858664972, Adjusted Fitness: -0.3949012858664972
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.004274168790943185, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.002251302257835078, Adjusted Fitness: 0.002251302257835078
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.2440845442081653, Adjusted Fitness: 800.8681533660152
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.2440845442081653, Adjusted Fitness: 800.8681533660152
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.005, 7.496339913756583, 10.213696926536391] - Base Fitness: -0.035102430077716705, Adjusted Fitness: -0.0033664573931070007
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.2440845442081653, Adjusted Fitness: 800.8681533660152
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.2440845442081653, Adjusted Fitness: 800.8681533660152
[0.0126, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.192688842052323] - Base Fitness: -0.47139754147074886, Adjusted Fitness: -0.47139754147074886
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.005, 7.496339913756583, 10.191120652587419] - Base Fitness: -0.032887558024278396, Adjusted Fitness: -0.032887558024278396
[0.0085, 0.45357240390616044, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.005, 7.505543607529819, 10.213696926536391] - Base Fitness: -0.038677028398019904, Adjusted Fitness: -0.038677028398019904
[0.0085, 0.4176633604478085, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.4763428922754, 10.213696926536391] - Base Fitness: 0.15793721498374708, Adjusted Fitness: 0.15793721498374708
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.17746299978863] - Base Fitness: 0.2483800639329206, Adjusted Fitness: 0.2483800639329206
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.455345354023227, 10.213696926536391] - Base Fitness: 0.2473589194135337, Adjusted Fitness: 0.2473589194135337
[0.0085, 0.45357240390616044, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.24113694983767658, Adjusted Fitness: 0.24113694983767658
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.006, 0.0025, 7.455345354023227, 10.17746299978863] - Base Fitness: -0.21466615823084195, Adjusted Fitness: -0.21466615823084195
[0.0085, 0.45357240390616044, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.24113694983767658, Adjusted Fitness: 0.24113694983767658
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.2440845442081653, Adjusted Fitness: 800.8681533660152
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.455345354023227, 10.170157875103444] - Base Fitness: 0.2508130301273917, Adjusted Fitness: 0.2508130301273917
[0.0085, 0.45357240390616044, 0.11730995158402, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.416699048183961, 10.213696926536391] - Base Fitness: -0.22950768723334525, Adjusted Fitness: -0.22950768723334525
[0.0085, 0.45357240390616044, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.192688842052323] - Base Fitness: 0.2436854163059537, Adjusted Fitness: 0.2436854163059537
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.2440845442081653, Adjusted Fitness: 800.8681533660152
[0.0085, 0.45357240390616044, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.24113694983767658, Adjusted Fitness: 0.24113694983767658
[0.0085, 0.46, 0.12029346328084424, -0.9, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: -0.1245467677052272, Adjusted Fitness: -0.1245467677052272
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.005826948007547903, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: -0.20024493742595972, Adjusted Fitness: -0.20024493742595972
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.192688842052323] - Base Fitness: 0.24681603195544594, Adjusted Fitness: 0.24933469897187252
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.2440845442081653, Adjusted Fitness: 800.8681533660152
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.2440845442081653, Adjusted Fitness: 800.8681533660152
[0.0085, 0.45755177569811645, 0.13, -0.8724473288410888, 0.2269554932848041, -0.023, 0.05, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: -0.6217423243304141, Adjusted Fitness: -0.6217423243304141
[0.0126, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: -0.47387180454336575, Adjusted Fitness: -0.468560691220373
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.192688842052323] - Base Fitness: 0.24681603195544594, Adjusted Fitness: 0.24933469897187252
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.525070028878548, 10.17746299978863] - Base Fitness: 0.24702338859232464, Adjusted Fitness: 0.24702338859232464
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.455345354023227, 10.213696926536391] - Base Fitness: 0.24616434258035677, Adjusted Fitness: 0.24616434258035677
[0.0085, 0.425390607104022, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.18358371333336995, Adjusted Fitness: 0.18358371333336995
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.2440845442081653, Adjusted Fitness: 800.8681533660152
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.004274168790943185, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.002251302257835078, Adjusted Fitness: 0.002251302257835078
[0.0085, 0.45357240390616044, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.527300152228145, 10.213696926536391] - Base Fitness: 0.24038763507332261, Adjusted Fitness: 0.24038763507332261
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.2440845442081653, Adjusted Fitness: 800.8681533660152
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.479960495047016, 10.16604911545637] - Base Fitness: 0.2500741111175644, Adjusted Fitness: 0.2500741111175644
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.2440845442081653, Adjusted Fitness: 800.8681533660152
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.2440845442081653, Adjusted Fitness: 800.8681533660152
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.2440845442081653, Adjusted Fitness: 800.8681533660152
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.17746299978863] - Base Fitness: 0.2483800639329206, Adjusted Fitness: 0.2483800639329206
[0.0126, 0.46, 0.13, -0.8724473288410888, 0.26, -0.01812468420578655, 0.05276730064308843, -0.003, 0.005, 7.496339913756583, 10.213696926536391] - Base Fitness: -0.9903471457254436, Adjusted Fitness: -0.9903471457254436
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.005, 7.496339913756583, 10.213696926536391] - Base Fitness: -0.035102430077716705, Adjusted Fitness: -0.0033664573931070007
[0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391] - Base Fitness: 0.2440845442081653, Adjusted Fitness: 800.8681533660152

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.479960495047016, 10.16604911545637]:
  Angle -10: cl=-0.5650523900985718, cd=0.2333577573299408, cm=-0.18990464508533478
  Angle -9: cl=-0.5914090871810913, cd=0.2003180831670761, cm=-0.18636702001094818
  Angle -8: cl=-0.613990843296051, cd=0.165498286485672, cm=-0.1852656751871109
  Angle -7: cl=-0.6529119610786438, cd=0.1307302862405777, cm=-0.18043296039104462
  Angle -6: cl=-0.6064203381538391, cd=0.11604619771242142, cm=-0.16568626463413239
  Angle -5: cl=-0.49910515546798706, cd=0.10421568155288696, cm=-0.15245361626148224
  Angle -4: cl=-0.40838000178337097, cd=0.09934490919113159, cm=-0.13917912542819977
  Angle -3: cl=-0.3066645562648773, cd=0.0935460776090622, cm=-0.12560401856899261
  Angle -2: cl=-0.2269689440727234, cd=0.08820835500955582, cm=-0.10371677577495575
  Angle -1: cl=-0.16579048335552216, cd=0.08347717672586441, cm=-0.07455895841121674
  Angle 0: cl=-0.09303423017263412, cd=0.08260001987218857, cm=-0.04652799665927887
  Angle 1: cl=-0.00953260250389576, cd=0.0830291137099266, cm=-0.024439170956611633
  Angle 2: cl=0.07421709597110748, cd=0.08396277576684952, cm=-0.009298339486122131
  Angle 3: cl=0.30930545926094055, cd=0.06841887533664703, cm=-0.004515364766120911
  Angle 4: cl=0.42225033044815063, cd=0.07248338311910629, cm=0.0007678419351577759
  Angle 5: cl=0.5206382870674133, cd=0.08075147867202759, cm=0.004142686724662781
  Angle 6: cl=0.6127922534942627, cd=0.08790997415781021, cm=0.0064509958028793335
  Angle 7: cl=0.7028827667236328, cd=0.09451384097337723, cm=0.008929461240768433
  Angle 8: cl=0.7931872606277466, cd=0.10116101801395416, cm=0.010619744658470154
  Angle 9: cl=0.8883171081542969, cd=0.10549242794513702, cm=0.0031991302967071533
  Angle 10: cl=0.987467885017395, cd=0.11144702881574631, cm=-0.004697069525718689
Genotype [0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05, -0.003, 0.005, 7.455345354023227, 10.213696926536391]:
  Angle -10: cl=-0.5425737500190735, cd=0.22480915486812592, cm=-0.18608613312244415
  Angle -9: cl=-0.5634158849716187, cd=0.19127078354358673, cm=-0.18444283306598663
  Angle -8: cl=-0.5858988165855408, cd=0.15637238323688507, cm=-0.18319199979305267
  Angle -7: cl=-0.6179015040397644, cd=0.1267811805009842, cm=-0.1730204075574875
  Angle -6: cl=-0.6018133759498596, cd=0.11145108938217163, cm=-0.16045810282230377
  Angle -5: cl=-0.5180662274360657, cd=0.10374926775693893, cm=-0.14564557373523712
  Angle -4: cl=-0.4186606705188751, cd=0.09789945930242538, cm=-0.1325940638780594
  Angle -3: cl=-0.32015761733055115, cd=0.09096023440361023, cm=-0.11593382060527802
  Angle -2: cl=-0.25937420129776, cd=0.0852956548333168, cm=-0.08774049580097198
  Angle -1: cl=-0.19930028915405273, cd=0.08078894764184952, cm=-0.05819539725780487
  Angle 0: cl=-0.13008740544319153, cd=0.08097174763679504, cm=-0.031416282057762146
  Angle 1: cl=-0.05971672385931015, cd=0.08290496468544006, cm=-0.01022939383983612
  Angle 2: cl=0.025271344929933548, cd=0.08781661838293076, cm=0.0011634975671768188
  Angle 3: cl=0.2619168162345886, cd=0.07555481791496277, cm=0.0021970272064208984
  Angle 4: cl=0.3520396053791046, cd=0.08116701245307922, cm=0.007577627897262573
  Angle 5: cl=0.44604426622390747, cd=0.08748611807823181, cm=0.011004626750946045
  Angle 6: cl=0.5471403002738953, cd=0.09461469948291779, cm=0.013582780957221985
  Angle 7: cl=0.6387349367141724, cd=0.10056765377521515, cm=0.014310434460639954
  Angle 8: cl=0.7303333878517151, cd=0.10380341857671738, cm=0.006871908903121948
  Angle 9: cl=0.82523512840271, cd=0.10796947777271271, cm=-0.001342490315437317
  Angle 10: cl=0.9190207719802856, cd=0.11717918515205383, cm=-0.010103985667228699
Genotype [0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391]:
  Angle -10: cl=-0.5649906992912292, cd=0.23321780562400818, cm=-0.18985159695148468
  Angle -9: cl=-0.5912308692932129, cd=0.2001710832118988, cm=-0.18631969392299652
  Angle -8: cl=-0.6140894889831543, cd=0.16532748937606812, cm=-0.18522225320339203
  Angle -7: cl=-0.652905285358429, cd=0.13059650361537933, cm=-0.18029098212718964
  Angle -6: cl=-0.6065022349357605, cd=0.1159297525882721, cm=-0.1655644327402115
  Angle -5: cl=-0.49956315755844116, cd=0.10417850315570831, cm=-0.15231628715991974
  Angle -4: cl=-0.40862610936164856, cd=0.09932294487953186, cm=-0.13902513682842255
  Angle -3: cl=-0.3070340156555176, cd=0.09350161254405975, cm=-0.12541420757770538
  Angle -2: cl=-0.22746795415878296, cd=0.08815707266330719, cm=-0.10351581871509552
  Angle -1: cl=-0.16642041504383087, cd=0.08344143629074097, cm=-0.07430870831012726
  Angle 0: cl=-0.09386935085058212, cd=0.08255407959222794, cm=-0.046226248145103455
  Angle 1: cl=-0.010435333475470543, cd=0.08302623778581619, cm=-0.024193182587623596
  Angle 2: cl=0.07339739054441452, cd=0.08391045778989792, cm=-0.00898905098438263
  Angle 3: cl=0.30857720971107483, cd=0.06835437566041946, cm=-0.00421123206615448
  Angle 4: cl=0.4209188222885132, cd=0.0725778341293335, cm=0.000888139009475708
  Angle 5: cl=0.5193564891815186, cd=0.08086318522691727, cm=0.0043331533670425415
  Angle 6: cl=0.611812949180603, cd=0.08800923079252243, cm=0.006581559777259827
  Angle 7: cl=0.7016366124153137, cd=0.09461285173892975, cm=0.009048491716384888
  Angle 8: cl=0.7919071912765503, cd=0.1012524962425232, cm=0.010815039277076721
  Angle 9: cl=0.8870894312858582, cd=0.10551224648952484, cm=0.0031360089778900146
  Angle 10: cl=0.9863920211791992, cd=0.11138409376144409, cm=-0.004755660891532898
Genotype [0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.0828502641087809, -0.003, 0.0025, 7.527300152228145, 10.213696926536391]:
  Angle -10: cl=-0.5644492506980896, cd=0.23264344036579132, cm=-0.18966849148273468
  Angle -9: cl=-0.5910954475402832, cd=0.1995076984167099, cm=-0.1862332969903946
  Angle -8: cl=-0.6137804388999939, cd=0.1645970642566681, cm=-0.1850002259016037
  Angle -7: cl=-0.6526266932487488, cd=0.13008469343185425, cm=-0.1797749549150467
  Angle -6: cl=-0.6072776317596436, cd=0.11543073505163193, cm=-0.1650076061487198
  Angle -5: cl=-0.5008946061134338, cd=0.10406647622585297, cm=-0.15179087221622467
  Angle -4: cl=-0.4099181890487671, cd=0.09922731667757034, cm=-0.13850770890712738
  Angle -3: cl=-0.3079424798488617, cd=0.0933627262711525, cm=-0.12482471764087677
  Angle -2: cl=-0.2296430766582489, cd=0.08799079060554504, cm=-0.10244922339916229
  Angle -1: cl=-0.16853129863739014, cd=0.08327412605285645, cm=-0.07324822247028351
  Angle 0: cl=-0.09660235792398453, cd=0.08241130411624908, cm=-0.04508332908153534
  Angle 1: cl=-0.01325787790119648, cd=0.08298017084598541, cm=-0.023237064480781555
  Angle 2: cl=0.07021968811750412, cd=0.08379149436950684, cm=-0.007955238223075867
  Angle 3: cl=0.3074578642845154, cd=0.06797158718109131, cm=-0.0032438188791275024
  Angle 4: cl=0.41690894961357117, cd=0.07295882701873779, cm=0.0013719797134399414
  Angle 5: cl=0.5153006911277771, cd=0.08124075084924698, cm=0.004784345626831055
  Angle 6: cl=0.6082507371902466, cd=0.0883214995265007, cm=0.006996631622314453
  Angle 7: cl=0.6982872486114502, cd=0.09491089731454849, cm=0.009430259466171265
  Angle 8: cl=0.7885895371437073, cd=0.10154609382152557, cm=0.01106533408164978
  Angle 9: cl=0.8835688829421997, cd=0.10560286790132523, cm=0.002941906452178955
  Angle 10: cl=0.9827473759651184, cd=0.11144307255744934, cm=-0.004984661936759949
Genotype [0.0085, 0.46, 0.13, -0.8724473288410888, 0.26, -0.023, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.17746299978863]:
  Angle -10: cl=-0.5650310516357422, cd=0.23326857388019562, cm=-0.1898803561925888
  Angle -9: cl=-0.5912320017814636, cd=0.20023010671138763, cm=-0.18632636964321136
  Angle -8: cl=-0.6139495968818665, cd=0.16538171470165253, cm=-0.18529139459133148
  Angle -7: cl=-0.6528351306915283, cd=0.13065846264362335, cm=-0.18036098778247833
  Angle -6: cl=-0.6063763499259949, cd=0.11598226428031921, cm=-0.16562636196613312
  Angle -5: cl=-0.4992297291755676, cd=0.10419496893882751, cm=-0.15241532027721405
  Angle -4: cl=-0.40843772888183594, cd=0.09932858496904373, cm=-0.13911370933055878
  Angle -3: cl=-0.3066277503967285, cd=0.09352540969848633, cm=-0.1255340725183487
  Angle -2: cl=-0.22707977890968323, cd=0.08820201456546783, cm=-0.10363517701625824
  Angle -1: cl=-0.16605009138584137, cd=0.08348776400089264, cm=-0.07438711822032928
  Angle 0: cl=-0.09325235337018967, cd=0.08259125798940659, cm=-0.04638107120990753
  Angle 1: cl=-0.009898217394948006, cd=0.0830438882112503, cm=-0.024321064352989197
  Angle 2: cl=0.07396254688501358, cd=0.08394212275743484, cm=-0.009181484580039978
  Angle 3: cl=0.30931615829467773, cd=0.06833692640066147, cm=-0.004344061017036438
  Angle 4: cl=0.4217378497123718, cd=0.07254404574632645, cm=0.0008323639631271362
  Angle 5: cl=0.5201302170753479, cd=0.08079896867275238, cm=0.004204899072647095
  Angle 6: cl=0.6124247908592224, cd=0.08796365559101105, cm=0.006494104862213135
  Angle 7: cl=0.7024272680282593, cd=0.0945681482553482, cm=0.008976206183433533
  Angle 8: cl=0.7927714586257935, cd=0.10121674835681915, cm=0.010701343417167664
  Angle 9: cl=0.8880372643470764, cd=0.10550989955663681, cm=0.003151342272758484
  Angle 10: cl=0.9870442748069763, cd=0.11144699901342392, cm=-0.0047343820333480835
Genotype [0.0085, 0.45357240390616044, 0.13, -0.8724473288410888, 0.26, -0.015, 0.05276730064308843, -0.003, 0.0025, 7.496339913756583, 10.213696926536391]:
  Angle -10: cl=-0.5505759716033936, cd=0.21560092270374298, cm=-0.18208934366703033
  Angle -9: cl=-0.5840444564819336, cd=0.18428198993206024, cm=-0.17696599662303925
  Angle -8: cl=-0.6163721680641174, cd=0.1530308872461319, cm=-0.17128248512744904
  Angle -7: cl=-0.6443653106689453, cd=0.12592191994190216, cm=-0.16324569284915924
  Angle -6: cl=-0.6262471079826355, cd=0.1107647567987442, cm=-0.15169315040111542
  Angle -5: cl=-0.5174412727355957, cd=0.10040325671434402, cm=-0.13796783983707428
  Angle -4: cl=-0.4186199903488159, cd=0.0934637188911438, cm=-0.12195102870464325
  Angle -3: cl=-0.3331359326839447, cd=0.08576249331235886, cm=-0.0986199826002121
  Angle -2: cl=-0.26365429162979126, cd=0.0792808011174202, cm=-0.07236512005329132
  Angle -1: cl=-0.20891791582107544, cd=0.07643929123878479, cm=-0.0435914546251297
  Angle 0: cl=-0.15630006790161133, cd=0.07997457683086395, cm=-0.0226428359746933
  Angle 1: cl=-0.09229280799627304, cd=0.08814799040555954, cm=-0.005934014916419983
  Angle 2: cl=-0.013283045962452888, cd=0.0941387489438057, cm=0.007186979055404663
  Angle 3: cl=0.18865498900413513, cd=0.08679822087287903, cm=0.01219746470451355
  Angle 4: cl=0.27533015608787537, cd=0.09248369187116623, cm=0.018900707364082336
  Angle 5: cl=0.3668128550052643, cd=0.09795674681663513, cm=0.022199466824531555
  Angle 6: cl=0.46137261390686035, cd=0.09963575005531311, cm=0.016471803188323975
  Angle 7: cl=0.5599170923233032, cd=0.10106011480093002, cm=0.010737046599388123
  Angle 8: cl=0.6557996273040771, cd=0.10304529219865799, cm=0.004518777132034302
  Angle 9: cl=0.7484273910522461, cd=0.1064937561750412, cm=-0.004616722464561462
