Experiment: Nash_Combination_Experiment_10
Generation: 47
Generation Type: u
Timestamp: 20231226_053730

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8005934909548069, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.135763310595507] - Base Fitness: 0.17853670835722182, Adjusted Fitness: 0.17853670835722182
[0.0085, 0.46, 0.13, -0.8005934909548069, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.91433957287578, 10.11917653024879] - Base Fitness: 0.17810209251658787, Adjusted Fitness: 0.17810209251658787
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.1799187655311747, Adjusted Fitness: 0.1799187655311747
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.1799187655311747, Adjusted Fitness: 0.1799187655311747
[0.0085, 0.46, 0.11, -0.7945992424772584, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: -0.5458927068646197, Adjusted Fitness: -0.5458927068646197
[0.0085, 0.46, 0.13, -0.8005934909548069, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.180456653710688, Adjusted Fitness: 0.180456653710688
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.09796575482124072, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.15003997897433163, Adjusted Fitness: 0.15036247620392362
[0.0085, 0.46, 0.13, -0.8005934909548069, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.86316428644199, 10.117722005305211] - Base Fitness: 0.18182175422712435, Adjusted Fitness: 0.18182175422712435
[0.0126, 0.46, 0.13, -0.8005934909548069, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: -0.518433974945676, Adjusted Fitness: -0.518433974945676
[0.0085, 0.46, 0.13, -0.831781983699567, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.117722005305211] - Base Fitness: 0.18235460233399103, Adjusted Fitness: 0.18235460233399103
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05015812385166414, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.179779952806684, Adjusted Fitness: 0.179779952806684
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.972550278911859, 10.11747462413119] - Base Fitness: 0.17462298588679673, Adjusted Fitness: 0.18185565468171488
[0.0085, 0.4599465853257404, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05015812385166414, -0.006, 0.0025, 8.883272229190348, 10.117722005305211] - Base Fitness: -0.27318759115623126, Adjusted Fitness: -0.27318759115623126
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05015812385166414, -0.003, 0.0025, 8.883272229190348, 10.117722005305211] - Base Fitness: 0.17997899090975397, Adjusted Fitness: 0.17997899090975397
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.015, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: -0.4494058421641776, Adjusted Fitness: -0.4494058421641776
[0.0085, 0.46, 0.13, -0.8005934909548069, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.972550278911859, 10.11747462413119] - Base Fitness: 0.17497760061591625, Adjusted Fitness: 0.17551368862918992
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.1799187655311747, Adjusted Fitness: 0.1799187655311747
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.117722005305211] - Base Fitness: 0.1801277128675291, Adjusted Fitness: 0.1801277128675291
[0.0085, 0.46, 0.13, -0.8005934909548069, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.180456653710688, Adjusted Fitness: 0.180456653710688
[0.0085, 0.46, 0.13, -0.8753998916450795, 0.26, -0.023, 0.05, -0.006, 0.0025, 8.883272229190348, 10.117722005305211] - Base Fitness: -0.2689174060013307, Adjusted Fitness: -0.2689174060013307
[0.0085, 0.46, 0.13, -0.8005934909548069, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.180456653710688, Adjusted Fitness: 0.180456653710688
[0.0085, 0.46, 0.13, -0.8320686646022949, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.18223930306312966, Adjusted Fitness: 0.18223930306312966
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.967940331077493, 10.095582510102174] - Base Fitness: 0.17752905182623832, Adjusted Fitness: 0.17752905182623832
[0.0085, 0.46, 0.13, -0.7885789271702416, 0.2508697339029911, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: -0.035272521864203266, Adjusted Fitness: -0.035272521864203266
[0.0085, 0.46, 0.13, -0.7885789271702416, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.17958676213606223, Adjusted Fitness: 0.17958676213606223
[0.0085, 0.46, 0.13, -0.7885789271702416, 0.26, -0.023, 0.05015812385166414, -0.003, 0.005, 8.883272229190348, 10.11917653024879] - Base Fitness: -0.10731141356477115, Adjusted Fitness: -0.10731141356477115
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05015812385166414, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.179779952806684, Adjusted Fitness: 0.179779952806684
[0.0085, 0.46, 0.13, -0.7885789271702416, 0.23848051691448208, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: -0.3569948635156897, Adjusted Fitness: -0.3569948635156897
[0.0085, 0.46, 0.13, -0.8005934909548069, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.180456653710688, Adjusted Fitness: 0.180456653710688
[0.0085, 0.46, 0.13, -0.7526191376145395, 0.26, -0.023, 0.05015812385166414, -0.003, 0.0025, 8.883272229190348, 10.117722005305211] - Base Fitness: 0.17755103666356026, Adjusted Fitness: 0.17755103666356026
[0.0085, 0.46, 0.13, -0.8360062916501312, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.972550278911859, 10.095582510102174] - Base Fitness: 0.17991520639760641, Adjusted Fitness: 0.17991520639760641
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.24863454537934454, -0.023, 0.05015812385166414, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: -0.09145062082179622, Adjusted Fitness: -0.09145062082179622
[0.0085, 0.46, 0.13, -0.8005934909548069, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.972550278911859, 10.095582510102174] - Base Fitness: 0.17758938357032922, Adjusted Fitness: 0.17758938357032922
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.972550278911859, 10.095582510102174] - Base Fitness: 0.17714592942608653, Adjusted Fitness: 0.17714592942608653
[0.0085, 0.46, 0.13, -0.8005934909548069, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.180456653710688, Adjusted Fitness: 0.180456653710688
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.972550278911859, 10.11747462413119] - Base Fitness: 0.17462298588679673, Adjusted Fitness: 0.18185565468171488
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.015, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: -0.4494058421641776, Adjusted Fitness: -0.4494058421641776
[0.0085, 0.46, 0.13, -0.8005934909548069, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.180456653710688, Adjusted Fitness: 0.180456653710688
[0.0085, 0.46, 0.13, -0.8005934909548069, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.180456653710688, Adjusted Fitness: 0.180456653710688
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.1799187655311747, Adjusted Fitness: 0.1799187655311747
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05015812385166414, -0.003, 0.0025, 8.883272229190348, 10.117722005305211] - Base Fitness: 0.17997899090975397, Adjusted Fitness: 0.17997899090975397
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.972550278911859, 10.095582510102174] - Base Fitness: 0.17714592942608653, Adjusted Fitness: 0.17714592942608653
[0.0085, 0.46, 0.11, -0.7945992424772584, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: -0.5458927068646197, Adjusted Fitness: -0.5458927068646197
[0.0085, 0.46, 0.13, -0.8320686646022949, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.18223930306312966, Adjusted Fitness: 0.18223930306312966
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.1799187655311747, Adjusted Fitness: 0.1799187655311747
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.1799187655311747, Adjusted Fitness: 0.1799187655311747
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.158950291918794] - Base Fitness: 0.17522707100801008, Adjusted Fitness: 0.17522707100801008
[0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05015812385166414, -0.003, 0.0025, 8.881782405753018, 10.117722005305211] - Base Fitness: 0.18016010817933298, Adjusted Fitness: 0.18016010817933298
[0.0085, 0.46, 0.13, -0.7885789271702416, 0.26, -0.015, 0.05, -0.003, 0.0025, 8.883272229190348, 10.117722005305211] - Base Fitness: -0.44967838330473525, Adjusted Fitness: -0.44742097975629314
[0.0085, 0.46, 0.13, -0.8005934909548069, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879] - Base Fitness: 0.180456653710688, Adjusted Fitness: 0.180456653710688

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8005934909548069, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.135763310595507]:
  Angle -10: cl=-0.5603225231170654, cd=0.22784627974033356, cm=-0.1888953298330307
  Angle -9: cl=-0.5841183066368103, cd=0.19407401978969574, cm=-0.18656496703624725
  Angle -8: cl=-0.6067579388618469, cd=0.15912432968616486, cm=-0.18519748747348785
  Angle -7: cl=-0.6456602215766907, cd=0.1260966956615448, cm=-0.17784829437732697
  Angle -6: cl=-0.6011990308761597, cd=0.112795390188694, cm=-0.16251693665981293
  Angle -5: cl=-0.5051811933517456, cd=0.10388154536485672, cm=-0.1488724797964096
  Angle -4: cl=-0.412082314491272, cd=0.09897811710834503, cm=-0.1356368511915207
  Angle -3: cl=-0.3092883825302124, cd=0.0927019715309143, cm=-0.12135748565196991
  Angle -2: cl=-0.2401496171951294, cd=0.08725425601005554, cm=-0.09583525359630585
  Angle -1: cl=-0.17914897203445435, cd=0.08281658589839935, cm=-0.06637655198574066
  Angle 0: cl=-0.10832028090953827, cd=0.0824672132730484, cm=-0.03919513523578644
  Angle 1: cl=-0.024429159238934517, cd=0.08297574520111084, cm=-0.017554715275764465
  Angle 2: cl=0.05933288484811783, cd=0.08378177136182785, cm=-0.0020773857831954956
  Angle 3: cl=0.3068580627441406, cd=0.06965313106775284, cm=-0.0009191781282424927
  Angle 4: cl=0.4036777913570404, cd=0.07572779804468155, cm=0.0037070810794830322
  Angle 5: cl=0.5013088583946228, cd=0.08405596762895584, cm=0.007076576352119446
  Angle 6: cl=0.5979964137077332, cd=0.09068445861339569, cm=0.008889243006706238
  Angle 7: cl=0.6878671646118164, cd=0.09727844595909119, cm=0.011275291442871094
  Angle 8: cl=0.7790342569351196, cd=0.1025000661611557, cm=0.008935883641242981
  Angle 9: cl=0.8745203614234924, cd=0.10671357065439224, cm=0.0006384402513504028
  Angle 10: cl=0.9722571969032288, cd=0.1137278601527214, cm=-0.007105395197868347
Genotype [0.0085, 0.46, 0.13, -0.8005934909548069, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.91433957287578, 10.11917653024879]:
  Angle -10: cl=-0.5602319836616516, cd=0.22771219909191132, cm=-0.18885843455791473
  Angle -9: cl=-0.5837775468826294, cd=0.1939435750246048, cm=-0.18652920424938202
  Angle -8: cl=-0.6065626740455627, cd=0.15902650356292725, cm=-0.1851903349161148
  Angle -7: cl=-0.6455525755882263, cd=0.1259811669588089, cm=-0.17779327929019928
  Angle -6: cl=-0.6010781526565552, cd=0.11277590692043304, cm=-0.16249985992908478
  Angle -5: cl=-0.5051716566085815, cd=0.10386820882558823, cm=-0.14878083765506744
  Angle -4: cl=-0.41231900453567505, cd=0.09902118891477585, cm=-0.13559077680110931
  Angle -3: cl=-0.3093823194503784, cd=0.09271866083145142, cm=-0.1212683767080307
  Angle -2: cl=-0.24024954438209534, cd=0.08723348379135132, cm=-0.09566165506839752
  Angle -1: cl=-0.1793929785490036, cd=0.08280409872531891, cm=-0.06622670590877533
  Angle 0: cl=-0.10850432515144348, cd=0.08247464150190353, cm=-0.03909669816493988
  Angle 1: cl=-0.02454291470348835, cd=0.08294514566659927, cm=-0.01740439236164093
  Angle 2: cl=0.05931437760591507, cd=0.08376501500606537, cm=-0.001985102891921997
  Angle 3: cl=0.3068690299987793, cd=0.0696980431675911, cm=-0.0009238272905349731
  Angle 4: cl=0.40343937277793884, cd=0.07578680664300919, cm=0.0037775635719299316
  Angle 5: cl=0.5011597871780396, cd=0.08411113917827606, cm=0.007098928093910217
  Angle 6: cl=0.5979766845703125, cd=0.09072049707174301, cm=0.008856922388076782
  Angle 7: cl=0.6878558993339539, cd=0.09731712192296982, cm=0.011315643787384033
  Angle 8: cl=0.7788891792297363, cd=0.10252196341753006, cm=0.008885189890861511
  Angle 9: cl=0.8744084239006042, cd=0.10675354301929474, cm=0.000558808445930481
  Angle 10: cl=0.9720357656478882, cd=0.11382313817739487, cm=-0.007173463702201843
Genotype [0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879]:
  Angle -10: cl=-0.560405969619751, cd=0.22783353924751282, cm=-0.18890054523944855
  Angle -9: cl=-0.5841498970985413, cd=0.19407866895198822, cm=-0.18662358820438385
  Angle -8: cl=-0.6067294478416443, cd=0.15917232632637024, cm=-0.1851954609155655
  Angle -7: cl=-0.6456461548805237, cd=0.12611837685108185, cm=-0.1778937429189682
  Angle -6: cl=-0.6011024713516235, cd=0.11281625926494598, cm=-0.16253073513507843
  Angle -5: cl=-0.5051752924919128, cd=0.10387922823429108, cm=-0.1488800197839737
  Angle -4: cl=-0.41200050711631775, cd=0.09899349510669708, cm=-0.13564075529575348
  Angle -3: cl=-0.3092217445373535, cd=0.09271964430809021, cm=-0.1214057058095932
  Angle -2: cl=-0.24006572365760803, cd=0.08726891130208969, cm=-0.09589208662509918
  Angle -1: cl=-0.1790400743484497, cd=0.08281954377889633, cm=-0.0664103776216507
  Angle 0: cl=-0.10800182819366455, cd=0.08247656375169754, cm=-0.03932146728038788
  Angle 1: cl=-0.024271609261631966, cd=0.08297863602638245, cm=-0.017604395747184753
  Angle 2: cl=0.05941705405712128, cd=0.08376389741897583, cm=-0.002139657735824585
  Angle 3: cl=0.30726853013038635, cd=0.0696140006184578, cm=-0.0009441226720809937
  Angle 4: cl=0.4040563106536865, cd=0.0757010281085968, cm=0.003649115562438965
  Angle 5: cl=0.5015776753425598, cd=0.08402013778686523, cm=0.0070732831954956055
  Angle 6: cl=0.5982289910316467, cd=0.09065961837768555, cm=0.008836865425109863
  Angle 7: cl=0.6883108615875244, cd=0.09725528955459595, cm=0.011238634586334229
  Angle 8: cl=0.7791829109191895, cd=0.10249343514442444, cm=0.008946076035499573
  Angle 9: cl=0.8747143149375916, cd=0.10670176148414612, cm=0.0006456375122070312
  Angle 10: cl=0.9723888039588928, cd=0.11374495923519135, cm=-0.0071275681257247925
Genotype [0.0085, 0.46, 0.13, -0.7945992424772584, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879]:
  Angle -10: cl=-0.560405969619751, cd=0.22783353924751282, cm=-0.18890054523944855
  Angle -9: cl=-0.5841498970985413, cd=0.19407866895198822, cm=-0.18662358820438385
  Angle -8: cl=-0.6067294478416443, cd=0.15917232632637024, cm=-0.1851954609155655
  Angle -7: cl=-0.6456461548805237, cd=0.12611837685108185, cm=-0.1778937429189682
  Angle -6: cl=-0.6011024713516235, cd=0.11281625926494598, cm=-0.16253073513507843
  Angle -5: cl=-0.5051752924919128, cd=0.10387922823429108, cm=-0.1488800197839737
  Angle -4: cl=-0.41200050711631775, cd=0.09899349510669708, cm=-0.13564075529575348
  Angle -3: cl=-0.3092217445373535, cd=0.09271964430809021, cm=-0.1214057058095932
  Angle -2: cl=-0.24006572365760803, cd=0.08726891130208969, cm=-0.09589208662509918
  Angle -1: cl=-0.1790400743484497, cd=0.08281954377889633, cm=-0.0664103776216507
  Angle 0: cl=-0.10800182819366455, cd=0.08247656375169754, cm=-0.03932146728038788
  Angle 1: cl=-0.024271609261631966, cd=0.08297863602638245, cm=-0.017604395747184753
  Angle 2: cl=0.05941705405712128, cd=0.08376389741897583, cm=-0.002139657735824585
  Angle 3: cl=0.30726853013038635, cd=0.0696140006184578, cm=-0.0009441226720809937
  Angle 4: cl=0.4040563106536865, cd=0.0757010281085968, cm=0.003649115562438965
  Angle 5: cl=0.5015776753425598, cd=0.08402013778686523, cm=0.0070732831954956055
  Angle 6: cl=0.5982289910316467, cd=0.09065961837768555, cm=0.008836865425109863
  Angle 7: cl=0.6883108615875244, cd=0.09725528955459595, cm=0.011238634586334229
  Angle 8: cl=0.7791829109191895, cd=0.10249343514442444, cm=0.008946076035499573
  Angle 9: cl=0.8747143149375916, cd=0.10670176148414612, cm=0.0006456375122070312
  Angle 10: cl=0.9723888039588928, cd=0.11374495923519135, cm=-0.0071275681257247925
Genotype [0.0085, 0.46, 0.11, -0.7945992424772584, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879]:
  Angle -10: cl=-0.6125257611274719, cd=0.22703364491462708, cm=-0.1877734214067459
  Angle -9: cl=-0.6510347723960876, cd=0.19650381803512573, cm=-0.1804499477148056
  Angle -8: cl=-0.6910316944122314, cd=0.16570889949798584, cm=-0.17498977482318878
  Angle -7: cl=-0.7088341116905212, cd=0.13362126052379608, cm=-0.16987238824367523
  Angle -6: cl=-0.6603659391403198, cd=0.12115711718797684, cm=-0.15541653335094452
  Angle -5: cl=-0.566351056098938, cd=0.10731814056634903, cm=-0.14276330173015594
  Angle -4: cl=-0.45192408561706543, cd=0.09558083117008209, cm=-0.13028384745121002
  Angle -3: cl=-0.3348139226436615, cd=0.08592688292264938, cm=-0.11600781977176666
  Angle -2: cl=-0.24518093466758728, cd=0.07885398715734482, cm=-0.09375621378421783
  Angle -1: cl=-0.18635958433151245, cd=0.07528416067361832, cm=-0.06529887020587921
  Angle 0: cl=-0.12916967272758484, cd=0.07526048272848129, cm=-0.035505637526512146
  Angle 1: cl=-0.07169431447982788, cd=0.0788297951221466, cm=-0.011762574315071106
  Angle 2: cl=0.0010444168001413345, cd=0.08439119160175323, cm=0.0014113187789916992
  Angle 3: cl=0.17917409539222717, cd=0.07705742120742798, cm=0.0053846389055252075
  Angle 4: cl=0.296725332736969, cd=0.07826339453458786, cm=0.010764256119728088
  Angle 5: cl=0.37860432267189026, cd=0.0838242620229721, cm=0.015775486826896667
  Angle 6: cl=0.46435654163360596, cd=0.08991658687591553, cm=0.0188751220703125
  Angle 7: cl=0.5522815585136414, cd=0.09679064899682999, cm=0.02134108543395996
  Angle 8: cl=0.6412643790245056, cd=0.10104670375585556, cm=0.018025413155555725
  Angle 9: cl=0.7315627336502075, cd=0.10419735312461853, cm=0.010520592331886292
  Angle 10: cl=0.827807605266571, cd=0.1084662601351738, cm=0.0024924129247665405
Genotype [0.0085, 0.46, 0.13, -0.8005934909548069, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.883272229190348, 10.11917653024879]:
  Angle -10: cl=-0.5603338479995728, cd=0.22784633934497833, cm=-0.1888972967863083
  Angle -9: cl=-0.5841462016105652, cd=0.19408361613750458, cm=-0.18662293255329132
  Angle -8: cl=-0.6067255735397339, cd=0.1591678112745285, cm=-0.1852104812860489
  Angle -7: cl=-0.6456273198127747, cd=0.1261221468448639, cm=-0.1778973788022995
  Angle -6: cl=-0.6010916829109192, cd=0.1128157302737236, cm=-0.1625295728445053
  Angle -5: cl=-0.5051750540733337, cd=0.10388252884149551, cm=-0.1488553136587143
  Angle -4: cl=-0.41194409132003784, cd=0.09899335354566574, cm=-0.13565252721309662
  Angle -3: cl=-0.30920764803886414, cd=0.0927191972732544, cm=-0.12140537798404694
  Angle -2: cl=-0.2400612235069275, cd=0.08727116137742996, cm=-0.09590373933315277
  Angle -1: cl=-0.17890340089797974, cd=0.0828147605061531, cm=-0.0664355605840683
  Angle 0: cl=-0.1080072671175003, cd=0.08247678726911545, cm=-0.039317235350608826
  Angle 1: cl=-0.02425144799053669, cd=0.0829806700348854, cm=-0.017602309584617615
  Angle 2: cl=0.059545986354351044, cd=0.08377614617347717, cm=-0.002142801880836487
  Angle 3: cl=0.30753234028816223, cd=0.06960079818964005, cm=-0.0009859651327133179
