Experiment: Nash_Combination_Experiment_10
Generation: 81
Generation Type: u
Timestamp: 20231226_054303

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.0864363529806364, -0.003, 0.0025, 8.777318849527905, 10.054283659585572] - Base Fitness: 0.1771613616045903, Adjusted Fitness: 0.1771613616045903
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.028433511427426] - Base Fitness: 0.20289995631453908, Adjusted Fitness: 0.20289995631453908
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.77770328377232, 10.021934664826109] - Base Fitness: 0.20348952112553326, Adjusted Fitness: 0.20348952112553326
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.03732890831952] - Base Fitness: 0.20174313678317218, Adjusted Fitness: 0.20174313678317218
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.054283659585572] - Base Fitness: 0.19984432869400548, Adjusted Fitness: 0.19984432869400548
[0.0085, 0.46, 0.13, -0.8679363284410184, 0.23417939273785504, -0.023, 0.05, -0.003, 0.0025, 8.77166546437087, 10.043341485148634] - Base Fitness: -0.4553469279641593, Adjusted Fitness: -0.4553469279641593
[0.0085, 0.46, 0.13, -0.8968477189297192, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.054283659585572] - Base Fitness: 0.1998611268510223, Adjusted Fitness: 0.1998611268510223
[0.0085, 0.46, 0.13, -0.8994691833357419, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.743292718499587, 10.043341485148634] - Base Fitness: 0.2034225425409658, Adjusted Fitness: 0.2034225425409658
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.754242311909895, 10.033120251887379] - Base Fitness: 0.20348317742865418, Adjusted Fitness: 0.20348317742865418
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.77770328377232, 10.054283659585572] - Base Fitness: 0.19975829550279753, Adjusted Fitness: 0.19975829550279753
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.77770328377232, 10.054283659585572] - Base Fitness: 0.19975829550279753, Adjusted Fitness: 0.19975829550279753
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.054283659585572] - Base Fitness: 0.19984432869400548, Adjusted Fitness: 0.19984432869400548
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.24325933102460826, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.054283659585572] - Base Fitness: -0.21223449283840054, Adjusted Fitness: -0.21223449283840054
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.77770328377232, 10.054283659585572] - Base Fitness: 0.19975829550279753, Adjusted Fitness: 0.19975829550279753
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.77770328377232, 10.054283659585572] - Base Fitness: 0.19975829550279753, Adjusted Fitness: 0.19975829550279753
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.054283659585572] - Base Fitness: 0.19984432869400548, Adjusted Fitness: 0.19984432869400548
[0.0085, 0.46, 0.13, -0.8994691833357419, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.743292718499587, 10.043341485148634] - Base Fitness: 0.2034225425409658, Adjusted Fitness: 0.2034225425409658
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.014056005677299] - Base Fitness: 0.2045090844424485, Adjusted Fitness: 0.2045090844424485
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.788627666020021, 10.054283659585572] - Base Fitness: 0.19889557678733757, Adjusted Fitness: 0.19889557678733757
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.030173691511632] - Base Fitness: 0.20261990064143284, Adjusted Fitness: 0.20261990064143284
[0.0085, 0.46, 0.12018514906994046, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.03732890831952] - Base Fitness: -0.16928052872103466, Adjusted Fitness: -0.16928052872103466
[0.0085, 0.46, 0.11, -0.8968477189297192, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.743292718499587, 10.043341485148634] - Base Fitness: -0.5252270155173965, Adjusted Fitness: -0.5252270155173965
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.77770328377232, 10.054283659585572] - Base Fitness: 0.19975829550279753, Adjusted Fitness: 0.19975829550279753
[0.0085, 0.46, 0.13, -0.8968477189297192, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.743292718499587, 10.054283659585572] - Base Fitness: 0.20212444690398718, Adjusted Fitness: 0.20212444690398718
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.054283659585572] - Base Fitness: 0.2001593705283087, Adjusted Fitness: 0.2001593705283087
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.21608141962108288, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.054283659585572] - Base Fitness: -0.9750219632962019, Adjusted Fitness: -0.9750219632962019
[0.0085, 0.46, 0.13, -0.8968477189297192, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.054283659585572] - Base Fitness: 0.1998611268510223, Adjusted Fitness: 0.1998611268510223
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.005, 8.77770328377232, 10.054283659585572] - Base Fitness: -0.08811348986881554, Adjusted Fitness: -0.08811348986881554
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.77770328377232, 10.054283659585572] - Base Fitness: 0.19975829550279753, Adjusted Fitness: 0.19975829550279753
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.054283659585572] - Base Fitness: 0.19984432869400548, Adjusted Fitness: 0.19984432869400548
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.054283659585572] - Base Fitness: 0.19984432869400548, Adjusted Fitness: 0.19984432869400548
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.77770328377232, 10.054283659585572] - Base Fitness: 0.19975829550279753, Adjusted Fitness: 0.19975829550279753
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.022920125737079] - Base Fitness: 0.20342369662984894, Adjusted Fitness: 0.20342369662984894
[0.0085, 0.46, 0.13, -0.8968477189297192, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.03732890831952] - Base Fitness: 0.20178950407997548, Adjusted Fitness: 0.20178950407997548
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.054283659585572] - Base Fitness: 0.19984432869400548, Adjusted Fitness: 0.19984432869400548
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.054283659585572] - Base Fitness: 0.19984432869400548, Adjusted Fitness: 0.19984432869400548
[0.0085, 0.46, 0.13, -0.8968477189297192, 0.26, -0.023, 0.05, -0.006, 0.0025, 8.777318849527905, 10.03732890831952] - Base Fitness: -0.25609024563168026, Adjusted Fitness: -0.25609024563168026
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.026589798212223] - Base Fitness: 0.20318027844455716, Adjusted Fitness: 0.20318027844455716
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.754242311909895, 10.033120251887379] - Base Fitness: 0.20348317742865418, Adjusted Fitness: 0.20348317742865418
[0.0085, 0.46, 0.11, -0.8737358507303159, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.054283659585572] - Base Fitness: -0.5294978457123187, Adjusted Fitness: -0.5294978457123187
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.054283659585572] - Base Fitness: 0.19984432869400548, Adjusted Fitness: 0.19984432869400548
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.754242311909895, 10.033120251887379] - Base Fitness: 0.20348317742865418, Adjusted Fitness: 0.20348317742865418
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.754242311909895, 10.033120251887379] - Base Fitness: 0.20348317742865418, Adjusted Fitness: 0.20348317742865418
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.014056005677299] - Base Fitness: 0.2045090844424485, Adjusted Fitness: 0.2045090844424485
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.054283659585572] - Base Fitness: 0.19984432869400548, Adjusted Fitness: 0.19984432869400548
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.03732890831952] - Base Fitness: 0.20174313678317218, Adjusted Fitness: 0.20174313678317218
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.015, 0.05, -0.003, 0.0025, 8.777318849527905, 10.054283659585572] - Base Fitness: -0.4319078268652776, Adjusted Fitness: -0.4319078268652776
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.035215654082899] - Base Fitness: 0.2019757109978887, Adjusted Fitness: 0.2019757109978887
[0.0085, 0.46, 0.11174945828986736, -0.8552486980947392, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.022920125737079] - Base Fitness: -0.4664830663616042, Adjusted Fitness: -0.4664615552950302
[0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.054283659585572] - Base Fitness: 0.19984432869400548, Adjusted Fitness: 0.19984432869400548

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.0864363529806364, -0.003, 0.0025, 8.777318849527905, 10.054283659585572]:
  Angle -10: cl=-0.560302197933197, cd=0.22766254842281342, cm=-0.18876652419567108
  Angle -9: cl=-0.5839502811431885, cd=0.19391648471355438, cm=-0.18646617233753204
  Angle -8: cl=-0.606870174407959, cd=0.15902167558670044, cm=-0.1851142793893814
  Angle -7: cl=-0.6456500887870789, cd=0.12600494921207428, cm=-0.17768897116184235
  Angle -6: cl=-0.6011156439781189, cd=0.11275677382946014, cm=-0.16238905489444733
  Angle -5: cl=-0.5053475499153137, cd=0.1038774847984314, cm=-0.14878837764263153
  Angle -4: cl=-0.4125201404094696, cd=0.09900657832622528, cm=-0.13554002344608307
  Angle -3: cl=-0.309360533952713, cd=0.0927148163318634, cm=-0.12124757468700409
  Angle -2: cl=-0.24047306180000305, cd=0.08725570142269135, cm=-0.09567670524120331
  Angle -1: cl=-0.17955252528190613, cd=0.08277919143438339, cm=-0.06622244417667389
  Angle 0: cl=-0.10868021845817566, cd=0.08243072777986526, cm=-0.0390905886888504
  Angle 1: cl=-0.024818258360028267, cd=0.08293267339468002, cm=-0.017458096146583557
  Angle 2: cl=0.05878036469221115, cd=0.08373325318098068, cm=-0.0019859224557876587
  Angle 3: cl=0.3067430257797241, cd=0.06967616081237793, cm=-0.0009003877639770508
  Angle 4: cl=0.40344569087028503, cd=0.07576175034046173, cm=0.0037794411182403564
  Angle 5: cl=0.5011188983917236, cd=0.08406484872102737, cm=0.007110312581062317
  Angle 6: cl=0.5980861783027649, cd=0.0906851664185524, cm=0.008831605315208435
  Angle 7: cl=0.6878281235694885, cd=0.09730056673288345, cm=0.011296138167381287
  Angle 8: cl=0.7789854407310486, cd=0.10250143706798553, cm=0.008926481008529663
  Angle 9: cl=0.874603271484375, cd=0.10672388970851898, cm=0.0006189048290252686
  Angle 10: cl=0.9720259308815002, cd=0.11382102966308594, cm=-0.007088884711265564
Genotype [0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.028433511427426]:
  Angle -10: cl=-0.5604332685470581, cd=0.22835922241210938, cm=-0.18899060785770416
  Angle -9: cl=-0.5841208100318909, cd=0.19462402164936066, cm=-0.1866689771413803
  Angle -8: cl=-0.6069332361221313, cd=0.15977370738983154, cm=-0.18542195856571198
  Angle -7: cl=-0.6456684470176697, cd=0.12657953798770905, cm=-0.17828573286533356
  Angle -6: cl=-0.6002956628799438, cd=0.11303234100341797, cm=-0.16299764811992645
  Angle -5: cl=-0.503252387046814, cd=0.10391302406787872, cm=-0.14943040907382965
  Angle -4: cl=-0.41085588932037354, cd=0.09909668564796448, cm=-0.13612158596515656
  Angle -3: cl=-0.3083020746707916, cd=0.09288410097360611, cm=-0.12197564542293549
  Angle -2: cl=-0.23783761262893677, cd=0.08746656775474548, cm=-0.09686549007892609
  Angle -1: cl=-0.17689214646816254, cd=0.08299408853054047, cm=-0.06738369166851044
  Angle 0: cl=-0.10511872172355652, cd=0.08256033807992935, cm=-0.04028119146823883
  Angle 1: cl=-0.021068597212433815, cd=0.08311614394187927, cm=-0.018589332699775696
  Angle 2: cl=0.06270553171634674, cd=0.08389122039079666, cm=-0.0031426697969436646
  Angle 3: cl=0.3117317259311676, cd=0.06898183375597, cm=-0.0014223307371139526
  Angle 4: cl=0.40851542353630066, cd=0.07535596191883087, cm=0.0032134056091308594
  Angle 5: cl=0.5063311457633972, cd=0.08365554362535477, cm=0.00653684139251709
  Angle 6: cl=0.6023923754692078, cd=0.09034376591444016, cm=0.008360609412193298
  Angle 7: cl=0.6923362016677856, cd=0.09693353623151779, cm=0.010789752006530762
  Angle 8: cl=0.7831767201423645, cd=0.10242701321840286, cm=0.00910678505897522
  Angle 9: cl=0.8790059685707092, cd=0.10663412511348724, cm=0.0008457601070404053
  Angle 10: cl=0.9764596819877625, cd=0.11374993622303009, cm=-0.006916239857673645
Genotype [0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.77770328377232, 10.021934664826109]:
  Angle -10: cl=-0.5604355335235596, cd=0.22837744653224945, cm=-0.1889970451593399
  Angle -9: cl=-0.5841538906097412, cd=0.19463127851486206, cm=-0.18666903674602509
  Angle -8: cl=-0.6069485545158386, cd=0.15976479649543762, cm=-0.1854362040758133
  Angle -7: cl=-0.6457110643386841, cd=0.12657304108142853, cm=-0.17833183705806732
  Angle -6: cl=-0.6002321839332581, cd=0.11303761601448059, cm=-0.16301895678043365
  Angle -5: cl=-0.5032374262809753, cd=0.10390908271074295, cm=-0.1494399458169937
  Angle -4: cl=-0.4108797609806061, cd=0.09911050647497177, cm=-0.13613088428974152
  Angle -3: cl=-0.3081554174423218, cd=0.09289977699518204, cm=-0.121975377202034
  Angle -2: cl=-0.23781073093414307, cd=0.0874640941619873, cm=-0.09686891734600067
  Angle -1: cl=-0.17686022818088531, cd=0.08300424367189407, cm=-0.06741799414157867
  Angle 0: cl=-0.10506889224052429, cd=0.0825592428445816, cm=-0.04028789699077606
  Angle 1: cl=-0.020937832072377205, cd=0.08311475068330765, cm=-0.018605217337608337
  Angle 2: cl=0.06286295503377914, cd=0.08391281962394714, cm=-0.003179386258125305
  Angle 3: cl=0.3117668628692627, cd=0.06897945702075958, cm=-0.001441866159439087
  Angle 4: cl=0.4086308777332306, cd=0.07533708214759827, cm=0.0031882673501968384
  Angle 5: cl=0.5065066814422607, cd=0.08364127576351166, cm=0.006510809063911438
  Angle 6: cl=0.6024489402770996, cd=0.09032582491636276, cm=0.00833842158317566
  Angle 7: cl=0.6923989057540894, cd=0.09693602472543716, cm=0.010780483484268188
  Angle 8: cl=0.7833016514778137, cd=0.1024300828576088, cm=0.009104877710342407
  Angle 9: cl=0.8791014552116394, cd=0.1066303625702858, cm=0.0008486807346343994
  Angle 10: cl=0.9766398668289185, cd=0.11377522349357605, cm=-0.006889417767524719
Genotype [0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.03732890831952]:
  Angle -10: cl=-0.5604318976402283, cd=0.2283504754304886, cm=-0.1889926642179489
  Angle -9: cl=-0.5841732025146484, cd=0.1945888251066208, cm=-0.1866654008626938
  Angle -8: cl=-0.6069234609603882, cd=0.15977364778518677, cm=-0.18540523946285248
  Angle -7: cl=-0.6456760764122009, cd=0.12655705213546753, cm=-0.17826776206493378
  Angle -6: cl=-0.6002576947212219, cd=0.11302913725376129, cm=-0.16297535598278046
  Angle -5: cl=-0.5032456517219543, cd=0.10390830785036087, cm=-0.14941613376140594
  Angle -4: cl=-0.41098397970199585, cd=0.09910141676664352, cm=-0.13609223067760468
  Angle -3: cl=-0.3084436357021332, cd=0.09288577735424042, cm=-0.12194351851940155
  Angle -2: cl=-0.23801663517951965, cd=0.08745761215686798, cm=-0.09680943191051483
  Angle -1: cl=-0.17695395648479462, cd=0.08297937363386154, cm=-0.06736527383327484
  Angle 0: cl=-0.10521359741687775, cd=0.08255671709775925, cm=-0.04022829234600067
  Angle 1: cl=-0.021217631176114082, cd=0.08309187740087509, cm=-0.01853860914707184
  Angle 2: cl=0.0626104325056076, cd=0.08389758318662643, cm=-0.003130987286567688
  Angle 3: cl=0.3114754557609558, cd=0.06900231540203094, cm=-0.0014021992683410645
  Angle 4: cl=0.40834927558898926, cd=0.0753616988658905, cm=0.0032258033752441406
  Angle 5: cl=0.5060558319091797, cd=0.08369264006614685, cm=0.00654292106628418
  Angle 6: cl=0.6022969484329224, cd=0.0903465673327446, cm=0.008384451270103455
  Angle 7: cl=0.6920311450958252, cd=0.09695926308631897, cm=0.010818049311637878
  Angle 8: cl=0.7830474972724915, cd=0.1024254783987999, cm=0.00911751389503479
  Angle 9: cl=0.8785479068756104, cd=0.106622613966465, cm=0.0008527487516403198
  Angle 10: cl=0.976359486579895, cd=0.11375436931848526, cm=-0.00691889226436615
Genotype [0.0085, 0.46, 0.13, -0.8952783912040142, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.777318849527905, 10.054283659585572]:
  Angle -10: cl=-0.560404360294342, cd=0.22834041714668274, cm=-0.18899478018283844
  Angle -9: cl=-0.5841400623321533, cd=0.19458383321762085, cm=-0.18660537898540497
  Angle -8: cl=-0.6069837212562561, cd=0.15975047647953033, cm=-0.1853882223367691
  Angle -7: cl=-0.6456388235092163, cd=0.1265651136636734, cm=-0.1782645434141159
  Angle -6: cl=-0.6003821492195129, cd=0.11301585286855698, cm=-0.16292966902256012
  Angle -5: cl=-0.5033739805221558, cd=0.10391015559434891, cm=-0.14941717684268951
  Angle -4: cl=-0.4109913408756256, cd=0.099087193608284, cm=-0.13610638678073883
  Angle -3: cl=-0.30844566226005554, cd=0.09286212176084518, cm=-0.12189771234989166
  Angle -2: cl=-0.23824986815452576, cd=0.08742990344762802, cm=-0.09672729671001434
  Angle -1: cl=-0.17718656361103058, cd=0.082950159907341, cm=-0.06728972494602203
  Angle 0: cl=-0.10536643862724304, cd=0.08254043757915497, cm=-0.040152713656425476
  Angle 1: cl=-0.021451519802212715, cd=0.0831088274717331, cm=-0.018462464213371277
  Angle 2: cl=0.062255844473838806, cd=0.08387712389230728, cm=-0.0030248910188674927
  Angle 3: cl=0.3112105131149292, cd=0.06903717666864395, cm=-0.001359984278678894
  Angle 4: cl=0.4080232083797455, cd=0.07537967711687088, cm=0.0032604485750198364
  Angle 5: cl=0.5057125687599182, cd=0.08369859308004379, cm=0.006594404578208923
  Angle 6: cl=0.601710319519043, cd=0.0903770849108696, cm=0.008432015776634216
  Angle 7: cl=0.6917502284049988, cd=0.09697499871253967, cm=0.010831370949745178
  Angle 8: cl=0.7827762961387634, cd=0.10242248326539993, cm=0.00913846492767334
  Angle 9: cl=0.8782169222831726, cd=0.10664059966802597, cm=0.0008104145526885986
  Angle 10: cl=0.9758577346801758, cd=0.1137157455086708, cm=-0.006907448172569275
Genotype [0.0085, 0.46, 0.13, -0.8679363284410184, 0.23417939273785504, -0.023, 0.05, -0.003, 0.0025, 8.77166546437087, 10.043341485148634]:
  Angle -10: cl=-0.5567845106124878, cd=0.20831601321697235, cm=-0.1849496215581894
  Angle -9: cl=-0.5851959586143494, cd=0.17542806267738342, cm=-0.18168090283870697
  Angle -8: cl=-0.6110571026802063, cd=0.1448574662208557, cm=-0.17514459788799286
  Angle -7: cl=-0.6460665464401245, cd=0.11919072270393372, cm=-0.16447989642620087
  Angle -6: cl=-0.6319280862808228, cd=0.10899907350540161, cm=-0.1496100276708603
  Angle -5: cl=-0.5562915802001953, cd=0.10298330336809158, cm=-0.13317714631557465
  Angle -4: cl=-0.4641227722167969, cd=0.09581585973501205, cm=-0.11393968760967255
  Angle -3: cl=-0.37875285744667053, cd=0.08838700503110886, cm=-0.09121470153331757
  Angle -2: cl=-0.3082312345504761, cd=0.0823696106672287, cm=-0.06432460248470306
  Angle -1: cl=-0.24957504868507385, cd=0.07918620109558105, cm=-0.03661401569843292
  Angle 0: cl=-0.1899012327194214, cd=0.08420199155807495, cm=-0.017868712544441223
  Angle 1: cl=-0.11708371341228485, cd=0.09147904813289642, cm=-0.0024813562631607056
  Angle 2: cl=-0.010812906548380852, cd=0.09426704049110413, cm=0.009426504373550415
  Angle 3: cl=0.19639016687870026, cd=0.08581782132387161, cm=0.01165039837360382
