Experiment: Nash_Combination_Experiment_11
Generation: 60
Generation Type: u
Timestamp: 20231226_055643

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795] - Base Fitness: 0.1754874773462487, Adjusted Fitness: 0.1754874773462487
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.981287197673964, 10.690259743446795] - Base Fitness: 0.17146954514813725, Adjusted Fitness: 0.17146954514813725
[0.0126, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795] - Base Fitness: -0.5324811751755445, Adjusted Fitness: -0.5324811751755445
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795] - Base Fitness: 0.1754874773462487, Adjusted Fitness: 0.1754874773462487
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.981287197673964, 10.690259743446795] - Base Fitness: 0.17146954514813725, Adjusted Fitness: 0.17146954514813725
[0.0085, 0.45809403155714945, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795] - Base Fitness: 0.175644738700011, Adjusted Fitness: 0.175644738700011
[0.0085, 0.45809403155714945, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795] - Base Fitness: 0.175644738700011, Adjusted Fitness: 0.175644738700011
[0.0085, 0.45809403155714945, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.006, 0.0025, 8.012477604745236, 10.681118054497706] - Base Fitness: -0.28216454235634275, Adjusted Fitness: -0.280820039992572
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.9723940713821895, 10.62576761319233] - Base Fitness: 0.17917240091455044, Adjusted Fitness: 0.17917240091455044
[0.0085, 0.45809403155714945, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.62576761319233] - Base Fitness: 0.18311718862581722, Adjusted Fitness: 0.18311718862581722
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.985331640757455, 10.684162662158045] - Base Fitness: 0.17170985347270135, Adjusted Fitness: 0.17170985347270135
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.9376934343663725, 10.690259743446795] - Base Fitness: 0.17389433037931498, Adjusted Fitness: 0.17389433037931498
[0.0085, 0.45809403155714945, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795] - Base Fitness: 0.175644738700011, Adjusted Fitness: 0.175644738700011
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795] - Base Fitness: 0.1754874773462487, Adjusted Fitness: 0.1754874773462487
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.673111191170655] - Base Fitness: 0.1774466850156341, Adjusted Fitness: 0.1774466850156341
[0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.06485979979361871, -0.003, 0.0025, 7.981287197673964, 10.690259743446795] - Base Fitness: 0.1630793646673509, Adjusted Fitness: 0.16733972137805814
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795] - Base Fitness: 0.1754874773462487, Adjusted Fitness: 0.1754874773462487
[0.0085, 0.46, 0.11076022948028287, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795] - Base Fitness: -0.5255417223804146, Adjusted Fitness: -0.5255417223804146
[0.0085, 0.45809403155714945, 0.13, -0.897129996909815, 0.26, -0.023, 0.058244829161812575, -0.003, 0.0025, 7.895170923958352, 10.690259743446795] - Base Fitness: 0.1708952361005682, Adjusted Fitness: 0.1708952361005682
[0.0085, 0.45809403155714945, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795] - Base Fitness: 0.175644738700011, Adjusted Fitness: 0.175644738700011
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795] - Base Fitness: 0.1754874773462487, Adjusted Fitness: 0.1754874773462487
[0.0085, 0.4434764299347246, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.981287197673964, 10.6571979788458] - Base Fitness: -0.1189541805442638, Adjusted Fitness: -0.1166124619202275
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795] - Base Fitness: 0.1754874773462487, Adjusted Fitness: 0.1754874773462487
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795] - Base Fitness: 0.1756262733001639, Adjusted Fitness: 0.1756262733001639
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.673111191170655] - Base Fitness: 0.1774466850156341, Adjusted Fitness: 0.1774466850156341
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.673111191170655] - Base Fitness: 0.1774466850156341, Adjusted Fitness: 0.1774466850156341
[0.0085, 0.46, 0.13, -0.8947873797967154, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.981287197673964, 10.690259743446795] - Base Fitness: 0.17135460839655875, Adjusted Fitness: 0.17135460839655875
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.992004120872399, 10.690259743446795] - Base Fitness: -0.46321672363497307, Adjusted Fitness: -0.46321672363497307
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795] - Base Fitness: 0.1754874773462487, Adjusted Fitness: 0.1754874773462487
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.981287197673964, 10.690259743446795] - Base Fitness: 0.17152642719271938, Adjusted Fitness: 0.17152642719271938
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.012477604745236, 10.684162662158045] - Base Fitness: 0.1708623023871613, Adjusted Fitness: 0.17104822688433258
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.985331640757455, 10.690259743446795] - Base Fitness: 0.17141309647878186, Adjusted Fitness: 0.17141309647878186
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.06664885721069343, -0.003, 0.0025, 7.847702028929071, 10.678727976320845] - Base Fitness: 0.16944290611931612, Adjusted Fitness: 0.1705076734251096
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.012477604745236, 10.684162662158045] - Base Fitness: 0.17099056221220146, Adjusted Fitness: 0.17099056221220146
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.673111191170655] - Base Fitness: 0.1774466850156341, Adjusted Fitness: 0.1774466850156341
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.992004120872399, 10.673111191170655] - Base Fitness: 0.17263383468158508, Adjusted Fitness: 0.17263383468158508
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.992004120872399, 10.62576761319233] - Base Fitness: 0.17826526715560626, Adjusted Fitness: 0.17826526715560626
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.981287197673964, 10.690259743446795] - Base Fitness: 0.17146954514813725, Adjusted Fitness: 0.17146954514813725
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.992004120872399, 10.62576761319233] - Base Fitness: 0.17826526715560626, Adjusted Fitness: 0.17826526715560626
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795] - Base Fitness: 0.1756262733001639, Adjusted Fitness: 0.1756262733001639
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.012477604745236, 10.684162662158045] - Base Fitness: 0.17099056221220146, Adjusted Fitness: 0.17099056221220146
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.673111191170655] - Base Fitness: 0.1774466850156341, Adjusted Fitness: 0.1774466850156341
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.94782435803793, 10.673111191170655] - Base Fitness: 0.17531862665349976, Adjusted Fitness: 0.17531862665349976
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.972990332406985, 10.690259743446795] - Base Fitness: 0.17175082737280306, Adjusted Fitness: 0.17175082737280306
[0.0126, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.874278078249274, 10.673111191170655] - Base Fitness: -0.5300199869494485, Adjusted Fitness: -0.5300199869494485
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.981287197673964, 10.690259743446795] - Base Fitness: 0.17146954514813725, Adjusted Fitness: 0.17146954514813725
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795] - Base Fitness: 0.1754874773462487, Adjusted Fitness: 0.1754874773462487
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.981287197673964, 10.690259743446795] - Base Fitness: 0.17146954514813725, Adjusted Fitness: 0.17146954514813725
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795] - Base Fitness: 0.1754874773462487, Adjusted Fitness: 0.1754874773462487
[0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.992004120872399, 10.62576761319233] - Base Fitness: 0.17826526715560626, Adjusted Fitness: 0.17826526715560626

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795]:
  Angle -10: cl=-0.5624957084655762, cd=0.23102954030036926, cm=-0.18910561501979828
  Angle -9: cl=-0.5895297527313232, cd=0.19785861670970917, cm=-0.185944601893425
  Angle -8: cl=-0.612116277217865, cd=0.16289274394512177, cm=-0.18448646366596222
  Angle -7: cl=-0.6513106226921082, cd=0.12874490022659302, cm=-0.17864130437374115
  Angle -6: cl=-0.607900083065033, cd=0.11433714628219604, cm=-0.16336889564990997
  Angle -5: cl=-0.5049600005149841, cd=0.10399975627660751, cm=-0.15043966472148895
  Angle -4: cl=-0.4124515652656555, cd=0.09900137037038803, cm=-0.13710205256938934
  Angle -3: cl=-0.31019943952560425, cd=0.09293553978204727, cm=-0.12314580380916595
  Angle -2: cl=-0.23502123355865479, cd=0.08743487298488617, cm=-0.09960870444774628
  Angle -1: cl=-0.17409782111644745, cd=0.08285509794950485, cm=-0.07038052380084991
  Angle 0: cl=-0.1044524610042572, cd=0.08227486908435822, cm=-0.04230599105358124
  Angle 1: cl=-0.020974090322852135, cd=0.08280216157436371, cm=-0.02033795416355133
  Angle 2: cl=0.062410756945610046, cd=0.08356775343418121, cm=-0.004971817135810852
  Angle 3: cl=0.3033622205257416, cd=0.06848419457674026, cm=-0.0016329139471054077
  Angle 4: cl=0.405228853225708, cd=0.0741124153137207, cm=0.002891138195991516
  Angle 5: cl=0.5034163594245911, cd=0.08240968734025955, cm=0.00626799464225769
  Angle 6: cl=0.5982993841171265, cd=0.08935514092445374, cm=0.008350849151611328
  Angle 7: cl=0.6881843209266663, cd=0.09594681859016418, cm=0.01072084903717041
  Angle 8: cl=0.778717041015625, cd=0.10183821618556976, cm=0.01039227843284607
  Angle 9: cl=0.873519241809845, cd=0.10592680424451828, cm=0.0022070854902267456
  Angle 10: cl=0.9723424911499023, cd=0.11139669269323349, cm=-0.0057233721017837524
Genotype [0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.981287197673964, 10.690259743446795]:
  Angle -10: cl=-0.5622296929359436, cd=0.2307092547416687, cm=-0.1890609711408615
  Angle -9: cl=-0.5891576409339905, cd=0.19746626913547516, cm=-0.18599797785282135
  Angle -8: cl=-0.6117748022079468, cd=0.16247956454753876, cm=-0.1845145970582962
  Angle -7: cl=-0.650763750076294, cd=0.1285097301006317, cm=-0.17844052612781525
  Angle -6: cl=-0.6072937250137329, cd=0.11410187929868698, cm=-0.16313426196575165
  Angle -5: cl=-0.5054452419281006, cd=0.10398592054843903, cm=-0.15020884573459625
  Angle -4: cl=-0.41259512305259705, cd=0.09896740317344666, cm=-0.13687174022197723
  Angle -3: cl=-0.3101258873939514, cd=0.09288419783115387, cm=-0.12288127839565277
  Angle -2: cl=-0.235935777425766, cd=0.08737969398498535, cm=-0.09913785755634308
  Angle -1: cl=-0.17493318021297455, cd=0.08281207829713821, cm=-0.06983353197574615
  Angle 0: cl=-0.10517095029354095, cd=0.0822533369064331, cm=-0.04181833565235138
  Angle 1: cl=-0.02183765359222889, cd=0.08279051631689072, cm=-0.01992650330066681
  Angle 2: cl=0.06144484132528305, cd=0.08355190604925156, cm=-0.004486456513404846
  Angle 3: cl=0.30373188853263855, cd=0.06859812140464783, cm=-0.0014414489269256592
  Angle 4: cl=0.4039868116378784, cd=0.07430703192949295, cm=0.0030431002378463745
  Angle 5: cl=0.5024436116218567, cd=0.082614466547966, cm=0.0064351558685302734
  Angle 6: cl=0.5973004102706909, cd=0.0895216166973114, cm=0.008541375398635864
  Angle 7: cl=0.6871973276138306, cd=0.09612316638231277, cm=0.010855644941329956
  Angle 8: cl=0.7776020169258118, cd=0.10189740359783173, cm=0.010280698537826538
  Angle 9: cl=0.8727444410324097, cd=0.10599302500486374, cm=0.0020335912704467773
  Angle 10: cl=0.9714955687522888, cd=0.11149425804615021, cm=-0.005905583500862122
Genotype [0.0126, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795]:
  Angle -10: cl=-0.5412377119064331, cd=0.20238758623600006, cm=-0.18282856047153473
  Angle -9: cl=-0.573437511920929, cd=0.172040194272995, cm=-0.17806409299373627
  Angle -8: cl=-0.5988625288009644, cd=0.14572332799434662, cm=-0.17045481503009796
  Angle -7: cl=-0.6283130049705505, cd=0.12308201938867569, cm=-0.15917004644870758
  Angle -6: cl=-0.6449514031410217, cd=0.10997303575277328, cm=-0.1451898068189621
  Angle -5: cl=-0.5577481389045715, cd=0.10222681611776352, cm=-0.12735067307949066
  Angle -4: cl=-0.4731718897819519, cd=0.09439419209957123, cm=-0.10360465943813324
  Angle -3: cl=-0.3877434730529785, cd=0.08660784363746643, cm=-0.07981885969638824
  Angle -2: cl=-0.3151823580265045, cd=0.08038373291492462, cm=-0.05305163562297821
  Angle -1: cl=-0.26357656717300415, cd=0.08249595761299133, cm=-0.03084637224674225
  Angle 0: cl=-0.20353826880455017, cd=0.09040326625108719, cm=-0.014412179589271545
  Angle 1: cl=-0.12915408611297607, cd=0.0974993109703064, cm=0.00042419135570526123
  Angle 2: cl=0.01924147829413414, cd=0.09595135599374771, cm=0.009957671165466309
  Angle 3: cl=0.16433532536029816, cd=0.0949682742357254, cm=0.01657070219516754
  Angle 4: cl=0.25545942783355713, cd=0.09999457746744156, cm=0.0214383602142334
  Angle 5: cl=0.35433971881866455, cd=0.10271897912025452, cm=0.01764500141143799
  Angle 6: cl=0.450477659702301, cd=0.10407788306474686, cm=0.01222984492778778
  Angle 7: cl=0.5492680668830872, cd=0.10532280057668686, cm=0.006865143775939941
  Angle 8: cl=0.6505493521690369, cd=0.1058436930179596, cm=-0.002898886799812317
  Angle 9: cl=0.7651109099388123, cd=0.1052432581782341, cm=-0.026437178254127502
  Angle 10: cl=0.8789520263671875, cd=0.10706889629364014, cm=-0.050535544753074646
Genotype [0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795]:
  Angle -10: cl=-0.5624957084655762, cd=0.23102954030036926, cm=-0.18910561501979828
  Angle -9: cl=-0.5895297527313232, cd=0.19785861670970917, cm=-0.185944601893425
  Angle -8: cl=-0.612116277217865, cd=0.16289274394512177, cm=-0.18448646366596222
  Angle -7: cl=-0.6513106226921082, cd=0.12874490022659302, cm=-0.17864130437374115
  Angle -6: cl=-0.607900083065033, cd=0.11433714628219604, cm=-0.16336889564990997
  Angle -5: cl=-0.5049600005149841, cd=0.10399975627660751, cm=-0.15043966472148895
  Angle -4: cl=-0.4124515652656555, cd=0.09900137037038803, cm=-0.13710205256938934
  Angle -3: cl=-0.31019943952560425, cd=0.09293553978204727, cm=-0.12314580380916595
  Angle -2: cl=-0.23502123355865479, cd=0.08743487298488617, cm=-0.09960870444774628
  Angle -1: cl=-0.17409782111644745, cd=0.08285509794950485, cm=-0.07038052380084991
  Angle 0: cl=-0.1044524610042572, cd=0.08227486908435822, cm=-0.04230599105358124
  Angle 1: cl=-0.020974090322852135, cd=0.08280216157436371, cm=-0.02033795416355133
  Angle 2: cl=0.062410756945610046, cd=0.08356775343418121, cm=-0.004971817135810852
  Angle 3: cl=0.3033622205257416, cd=0.06848419457674026, cm=-0.0016329139471054077
  Angle 4: cl=0.405228853225708, cd=0.0741124153137207, cm=0.002891138195991516
  Angle 5: cl=0.5034163594245911, cd=0.08240968734025955, cm=0.00626799464225769
  Angle 6: cl=0.5982993841171265, cd=0.08935514092445374, cm=0.008350849151611328
  Angle 7: cl=0.6881843209266663, cd=0.09594681859016418, cm=0.01072084903717041
  Angle 8: cl=0.778717041015625, cd=0.10183821618556976, cm=0.01039227843284607
  Angle 9: cl=0.873519241809845, cd=0.10592680424451828, cm=0.0022070854902267456
  Angle 10: cl=0.9723424911499023, cd=0.11139669269323349, cm=-0.0057233721017837524
Genotype [0.0085, 0.46, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.981287197673964, 10.690259743446795]:
  Angle -10: cl=-0.5622296929359436, cd=0.2307092547416687, cm=-0.1890609711408615
  Angle -9: cl=-0.5891576409339905, cd=0.19746626913547516, cm=-0.18599797785282135
  Angle -8: cl=-0.6117748022079468, cd=0.16247956454753876, cm=-0.1845145970582962
  Angle -7: cl=-0.650763750076294, cd=0.1285097301006317, cm=-0.17844052612781525
  Angle -6: cl=-0.6072937250137329, cd=0.11410187929868698, cm=-0.16313426196575165
  Angle -5: cl=-0.5054452419281006, cd=0.10398592054843903, cm=-0.15020884573459625
  Angle -4: cl=-0.41259512305259705, cd=0.09896740317344666, cm=-0.13687174022197723
  Angle -3: cl=-0.3101258873939514, cd=0.09288419783115387, cm=-0.12288127839565277
  Angle -2: cl=-0.235935777425766, cd=0.08737969398498535, cm=-0.09913785755634308
  Angle -1: cl=-0.17493318021297455, cd=0.08281207829713821, cm=-0.06983353197574615
  Angle 0: cl=-0.10517095029354095, cd=0.0822533369064331, cm=-0.04181833565235138
  Angle 1: cl=-0.02183765359222889, cd=0.08279051631689072, cm=-0.01992650330066681
  Angle 2: cl=0.06144484132528305, cd=0.08355190604925156, cm=-0.004486456513404846
  Angle 3: cl=0.30373188853263855, cd=0.06859812140464783, cm=-0.0014414489269256592
  Angle 4: cl=0.4039868116378784, cd=0.07430703192949295, cm=0.0030431002378463745
  Angle 5: cl=0.5024436116218567, cd=0.082614466547966, cm=0.0064351558685302734
  Angle 6: cl=0.5973004102706909, cd=0.0895216166973114, cm=0.008541375398635864
  Angle 7: cl=0.6871973276138306, cd=0.09612316638231277, cm=0.010855644941329956
  Angle 8: cl=0.7776020169258118, cd=0.10189740359783173, cm=0.010280698537826538
  Angle 9: cl=0.8727444410324097, cd=0.10599302500486374, cm=0.0020335912704467773
  Angle 10: cl=0.9714955687522888, cd=0.11149425804615021, cm=-0.005905583500862122
Genotype [0.0085, 0.45809403155714945, 0.13, -0.897129996909815, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.895170923958352, 10.690259743446795]:
  Angle -10: cl=-0.561770498752594, cd=0.23111218214035034, cm=-0.1890779286623001
  Angle -9: cl=-0.5900987982749939, cd=0.1981971561908722, cm=-0.18553973734378815
  Angle -8: cl=-0.6125730872154236, cd=0.16316518187522888, cm=-0.1838759034872055
  Angle -7: cl=-0.6505878567695618, cd=0.12912920117378235, cm=-0.1781032532453537
  Angle -6: cl=-0.6084698438644409, cd=0.11452106386423111, cm=-0.16296951472759247
  Angle -5: cl=-0.5043172240257263, cd=0.10397815704345703, cm=-0.1502600759267807
  Angle -4: cl=-0.4106786847114563, cd=0.09883882105350494, cm=-0.1370403915643692
  Angle -3: cl=-0.30815932154655457, cd=0.09271332621574402, cm=-0.12295924127101898
  Angle -2: cl=-0.23293793201446533, cd=0.08718336373567581, cm=-0.09956999123096466
  Angle -1: cl=-0.17215222120285034, cd=0.08270254731178284, cm=-0.07024554908275604
  Angle 0: cl=-0.10356119275093079, cd=0.08213489502668381, cm=-0.04197315871715546
  Angle 1: cl=-0.02035677619278431, cd=0.0826699510216713, cm=-0.019902721047401428
  Angle 2: cl=0.06251373142004013, cd=0.08340803533792496, cm=-0.0044011324644088745
