Experiment: Nash_Combination_Experiment_11
Generation: 97
Generation Type: u
Timestamp: 20231226_060156

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.797541411203647, 10.504906378250627] - Base Fitness: 0.20144628477109922, Adjusted Fitness: 0.20144628477109922
[0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.797541411203647, 10.504906378250627] - Base Fitness: 0.20147876195157222, Adjusted Fitness: 0.20147876195157222
[0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.828835928525747, 10.48126778597316] - Base Fitness: 0.20284240541480034, Adjusted Fitness: 0.20284240541480034
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.838891155525316, 10.504906378250627] - Base Fitness: 0.19949305457694577, Adjusted Fitness: 0.19949305457694577
[0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.797541411203647, 10.504906378250627] - Base Fitness: 0.20147876195157222, Adjusted Fitness: 0.20147876195157222
[0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.797541411203647, 10.504906378250627] - Base Fitness: 0.20147876195157222, Adjusted Fitness: 0.20147876195157222
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.8241208870161225, 10.504906378250627] - Base Fitness: 0.20020275951985006, Adjusted Fitness: 0.20020275951985006
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.828835928525747, 10.504906378250627] - Base Fitness: 0.1998509677764662, Adjusted Fitness: 0.1998509677764662
[0.0085, 0.45809403155714945, 0.13, -0.8611369539486637, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.797541411203647, 10.504906378250627] - Base Fitness: 0.19887317890495426, Adjusted Fitness: 0.2046490427325139
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.797541411203647, 10.535095336600158] - Base Fitness: -0.0842380030694378, Adjusted Fitness: -0.08321858714713974
[0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.828835928525747, 10.504906378250627] - Base Fitness: 0.19983543829884728, Adjusted Fitness: 0.19983543829884728
[0.0085, 0.45809403155714945, 0.13, -0.8611369539486637, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.828835928525747, 10.48126778597316] - Base Fitness: 0.2000681160960833, Adjusted Fitness: 0.2000681160960833
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.797541411203647, 10.504906378250627] - Base Fitness: 0.20144628477109922, Adjusted Fitness: 0.20144628477109922
[0.0085, 0.4578942767774223, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.828835928525747, 10.48126778597316] - Base Fitness: 0.2026276618459953, Adjusted Fitness: 0.2026276618459953
[0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.83467019979193, 10.502785858312105] - Base Fitness: 0.1999040118620371, Adjusted Fitness: 0.1999040118620371
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.80731538241522, 10.514274045597734] - Base Fitness: -0.25818604867563477, Adjusted Fitness: -0.2576772817823272
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.797541411203647, 10.504906378250627] - Base Fitness: 0.20144628477109922, Adjusted Fitness: 0.20144628477109922
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.838891155525316, 10.504906378250627] - Base Fitness: 0.19949305457694577, Adjusted Fitness: 0.19949305457694577
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.838891155525316, 10.504906378250627] - Base Fitness: 0.19949305457694577, Adjusted Fitness: 0.19949305457694577
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.828835928525747, 10.504906378250627] - Base Fitness: 0.1998509677764662, Adjusted Fitness: 0.1998509677764662
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.83467019979193, 10.502785858312105] - Base Fitness: 0.19974529517377998, Adjusted Fitness: 0.19974529517377998
[0.0085, 0.46, 0.13, -0.8611369539486637, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.828835928525747, 10.48126778597316] - Base Fitness: 0.20000319881514217, Adjusted Fitness: 0.20000319881514217
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.828835928525747, 10.48126778597316] - Base Fitness: 0.20265462762869424, Adjusted Fitness: 0.20265462762869424
[0.0085, 0.4565904185672269, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.797541411203647, 10.504906378250627] - Base Fitness: 0.20189975209174227, Adjusted Fitness: 0.20189975209174227
[0.0085, 0.46, 0.11345558242964685, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.797541411203647, 10.504906378250627] - Base Fitness: -0.4093311943661759, Adjusted Fitness: -0.399428425417343
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.8513701168945, 10.504906378250627] - Base Fitness: -0.43834330690504797, Adjusted Fitness: -0.42844429995562855
[0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.83467019979193, 10.502785858312105] - Base Fitness: -0.2579769386675812, Adjusted Fitness: -0.2579769386675812
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.797541411203647, 10.504906378250627] - Base Fitness: 0.20144628477109922, Adjusted Fitness: 0.20144628477109922
[0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.828835928525747, 10.504906378250627] - Base Fitness: 0.19983543829884728, Adjusted Fitness: 0.19983543829884728
[0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.817688525714836, 10.504906378250627] - Base Fitness: 0.20065591306819847, Adjusted Fitness: 0.20065591306819847
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.828835928525747, 10.504906378250627] - Base Fitness: 0.1998509677764662, Adjusted Fitness: 0.1998509677764662
[0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.797541411203647, 10.504906378250627] - Base Fitness: 0.20147876195157222, Adjusted Fitness: 0.20147876195157222
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.797541411203647, 10.504906378250627] - Base Fitness: 0.20144628477109922, Adjusted Fitness: 0.20144628477109922
[0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.83467019979193, 10.502785858312105] - Base Fitness: 0.1999040118620371, Adjusted Fitness: 0.1999040118620371
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.83467019979193, 10.502785858312105] - Base Fitness: 0.19974529517377998, Adjusted Fitness: 0.19974529517377998
[0.0085, 0.43438362496007576, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.828835928525747, 10.48126778597316] - Base Fitness: -0.26803991609469396, Adjusted Fitness: -0.2665541674683067
[0.0085, 0.44478558072929003, 0.13, -0.9, 0.26, -0.023, 0.07747859843874644, -0.003, 0.0025, 7.828835928525747, 10.502785858312105] - Base Fitness: 0.16841276813860556, Adjusted Fitness: 0.17195869177298403
[0.0085, 0.4578942767774223, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.828835928525747, 10.504906378250627] - Base Fitness: 0.1998024363810551, Adjusted Fitness: 0.1998024363810551
[0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.83467019979193, 10.504906378250627] - Base Fitness: 0.1996442553977836, Adjusted Fitness: 0.1996442553977836
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.797541411203647, 10.505560396607763] - Base Fitness: 0.20131493882346424, Adjusted Fitness: 0.20131493882346424
[0.0085, 0.4578942767774223, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.828835928525747, 10.48126778597316] - Base Fitness: 0.2026276618459953, Adjusted Fitness: 0.2026276618459953
[0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.83467019979193, 10.502785858312105] - Base Fitness: 0.1999040118620371, Adjusted Fitness: 0.1999040118620371
[0.0085, 0.4578942767774223, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.83467019979193, 10.502785858312105] - Base Fitness: 0.19987001397533982, Adjusted Fitness: 0.19987001397533982
[0.0085, 0.46, 0.13, -0.866861530271456, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.805716419915771, 10.502785858312105] - Base Fitness: 0.19908951473539097, Adjusted Fitness: 0.2009601913207738
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.80731538241522, 10.514274045597734] - Base Fitness: 0.2001462601737686, Adjusted Fitness: 0.2001462601737686
[0.0085, 0.45809403155714945, 0.13, -0.8611369539486637, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.797541411203647, 10.504906378250627] - Base Fitness: 0.19887317890495426, Adjusted Fitness: 0.2046490427325139
[0.0085, 0.44478558072929003, 0.13, -0.9, 0.26, -0.023, 0.09512458258865107, -0.006, 0.0025, 7.83467019979193, 10.502785858312105] - Base Fitness: -0.28415572478239043, Adjusted Fitness: -0.283337033266769
[0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.828835928525747, 10.504906378250627] - Base Fitness: 0.19983543829884728, Adjusted Fitness: 0.19983543829884728
[0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.83467019979193, 10.502785858312105] - Base Fitness: 0.1999040118620371, Adjusted Fitness: 0.1999040118620371
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.828835928525747, 10.504906378250627] - Base Fitness: 0.1998509677764662, Adjusted Fitness: 0.1998509677764662

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.797541411203647, 10.504906378250627]:
  Angle -10: cl=-0.5632829666137695, cd=0.2316918820142746, cm=-0.18934576213359833
  Angle -9: cl=-0.5898497700691223, cd=0.19852027297019958, cm=-0.186139777302742
  Angle -8: cl=-0.612612247467041, cd=0.16358523070812225, cm=-0.18479909002780914
  Angle -7: cl=-0.6515440344810486, cd=0.1293061524629593, cm=-0.1791646033525467
  Angle -6: cl=-0.606571614742279, cd=0.1146969273686409, cm=-0.16419009864330292
  Angle -5: cl=-0.5028814077377319, cd=0.10404729098081589, cm=-0.15109486877918243
  Angle -4: cl=-0.41116848587989807, cd=0.09913049638271332, cm=-0.13777928054332733
  Angle -3: cl=-0.3088666498661041, cd=0.09314011037349701, cm=-0.12391339242458344
  Angle -2: cl=-0.2325887680053711, cd=0.08769188821315765, cm=-0.10083068907260895
  Angle -1: cl=-0.1714005023241043, cd=0.08306693285703659, cm=-0.07159565389156342
  Angle 0: cl=-0.10054409503936768, cd=0.08236116915941238, cm=-0.04352889955043793
  Angle 1: cl=-0.017043033614754677, cd=0.08294400572776794, cm=-0.021626368165016174
  Angle 2: cl=0.06617222726345062, cd=0.08367090672254562, cm=-0.006226286292076111
  Angle 3: cl=0.30615538358688354, cd=0.06799240410327911, cm=-0.002126350998878479
  Angle 4: cl=0.41081273555755615, cd=0.07363012433052063, cm=0.002195402979850769
  Angle 5: cl=0.5092155337333679, cd=0.08192642033100128, cm=0.005613058805465698
  Angle 6: cl=0.603075385093689, cd=0.08894175291061401, cm=0.007723122835159302
  Angle 7: cl=0.6929189562797546, cd=0.09554389119148254, cm=0.010173723101615906
  Angle 8: cl=0.783351480960846, cd=0.10172434151172638, cm=0.010654062032699585
  Angle 9: cl=0.8785703182220459, cd=0.1058211401104927, cm=0.0024438053369522095
  Angle 10: cl=0.9775688052177429, cd=0.1115078255534172, cm=-0.005459383130073547
Genotype [0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.797541411203647, 10.504906378250627]:
  Angle -10: cl=-0.5625133514404297, cd=0.231807142496109, cm=-0.18935228884220123
  Angle -9: cl=-0.5900118947029114, cd=0.19884397089481354, cm=-0.18567176163196564
  Angle -8: cl=-0.6129643321037292, cd=0.1638597846031189, cm=-0.18416599929332733
  Angle -7: cl=-0.6504620313644409, cd=0.12967605888843536, cm=-0.17873360216617584
  Angle -6: cl=-0.6076101064682007, cd=0.11492539197206497, cm=-0.16375161707401276
  Angle -5: cl=-0.5019974112510681, cd=0.10399385541677475, cm=-0.15089799463748932
  Angle -4: cl=-0.4094321131706238, cd=0.09897524863481522, cm=-0.1376284807920456
  Angle -3: cl=-0.3071579039096832, cd=0.09291740506887436, cm=-0.12368817627429962
  Angle -2: cl=-0.23051178455352783, cd=0.0874311551451683, cm=-0.10074038803577423
  Angle -1: cl=-0.16957995295524597, cd=0.0828937366604805, cm=-0.07144995033740997
  Angle 0: cl=-0.09974867105484009, cd=0.08223756402730942, cm=-0.043191179633140564
  Angle 1: cl=-0.016413209959864616, cd=0.08281249552965164, cm=-0.021172747015953064
  Angle 2: cl=0.06647344678640366, cd=0.08354280143976212, cm=-0.005709215998649597
  Angle 3: cl=0.3078257739543915, cd=0.06794987618923187, cm=-0.0018481910228729248
  Angle 4: cl=0.40939438343048096, cd=0.07378406822681427, cm=0.002644091844558716
  Angle 5: cl=0.507704496383667, cd=0.0820888802409172, cm=0.006051167845726013
  Angle 6: cl=0.6013451218605042, cd=0.08918198943138123, cm=0.008257240056991577
  Angle 7: cl=0.6912427544593811, cd=0.09575651586055756, cm=0.010590553283691406
  Angle 8: cl=0.781668484210968, cd=0.10176301747560501, cm=0.010633319616317749
  Angle 9: cl=0.8764939308166504, cd=0.10581336915493011, cm=0.00241774320602417
  Angle 10: cl=0.9758903384208679, cd=0.1110563799738884, cm=-0.0055420249700546265
Genotype [0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.828835928525747, 10.48126778597316]:
  Angle -10: cl=-0.5623317360877991, cd=0.23169779777526855, cm=-0.18932197988033295
  Angle -9: cl=-0.5898013710975647, cd=0.19873249530792236, cm=-0.1857060045003891
  Angle -8: cl=-0.6128627061843872, cd=0.16374358534812927, cm=-0.18420417606830597
  Angle -7: cl=-0.6502882838249207, cd=0.1295945644378662, cm=-0.17874623835086823
  Angle -6: cl=-0.6072363257408142, cd=0.11483027040958405, cm=-0.1637408286333084
  Angle -5: cl=-0.502001166343689, cd=0.10399993509054184, cm=-0.15092016756534576
  Angle -4: cl=-0.409372478723526, cd=0.09898071736097336, cm=-0.1376287192106247
  Angle -3: cl=-0.3070083260536194, cd=0.09291207045316696, cm=-0.12365545332431793
  Angle -2: cl=-0.23064345121383667, cd=0.08743557333946228, cm=-0.10067425668239594
  Angle -1: cl=-0.16954930126667023, cd=0.0829114243388176, cm=-0.07137326896190643
  Angle 0: cl=-0.09976974129676819, cd=0.08224905282258987, cm=-0.043133899569511414
  Angle 1: cl=-0.016424087807536125, cd=0.08284176886081696, cm=-0.021110430359840393
  Angle 2: cl=0.06648758798837662, cd=0.083554707467556, cm=-0.005634590983390808
  Angle 3: cl=0.30848056077957153, cd=0.06793706119060516, cm=-0.0018310248851776123
  Angle 4: cl=0.40959954261779785, cd=0.07386183738708496, cm=0.0026680082082748413
  Angle 5: cl=0.5077723264694214, cd=0.08215244859457016, cm=0.0060331374406814575
  Angle 6: cl=0.6014818549156189, cd=0.08920710533857346, cm=0.008238285779953003
  Angle 7: cl=0.6913909912109375, cd=0.09579961001873016, cm=0.010586410760879517
  Angle 8: cl=0.7819362878799438, cd=0.10179559141397476, cm=0.010548695921897888
  Angle 9: cl=0.8769187331199646, cd=0.10585411638021469, cm=0.002354547381401062
  Angle 10: cl=0.9759498834609985, cd=0.11113212257623672, cm=-0.005543693900108337
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.838891155525316, 10.504906378250627]:
  Angle -10: cl=-0.5630676746368408, cd=0.23155464231967926, cm=-0.18933837115764618
  Angle -9: cl=-0.5896663069725037, cd=0.198330819606781, cm=-0.1861131340265274
  Angle -8: cl=-0.6123831868171692, cd=0.16336674988269806, cm=-0.18477581441402435
  Angle -7: cl=-0.6513230800628662, cd=0.12916366755962372, cm=-0.17910771071910858
  Angle -6: cl=-0.6065745949745178, cd=0.11459317058324814, cm=-0.1640586107969284
  Angle -5: cl=-0.5030200481414795, cd=0.1040329858660698, cm=-0.1509638875722885
  Angle -4: cl=-0.41133642196655273, cd=0.09911493211984634, cm=-0.13762728869915009
  Angle -3: cl=-0.3090704083442688, cd=0.09310772269964218, cm=-0.12375427782535553
  Angle -2: cl=-0.23297619819641113, cd=0.08766443282365799, cm=-0.10059650242328644
  Angle -1: cl=-0.17165914177894592, cd=0.0830700621008873, cm=-0.07138071954250336
  Angle 0: cl=-0.10092063248157501, cd=0.08235850930213928, cm=-0.043342605233192444
  Angle 1: cl=-0.01735694520175457, cd=0.08294746279716492, cm=-0.021409645676612854
  Angle 2: cl=0.06571675091981888, cd=0.08369604498147964, cm=-0.006055757403373718
  Angle 3: cl=0.30623382329940796, cd=0.06804467737674713, cm=-0.002057701349258423
  Angle 4: cl=0.4103781282901764, cd=0.07375076413154602, cm=0.002316415309906006
  Angle 5: cl=0.5087010860443115, cd=0.08202353119850159, cm=0.005675941705703735
  Angle 6: cl=0.6026574373245239, cd=0.08901897817850113, cm=0.007820531725883484
  Angle 7: cl=0.6926188468933105, cd=0.09559405595064163, cm=0.010243266820907593
  Angle 8: cl=0.7829076647758484, cd=0.10176655650138855, cm=0.01056431233882904
  Angle 9: cl=0.8781424164772034, cd=0.10584564507007599, cm=0.0023938417434692383
  Angle 10: cl=0.9769712090492249, cd=0.11160086840391159, cm=-0.00551779568195343
Genotype [0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.797541411203647, 10.504906378250627]:
  Angle -10: cl=-0.5625133514404297, cd=0.231807142496109, cm=-0.18935228884220123
  Angle -9: cl=-0.5900118947029114, cd=0.19884397089481354, cm=-0.18567176163196564
  Angle -8: cl=-0.6129643321037292, cd=0.1638597846031189, cm=-0.18416599929332733
  Angle -7: cl=-0.6504620313644409, cd=0.12967605888843536, cm=-0.17873360216617584
  Angle -6: cl=-0.6076101064682007, cd=0.11492539197206497, cm=-0.16375161707401276
  Angle -5: cl=-0.5019974112510681, cd=0.10399385541677475, cm=-0.15089799463748932
  Angle -4: cl=-0.4094321131706238, cd=0.09897524863481522, cm=-0.1376284807920456
  Angle -3: cl=-0.3071579039096832, cd=0.09291740506887436, cm=-0.12368817627429962
  Angle -2: cl=-0.23051178455352783, cd=0.0874311551451683, cm=-0.10074038803577423
  Angle -1: cl=-0.16957995295524597, cd=0.0828937366604805, cm=-0.07144995033740997
  Angle 0: cl=-0.09974867105484009, cd=0.08223756402730942, cm=-0.043191179633140564
  Angle 1: cl=-0.016413209959864616, cd=0.08281249552965164, cm=-0.021172747015953064
  Angle 2: cl=0.06647344678640366, cd=0.08354280143976212, cm=-0.005709215998649597
  Angle 3: cl=0.3078257739543915, cd=0.06794987618923187, cm=-0.0018481910228729248
  Angle 4: cl=0.40939438343048096, cd=0.07378406822681427, cm=0.002644091844558716
  Angle 5: cl=0.507704496383667, cd=0.0820888802409172, cm=0.006051167845726013
  Angle 6: cl=0.6013451218605042, cd=0.08918198943138123, cm=0.008257240056991577
  Angle 7: cl=0.6912427544593811, cd=0.09575651586055756, cm=0.010590553283691406
  Angle 8: cl=0.781668484210968, cd=0.10176301747560501, cm=0.010633319616317749
  Angle 9: cl=0.8764939308166504, cd=0.10581336915493011, cm=0.00241774320602417
  Angle 10: cl=0.9758903384208679, cd=0.1110563799738884, cm=-0.0055420249700546265
Genotype [0.0085, 0.45809403155714945, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.797541411203647, 10.504906378250627]:
  Angle -10: cl=-0.5625133514404297, cd=0.231807142496109, cm=-0.18935228884220123
  Angle -9: cl=-0.5900118947029114, cd=0.19884397089481354, cm=-0.18567176163196564
  Angle -8: cl=-0.6129643321037292, cd=0.1638597846031189, cm=-0.18416599929332733
  Angle -7: cl=-0.6504620313644409, cd=0.12967605888843536, cm=-0.17873360216617584
  Angle -6: cl=-0.6076101064682007, cd=0.11492539197206497, cm=-0.16375161707401276
  Angle -5: cl=-0.5019974112510681, cd=0.10399385541677475, cm=-0.15089799463748932
  Angle -4: cl=-0.4094321131706238, cd=0.09897524863481522, cm=-0.1376284807920456
  Angle -3: cl=-0.3071579039096832, cd=0.09291740506887436, cm=-0.12368817627429962
  Angle -2: cl=-0.23051178455352783, cd=0.0874311551451683, cm=-0.10074038803577423
  Angle -1: cl=-0.16957995295524597, cd=0.0828937366604805, cm=-0.07144995033740997
  Angle 0: cl=-0.09974867105484009, cd=0.08223756402730942, cm=-0.043191179633140564
