Experiment: Nash_Combination_Experiment_12
Generation: 27
Generation Type: u
Timestamp: 20231226_060743

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8211254519229111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.141894491138888, 10.059716865876538] - Base Fitness: 0.2739917735030398, Adjusted Fitness: 0.27465252000608126
[0.0085, 0.46, 0.13, -0.8211254519229111, 0.26, -0.023, 0.08116986355631303, -0.003, 0.0025, 7.141894491138888, 10.018077757013616] - Base Fitness: 0.26115352284220195, Adjusted Fitness: 0.2619889129042392
[0.0085, 0.46, 0.12981905641521327, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.166023688125067, 10.0] - Base Fitness: 0.2660635837049428, Adjusted Fitness: 0.26686317940082016
[0.0085, 0.46, 0.12981905641521327, -0.7237232100451632, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.141894491138888, 10.018077757013616] - Base Fitness: -0.3736759965472749, Adjusted Fitness: -0.3736759965472749
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.08116986355631303, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.246596401744461, Adjusted Fitness: 0.2488705533661955
[0.0085, 0.46, 0.12981905641521327, -0.8211254519229111, 0.26, -0.023, 0.08116986355631303, -0.003, 0.0025, 7.191329469677099, 10.02901708688812] - Base Fitness: 0.2506546470328641, Adjusted Fitness: 0.25469103819905214
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.160169819758755, 10.076247872767729] - Base Fitness: 0.26489568473228736, Adjusted Fitness: 0.2664994665035552
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.11088927397698259, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.230080185821931, Adjusted Fitness: 0.23337503819564628
[0.0085, 0.46, 0.12981905641521327, -0.8211254519229111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.160169819758755, 10.076247872767729] - Base Fitness: 0.2642057883381558, Adjusted Fitness: 0.2650704489784186
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.141894491138888, 10.018077757013616] - Base Fitness: 0.2723299439088676, Adjusted Fitness: 0.2785000972590163
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.025303792724003] - Base Fitness: 0.2694186826177057, Adjusted Fitness: 0.27024893942690026
[0.0085, 0.46, 0.12981905641521327, -0.7237232100451632, 0.26, -0.020384021109271323, 0.08116986355631303, -0.006, 0.0025, 7.171020438425712, 10.076247872767729] - Base Fitness: -0.38531590926880377, Adjusted Fitness: -0.38531590926880377
[0.0085, 0.46, 0.13, -0.7334901553982256, 0.22091402102238633, -0.023, 0.05, -0.003, 0.0025, 7.141894491138888, 10.018077757013616] - Base Fitness: -0.7762171757383615, Adjusted Fitness: -0.7762171757383615
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.166023688125067, 10.0] - Base Fitness: 0.2733129088724516, Adjusted Fitness: 0.2746946728201622
[0.0085, 0.46, 0.12981905641521327, -0.7237232100451632, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.191329469677099, 10.025303792724003] - Base Fitness: -0.3763828896234831, Adjusted Fitness: -0.3763828896234831
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.141894491138888, 10.0] - Base Fitness: 0.2744094664312682, Adjusted Fitness: 0.2750568314901448
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.08116986355631303, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.246596401744461, Adjusted Fitness: 0.2488705533661955
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.08116986355631303, -0.003, 0.0025, 7.141894491138888, 10.018077757013616] - Base Fitness: 0.2552189801243007, Adjusted Fitness: 0.25600218070219505
[0.0085, 0.46, 0.12981905641521327, -0.8211254519229111, 0.26, -0.023, 0.08116986355631303, -0.003, 0.0025, 7.191329469677099, 10.02901708688812] - Base Fitness: 0.2506546470328641, Adjusted Fitness: 0.25469103819905214
[0.0085, 0.46, 0.13, -0.7160890541419049, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.141894491138888, 10.018077757013616] - Base Fitness: 0.2717847079813435, Adjusted Fitness: 0.2732869817842253
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.141894491138888, 10.018077757013616] - Base Fitness: 0.2723299439088676, Adjusted Fitness: 0.2785000972590163
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.08116986355631303, -0.003, 0.0025, 7.191329469677099, 10.0] - Base Fitness: 0.254407477910789, Adjusted Fitness: 0.2551825634665482
[0.0085, 0.46, 0.13, -0.7161877081073897, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.1738033902338305, 10.018077757013616] - Base Fitness: 0.27030138149443644, Adjusted Fitness: 0.27108055090375394
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.08116986355631303, -0.003, 0.0025, 7.191329469677099, 10.025303792724003] - Base Fitness: 0.25154816749699854, Adjusted Fitness: 0.25401353052978026
[0.0085, 0.46, 0.13, -0.7110087851889944, 0.26, -0.023, 0.05, -0.003, 0.005, 7.166023688125067, 10.0] - Base Fitness: -0.0007586536100493878, Adjusted Fitness: -0.0007586536100493878
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.11088927397698259, -0.003, 0.0025, 7.198669532481426, 10.059716865876538] - Base Fitness: 0.22964637795498155, Adjusted Fitness: 0.2302311266276141
[0.0085, 0.46, 0.13, -0.7, 0.2318810662134027, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.0] - Base Fitness: -0.4525236474841629, Adjusted Fitness: -0.4525236474841629
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.166023688125067, 10.0] - Base Fitness: 0.2733129088724516, Adjusted Fitness: 0.2746946728201622
[0.0085, 0.46, 0.13, -0.8211254519229111, 0.26, -0.023, 0.08116986355631303, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.25493383325246266, Adjusted Fitness: 0.260486691055623
[0.0085, 0.46, 0.13, -0.7160890541419049, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.141894491138888, 10.018077757013616] - Base Fitness: 0.2717847079813435, Adjusted Fitness: 0.2732869817842253
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.11088927397698259, -0.003, 0.0025, 7.191329469677099, 10.018077757013616] - Base Fitness: 0.2340967317813212, Adjusted Fitness: 0.23547119341875877
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.141894491138888, 10.059716865876538] - Base Fitness: 0.26738033374868797, Adjusted Fitness: 0.2681902070691924
[0.0085, 0.46, 0.12981905641521327, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.141894491138888, 10.018077757013616] - Base Fitness: 0.26522411133109436, Adjusted Fitness: 0.271708573460315
[0.0126, 0.46, 0.13, -0.8211254519229111, 0.26, -0.015, 0.08116986355631303, -0.003, 0.0025, 7.191329469677099, 10.0] - Base Fitness: -0.9831534766772073, Adjusted Fitness: -0.9831534766772073
[0.0085, 0.46, 0.12981905641521327, -0.8211254519229111, 0.26, -0.023, 0.08116986355631303, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.24769750123076043, Adjusted Fitness: 0.25355646240664537
[0.0085, 0.46, 0.12981905641521327, -0.7237232100451632, 0.26, -0.023, 0.09125581511648495, -0.003, 0.0025, 7.141894491138888, 10.018077757013616] - Base Fitness: 0.24188223815421786, Adjusted Fitness: 0.2425607724000483
[0.0085, 0.46, 0.1260699708329348, -0.7237232100451632, 0.26, -0.023, 0.08116986355631303, -0.003, 0.0025, 7.191329469677099, 10.025303792724003] - Base Fitness: 0.09593336574123146, Adjusted Fitness: 0.09593336574123146
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.141894491138888, 10.018077757013616] - Base Fitness: 0.2707744738802399, Adjusted Fitness: 0.27154670844601503
[0.0085, 0.46, 0.13, -0.8211254519229111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.166023688125067, 10.0] - Base Fitness: 0.2798809328864185, Adjusted Fitness: 0.28025289882052323
[0.0085, 0.46, 0.12981905641521327, -0.7237232100451632, 0.26, -0.023, 0.08116986355631303, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.24072312809954988, Adjusted Fitness: 0.24140515093971365
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.141894491138888, 10.059716865876538] - Base Fitness: 0.26590334085109374, Adjusted Fitness: 0.26670850577397287
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.0] - Base Fitness: 0.27197340978722795, Adjusted Fitness: 0.2726555703596274
[0.0085, 0.46, 0.13, -0.8211254519229111, 0.26, -0.023, 0.06409858642449899, -0.003, 0.0025, 9.01166008435409, 10.059716865876538] - Base Fitness: 0.17200252843891065, Adjusted Fitness: 0.17204668776797588
[0.0085, 0.46, 0.12981905641521327, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.141894491138888, 10.018077757013616] - Base Fitness: 0.26522411133109436, Adjusted Fitness: 0.271708573460315
[0.0085, 0.46, 0.12981905641521327, -0.7237232100451632, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.141894491138888, 10.059716865876538] - Base Fitness: -0.2034550872375772, Adjusted Fitness: -0.2034550872375772
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.015, 0.08116986355631303, -0.003, 0.0025, 7.191329469677099, 10.02901708688812] - Base Fitness: -0.3882157376410456, Adjusted Fitness: -0.3882157376410456
[0.0126, 0.46, 0.12981905641521327, -0.8211254519229111, 0.26, -0.023, 0.11088927397698259, -0.003, 0.0025, 7.191329469677099, 10.018077757013616] - Base Fitness: -0.48311949070658294, Adjusted Fitness: -0.48311949070658294
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.141894491138888, 10.018077757013616] - Base Fitness: 0.2723299439088676, Adjusted Fitness: 0.2785000972590163
[0.0085, 0.46, 0.13, -0.7874159390000159, 0.26, -0.023, 0.08116986355631303, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.2523230457366997, Adjusted Fitness: 0.25309356985944914
[0.0085, 0.46, 0.12981905641521327, -0.7, 0.26, -0.023, 0.08116986355631303, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.23916340587827664, Adjusted Fitness: 0.23983208458908983

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8211254519229111, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.141894491138888, 10.059716865876538]:
  Angle -10: cl=-0.5668922066688538, cd=0.23493535816669464, cm=-0.19032423198223114
  Angle -9: cl=-0.5931703448295593, cd=0.20208284258842468, cm=-0.18639101088047028
  Angle -8: cl=-0.6159822344779968, cd=0.1672821044921875, cm=-0.18544979393482208
  Angle -7: cl=-0.6545815467834473, cd=0.13206619024276733, cm=-0.1813061684370041
  Angle -6: cl=-0.6074862480163574, cd=0.11741800606250763, cm=-0.16672183573246002
  Angle -5: cl=-0.5003026723861694, cd=0.10486259311437607, cm=-0.15311048924922943
  Angle -4: cl=-0.40680670738220215, cd=0.09946998953819275, cm=-0.14025704562664032
  Angle -3: cl=-0.3056712746620178, cd=0.09382235258817673, cm=-0.12693075835704803
  Angle -2: cl=-0.2226235568523407, cd=0.08852214366197586, cm=-0.10611622035503387
  Angle -1: cl=-0.1616135984659195, cd=0.08372840285301208, cm=-0.07696245610713959
  Angle 0: cl=-0.08857561647891998, cd=0.08284486085176468, cm=-0.04907293617725372
  Angle 1: cl=-0.004913190379738808, cd=0.08302276581525803, cm=-0.026528552174568176
  Angle 2: cl=0.07971227169036865, cd=0.08407887071371078, cm=-0.011588111519813538
  Angle 3: cl=0.3083743751049042, cd=0.06925883144140244, cm=-0.006498083472251892
  Angle 4: cl=0.42876535654067993, cd=0.07150903344154358, cm=-0.00023321807384490967
  Angle 5: cl=0.5275200009346008, cd=0.07977095246315002, cm=0.003199636936187744
  Angle 6: cl=0.618547260761261, cd=0.08708596229553223, cm=0.005598857998847961
  Angle 7: cl=0.7083375453948975, cd=0.09368222951889038, cm=0.00808030366897583
  Angle 8: cl=0.7983280420303345, cd=0.10022416710853577, cm=0.00970187783241272
  Angle 9: cl=0.8935760259628296, cd=0.10516060143709183, cm=0.0038885772228240967
  Angle 10: cl=0.9933985471725464, cd=0.11099312454462051, cm=-0.003992840647697449
Genotype [0.0085, 0.46, 0.13, -0.8211254519229111, 0.26, -0.023, 0.08116986355631303, -0.003, 0.0025, 7.141894491138888, 10.018077757013616]:
  Angle -10: cl=-0.5666622519493103, cd=0.2344750314950943, cm=-0.19014419615268707
  Angle -9: cl=-0.5930214524269104, cd=0.20159199833869934, cm=-0.18627284467220306
  Angle -8: cl=-0.6158999800682068, cd=0.16677549481391907, cm=-0.1852423995733261
  Angle -7: cl=-0.6544535160064697, cd=0.13161897659301758, cm=-0.18088127672672272
  Angle -6: cl=-0.6076050400733948, cd=0.11701137572526932, cm=-0.16628216207027435
  Angle -5: cl=-0.5008204579353333, cd=0.10468468070030212, cm=-0.1528005450963974
  Angle -4: cl=-0.4076705873012543, cd=0.09939975291490555, cm=-0.13982413709163666
  Angle -3: cl=-0.3062112033367157, cd=0.09370597451925278, cm=-0.12645168602466583
  Angle -2: cl=-0.22430714964866638, cd=0.08841371536254883, cm=-0.10536856949329376
  Angle -1: cl=-0.16340181231498718, cd=0.08361214399337769, cm=-0.07618878781795502
  Angle 0: cl=-0.09050621092319489, cd=0.08270066976547241, cm=-0.04821412265300751
  Angle 1: cl=-0.006893893703818321, cd=0.08298924565315247, cm=-0.025868400931358337
  Angle 2: cl=0.07739964127540588, cd=0.08399347215890884, cm=-0.01082552969455719
  Angle 3: cl=0.307489275932312, cd=0.06897695362567902, cm=-0.005770429968833923
  Angle 4: cl=0.4260421693325043, cd=0.07178866863250732, cm=7.617473602294922e-05
  Angle 5: cl=0.5245469808578491, cd=0.08004297316074371, cm=0.003543674945831299
  Angle 6: cl=0.6160947680473328, cd=0.08729850500822067, cm=0.005896508693695068
  Angle 7: cl=0.7059546113014221, cd=0.09390092641115189, cm=0.008330777287483215
  Angle 8: cl=0.7960378527641296, cd=0.10047800093889236, cm=0.010042741894721985
  Angle 9: cl=0.8912366032600403, cd=0.10522258281707764, cm=0.0037563592195510864
  Angle 10: cl=0.9906171560287476, cd=0.11102797836065292, cm=-0.004138872027397156
Genotype [0.0085, 0.46, 0.12981905641521327, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.166023688125067, 10.0]:
  Angle -10: cl=-0.5675703287124634, cd=0.23491472005844116, cm=-0.19047047197818756
  Angle -9: cl=-0.5941667556762695, cd=0.20210641622543335, cm=-0.18634216487407684
  Angle -8: cl=-0.617215096950531, cd=0.1673170030117035, cm=-0.1853802353143692
  Angle -7: cl=-0.6558220982551575, cd=0.13200721144676208, cm=-0.18128757178783417
  Angle -6: cl=-0.6081442832946777, cd=0.11751443892717361, cm=-0.1667105108499527
  Angle -5: cl=-0.5012174844741821, cd=0.10491382330656052, cm=-0.15310637652873993
  Angle -4: cl=-0.40724891424179077, cd=0.09942394495010376, cm=-0.14026658236980438
  Angle -3: cl=-0.30583277344703674, cd=0.09376107901334763, cm=-0.12691836059093475
  Angle -2: cl=-0.22278711199760437, cd=0.08846290409564972, cm=-0.106153205037117
  Angle -1: cl=-0.16169971227645874, cd=0.08366721123456955, cm=-0.07695488631725311
  Angle 0: cl=-0.0890127643942833, cd=0.08276006579399109, cm=-0.04898436367511749
  Angle 1: cl=-0.0054131727665662766, cd=0.08293305337429047, cm=-0.02651582658290863
  Angle 2: cl=0.07908717542886734, cd=0.08399990200996399, cm=-0.011509135365486145
  Angle 3: cl=0.3069593608379364, cd=0.0692368820309639, cm=-0.0063674598932266235
  Angle 4: cl=0.42769476771354675, cd=0.0714796930551529, cm=-0.00015465915203094482
  Angle 5: cl=0.5264431834220886, cd=0.07971201837062836, cm=0.003196626901626587
  Angle 6: cl=0.6173346638679504, cd=0.0870448499917984, cm=0.005669325590133667
  Angle 7: cl=0.707076907157898, cd=0.09364404529333115, cm=0.008163288235664368
  Angle 8: cl=0.7969669103622437, cd=0.10019280016422272, cm=0.009762048721313477
  Angle 9: cl=0.8922319412231445, cd=0.10512561351060867, cm=0.004019975662231445
  Angle 10: cl=0.991870105266571, cd=0.11071707308292389, cm=-0.003864392638206482
Genotype [0.0085, 0.46, 0.12981905641521327, -0.7237232100451632, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.141894491138888, 10.018077757013616]:
  Angle -10: cl=-0.5548678040504456, cd=0.21741034090518951, cm=-0.18308423459529877
  Angle -9: cl=-0.5880013108253479, cd=0.18643507361412048, cm=-0.17802484333515167
  Angle -8: cl=-0.6170997619628906, cd=0.1530045121908188, cm=-0.17303813993930817
  Angle -7: cl=-0.6443448066711426, cd=0.12594003975391388, cm=-0.16478578746318817
  Angle -6: cl=-0.6293492317199707, cd=0.11079780012369156, cm=-0.15268810093402863
  Angle -5: cl=-0.5226730704307556, cd=0.10084423422813416, cm=-0.13893385231494904
  Angle -4: cl=-0.4216509163379669, cd=0.09422774612903595, cm=-0.12424679100513458
  Angle -3: cl=-0.3352489173412323, cd=0.0866137221455574, cm=-0.10135935246944427
  Angle -2: cl=-0.266249418258667, cd=0.08027008920907974, cm=-0.07531087100505829
  Angle -1: cl=-0.21012839674949646, cd=0.07684576511383057, cm=-0.046189084649086
  Angle 0: cl=-0.15632407367229462, cd=0.07864030450582504, cm=-0.02408309280872345
  Angle 1: cl=-0.09206744283437729, cd=0.08680347353219986, cm=-0.007345333695411682
  Angle 2: cl=-0.016239555552601814, cd=0.09303291141986847, cm=0.00590120255947113
  Angle 3: cl=0.19675718247890472, cd=0.08443041890859604, cm=0.010011434555053711
  Angle 4: cl=0.2844536006450653, cd=0.08997076004743576, cm=0.016645193099975586
  Angle 5: cl=0.3785328269004822, cd=0.09582417458295822, cm=0.020893782377243042
  Angle 6: cl=0.47429805994033813, cd=0.09851053357124329, cm=0.017764925956726074
  Angle 7: cl=0.5720776915550232, cd=0.10000345855951309, cm=0.011931732296943665
  Angle 8: cl=0.6665648221969604, cd=0.10268675535917282, cm=0.0055738091468811035
  Angle 9: cl=0.7579543590545654, cd=0.10636498779058456, cm=-0.002764984965324402
  Angle 10: cl=0.8725141286849976, cd=0.10896366834640503, cm=-0.022062525153160095
Genotype [0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.08116986355631303, -0.003, 0.0025, 7.191329469677099, 10.059716865876538]:
  Angle -10: cl=-0.5665525197982788, cd=0.23427066206932068, cm=-0.19007466733455658
  Angle -9: cl=-0.5934343338012695, cd=0.20140601694583893, cm=-0.1862172931432724
  Angle -8: cl=-0.6160514950752258, cd=0.16648739576339722, cm=-0.1850873976945877
  Angle -7: cl=-0.6550644040107727, cd=0.1314069926738739, cm=-0.1806502491235733
  Angle -6: cl=-0.6082894206047058, cd=0.1167876124382019, cm=-0.16596074402332306
  Angle -5: cl=-0.5017687678337097, cd=0.1046324074268341, cm=-0.15262876451015472
  Angle -4: cl=-0.4087534546852112, cd=0.09936007857322693, cm=-0.13961924612522125
  Angle -3: cl=-0.30712324380874634, cd=0.09361274540424347, cm=-0.1261524111032486
  Angle -2: cl=-0.22535836696624756, cd=0.08827953040599823, cm=-0.10486431419849396
  Angle -1: cl=-0.16461752355098724, cd=0.08348584920167923, cm=-0.07571260631084442
  Angle 0: cl=-0.09231255203485489, cd=0.08260474354028702, cm=-0.04763688147068024
  Angle 1: cl=-0.008921651169657707, cd=0.08290132135152817, cm=-0.025318846106529236
  Angle 2: cl=0.07540607452392578, cd=0.08388878405094147, cm=-0.01031176745891571
  Angle 3: cl=0.3054865300655365, cd=0.06887597590684891, cm=-0.005221530795097351
  Angle 4: cl=0.42311856150627136, cd=0.0719517394900322, cm=0.0003802180290222168
  Angle 5: cl=0.5218368768692017, cd=0.08019235730171204, cm=0.0037986785173416138
  Angle 6: cl=0.6135554909706116, cd=0.08744291961193085, cm=0.00614580512046814
  Angle 7: cl=0.7034375667572021, cd=0.09405025094747543, cm=0.008609816431999207
  Angle 8: cl=0.7932774424552917, cd=0.10062229633331299, cm=0.010287761688232422
  Angle 9: cl=0.8884384036064148, cd=0.10526091605424881, cm=0.00366799533367157
  Angle 10: cl=0.9879962801933289, cd=0.1108570396900177, cm=-0.004213258624076843
Genotype [0.0085, 0.46, 0.12981905641521327, -0.8211254519229111, 0.26, -0.023, 0.08116986355631303, -0.003, 0.0025, 7.191329469677099, 10.02901708688812]:
  Angle -10: cl=-0.5666138529777527, cd=0.2342805564403534, cm=-0.19009287655353546
  Angle -9: cl=-0.5935327410697937, cd=0.20143307745456696, cm=-0.1861959844827652
  Angle -8: cl=-0.6163104772567749, cd=0.16652080416679382, cm=-0.18510274589061737
  Angle -7: cl=-0.6550975441932678, cd=0.13145869970321655, cm=-0.18067865073680878
  Angle -6: cl=-0.6083883047103882, cd=0.11691729724407196, cm=-0.16605322062969208
  Angle -5: cl=-0.5013915300369263, cd=0.1046411395072937, cm=-0.15267698466777802
  Angle -4: cl=-0.40841394662857056, cd=0.09936723858118057, cm=-0.13968585431575775
  Angle -3: cl=-0.3068087697029114, cd=0.09363236278295517, cm=-0.1262413114309311
  Angle -2: cl=-0.22478419542312622, cd=0.0883021280169487, cm=-0.10503731667995453
  Angle -1: cl=-0.16391900181770325, cd=0.08349999785423279, cm=-0.0758412629365921
  Angle 0: cl=-0.09170154482126236, cd=0.08262524008750916, cm=-0.04782281816005707
  Angle 1: cl=-0.008257074281573296, cd=0.0828980803489685, cm=-0.025461092591285706
  Angle 2: cl=0.07599235326051712, cd=0.08389652520418167, cm=-0.010423704981803894
  Angle 3: cl=0.3064022660255432, cd=0.06885667890310287, cm=-0.005364730954170227
  Angle 4: cl=0.4240742623806, cd=0.07190589606761932, cm=0.0003308802843093872
