Experiment: Nash_Combination_Experiment_12
Generation: 75
Generation Type: u
Timestamp: 20231226_061557

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.028004442024278] - Base Fitness: 0.2690948496376593, Adjusted Fitness: 0.2690948496376593
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: -0.37345879864552095, Adjusted Fitness: -0.37345879864552095
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.018545758251527] - Base Fitness: 0.270101783209444, Adjusted Fitness: 0.270101783209444
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.224862090524739, 10.059716865876538] - Base Fitness: 0.26440381996273854, Adjusted Fitness: 0.26440381996273854
[0.0085, 0.4459122132162356, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.2542220684663513, Adjusted Fitness: 0.2542220684663513
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.043622780864471] - Base Fitness: 0.2670405708997128, Adjusted Fitness: 0.2670405708997128
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.194397956757892, 10.059716865876538] - Base Fitness: 0.2654387712303204, Adjusted Fitness: 0.2654387712303204
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.028004442024278] - Base Fitness: 0.2690948496376593, Adjusted Fitness: 0.2690948496376593
[0.0126, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: -0.45368765073655315, Adjusted Fitness: -0.45368765073655315
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.18475113845078, 10.028004442024278] - Base Fitness: 0.26921710897724405, Adjusted Fitness: 0.26921710897724405
[0.0085, 0.46, 0.11, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: -0.46195653083809224, Adjusted Fitness: -0.46195653083809224
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.028004442024278] - Base Fitness: 0.2690948496376593, Adjusted Fitness: 0.2690948496376593
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.23165232509247433, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: -0.4638813442323861, Adjusted Fitness: -0.4638813442323861
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.12798027722458988, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.1854214218458836, Adjusted Fitness: 0.1854214218458836
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.027623546231059] - Base Fitness: 0.2690745250933516, Adjusted Fitness: 0.2690745250933516
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.028004442024278] - Base Fitness: 0.2690948496376593, Adjusted Fitness: 0.2690948496376593
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.005, 7.191329469677099, 10.059716865876538] - Base Fitness: -0.007977594331637188, Adjusted Fitness: -0.007977594331637188
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.043622780864471] - Base Fitness: 0.2670405708997128, Adjusted Fitness: 0.2670405708997128
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.005, 7.237257067098071, 10.043622780864471] - Base Fitness: -0.008957279596756913, Adjusted Fitness: -0.008957279596756913
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.083686060713134] - Base Fitness: 0.26274124538970833, Adjusted Fitness: 0.26274124538970833
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.037499313221922] - Base Fitness: 0.2680123583666142, Adjusted Fitness: 0.2680123583666142
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.2250162667569851, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: -0.6605433966517739, Adjusted Fitness: -0.6605433966517739
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0126, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: -0.45368765073655315, Adjusted Fitness: -0.45368765073655315
[0.0085, 0.4466858597301617, 0.11, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: -0.46290848732321727, Adjusted Fitness: -0.46290848732321727
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.167472821621697, 10.043622780864471] - Base Fitness: 0.2683321082427852, Adjusted Fitness: 0.2683321082427852
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26560933643954054, Adjusted Fitness: 359.86466150513684
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: 0.26380109036349475, Adjusted Fitness: 0.27280292814610047
[0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: -0.37345879864552095, Adjusted Fitness: -0.37345879864552095
[0.0085, 0.46, 0.11383276754889346, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.028004442024278] - Base Fitness: -0.32842348969560115, Adjusted Fitness: -0.32842348969560115
[0.0085, 0.46, 0.13, -0.7084765152392187, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538] - Base Fitness: -0.37434761245178616, Adjusted Fitness: -0.37434761245178616

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.028004442024278]:
  Angle -10: cl=-0.5669333338737488, cd=0.23481646180152893, cm=-0.1902802437543869
  Angle -9: cl=-0.5931860208511353, cd=0.2019510567188263, cm=-0.18638180196285248
  Angle -8: cl=-0.6162235140800476, cd=0.16711492836475372, cm=-0.18548683822155
  Angle -7: cl=-0.6549628973007202, cd=0.13184373080730438, cm=-0.18130876123905182
  Angle -6: cl=-0.6075507998466492, cd=0.11731689423322678, cm=-0.16666866838932037
  Angle -5: cl=-0.5004234910011292, cd=0.1047879233956337, cm=-0.15306876599788666
  Angle -4: cl=-0.40705400705337524, cd=0.09944899380207062, cm=-0.1401791125535965
  Angle -3: cl=-0.30578556656837463, cd=0.09377366304397583, cm=-0.12679879367351532
  Angle -2: cl=-0.22327595949172974, cd=0.08849017322063446, cm=-0.1058906763792038
  Angle -1: cl=-0.1621837168931961, cd=0.08368922770023346, cm=-0.07676006853580475
  Angle 0: cl=-0.08914307504892349, cd=0.08278914541006088, cm=-0.04879392683506012
  Angle 1: cl=-0.00546628050506115, cd=0.0829867571592331, cm=-0.026354923844337463
  Angle 2: cl=0.07897192984819412, cd=0.08405853062868118, cm=-0.011373057961463928
  Angle 3: cl=0.30742791295051575, cd=0.06921641528606415, cm=-0.0062651485204696655
  Angle 4: cl=0.42807114124298096, cd=0.07158274203538895, cm=-0.00017683207988739014
  Angle 5: cl=0.5266113877296448, cd=0.07984409481287003, cm=0.0032342076301574707
  Angle 6: cl=0.6177065968513489, cd=0.08713548630475998, cm=0.005695432424545288
  Angle 7: cl=0.7073032259941101, cd=0.09373744577169418, cm=0.008186042308807373
  Angle 8: cl=0.7975658178329468, cd=0.10028938204050064, cm=0.009775564074516296
  Angle 9: cl=0.8925905227661133, cd=0.10517823696136475, cm=0.0038390904664993286
  Angle 10: cl=0.9924389123916626, cd=0.11095771193504333, cm=-0.00403420627117157
Genotype [0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538]:
  Angle -10: cl=-0.5669700503349304, cd=0.23477627336978912, cm=-0.19028182327747345
  Angle -9: cl=-0.5932270884513855, cd=0.20191405713558197, cm=-0.186374232172966
  Angle -8: cl=-0.616131067276001, cd=0.16710039973258972, cm=-0.18536658585071564
  Angle -7: cl=-0.6551706194877625, cd=0.1318504959344864, cm=-0.18119706213474274
  Angle -6: cl=-0.6076139211654663, cd=0.11726506799459457, cm=-0.16659830510616302
  Angle -5: cl=-0.5004761219024658, cd=0.10477109998464584, cm=-0.15302158892154694
  Angle -4: cl=-0.4073618948459625, cd=0.09943939000368118, cm=-0.1401069313287735
  Angle -3: cl=-0.3057993948459625, cd=0.09375489503145218, cm=-0.12675993144512177
  Angle -2: cl=-0.22360053658485413, cd=0.0884673073887825, cm=-0.10579313337802887
  Angle -1: cl=-0.16259552538394928, cd=0.0836515873670578, cm=-0.07662253081798553
  Angle 0: cl=-0.0896688774228096, cd=0.08275333791971207, cm=-0.0486399382352829
  Angle 1: cl=-0.005808236077427864, cd=0.0829966589808464, cm=-0.026232734322547913
  Angle 2: cl=0.07870172709226608, cd=0.08402317017316818, cm=-0.011296018958091736
  Angle 3: cl=0.3067735731601715, cd=0.06920135021209717, cm=-0.006133213639259338
  Angle 4: cl=0.42703157663345337, cd=0.07161782681941986, cm=-5.415081977844238e-05
  Angle 5: cl=0.5258812308311462, cd=0.07987670600414276, cm=0.0033412128686904907
  Angle 6: cl=0.6170518398284912, cd=0.08717568218708038, cm=0.0057593584060668945
  Angle 7: cl=0.7069280743598938, cd=0.09376619756221771, cm=0.008268818259239197
  Angle 8: cl=0.7967329025268555, cd=0.1003248542547226, cm=0.00986240804195404
  Angle 9: cl=0.8921384811401367, cd=0.10517619550228119, cm=0.003856152296066284
  Angle 10: cl=0.9916403293609619, cd=0.11089178919792175, cm=-0.004040643572807312
Genotype [0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538]:
  Angle -10: cl=-0.5669700503349304, cd=0.23477627336978912, cm=-0.19028182327747345
  Angle -9: cl=-0.5932270884513855, cd=0.20191405713558197, cm=-0.186374232172966
  Angle -8: cl=-0.616131067276001, cd=0.16710039973258972, cm=-0.18536658585071564
  Angle -7: cl=-0.6551706194877625, cd=0.1318504959344864, cm=-0.18119706213474274
  Angle -6: cl=-0.6076139211654663, cd=0.11726506799459457, cm=-0.16659830510616302
  Angle -5: cl=-0.5004761219024658, cd=0.10477109998464584, cm=-0.15302158892154694
  Angle -4: cl=-0.4073618948459625, cd=0.09943939000368118, cm=-0.1401069313287735
  Angle -3: cl=-0.3057993948459625, cd=0.09375489503145218, cm=-0.12675993144512177
  Angle -2: cl=-0.22360053658485413, cd=0.0884673073887825, cm=-0.10579313337802887
  Angle -1: cl=-0.16259552538394928, cd=0.0836515873670578, cm=-0.07662253081798553
  Angle 0: cl=-0.0896688774228096, cd=0.08275333791971207, cm=-0.0486399382352829
  Angle 1: cl=-0.005808236077427864, cd=0.0829966589808464, cm=-0.026232734322547913
  Angle 2: cl=0.07870172709226608, cd=0.08402317017316818, cm=-0.011296018958091736
  Angle 3: cl=0.3067735731601715, cd=0.06920135021209717, cm=-0.006133213639259338
  Angle 4: cl=0.42703157663345337, cd=0.07161782681941986, cm=-5.415081977844238e-05
  Angle 5: cl=0.5258812308311462, cd=0.07987670600414276, cm=0.0033412128686904907
  Angle 6: cl=0.6170518398284912, cd=0.08717568218708038, cm=0.0057593584060668945
  Angle 7: cl=0.7069280743598938, cd=0.09376619756221771, cm=0.008268818259239197
  Angle 8: cl=0.7967329025268555, cd=0.1003248542547226, cm=0.00986240804195404
  Angle 9: cl=0.8921384811401367, cd=0.10517619550228119, cm=0.003856152296066284
  Angle 10: cl=0.9916403293609619, cd=0.11089178919792175, cm=-0.004040643572807312
Genotype [0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538]:
  Angle -10: cl=-0.5669700503349304, cd=0.23477627336978912, cm=-0.19028182327747345
  Angle -9: cl=-0.5932270884513855, cd=0.20191405713558197, cm=-0.186374232172966
  Angle -8: cl=-0.616131067276001, cd=0.16710039973258972, cm=-0.18536658585071564
  Angle -7: cl=-0.6551706194877625, cd=0.1318504959344864, cm=-0.18119706213474274
  Angle -6: cl=-0.6076139211654663, cd=0.11726506799459457, cm=-0.16659830510616302
  Angle -5: cl=-0.5004761219024658, cd=0.10477109998464584, cm=-0.15302158892154694
  Angle -4: cl=-0.4073618948459625, cd=0.09943939000368118, cm=-0.1401069313287735
  Angle -3: cl=-0.3057993948459625, cd=0.09375489503145218, cm=-0.12675993144512177
  Angle -2: cl=-0.22360053658485413, cd=0.0884673073887825, cm=-0.10579313337802887
  Angle -1: cl=-0.16259552538394928, cd=0.0836515873670578, cm=-0.07662253081798553
  Angle 0: cl=-0.0896688774228096, cd=0.08275333791971207, cm=-0.0486399382352829
  Angle 1: cl=-0.005808236077427864, cd=0.0829966589808464, cm=-0.026232734322547913
  Angle 2: cl=0.07870172709226608, cd=0.08402317017316818, cm=-0.011296018958091736
  Angle 3: cl=0.3067735731601715, cd=0.06920135021209717, cm=-0.006133213639259338
  Angle 4: cl=0.42703157663345337, cd=0.07161782681941986, cm=-5.415081977844238e-05
  Angle 5: cl=0.5258812308311462, cd=0.07987670600414276, cm=0.0033412128686904907
  Angle 6: cl=0.6170518398284912, cd=0.08717568218708038, cm=0.0057593584060668945
  Angle 7: cl=0.7069280743598938, cd=0.09376619756221771, cm=0.008268818259239197
  Angle 8: cl=0.7967329025268555, cd=0.1003248542547226, cm=0.00986240804195404
  Angle 9: cl=0.8921384811401367, cd=0.10517619550228119, cm=0.003856152296066284
  Angle 10: cl=0.9916403293609619, cd=0.11089178919792175, cm=-0.004040643572807312
Genotype [0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.191329469677099, 10.059716865876538]:
  Angle -10: cl=-0.5537737011909485, cd=0.21713712811470032, cm=-0.18306909501552582
  Angle -9: cl=-0.5872595310211182, cd=0.1861489713191986, cm=-0.177987203001976
  Angle -8: cl=-0.6158628463745117, cd=0.15276767313480377, cm=-0.17302842438220978
  Angle -7: cl=-0.643510103225708, cd=0.12590712308883667, cm=-0.16465149819850922
  Angle -6: cl=-0.6287519931793213, cd=0.11065229773521423, cm=-0.15260325372219086
  Angle -5: cl=-0.5230047106742859, cd=0.10086839646100998, cm=-0.1387477070093155
  Angle -4: cl=-0.42170536518096924, cd=0.09425920248031616, cm=-0.12406609952449799
  Angle -3: cl=-0.3354969918727875, cd=0.08660878986120224, cm=-0.10103444755077362
  Angle -2: cl=-0.26690447330474854, cd=0.08026672154664993, cm=-0.07487030327320099
  Angle -1: cl=-0.21088466048240662, cd=0.07685967534780502, cm=-0.04583890736103058
  Angle 0: cl=-0.15679192543029785, cd=0.0788189098238945, cm=-0.02393697202205658
  Angle 1: cl=-0.09256165474653244, cd=0.08698165416717529, cm=-0.007235094904899597
  Angle 2: cl=-0.016559312120079994, cd=0.09322316944599152, cm=0.005993828177452087
  Angle 3: cl=0.19609124958515167, cd=0.08465354144573212, cm=0.010169833898544312
  Angle 4: cl=0.28395557403564453, cd=0.09021361172199249, cm=0.016712933778762817
  Angle 5: cl=0.3783072233200073, cd=0.09601112455129623, cm=0.020975083112716675
  Angle 6: cl=0.4741724133491516, cd=0.09861478954553604, cm=0.01756913959980011
  Angle 7: cl=0.5719835758209229, cd=0.10009933263063431, cm=0.011749714612960815
  Angle 8: cl=0.6665786504745483, cd=0.10274363309144974, cm=0.005383655428886414
  Angle 9: cl=0.7579458951950073, cd=0.10641174763441086, cm=-0.002915218472480774
  Angle 10: cl=0.8732630610466003, cd=0.10883370041847229, cm=-0.022954300045967102
Genotype [0.0085, 0.46, 0.13, -0.7237232100451632, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.191329469677099, 10.018545758251527]:
  Angle -10: cl=-0.5669201016426086, cd=0.23482288420200348, cm=-0.19026632606983185
  Angle -9: cl=-0.5930903553962708, cd=0.20191295444965363, cm=-0.1863272339105606
  Angle -8: cl=-0.6162157654762268, cd=0.16710548102855682, cm=-0.1855395883321762
  Angle -7: cl=-0.6548572778701782, cd=0.13188175857067108, cm=-0.18132220208644867
  Angle -6: cl=-0.6075229048728943, cd=0.1173362284898758, cm=-0.16668997704982758
  Angle -5: cl=-0.50033038854599, cd=0.1047971099615097, cm=-0.15309907495975494
  Angle -4: cl=-0.40713149309158325, cd=0.09945768862962723, cm=-0.14019165933132172
  Angle -3: cl=-0.30567121505737305, cd=0.09378951042890549, cm=-0.12679605185985565
  Angle -2: cl=-0.2232402265071869, cd=0.08851279318332672, cm=-0.1059381514787674
  Angle -1: cl=-0.16216681897640228, cd=0.08369214087724686, cm=-0.07676999270915985
  Angle 0: cl=-0.08897017687559128, cd=0.08277872204780579, cm=-0.048866525292396545
  Angle 1: cl=-0.0053057800978422165, cd=0.08299575001001358, cm=-0.026404276490211487
  Angle 2: cl=0.07908464223146439, cd=0.08404749631881714, cm=-0.01142941415309906
