Experiment: Nash_Combination_Experiment_13
Generation: 62
Generation Type: v
Timestamp: 20231226_062919

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.02681897052434, 11.507928224864097] - Base Fitness: 0.12468512131675971, Adjusted Fitness: 0.12468512131675971
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.544140262837978] - Base Fitness: 0.1213707282654417, Adjusted Fitness: 0.1213707282654417
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.507928224864097] - Base Fitness: 0.12549340586112048, Adjusted Fitness: 0.12549340586112048
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.005, 7.02681897052434, 11.563914546185199] - Base Fitness: -0.1528941782920827, Adjusted Fitness: -0.14987620167319066
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.02681897052434, 11.563914546185199] - Base Fitness: 0.119628313920397, Adjusted Fitness: 0.119628313920397
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.02681897052434, 11.563914546185199] - Base Fitness: 0.11861448900617692, Adjusted Fitness: 0.12492911108777578
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.12038569855288543, Adjusted Fitness: 0.12038569855288543
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.02681897052434, 11.563914546185199] - Base Fitness: 0.11861448900617692, Adjusted Fitness: 0.12492911108777578
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.0, 11.563914546185199] - Base Fitness: -0.15030287697987088, Adjusted Fitness: -0.14387201260383914
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.582845907441367] - Base Fitness: 0.1168629578373079, Adjusted Fitness: 0.1168629578373079
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.02681897052434, 11.507928224864097] - Base Fitness: 0.12468512131675971, Adjusted Fitness: 0.12468512131675971
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.02681897052434, 11.563914546185199] - Base Fitness: 0.11861448900617692, Adjusted Fitness: 0.12492911108777578
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.507928224864097] - Base Fitness: 0.12549340586112048, Adjusted Fitness: 0.12549340586112048
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.08343548527628854, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.10050297879631971, Adjusted Fitness: 0.10050297879631971
[0.0126, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.02681897052434, 11.563914546185199] - Base Fitness: -0.5880098017570057, Adjusted Fitness: -0.5880098017570057
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.12038569855288543, Adjusted Fitness: 0.12038569855288543
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.43786044928180384, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.09950443895725936, Adjusted Fitness: 0.10054119091169272
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.8673268873923966, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11800114068552194, Adjusted Fitness: 0.11800114068552194
[0.0085, 0.46, 0.13, -0.8890544899661772, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11961686979512147, Adjusted Fitness: 0.11961686979512147
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.08577988955729605, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.09919841490683073, Adjusted Fitness: 0.10197214068234937
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.507928224864097] - Base Fitness: 0.12549340586112048, Adjusted Fitness: 0.12549340586112048
[0.0085, 0.46, 0.11, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: -0.5993797569811603, Adjusted Fitness: -0.5816004909250047
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.0937843420479267, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.09476425041527066, Adjusted Fitness: 0.0974936345458737
[0.0085, 0.46, 0.11, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: -0.5993797569811603, Adjusted Fitness: -0.5816004909250047
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.02681897052434, 11.563914546185199] - Base Fitness: 0.11861448900617692, Adjusted Fitness: 0.12492911108777578
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.12038569855288543, Adjusted Fitness: 0.12038569855288543
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.02681897052434, 11.507928224864097] - Base Fitness: 0.12468512131675971, Adjusted Fitness: 0.12468512131675971
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: 0.11923264004141798, Adjusted Fitness: 0.12437052378581644
[0.0085, 0.46, 0.13, -0.8834395295993511, 0.2129487899093409, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.507928224864097] - Base Fitness: -1.1424264295099185, Adjusted Fitness: -1.130283791988717
[0.0085, 0.46, 0.12510286498905498, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199] - Base Fitness: -0.06980064218581566, Adjusted Fitness: -0.06698394800129576

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.02681897052434, 11.507928224864097]:
  Angle -10: cl=-0.5653358697891235, cd=0.23347459733486176, cm=-0.18932373821735382
  Angle -9: cl=-0.5949810743331909, cd=0.20099115371704102, cm=-0.1851492077112198
  Angle -8: cl=-0.6177628636360168, cd=0.16576845943927765, cm=-0.18323715031147003
  Angle -7: cl=-0.6568558812141418, cd=0.13069401681423187, cm=-0.17848940193653107
  Angle -6: cl=-0.6158890128135681, cd=0.1157841607928276, cm=-0.16367901861667633
  Angle -5: cl=-0.5110263228416443, cd=0.10455594211816788, cm=-0.1507142335176468
  Angle -4: cl=-0.41501384973526, cd=0.09884430468082428, cm=-0.1378105729818344
  Angle -3: cl=-0.31283873319625854, cd=0.09286992251873016, cm=-0.1239892989397049
  Angle -2: cl=-0.23331883549690247, cd=0.08727041631937027, cm=-0.10187669098377228
  Angle -1: cl=-0.1728569120168686, cd=0.0825708657503128, cm=-0.0727064460515976
  Angle 0: cl=-0.10575444996356964, cd=0.08188143372535706, cm=-0.04373393952846527
  Angle 1: cl=-0.02331768535077572, cd=0.08231663703918457, cm=-0.02147023379802704
  Angle 2: cl=0.05975917726755142, cd=0.08308237791061401, cm=-0.006033256649971008
  Angle 3: cl=0.2833239734172821, cd=0.06937521696090698, cm=-0.001085430383682251
  Angle 4: cl=0.39802610874176025, cd=0.07309720665216446, cm=0.002974480390548706
  Angle 5: cl=0.4969797432422638, cd=0.08136692643165588, cm=0.00640597939491272
  Angle 6: cl=0.5905812382698059, cd=0.08856431394815445, cm=0.008835554122924805
  Angle 7: cl=0.6805444955825806, cd=0.09516075253486633, cm=0.011045962572097778
  Angle 8: cl=0.7707826495170593, cd=0.10127522051334381, cm=0.011624336242675781
  Angle 9: cl=0.8649305701255798, cd=0.10522899031639099, cm=0.00341053307056427
  Angle 10: cl=0.9648069739341736, cd=0.10984852910041809, cm=-0.004582807421684265
Genotype [0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199]:
  Angle -10: cl=-0.5655050277709961, cd=0.2335115671157837, cm=-0.18940667808055878
  Angle -9: cl=-0.5951968431472778, cd=0.201011523604393, cm=-0.18513281643390656
  Angle -8: cl=-0.6181624531745911, cd=0.1658189445734024, cm=-0.18320928514003754
  Angle -7: cl=-0.656974732875824, cd=0.13074280321598053, cm=-0.17847298085689545
  Angle -6: cl=-0.6166000962257385, cd=0.11585443466901779, cm=-0.16363708674907684
  Angle -5: cl=-0.5113655924797058, cd=0.10456434637308121, cm=-0.1507175713777542
  Angle -4: cl=-0.41535189747810364, cd=0.09884237498044968, cm=-0.13779811561107635
  Angle -3: cl=-0.3131992518901825, cd=0.09283649921417236, cm=-0.12396065890789032
  Angle -2: cl=-0.23359328508377075, cd=0.08722099661827087, cm=-0.10182230174541473
  Angle -1: cl=-0.17295102775096893, cd=0.08252972364425659, cm=-0.07267846167087555
  Angle 0: cl=-0.10633650422096252, cd=0.08184517920017242, cm=-0.04362998902797699
  Angle 1: cl=-0.023645928129553795, cd=0.08228634297847748, cm=-0.02146299183368683
  Angle 2: cl=0.05915456265211105, cd=0.08304852992296219, cm=-0.00593779981136322
  Angle 3: cl=0.2819293141365051, cd=0.06948617845773697, cm=-0.0009765177965164185
  Angle 4: cl=0.3971923589706421, cd=0.07309845834970474, cm=0.0030594170093536377
  Angle 5: cl=0.49623966217041016, cd=0.08138040453195572, cm=0.006505444645881653
  Angle 6: cl=0.5896532535552979, cd=0.0885978639125824, cm=0.008895829319953918
  Angle 7: cl=0.6796143651008606, cd=0.09516892582178116, cm=0.011125504970550537
  Angle 8: cl=0.7698174715042114, cd=0.1012609452009201, cm=0.011634841561317444
  Angle 9: cl=0.8638120889663696, cd=0.10522011667490005, cm=0.003445044159889221
  Angle 10: cl=0.9638137817382812, cd=0.10981448739767075, cm=-0.004529908299446106
Genotype [0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.563914546185199]:
  Angle -10: cl=-0.5655050277709961, cd=0.2335115671157837, cm=-0.18940667808055878
  Angle -9: cl=-0.5951968431472778, cd=0.201011523604393, cm=-0.18513281643390656
  Angle -8: cl=-0.6181624531745911, cd=0.1658189445734024, cm=-0.18320928514003754
  Angle -7: cl=-0.656974732875824, cd=0.13074280321598053, cm=-0.17847298085689545
  Angle -6: cl=-0.6166000962257385, cd=0.11585443466901779, cm=-0.16363708674907684
  Angle -5: cl=-0.5113655924797058, cd=0.10456434637308121, cm=-0.1507175713777542
  Angle -4: cl=-0.41535189747810364, cd=0.09884237498044968, cm=-0.13779811561107635
  Angle -3: cl=-0.3131992518901825, cd=0.09283649921417236, cm=-0.12396065890789032
  Angle -2: cl=-0.23359328508377075, cd=0.08722099661827087, cm=-0.10182230174541473
  Angle -1: cl=-0.17295102775096893, cd=0.08252972364425659, cm=-0.07267846167087555
  Angle 0: cl=-0.10633650422096252, cd=0.08184517920017242, cm=-0.04362998902797699
  Angle 1: cl=-0.023645928129553795, cd=0.08228634297847748, cm=-0.02146299183368683
  Angle 2: cl=0.05915456265211105, cd=0.08304852992296219, cm=-0.00593779981136322
  Angle 3: cl=0.2819293141365051, cd=0.06948617845773697, cm=-0.0009765177965164185
  Angle 4: cl=0.3971923589706421, cd=0.07309845834970474, cm=0.0030594170093536377
  Angle 5: cl=0.49623966217041016, cd=0.08138040453195572, cm=0.006505444645881653
  Angle 6: cl=0.5896532535552979, cd=0.0885978639125824, cm=0.008895829319953918
  Angle 7: cl=0.6796143651008606, cd=0.09516892582178116, cm=0.011125504970550537
  Angle 8: cl=0.7698174715042114, cd=0.1012609452009201, cm=0.011634841561317444
  Angle 9: cl=0.8638120889663696, cd=0.10522011667490005, cm=0.003445044159889221
  Angle 10: cl=0.9638137817382812, cd=0.10981448739767075, cm=-0.004529908299446106
Genotype [0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.544140262837978]:
  Angle -10: cl=-0.5655602812767029, cd=0.233550027012825, cm=-0.18943016231060028
  Angle -9: cl=-0.5952549576759338, cd=0.20104286074638367, cm=-0.18515153229236603
  Angle -8: cl=-0.6181138157844543, cd=0.1658419966697693, cm=-0.18320725858211517
  Angle -7: cl=-0.6570151448249817, cd=0.1307777613401413, cm=-0.17851485311985016
  Angle -6: cl=-0.6162850260734558, cd=0.11585882306098938, cm=-0.1637348085641861
  Angle -5: cl=-0.5113770365715027, cd=0.10459288954734802, cm=-0.1507127732038498
  Angle -4: cl=-0.4152922034263611, cd=0.09885280579328537, cm=-0.13780178129673004
  Angle -3: cl=-0.31295499205589294, cd=0.09285364300012589, cm=-0.12397365272045135
  Angle -2: cl=-0.23336133360862732, cd=0.08724388480186462, cm=-0.10190452635288239
  Angle -1: cl=-0.17279206216335297, cd=0.08253936469554901, cm=-0.07270790636539459
  Angle 0: cl=-0.10602909326553345, cd=0.08185862004756927, cm=-0.043702736496925354
  Angle 1: cl=-0.02354869805276394, cd=0.0822814479470253, cm=-0.021510049700737
  Angle 2: cl=0.05951381474733353, cd=0.08306318521499634, cm=-0.00604461133480072
  Angle 3: cl=0.28210705518722534, cd=0.06945261359214783, cm=-0.0010232478380203247
  Angle 4: cl=0.39749643206596375, cd=0.07308237254619598, cm=0.003024086356163025
  Angle 5: cl=0.49657830595970154, cd=0.08134989440441132, cm=0.006461501121520996
  Angle 6: cl=0.5902782678604126, cd=0.08854781836271286, cm=0.008841678500175476
  Angle 7: cl=0.6800740957260132, cd=0.09514117985963821, cm=0.01107613742351532
  Angle 8: cl=0.7699969410896301, cd=0.10125354677438736, cm=0.011644691228866577
  Angle 9: cl=0.864456057548523, cd=0.10522302985191345, cm=0.003465518355369568
  Angle 10: cl=0.964320957660675, cd=0.10981146991252899, cm=-0.004532650113105774
Genotype [0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 11.507928224864097]:
  Angle -10: cl=-0.5654023885726929, cd=0.23361103236675262, cm=-0.18937794864177704
  Angle -9: cl=-0.5951963663101196, cd=0.20109471678733826, cm=-0.18512742221355438
  Angle -8: cl=-0.6180782318115234, cd=0.165877565741539, cm=-0.18320907652378082
  Angle -7: cl=-0.6570148468017578, cd=0.13082759082317352, cm=-0.17859549820423126
  Angle -6: cl=-0.6161622405052185, cd=0.11591900140047073, cm=-0.1637520045042038
  Angle -5: cl=-0.5110939145088196, cd=0.10459434241056442, cm=-0.15079234540462494
  Angle -4: cl=-0.41491222381591797, cd=0.09885864704847336, cm=-0.13789547979831696
  Angle -3: cl=-0.31275296211242676, cd=0.09287522733211517, cm=-0.12406809628009796
  Angle -2: cl=-0.23326650261878967, cd=0.08729559928178787, cm=-0.10197882354259491
  Angle -1: cl=-0.17250555753707886, cd=0.08257687836885452, cm=-0.07282884418964386
  Angle 0: cl=-0.10548128187656403, cd=0.08190064132213593, cm=-0.043867483735084534
  Angle 1: cl=-0.022965120151638985, cd=0.08229763805866241, cm=-0.021693632006645203
  Angle 2: cl=0.060102902352809906, cd=0.08308017998933792, cm=-0.0061590224504470825
  Angle 3: cl=0.2826938331127167, cd=0.06937886774539948, cm=-0.0010900050401687622
  Angle 4: cl=0.39833715558052063, cd=0.0730331540107727, cm=0.002935260534286499
  Angle 5: cl=0.4973217844963074, cd=0.08131308853626251, cm=0.006411135196685791
  Angle 6: cl=0.5910845398902893, cd=0.08850712329149246, cm=0.008747830986976624
  Angle 7: cl=0.6808694005012512, cd=0.09511297941207886, cm=0.011002063751220703
  Angle 8: cl=0.770989716053009, cd=0.10125282406806946, cm=0.011676877737045288
  Angle 9: cl=0.8650724291801453, cd=0.10521809011697769, cm=0.0034535974264144897
  Angle 10: cl=0.9650413393974304, cd=0.10980962961912155, cm=-0.004529848694801331
Genotype [0.0085, 0.46, 0.13, -0.8834395295993511, 0.26, -0.023, 0.05, -0.003, 0.005, 7.02681897052434, 11.563914546185199]:
  Angle -10: cl=-0.5425200462341309, cd=0.22448864579200745, cm=-0.18566055595874786
  Angle -9: cl=-0.5672288537025452, cd=0.19156645238399506, cm=-0.18326495587825775
  Angle -8: cl=-0.5900357365608215, cd=0.15653207898139954, cm=-0.18076281249523163
  Angle -7: cl=-0.6238511800765991, cd=0.12686903774738312, cm=-0.17143778502941132
  Angle -6: cl=-0.6092549562454224, cd=0.11137430369853973, cm=-0.15897764265537262
  Angle -5: cl=-0.523493766784668, cd=0.10324286669492722, cm=-0.14428813755512238
  Angle -4: cl=-0.42472001910209656, cd=0.09717430919408798, cm=-0.13083060085773468
  Angle -3: cl=-0.3298618793487549, cd=0.09018313884735107, cm=-0.11300526559352875
  Angle -2: cl=-0.2663348615169525, cd=0.0842864140868187, cm=-0.08556418120861053
  Angle -1: cl=-0.2061607390642166, cd=0.07993269711732864, cm=-0.055979952216148376
