Experiment: Nash_Combination_Experiment_15
Generation: 16
Generation Type: u
Timestamp: 20231226_064910

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.14563433460507338, -0.003, 0.0025540517717730603, 10.0, 10.0] - Base Fitness: 0.04362149948663526, Adjusted Fitness: 0.04369020235512302
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.05, -0.003, 0.0025540517717730603, 9.846297413046736, 10.0] - Base Fitness: 0.11205986506268692, Adjusted Fitness: 0.11344779197258069
[0.008816963425196486, 0.4377036479759967, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.07875545209926386, -0.003, 0.0025540517717730603, 10.0, 10.0] - Base Fitness: 0.021654273208706918, Adjusted Fitness: 0.021654273208706918
[0.0085, 0.4377036479759967, 0.13, -0.9, 0.26, -0.0229219750744888, 0.14563433460507338, -0.003, 0.0025, 8.835916517651421, 10.0] - Base Fitness: 0.11085272151428263, Adjusted Fitness: 0.1115649771172492
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025540517717730603, 7.948134760984816, 10.0] - Base Fitness: 0.24481623071672826, Adjusted Fitness: 0.2470516857369353
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.08689128564834261, -0.003, 0.0025540517717730603, 9.846297413046736, 10.0] - Base Fitness: 0.10694668501346648, Adjusted Fitness: 0.10727985790118107
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.023, 0.08689128564834261, -0.003, 0.0025, 8.905108086106729, 10.0] - Base Fitness: 0.15469795849101645, Adjusted Fitness: 0.15635650384829827
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.0229219750744888, 0.05, -0.003, 0.0025540517717730603, 10.0, 10.0] - Base Fitness: 0.12437449919052837, Adjusted Fitness: 0.12462504506748456
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.023, 0.08689128564834261, -0.003, 0.0025, 8.905108086106729, 10.0] - Base Fitness: 0.15469795849101645, Adjusted Fitness: 0.15635650384829827
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.05, -0.003, 0.0025540517717730603, 8.01577216095939, 10.0] - Base Fitness: 0.23212481742415714, Adjusted Fitness: 0.23313252729086903
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.07875545209926386, -0.003, 0.0025540517717730603, 10.0, 10.0] - Base Fitness: 0.10335670780073831, Adjusted Fitness: 0.10441941771655523
[0.008816963425196486, 0.4377036479759967, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.14563433460507338, -0.003, 0.0025, 8.835916517651421, 10.4152205345108] - Base Fitness: 0.0007454701925791032, Adjusted Fitness: 0.0007454701925791032
[0.0085, 0.46, 0.13, -0.8873478650121857, 0.25920719389484015, -0.0229219750744888, 0.07875545209926386, -0.003, 0.0025540517717730603, 8.01577216095939, 10.0] - Base Fitness: 0.20044384660708162, Adjusted Fitness: 0.2011633019058882
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.023, 0.05, -0.003, 0.0025, 8.905108086106729, 10.0] - Base Fitness: 0.17816532601697585, Adjusted Fitness: 0.1787062512380518
[0.0085, 0.46, 0.13, -0.8873478650121857, 0.25920719389484015, -0.0229219750744888, 0.07875545209926386, -0.003, 0.0025, 8.835916517651421, 10.0] - Base Fitness: 0.15910724129164766, Adjusted Fitness: 0.1594787530721281
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.14563433460507338, -0.003, 0.0025, 8.835916517651421, 10.0] - Base Fitness: 0.13388198488278158, Adjusted Fitness: 0.1345651845714513
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.023, 0.08689128564834261, -0.003, 0.005, 9.846297413046736, 10.0] - Base Fitness: -0.1741126818653513, Adjusted Fitness: -0.1741126818653513
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.0229219750744888, 0.14563433460507338, -0.003, 0.0025540517717730603, 10.0, 10.0] - Base Fitness: 0.06522503405522223, Adjusted Fitness: 0.06524058039613853
[0.008816963425196486, 0.4377036479759967, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.14563433460507338, -0.003, 0.0025540517717730603, 10.0, 10.0] - Base Fitness: -0.016521558783480775, Adjusted Fitness: -0.016521558783480775
[0.0085, 0.4377036479759967, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.14563433460507338, -0.003, 0.0025, 8.835916517651421, 10.0] - Base Fitness: 0.1076347546712628, Adjusted Fitness: 0.10793225116784187
[0.008816963425196486, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.08689128564834261, -0.003, 0.0025, 10.0, 10.0] - Base Fitness: 0.02118358745584382, Adjusted Fitness: 0.02118358745584382
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.023, 0.05, -0.003, 0.0025540517717730603, 8.534228947155533, 10.0] - Base Fitness: 0.19334067160649734, Adjusted Fitness: 0.19400978644689873
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.023, 0.08689128564834261, -0.003, 0.0025, 8.905108086106729, 10.0] - Base Fitness: 0.15469795849101645, Adjusted Fitness: 0.15635650384829827
[0.008816963425196486, 0.4377036479759967, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.05, -0.003, 0.0025540517717730603, 10.0, 10.0] - Base Fitness: 0.038168656124156604, Adjusted Fitness: 0.038168656124156604
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.05, -0.003, 0.0025540517717730603, 9.846297413046736, 10.0] - Base Fitness: 0.11205986506268692, Adjusted Fitness: 0.11344779197258069
[0.008816963425196486, 0.46, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.08689128564834261, -0.003, 0.0025, 10.0, 10.0] - Base Fitness: 0.03935272473923717, Adjusted Fitness: 0.03935272473923717
[0.0085, 0.46, 0.13, -0.8873478650121857, 0.26, -0.0229219750744888, 0.05, -0.003, 0.0025540517717730603, 9.846297413046736, 10.0] - Base Fitness: 0.13242757512754344, Adjusted Fitness: 0.13308425645743716
[0.0126, 0.4377036479759967, 0.13, -0.8527296959470463, 0.25920719389484015, -0.023, 0.08689128564834261, -0.003, 0.0025, 8.905108086106729, 10.0] - Base Fitness: -0.546633263014361, Adjusted Fitness: -0.546633263014361
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.05, -0.003, 0.0025540517717730603, 10.0, 10.0] - Base Fitness: 0.10314280720135491, Adjusted Fitness: 0.10352787425327745
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.14563433460507338, -0.003, 0.005, 8.835916517651421, 10.0] - Base Fitness: -0.14909003433129456, Adjusted Fitness: -0.14909003433129456
[0.008816963425196486, 0.4377036479759967, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.05, -0.003, 0.0025540517717730603, 8.01577216095939, 10.0] - Base Fitness: 0.13862569760914548, Adjusted Fitness: 0.13937009158521077
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.07875545209926386, -0.006, 0.0025540517717730603, 10.0, 10.0] - Base Fitness: -0.34263451718708976, Adjusted Fitness: -0.34263451718708976
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.05, -0.003, 0.0025540517717730603, 10.0, 10.0] - Base Fitness: 0.12802696065714977, Adjusted Fitness: 0.12829501337560772
[0.008816963425196486, 0.46, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.14563433460507338, -0.003, 0.0025540517717730603, 10.0, 10.0] - Base Fitness: -0.001873828578665313, Adjusted Fitness: -0.0018151604421135286
[0.008816963425196486, 0.46, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.14563433460507338, -0.003, 0.0025, 8.835916517651421, 10.785451882609635] - Base Fitness: -0.02189587302587035, Adjusted Fitness: -0.02189587302587035
[0.0085, 0.4377036479759967, 0.13, -0.9, 0.26, -0.023, 0.2, -0.003, 0.0025540517717730603, 8.01577216095939, 10.0] - Base Fitness: 0.12260421556705402, Adjusted Fitness: 0.12311437725372663
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.07875545209926386, -0.003, 0.0025540517717730603, 10.0, 10.0] - Base Fitness: 0.10335670780073831, Adjusted Fitness: 0.10441941771655523
[0.0085, 0.4377036479759967, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.07875545209926386, -0.003, 0.005, 10.0, 10.0] - Base Fitness: -0.17780299553594378, Adjusted Fitness: -0.17780299553594378
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.05, -0.003, 0.0025540517717730603, 10.0, 10.555538019601478] - Base Fitness: 0.03891069577361461, Adjusted Fitness: 0.03891069577361461
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.08689128564834261, -0.003, 0.0025540517717730603, 9.867894226021182, 10.0] - Base Fitness: 0.11242361526070656, Adjusted Fitness: 0.11288752695175147
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.015, 0.14563433460507338, -0.003, 0.0025540517717730603, 10.0, 10.0] - Base Fitness: -0.5329378725777868, Adjusted Fitness: -0.5329378725777868
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.05, -0.003, 0.0025540517717730603, 9.846297413046736, 10.0] - Base Fitness: 0.11205986506268692, Adjusted Fitness: 0.11344779197258069
[0.008816963425196486, 0.4377036479759967, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.14563433460507338, -0.003, 0.0025, 10.0, 10.0] - Base Fitness: -0.01119802459895899, Adjusted Fitness: -0.01119802459895899
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.015, 0.07875545209926386, -0.003, 0.0025540517717730603, 8.01577216095939, 10.0] - Base Fitness: -0.418495423106018, Adjusted Fitness: -0.418495423106018
[0.0085, 0.4377036479759967, 0.13, -0.8527296959470463, 0.26, -0.023, 0.08689128564834261, -0.003, 0.0025540517717730603, 9.867894226021182, 10.0] - Base Fitness: 0.08995387157839062, Adjusted Fitness: 0.09020704927408352
[0.008816963425196486, 0.4377036479759967, 0.13, -0.8527296959470463, 0.26, -0.023, 0.08689128564834261, -0.003, 0.0025540517717730603, 9.867894226021182, 10.0] - Base Fitness: 0.02934368775173642, Adjusted Fitness: 0.02934368775173642
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.2, -0.003, 0.0025540517717730603, 8.01577216095939, 10.0] - Base Fitness: 0.1508624463867886, Adjusted Fitness: 0.15128371809843436
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.023, 0.08689128564834261, -0.003, 0.005, 9.846297413046736, 10.0] - Base Fitness: -0.1741126818653513, Adjusted Fitness: -0.1741126818653513
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.0229219750744888, 0.2, -0.006, 0.0025540517717730603, 8.01577216095939, 10.0] - Base Fitness: -0.3041845253661021, Adjusted Fitness: -0.3041845253661021
[0.008816963425196486, 0.4377036479759967, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.14563433460507338, -0.003, 0.0025540517717730603, 10.0, 10.0] - Base Fitness: -0.034670499834332735, Adjusted Fitness: -0.034670499834332735

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.14563433460507338, -0.003, 0.0025540517717730603, 10.0, 10.0]:
  Angle -10: cl=-0.552528977394104, cd=0.22055231034755707, cm=-0.18855400383472443
  Angle -9: cl=-0.5767542123794556, cd=0.18640853464603424, cm=-0.18609113991260529
  Angle -8: cl=-0.598645806312561, cd=0.15192195773124695, cm=-0.1836412400007248
  Angle -7: cl=-0.636478841304779, cd=0.12190346419811249, cm=-0.17296697199344635
  Angle -6: cl=-0.5988430976867676, cd=0.10994291305541992, cm=-0.15906883776187897
  Angle -5: cl=-0.5164780020713806, cd=0.10362111032009125, cm=-0.14381487667560577
  Angle -4: cl=-0.4193617105484009, cd=0.09834660589694977, cm=-0.1306360512971878
  Angle -3: cl=-0.3200626075267792, cd=0.09148097038269043, cm=-0.11377845704555511
  Angle -2: cl=-0.2584851384162903, cd=0.08581200987100601, cm=-0.08548785746097565
  Angle -1: cl=-0.19702854752540588, cd=0.08155795931816101, cm=-0.05607195198535919
  Angle 0: cl=-0.12665459513664246, cd=0.0820329487323761, cm=-0.030232414603233337
  Angle 1: cl=-0.04928818345069885, cd=0.08292350172996521, cm=-0.008962705731391907
  Angle 2: cl=0.03569352626800537, cd=0.0882578119635582, cm=0.0025592148303985596
  Angle 3: cl=0.27837100625038147, cd=0.07554522156715393, cm=0.002934277057647705
  Angle 4: cl=0.3742821216583252, cd=0.08107668906450272, cm=0.007856518030166626
  Angle 5: cl=0.4743911623954773, cd=0.087611123919487, cm=0.010588347911834717
  Angle 6: cl=0.5713539123535156, cd=0.09416338056325912, cm=0.012361794710159302
  Angle 7: cl=0.6635429859161377, cd=0.10036226361989975, cm=0.013836339116096497
  Angle 8: cl=0.7555667757987976, cd=0.10371904075145721, cm=0.006179437041282654
  Angle 9: cl=0.8508080840110779, cd=0.10808362811803818, cm=-0.002094447612762451
  Angle 10: cl=0.9457367658615112, cd=0.11733216792345047, cm=-0.010668829083442688
Genotype [0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.05, -0.003, 0.0025540517717730603, 9.846297413046736, 10.0]:
  Angle -10: cl=-0.5545926690101624, cd=0.2229805588722229, cm=-0.18876509368419647
  Angle -9: cl=-0.5776799321174622, cd=0.18888460099697113, cm=-0.18651746213436127
  Angle -8: cl=-0.5999705195426941, cd=0.15410099923610687, cm=-0.18487663567066193
  Angle -7: cl=-0.6373423933982849, cd=0.12300731986761093, cm=-0.175210639834404
  Angle -6: cl=-0.5972929000854492, cd=0.1108717992901802, cm=-0.1605975478887558
  Angle -5: cl=-0.5109359622001648, cd=0.10371211916208267, cm=-0.14582891762256622
  Angle -4: cl=-0.4153653681278229, cd=0.09872271120548248, cm=-0.13267724215984344
  Angle -3: cl=-0.3121975064277649, cd=0.09203488379716873, cm=-0.11766453087329865
  Angle -2: cl=-0.2511339783668518, cd=0.08644907176494598, cm=-0.08922620117664337
  Angle -1: cl=-0.18993450701236725, cd=0.08214613050222397, cm=-0.059726014733314514
  Angle 0: cl=-0.11928758025169373, cd=0.08234281092882156, cm=-0.03345678746700287
  Angle 1: cl=-0.03831791877746582, cd=0.08262623846530914, cm=-0.011717811226844788
  Angle 2: cl=0.04635080322623253, cd=0.08646491169929504, cm=0.0010901391506195068
  Angle 3: cl=0.29104769229888916, cd=0.07340498268604279, cm=0.001483634114265442
  Angle 4: cl=0.3878899812698364, cd=0.07889126986265182, cm=0.0061821043491363525
  Angle 5: cl=0.4870156943798065, cd=0.08645857125520706, cm=0.009109392762184143
  Angle 6: cl=0.5838673114776611, cd=0.09299520403146744, cm=0.010918453335762024
  Angle 7: cl=0.6750835180282593, cd=0.09958717972040176, cm=0.013246327638626099
  Angle 8: cl=0.7670778036117554, cd=0.10338339954614639, cm=0.007002919912338257
  Angle 9: cl=0.8622881770133972, cd=0.10772901028394699, cm=-0.001387268304824829
  Angle 10: cl=0.9582128524780273, cd=0.1168326884508133, cm=-0.009437069296836853
Genotype [0.008816963425196486, 0.4377036479759967, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.07875545209926386, -0.003, 0.0025540517717730603, 10.0, 10.0]:
  Angle -10: cl=-0.5465946197509766, cd=0.22003504633903503, cm=-0.18569530546665192
  Angle -9: cl=-0.5805190205574036, cd=0.18939714133739471, cm=-0.18069978058338165
  Angle -8: cl=-0.6043913960456848, cd=0.1542348861694336, cm=-0.1775161176919937
  Angle -7: cl=-0.6304647326469421, cd=0.12580426037311554, cm=-0.16769669950008392
  Angle -6: cl=-0.6069073677062988, cd=0.11243181675672531, cm=-0.15464209020137787
  Angle -5: cl=-0.4976157546043396, cd=0.10189056396484375, cm=-0.14187763631343842
  Angle -4: cl=-0.3982597291469574, cd=0.09546677768230438, cm=-0.12750454246997833
  Angle -3: cl=-0.30144888162612915, cd=0.08856035023927689, cm=-0.10987912118434906
  Angle -2: cl=-0.2364037036895752, cd=0.08252006769180298, cm=-0.08305008709430695
  Angle -1: cl=-0.1770332157611847, cd=0.07974317669868469, cm=-0.05296154320240021
  Angle 0: cl=-0.1114954799413681, cd=0.08032669126987457, cm=-0.02607034146785736
  Angle 1: cl=-0.04456254839897156, cd=0.0843481793999672, cm=-0.0055884867906570435
  Angle 2: cl=0.059601038694381714, cd=0.08765121549367905, cm=0.005470067262649536
  Angle 3: cl=0.26707080006599426, cd=0.07935237884521484, cm=0.007621482014656067
  Angle 4: cl=0.35263732075691223, cd=0.08518122136592865, cm=0.013164207339286804
  Angle 5: cl=0.4464412033557892, cd=0.09128973633050919, cm=0.017068609595298767
  Angle 6: cl=0.5429626107215881, cd=0.09720246493816376, cm=0.01885102689266205
  Angle 7: cl=0.6399183869361877, cd=0.100777268409729, cm=0.013109743595123291
  Angle 8: cl=0.7319058775901794, cd=0.104170061647892, cm=0.005678966641426086
  Angle 9: cl=0.823930561542511, cd=0.10804013162851334, cm=-0.0027395039796829224
  Angle 10: cl=0.9206300377845764, cd=0.11294659972190857, cm=-0.012483879923820496
Genotype [0.0085, 0.4377036479759967, 0.13, -0.9, 0.26, -0.0229219750744888, 0.14563433460507338, -0.003, 0.0025, 8.835916517651421, 10.0]:
  Angle -10: cl=-0.5536845922470093, cd=0.22656138241291046, cm=-0.18665902316570282
  Angle -9: cl=-0.5879971981048584, cd=0.1958712935447693, cm=-0.1811128705739975
  Angle -8: cl=-0.6116874814033508, cd=0.16099777817726135, cm=-0.17870648205280304
  Angle -7: cl=-0.6384413838386536, cd=0.12867876887321472, cm=-0.17094187438488007
  Angle -6: cl=-0.6108664870262146, cd=0.11505511403083801, cm=-0.15791289508342743
  Angle -5: cl=-0.4962785243988037, cd=0.10324347764253616, cm=-0.1454416662454605
  Angle -4: cl=-0.39427998661994934, cd=0.09637229144573212, cm=-0.1323576420545578
  Angle -3: cl=-0.29041770100593567, cd=0.08970460295677185, cm=-0.1176266223192215
  Angle -2: cl=-0.22110311686992645, cd=0.08365894854068756, cm=-0.0922466367483139
  Angle -1: cl=-0.16243687272071838, cd=0.08037646114826202, cm=-0.06262846291065216
  Angle 0: cl=-0.09813937544822693, cd=0.0805278867483139, cm=-0.03383155167102814
  Angle 1: cl=-0.026959015056490898, cd=0.08138519525527954, cm=-0.009845927357673645
  Angle 2: cl=0.05490357056260109, cd=0.08563907444477081, cm=0.0025033950805664062
  Angle 3: cl=0.28916114568710327, cd=0.07412104308605194, cm=0.004444777965545654
  Angle 4: cl=0.37629327178001404, cd=0.07974191755056381, cm=0.00985303521156311
  Angle 5: cl=0.471248984336853, cd=0.08684933930635452, cm=0.01349097490310669
  Angle 6: cl=0.5638007521629333, cd=0.09398772567510605, cm=0.0159570574760437
  Angle 7: cl=0.6578827500343323, cd=0.09980006515979767, cm=0.015713870525360107
  Angle 8: cl=0.749813973903656, cd=0.10298628360033035, cm=0.00841832160949707
  Angle 9: cl=0.8417782187461853, cd=0.10674716532230377, cm=0.00014500319957733154
  Angle 10: cl=0.9405583739280701, cd=0.11134932190179825, cm=-0.008262261748313904
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025540517717730603, 7.948134760984816, 10.0]:
  Angle -10: cl=-0.5629252791404724, cd=0.23157431185245514, cm=-0.18943645060062408
  Angle -9: cl=-0.5879065990447998, cd=0.19824768602848053, cm=-0.18652115762233734
  Angle -8: cl=-0.6108030676841736, cd=0.1634143441915512, cm=-0.18543194234371185
  Angle -7: cl=-0.6494739651679993, cd=0.12936896085739136, cm=-0.17976395785808563
  Angle -6: cl=-0.6029765605926514, cd=0.11470941454172134, cm=-0.1648874431848526
  Angle -5: cl=-0.49944186210632324, cd=0.10403690487146378, cm=-0.15152178704738617
  Angle -4: cl=-0.40863585472106934, cd=0.09926744550466537, cm=-0.13814546167850494
  Angle -3: cl=-0.306621789932251, cd=0.09334670752286911, cm=-0.12440364062786102
  Angle -2: cl=-0.23057827353477478, cd=0.08799846470355988, cm=-0.1013474315404892
  Angle -1: cl=-0.16915152966976166, cd=0.08334394544363022, cm=-0.07207323610782623
  Angle 0: cl=-0.0961742252111435, cd=0.08256807923316956, cm=-0.04434783756732941
  Angle 1: cl=-0.01242501474916935, cd=0.0832059234380722, cm=-0.02255488932132721
  Angle 2: cl=0.07092590630054474, cd=0.083933524787426, cm=-0.007230088114738464
  Angle 3: cl=0.31527677178382874, cd=0.06735152751207352, cm=-0.0030412524938583374
  Angle 4: cl=0.4189302623271942, cd=0.07348626106977463, cm=0.001453503966331482
  Angle 5: cl=0.5169373154640198, cd=0.0817781463265419, cm=0.004862397909164429
  Angle 6: cl=0.6106497645378113, cd=0.0887673869729042, cm=0.006961211562156677
  Angle 7: cl=0.70060133934021, cd=0.09537601470947266, cm=0.00944584608078003
  Angle 8: cl=0.7910284996032715, cd=0.10180292278528214, cm=0.010517001152038574
  Angle 9: cl=0.8864720463752747, cd=0.105943962931633, cm=0.002297043800354004
  Angle 10: cl=0.9849801063537598, cd=0.11254998296499252, cm=-0.005516335368156433
Genotype [0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.08689128564834261, -0.003, 0.0025540517717730603, 9.846297413046736, 10.0]:
  Angle -10: cl=-0.5544400215148926, cd=0.222868874669075, cm=-0.1887817233800888
  Angle -9: cl=-0.5776017904281616, cd=0.18871568143367767, cm=-0.18649731576442719
  Angle -8: cl=-0.5999011397361755, cd=0.15393798053264618, cm=-0.18478409945964813
  Angle -7: cl=-0.6375110149383545, cd=0.12291064113378525, cm=-0.1750258356332779
  Angle -6: cl=-0.5974116325378418, cd=0.11079849302768707, cm=-0.1604984849691391
  Angle -5: cl=-0.5114784836769104, cd=0.10370779037475586, cm=-0.14566798508167267
  Angle -4: cl=-0.41571149230003357, cd=0.09871584177017212, cm=-0.13258762657642365
  Angle -3: cl=-0.31273990869522095, cd=0.09200164675712585, cm=-0.1174018532037735
  Angle -2: cl=-0.251354843378067, cd=0.08638256043195724, cm=-0.08900748193264008
  Angle -1: cl=-0.19025826454162598, cd=0.08209803700447083, cm=-0.059479162096977234
  Angle 0: cl=-0.11972135305404663, cd=0.08234928548336029, cm=-0.033268824219703674
  Angle 1: cl=-0.039151631295681, cd=0.08259788900613785, cm=-0.011477217078208923
  Angle 2: cl=0.04563509672880173, cd=0.08660325407981873, cm=0.0011625289916992188
  Angle 3: cl=0.29023438692092896, cd=0.07356584072113037, cm=0.001545250415802002
  Angle 4: cl=0.3866620659828186, cd=0.07908090204000473, cm=0.006302937865257263
  Angle 5: cl=0.4857903718948364, cd=0.08654935657978058, cm=0.00926615297794342
  Angle 6: cl=0.5829973220825195, cd=0.09308479726314545, cm=0.010969653725624084
  Angle 7: cl=0.6742271184921265, cd=0.09968768805265427, cm=0.013398170471191406
  Angle 8: cl=0.7660076022148132, cd=0.10340488702058792, cm=0.006888717412948608
  Angle 9: cl=0.861598789691925, cd=0.10774916410446167, cm=-0.0014819204807281494
  Angle 10: cl=0.9572849273681641, cd=0.11681278049945831, cm=-0.009553894400596619
