Experiment: Nash_Combination_Experiment_15
Generation: 27
Generation Type: u
Timestamp: 20231226_065109

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.9, 0.2, -0.023, 0.08689128564834261, -0.003, 0.0025, 7.811776311236491, 10.0] - Base Fitness: -1.4550283978128282, Adjusted Fitness: -1.4550283978128282
[0.0085, 0.41, 0.13, -0.8527296959470463, 0.2, -0.015, 0.05, -0.003, 0.005, 7.811776311236491, 10.0] - Base Fitness: -2.340778827725405, Adjusted Fitness: -2.340778827725405
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.023, 0.05, -0.003, 0.0025, 7.227774332426635, 10.0] - Base Fitness: 0.2625691073981643, Adjusted Fitness: 0.2646802305091637
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.05, -0.003, 0.0025540517717730603, 7.227774332426635, 10.0] - Base Fitness: 0.2674687051712205, Adjusted Fitness: 0.2685664055384808
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.08689128564834261, -0.003, 0.0025, 7.811776311236491, 10.0] - Base Fitness: 0.23253031628430995, Adjusted Fitness: 0.24456612742511644
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.08689128564834261, -0.003, 0.0025, 7.0, 10.0] - Base Fitness: 0.2679838521777145, Adjusted Fitness: 0.268488330409265
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.08689128564834261, -0.003, 0.0025, 7.227774332426635, 10.0] - Base Fitness: 0.25848986749277303, Adjusted Fitness: 0.26323041039837536
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.05, -0.003, 0.0025540517717730603, 7.227774332426635, 10.0] - Base Fitness: 0.2513354647959493, Adjusted Fitness: 0.2585893145513453
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.811776311236491, 10.0] - Base Fitness: 0.25404870872220037, Adjusted Fitness: 0.25591035742023477
[0.0085, 0.46, 0.13, -0.8873478650121857, 0.26, -0.0229219750744888, 0.08689128564834261, -0.003, 0.005, 7.811776311236491, 10.0] - Base Fitness: -0.05617212729777038, Adjusted Fitness: -0.05617212729777038
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.08689128564834261, -0.003, 0.0025540517717730603, 7.227774332426635, 10.0] - Base Fitness: 0.2524994445273543, Adjusted Fitness: 0.2529837763306368
[0.0085, 0.46, 0.13, -0.8873478650121857, 0.26, -0.023, 0.08689128564834261, -0.003, 0.0025, 7.811776311236491, 10.0] - Base Fitness: 0.2346511700818548, Adjusted Fitness: 0.2390201764580555
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.05, -0.003, 0.0025, 7.811776311236491, 10.0] - Base Fitness: 0.23099637395043315, Adjusted Fitness: 0.23440460969129132
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.05, -0.003, 0.0025540517717730603, 7.227774332426635, 10.72986030737453] - Base Fitness: 0.1712932890370724, Adjusted Fitness: 0.1712932890370724
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.023, 0.08689128564834261, -0.003, 0.0025, 7.227774332426635, 10.0] - Base Fitness: 0.24224123006453605, Adjusted Fitness: 0.2426348801254134
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.08689128564834261, -0.003, 0.0025, 7.811776311236491, 10.0] - Base Fitness: 0.23253031628430995, Adjusted Fitness: 0.24456612742511644
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.227774332426635, 10.0] - Base Fitness: 0.2789822736481181, Adjusted Fitness: 0.28359553534213466
[0.0085, 0.41, 0.13, -0.8873478650121857, 0.26, -0.023, 0.05, -0.003, 0.005, 7.811776311236491, 10.0] - Base Fitness: -0.11913196634630821, Adjusted Fitness: -0.11913196634630821
[0.0085, 0.46, 0.13, -0.8873478650121857, 0.26, -0.0229219750744888, 0.05, -0.003, 0.0025, 7.811776311236491, 10.0] - Base Fitness: 0.2500084317833227, Adjusted Fitness: 0.25093819324630917
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.05, -0.003, 0.0025540517717730603, 7.227774332426635, 10.0] - Base Fitness: 0.2513354647959493, Adjusted Fitness: 0.2585893145513453
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.227774332426635, 10.0] - Base Fitness: 0.2789822736481181, Adjusted Fitness: 0.28359553534213466
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.2, -0.003, 0.0025, 7.811776311236491, 10.0] - Base Fitness: 0.16602391022518853, Adjusted Fitness: 0.16602391022518853
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.05, -0.003, 0.0025, 8.905108086106729, 10.0] - Base Fitness: 0.17106020260768193, Adjusted Fitness: 0.17545292082169034
[0.0085, 0.46, 0.11, -0.8527296959470463, 0.26, -0.0229219750744888, 0.05, -0.003, 0.0025, 7.811776311236491, 10.0] - Base Fitness: -0.48457414747435484, Adjusted Fitness: -0.48457414747435484
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.227774332426635, 10.0] - Base Fitness: 0.2789822736481181, Adjusted Fitness: 0.28359553534213466
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.05, -0.003, 0.0025540517717730603, 7.227774332426635, 10.0] - Base Fitness: 0.2513354647959493, Adjusted Fitness: 0.2585893145513453
[0.0126, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.811776311236491, 10.0] - Base Fitness: -0.4645880248312097, Adjusted Fitness: -0.4645880248312097
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.015, 0.08689128564834261, -0.003, 0.0025, 7.811776311236491, 10.0] - Base Fitness: -0.41848580502967364, Adjusted Fitness: -0.41848580502967364
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.08689128564834261, -0.003, 0.0025, 7.811776311236491, 10.0] - Base Fitness: 0.23253031628430995, Adjusted Fitness: 0.24456612742511644
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.08689128564834261, -0.003, 0.0025, 7.227774332426635, 11.177877703181593] - Base Fitness: 0.12889277082010542, Adjusted Fitness: 0.12889277082010542
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.015, 0.05, -0.003, 0.0025540517717730603, 7.227774332426635, 10.0] - Base Fitness: -0.39675996549546616, Adjusted Fitness: -0.39675996549546616
[0.0085, 0.46, 0.13, -0.8873478650121857, 0.26, -0.023, 0.08689128564834261, -0.003, 0.005, 7.811776311236491, 10.921206184611952] - Base Fitness: -0.15061786113231723, Adjusted Fitness: -0.15061786113231723
[0.0085, 0.46, 0.13, -0.8873478650121857, 0.25920719389484015, -0.0229219750744888, 0.08689128564834261, -0.003, 0.0025540517717730603, 7.227774332426635, 10.0] - Base Fitness: 0.23257270514915668, Adjusted Fitness: 0.23298876508813465
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.05, -0.003, 0.0025540517717730603, 7.227774332426635, 10.0] - Base Fitness: 0.2513354647959493, Adjusted Fitness: 0.2585893145513453
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.05, -0.006, 0.0025, 7.811776311236491, 10.0] - Base Fitness: -0.21791168380933915, Adjusted Fitness: -0.21791168380933915
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.05, -0.003, 0.0025, 7.227774332426635, 10.0] - Base Fitness: 0.2569456781908451, Adjusted Fitness: 0.25983684359642667
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08689128564834261, -0.003, 0.0025540517717730603, 7.227774332426635, 10.0] - Base Fitness: 0.25583837141915355, Adjusted Fitness: 0.2563296560333727
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.08689128564834261, -0.003, 0.0025, 7.811776311236491, 10.0] - Base Fitness: 0.22616919025757376, Adjusted Fitness: 0.2265611017842513
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.0, 10.0] - Base Fitness: 0.28865652431860267, Adjusted Fitness: 0.28915341890705515
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.05, -0.003, 0.005, 7.811776311236491, 10.0] - Base Fitness: -0.02919946331806003, Adjusted Fitness: -0.02919946331806003
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.05, -0.003, 0.0025540517717730603, 7.811776311236491, 10.0] - Base Fitness: 0.22507054854222677, Adjusted Fitness: 0.22547006771904235
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.08689128564834261, -0.003, 0.0025540517717730603, 7.227774332426635, 10.0] - Base Fitness: 0.2306110648673628, Adjusted Fitness: 0.23140352693125008
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.811776311236491, 10.0] - Base Fitness: 0.25404870872220037, Adjusted Fitness: 0.25591035742023477
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.08689128564834261, -0.003, 0.0025, 7.227774332426635, 10.0] - Base Fitness: 0.25848986749277303, Adjusted Fitness: 0.26323041039837536
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.05, -0.003, 0.005, 7.811776311236491, 10.0] - Base Fitness: -0.02919946331806003, Adjusted Fitness: -0.02919946331806003
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.08689128564834261, -0.003, 0.0025, 7.811776311236491, 10.0] - Base Fitness: 0.23253031628430995, Adjusted Fitness: 0.24456612742511644
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.08689128564834261, -0.003, 0.0025, 7.811776311236491, 10.0] - Base Fitness: 0.23253031628430995, Adjusted Fitness: 0.24456612742511644
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.08689128564834261, -0.003, 0.0025, 7.811776311236491, 10.0] - Base Fitness: 0.23253031628430995, Adjusted Fitness: 0.24456612742511644
[0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.0229219750744888, 0.05, -0.003, 0.0025, 7.811776311236491, 10.0] - Base Fitness: 0.23099637395043315, Adjusted Fitness: 0.23440460969129132
[0.0085, 0.46, 0.13, -0.8873478650121857, 0.26, -0.023, 0.08689128564834261, -0.003, 0.0025, 7.811776311236491, 10.0] - Base Fitness: 0.2346511700818548, Adjusted Fitness: 0.2390201764580555

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.9, 0.2, -0.023, 0.08689128564834261, -0.003, 0.0025, 7.811776311236491, 10.0]:
  Angle -10: cl=-0.5740986466407776, cd=0.1904609501361847, cm=-0.1726740449666977
  Angle -9: cl=-0.6031173467636108, cd=0.16127672791481018, cm=-0.1677357405424118
  Angle -8: cl=-0.6289136409759521, cd=0.14526066184043884, cm=-0.15460683405399323
  Angle -7: cl=-0.6598464846611023, cd=0.1325370818376541, cm=-0.13321436941623688
  Angle -6: cl=-0.6978753805160522, cd=0.11474888771772385, cm=-0.1101754754781723
  Angle -5: cl=-0.6869010329246521, cd=0.09834445267915726, cm=-0.08315832912921906
  Angle -4: cl=-0.60899817943573, cd=0.09052383154630661, cm=-0.05798526108264923
  Angle -3: cl=-0.5318447947502136, cd=0.09255162626504898, cm=-0.04408673942089081
  Angle -2: cl=-0.4698108434677124, cd=0.09656114131212234, cm=-0.033045604825019836
  Angle -1: cl=-0.4158262312412262, cd=0.10118137300014496, cm=-0.016440019011497498
  Angle 0: cl=-0.34853070974349976, cd=0.10543110966682434, cm=-0.0017055422067642212
  Angle 1: cl=-0.2732815444469452, cd=0.10931998491287231, cm=0.009520813822746277
  Angle 2: cl=-0.12251859903335571, cd=0.10760553181171417, cm=0.018515661358833313
  Angle 3: cl=0.04350388050079346, cd=0.10476776212453842, cm=0.018360480666160583
  Angle 4: cl=0.12973174452781677, cd=0.10598372668027878, cm=0.014638826251029968
  Angle 5: cl=0.21834887564182281, cd=0.10716506838798523, cm=0.010658234357833862
  Angle 6: cl=0.3265555799007416, cd=0.10480932146310806, cm=-0.003368481993675232
  Angle 7: cl=0.44053974747657776, cd=0.10122264921665192, cm=-0.021874532103538513
  Angle 8: cl=0.5597109794616699, cd=0.10057508200407028, cm=-0.04760603606700897
  Angle 9: cl=0.6732091307640076, cd=0.09925790131092072, cm=-0.07277636229991913
  Angle 10: cl=0.784398078918457, cd=0.09845495969057083, cm=-0.09705318510532379
Genotype [0.0085, 0.41, 0.13, -0.8527296959470463, 0.2, -0.015, 0.05, -0.003, 0.005, 7.811776311236491, 10.0]:
  Angle -10: cl=-0.6408025026321411, cd=0.19651009142398834, cm=-0.10704348981380463
  Angle -9: cl=-0.6755869388580322, cd=0.200707346200943, cm=-0.09182588756084442
  Angle -8: cl=-0.694107174873352, cd=0.20271103084087372, cm=-0.07994721829891205
  Angle -7: cl=-0.707090437412262, cd=0.20855647325515747, cm=-0.07109268009662628
  Angle -6: cl=-0.7064551711082458, cd=0.19950123131275177, cm=-0.06686459481716156
  Angle -5: cl=-0.7200224995613098, cd=0.19959135353565216, cm=-0.05874435603618622
  Angle -4: cl=-0.7437305450439453, cd=0.19699084758758545, cm=-0.05357764661312103
  Angle -3: cl=-0.7263699173927307, cd=0.18511833250522614, cm=-0.07245327532291412
  Angle -2: cl=-0.6884093284606934, cd=0.17103005945682526, cm=-0.09605823457241058
  Angle -1: cl=-0.6336924433708191, cd=0.16027012467384338, cm=-0.11232642829418182
  Angle 0: cl=-0.5568897128105164, cd=0.15771955251693726, cm=-0.12395010888576508
  Angle 1: cl=-0.47113898396492004, cd=0.15608350932598114, cm=-0.13605810701847076
  Angle 2: cl=-0.41138407588005066, cd=0.13703469932079315, cm=-0.1500958353281021
  Angle 3: cl=-0.34415391087532043, cd=0.11753959208726883, cm=-0.1636791080236435
  Angle 4: cl=-0.20805689692497253, cd=0.11868386715650558, cm=-0.17449124157428741
  Angle 5: cl=-0.06925328820943832, cd=0.11961188912391663, cm=-0.18592436611652374
  Angle 6: cl=0.052472591400146484, cd=0.11977941542863846, cm=-0.1963876336812973
  Angle 7: cl=0.15058864653110504, cd=0.11861665546894073, cm=-0.20876656472682953
  Angle 8: cl=0.24562492966651917, cd=0.11836392432451248, cm=-0.22723214328289032
  Angle 9: cl=0.3409448266029358, cd=0.11799177527427673, cm=-0.2463352233171463
  Angle 10: cl=0.43474099040031433, cd=0.11818045377731323, cm=-0.2634337544441223
Genotype [0.0085, 0.46, 0.13, -0.8527296959470463, 0.25920719389484015, -0.023, 0.05, -0.003, 0.0025, 7.227774332426635, 10.0]:
  Angle -10: cl=-0.5663270354270935, cd=0.23415274918079376, cm=-0.190036341547966
  Angle -9: cl=-0.5924301147460938, cd=0.20121732354164124, cm=-0.18630655109882355
  Angle -8: cl=-0.615519642829895, cd=0.16646797955036163, cm=-0.18535102903842926
  Angle -7: cl=-0.653885006904602, cd=0.13146884739398956, cm=-0.18082205951213837
  Angle -6: cl=-0.6071251034736633, cd=0.11679874360561371, cm=-0.16616927087306976
  Angle -5: cl=-0.5002509355545044, cd=0.10458964854478836, cm=-0.15274633467197418
  Angle -4: cl=-0.40787044167518616, cd=0.09943228960037231, cm=-0.13972903788089752
  Angle -3: cl=-0.30637696385383606, cd=0.09370392560958862, cm=-0.1262774020433426
  Angle -2: cl=-0.22495487332344055, cd=0.08843572437763214, cm=-0.10497765243053436
  Angle -1: cl=-0.16379296779632568, cd=0.08359411358833313, cm=-0.07588048279285431
  Angle 0: cl=-0.09097932279109955, cd=0.08269213885068893, cm=-0.04794149100780487
  Angle 1: cl=-0.007313663139939308, cd=0.0830029621720314, cm=-0.025602206587791443
  Angle 2: cl=0.07703451812267303, cd=0.08399764448404312, cm=-0.01055656373500824
  Angle 3: cl=0.3088475167751312, cd=0.06885141134262085, cm=-0.005648389458656311
  Angle 4: cl=0.4261806607246399, cd=0.07192529737949371, cm=0.000168532133102417
  Angle 5: cl=0.5246303081512451, cd=0.08017770946025848, cm=0.003624826669692993
  Angle 6: cl=0.6163774728775024, cd=0.08740967512130737, cm=0.005911692976951599
  Angle 7: cl=0.7062395811080933, cd=0.09401006996631622, cm=0.008436247706413269
  Angle 8: cl=0.7961616516113281, cd=0.10058599710464478, cm=0.010065674781799316
  Angle 9: cl=0.8914424180984497, cd=0.10531337559223175, cm=0.003634229302406311
  Angle 10: cl=0.9909588098526001, cd=0.11127184331417084, cm=-0.004244968295097351
Genotype [0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.0229219750744888, 0.05, -0.003, 0.0025540517717730603, 7.227774332426635, 10.0]:
  Angle -10: cl=-0.5659081935882568, cd=0.2343103140592575, cm=-0.19011615216732025
  Angle -9: cl=-0.5919287204742432, cd=0.20141658186912537, cm=-0.18631769716739655
  Angle -8: cl=-0.6146721243858337, cd=0.16654789447784424, cm=-0.1853400319814682
  Angle -7: cl=-0.6531854271888733, cd=0.13166257739067078, cm=-0.1809191256761551
  Angle -6: cl=-0.6070557236671448, cd=0.11687877774238586, cm=-0.16627992689609528
  Angle -5: cl=-0.49950265884399414, cd=0.10459919273853302, cm=-0.15287382900714874
  Angle -4: cl=-0.407023549079895, cd=0.0994071364402771, cm=-0.13982592523097992
  Angle -3: cl=-0.3056536316871643, cd=0.0936894342303276, cm=-0.12644101679325104
  Angle -2: cl=-0.22426816821098328, cd=0.08840860426425934, cm=-0.10517267882823944
  Angle -1: cl=-0.1626991182565689, cd=0.08359917998313904, cm=-0.07606856524944305
  Angle 0: cl=-0.08991636335849762, cd=0.08268806338310242, cm=-0.04810537397861481
  Angle 1: cl=-0.006469374522566795, cd=0.08299104124307632, cm=-0.02574603259563446
  Angle 2: cl=0.07767343521118164, cd=0.08396249264478683, cm=-0.010688528418540955
  Angle 3: cl=0.30955690145492554, cd=0.06877891719341278, cm=-0.005716279149055481
  Angle 4: cl=0.4265131950378418, cd=0.0718899592757225, cm=0.00011643767356872559
  Angle 5: cl=0.5249203443527222, cd=0.08018383383750916, cm=0.00354883074760437
  Angle 6: cl=0.6164325475692749, cd=0.08744728565216064, cm=0.005904719233512878
  Angle 7: cl=0.7063345313072205, cd=0.09403722733259201, cm=0.008377715945243835
  Angle 8: cl=0.7965781688690186, cd=0.10061632096767426, cm=0.010053262114524841
  Angle 9: cl=0.8915471434593201, cd=0.10531675815582275, cm=0.0035666972398757935
  Angle 10: cl=0.9911629557609558, cd=0.11131731420755386, cm=-0.004287227988243103
Genotype [0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.08689128564834261, -0.003, 0.0025, 7.811776311236491, 10.0]:
  Angle -10: cl=-0.5636214017868042, cd=0.23174645006656647, cm=-0.18952257931232452
  Angle -9: cl=-0.5894033312797546, cd=0.19842709600925446, cm=-0.18639107048511505
  Angle -8: cl=-0.6122646331787109, cd=0.16356325149536133, cm=-0.18522460758686066
  Angle -7: cl=-0.6510630249977112, cd=0.12931090593338013, cm=-0.17963455617427826
  Angle -6: cl=-0.6045709252357483, cd=0.11477075517177582, cm=-0.16475127637386322
  Angle -5: cl=-0.5005795359611511, cd=0.10401998460292816, cm=-0.15140916407108307
  Angle -4: cl=-0.40972015261650085, cd=0.09925675392150879, cm=-0.13807474076747894
  Angle -3: cl=-0.3076840043067932, cd=0.09332548081874847, cm=-0.12432093918323517
  Angle -2: cl=-0.2309647798538208, cd=0.0879521369934082, cm=-0.10137124359607697
  Angle -1: cl=-0.16977982223033905, cd=0.08325831592082977, cm=-0.0721232146024704
  Angle 0: cl=-0.09724532067775726, cd=0.08248555660247803, cm=-0.04434417188167572
  Angle 1: cl=-0.013483816757798195, cd=0.08311595022678375, cm=-0.022483691573143005
  Angle 2: cl=0.06978157162666321, cd=0.08387477695941925, cm=-0.007210657000541687
  Angle 3: cl=0.3124721944332123, cd=0.06747017800807953, cm=-0.0028714388608932495
  Angle 4: cl=0.41735851764678955, cd=0.07338331639766693, cm=0.001527145504951477
  Angle 5: cl=0.515393078327179, cd=0.08166232705116272, cm=0.004973560571670532
  Angle 6: cl=0.6091252565383911, cd=0.08865971118211746, cm=0.007021024823188782
  Angle 7: cl=0.698959231376648, cd=0.09524890780448914, cm=0.009531781077384949
  Angle 8: cl=0.7892740368843079, cd=0.10172569006681442, cm=0.010641679167747498
  Angle 9: cl=0.8847855925559998, cd=0.10583827644586563, cm=0.002484560012817383
  Angle 10: cl=0.9836928248405457, cd=0.11216237396001816, cm=-0.005367055535316467
Genotype [0.0085, 0.46, 0.13, -0.8527296959470463, 0.26, -0.023, 0.08689128564834261, -0.003, 0.0025, 7.0, 10.0]:
  Angle -10: cl=-0.5669971704483032, cd=0.23493151366710663, cm=-0.19035549461841583
  Angle -9: cl=-0.5937622785568237, cd=0.20213443040847778, cm=-0.18627257645130157
  Angle -8: cl=-0.6164422035217285, cd=0.16730639338493347, cm=-0.18526510894298553
  Angle -7: cl=-0.6551170945167542, cd=0.13209067285060883, cm=-0.181147500872612
  Angle -6: cl=-0.6079980731010437, cd=0.1174151748418808, cm=-0.16658712923526764
  Angle -5: cl=-0.5009857416152954, cd=0.10486610233783722, cm=-0.15300072729587555
  Angle -4: cl=-0.4074340760707855, cd=0.09946345537900925, cm=-0.14015386998653412
  Angle -3: cl=-0.30593419075012207, cd=0.09379634261131287, cm=-0.12686263024806976
  Angle -2: cl=-0.22296279668807983, cd=0.08852620422840118, cm=-0.10610698163509369
  Angle -1: cl=-0.16208481788635254, cd=0.08365020900964737, cm=-0.076960489153862
  Angle 0: cl=-0.08909855037927628, cd=0.0827413946390152, cm=-0.048992857336997986
  Angle 1: cl=-0.005728108808398247, cd=0.08293257653713226, cm=-0.026478126645088196
  Angle 2: cl=0.0787215605378151, cd=0.08399658650159836, cm=-0.011506900191307068
  Angle 3: cl=0.30742979049682617, cd=0.06919623166322708, cm=-0.006364449858665466
  Angle 4: cl=0.42800867557525635, cd=0.07146883010864258, cm=-0.0001933574676513672
  Angle 5: cl=0.5265694856643677, cd=0.07970760017633438, cm=0.0032366663217544556
