Experiment: Nash_Combination_Experiment_16
Generation: 68
Generation Type: v
Timestamp: 20231226_071302

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0780737335661735, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.23379889926682024, Adjusted Fitness: 0.23379889926682024
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.030000269384478, 10.298248484101938] - Base Fitness: 0.21562799612000996, Adjusted Fitness: 0.21562799612000996
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.050466409468399996, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.24181877490301104, Adjusted Fitness: 0.24181877490301104
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0126, 0.46, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.029985782816926, 10.298248484101938] - Base Fitness: -0.4947650573951914, Adjusted Fitness: -0.4947650573951914
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.14308614725751947, -0.003, 0.0025, 7.027832612981793, 10.298248484101938] - Base Fitness: 0.1905028356742703, Adjusted Fitness: 0.1905028356742703
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7713562034367225, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21567836336486187, Adjusted Fitness: 0.21567836336486187
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7713562034367225, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21567836336486187, Adjusted Fitness: 0.21567836336486187
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.14308614725751947, -0.006, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: -0.2609981442467332, Adjusted Fitness: -0.2609981442467332
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.25946079827674096, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.0, 10.298248484101938] - Base Fitness: 0.2054092631171273, Adjusted Fitness: 0.2054092631171273
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.005, 7.031555289004091, 10.298248484101938] - Base Fitness: -0.057621407776648405, Adjusted Fitness: -0.056305869036776084
[0.0085, 0.46, 0.13, -0.7926024223913186, 0.21310548052868425, -0.023, 0.08058473432211183, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: -1.0619057046542535, Adjusted Fitness: -1.0619057046542535
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.050466409468399996, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.24181877490301104, Adjusted Fitness: 0.24181877490301104
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.09062073682769005, -0.003, 0.0025, 7.030000269384478, 10.298248484101938] - Base Fitness: 0.21969314461406825, Adjusted Fitness: 0.21969314461406825
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.050466409468399996, -0.006, 0.005, 7.031555289004091, 10.298248484101938] - Base Fitness: -0.455323022326202, Adjusted Fitness: -0.455323022326202
[0.0085, 0.46, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.22242991316623809, Adjusted Fitness: 0.39443530684960976
[0.0085, 0.46, 0.13, -0.7713562034367225, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.307142948710775] - Base Fitness: 0.22145791567916823, Adjusted Fitness: 0.22145791567916823
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.09062073682769005, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21964871013344994, Adjusted Fitness: 0.21964871013344994
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.030000269384478, 10.298248484101938] - Base Fitness: 0.21562799612000996, Adjusted Fitness: 0.21562799612000996
[0.0085, 0.44924791641326617, 0.13, -0.7674823384170322, 0.26, -0.023, 0.050466409468399996, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.24166449114574237, Adjusted Fitness: 0.24166449114574237
[0.0085, 0.44924791641326617, 0.11, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: -0.5025428783430197, Adjusted Fitness: -0.5025428783430197
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.050466409468399996, -0.003, 0.005, 7.030000269384478, 10.298248484101938] - Base Fitness: -0.028805701360688274, Adjusted Fitness: -0.028805701360688274
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.006, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: -0.23873063405559355, Adjusted Fitness: -0.23873063405559355
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.050466409468399996, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.24181877490301104, Adjusted Fitness: 0.24181877490301104
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.09821721391609398, -0.003, 0.0025, 7.0382932183227975, 10.298248484101938] - Base Fitness: 0.2148338190144143, Adjusted Fitness: 0.2148338190144143
[0.0085, 0.4368708760957321, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.19679113226109135, Adjusted Fitness: 0.19679113226109135
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.42941069297754814, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.006, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: -0.25666003347197464, Adjusted Fitness: -0.25666003347197464
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.070041856930924, 10.298248484101938] - Base Fitness: 0.21378337218117233, Adjusted Fitness: 0.21378337218117233
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541
[0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938] - Base Fitness: 0.21557537569182839, Adjusted Fitness: 7472.838266522541

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0780737335661735, -0.003, 0.0025, 7.031555289004091, 10.298248484101938]:
  Angle -10: cl=-0.5668414831161499, cd=0.23461174964904785, cm=-0.19003520905971527
  Angle -9: cl=-0.5941219329833984, cd=0.20181819796562195, cm=-0.18605326116085052
  Angle -8: cl=-0.6169391870498657, cd=0.16692179441452026, cm=-0.18479745090007782
  Angle -7: cl=-0.6557185649871826, cd=0.13170453906059265, cm=-0.1805904656648636
  Angle -6: cl=-0.6099926829338074, cd=0.11705444008111954, cm=-0.1659340113401413
  Angle -5: cl=-0.5033371448516846, cd=0.10479460656642914, cm=-0.1525001972913742
  Angle -4: cl=-0.40946945548057556, cd=0.099331796169281, cm=-0.13964276015758514
  Angle -3: cl=-0.30747365951538086, cd=0.09356342256069183, cm=-0.12620754539966583
  Angle -2: cl=-0.2254779040813446, cd=0.0882294550538063, cm=-0.10510174930095673
  Angle -1: cl=-0.1646883636713028, cd=0.08339046686887741, cm=-0.07595361769199371
  Angle 0: cl=-0.09311062842607498, cd=0.08252886682748795, cm=-0.04774881899356842
  Angle 1: cl=-0.009704960510134697, cd=0.08278229832649231, cm=-0.025398239493370056
  Angle 2: cl=0.07435757666826248, cd=0.0837784856557846, cm=-0.0102720707654953
  Angle 3: cl=0.3015258014202118, cd=0.06906308233737946, cm=-0.004934832453727722
  Angle 4: cl=0.42092373967170715, cd=0.07182975858449936, cm=0.0005317181348800659
  Angle 5: cl=0.5197758078575134, cd=0.0800861045718193, cm=0.003988474607467651
  Angle 6: cl=0.6114417910575867, cd=0.08736126869916916, cm=0.006327316164970398
  Angle 7: cl=0.701059103012085, cd=0.09397465735673904, cm=0.008807942271232605
  Angle 8: cl=0.7910317778587341, cd=0.10053657740354538, cm=0.010513007640838623
  Angle 9: cl=0.88616544008255, cd=0.10514415800571442, cm=0.00384366512298584
  Angle 10: cl=0.9857158660888672, cd=0.11030422151088715, cm=-0.00406704843044281
Genotype [0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.030000269384478, 10.298248484101938]:
  Angle -10: cl=-0.5621212124824524, cd=0.234669029712677, cm=-0.1896829456090927
  Angle -9: cl=-0.59664386510849, cd=0.20334750413894653, cm=-0.18337862193584442
  Angle -8: cl=-0.6192106604576111, cd=0.16797378659248352, cm=-0.1813136488199234
  Angle -7: cl=-0.6518762707710266, cd=0.13334830105304718, cm=-0.17770130932331085
  Angle -6: cl=-0.6127375364303589, cd=0.1177801564335823, cm=-0.16360659897327423
  Angle -5: cl=-0.5066956281661987, cd=0.10584256052970886, cm=-0.15054534375667572
  Angle -4: cl=-0.40068820118904114, cd=0.09835709631443024, cm=-0.1387704461812973
  Angle -3: cl=-0.29784634709358215, cd=0.0922052338719368, cm=-0.12472788989543915
  Angle -2: cl=-0.21546483039855957, cd=0.08662550896406174, cm=-0.1040089875459671
  Angle -1: cl=-0.15524490177631378, cd=0.08235622197389603, cm=-0.07475908100605011
  Angle 0: cl=-0.09112827479839325, cd=0.08181490004062653, cm=-0.04530163109302521
  Angle 1: cl=-0.008770564571022987, cd=0.08210339397192001, cm=-0.022347912192344666
  Angle 2: cl=0.07352343201637268, cd=0.08293028175830841, cm=-0.00669996440410614
  Angle 3: cl=0.31104788184165955, cd=0.06713826954364777, cm=-0.0013566166162490845
  Angle 4: cl=0.41008710861206055, cd=0.07294139266014099, cm=0.0033480823040008545
  Angle 5: cl=0.5081089735031128, cd=0.08126777410507202, cm=0.006737828254699707
  Angle 6: cl=0.5982288122177124, cd=0.08879633992910385, cm=0.009615764021873474
  Angle 7: cl=0.6885968446731567, cd=0.09538234770298004, cm=0.011613190174102783
  Angle 8: cl=0.7785876393318176, cd=0.10131800919771194, cm=0.011831521987915039
  Angle 9: cl=0.8721014261245728, cd=0.10511978715658188, cm=0.0036911815404891968
  Angle 10: cl=0.9721577763557434, cd=0.109718456864357, cm=-0.004294559359550476
Genotype [0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938]:
  Angle -10: cl=-0.5620716214179993, cd=0.23465773463249207, cm=-0.18967558443546295
  Angle -9: cl=-0.5965051054954529, cd=0.20333288609981537, cm=-0.18332283198833466
  Angle -8: cl=-0.6191371083259583, cd=0.16792798042297363, cm=-0.18130306899547577
  Angle -7: cl=-0.6518431305885315, cd=0.13336195051670074, cm=-0.17769156396389008
  Angle -6: cl=-0.6127177476882935, cd=0.11777429282665253, cm=-0.16359485685825348
  Angle -5: cl=-0.5067394971847534, cd=0.10584837198257446, cm=-0.15053723752498627
  Angle -4: cl=-0.4007256329059601, cd=0.09835883975028992, cm=-0.1387641578912735
  Angle -3: cl=-0.2978307604789734, cd=0.09219995141029358, cm=-0.12472186982631683
  Angle -2: cl=-0.21545377373695374, cd=0.08662665635347366, cm=-0.10400126874446869
  Angle -1: cl=-0.15524451434612274, cd=0.08235207200050354, cm=-0.07473377883434296
  Angle 0: cl=-0.09124796092510223, cd=0.0818176195025444, cm=-0.04529516398906708
  Angle 1: cl=-0.00878930278122425, cd=0.0821027159690857, cm=-0.02234424650669098
  Angle 2: cl=0.07353182882070541, cd=0.08293189853429794, cm=-0.006699219346046448
  Angle 3: cl=0.31099000573158264, cd=0.06714263558387756, cm=-0.0013387948274612427
  Angle 4: cl=0.4100797176361084, cd=0.07294217497110367, cm=0.0033497512340545654
  Angle 5: cl=0.5079989433288574, cd=0.08126828074455261, cm=0.006750315427780151
  Angle 6: cl=0.5981855988502502, cd=0.08881264925003052, cm=0.009626373648643494
  Angle 7: cl=0.6885967254638672, cd=0.09538505971431732, cm=0.011612027883529663
  Angle 8: cl=0.7785782217979431, cd=0.1013178676366806, cm=0.011830925941467285
  Angle 9: cl=0.872097909450531, cd=0.10512282699346542, cm=0.0036890357732772827
  Angle 10: cl=0.9721298217773438, cd=0.10971277207136154, cm=-0.0042947083711624146
Genotype [0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938]:
  Angle -10: cl=-0.5620716214179993, cd=0.23465773463249207, cm=-0.18967558443546295
  Angle -9: cl=-0.5965051054954529, cd=0.20333288609981537, cm=-0.18332283198833466
  Angle -8: cl=-0.6191371083259583, cd=0.16792798042297363, cm=-0.18130306899547577
  Angle -7: cl=-0.6518431305885315, cd=0.13336195051670074, cm=-0.17769156396389008
  Angle -6: cl=-0.6127177476882935, cd=0.11777429282665253, cm=-0.16359485685825348
  Angle -5: cl=-0.5067394971847534, cd=0.10584837198257446, cm=-0.15053723752498627
  Angle -4: cl=-0.4007256329059601, cd=0.09835883975028992, cm=-0.1387641578912735
  Angle -3: cl=-0.2978307604789734, cd=0.09219995141029358, cm=-0.12472186982631683
  Angle -2: cl=-0.21545377373695374, cd=0.08662665635347366, cm=-0.10400126874446869
  Angle -1: cl=-0.15524451434612274, cd=0.08235207200050354, cm=-0.07473377883434296
  Angle 0: cl=-0.09124796092510223, cd=0.0818176195025444, cm=-0.04529516398906708
  Angle 1: cl=-0.00878930278122425, cd=0.0821027159690857, cm=-0.02234424650669098
  Angle 2: cl=0.07353182882070541, cd=0.08293189853429794, cm=-0.006699219346046448
  Angle 3: cl=0.31099000573158264, cd=0.06714263558387756, cm=-0.0013387948274612427
  Angle 4: cl=0.4100797176361084, cd=0.07294217497110367, cm=0.0033497512340545654
  Angle 5: cl=0.5079989433288574, cd=0.08126828074455261, cm=0.006750315427780151
  Angle 6: cl=0.5981855988502502, cd=0.08881264925003052, cm=0.009626373648643494
  Angle 7: cl=0.6885967254638672, cd=0.09538505971431732, cm=0.011612027883529663
  Angle 8: cl=0.7785782217979431, cd=0.1013178676366806, cm=0.011830925941467285
  Angle 9: cl=0.872097909450531, cd=0.10512282699346542, cm=0.0036890357732772827
  Angle 10: cl=0.9721298217773438, cd=0.10971277207136154, cm=-0.0042947083711624146
Genotype [0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938]:
  Angle -10: cl=-0.5620716214179993, cd=0.23465773463249207, cm=-0.18967558443546295
  Angle -9: cl=-0.5965051054954529, cd=0.20333288609981537, cm=-0.18332283198833466
  Angle -8: cl=-0.6191371083259583, cd=0.16792798042297363, cm=-0.18130306899547577
  Angle -7: cl=-0.6518431305885315, cd=0.13336195051670074, cm=-0.17769156396389008
  Angle -6: cl=-0.6127177476882935, cd=0.11777429282665253, cm=-0.16359485685825348
  Angle -5: cl=-0.5067394971847534, cd=0.10584837198257446, cm=-0.15053723752498627
  Angle -4: cl=-0.4007256329059601, cd=0.09835883975028992, cm=-0.1387641578912735
  Angle -3: cl=-0.2978307604789734, cd=0.09219995141029358, cm=-0.12472186982631683
  Angle -2: cl=-0.21545377373695374, cd=0.08662665635347366, cm=-0.10400126874446869
  Angle -1: cl=-0.15524451434612274, cd=0.08235207200050354, cm=-0.07473377883434296
  Angle 0: cl=-0.09124796092510223, cd=0.0818176195025444, cm=-0.04529516398906708
  Angle 1: cl=-0.00878930278122425, cd=0.0821027159690857, cm=-0.02234424650669098
  Angle 2: cl=0.07353182882070541, cd=0.08293189853429794, cm=-0.006699219346046448
  Angle 3: cl=0.31099000573158264, cd=0.06714263558387756, cm=-0.0013387948274612427
  Angle 4: cl=0.4100797176361084, cd=0.07294217497110367, cm=0.0033497512340545654
  Angle 5: cl=0.5079989433288574, cd=0.08126828074455261, cm=0.006750315427780151
  Angle 6: cl=0.5981855988502502, cd=0.08881264925003052, cm=0.009626373648643494
  Angle 7: cl=0.6885967254638672, cd=0.09538505971431732, cm=0.011612027883529663
  Angle 8: cl=0.7785782217979431, cd=0.1013178676366806, cm=0.011830925941467285
  Angle 9: cl=0.872097909450531, cd=0.10512282699346542, cm=0.0036890357732772827
  Angle 10: cl=0.9721298217773438, cd=0.10971277207136154, cm=-0.0042947083711624146
Genotype [0.0085, 0.44924791641326617, 0.13, -0.7697771759200318, 0.26, -0.023, 0.0979098680595209, -0.003, 0.0025, 7.031555289004091, 10.298248484101938]:
  Angle -10: cl=-0.5620716214179993, cd=0.23465773463249207, cm=-0.18967558443546295
  Angle -9: cl=-0.5965051054954529, cd=0.20333288609981537, cm=-0.18332283198833466
  Angle -8: cl=-0.6191371083259583, cd=0.16792798042297363, cm=-0.18130306899547577
  Angle -7: cl=-0.6518431305885315, cd=0.13336195051670074, cm=-0.17769156396389008
  Angle -6: cl=-0.6127177476882935, cd=0.11777429282665253, cm=-0.16359485685825348
  Angle -5: cl=-0.5067394971847534, cd=0.10584837198257446, cm=-0.15053723752498627
  Angle -4: cl=-0.4007256329059601, cd=0.09835883975028992, cm=-0.1387641578912735
  Angle -3: cl=-0.2978307604789734, cd=0.09219995141029358, cm=-0.12472186982631683
  Angle -2: cl=-0.21545377373695374, cd=0.08662665635347366, cm=-0.10400126874446869
  Angle -1: cl=-0.15524451434612274, cd=0.08235207200050354, cm=-0.07473377883434296
  Angle 0: cl=-0.09124796092510223, cd=0.0818176195025444, cm=-0.04529516398906708
  Angle 1: cl=-0.00878930278122425, cd=0.0821027159690857, cm=-0.02234424650669098
  Angle 2: cl=0.07353182882070541, cd=0.08293189853429794, cm=-0.006699219346046448
  Angle 3: cl=0.31099000573158264, cd=0.06714263558387756, cm=-0.0013387948274612427
  Angle 4: cl=0.4100797176361084, cd=0.07294217497110367, cm=0.0033497512340545654
  Angle 5: cl=0.5079989433288574, cd=0.08126828074455261, cm=0.006750315427780151
  Angle 6: cl=0.5981855988502502, cd=0.08881264925003052, cm=0.009626373648643494
  Angle 7: cl=0.6885967254638672, cd=0.09538505971431732, cm=0.011612027883529663
  Angle 8: cl=0.7785782217979431, cd=0.1013178676366806, cm=0.011830925941467285
  Angle 9: cl=0.872097909450531, cd=0.10512282699346542, cm=0.0036890357732772827
  Angle 10: cl=0.9721298217773438, cd=0.10971277207136154, cm=-0.0042947083711624146
