Experiment: Nash_Combination_Experiment_19
Generation: 21
Generation Type: u
Timestamp: 20231226_080729

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.732290898224322, 0.25968778733771086, -0.023, 0.092597716787244, -0.0033250665494886406, 0.0025, 8.460009438424823, 10.860138720211378] - Base Fitness: 0.015011610999208065, Adjusted Fitness: 0.020277725609373992
[0.0085, 0.46, 0.13, -0.7682600020008694, 0.26, -0.023, 0.0944116239075376, -0.0033250665494886406, 0.0025, 8.460009438424823, 10.85035253843702] - Base Fitness: 0.02438905071433173, Adjusted Fitness: 0.02967107036841566
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.092597716787244, -0.0033250665494886406, 0.005, 8.420115938226086, 10.85035253843702] - Base Fitness: -0.24526150538143388, Adjusted Fitness: -0.23950874169370476
[0.0085, 0.4343388519726536, 0.13, -0.7119512002665525, 0.25968778733771086, -0.023, 0.15437565821771548, -0.003, 0.0025, 8.444053056787006, 11.202458520767186] - Base Fitness: -0.02382155896155449, Adjusted Fitness: -0.008487524369714575
[0.0085, 0.46, 0.13, -0.732290898224322, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 8.396383149184368, 10.870734863385135] - Base Fitness: 0.09324454037132429, Adjusted Fitness: 0.10362255511020314
[0.0085, 0.44204645329693626, 0.13, -0.7686009621664499, 0.26, -0.023, 0.11107380006321411, -0.006, 0.0025, 8.420115938226086, 10.85035253843702] - Base Fitness: -0.3526764824797431, Adjusted Fitness: -0.3471824807947417
[0.0085, 0.4343388519726536, 0.13, -0.7673018377588011, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 8.379930674023631, 10.840620454959588] - Base Fitness: 0.06521195367833982, Adjusted Fitness: 0.0705397467224095
[0.0085, 0.46, 0.13, -0.732290898224322, 0.25968778733771086, -0.023, 0.15437565821771548, -0.003, 0.0025, 8.441070674069485, 11.202458520767186] - Base Fitness: 0.006709051593612305, Adjusted Fitness: 0.011908877777295657
[0.0085, 0.46, 0.13, -0.7230865256599256, 0.25968778733771086, -0.023, 0.10628525015744088, -0.003, 0.0025, 8.441070674069485, 10.877046838315616] - Base Fitness: 0.07224614592098168, Adjusted Fitness: 0.07762468094541614
[0.0085, 0.46, 0.13, -0.773385302910539, 0.26, -0.023, 0.15437565821771548, -0.003, 0.0025, 7.297626542675853, 10.870734863385135] - Base Fitness: 0.11492256760043262, Adjusted Fitness: 0.13086468822374142
[0.0085, 0.4343388519726536, 0.13, -0.7119512002665525, 0.25968778733771086, -0.023, 0.15437565821771548, -0.0033250665494886406, 0.0025, 7.297626542675853, 11.202458520767186] - Base Fitness: -0.02591987370655756, Adjusted Fitness: -0.0146189394114473
[0.0085, 0.46, 0.13, -0.732290898224322, 0.25968778733771086, -0.023, 0.08997380247680872, -0.003, 0.0025, 8.420115938226086, 10.840620454959588] - Base Fitness: 0.08816605911770295, Adjusted Fitness: 0.09367221428802221
[0.0085, 0.46, 0.13, -0.732290898224322, 0.25968778733771086, -0.023, 0.15437565821771548, -0.003, 0.0025, 8.379930674023631, 10.859539368963853] - Base Fitness: 0.04829678054525064, Adjusted Fitness: 0.05378734116730893
[0.0085, 0.4343388519726536, 0.13, -0.7119512002665525, 0.25968778733771086, -0.023, 0.15437565821771548, -0.003, 0.0025, 8.379930674023631, 10.859539368963853] - Base Fitness: 0.015871789168425843, Adjusted Fitness: 0.021126688952340978
[0.0085, 0.4343388519726536, 0.13, -0.7686009621664499, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.12121872141320388, Adjusted Fitness: 0.13079809922561508
[0.0085, 0.46, 0.13, -0.773385302910539, 0.26, -0.023, 0.15437565821771548, -0.003, 0.0025, 7.297626542675853, 10.870734863385135] - Base Fitness: 0.11492256760043262, Adjusted Fitness: 0.13086468822374142
[0.0085, 0.4343388519726536, 0.13, -0.7686009621664499, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 11.202458520767186] - Base Fitness: 0.08264406972046144, Adjusted Fitness: 0.0937382986717914
[0.0085, 0.4343388519726536, 0.13, -0.7686009621664499, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 8.441070674069485, 10.877046838315616] - Base Fitness: 0.05846833197356731, Adjusted Fitness: 0.06386705966750864
[0.0085, 0.46, 0.13, -0.732290898224322, 0.25968778733771086, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.14525083524607738, Adjusted Fitness: 0.15034153265521222
[0.0085, 0.46, 0.13, -0.732290898224322, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 8.379930674023631, 10.840620454959588] - Base Fitness: 0.09600770774949237, Adjusted Fitness: 0.10144266602334087
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 8.441070674069485, 10.877046838315616] - Base Fitness: 0.09215737305550911, Adjusted Fitness: 0.09760500820555565
[0.0085, 0.4343388519726536, 0.13, -0.773385302910539, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 8.441070674069485, 11.202458520767186] - Base Fitness: 0.021883958736241355, Adjusted Fitness: 0.027179348560552236
[0.0085, 0.46, 0.13, -0.732290898224322, 0.25968778733771086, -0.023, 0.15437565821771548, -0.0033250665494886406, 0.0025, 7.297626542675853, 11.202458520767186] - Base Fitness: 0.006867824383783444, Adjusted Fitness: 0.01205426435344936
[0.0085, 0.46, 0.13, -0.7673018377588011, 0.26, -0.023, 0.15437565821771548, -0.0033250665494886406, 0.0025, 7.297626542675853, 10.887774411095043] - Base Fitness: 0.050747191272017864, Adjusted Fitness: 0.056157795402044436
[0.0085, 0.4343388519726536, 0.13, -0.8027184676472658, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 8.379930674023631, 10.840620454959588] - Base Fitness: 0.06780772752246994, Adjusted Fitness: 0.0731467414365848
[0.0085, 0.46, 0.13, -0.7673018377588011, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 8.379930674023631, 11.202458520767186] - Base Fitness: 0.05885212298805136, Adjusted Fitness: 0.06422935010018742
[0.0085, 0.46, 0.13, -0.7673018377588011, 0.26, -0.015, 0.08997380247680872, -0.003, 0.0025, 8.379930674023631, 10.840620454959588] - Base Fitness: -0.5234130902197838, Adjusted Fitness: -0.5192964782870619
[0.0085, 0.4343388519726536, 0.13, -0.7673018377588011, 0.26, -0.023, 0.15437565821771548, -0.0033250665494886406, 0.0025, 7.297626542675853, 10.843574962928873] - Base Fitness: 0.023544146418896014, Adjusted Fitness: 0.02885498853817595
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 8.441070674069485, 11.202458520767186] - Base Fitness: 0.05364900886552515, Adjusted Fitness: 0.06457507098028778
[0.0085, 0.46, 0.13, -0.7230865256599256, 0.25968778733771086, -0.023, 0.15437565821771548, -0.003, 0.0025, 8.379930674023631, 10.840620454959588] - Base Fitness: 0.050016740292467075, Adjusted Fitness: 0.05544535660373184
[0.0085, 0.4343388519726536, 0.13, -0.7599584754119565, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.12081826542414796, Adjusted Fitness: 0.12595579493031592
[0.0085, 0.4343388519726536, 0.13, -0.8027184676472658, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 8.441070674069485, 11.202458520767186] - Base Fitness: 0.02551030140769783, Adjusted Fitness: 0.030791996760173624
[0.0085, 0.46, 0.13, -0.732290898224322, 0.25968778733771086, -0.023, 0.08997380247680872, -0.003, 0.0025, 8.418098491010559, 11.202458520767186] - Base Fitness: 0.04732670708101515, Adjusted Fitness: 0.052811812274590024
[0.0126, 0.46, 0.13, -0.7230865256599256, 0.25968778733771086, -0.023, 0.15437565821771548, -0.003, 0.005, 8.381626096259183, 10.840620454959588] - Base Fitness: -0.8055066976059494, Adjusted Fitness: -0.8007624646777692
[0.0085, 0.4343388519726536, 0.13, -0.7686009621664499, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 8.379930674023631, 10.840620454959588] - Base Fitness: 0.06402071634914075, Adjusted Fitness: 0.07492437686441475
[0.0085, 0.46, 0.13, -0.732290898224322, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 8.396383149184368, 11.174556541982675] - Base Fitness: 0.0587371782789428, Adjusted Fitness: 0.06975352934970569
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15435408111081517, Adjusted Fitness: 0.15950589751363428
[0.0085, 0.46, 0.13, -0.7673018377588011, 0.26, -0.015, 0.1536676157563841, -0.0033250665494886406, 0.0025, 8.379930674023631, 10.840620454959588] - Base Fitness: -0.5946817929020786, Adjusted Fitness: -0.5904099671525223
[0.0085, 0.46, 0.13, -0.7230865256599256, 0.25968778733771086, -0.023, 0.15437565821771548, -0.003, 0.005, 7.26766400191058, 11.202458520767186] - Base Fitness: -0.20753891338196415, Adjusted Fitness: -0.20238021971742376
[0.0085, 0.46, 0.13, -0.732290898224322, 0.25968778733771086, -0.023, 0.15437565821771548, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.10853168839073624, Adjusted Fitness: 0.11380478273282434
[0.0085, 0.46, 0.13, -0.773385302910539, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 11.245612732025815] - Base Fitness: 0.10946833807296166, Adjusted Fitness: 0.1147141914229036
[0.0085, 0.4343388519726536, 0.13, -0.773385302910539, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 8.420115938226086, 10.85035253843702] - Base Fitness: 0.06111878787714567, Adjusted Fitness: 0.06646659981991983
[0.0085, 0.46, 0.13, -0.7230865256599256, 0.25968778733771086, -0.023, 0.15437565821771548, -0.003, 0.005, 7.297626542675853, 10.870734863385135] - Base Fitness: -0.17325508978793114, Adjusted Fitness: -0.16822807537517254
[0.0085, 0.46, 0.13, -0.732290898224322, 0.26, -0.023, 0.15437565821771548, -0.0033250665494886406, 0.0025, 7.297626542675853, 10.870734863385135] - Base Fitness: 0.05054451499772775, Adjusted Fitness: 0.06152977370805124
[0.0085, 0.4343388519726536, 0.13, -0.7686009621664499, 0.26, -0.023, 0.092597716787244, -0.0033250665494886406, 0.0025, 8.460009438424823, 10.860138720211378] - Base Fitness: -0.004174119115348253, Adjusted Fitness: 0.0010005818866375901
[0.0085, 0.46, 0.13, -0.732290898224322, 0.25968778733771086, -0.023, 0.08997380247680872, -0.003, 0.0025, 8.420115938226086, 10.870734863385135] - Base Fitness: 0.08483036256188102, Adjusted Fitness: 0.09596816000269068
[0.0085, 0.46, 0.13, -0.773385302910539, 0.26, -0.023, 0.15437565821771548, -0.003, 0.0025, 7.297626542675853, 11.202458520767186] - Base Fitness: 0.07812746455285666, Adjusted Fitness: 0.08353898837241172
[0.0085, 0.4343388519726536, 0.13, -0.732290898224322, 0.26, -0.023, 0.08997380247680872, -0.0033250665494886406, 0.0025, 7.297626542675853, 10.870734863385135] - Base Fitness: 0.055872701561179725, Adjusted Fitness: 0.06130577404902563
[0.0085, 0.4343388519726536, 0.13, -0.732290898224322, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 8.396383149184368, 10.870734863385135] - Base Fitness: 0.05911255587871081, Adjusted Fitness: 0.06447823377149685
[0.0085, 0.4343388519726536, 0.13, -0.7686009621664499, 0.25968778733771086, -0.023, 0.15437565821771548, -0.003, 0.0025, 8.379930674023631, 10.859539368963853] - Base Fitness: 0.019737297859434674, Adjusted Fitness: 0.02501785494360524

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.732290898224322, 0.25968778733771086, -0.023, 0.092597716787244, -0.0033250665494886406, 0.0025, 8.460009438424823, 10.860138720211378]:
  Angle -10: cl=-0.5588300228118896, cd=0.22212933003902435, cm=-0.18748636543750763
  Angle -9: cl=-0.5878369808197021, cd=0.18948687613010406, cm=-0.18420825898647308
  Angle -8: cl=-0.6108511090278625, cd=0.15427802503108978, cm=-0.18169082701206207
  Angle -7: cl=-0.6532811522483826, cd=0.12089870125055313, cm=-0.17318065464496613
  Angle -6: cl=-0.6048782467842102, cd=0.11140485852956772, cm=-0.15862713754177094
  Angle -5: cl=-0.5103040337562561, cd=0.10292920470237732, cm=-0.14474321901798248
  Angle -4: cl=-0.41105759143829346, cd=0.0972156897187233, cm=-0.13132642209529877
  Angle -3: cl=-0.31140196323394775, cd=0.09040550142526627, cm=-0.11488334834575653
  Angle -2: cl=-0.24876520037651062, cd=0.08464957028627396, cm=-0.08704905211925507
  Angle -1: cl=-0.18867570161819458, cd=0.08128329366445541, cm=-0.05718471109867096
  Angle 0: cl=-0.12047703564167023, cd=0.08168312907218933, cm=-0.030872419476509094
  Angle 1: cl=-0.04748094826936722, cd=0.08267571777105331, cm=-0.008510038256645203
  Angle 2: cl=0.035423219203948975, cd=0.08784914016723633, cm=0.002445504069328308
  Angle 3: cl=0.2728785574436188, cd=0.07554103434085846, cm=0.003172442317008972
  Angle 4: cl=0.366026371717453, cd=0.08111634850502014, cm=0.008231028914451599
  Angle 5: cl=0.464969277381897, cd=0.08734510838985443, cm=0.011289477348327637
  Angle 6: cl=0.5634730458259583, cd=0.09405670315027237, cm=0.0131615549325943
  Angle 7: cl=0.6558306217193604, cd=0.10018608719110489, cm=0.014076486229896545
  Angle 8: cl=0.7476584911346436, cd=0.10339272767305374, cm=0.006744176149368286
  Angle 9: cl=0.8420017957687378, cd=0.1075088307261467, cm=-0.001647353172302246
  Angle 10: cl=0.939631998538971, cd=0.11244186758995056, cm=-0.010323360562324524
Genotype [0.0085, 0.46, 0.13, -0.7682600020008694, 0.26, -0.023, 0.0944116239075376, -0.0033250665494886406, 0.0025, 8.460009438424823, 10.85035253843702]:
  Angle -10: cl=-0.5586697459220886, cd=0.22233226895332336, cm=-0.18755419552326202
  Angle -9: cl=-0.5877513885498047, cd=0.18965037167072296, cm=-0.18424643576145172
  Angle -8: cl=-0.6106352210044861, cd=0.15440784394741058, cm=-0.18182696402072906
  Angle -7: cl=-0.6529788970947266, cd=0.12103181332349777, cm=-0.17334629595279694
  Angle -6: cl=-0.6039354801177979, cd=0.11143527179956436, cm=-0.15885724127292633
  Angle -5: cl=-0.5096299648284912, cd=0.10296603292226791, cm=-0.1449347585439682
  Angle -4: cl=-0.4105282127857208, cd=0.09726833552122116, cm=-0.131572887301445
  Angle -3: cl=-0.31030961871147156, cd=0.09045184403657913, cm=-0.11521448194980621
  Angle -2: cl=-0.24795714020729065, cd=0.08471619337797165, cm=-0.08737291395664215
  Angle -1: cl=-0.18770961463451385, cd=0.08138281106948853, cm=-0.05759398639202118
  Angle 0: cl=-0.11964523792266846, cd=0.08173920214176178, cm=-0.031154200434684753
  Angle 1: cl=-0.04629574716091156, cd=0.08251484483480453, cm=-0.008643582463264465
  Angle 2: cl=0.036696214228868484, cd=0.08769521117210388, cm=0.0022878795862197876
  Angle 3: cl=0.2743658423423767, cd=0.07534822821617126, cm=0.003027215600013733
  Angle 4: cl=0.3675882816314697, cd=0.08094725757837296, cm=0.0080939382314682
  Angle 5: cl=0.46644318103790283, cd=0.08724460750818253, cm=0.01110336184501648
  Angle 6: cl=0.5651862621307373, cd=0.09396679699420929, cm=0.01295432448387146
  Angle 7: cl=0.6572424173355103, cd=0.10015931725502014, cm=0.014136329293251038
  Angle 8: cl=0.7490174174308777, cd=0.10336682945489883, cm=0.006782591342926025
  Angle 9: cl=0.8436504006385803, cd=0.10751006007194519, cm=-0.0016223937273025513
  Angle 10: cl=0.9411864876747131, cd=0.11251231282949448, cm=-0.010232970118522644
Genotype [0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.092597716787244, -0.0033250665494886406, 0.005, 8.420115938226086, 10.85035253843702]:
  Angle -10: cl=-0.5334212183952332, cd=0.21376271545886993, cm=-0.18494708836078644
  Angle -9: cl=-0.5592424869537354, cd=0.1805342733860016, cm=-0.18244244158267975
  Angle -8: cl=-0.5862377882003784, cd=0.14757364988327026, cm=-0.17753373086452484
  Angle -7: cl=-0.6148318648338318, cd=0.12350454181432724, cm=-0.16675804555416107
  Angle -6: cl=-0.6054705381393433, cd=0.10887348651885986, cm=-0.15388281643390656
  Angle -5: cl=-0.5198431611061096, cd=0.10179691761732101, cm=-0.13878045976161957
  Angle -4: cl=-0.422683447599411, cd=0.09498721361160278, cm=-0.12218724191188812
  Angle -3: cl=-0.33942165970802307, cd=0.08774886280298233, cm=-0.09987397491931915
  Angle -2: cl=-0.27992382645606995, cd=0.08194690197706223, cm=-0.07178030908107758
  Angle -1: cl=-0.22329643368721008, cd=0.08005410432815552, cm=-0.04297246038913727
  Angle 0: cl=-0.1563616245985031, cd=0.08325885236263275, cm=-0.020776793360710144
  Angle 1: cl=-0.08875079452991486, cd=0.09076190739870071, cm=-0.004560694098472595
  Angle 2: cl=0.0032125525176525116, cd=0.09437654912471771, cm=0.006555870175361633
  Angle 3: cl=0.21332263946533203, cd=0.08562468737363815, cm=0.008531168103218079
  Angle 4: cl=0.30277779698371887, cd=0.09126584976911545, cm=0.013653114438056946
  Angle 5: cl=0.39999765157699585, cd=0.09677518904209137, cm=0.016477912664413452
  Angle 6: cl=0.4992256462574005, cd=0.10039634257555008, cm=0.015994250774383545
  Angle 7: cl=0.5960683226585388, cd=0.10237293690443039, cm=0.009981781244277954
  Angle 8: cl=0.6876253485679626, cd=0.10573961585760117, cm=0.0025635957717895508
  Angle 9: cl=0.7799072265625, cd=0.10974634438753128, cm=-0.005725756287574768
  Angle 10: cl=0.8840301632881165, cd=0.11570248007774353, cm=-0.024727001786231995
Genotype [0.0085, 0.4343388519726536, 0.13, -0.7119512002665525, 0.25968778733771086, -0.023, 0.15437565821771548, -0.003, 0.0025, 8.444053056787006, 11.202458520767186]:
  Angle -10: cl=-0.5566712617874146, cd=0.22619687020778656, cm=-0.1853071004152298
  Angle -9: cl=-0.5901067852973938, cd=0.19555269181728363, cm=-0.17990173399448395
  Angle -8: cl=-0.6178289651870728, cd=0.161726713180542, cm=-0.17631642520427704
  Angle -7: cl=-0.6457549929618835, cd=0.1285012662410736, cm=-0.1683868020772934
  Angle -6: cl=-0.6205126643180847, cd=0.1155019998550415, cm=-0.15589164197444916
  Angle -5: cl=-0.5037490129470825, cd=0.10322254151105881, cm=-0.1432938128709793
  Angle -4: cl=-0.3977721929550171, cd=0.09516964852809906, cm=-0.1301465779542923
  Angle -3: cl=-0.2937709093093872, cd=0.08848422765731812, cm=-0.11539198458194733
  Angle -2: cl=-0.22454538941383362, cd=0.08211758732795715, cm=-0.08966811001300812
  Angle -1: cl=-0.16626185178756714, cd=0.07920336723327637, cm=-0.0600324422121048
  Angle 0: cl=-0.1055736392736435, cd=0.07946591824293137, cm=-0.030777707695961
  Angle 1: cl=-0.03875434398651123, cd=0.08133994787931442, cm=-0.007145598530769348
  Angle 2: cl=0.039410434663295746, cd=0.08712290227413177, cm=0.004452899098396301
  Angle 3: cl=0.2659396231174469, cd=0.07653137296438217, cm=0.00698399543762207
  Angle 4: cl=0.3516145646572113, cd=0.08225420117378235, cm=0.012610763311386108
  Angle 5: cl=0.44163084030151367, cd=0.0884445458650589, cm=0.01688505709171295
  Angle 6: cl=0.5341100096702576, cd=0.09515303373336792, cm=0.01946127414703369
  Angle 7: cl=0.6296893358230591, cd=0.09949571639299393, cm=0.015607744455337524
  Angle 8: cl=0.7217990756034851, cd=0.1028895229101181, cm=0.008699610829353333
  Angle 9: cl=0.812512218952179, cd=0.10652337968349457, cm=0.00030513107776641846
  Angle 10: cl=0.9101407527923584, cd=0.11105659604072571, cm=-0.008204087615013123
Genotype [0.0085, 0.46, 0.13, -0.732290898224322, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 8.396383149184368, 10.870734863385135]:
  Angle -10: cl=-0.5612518787384033, cd=0.22805459797382355, cm=-0.1885329633951187
  Angle -9: cl=-0.5875406861305237, cd=0.1947561651468277, cm=-0.18565110862255096
  Angle -8: cl=-0.6103993058204651, cd=0.15959200263023376, cm=-0.1837114840745926
  Angle -7: cl=-0.6499389410018921, cd=0.12617075443267822, cm=-0.17656151950359344
  Angle -6: cl=-0.6097888350486755, cd=0.11308874934911728, cm=-0.16134922206401825
  Angle -5: cl=-0.5119699835777283, cd=0.10388094186782837, cm=-0.14796455204486847
  Angle -4: cl=-0.4170103073120117, cd=0.0986802875995636, cm=-0.13482891023159027
  Angle -3: cl=-0.31404247879981995, cd=0.09230992197990417, cm=-0.1203872412443161
  Angle -2: cl=-0.2440885305404663, cd=0.08663566410541534, cm=-0.0948633998632431
  Angle -1: cl=-0.1834132969379425, cd=0.08218251913785934, cm=-0.06554655730724335
  Angle 0: cl=-0.11582241952419281, cd=0.08198166638612747, cm=-0.0379461795091629
  Angle 1: cl=-0.03424081951379776, cd=0.08229851722717285, cm=-0.015753790736198425
  Angle 2: cl=0.049456506967544556, cd=0.08382053673267365, cm=-0.0009666681289672852
  Angle 3: cl=0.29312607645988464, cd=0.07058724761009216, cm=0.00013537704944610596
  Angle 4: cl=0.38764896988868713, cd=0.07609178125858307, cm=0.005057483911514282
  Angle 5: cl=0.4858049750328064, cd=0.08422549068927765, cm=0.008452296257019043
  Angle 6: cl=0.582528293132782, cd=0.09092707931995392, cm=0.01027822494506836
  Angle 7: cl=0.6731048226356506, cd=0.09750250726938248, cm=0.012567609548568726
  Angle 8: cl=0.7640495896339417, cd=0.10231099277734756, cm=0.009308785200119019
  Angle 9: cl=0.8587706685066223, cd=0.10644293576478958, cm=0.0009910911321640015
  Angle 10: cl=0.9569830894470215, cd=0.11168013513088226, cm=-0.006918385624885559
Genotype [0.0085, 0.44204645329693626, 0.13, -0.7686009621664499, 0.26, -0.023, 0.11107380006321411, -0.006, 0.0025, 8.420115938226086, 10.85035253843702]:
  Angle -10: cl=-0.5644415616989136, cd=0.1879962831735611, cm=-0.1718449741601944
  Angle -9: cl=-0.60895174741745, cd=0.1641644984483719, cm=-0.16373659670352936
  Angle -8: cl=-0.6420477032661438, cd=0.13751976191997528, cm=-0.15830443799495697
  Angle -7: cl=-0.6459295749664307, cd=0.11198874562978745, cm=-0.15240462124347687
  Angle -6: cl=-0.5516173243522644, cd=0.09902019053697586, cm=-0.13217876851558685
  Angle -5: cl=-0.4688160717487335, cd=0.09209603071212769, cm=-0.1061791330575943
  Angle -4: cl=-0.3888712525367737, cd=0.0867060124874115, cm=-0.08024688065052032
  Angle -3: cl=-0.31518906354904175, cd=0.08395732194185257, cm=-0.056770190596580505
  Angle -2: cl=-0.2620207965373993, cd=0.09030535072088242, cm=-0.037716373801231384
  Angle -1: cl=-0.21360169351100922, cd=0.0971708819270134, cm=-0.0211627334356308
  Angle 0: cl=-0.1513020098209381, cd=0.10460439324378967, cm=-0.003975346684455872
  Angle 1: cl=-0.09073653817176819, cd=0.11022371798753738, cm=0.011039108037948608
  Angle 2: cl=0.0616784393787384, cd=0.1057572141289711, cm=0.01477445662021637
  Angle 3: cl=0.14294420182704926, cd=0.10732296109199524, cm=0.011427342891693115
  Angle 4: cl=0.2226053774356842, cd=0.10933159291744232, cm=0.006464719772338867
  Angle 5: cl=0.31266212463378906, cd=0.1113935187458992, cm=0.000963851809501648
  Angle 6: cl=0.4240030348300934, cd=0.11147626489400864, cm=-0.009945496916770935
  Angle 7: cl=0.5497556328773499, cd=0.10922099649906158, cm=-0.027213290333747864
  Angle 8: cl=0.6720092296600342, cd=0.10716627538204193, cm=-0.04585231840610504
  Angle 9: cl=0.789063036441803, cd=0.10621988773345947, cm=-0.0693453997373581
  Angle 10: cl=0.9039952158927917, cd=0.10507111996412277, cm=-0.09308876097202301
Genotype [0.0085, 0.4343388519726536, 0.13, -0.7673018377588011, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 8.379930674023631, 10.840620454959588]:
