Experiment: Nash_Combination_Experiment_19
Generation: 31
Generation Type: u
Timestamp: 20231226_080935

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.273810344966968, 10.840620454959588] - Base Fitness: 0.15711699766421072, Adjusted Fitness: 0.1612525627528636
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15435408111081517, Adjusted Fitness: 0.3521829569475986
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15435408111081517, Adjusted Fitness: 0.3521829569475986
[0.0085, 0.46, 0.13, -0.7935326298420942, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.323518926490893, 10.840620454959588] - Base Fitness: 0.15611171730886114, Adjusted Fitness: 0.16025554636241954
[0.0085, 0.4531361230539615, 0.13, -0.7686009621664499, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15285412683653526, Adjusted Fitness: 0.15752663624317503
[0.0085, 0.46, 0.13, -0.7368145672996634, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15380510399603609, Adjusted Fitness: 0.15793807665329612
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.08997380247680872, -0.006, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: -0.2947300243709917, Adjusted Fitness: -0.28642411866750656
[0.0085, 0.46, 0.13, -0.7330889750348119, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15350735199651855, Adjusted Fitness: 0.15773516243299937
[0.0085, 0.46, 0.13, -0.7522895704393326, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15492554314291446, Adjusted Fitness: 0.18134567754294273
[0.0085, 0.46, 0.13, -0.7935326298420942, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.831794739652167] - Base Fitness: 0.15827492283270728, Adjusted Fitness: 0.1624197588829811
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.25968778733771086, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.14799644567790146, Adjusted Fitness: 0.1704679878665802
[0.0085, 0.46, 0.13, -0.7935326298420942, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.157523186582967, Adjusted Fitness: 0.291839993720858
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15435408111081517, Adjusted Fitness: 0.3521829569475986
[0.0085, 0.46, 0.13, -0.7935326298420942, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.157523186582967, Adjusted Fitness: 0.291839993720858
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.809337158922801] - Base Fitness: 0.1593259549331506, Adjusted Fitness: 0.16347976882417972
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15435408111081517, Adjusted Fitness: 0.3521829569475986
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15604884436757174, Adjusted Fitness: 0.5106497302046575
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15435408111081517, Adjusted Fitness: 0.3521829569475986
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15604884436757174, Adjusted Fitness: 0.5106497302046575
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15604884436757174, Adjusted Fitness: 0.5106497302046575
[0.0085, 0.46, 0.13, -0.732290898224322, 0.25968778733771086, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.14525083524607738, Adjusted Fitness: 0.32364923257079775
[0.0085, 0.46, 0.13, -0.7935326298420942, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.157523186582967, Adjusted Fitness: 0.291839993720858
[0.0085, 0.46, 0.13, -0.7935326298420942, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.848678996514916] - Base Fitness: 0.15651832490832843, Adjusted Fitness: 0.16064833485857927
[0.0085, 0.46, 0.13, -0.732290898224322, 0.25968778733771086, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.14525083524607738, Adjusted Fitness: 0.32364923257079775
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.092597716787244, -0.003, 0.005, 7.297626542675853, 10.840620454959588] - Base Fitness: -0.12255203730276483, Adjusted Fitness: -0.10891875636266794
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.015, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.799268924313632] - Base Fitness: -0.4720630933320083, Adjusted Fitness: -0.46876943021045137
[0.0085, 0.46, 0.13, -0.7935326298420942, 0.26, -0.023, 0.1152973178479514, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.14293182989626024, Adjusted Fitness: 0.14913491396789444
[0.0085, 0.46, 0.13, -0.7935326298420942, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.286727469268692, 10.808625198905293] - Base Fitness: 0.1612125888216648, Adjusted Fitness: 0.16537170935353465
[0.0085, 0.46, 0.13, -0.732290898224322, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15350526131809028, Adjusted Fitness: 0.19702870905308795
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15604884436757174, Adjusted Fitness: 0.5106497302046575
[0.0085, 0.46, 0.13, -0.732290898224322, 0.25968778733771086, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.883622414152146] - Base Fitness: 0.141867281434829, Adjusted Fitness: 0.1481166570022118
[0.0085, 0.46, 0.13, -0.732290898224322, 0.25968778733771086, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.14525083524607738, Adjusted Fitness: 0.32364923257079775
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15435408111081517, Adjusted Fitness: 0.3521829569475986
[0.0085, 0.46, 0.13, -0.7522895704393326, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15492554314291446, Adjusted Fitness: 0.18134567754294273
[0.0085, 0.46, 0.13, -0.7935326298420942, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.823975088423323] - Base Fitness: 0.15909670538349394, Adjusted Fitness: 0.16324885148205126
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15604884436757174, Adjusted Fitness: 0.5106497302046575
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15435408111081517, Adjusted Fitness: 0.3521829569475986
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.22616064058986818, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: -0.742761278467372, Adjusted Fitness: -0.7359169067192665
[0.0085, 0.46, 0.13, -0.7935326298420942, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.157523186582967, Adjusted Fitness: 0.291839993720858
[0.0085, 0.46, 0.13, -0.732290898224322, 0.25968778733771086, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.14525083524607738, Adjusted Fitness: 0.32364923257079775
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.08997380247680872, -0.006, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: -0.2947300243709917, Adjusted Fitness: -0.28642411866750656
[0.0085, 0.46, 0.1109641825542522, -0.7935326298420942, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: -0.5342094643109837, Adjusted Fitness: -0.5302540559681062
[0.0085, 0.46, 0.13, -0.7935326298420942, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15598272416831027, Adjusted Fitness: 0.16904089350754167
[0.0085, 0.46, 0.13, -0.7935326298420942, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.157523186582967, Adjusted Fitness: 0.291839993720858
[0.0085, 0.46, 0.13, -0.7935326298420942, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.157523186582967, Adjusted Fitness: 0.291839993720858
[0.0085, 0.46, 0.13, -0.7935326298420942, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.157523186582967, Adjusted Fitness: 0.291839993720858
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15604884436757174, Adjusted Fitness: 0.5106497302046575
[0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.15435408111081517, Adjusted Fitness: 0.3521829569475986
[0.0085, 0.46, 0.13, -0.7935326298420942, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588] - Base Fitness: 0.157523186582967, Adjusted Fitness: 0.291839993720858
[0.0085, 0.46, 0.13, -0.7522895704393326, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.809337158922801] - Base Fitness: 0.15844993283517506, Adjusted Fitness: 0.16259588638338793

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.273810344966968, 10.840620454959588]:
  Angle -10: cl=-0.5649586319923401, cd=0.23270750045776367, cm=-0.18931944668293
  Angle -9: cl=-0.5933038592338562, cd=0.19986483454704285, cm=-0.1855347901582718
  Angle -8: cl=-0.6160517930984497, cd=0.1647789627313614, cm=-0.1838952749967575
  Angle -7: cl=-0.6554175615310669, cd=0.13007712364196777, cm=-0.1789073497056961
  Angle -6: cl=-0.6126533150672913, cd=0.11537335813045502, cm=-0.1640043407678604
  Angle -5: cl=-0.5067534446716309, cd=0.10414492338895798, cm=-0.15099145472049713
  Angle -4: cl=-0.4136570394039154, cd=0.09897778928279877, cm=-0.1377575546503067
  Angle -3: cl=-0.31144848465919495, cd=0.09300338476896286, cm=-0.12399165332317352
  Angle -2: cl=-0.2331351339817047, cd=0.08748146891593933, cm=-0.10150210559368134
  Angle -1: cl=-0.17234547436237335, cd=0.08275686949491501, cm=-0.07235075533390045
  Angle 0: cl=-0.10361586511135101, cd=0.08202604949474335, cm=-0.043749913573265076
  Angle 1: cl=-0.020498214289546013, cd=0.08255232870578766, cm=-0.021714821457862854
  Angle 2: cl=0.0623597577214241, cd=0.0833037942647934, cm=-0.006311133503913879
  Angle 3: cl=0.29324600100517273, cd=0.06864738464355469, cm=-0.001662328839302063
  Angle 4: cl=0.4038175940513611, cd=0.07322081178426743, cm=0.002523943781852722
  Angle 5: cl=0.502535879611969, cd=0.08150041103363037, cm=0.005992531776428223
  Angle 6: cl=0.5963838696479797, cd=0.08861465752124786, cm=0.008181959390640259
  Angle 7: cl=0.6862021088600159, cd=0.09520995616912842, cm=0.010542348027229309
  Angle 8: cl=0.7761594653129578, cd=0.10141334682703018, cm=0.011294335126876831
  Angle 9: cl=0.8710281252861023, cd=0.1054430603981018, cm=0.0031127184629440308
  Angle 10: cl=0.9705063700675964, cd=0.11000604927539825, cm=-0.004891708493232727
Genotype [0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588]:
  Angle -10: cl=-0.5648072957992554, cd=0.2325701266527176, cm=-0.1893090158700943
  Angle -9: cl=-0.5932809114456177, cd=0.19973023235797882, cm=-0.18551214039325714
  Angle -8: cl=-0.6160383224487305, cd=0.1646580994129181, cm=-0.1838751882314682
  Angle -7: cl=-0.6553335785865784, cd=0.12993569672107697, cm=-0.1787482649087906
  Angle -6: cl=-0.612445592880249, cd=0.11520969867706299, cm=-0.16386063396930695
  Angle -5: cl=-0.5065955519676208, cd=0.10406258702278137, cm=-0.15094934403896332
  Angle -4: cl=-0.4136175513267517, cd=0.09893075376749039, cm=-0.13766814768314362
  Angle -3: cl=-0.31156617403030396, cd=0.09296612441539764, cm=-0.12388499081134796
  Angle -2: cl=-0.2336292266845703, cd=0.08742956817150116, cm=-0.10124842822551727
  Angle -1: cl=-0.17283610999584198, cd=0.0827479362487793, cm=-0.07212062180042267
  Angle 0: cl=-0.10406860709190369, cd=0.08205199241638184, cm=-0.0435250848531723
  Angle 1: cl=-0.020955326035618782, cd=0.08254091441631317, cm=-0.0215102881193161
  Angle 2: cl=0.06175732612609863, cd=0.08329184353351593, cm=-0.006116911768913269
  Angle 3: cl=0.29254859685897827, cd=0.06876832991838455, cm=-0.0015571266412734985
  Angle 4: cl=0.402972012758255, cd=0.07331138104200363, cm=0.0026433169841766357
  Angle 5: cl=0.5019934773445129, cd=0.08158904314041138, cm=0.006039723753929138
  Angle 6: cl=0.5957962870597839, cd=0.08867926895618439, cm=0.008273124694824219
  Angle 7: cl=0.6857005953788757, cd=0.0952545553445816, cm=0.010612890124320984
  Angle 8: cl=0.775916576385498, cd=0.10146324336528778, cm=0.011194631457328796
  Angle 9: cl=0.870479941368103, cd=0.10545922815799713, cm=0.003059864044189453
  Angle 10: cl=0.9700418710708618, cd=0.1100318655371666, cm=-0.004952386021614075
Genotype [0.0085, 0.46, 0.13, -0.7686009621664499, 0.26, -0.023, 0.092597716787244, -0.003, 0.0025, 7.297626542675853, 10.840620454959588]:
  Angle -10: cl=-0.5648072957992554, cd=0.2325701266527176, cm=-0.1893090158700943
  Angle -9: cl=-0.5932809114456177, cd=0.19973023235797882, cm=-0.18551214039325714
  Angle -8: cl=-0.6160383224487305, cd=0.1646580994129181, cm=-0.1838751882314682
  Angle -7: cl=-0.6553335785865784, cd=0.12993569672107697, cm=-0.1787482649087906
  Angle -6: cl=-0.612445592880249, cd=0.11520969867706299, cm=-0.16386063396930695
  Angle -5: cl=-0.5065955519676208, cd=0.10406258702278137, cm=-0.15094934403896332
  Angle -4: cl=-0.4136175513267517, cd=0.09893075376749039, cm=-0.13766814768314362
  Angle -3: cl=-0.31156617403030396, cd=0.09296612441539764, cm=-0.12388499081134796
  Angle -2: cl=-0.2336292266845703, cd=0.08742956817150116, cm=-0.10124842822551727
  Angle -1: cl=-0.17283610999584198, cd=0.0827479362487793, cm=-0.07212062180042267
  Angle 0: cl=-0.10406860709190369, cd=0.08205199241638184, cm=-0.0435250848531723
  Angle 1: cl=-0.020955326035618782, cd=0.08254091441631317, cm=-0.0215102881193161
  Angle 2: cl=0.06175732612609863, cd=0.08329184353351593, cm=-0.006116911768913269
  Angle 3: cl=0.29254859685897827, cd=0.06876832991838455, cm=-0.0015571266412734985
  Angle 4: cl=0.402972012758255, cd=0.07331138104200363, cm=0.0026433169841766357
  Angle 5: cl=0.5019934773445129, cd=0.08158904314041138, cm=0.006039723753929138
  Angle 6: cl=0.5957962870597839, cd=0.08867926895618439, cm=0.008273124694824219
  Angle 7: cl=0.6857005953788757, cd=0.0952545553445816, cm=0.010612890124320984
  Angle 8: cl=0.775916576385498, cd=0.10146324336528778, cm=0.011194631457328796
  Angle 9: cl=0.870479941368103, cd=0.10545922815799713, cm=0.003059864044189453
  Angle 10: cl=0.9700418710708618, cd=0.1100318655371666, cm=-0.004952386021614075
Genotype [0.0085, 0.46, 0.13, -0.7935326298420942, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.323518926490893, 10.840620454959588]:
  Angle -10: cl=-0.5646719336509705, cd=0.2325267344713211, cm=-0.18927137553691864
  Angle -9: cl=-0.5931111574172974, cd=0.19963113963603973, cm=-0.1855863481760025
  Angle -8: cl=-0.6158308386802673, cd=0.16460922360420227, cm=-0.1839062124490738
  Angle -7: cl=-0.6551355719566345, cd=0.12991397082805634, cm=-0.17877639830112457
  Angle -6: cl=-0.6122374534606934, cd=0.11517065018415451, cm=-0.16384513676166534
  Angle -5: cl=-0.5064316987991333, cd=0.10404934734106064, cm=-0.15091286599636078
  Angle -4: cl=-0.41356703639030457, cd=0.0989445373415947, cm=-0.13768668472766876
  Angle -3: cl=-0.3113718032836914, cd=0.09296533465385437, cm=-0.12386389076709747
  Angle -2: cl=-0.23356613516807556, cd=0.0874493420124054, cm=-0.10121451318264008
  Angle -1: cl=-0.17278511822223663, cd=0.08275836706161499, cm=-0.07206584513187408
  Angle 0: cl=-0.1039482057094574, cd=0.08205493539571762, cm=-0.043490275740623474
  Angle 1: cl=-0.020950639620423317, cd=0.0825582817196846, cm=-0.02145610749721527
  Angle 2: cl=0.061981938779354095, cd=0.08330187946557999, cm=-0.006054922938346863
  Angle 3: cl=0.2931007742881775, cd=0.06876596808433533, cm=-0.0015626847743988037
  Angle 4: cl=0.4034218192100525, cd=0.07334621250629425, cm=0.002626284956932068
  Angle 5: cl=0.5023009777069092, cd=0.08161165565252304, cm=0.0060556381940841675
  Angle 6: cl=0.5960836410522461, cd=0.08870401233434677, cm=0.00829373300075531
  Angle 7: cl=0.6859315633773804, cd=0.09529413282871246, cm=0.01060459017753601
  Angle 8: cl=0.7760352492332458, cd=0.10147280246019363, cm=0.011191233992576599
  Angle 9: cl=0.870723307132721, cd=0.10548777878284454, cm=0.002984672784805298
  Angle 10: cl=0.9700743556022644, cd=0.1100962683558464, cm=-0.004986688494682312
Genotype [0.0085, 0.4531361230539615, 0.13, -0.7686009621664499, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588]:
  Angle -10: cl=-0.5618411898612976, cd=0.23286424577236176, cm=-0.18912602961063385
  Angle -9: cl=-0.5947184562683105, cd=0.2009580135345459, cm=-0.18388737738132477
  Angle -8: cl=-0.6172084808349609, cd=0.16555167734622955, cm=-0.1818246692419052
  Angle -7: cl=-0.6526590585708618, cd=0.1311628371477127, cm=-0.1770639568567276
  Angle -6: cl=-0.6141967177391052, cd=0.11591041088104248, cm=-0.1625000387430191
  Angle -5: cl=-0.5083504915237427, cd=0.10483891516923904, cm=-0.14979349076747894
  Angle -4: cl=-0.4074461758136749, cd=0.09838100522756577, cm=-0.1374296098947525
  Angle -3: cl=-0.30485114455223083, cd=0.09216334670782089, cm=-0.12321268022060394
  Angle -2: cl=-0.22602754831314087, cd=0.08649765700101852, cm=-0.10105709731578827
  Angle -1: cl=-0.16577820479869843, cd=0.08214627206325531, cm=-0.07176904380321503
  Angle 0: cl=-0.1012350469827652, cd=0.08159787952899933, cm=-0.042373910546302795
  Angle 1: cl=-0.019063102081418037, cd=0.08214398473501205, cm=-0.01996244490146637
  Angle 2: cl=0.06300488114356995, cd=0.08280504494905472, cm=-0.004292622208595276
  Angle 3: cl=0.3001672029495239, cd=0.06852696090936661, cm=-0.000592648983001709
  Angle 4: cl=0.3981459438800812, cd=0.07386831939220428, cm=0.004200264811515808
  Angle 5: cl=0.4964871406555176, cd=0.0821874737739563, cm=0.007642149925231934
  Angle 6: cl=0.5888816714286804, cd=0.0894603282213211, cm=0.010148301720619202
  Angle 7: cl=0.6794520020484924, cd=0.0960378646850586, cm=0.012218788266181946
  Angle 8: cl=0.7699180245399475, cd=0.10155431926250458, cm=0.011182010173797607
  Angle 9: cl=0.8632350564002991, cd=0.10542716085910797, cm=0.0030324459075927734
  Angle 10: cl=0.9632197022438049, cd=0.11002981662750244, cm=-0.0050007253885269165
Genotype [0.0085, 0.46, 0.13, -0.7368145672996634, 0.26, -0.023, 0.08997380247680872, -0.003, 0.0025, 7.297626542675853, 10.840620454959588]:
  Angle -10: cl=-0.564914882183075, cd=0.23262673616409302, cm=-0.18929295241832733
  Angle -9: cl=-0.5933623909950256, cd=0.19976334273815155, cm=-0.1855146437883377
  Angle -8: cl=-0.6161865592002869, cd=0.16467610001564026, cm=-0.18391837179660797
  Angle -7: cl=-0.6555831432342529, cd=0.13000202178955078, cm=-0.17885343730449677
  Angle -6: cl=-0.6128862500190735, cd=0.1152728796005249, cm=-0.163869246840477
  Angle -5: cl=-0.5068837404251099, cd=0.10407329350709915, cm=-0.15093351900577545
  Angle -4: cl=-0.41364753246307373, cd=0.09896095097064972, cm=-0.13771621882915497
  Angle -3: cl=-0.3116099536418915, cd=0.09297709167003632, cm=-0.12389357388019562
  Angle -2: cl=-0.2334136664867401, cd=0.08745194226503372, cm=-0.10135592520236969
  Angle -1: cl=-0.17262324690818787, cd=0.08273332566022873, cm=-0.07222194969654083
  Angle 0: cl=-0.1040465235710144, cd=0.08202388882637024, cm=-0.043596670031547546
  Angle 1: cl=-0.020845727995038033, cd=0.08254555612802505, cm=-0.021566078066825867
  Angle 2: cl=0.0619245246052742, cd=0.08328309655189514, cm=-0.006205901503562927
  Angle 3: cl=0.2925719618797302, cd=0.0687473937869072, cm=-0.0016051530838012695
  Angle 4: cl=0.40305739641189575, cd=0.07327716052532196, cm=0.0026064664125442505
  Angle 5: cl=0.5018438100814819, cd=0.08156565576791763, cm=0.006049290299415588
  Angle 6: cl=0.5956465601921082, cd=0.08864613622426987, cm=0.008262410759925842
  Angle 7: cl=0.6856786608695984, cd=0.09524755924940109, cm=0.010604754090309143
  Angle 8: cl=0.7757434248924255, cd=0.10143124312162399, cm=0.011250704526901245
