Experiment: Nash_Combination_Experiment_21
Generation: 18
Generation Type: u
Timestamp: 20231226_084705

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.08463032841766] - Base Fitness: 0.05350609668016815, Adjusted Fitness: 0.06577130200950204
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 0.19288583994287894
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 9.581461881212004, 10.099013803297202] - Base Fitness: -0.040915085084598436, Adjusted Fitness: 0.08210760757367426
[0.0085, 0.46, 0.13, -0.7094282684954544, 0.2570422575828017, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 8.133763942075374, 10.052788993393566] - Base Fitness: -0.03996733423224769, Adjusted Fitness: -0.004537706309549928
[0.0085, 0.46, 0.12787020059015278, -0.7094282684954544, 0.2586231806276247, -0.021528187293355476, 0.15294901280036288, -0.006, 0.0025, 7.9823621638967115, 10.075434161688644] - Base Fitness: -0.47692967879453996, Adjusted Fitness: -0.46923646070276787
[0.0085, 0.46, 0.12787020059015278, -0.7094282684954544, 0.2586231806276247, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.052788993393566] - Base Fitness: -0.06805895355016946, Adjusted Fitness: -0.04488134834763377
[0.0085, 0.46, 0.13, -0.7094282684954544, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 8.120317918900312, 10.052788993393566] - Base Fitness: 0.039445671734069876, Adjusted Fitness: 0.12560049369197987
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.2586231806276247, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.052788993393566] - Base Fitness: 0.020863563412000567, Adjusted Fitness: 0.045065426317161095
[0.0126, 0.46, 0.13, -0.7094282684954544, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 8.090685269203295, 10.052788993393566] - Base Fitness: -0.6386250836487685, Adjusted Fitness: -0.6321498551796104
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.252054740813603, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 9.581461881212004, 10.052788993393566] - Base Fitness: -0.2455033218202906, Adjusted Fitness: -0.23575077333235175
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 8.120317918900312, 10.052788993393566] - Base Fitness: 0.049087540763537385, Adjusted Fitness: 0.07383286185862456
[0.0085, 0.46, 0.13, -0.7094282684954544, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.961985976192553, 10.140826148343427] - Base Fitness: 0.03862269248446, Adjusted Fitness: 0.0634393373753344
[0.0085, 0.46, 0.13, -0.8928341909177979, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.058972671337521806, Adjusted Fitness: 0.07119281336613656
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 9.581461881212004, 10.052788993393566] - Base Fitness: -0.03572158377331704, Adjusted Fitness: 0.012515048324491369
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 8.084251257113102, 10.052788993393566] - Base Fitness: 0.05119173169330921, Adjusted Fitness: 0.18991453798300578
[0.0085, 0.46, 0.13, -0.7094282684954544, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 9.581461881212004, 10.052788993393566] - Base Fitness: -0.04537955233804425, Adjusted Fitness: -0.0098106775430123
[0.009281954621747, 0.42742616544154555, 0.13, -0.7094282684954544, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 9.581461881212004, 10.052788993393566] - Base Fitness: -0.21650619668971835, Adjusted Fitness: -0.20651814493622012
[0.0085, 0.46, 0.13, -0.8310089991904042, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.040122188362103] - Base Fitness: 0.0563300878913606, Adjusted Fitness: 0.08103463613908965
[0.009281954621747, 0.42742616544154555, 0.13, -0.7094282684954544, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 9.581461881212004, 10.099013803297202] - Base Fitness: -0.22149052108519673, Adjusted Fitness: -0.21154714902773233
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 8.120317918900312, 10.052788993393566] - Base Fitness: 0.049087540763537385, Adjusted Fitness: 0.07383286185862456
[0.0085, 0.46, 0.11, -0.7094282684954544, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 9.581461881212004, 10.075434161688644] - Base Fitness: -0.7466921070535865, Adjusted Fitness: -0.7412476544983166
[0.0085, 0.46, 0.12787020059015278, -0.8310089991904042, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.040122188362103] - Base Fitness: -0.023117940844850544, Adjusted Fitness: -0.011415160591247135
[0.0085, 0.46, 0.12787020059015278, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 9.581461881212004, 10.052788993393566] - Base Fitness: -0.11543315339144661, Adjusted Fitness: -0.10443545055972898
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.006, 0.0025, 8.024410744425039, 10.040122188362103] - Base Fitness: -0.36669325159175503, Adjusted Fitness: -0.3580765100437639
[0.0085, 0.46, 0.13, -0.7094282684954544, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.052788993393566] - Base Fitness: 0.04726620389244786, Adjusted Fitness: 0.0720510133536072
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.040122188362103] - Base Fitness: 0.05829885042981508, Adjusted Fitness: 0.07052610271322213
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.2586231806276247, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.052788993393566] - Base Fitness: 0.020863563412000567, Adjusted Fitness: 0.045065426317161095
[0.0085, 0.46, 0.12787020059015278, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.099013803297202] - Base Fitness: -0.027689799184045804, Adjusted Fitness: -0.003970719853004959
[0.0085, 0.46, 0.12787020059015278, -0.7094282684954544, 0.2586231806276247, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.06741905485181438, Adjusted Fitness: -0.05594226277572002
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 8.084251257113102, 10.052788993393566] - Base Fitness: 0.05119173169330921, Adjusted Fitness: 0.18991453798300578
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.05746993639918381, Adjusted Fitness: 0.06973600374996008
[0.0085, 0.46, 0.12787020059015278, -0.7094282684954544, 0.2586231806276247, -0.021528187293355476, 0.15294901280036288, -0.006, 0.0025, 7.9823621638967115, 10.052788993393566] - Base Fitness: -0.4747650928124769, Adjusted Fitness: -0.46707571693162986
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15924865900133217, -0.003, 0.0025, 7.9823621638967115, 10.052788993393566] - Base Fitness: 0.05328577382283724, Adjusted Fitness: 0.07816545606992267
[0.0085, 0.46, 0.13, -0.7094282684954544, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 9.61382497934095, 10.008671336204682] - Base Fitness: -0.04211536098423224, Adjusted Fitness: -0.0304834262190221
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.015, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.014649939343284] - Base Fitness: -0.46248574553055344, Adjusted Fitness: -0.4547544825819412
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.075434161688644] - Base Fitness: 0.05470786898589482, Adjusted Fitness: 0.09188432313239941
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.052788993393566] - Base Fitness: 0.04682315918154534, Adjusted Fitness: 0.08375855131670645
[0.0126, 0.46, 0.1148432747999295, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 8.133763942075374, 10.052788993393566] - Base Fitness: -1.1498524950213653, Adjusted Fitness: -1.148391025665821
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.099013803297202] - Base Fitness: 0.05197133162482631, Adjusted Fitness: 0.11339158502136618
[0.0085, 0.46, 0.12787020059015278, -0.7, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.03197910897622579, Adjusted Fitness: -0.020261305149335936
[0.0085, 0.46, 0.13, -0.7094282684954544, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 8.120317918900312, 10.052788993393566] - Base Fitness: 0.039445671734069876, Adjusted Fitness: 0.12560049369197987
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.075434161688644] - Base Fitness: 0.05470786898589482, Adjusted Fitness: 0.09188432313239941
[0.0085, 0.46, 0.13, -0.7094282684954544, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 8.120317918900312, 10.052788993393566] - Base Fitness: 0.039445671734069876, Adjusted Fitness: 0.12560049369197987
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.099013803297202] - Base Fitness: 0.05197133162482631, Adjusted Fitness: 0.11339158502136618
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.052788993393566] - Base Fitness: 0.05701924131506062, Adjusted Fitness: 0.09387520881463444
[0.0085, 0.46, 0.13, -0.8310089991904042, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 9.581461881212004, 10.099013803297202] - Base Fitness: -0.043038634885453265, Adjusted Fitness: -0.019465436344633935
[0.0085, 0.46, 0.13, -0.7094282684954544, 0.2570422575828017, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 8.133763942075374, 10.052788993393566] - Base Fitness: -0.03996733423224769, Adjusted Fitness: -0.004537706309549928
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.021528187293355476, 0.11743989296876747, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.06890836900361873, Adjusted Fitness: 0.08101587029959874
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.052788993393566] - Base Fitness: 0.05701924131506062, Adjusted Fitness: 0.09387520881463444
[0.0085, 0.46, 0.13, -0.7094282684954544, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.040122188362103] - Base Fitness: 0.04829616524889261, Adjusted Fitness: 0.0605998904117224

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.08463032841766]:
  Angle -10: cl=-0.5591059923171997, cd=0.22654017806053162, cm=-0.18782944977283478
  Angle -9: cl=-0.5873056650161743, cd=0.19355185329914093, cm=-0.1844233125448227
  Angle -8: cl=-0.6100844144821167, cd=0.15833109617233276, cm=-0.18223552405834198
  Angle -7: cl=-0.6469138264656067, cd=0.1256263703107834, cm=-0.17433710396289825
  Angle -6: cl=-0.6115469336509705, cd=0.11270444095134735, cm=-0.1597280651330948
  Angle -5: cl=-0.5138040781021118, cd=0.10357367992401123, cm=-0.14647342264652252
  Angle -4: cl=-0.416259765625, cd=0.0981258749961853, cm=-0.13343612849712372
  Angle -3: cl=-0.3126121163368225, cd=0.09163888543844223, cm=-0.1188909262418747
  Angle -2: cl=-0.24503272771835327, cd=0.08586235344409943, cm=-0.092585489153862
  Angle -1: cl=-0.18542338907718658, cd=0.08121968060731888, cm=-0.0634876936674118
  Angle 0: cl=-0.1176900714635849, cd=0.08106248080730438, cm=-0.03613857924938202
  Angle 1: cl=-0.04150208830833435, cd=0.08122703433036804, cm=-0.013360276818275452
  Angle 2: cl=0.04269353672862053, cd=0.0848178118467331, cm=-0.0003794431686401367
  Angle 3: cl=0.28402188420295715, cd=0.07209812104701996, cm=0.0013056546449661255
  Angle 4: cl=0.37761861085891724, cd=0.07765376567840576, cm=0.006379768252372742
  Angle 5: cl=0.47594544291496277, cd=0.08505935221910477, cm=0.009812697768211365
  Angle 6: cl=0.5722717642784119, cd=0.0916544571518898, cm=0.01163068413734436
  Angle 7: cl=0.663845956325531, cd=0.09821002185344696, cm=0.013724267482757568
  Angle 8: cl=0.7550079822540283, cd=0.10231956839561462, cm=0.008758679032325745
  Angle 9: cl=0.8494280576705933, cd=0.10642676055431366, cm=0.0004011094570159912
  Angle 10: cl=0.947876513004303, cd=0.11173256486654282, cm=-0.007820472121238708
Genotype [0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566]:
  Angle -10: cl=-0.5619860887527466, cd=0.2298855185508728, cm=-0.18885482847690582
  Angle -9: cl=-0.5881945490837097, cd=0.19644829630851746, cm=-0.1860697716474533
  Angle -8: cl=-0.611199140548706, cd=0.16147157549858093, cm=-0.18465180695056915
  Angle -7: cl=-0.6501156091690063, cd=0.12772782146930695, cm=-0.17823143303394318
  Angle -6: cl=-0.6057190895080566, cd=0.11371588706970215, cm=-0.16289477050304413
  Angle -5: cl=-0.5054047703742981, cd=0.10394620895385742, cm=-0.1497889906167984
  Angle -4: cl=-0.4127010107040405, cd=0.09900795668363571, cm=-0.1365557461977005
  Angle -3: cl=-0.31026068329811096, cd=0.09291789680719376, cm=-0.12250764667987823
  Angle -2: cl=-0.23690760135650635, cd=0.08744487911462784, cm=-0.09831200540065765
  Angle -1: cl=-0.17625465989112854, cd=0.08281441777944565, cm=-0.06907828152179718
  Angle 0: cl=-0.10565876960754395, cd=0.08225996047258377, cm=-0.041348233819007874
  Angle 1: cl=-0.022229673340916634, cd=0.08275198191404343, cm=-0.019581899046897888
  Angle 2: cl=0.06129211187362671, cd=0.08357100933790207, cm=-0.00424976646900177
  Angle 3: cl=0.30922800302505493, cd=0.06823471188545227, cm=-0.0016932040452957153
  Angle 4: cl=0.4058474898338318, cd=0.07453223317861557, cm=0.0029767602682113647
  Angle 5: cl=0.504153311252594, cd=0.08280789107084274, cm=0.006381124258041382
  Angle 6: cl=0.5994347929954529, cd=0.08962308615446091, cm=0.00826302170753479
  Angle 7: cl=0.6892794966697693, cd=0.09620048105716705, cm=0.010684341192245483
  Angle 8: cl=0.779910147190094, cd=0.10200051218271255, cm=0.009997233748435974
  Angle 9: cl=0.8751979470252991, cd=0.10614042729139328, cm=0.0017451047897338867
  Angle 10: cl=0.9735350012779236, cd=0.11233477294445038, cm=-0.006075993180274963
Genotype [0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 9.581461881212004, 10.099013803297202]:
  Angle -10: cl=-0.5515198111534119, cd=0.21965014934539795, cm=-0.18774305284023285
  Angle -9: cl=-0.5784486532211304, cd=0.18619012832641602, cm=-0.18459607660770416
  Angle -8: cl=-0.6019642353057861, cd=0.15120242536067963, cm=-0.18171687424182892
  Angle -7: cl=-0.6394568681716919, cd=0.12201277166604996, cm=-0.1709545999765396
  Angle -6: cl=-0.6060440540313721, cd=0.10999469459056854, cm=-0.15719066560268402
  Angle -5: cl=-0.5199944376945496, cd=0.10319875925779343, cm=-0.14227153360843658
  Angle -4: cl=-0.41977840662002563, cd=0.09744834899902344, cm=-0.1288757175207138
  Angle -3: cl=-0.32367148995399475, cd=0.0905410498380661, cm=-0.11090822517871857
  Angle -2: cl=-0.26058855652809143, cd=0.08473488688468933, cm=-0.08324982225894928
  Angle -1: cl=-0.20042423903942108, cd=0.08065291494131088, cm=-0.053634122014045715
  Angle 0: cl=-0.1314195841550827, cd=0.0807868093252182, cm=-0.02809460461139679
  Angle 1: cl=-0.06025426834821701, cd=0.08393990993499756, cm=-0.008181944489479065
  Angle 2: cl=0.02507457695901394, cd=0.0893990695476532, cm=0.0034266263246536255
  Angle 3: cl=0.26305851340293884, cd=0.07740069925785065, cm=0.004530772566795349
  Angle 4: cl=0.35635700821876526, cd=0.08300653845071793, cm=0.009769424796104431
  Angle 5: cl=0.455910325050354, cd=0.0885818749666214, cm=0.012703284621238708
  Angle 6: cl=0.5527603626251221, cd=0.09492906183004379, cm=0.014450520277023315
  Angle 7: cl=0.64682537317276, cd=0.10025706887245178, cm=0.013479605317115784
  Angle 8: cl=0.7388359308242798, cd=0.10357294976711273, cm=0.005942195653915405
  Angle 9: cl=0.8333976864814758, cd=0.10782787948846817, cm=-0.0025063902139663696
  Angle 10: cl=0.9284425973892212, cd=0.11528436839580536, cm=-0.011585995554924011
Genotype [0.0085, 0.46, 0.13, -0.7094282684954544, 0.2570422575828017, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 8.133763942075374, 10.052788993393566]:
  Angle -10: cl=-0.5586379170417786, cd=0.22359926998615265, cm=-0.1873597651720047
  Angle -9: cl=-0.5873364806175232, cd=0.1907394975423813, cm=-0.18385373055934906
  Angle -8: cl=-0.6099355816841125, cd=0.15548311173915863, cm=-0.18166254460811615
  Angle -7: cl=-0.6476898193359375, cd=0.1232815831899643, cm=-0.17213062942028046
  Angle -6: cl=-0.6152359843254089, cd=0.11169052869081497, cm=-0.1577058881521225
  Angle -5: cl=-0.5203475952148438, cd=0.10324344038963318, cm=-0.1440349668264389
  Angle -4: cl=-0.42218491435050964, cd=0.09779217094182968, cm=-0.13105596601963043
  Angle -3: cl=-0.32049164175987244, cd=0.09101616591215134, cm=-0.11527897417545319
  Angle -2: cl=-0.25500476360321045, cd=0.08513031899929047, cm=-0.0880579799413681
  Angle -1: cl=-0.19577080011367798, cd=0.08063992112874985, cm=-0.05891667306423187
  Angle 0: cl=-0.12799479067325592, cd=0.08054279536008835, cm=-0.03214816749095917
  Angle 1: cl=-0.056005075573921204, cd=0.08152488619089127, cm=-0.009909853339195251
  Angle 2: cl=0.02833828516304493, cd=0.08691705018281937, cm=0.0014756619930267334
  Angle 3: cl=0.2675858438014984, cd=0.07457824796438217, cm=0.0030865073204040527
  Angle 4: cl=0.36026179790496826, cd=0.08015371859073639, cm=0.008337616920471191
  Angle 5: cl=0.4591823220252991, cd=0.08639586716890335, cm=0.011766940355300903
  Angle 6: cl=0.556040346622467, cd=0.09290564060211182, cm=0.013446405529975891
  Angle 7: cl=0.6484763026237488, cd=0.09944311529397964, cm=0.01547136902809143
  Angle 8: cl=0.7402951121330261, cd=0.10265443474054337, cm=0.008101224899291992
  Angle 9: cl=0.8342927098274231, cd=0.10679042339324951, cm=-0.00031834840774536133
  Angle 10: cl=0.931577742099762, cd=0.11195241659879684, cm=-0.00911886990070343
Genotype [0.0085, 0.46, 0.12787020059015278, -0.7094282684954544, 0.2586231806276247, -0.021528187293355476, 0.15294901280036288, -0.006, 0.0025, 7.9823621638967115, 10.075434161688644]:
  Angle -10: cl=-0.5751535892486572, cd=0.18591248989105225, cm=-0.17234142124652863
  Angle -9: cl=-0.6176624894142151, cd=0.16189387440681458, cm=-0.16419140994548798
  Angle -8: cl=-0.647011399269104, cd=0.1328504979610443, cm=-0.15980808436870575
  Angle -7: cl=-0.6438689231872559, cd=0.10827584564685822, cm=-0.1528058797121048
  Angle -6: cl=-0.5766749382019043, cd=0.09852483868598938, cm=-0.1289842277765274
  Angle -5: cl=-0.49417245388031006, cd=0.09165593236684799, cm=-0.10340981185436249
  Angle -4: cl=-0.41432425379753113, cd=0.08624055981636047, cm=-0.07741715013980865
  Angle -3: cl=-0.340442031621933, cd=0.08498044312000275, cm=-0.055727437138557434
  Angle -2: cl=-0.29055824875831604, cd=0.09138534218072891, cm=-0.037750229239463806
  Angle -1: cl=-0.23963382840156555, cd=0.09794292598962784, cm=-0.02096797525882721
  Angle 0: cl=-0.17817918956279755, cd=0.10495645552873611, cm=-0.004029259085655212
  Angle 1: cl=-0.11433073878288269, cd=0.10993780195713043, cm=0.010693192481994629
  Angle 2: cl=0.04697701707482338, cd=0.10583606362342834, cm=0.015129730105400085
  Angle 3: cl=0.13121680915355682, cd=0.10707373917102814, cm=0.011873766779899597
  Angle 4: cl=0.21456830203533173, cd=0.10895904153585434, cm=0.00709928572177887
  Angle 5: cl=0.3055746853351593, cd=0.11110243201255798, cm=0.0014232099056243896
  Angle 6: cl=0.4229567050933838, cd=0.11022939532995224, cm=-0.01196850836277008
  Angle 7: cl=0.548740029335022, cd=0.10802086442708969, cm=-0.029268786311149597
  Angle 8: cl=0.6706116199493408, cd=0.10597755014896393, cm=-0.04836691915988922
  Angle 9: cl=0.7847667932510376, cd=0.10498328506946564, cm=-0.07226695120334625
  Angle 10: cl=0.8995110988616943, cd=0.1045437678694725, cm=-0.09528277814388275
Genotype [0.0085, 0.46, 0.12787020059015278, -0.7094282684954544, 0.2586231806276247, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 7.9823621638967115, 10.052788993393566]:
  Angle -10: cl=-0.5669378638267517, cd=0.22553718090057373, cm=-0.18712757527828217
  Angle -9: cl=-0.5976395010948181, cd=0.1935713291168213, cm=-0.18323500454425812
  Angle -8: cl=-0.6200636625289917, cd=0.15827375650405884, cm=-0.1811191588640213
  Angle -7: cl=-0.6578099727630615, cd=0.12495911121368408, cm=-0.17257963120937347
  Angle -6: cl=-0.6226294040679932, cd=0.11313095688819885, cm=-0.15811918675899506
  Angle -5: cl=-0.5187200903892517, cd=0.10289991647005081, cm=-0.14535360038280487
  Angle -4: cl=-0.4218185842037201, cd=0.09736475348472595, cm=-0.1323150247335434
  Angle -3: cl=-0.31789058446884155, cd=0.09065638482570648, cm=-0.11734245717525482
  Angle -2: cl=-0.24949976801872253, cd=0.08465790003538132, cm=-0.09078897535800934
  Angle -1: cl=-0.19029992818832397, cd=0.08026915043592453, cm=-0.0616445392370224
  Angle 0: cl=-0.12605151534080505, cd=0.08016247302293777, cm=-0.03375767171382904
  Angle 1: cl=-0.05428750067949295, cd=0.08030852675437927, cm=-0.010623559355735779
  Angle 2: cl=0.029840761795639992, cd=0.08572473376989365, cm=0.0006632208824157715
  Angle 3: cl=0.2669266164302826, cd=0.07333449274301529, cm=0.002625882625579834
  Angle 4: cl=0.35750511288642883, cd=0.07890540361404419, cm=0.008002832531929016
  Angle 5: cl=0.4547032415866852, cd=0.08537408709526062, cm=0.011647731065750122
  Angle 6: cl=0.5508981943130493, cd=0.09202438592910767, cm=0.01349194347858429
  Angle 7: cl=0.642731785774231, cd=0.098575659096241, cm=0.015471592545509338
  Angle 8: cl=0.7336558699607849, cd=0.10223207622766495, cm=0.009630456566810608
  Angle 9: cl=0.8268019556999207, cd=0.10621772706508636, cm=0.0013339221477508545
  Angle 10: cl=0.9264280796051025, cd=0.1108662486076355, cm=-0.006895884871482849
Genotype [0.0085, 0.46, 0.13, -0.7094282684954544, 0.26, -0.021528187293355476, 0.15294901280036288, -0.003, 0.0025, 8.120317918900312, 10.052788993393566]:
  Angle -10: cl=-0.5589971542358398, cd=0.22607947885990143, cm=-0.18786682188510895
  Angle -9: cl=-0.5871391296386719, cd=0.19308406114578247, cm=-0.18442080914974213
  Angle -8: cl=-0.6098423004150391, cd=0.1578112542629242, cm=-0.18219585716724396
