Experiment: Nash_Combination_Experiment_21
Generation: 26
Generation Type: u
Timestamp: 20231226_084849

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.11524948637239957, -0.006, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.2580831248556405, Adjusted Fitness: -0.25051529446239684
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.927245993274329, 10.052788993393566] - Base Fitness: 0.1831097971515071, Adjusted Fitness: 0.19494922302242237
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.1255243981368143, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.19696551568184711, Adjusted Fitness: 0.20891139161732372
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.11524948637239957, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.20532848117197072, Adjusted Fitness: 0.21734986797093592
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.13, -0.8346897763835001, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.17866097376773607, Adjusted Fitness: 0.19051227653846906
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.99225711892629, 10.052788993393566] - Base Fitness: 0.17997892994812792, Adjusted Fitness: 0.2043580095541725
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15403120827776967, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18039677353894618, Adjusted Fitness: 0.19222371200776875
[0.0085, 0.41045634876090104, 0.13, -0.8310089991904042, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.06361242386625143, Adjusted Fitness: 0.07433518711454082
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.13, -0.8346897763835001, 0.26, -0.023, 0.09870507162794438, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.2107116704755215, Adjusted Fitness: 0.22276600770747185
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.22770622216766573, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.063984956023335] - Base Fitness: -0.6906104344426166, Adjusted Fitness: -0.6868059116668337
[0.0126, 0.46, 0.13, -0.8310089991904042, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.5292090556839023, Adjusted Fitness: -0.5242431717878665
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.13, -0.8310089991904042, 0.26, -0.015, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.45783745570639117, Adjusted Fitness: -0.45222446492808793
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.24977330815304138, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.07054739400284232, Adjusted Fitness: -0.06116433373163481
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18336045057041528, Adjusted Fitness: 0.3243208166230896
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.11, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.5487118031853812, Adjusted Fitness: -0.5266564954597095
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.22987922660298032, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.6256850988067455, Adjusted Fitness: -0.6214186117323364
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.093704247369146] - Base Fitness: 0.17621330904600613, Adjusted Fitness: 0.188054697718986
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18336045057041528, Adjusted Fitness: 0.3243208166230896
[0.0085, 0.46, 0.13, -0.8310089991904042, 0.26, -0.023, 0.15778514978308805, -0.003, 0.0025, 7.995609524736453, 10.052788993393566] - Base Fitness: 0.17451524278622124, Adjusted Fitness: 0.1863409068145953
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.13, -0.8346897763835001, 0.26, -0.023, 0.11524948637239957, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.20098094936945363, Adjusted Fitness: 0.23735594466982637
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.926715130371762, 10.087672081225902] - Base Fitness: 0.18133067204022882, Adjusted Fitness: 0.1931665599450624
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.11, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.005, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.7969790722307839, Adjusted Fitness: -0.7936309598885497
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.006, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.27643124975640515, Adjusted Fitness: -0.22090231561183332
[0.0085, 0.46, 0.13, -0.8310089991904042, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.975803453989453, 10.052788993393566] - Base Fitness: 0.17840499115733657, Adjusted Fitness: 0.19026056058316793
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.13, -0.8346897763835001, 0.26, -0.023, 0.11524948637239957, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.20098094936945363, Adjusted Fitness: 0.23735594466982637
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.11524948637239957, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.20304765627902863, Adjusted Fitness: 0.2790547283922901
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18336045057041528, Adjusted Fitness: 0.3243208166230896
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.12523397858740845, -0.003, 0.005, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.089203766524664, Adjusted Fitness: -0.07999045600281632
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 2.4136004193758893
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.072956127287927] - Base Fitness: 0.17869147485502554, Adjusted Fitness: 0.19052179307112624
[0.0085, 0.46, 0.11, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.5487118031853812, Adjusted Fitness: -0.5266564954597095

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.11524948637239957, -0.006, 0.0025, 7.973870710070288, 10.052788993393566]:
  Angle -10: cl=-0.5650641918182373, cd=0.18788006901741028, cm=-0.17525537312030792
  Angle -9: cl=-0.6052423119544983, cd=0.16209767758846283, cm=-0.16802455484867096
  Angle -8: cl=-0.6339462995529175, cd=0.13370953500270844, cm=-0.16379104554653168
  Angle -7: cl=-0.637517511844635, cd=0.11039545387029648, cm=-0.15845255553722382
  Angle -6: cl=-0.557686448097229, cd=0.10069182515144348, cm=-0.13786126673221588
  Angle -5: cl=-0.47402286529541016, cd=0.09277361631393433, cm=-0.11274988949298859
  Angle -4: cl=-0.3937017619609833, cd=0.08730818331241608, cm=-0.08711723983287811
  Angle -3: cl=-0.3243413269519806, cd=0.08342672139406204, cm=-0.06116168200969696
  Angle -2: cl=-0.2711910009384155, cd=0.08683030307292938, cm=-0.039483264088630676
  Angle -1: cl=-0.21351823210716248, cd=0.09376916289329529, cm=-0.022443696856498718
  Angle 0: cl=-0.15156887471675873, cd=0.10136813670396805, cm=-0.00486426055431366
  Angle 1: cl=-0.09039286524057388, cd=0.10795168578624725, cm=0.009321168065071106
  Angle 2: cl=0.08018060028553009, cd=0.10225797444581985, cm=0.014377057552337646
  Angle 3: cl=0.16523945331573486, cd=0.10525945574045181, cm=0.01570899784564972
  Angle 4: cl=0.2510986626148224, cd=0.10732832551002502, cm=0.010518074035644531
  Angle 5: cl=0.34953606128692627, cd=0.1095585748553276, cm=0.004357248544692993
  Angle 6: cl=0.45151299238204956, cd=0.11142388731241226, cm=-0.0013151764869689941
  Angle 7: cl=0.5762975215911865, cd=0.10948938876390457, cm=-0.017850056290626526
  Angle 8: cl=0.702097475528717, cd=0.10731180757284164, cm=-0.036995336413383484
  Angle 9: cl=0.815151035785675, cd=0.10573001205921173, cm=-0.06003113090991974
  Angle 10: cl=0.930609941482544, cd=0.10459224879741669, cm=-0.08353148400783539
Genotype [0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566]:
  Angle -10: cl=-0.5619860887527466, cd=0.2298855185508728, cm=-0.18885482847690582
  Angle -9: cl=-0.5881945490837097, cd=0.19644829630851746, cm=-0.1860697716474533
  Angle -8: cl=-0.611199140548706, cd=0.16147157549858093, cm=-0.18465180695056915
  Angle -7: cl=-0.6501156091690063, cd=0.12772782146930695, cm=-0.17823143303394318
  Angle -6: cl=-0.6057190895080566, cd=0.11371588706970215, cm=-0.16289477050304413
  Angle -5: cl=-0.5054047703742981, cd=0.10394620895385742, cm=-0.1497889906167984
  Angle -4: cl=-0.4127010107040405, cd=0.09900795668363571, cm=-0.1365557461977005
  Angle -3: cl=-0.31026068329811096, cd=0.09291789680719376, cm=-0.12250764667987823
  Angle -2: cl=-0.23690760135650635, cd=0.08744487911462784, cm=-0.09831200540065765
  Angle -1: cl=-0.17625465989112854, cd=0.08281441777944565, cm=-0.06907828152179718
  Angle 0: cl=-0.10565876960754395, cd=0.08225996047258377, cm=-0.041348233819007874
  Angle 1: cl=-0.022229673340916634, cd=0.08275198191404343, cm=-0.019581899046897888
  Angle 2: cl=0.06129211187362671, cd=0.08357100933790207, cm=-0.00424976646900177
  Angle 3: cl=0.30922800302505493, cd=0.06823471188545227, cm=-0.0016932040452957153
  Angle 4: cl=0.4058474898338318, cd=0.07453223317861557, cm=0.0029767602682113647
  Angle 5: cl=0.504153311252594, cd=0.08280789107084274, cm=0.006381124258041382
  Angle 6: cl=0.5994347929954529, cd=0.08962308615446091, cm=0.00826302170753479
  Angle 7: cl=0.6892794966697693, cd=0.09620048105716705, cm=0.010684341192245483
  Angle 8: cl=0.779910147190094, cd=0.10200051218271255, cm=0.009997233748435974
  Angle 9: cl=0.8751979470252991, cd=0.10614042729139328, cm=0.0017451047897338867
  Angle 10: cl=0.9735350012779236, cd=0.11233477294445038, cm=-0.006075993180274963
Genotype [0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566]:
  Angle -10: cl=-0.5619860887527466, cd=0.2298855185508728, cm=-0.18885482847690582
  Angle -9: cl=-0.5881945490837097, cd=0.19644829630851746, cm=-0.1860697716474533
  Angle -8: cl=-0.611199140548706, cd=0.16147157549858093, cm=-0.18465180695056915
  Angle -7: cl=-0.6501156091690063, cd=0.12772782146930695, cm=-0.17823143303394318
  Angle -6: cl=-0.6057190895080566, cd=0.11371588706970215, cm=-0.16289477050304413
  Angle -5: cl=-0.5054047703742981, cd=0.10394620895385742, cm=-0.1497889906167984
  Angle -4: cl=-0.4127010107040405, cd=0.09900795668363571, cm=-0.1365557461977005
  Angle -3: cl=-0.31026068329811096, cd=0.09291789680719376, cm=-0.12250764667987823
  Angle -2: cl=-0.23690760135650635, cd=0.08744487911462784, cm=-0.09831200540065765
  Angle -1: cl=-0.17625465989112854, cd=0.08281441777944565, cm=-0.06907828152179718
  Angle 0: cl=-0.10565876960754395, cd=0.08225996047258377, cm=-0.041348233819007874
  Angle 1: cl=-0.022229673340916634, cd=0.08275198191404343, cm=-0.019581899046897888
  Angle 2: cl=0.06129211187362671, cd=0.08357100933790207, cm=-0.00424976646900177
  Angle 3: cl=0.30922800302505493, cd=0.06823471188545227, cm=-0.0016932040452957153
  Angle 4: cl=0.4058474898338318, cd=0.07453223317861557, cm=0.0029767602682113647
  Angle 5: cl=0.504153311252594, cd=0.08280789107084274, cm=0.006381124258041382
  Angle 6: cl=0.5994347929954529, cd=0.08962308615446091, cm=0.00826302170753479
  Angle 7: cl=0.6892794966697693, cd=0.09620048105716705, cm=0.010684341192245483
  Angle 8: cl=0.779910147190094, cd=0.10200051218271255, cm=0.009997233748435974
  Angle 9: cl=0.8751979470252991, cd=0.10614042729139328, cm=0.0017451047897338867
  Angle 10: cl=0.9735350012779236, cd=0.11233477294445038, cm=-0.006075993180274963
Genotype [0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.927245993274329, 10.052788993393566]:
  Angle -10: cl=-0.5620530247688293, cd=0.23009255528450012, cm=-0.18893681466579437
  Angle -9: cl=-0.5885034203529358, cd=0.19665338099002838, cm=-0.18610887229442596
  Angle -8: cl=-0.6114242076873779, cd=0.16168376803398132, cm=-0.18466104567050934
  Angle -7: cl=-0.6503757238388062, cd=0.12785658240318298, cm=-0.1783227175474167
  Angle -6: cl=-0.606028139591217, cd=0.11381152272224426, cm=-0.16304324567317963
  Angle -5: cl=-0.5052849054336548, cd=0.10396202653646469, cm=-0.1498996764421463
  Angle -4: cl=-0.41257238388061523, cd=0.09902501106262207, cm=-0.1366518884897232
  Angle -3: cl=-0.3101974427700043, cd=0.09294736385345459, cm=-0.12269259989261627
  Angle -2: cl=-0.23654934763908386, cd=0.08747978508472443, cm=-0.09858955442905426
  Angle -1: cl=-0.1757386028766632, cd=0.08282997459173203, cm=-0.06938393414020538
  Angle 0: cl=-0.10494260489940643, cd=0.08226575702428818, cm=-0.04164843261241913
  Angle 1: cl=-0.02150835655629635, cd=0.08277492225170135, cm=-0.019855454564094543
  Angle 2: cl=0.0616157203912735, cd=0.08359310775995255, cm=-0.004487022757530212
  Angle 3: cl=0.3093258738517761, cd=0.0681542158126831, cm=-0.0018288493156433105
  Angle 4: cl=0.40658631920814514, cd=0.07440265268087387, cm=0.002851724624633789
  Angle 5: cl=0.5046340823173523, cd=0.08269702643156052, cm=0.006282001733779907
  Angle 6: cl=0.5998364686965942, cd=0.0895293578505516, cm=0.008254438638687134
  Angle 7: cl=0.6898730993270874, cd=0.09613359719514847, cm=0.010585546493530273
  Angle 8: cl=0.7805072069168091, cd=0.10197565704584122, cm=0.010070905089378357
  Angle 9: cl=0.8756220936775208, cd=0.10609414428472519, cm=0.0018638968467712402
  Angle 10: cl=0.9739781618118286, cd=0.11227322369813919, cm=-0.006031110882759094
Genotype [0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566]:
  Angle -10: cl=-0.5619860887527466, cd=0.2298855185508728, cm=-0.18885482847690582
  Angle -9: cl=-0.5881945490837097, cd=0.19644829630851746, cm=-0.1860697716474533
  Angle -8: cl=-0.611199140548706, cd=0.16147157549858093, cm=-0.18465180695056915
  Angle -7: cl=-0.6501156091690063, cd=0.12772782146930695, cm=-0.17823143303394318
  Angle -6: cl=-0.6057190895080566, cd=0.11371588706970215, cm=-0.16289477050304413
  Angle -5: cl=-0.5054047703742981, cd=0.10394620895385742, cm=-0.1497889906167984
  Angle -4: cl=-0.4127010107040405, cd=0.09900795668363571, cm=-0.1365557461977005
  Angle -3: cl=-0.31026068329811096, cd=0.09291789680719376, cm=-0.12250764667987823
  Angle -2: cl=-0.23690760135650635, cd=0.08744487911462784, cm=-0.09831200540065765
  Angle -1: cl=-0.17625465989112854, cd=0.08281441777944565, cm=-0.06907828152179718
  Angle 0: cl=-0.10565876960754395, cd=0.08225996047258377, cm=-0.041348233819007874
  Angle 1: cl=-0.022229673340916634, cd=0.08275198191404343, cm=-0.019581899046897888
  Angle 2: cl=0.06129211187362671, cd=0.08357100933790207, cm=-0.00424976646900177
  Angle 3: cl=0.30922800302505493, cd=0.06823471188545227, cm=-0.0016932040452957153
  Angle 4: cl=0.4058474898338318, cd=0.07453223317861557, cm=0.0029767602682113647
  Angle 5: cl=0.504153311252594, cd=0.08280789107084274, cm=0.006381124258041382
  Angle 6: cl=0.5994347929954529, cd=0.08962308615446091, cm=0.00826302170753479
  Angle 7: cl=0.6892794966697693, cd=0.09620048105716705, cm=0.010684341192245483
  Angle 8: cl=0.779910147190094, cd=0.10200051218271255, cm=0.009997233748435974
  Angle 9: cl=0.8751979470252991, cd=0.10614042729139328, cm=0.0017451047897338867
  Angle 10: cl=0.9735350012779236, cd=0.11233477294445038, cm=-0.006075993180274963
Genotype [0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.1255243981368143, -0.003, 0.0025, 7.973870710070288, 10.052788993393566]:
  Angle -10: cl=-0.5620968341827393, cd=0.23035071790218353, cm=-0.18906252086162567
  Angle -9: cl=-0.5883910655975342, cd=0.19693312048912048, cm=-0.18619926273822784
  Angle -8: cl=-0.6112968325614929, cd=0.16203199326992035, cm=-0.18486158549785614
  Angle -7: cl=-0.650195300579071, cd=0.12813152372837067, cm=-0.1786237508058548
  Angle -6: cl=-0.6050982475280762, cd=0.11393973231315613, cm=-0.1633576601743698
  Angle -5: cl=-0.5038486123085022, cd=0.10396432876586914, cm=-0.15024270117282867
  Angle -4: cl=-0.4118115305900574, cd=0.09909509122371674, cm=-0.13696013391017914
  Angle -3: cl=-0.30936071276664734, cd=0.09303605556488037, cm=-0.12301535904407501
  Angle -2: cl=-0.23524168133735657, cd=0.08758381009101868, cm=-0.09915007650852203
  Angle -1: cl=-0.1743401736021042, cd=0.0829443484544754, cm=-0.06988291442394257
  Angle 0: cl=-0.10324254631996155, cd=0.0823463648557663, cm=-0.04217143356800079
  Angle 1: cl=-0.019572788849473, cd=0.08287393301725388, cm=-0.020379647612571716
  Angle 2: cl=0.06385420262813568, cd=0.0836610421538353, cm=-0.00503520667552948
  Angle 3: cl=0.3109968304634094, cd=0.06794518232345581, cm=-0.0020297467708587646
  Angle 4: cl=0.40908023715019226, cd=0.07423816621303558, cm=0.0026028454303741455
  Angle 5: cl=0.5075263977050781, cd=0.08253955096006393, cm=0.005978107452392578
  Angle 6: cl=0.6022831797599792, cd=0.08938569575548172, cm=0.007939532399177551
  Angle 7: cl=0.6920638084411621, cd=0.09598278254270554, cm=0.010383114218711853
