Experiment: Nash_Combination_Experiment_21
Generation: 36
Generation Type: u
Timestamp: 20231226_085049

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.10697724846038559, -0.003, 0.0025, 7.973870710070288, 10.085286484290807] - Base Fitness: 0.2044226912421794, Adjusted Fitness: 0.2154337048902137
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.04192210964471] - Base Fitness: 0.18220633608760592, Adjusted Fitness: 0.19302668969358022
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.005, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.10589869098305014, Adjusted Fitness: -0.004974055994747522
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.93178022849881, 10.052788993393566] - Base Fitness: 0.18297000424422785, Adjusted Fitness: 0.2498185827006098
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.11, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.93178022849881, 10.052788993393566] - Base Fitness: -0.5464247281224123, Adjusted Fitness: -0.5426005331618196
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18336045057041528, Adjusted Fitness: 0.45522443035481713
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.11, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.5487118031853812, Adjusted Fitness: -0.5136464333924253
[0.0085, 0.4340264073757924, 0.13, -0.8648886552787202, 0.22215351226927385, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.8469356907008295, Adjusted Fitness: -0.8459812289278167
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18336045057041528, Adjusted Fitness: 0.45522443035481713
[0.0085, 0.46, 0.13, -0.864026876274992, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18069728955689457, Adjusted Fitness: 0.19150780572960227
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.93178022849881, 10.052788993393566] - Base Fitness: 0.18297000424422785, Adjusted Fitness: 0.2498185827006098
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18336045057041528, Adjusted Fitness: 0.45522443035481713
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0126, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.5273224413286702, Adjusted Fitness: -0.5074634739840538
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.937414552884248, 10.052788993393566] - Base Fitness: 0.18275624382907504, Adjusted Fitness: 0.1935820850603873
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.93178022849881, 10.052788993393566] - Base Fitness: 0.18297000424422785, Adjusted Fitness: 0.2498185827006098
[0.0085, 0.46, 0.13, -0.8211696115175247, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.1780229190158246, Adjusted Fitness: 0.1888478614373742
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.94802578087206, 10.052788993393566] - Base Fitness: 0.18191211900183454, Adjusted Fitness: 0.19273378865087787
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.4555017551925523, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.1778240371213956, Adjusted Fitness: 0.1886487600985086
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.015, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.4558945136988863, Adjusted Fitness: -0.42628903922527595
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.009220831680291433, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.03072944891042057, Adjusted Fitness: 0.0401107456600333
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.10733795346384782, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.20780850927346284, Adjusted Fitness: 0.218816645312892
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.005, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.10589869098305014, Adjusted Fitness: -0.004974055994747522
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.006, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.27643124975640515, Adjusted Fitness: -0.19874493173210583
[0.0085, 0.46, 0.13, -0.8192228942154302, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.17788073200919505, Adjusted Fitness: 0.18870587931315833
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.022071774254883547, 0.15294901280036288, -0.003, 0.0025, 7.93178022849881, 10.052788993393566] - Base Fitness: 0.1046269173949632, Adjusted Fitness: 0.12506097546682673
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 28.929053207646447

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.10697724846038559, -0.003, 0.0025, 7.973870710070288, 10.085286484290807]:
  Angle -10: cl=-0.5623215436935425, cd=0.23062263429164886, cm=-0.18909762799739838
  Angle -9: cl=-0.5884731411933899, cd=0.19724351167678833, cm=-0.18625040352344513
  Angle -8: cl=-0.6114920973777771, cd=0.1623314619064331, cm=-0.18495817482471466
  Angle -7: cl=-0.6501497030258179, cd=0.12835626304149628, cm=-0.17882533371448517
  Angle -6: cl=-0.6049451231956482, cd=0.11409694701433182, cm=-0.16364993155002594
  Angle -5: cl=-0.5029892325401306, cd=0.10397651046514511, cm=-0.15048621594905853
  Angle -4: cl=-0.41106241941452026, cd=0.09910883009433746, cm=-0.13716234266757965
  Angle -3: cl=-0.30894798040390015, cd=0.09308119863271713, cm=-0.12325836718082428
  Angle -2: cl=-0.2343744933605194, cd=0.08766690641641617, cm=-0.09957535564899445
  Angle -1: cl=-0.1734822690486908, cd=0.08302723616361618, cm=-0.07030059397220612
  Angle 0: cl=-0.10203725099563599, cd=0.08238276839256287, cm=-0.04258193075656891
  Angle 1: cl=-0.018113283440470695, cd=0.08294535428285599, cm=-0.02082131803035736
  Angle 2: cl=0.06498526781797409, cd=0.083709716796875, cm=-0.0054601579904556274
  Angle 3: cl=0.31117358803749084, cd=0.0678480714559555, cm=-0.0021312981843948364
  Angle 4: cl=0.4107044041156769, cd=0.07409598678350449, cm=0.002388283610343933
  Angle 5: cl=0.5090569853782654, cd=0.08237309008836746, cm=0.005763396620750427
  Angle 6: cl=0.6036098599433899, cd=0.08927007764577866, cm=0.007796421647071838
  Angle 7: cl=0.693463921546936, cd=0.09585234522819519, cm=0.01022021472454071
  Angle 8: cl=0.7838419675827026, cd=0.10191027820110321, cm=0.010227575898170471
  Angle 9: cl=0.8794922828674316, cd=0.10604071617126465, cm=0.002015143632888794
  Angle 10: cl=0.9777792096138, cd=0.11227529495954514, cm=-0.005842640995979309
Genotype [0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.04192210964471]:
  Angle -10: cl=-0.5619990229606628, cd=0.2299155741930008, cm=-0.18885664641857147
  Angle -9: cl=-0.5882244110107422, cd=0.19643986225128174, cm=-0.1860918551683426
  Angle -8: cl=-0.6111416816711426, cd=0.161509707570076, cm=-0.18463237583637238
  Angle -7: cl=-0.6500955820083618, cd=0.1276920884847641, cm=-0.17820928990840912
  Angle -6: cl=-0.6056696176528931, cd=0.11374006420373917, cm=-0.1629321128129959
  Angle -5: cl=-0.5052268505096436, cd=0.10394395887851715, cm=-0.14980699121952057
  Angle -4: cl=-0.4125548005104065, cd=0.099007748067379, cm=-0.13654030859470367
  Angle -3: cl=-0.3101952373981476, cd=0.09292205423116684, cm=-0.12254472076892853
  Angle -2: cl=-0.2368275225162506, cd=0.0874486118555069, cm=-0.09832216799259186
  Angle -1: cl=-0.17615731060504913, cd=0.08281570672988892, cm=-0.06910647451877594
  Angle 0: cl=-0.10550576448440552, cd=0.08225516974925995, cm=-0.041419968008995056
  Angle 1: cl=-0.021837016567587852, cd=0.08276081085205078, cm=-0.019655689597129822
  Angle 2: cl=0.061351925134658813, cd=0.08357176929712296, cm=-0.0042814165353775024
  Angle 3: cl=0.3099006414413452, cd=0.06816320866346359, cm=-0.0017594695091247559
  Angle 4: cl=0.40612348914146423, cd=0.07449998706579208, cm=0.0029351413249969482
  Angle 5: cl=0.5043349266052246, cd=0.08279816061258316, cm=0.006362348794937134
  Angle 6: cl=0.5995938181877136, cd=0.08959738165140152, cm=0.00828544795513153
  Angle 7: cl=0.6895551681518555, cd=0.09620405733585358, cm=0.010663658380508423
  Angle 8: cl=0.7802565097808838, cd=0.10200382769107819, cm=0.010016024112701416
  Angle 9: cl=0.8753575682640076, cd=0.10613615810871124, cm=0.0017407983541488647
  Angle 10: cl=0.9736215472221375, cd=0.11234886944293976, cm=-0.006073161959648132
Genotype [0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.005, 7.973870710070288, 10.052788993393566]:
  Angle -10: cl=-0.5387409925460815, cd=0.2210414856672287, cm=-0.1859407275915146
  Angle -9: cl=-0.5600879788398743, cd=0.18735477328300476, cm=-0.18423886597156525
  Angle -8: cl=-0.5830419063568115, cd=0.1531367003917694, cm=-0.18122489750385284
  Angle -7: cl=-0.6136249899864197, cd=0.12619180977344513, cm=-0.170938178896904
  Angle -6: cl=-0.6006376147270203, cd=0.10994229465723038, cm=-0.15863187611103058
  Angle -5: cl=-0.5221977829933167, cd=0.10331352800130844, cm=-0.14298485219478607
  Angle -4: cl=-0.4223715662956238, cd=0.09733518213033676, cm=-0.12956242263317108
  Angle -3: cl=-0.3302803337574005, cd=0.09028512239456177, cm=-0.11046729981899261
  Angle -2: cl=-0.26944929361343384, cd=0.0845852941274643, cm=-0.08230195939540863
  Angle -1: cl=-0.2100132256746292, cd=0.08056259900331497, cm=-0.05305732786655426
  Angle 0: cl=-0.1414472907781601, cd=0.0802917331457138, cm=-0.02664177119731903
  Angle 1: cl=-0.07186587899923325, cd=0.08538512885570526, cm=-0.008475139737129211
  Angle 2: cl=0.012634044513106346, cd=0.09038077294826508, cm=0.0029844194650650024
  Angle 3: cl=0.24705685675144196, cd=0.07859468460083008, cm=0.0040656328201293945
  Angle 4: cl=0.33689749240875244, cd=0.08426133543252945, cm=0.009550347924232483
  Angle 5: cl=0.43261095881462097, cd=0.08997189998626709, cm=0.012700110673904419
  Angle 6: cl=0.533272922039032, cd=0.09634143859148026, cm=0.01533670723438263
  Angle 7: cl=0.6261752247810364, cd=0.10109228640794754, cm=0.013023436069488525
  Angle 8: cl=0.7179385423660278, cd=0.10440552234649658, cm=0.005570158362388611
  Angle 9: cl=0.8124584555625916, cd=0.10861564427614212, cm=-0.0025022029876708984
  Angle 10: cl=0.9020240902900696, cd=0.11863189935684204, cm=-0.01211516559123993
Genotype [0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.93178022849881, 10.052788993393566]:
  Angle -10: cl=-0.5620661377906799, cd=0.23007243871688843, cm=-0.18892301619052887
  Angle -9: cl=-0.588550865650177, cd=0.19664399325847626, cm=-0.18611298501491547
  Angle -8: cl=-0.6113954186439514, cd=0.1616748869419098, cm=-0.18464921414852142
  Angle -7: cl=-0.6503564715385437, cd=0.12783746421337128, cm=-0.17832715809345245
  Angle -6: cl=-0.6059743165969849, cd=0.11379662156105042, cm=-0.16303329169750214
  Angle -5: cl=-0.5052489042282104, cd=0.10394559055566788, cm=-0.14988334476947784
  Angle -4: cl=-0.4124680459499359, cd=0.09900323301553726, cm=-0.1366519182920456
  Angle -3: cl=-0.3102104961872101, cd=0.09295394271612167, cm=-0.12267063558101654
  Angle -2: cl=-0.23666635155677795, cd=0.08748115599155426, cm=-0.09856100380420685
  Angle -1: cl=-0.17577670514583588, cd=0.08284085988998413, cm=-0.0693570226430893
  Angle 0: cl=-0.10494692623615265, cd=0.08226841688156128, cm=-0.04164557158946991
  Angle 1: cl=-0.02162138931453228, cd=0.08277694135904312, cm=-0.01983986794948578
  Angle 2: cl=0.061639249324798584, cd=0.08358384668827057, cm=-0.004465177655220032
  Angle 3: cl=0.30909284949302673, cd=0.06818784028291702, cm=-0.00178508460521698
  Angle 4: cl=0.406555712223053, cd=0.07441426813602448, cm=0.0028360337018966675
  Angle 5: cl=0.5046919584274292, cd=0.08270533382892609, cm=0.006288707256317139
  Angle 6: cl=0.5998657941818237, cd=0.08953031897544861, cm=0.00824311375617981
  Angle 7: cl=0.689842939376831, cd=0.09614119678735733, cm=0.01056988537311554
  Angle 8: cl=0.780515730381012, cd=0.10198108106851578, cm=0.01006096601486206
  Angle 9: cl=0.8755909204483032, cd=0.10610098391771317, cm=0.0018482357263565063
  Angle 10: cl=0.9739638566970825, cd=0.11226141452789307, cm=-0.006052389740943909
Genotype [0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566]:
  Angle -10: cl=-0.5619860887527466, cd=0.2298855185508728, cm=-0.18885482847690582
  Angle -9: cl=-0.5881945490837097, cd=0.19644829630851746, cm=-0.1860697716474533
  Angle -8: cl=-0.611199140548706, cd=0.16147157549858093, cm=-0.18465180695056915
  Angle -7: cl=-0.6501156091690063, cd=0.12772782146930695, cm=-0.17823143303394318
  Angle -6: cl=-0.6057190895080566, cd=0.11371588706970215, cm=-0.16289477050304413
  Angle -5: cl=-0.5054047703742981, cd=0.10394620895385742, cm=-0.1497889906167984
  Angle -4: cl=-0.4127010107040405, cd=0.09900795668363571, cm=-0.1365557461977005
  Angle -3: cl=-0.31026068329811096, cd=0.09291789680719376, cm=-0.12250764667987823
  Angle -2: cl=-0.23690760135650635, cd=0.08744487911462784, cm=-0.09831200540065765
  Angle -1: cl=-0.17625465989112854, cd=0.08281441777944565, cm=-0.06907828152179718
  Angle 0: cl=-0.10565876960754395, cd=0.08225996047258377, cm=-0.041348233819007874
  Angle 1: cl=-0.022229673340916634, cd=0.08275198191404343, cm=-0.019581899046897888
  Angle 2: cl=0.06129211187362671, cd=0.08357100933790207, cm=-0.00424976646900177
  Angle 3: cl=0.30922800302505493, cd=0.06823471188545227, cm=-0.0016932040452957153
  Angle 4: cl=0.4058474898338318, cd=0.07453223317861557, cm=0.0029767602682113647
  Angle 5: cl=0.504153311252594, cd=0.08280789107084274, cm=0.006381124258041382
  Angle 6: cl=0.5994347929954529, cd=0.08962308615446091, cm=0.00826302170753479
  Angle 7: cl=0.6892794966697693, cd=0.09620048105716705, cm=0.010684341192245483
  Angle 8: cl=0.779910147190094, cd=0.10200051218271255, cm=0.009997233748435974
  Angle 9: cl=0.8751979470252991, cd=0.10614042729139328, cm=0.0017451047897338867
  Angle 10: cl=0.9735350012779236, cd=0.11233477294445038, cm=-0.006075993180274963
Genotype [0.0085, 0.46, 0.11, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.93178022849881, 10.052788993393566]:
  Angle -10: cl=-0.6152428388595581, cd=0.2292453944683075, cm=-0.18798010051250458
  Angle -9: cl=-0.6526751518249512, cd=0.19881503283977509, cm=-0.18044479191303253
  Angle -8: cl=-0.6948594450950623, cd=0.16787195205688477, cm=-0.17469923198223114
  Angle -7: cl=-0.7133761048316956, cd=0.1358393281698227, cm=-0.16985733807086945
  Angle -6: cl=-0.6641760468482971, cd=0.12306399643421173, cm=-0.15597598254680634
  Angle -5: cl=-0.5702419281005859, cd=0.1084391176700592, cm=-0.14330323040485382
  Angle -4: cl=-0.45713338255882263, cd=0.09664697200059891, cm=-0.13084818422794342
  Angle -3: cl=-0.3333134353160858, cd=0.08622273802757263, cm=-0.11822055280208588
  Angle -2: cl=-0.24286717176437378, cd=0.07911016792058945, cm=-0.09630315005779266
  Angle -1: cl=-0.18319134414196014, cd=0.07524240016937256, cm=-0.06828717887401581
  Angle 0: cl=-0.12519419193267822, cd=0.07497333735227585, cm=-0.038195833563804626
  Angle 1: cl=-0.06747561693191528, cd=0.07741732895374298, cm=-0.013280108571052551
  Angle 2: cl=0.0025027599185705185, cd=0.08300074189901352, cm=0.00035113096237182617
  Angle 3: cl=0.17002758383750916, cd=0.07693064957857132, cm=0.004938825964927673
  Angle 4: cl=0.30017349123954773, cd=0.07669103890657425, cm=0.00988169014453888
  Angle 5: cl=0.38229429721832275, cd=0.08215418457984924, cm=0.014951065182685852
  Angle 6: cl=0.46731188893318176, cd=0.08859582245349884, cm=0.018006816506385803
  Angle 7: cl=0.5537980794906616, cd=0.09566662460565567, cm=0.020761653780937195
