Experiment: Nash_Combination_Experiment_21
Generation: 47
Generation Type: u
Timestamp: 20231226_085323

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.45322157866542256, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.17596400007076132, Adjusted Fitness: 0.18467874610448984
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.005, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.10589869098305014, Adjusted Fitness: 0.05238276099340423
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8880443785419861, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.054144689457583] - Base Fitness: 0.18222068957136375, Adjusted Fitness: 0.19095751246133563
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.11, -0.8648886552787202, 0.26, -0.023, 0.13277264537291722, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.5374090981181704, Adjusted Fitness: -0.5355990933078885
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.936839158892051, 10.052788993393566] - Base Fitness: 0.18274633894029282, Adjusted Fitness: 0.20995797396622987
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.006, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.27643124975640515, Adjusted Fitness: -0.13016237957794763
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.006, 0.0025, 7.997189592188984, 10.052788993393566] - Base Fitness: -0.2774809283079233, Adjusted Fitness: -0.2731610034071911
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8880443785419861, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18247736984287669, Adjusted Fitness: 0.20920939140736258
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.9776670336006505, 10.052788993393566] - Base Fitness: 0.18060534542684625, Adjusted Fitness: 0.1893530057170288
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.11, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: -0.5487118031853812, Adjusted Fitness: -0.5039659429117274
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.43569304593754693, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.14621389261772227, Adjusted Fitness: 0.15474451894256902
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.025216153948545] - Base Fitness: 0.18393312715955265, Adjusted Fitness: 0.20177518996484956
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.943697533706291, 10.052788993393566] - Base Fitness: 0.18231350660677312, Adjusted Fitness: 0.19103950524117533
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18336045057041528, Adjusted Fitness: 0.5043676760185599
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.18803016095902156, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.1592214797805623, Adjusted Fitness: 0.1678217148983468
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.19449237226125787, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.1549025262755918, Adjusted Fitness: 0.1635068084132423
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8942037079021469, 0.26, -0.015, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.092549785477093] - Base Fitness: -0.45821408107298367, Adjusted Fitness: -0.4556875737349381
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8854247061666658, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18226313320997495, Adjusted Fitness: 0.19099251027773692
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8880443785419861, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18247736984287669, Adjusted Fitness: 0.20920939140736258
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.13737253188707596, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.190064068496113, Adjusted Fitness: 0.1988415060807135
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566] - Base Fitness: 0.18070129821695002, Adjusted Fitness: 986.2017787152606
[0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.005878753638106] - Base Fitness: 0.18644896062822203, Adjusted Fitness: 0.19519843633389605

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566]:
  Angle -10: cl=-0.5619860887527466, cd=0.2298855185508728, cm=-0.18885482847690582
  Angle -9: cl=-0.5881945490837097, cd=0.19644829630851746, cm=-0.1860697716474533
  Angle -8: cl=-0.611199140548706, cd=0.16147157549858093, cm=-0.18465180695056915
  Angle -7: cl=-0.6501156091690063, cd=0.12772782146930695, cm=-0.17823143303394318
  Angle -6: cl=-0.6057190895080566, cd=0.11371588706970215, cm=-0.16289477050304413
  Angle -5: cl=-0.5054047703742981, cd=0.10394620895385742, cm=-0.1497889906167984
  Angle -4: cl=-0.4127010107040405, cd=0.09900795668363571, cm=-0.1365557461977005
  Angle -3: cl=-0.31026068329811096, cd=0.09291789680719376, cm=-0.12250764667987823
  Angle -2: cl=-0.23690760135650635, cd=0.08744487911462784, cm=-0.09831200540065765
  Angle -1: cl=-0.17625465989112854, cd=0.08281441777944565, cm=-0.06907828152179718
  Angle 0: cl=-0.10565876960754395, cd=0.08225996047258377, cm=-0.041348233819007874
  Angle 1: cl=-0.022229673340916634, cd=0.08275198191404343, cm=-0.019581899046897888
  Angle 2: cl=0.06129211187362671, cd=0.08357100933790207, cm=-0.00424976646900177
  Angle 3: cl=0.30922800302505493, cd=0.06823471188545227, cm=-0.0016932040452957153
  Angle 4: cl=0.4058474898338318, cd=0.07453223317861557, cm=0.0029767602682113647
  Angle 5: cl=0.504153311252594, cd=0.08280789107084274, cm=0.006381124258041382
  Angle 6: cl=0.5994347929954529, cd=0.08962308615446091, cm=0.00826302170753479
  Angle 7: cl=0.6892794966697693, cd=0.09620048105716705, cm=0.010684341192245483
  Angle 8: cl=0.779910147190094, cd=0.10200051218271255, cm=0.009997233748435974
  Angle 9: cl=0.8751979470252991, cd=0.10614042729139328, cm=0.0017451047897338867
  Angle 10: cl=0.9735350012779236, cd=0.11233477294445038, cm=-0.006075993180274963
Genotype [0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566]:
  Angle -10: cl=-0.5619860887527466, cd=0.2298855185508728, cm=-0.18885482847690582
  Angle -9: cl=-0.5881945490837097, cd=0.19644829630851746, cm=-0.1860697716474533
  Angle -8: cl=-0.611199140548706, cd=0.16147157549858093, cm=-0.18465180695056915
  Angle -7: cl=-0.6501156091690063, cd=0.12772782146930695, cm=-0.17823143303394318
  Angle -6: cl=-0.6057190895080566, cd=0.11371588706970215, cm=-0.16289477050304413
  Angle -5: cl=-0.5054047703742981, cd=0.10394620895385742, cm=-0.1497889906167984
  Angle -4: cl=-0.4127010107040405, cd=0.09900795668363571, cm=-0.1365557461977005
  Angle -3: cl=-0.31026068329811096, cd=0.09291789680719376, cm=-0.12250764667987823
  Angle -2: cl=-0.23690760135650635, cd=0.08744487911462784, cm=-0.09831200540065765
  Angle -1: cl=-0.17625465989112854, cd=0.08281441777944565, cm=-0.06907828152179718
  Angle 0: cl=-0.10565876960754395, cd=0.08225996047258377, cm=-0.041348233819007874
  Angle 1: cl=-0.022229673340916634, cd=0.08275198191404343, cm=-0.019581899046897888
  Angle 2: cl=0.06129211187362671, cd=0.08357100933790207, cm=-0.00424976646900177
  Angle 3: cl=0.30922800302505493, cd=0.06823471188545227, cm=-0.0016932040452957153
  Angle 4: cl=0.4058474898338318, cd=0.07453223317861557, cm=0.0029767602682113647
  Angle 5: cl=0.504153311252594, cd=0.08280789107084274, cm=0.006381124258041382
  Angle 6: cl=0.5994347929954529, cd=0.08962308615446091, cm=0.00826302170753479
  Angle 7: cl=0.6892794966697693, cd=0.09620048105716705, cm=0.010684341192245483
  Angle 8: cl=0.779910147190094, cd=0.10200051218271255, cm=0.009997233748435974
  Angle 9: cl=0.8751979470252991, cd=0.10614042729139328, cm=0.0017451047897338867
  Angle 10: cl=0.9735350012779236, cd=0.11233477294445038, cm=-0.006075993180274963
Genotype [0.0085, 0.45322157866542256, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566]:
  Angle -10: cl=-0.5589150786399841, cd=0.230120450258255, cm=-0.18866734206676483
  Angle -9: cl=-0.5895737409591675, cd=0.19752153754234314, cm=-0.18448777496814728
  Angle -8: cl=-0.6123821139335632, cd=0.16232934594154358, cm=-0.18252630531787872
  Angle -7: cl=-0.6475294828414917, cd=0.1288314163684845, cm=-0.17654316127300262
  Angle -6: cl=-0.6076833605766296, cd=0.11453035473823547, cm=-0.16179855167865753
  Angle -5: cl=-0.5027521252632141, cd=0.10382509231567383, cm=-0.14923422038555145
  Angle -4: cl=-0.4067205786705017, cd=0.09845798462629318, cm=-0.1361442655324936
  Angle -3: cl=-0.30393558740615845, cd=0.09212573617696762, cm=-0.12181280553340912
  Angle -2: cl=-0.22983673214912415, cd=0.086505226790905, cm=-0.09801961481571198
  Angle -1: cl=-0.1695842742919922, cd=0.08222194761037827, cm=-0.06867001950740814
  Angle 0: cl=-0.10275052487850189, cd=0.08181003481149673, cm=-0.04022549092769623
  Angle 1: cl=-0.02040533907711506, cd=0.08237282186746597, cm=-0.017978206276893616
  Angle 2: cl=0.06208043545484543, cd=0.08310087025165558, cm=-0.002402693033218384
  Angle 3: cl=0.3068322539329529, cd=0.06911623477935791, cm=-0.0003542304039001465
  Angle 4: cl=0.4009837806224823, cd=0.07507620751857758, cm=0.004516109824180603
  Angle 5: cl=0.49855735898017883, cd=0.08342914283275604, cm=0.007886931300163269
  Angle 6: cl=0.5921593308448792, cd=0.0904134213924408, cm=0.010175466537475586
  Angle 7: cl=0.6828184127807617, cd=0.09699435532093048, cm=0.012295305728912354
  Angle 8: cl=0.7738541960716248, cd=0.10210764408111572, cm=0.009937062859535217
  Angle 9: cl=0.867985188961029, cd=0.10609933733940125, cm=0.0017347484827041626
  Angle 10: cl=0.9675859808921814, cd=0.11068099737167358, cm=-0.0063122957944869995
Genotype [0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566]:
  Angle -10: cl=-0.5619860887527466, cd=0.2298855185508728, cm=-0.18885482847690582
  Angle -9: cl=-0.5881945490837097, cd=0.19644829630851746, cm=-0.1860697716474533
  Angle -8: cl=-0.611199140548706, cd=0.16147157549858093, cm=-0.18465180695056915
  Angle -7: cl=-0.6501156091690063, cd=0.12772782146930695, cm=-0.17823143303394318
  Angle -6: cl=-0.6057190895080566, cd=0.11371588706970215, cm=-0.16289477050304413
  Angle -5: cl=-0.5054047703742981, cd=0.10394620895385742, cm=-0.1497889906167984
  Angle -4: cl=-0.4127010107040405, cd=0.09900795668363571, cm=-0.1365557461977005
  Angle -3: cl=-0.31026068329811096, cd=0.09291789680719376, cm=-0.12250764667987823
  Angle -2: cl=-0.23690760135650635, cd=0.08744487911462784, cm=-0.09831200540065765
  Angle -1: cl=-0.17625465989112854, cd=0.08281441777944565, cm=-0.06907828152179718
  Angle 0: cl=-0.10565876960754395, cd=0.08225996047258377, cm=-0.041348233819007874
  Angle 1: cl=-0.022229673340916634, cd=0.08275198191404343, cm=-0.019581899046897888
  Angle 2: cl=0.06129211187362671, cd=0.08357100933790207, cm=-0.00424976646900177
  Angle 3: cl=0.30922800302505493, cd=0.06823471188545227, cm=-0.0016932040452957153
  Angle 4: cl=0.4058474898338318, cd=0.07453223317861557, cm=0.0029767602682113647
  Angle 5: cl=0.504153311252594, cd=0.08280789107084274, cm=0.006381124258041382
  Angle 6: cl=0.5994347929954529, cd=0.08962308615446091, cm=0.00826302170753479
  Angle 7: cl=0.6892794966697693, cd=0.09620048105716705, cm=0.010684341192245483
  Angle 8: cl=0.779910147190094, cd=0.10200051218271255, cm=0.009997233748435974
  Angle 9: cl=0.8751979470252991, cd=0.10614042729139328, cm=0.0017451047897338867
  Angle 10: cl=0.9735350012779236, cd=0.11233477294445038, cm=-0.006075993180274963
Genotype [0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.0025, 7.973870710070288, 10.052788993393566]:
  Angle -10: cl=-0.5619860887527466, cd=0.2298855185508728, cm=-0.18885482847690582
  Angle -9: cl=-0.5881945490837097, cd=0.19644829630851746, cm=-0.1860697716474533
  Angle -8: cl=-0.611199140548706, cd=0.16147157549858093, cm=-0.18465180695056915
  Angle -7: cl=-0.6501156091690063, cd=0.12772782146930695, cm=-0.17823143303394318
  Angle -6: cl=-0.6057190895080566, cd=0.11371588706970215, cm=-0.16289477050304413
  Angle -5: cl=-0.5054047703742981, cd=0.10394620895385742, cm=-0.1497889906167984
  Angle -4: cl=-0.4127010107040405, cd=0.09900795668363571, cm=-0.1365557461977005
  Angle -3: cl=-0.31026068329811096, cd=0.09291789680719376, cm=-0.12250764667987823
  Angle -2: cl=-0.23690760135650635, cd=0.08744487911462784, cm=-0.09831200540065765
  Angle -1: cl=-0.17625465989112854, cd=0.08281441777944565, cm=-0.06907828152179718
  Angle 0: cl=-0.10565876960754395, cd=0.08225996047258377, cm=-0.041348233819007874
  Angle 1: cl=-0.022229673340916634, cd=0.08275198191404343, cm=-0.019581899046897888
  Angle 2: cl=0.06129211187362671, cd=0.08357100933790207, cm=-0.00424976646900177
  Angle 3: cl=0.30922800302505493, cd=0.06823471188545227, cm=-0.0016932040452957153
  Angle 4: cl=0.4058474898338318, cd=0.07453223317861557, cm=0.0029767602682113647
  Angle 5: cl=0.504153311252594, cd=0.08280789107084274, cm=0.006381124258041382
  Angle 6: cl=0.5994347929954529, cd=0.08962308615446091, cm=0.00826302170753479
  Angle 7: cl=0.6892794966697693, cd=0.09620048105716705, cm=0.010684341192245483
  Angle 8: cl=0.779910147190094, cd=0.10200051218271255, cm=0.009997233748435974
  Angle 9: cl=0.8751979470252991, cd=0.10614042729139328, cm=0.0017451047897338867
  Angle 10: cl=0.9735350012779236, cd=0.11233477294445038, cm=-0.006075993180274963
Genotype [0.0085, 0.46, 0.13, -0.8648886552787202, 0.26, -0.023, 0.15294901280036288, -0.003, 0.005, 7.973870710070288, 10.052788993393566]:
  Angle -10: cl=-0.5387409925460815, cd=0.2210414856672287, cm=-0.1859407275915146
  Angle -9: cl=-0.5600879788398743, cd=0.18735477328300476, cm=-0.18423886597156525
  Angle -8: cl=-0.5830419063568115, cd=0.1531367003917694, cm=-0.18122489750385284
  Angle -7: cl=-0.6136249899864197, cd=0.12619180977344513, cm=-0.170938178896904
  Angle -6: cl=-0.6006376147270203, cd=0.10994229465723038, cm=-0.15863187611103058
  Angle -5: cl=-0.5221977829933167, cd=0.10331352800130844, cm=-0.14298485219478607
  Angle -4: cl=-0.4223715662956238, cd=0.09733518213033676, cm=-0.12956242263317108
  Angle -3: cl=-0.3302803337574005, cd=0.09028512239456177, cm=-0.11046729981899261
  Angle -2: cl=-0.26944929361343384, cd=0.0845852941274643, cm=-0.08230195939540863
  Angle -1: cl=-0.2100132256746292, cd=0.08056259900331497, cm=-0.05305732786655426
  Angle 0: cl=-0.1414472907781601, cd=0.0802917331457138, cm=-0.02664177119731903
  Angle 1: cl=-0.07186587899923325, cd=0.08538512885570526, cm=-0.008475139737129211
  Angle 2: cl=0.012634044513106346, cd=0.09038077294826508, cm=0.0029844194650650024
  Angle 3: cl=0.24705685675144196, cd=0.07859468460083008, cm=0.0040656328201293945
  Angle 4: cl=0.33689749240875244, cd=0.08426133543252945, cm=0.009550347924232483
  Angle 5: cl=0.43261095881462097, cd=0.08997189998626709, cm=0.012700110673904419
  Angle 6: cl=0.533272922039032, cd=0.09634143859148026, cm=0.01533670723438263
  Angle 7: cl=0.6261752247810364, cd=0.10109228640794754, cm=0.013023436069488525
