Experiment: Nash_Combination_Experiment_28
Generation: 30
Generation Type: v
Timestamp: 20231226_112441

Genotypes and their Fitness Values:
[0.0085, 0.44338785627630095, 0.13, -0.8300748863261256, 0.26, -0.023, 0.08915978411828962, -0.003, 0.0025, 7.54453173641469, 10.478011911737893] - Base Fitness: 0.17175903609689275, Adjusted Fitness: 0.17175903609689275
[0.0085, 0.44338785627630095, 0.13, -0.8300748863261256, 0.26, -0.023, 0.08915978411828962, -0.003, 0.0025, 7.5524680789748535, 10.710141864193071] - Base Fitness: 0.14636175252491887, Adjusted Fitness: 0.14636175252491887
[0.0085, 0.45561664890470327, 0.13, -0.8672098663490658, 0.2588928645812939, -0.023, 0.07997214551352856, -0.003, 0.0025, 7.58534601066278, 10.677244401098491] - Base Fitness: 0.14839129521901143, Adjusted Fitness: 0.14839129521901143
[0.0085, 0.45561664890470327, 0.13, -0.8300748863261256, 0.26, -0.023, 0.09216481025283808, -0.003, 0.0025, 7.600957299810562, 10.710141864193071] - Base Fitness: 0.15788391246127867, Adjusted Fitness: 0.15788391246127867
[0.0085, 0.45561664890470327, 0.13, -0.8300748863261256, 0.26, -0.023, 0.08915978411828962, -0.003, 0.0025, 7.54453173641469, 10.478011911737893] - Base Fitness: 0.18839017913658437, Adjusted Fitness: 0.18839017913658437
[0.0085, 0.43908382288720316, 0.13, -0.8672098663490658, 0.26, -0.023, 0.059602601837156745, -0.003, 0.0025, 8.379894678854743, 10.622504115659325] - Base Fitness: 0.12440001254521592, Adjusted Fitness: 0.12440001254521592
[0.0085, 0.46, 0.13, -0.8300748863261256, 0.26, -0.023, 0.08915978411828962, -0.003, 0.0025, 7.54453173641469, 10.478011911737893] - Base Fitness: 0.18884327197155912, Adjusted Fitness: 0.18884327197155912
[0.0126, 0.45561664890470327, 0.13, -0.8300748863261256, 0.26, -0.023, 0.08915978411828962, -0.003, 0.0025, 7.54453173641469, 10.500689457819368] - Base Fitness: -0.5231825497982265, Adjusted Fitness: -0.5231825497982265
[0.0085, 0.46, 0.13, -0.8959809445529923, 0.26, -0.023, 0.05, -0.003, 0.005, 7.54453173641469, 10.523240228877162] - Base Fitness: -0.06874041789682322, Adjusted Fitness: -0.06696016990840929
[0.0085, 0.45561664890470327, 0.13, -0.8300748863261256, 0.26, -0.023, 0.059602601837156745, -0.003, 0.0025, 8.379894678854743, 10.622504115659325] - Base Fitness: 0.1450656553269183, Adjusted Fitness: 0.1450656553269183
[0.0085, 0.43908382288720316, 0.13, -0.897715996173992, 0.26, -0.023, 0.07997214551352856, -0.003, 0.0025, 7.58534601066278, 10.710141864193071] - Base Fitness: 0.14704112115199794, Adjusted Fitness: 0.14704112115199794
[0.0085, 0.43908382288720316, 0.13, -0.8622777940830476, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.5524680789748535, 10.710141864193071] - Base Fitness: 0.16357375323606838, Adjusted Fitness: 0.16357375323606838
[0.0085, 0.45561664890470327, 0.13, -0.897715996173992, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.379894678854743, 10.478011911737893] - Base Fitness: 0.17179966380010553, Adjusted Fitness: 0.17179966380010553
[0.0085, 0.43908382288720316, 0.13, -0.8672098663490658, 0.26, -0.023, 0.09216481025283808, -0.003, 0.0025, 7.600957299810562, 10.710141864193071] - Base Fitness: 0.13683150519610082, Adjusted Fitness: 0.13683150519610082
[0.0085, 0.43908382288720316, 0.13, -0.8672098663490658, 0.26, -0.023, 0.08915978411828962, -0.003, 0.0025, 8.379894678854743, 10.478011911737893] - Base Fitness: 0.12255367564970027, Adjusted Fitness: 0.1252439063822997
[0.0085, 0.45561664890470327, 0.13, -0.8300748863261256, 0.26, -0.023, 0.08915978411828962, -0.003, 0.0025, 7.54453173641469, 10.478011911737893] - Base Fitness: 0.18839017913658437, Adjusted Fitness: 0.18839017913658437
[0.0085, 0.43908382288720316, 0.13, -0.897715996173992, 0.26, -0.023, 0.05055556914033463, -0.003, 0.0025, 8.379894678854743, 10.478011911737893] - Base Fitness: 0.14743791373608223, Adjusted Fitness: 0.14743791373608223
[0.0085, 0.43908382288720316, 0.11, -0.897715996173992, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.379894678854743, 10.478011911737893] - Base Fitness: -0.5513708934303877, Adjusted Fitness: -0.5452948484935468
[0.0085, 0.45561664890470327, 0.13, -0.8300748863261256, 0.26, -0.023, 0.08915978411828962, -0.003, 0.0025, 7.54453173641469, 10.478011911737893] - Base Fitness: 0.18839017913658437, Adjusted Fitness: 0.18839017913658437
[0.0085, 0.45561664890470327, 0.13, -0.897715996173992, 0.26, -0.023, 0.05055556914033463, -0.003, 0.005, 7.581045184134833, 10.432562872972214] - Base Fitness: -0.0631780759669894, Adjusted Fitness: -0.06140218141804894
[0.0085, 0.43908382288720316, 0.13, -0.897715996173992, 0.26, -0.023, 0.05055556914033463, -0.003, 0.0025, 7.581045184134833, 10.432562872972214] - Base Fitness: 0.19448982388560057, Adjusted Fitness: 0.19448982388560057
[0.0085, 0.45561664890470327, 0.13, -0.897715996173992, 0.26, -0.023, 0.05055556914033463, -0.003, 0.0025, 7.500353700525404, 10.523240228877162] - Base Fitness: 0.21129134166384056, Adjusted Fitness: 0.21129134166384056
[0.0085, 0.45561664890470327, 0.13, -0.8300748863261256, 0.26, -0.023, 0.08915978411828962, -0.003, 0.005, 7.5524680789748535, 10.710141864193071] - Base Fitness: -0.11898953875218116, Adjusted Fitness: -0.1175607052930756
[0.0085, 0.45561664890470327, 0.13, -0.8672098663490658, 0.26, -0.023, 0.08915978411828962, -0.003, 0.0025, 7.54453173641469, 10.478011911737893] - Base Fitness: 0.19065099897714938, Adjusted Fitness: 0.19065099897714938
[0.0085, 0.43908382288720316, 0.13, -0.897715996173992, 0.26, -0.023, 0.07997214551352856, -0.003, 0.0025, 7.5524680789748535, 10.710141864193071] - Base Fitness: 0.1487254535209626, Adjusted Fitness: 0.1487254535209626
[0.0085, 0.43908382288720316, 0.13, -0.8959809445529923, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.423632538951702, 10.478011911737893] - Base Fitness: 0.1453251228811833, Adjusted Fitness: 0.1453251228811833
[0.0085, 0.45561664890470327, 0.13, -0.8300748863261256, 0.26, -0.023, 0.08915978411828962, -0.003, 0.0025, 7.54453173641469, 10.478011911737893] - Base Fitness: 0.18839017913658437, Adjusted Fitness: 0.18839017913658437
[0.0085, 0.45561664890470327, 0.13, -0.8672098663490658, 0.2588928645812939, -0.023, 0.07997214551352856, -0.003, 0.0025, 8.379894678854743, 10.436182857975723] - Base Fitness: 0.13093857002412354, Adjusted Fitness: 0.13093857002412354
[0.0085, 0.46, 0.13, -0.897715996173992, 0.26, -0.023, 0.07997214551352856, -0.003, 0.0025, 7.58534601066278, 10.710141864193071] - Base Fitness: 0.1709514624258624, Adjusted Fitness: 0.1709514624258624
[0.0085, 0.46, 0.13, -0.8767124526026913, 0.2588928645812939, -0.023, 0.05, -0.003, 0.0025, 8.379894678854743, 10.478011911737893] - Base Fitness: 0.14857622840719648, Adjusted Fitness: 0.14857622840719648
[0.0085, 0.43908382288720316, 0.13, -0.897715996173992, 0.26, -0.023, 0.12098707937845535, -0.003, 0.0025, 7.58534601066278, 10.710141864193071] - Base Fitness: 0.12286187729680006, Adjusted Fitness: 0.12286187729680006
[0.0085, 0.46, 0.13, -0.8300748863261256, 0.26, -0.023, 0.08915978411828962, -0.003, 0.0025, 7.54453173641469, 10.478011911737893] - Base Fitness: 0.18884327197155912, Adjusted Fitness: 0.18884327197155912
[0.0085, 0.46, 0.13, -0.8959809445529923, 0.26, -0.023, 0.05055556914033463, -0.003, 0.0025, 8.379894678854743, 10.478011911737893] - Base Fitness: 0.1742586991992169, Adjusted Fitness: 0.1742586991992169
[0.0085, 0.45561664890470327, 0.13, -0.8300748863261256, 0.26, -0.023, 0.08915978411828962, -0.003, 0.0025, 7.54453173641469, 10.478011911737893] - Base Fitness: 0.18839017913658437, Adjusted Fitness: 0.18839017913658437
[0.0085, 0.45561664890470327, 0.13, -0.8300748863261256, 0.26, -0.023, 0.08915978411828962, -0.003, 0.0025, 7.54453173641469, 10.478011911737893] - Base Fitness: 0.18839017913658437, Adjusted Fitness: 0.18839017913658437
[0.0085, 0.43908382288720316, 0.13, -0.897715996173992, 0.26, -0.023, 0.05055556914033463, -0.003, 0.0025, 8.368354330411877, 10.478011911737893] - Base Fitness: 0.14797365293517714, Adjusted Fitness: 0.14797365293517714
[0.0085, 0.45561664890470327, 0.13, -0.897715996173992, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.379894678854743, 10.436182857975723] - Base Fitness: 0.1766766683743178, Adjusted Fitness: 0.1766766683743178
[0.0085, 0.43908382288720316, 0.13, -0.897715996173992, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.379894678854743, 10.478011911737893] - Base Fitness: 0.14781166009546176, Adjusted Fitness: 0.14781166009546176
[0.0085, 0.46, 0.13, -0.8959809445529923, 0.26, -0.023, 0.07997214551352856, -0.003, 0.0025, 7.58534601066278, 10.710141864193071] - Base Fitness: 0.17089088172856554, Adjusted Fitness: 0.17089088172856554
[0.0085, 0.43908382288720316, 0.13, -0.897715996173992, 0.26, -0.023, 0.05055556914033463, -0.003, 0.0025, 7.54453173641469, 10.523240228877162] - Base Fitness: 0.1862271300617684, Adjusted Fitness: 0.1862271300617684
[0.0085, 0.46, 0.13, -0.8767124526026913, 0.26, -0.023, 0.09216481025283808, -0.003, 0.0025, 7.600957299810562, 10.710141864193071] - Base Fitness: 0.16192330628853957, Adjusted Fitness: 0.16192330628853957
[0.0085, 0.43908382288720316, 0.11, -0.897715996173992, 0.26, -0.023, 0.05055556914033463, -0.003, 0.0025, 7.581045184134833, 10.478011911737893] - Base Fitness: -0.5150326847827799, Adjusted Fitness: -0.5150326847827799
[0.0085, 0.43908382288720316, 0.13, -0.897715996173992, 0.26, -0.015, 0.05055556914033463, -0.003, 0.0025, 8.372877787890028, 10.478011911737893] - Base Fitness: -0.45733924916405533, Adjusted Fitness: -0.4569897582874513
[0.0085, 0.43908382288720316, 0.13, -0.897715996173992, 0.26, -0.023, 0.07997214551352856, -0.003, 0.0025, 7.5524680789748535, 10.710141864193071] - Base Fitness: 0.1487254535209626, Adjusted Fitness: 0.1487254535209626
[0.0085, 0.44338785627630095, 0.13, -0.8300748863261256, 0.26, -0.023, 0.08915978411828962, -0.003, 0.0025, 7.54453173641469, 10.478011911737893] - Base Fitness: 0.17175903609689275, Adjusted Fitness: 0.17175903609689275
[0.0085, 0.45561664890470327, 0.13, -0.9, 0.2588928645812939, -0.023, 0.12911506368861228, -0.003, 0.0025, 7.54453173641469, 10.478011911737893] - Base Fitness: 0.14568556091147428, Adjusted Fitness: 0.14568556091147428
[0.0085, 0.45561664890470327, 0.13, -0.8300748863261256, 0.26, -0.023, 0.08915978411828962, -0.006, 0.0025, 7.54453173641469, 10.478011911737893] - Base Fitness: -0.26717225334645883, Adjusted Fitness: -0.2655712207636927
[0.0085, 0.45561664890470327, 0.13, -0.8300748863261256, 0.26, -0.023, 0.08915978411828962, -0.003, 0.0025, 7.54453173641469, 10.478011911737893] - Base Fitness: 0.18839017913658437, Adjusted Fitness: 0.18839017913658437
[0.0126, 0.44338785627630095, 0.13, -0.8300748863261256, 0.26, -0.023, 0.08915978411828962, -0.003, 0.0025, 7.54453173641469, 10.622504115659325] - Base Fitness: -0.5310724963420327, Adjusted Fitness: -0.5298494264524368
[0.0085, 0.43908382288720316, 0.13, -0.8672098663490658, 0.2588928645812939, -0.023, 0.07997214551352856, -0.003, 0.0025, 7.5524680789748535, 10.622504115659325] - Base Fitness: 0.1325510867567738, Adjusted Fitness: 0.1325510867567738

Detailed Results for Each Genotype:
Genotype [0.0085, 0.44338785627630095, 0.13, -0.8300748863261256, 0.26, -0.023, 0.08915978411828962, -0.003, 0.0025, 7.54453173641469, 10.478011911737893]:
  Angle -10: cl=-0.5589271187782288, cd=0.23261457681655884, cm=-0.1886696070432663
  Angle -9: cl=-0.5952177047729492, cd=0.2018277496099472, cm=-0.182027205824852
  Angle -8: cl=-0.6182752251625061, cd=0.16664136946201324, cm=-0.17982138693332672
  Angle -7: cl=-0.6474320888519287, cd=0.13254664838314056, cm=-0.17495520412921906
  Angle -6: cl=-0.6138067841529846, cd=0.11670539528131485, cm=-0.1612314134836197
  Angle -5: cl=-0.5044286251068115, cd=0.10530798137187958, cm=-0.14856381714344025
  Angle -4: cl=-0.397548109292984, cd=0.09763630479574203, cm=-0.13687650859355927
  Angle -3: cl=-0.29384157061576843, cd=0.09109324216842651, cm=-0.12234316766262054
  Angle -2: cl=-0.21489113569259644, cd=0.08529022336006165, cm=-0.10046185553073883
  Angle -1: cl=-0.1555260568857193, cd=0.08148100227117538, cm=-0.0709785670042038
  Angle 0: cl=-0.09232379496097565, cd=0.08108257502317429, cm=-0.04121376574039459
  Angle 1: cl=-0.013976389542222023, cd=0.08183334767818451, cm=-0.01788116991519928
  Angle 2: cl=0.06716755032539368, cd=0.08245446532964706, cm=-0.002089083194732666
  Angle 3: cl=0.30608585476875305, cd=0.06913194060325623, cm=0.0008913576602935791
  Angle 4: cl=0.3956380784511566, cd=0.07481077313423157, cm=0.006186366081237793
  Angle 5: cl=0.49245473742485046, cd=0.08317865431308746, cm=0.009556248784065247
  Angle 6: cl=0.5827401280403137, cd=0.09068848937749863, cm=0.012442618608474731
  Angle 7: cl=0.6746300458908081, cd=0.0972418561577797, cm=0.014236986637115479
  Angle 8: cl=0.7655020952224731, cd=0.1018231213092804, cm=0.010854840278625488
  Angle 9: cl=0.8578811883926392, cd=0.10554567724466324, cm=0.0026880502700805664
  Angle 10: cl=0.9572629332542419, cd=0.11013267934322357, cm=-0.005372568964958191
Genotype [0.0085, 0.44338785627630095, 0.13, -0.8300748863261256, 0.26, -0.023, 0.08915978411828962, -0.003, 0.0025, 7.5524680789748535, 10.710141864193071]:
  Angle -10: cl=-0.5591681599617004, cd=0.23220624029636383, cm=-0.18838544189929962
  Angle -9: cl=-0.5952562689781189, cd=0.2013975828886032, cm=-0.18184663355350494
  Angle -8: cl=-0.6183382272720337, cd=0.16628286242485046, cm=-0.179578498005867
  Angle -7: cl=-0.6477813720703125, cd=0.1321590542793274, cm=-0.1744184046983719
  Angle -6: cl=-0.6150233745574951, cd=0.11654428392648697, cm=-0.16079001128673553
  Angle -5: cl=-0.5050137639045715, cd=0.10508943349123001, cm=-0.14816288650035858
  Angle -4: cl=-0.39901864528656006, cd=0.09755758196115494, cm=-0.13647787272930145
  Angle -3: cl=-0.2951395809650421, cd=0.09094047546386719, cm=-0.12177477777004242
  Angle -2: cl=-0.21681557595729828, cd=0.08505502343177795, cm=-0.09963814914226532
  Angle -1: cl=-0.15742744505405426, cd=0.08129356056451797, cm=-0.07016102969646454
  Angle 0: cl=-0.09460528194904327, cd=0.08090762048959732, cm=-0.040311649441719055
  Angle 1: cl=-0.017501013353466988, cd=0.08172284811735153, cm=-0.01688234508037567
  Angle 2: cl=0.06359896063804626, cd=0.08231367915868759, cm=-0.0010940134525299072
  Angle 3: cl=0.3013879656791687, cd=0.06974290311336517, cm=0.0013567805290222168
  Angle 4: cl=0.39036300778388977, cd=0.07523373514413834, cm=0.006732508540153503
  Angle 5: cl=0.48702719807624817, cd=0.08349952101707458, cm=0.010207325220108032
  Angle 6: cl=0.57759028673172, cd=0.09098682552576065, cm=0.012977898120880127
  Angle 7: cl=0.6699337363243103, cd=0.09754600375890732, cm=0.014727696776390076
  Angle 8: cl=0.7606245279312134, cd=0.10185659676790237, cm=0.010783955454826355
  Angle 9: cl=0.8528913259506226, cd=0.10559716820716858, cm=0.002541676163673401
  Angle 10: cl=0.9525604844093323, cd=0.11015605926513672, cm=-0.005535498261451721
Genotype [0.0085, 0.45561664890470327, 0.13, -0.8672098663490658, 0.2588928645812939, -0.023, 0.07997214551352856, -0.003, 0.0025, 7.58534601066278, 10.677244401098491]:
  Angle -10: cl=-0.5613880157470703, cd=0.23131702840328217, cm=-0.1888943761587143
  Angle -9: cl=-0.5920473337173462, cd=0.1987972855567932, cm=-0.1846168488264084
  Angle -8: cl=-0.6149601936340332, cd=0.16359998285770416, cm=-0.1826283484697342
  Angle -7: cl=-0.6513460874557495, cd=0.1295657753944397, cm=-0.17709718644618988
  Angle -6: cl=-0.6116239428520203, cd=0.11484019458293915, cm=-0.16214905679225922
  Angle -5: cl=-0.5060637593269348, cd=0.10399361699819565, cm=-0.14966033399105072
  Angle -4: cl=-0.4106261134147644, cd=0.09855426847934723, cm=-0.13658352196216583
  Angle -3: cl=-0.30769801139831543, cd=0.09233740717172623, cm=-0.12244682013988495
  Angle -2: cl=-0.23166507482528687, cd=0.08669696748256683, cm=-0.09923847019672394
  Angle -1: cl=-0.17136657238006592, cd=0.0822552889585495, cm=-0.06998847424983978
  Angle 0: cl=-0.10552844405174255, cd=0.0817539170384407, cm=-0.041196808218955994
  Angle 1: cl=-0.022830190137028694, cd=0.08228258788585663, cm=-0.018965378403663635
  Angle 2: cl=0.05989368259906769, cd=0.08301929384469986, cm=-0.003441229462623596
  Angle 3: cl=0.3017233610153198, cd=0.06873106956481934, cm=-0.0006418228149414062
  Angle 4: cl=0.397649347782135, cd=0.0744197815656662, cm=0.004201903939247131
  Angle 5: cl=0.49611014127731323, cd=0.08273623138666153, cm=0.007574155926704407
  Angle 6: cl=0.5898590087890625, cd=0.08979745209217072, cm=0.009890422224998474
  Angle 7: cl=0.680062472820282, cd=0.09637438505887985, cm=0.012055739760398865
  Angle 8: cl=0.7707266211509705, cd=0.10180291533470154, cm=0.010615020990371704
  Angle 9: cl=0.8647470474243164, cd=0.10577166080474854, cm=0.002415969967842102
  Angle 10: cl=0.9645565748214722, cd=0.11035743355751038, cm=-0.005597338080406189
Genotype [0.0085, 0.45561664890470327, 0.13, -0.8300748863261256, 0.26, -0.023, 0.09216481025283808, -0.003, 0.0025, 7.600957299810562, 10.710141864193071]:
  Angle -10: cl=-0.5616347193717957, cd=0.23166370391845703, cm=-0.18899761140346527
  Angle -9: cl=-0.5920475721359253, cd=0.19922150671482086, cm=-0.18466340005397797
  Angle -8: cl=-0.6148096323013306, cd=0.16400280594825745, cm=-0.18270783126354218
  Angle -7: cl=-0.6513784527778625, cd=0.1298108696937561, cm=-0.17733623087406158
  Angle -6: cl=-0.6113912463188171, cd=0.11501346528530121, cm=-0.16249419748783112
  Angle -5: cl=-0.5060401558876038, cd=0.10415532439947128, cm=-0.14990682899951935
  Angle -4: cl=-0.4097546339035034, cd=0.0985986739397049, cm=-0.13694645464420319
  Angle -3: cl=-0.3069136440753937, cd=0.09239432215690613, cm=-0.12283013761043549
  Angle -2: cl=-0.23040741682052612, cd=0.08677378296852112, cm=-0.09986837208271027
  Angle -1: cl=-0.17006342113018036, cd=0.08236046880483627, cm=-0.0705546885728836
  Angle 0: cl=-0.10379257798194885, cd=0.08182152360677719, cm=-0.04170773923397064
  Angle 1: cl=-0.020839253440499306, cd=0.08235344290733337, cm=-0.01953713595867157
  Angle 2: cl=0.061685748398303986, cd=0.08307299762964249, cm=-0.003969833254814148
  Angle 3: cl=0.3020458221435547, cd=0.06862666457891464, cm=-0.0007726401090621948
  Angle 4: cl=0.3996118903160095, cd=0.07423607259988785, cm=0.0039411187171936035
  Angle 5: cl=0.4978962540626526, cd=0.08253589272499084, cm=0.007337108254432678
  Angle 6: cl=0.5914177298545837, cd=0.08964187651872635, cm=0.00969785451889038
  Angle 7: cl=0.681675374507904, cd=0.0962250754237175, cm=0.011820271611213684
  Angle 8: cl=0.7722035646438599, cd=0.1017419844865799, cm=0.010684266686439514
  Angle 9: cl=0.8664524555206299, cd=0.1057174876332283, cm=0.0024800896644592285
  Angle 10: cl=0.9661029577255249, cd=0.11031010001897812, cm=-0.0055507272481918335
Genotype [0.0085, 0.45561664890470327, 0.13, -0.8300748863261256, 0.26, -0.023, 0.08915978411828962, -0.003, 0.0025, 7.54453173641469, 10.478011911737893]:
  Angle -10: cl=-0.5621234774589539, cd=0.2322191298007965, cm=-0.18922846019268036
  Angle -9: cl=-0.5922648906707764, cd=0.19979830086231232, cm=-0.18491242825984955
  Angle -8: cl=-0.6148808598518372, cd=0.1646333932876587, cm=-0.1831456869840622
  Angle -7: cl=-0.6513866186141968, cd=0.13039734959602356, cm=-0.1780114620923996
  Angle -6: cl=-0.6098893880844116, cd=0.1153605729341507, cm=-0.1633051186800003
  Angle -5: cl=-0.5042276382446289, cd=0.10432963073253632, cm=-0.1504574865102768
  Angle -4: cl=-0.4079979658126831, cd=0.09871932864189148, cm=-0.1375887542963028
  Angle -3: cl=-0.3054113984107971, cd=0.09260687232017517, cm=-0.1235874742269516
  Angle -2: cl=-0.2278505563735962, cd=0.08705724030733109, cm=-0.10100965201854706
  Angle -1: cl=-0.16724476218223572, cd=0.08259525150060654, cm=-0.07175825536251068
  Angle 0: cl=-0.09959757328033447, cd=0.0819547027349472, cm=-0.042988553643226624
  Angle 1: cl=-0.016566341742873192, cd=0.08252755552530289, cm=-0.020797327160835266
  Angle 2: cl=0.06569966673851013, cd=0.08323929458856583, cm=-0.005261674523353577
  Angle 3: cl=0.30629631876945496, cd=0.06800296902656555, cm=-0.001405864953994751
  Angle 4: cl=0.40608009696006775, cd=0.07375432550907135, cm=0.0031645745038986206
  Angle 5: cl=0.5042909979820251, cd=0.08207498490810394, cm=0.0066027045249938965
  Angle 6: cl=0.5973501205444336, cd=0.08920548856258392, cm=0.00898975133895874
  Angle 7: cl=0.6874963045120239, cd=0.09581328183412552, cm=0.011164352297782898
  Angle 8: cl=0.7779608964920044, cd=0.1016543060541153, cm=0.010895311832427979
  Angle 9: cl=0.872308611869812, cd=0.1056433916091919, cm=0.00270940363407135
  Angle 10: cl=0.9718330502510071, cd=0.11024180054664612, cm=-0.005332663655281067
Genotype [0.0085, 0.43908382288720316, 0.13, -0.8672098663490658, 0.26, -0.023, 0.059602601837156745, -0.003, 0.0025, 8.379894678854743, 10.622504115659325]:
  Angle -10: cl=-0.5557349920272827, cd=0.2293587327003479, cm=-0.1874002367258072
  Angle -9: cl=-0.5907289385795593, cd=0.19862495362758636, cm=-0.1813286691904068
  Angle -8: cl=-0.6147244572639465, cd=0.16390679776668549, cm=-0.17880405485630035
  Angle -7: cl=-0.6419966816902161, cd=0.13067136704921722, cm=-0.1722596138715744
  Angle -6: cl=-0.6134103536605835, cd=0.11597295850515366, cm=-0.15914936363697052
  Angle -5: cl=-0.5002156496047974, cd=0.10424748808145523, cm=-0.14656002819538116
  Angle -4: cl=-0.39522454142570496, cd=0.09676933288574219, cm=-0.13423998653888702
  Angle -3: cl=-0.29115596413612366, cd=0.09009752422571182, cm=-0.11950020492076874
  Angle -2: cl=-0.21756887435913086, cd=0.08410970121622086, cm=-0.09566695988178253
  Angle -1: cl=-0.15846461057662964, cd=0.08073660731315613, cm=-0.06608618795871735
  Angle 0: cl=-0.09549150615930557, cd=0.08066101372241974, cm=-0.03669749200344086
  Angle 1: cl=-0.02193876914680004, cd=0.0815325528383255, cm=-0.012803569436073303
  Angle 2: cl=0.05930482596158981, cd=0.08408816158771515, cm=0.0012059211730957031
  Angle 3: cl=0.29382967948913574, cd=0.07233210653066635, cm=0.003367185592651367
  Angle 4: cl=0.38117659091949463, cd=0.0779242292046547, cm=0.008729636669158936
  Angle 5: cl=0.47643449902534485, cd=0.08544911444187164, cm=0.01236240565776825
  Angle 6: cl=0.5678526759147644, cd=0.09282149374485016, cm=0.01509404182434082
  Angle 7: cl=0.661220371723175, cd=0.09935739636421204, cm=0.016663119196891785
  Angle 8: cl=0.7529245018959045, cd=0.10250520706176758, cm=0.009475186467170715
  Angle 9: cl=0.8448381423950195, cd=0.10622449219226837, cm=0.0012344121932983398
  Angle 10: cl=0.9437227845191956, cd=0.11077973246574402, cm=-0.006946131587028503
