Experiment: Nash_Combination_Experiment_28
Generation: 68
Generation Type: v
Timestamp: 20231226_113139

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.11, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.461698698010465, 10.349493043327282] - Base Fitness: -0.4950204104128627, Adjusted Fitness: -0.4950204104128627
[0.0085, 0.46, 0.13, -0.9, 0.2257981955321266, -0.023, 0.05, -0.006, 0.0025, 7.483035202921895, 10.360616773754085] - Base Fitness: -1.0260342226690846, Adjusted Fitness: -1.0260342226690846
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.349493043327282] - Base Fitness: 0.2349267768103954, Adjusted Fitness: 0.2349267768103954
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.483035202921895, 10.349493043327282] - Base Fitness: 0.23337643499047817, Adjusted Fitness: 0.23337643499047817
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.349493043327282] - Base Fitness: 0.2349267768103954, Adjusted Fitness: 0.2349267768103954
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.360616773754085] - Base Fitness: 0.23372577491691546, Adjusted Fitness: 0.23372577491691546
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.312171424914121] - Base Fitness: 0.23898311226322577, Adjusted Fitness: 0.23898311226322577
[0.0085, 0.46, 0.11891352631786228, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.468797321380772, 10.34032038928946] - Base Fitness: -0.18431739662126556, Adjusted Fitness: -0.18431739662126556
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.4271032821440075, 10.404300082682225] - Base Fitness: 0.22917246564337693, Adjusted Fitness: 0.22917246564337693
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.461698698010465, 10.349493043327282] - Base Fitness: 0.23387540921022235, Adjusted Fitness: 0.23387540921022235
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.349493043327282] - Base Fitness: 0.2349267768103954, Adjusted Fitness: 0.2349267768103954
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.461698698010465, 10.349493043327282] - Base Fitness: 0.23387540921022235, Adjusted Fitness: 0.23387540921022235
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.312196109507145] - Base Fitness: 0.23898290371471817, Adjusted Fitness: 0.23898290371471817
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.435975825170184, 10.360616773754085] - Base Fitness: -0.40613633294507107, Adjusted Fitness: -0.40613633294507107
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.323660725826617] - Base Fitness: 0.23504480931394414, Adjusted Fitness: 0.23504480931394414
[0.0085, 0.46, 0.13, -0.867751996598734, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.349493043327282] - Base Fitness: 0.23281030320646015, Adjusted Fitness: 0.23281030320646015
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.365230544385405] - Base Fitness: 0.23323217487623568, Adjusted Fitness: 0.23323217487623568
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.360616773754085] - Base Fitness: 0.23372577491691546, Adjusted Fitness: 0.23372577491691546
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.468797321380772, 10.34032038928946] - Base Fitness: 0.23478530082668558, Adjusted Fitness: 0.23478530082668558
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.435975825170184, 10.349493043327282] - Base Fitness: -0.22673777362521125, Adjusted Fitness: -0.22673777362521125
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.390240082343645, 10.372246458388554] - Base Fitness: 0.23466489049020262, Adjusted Fitness: 0.23466489049020262
[0.0085, 0.42870984301702747, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.461470685732368, 10.360616773754085] - Base Fitness: 0.18375290143805087, Adjusted Fitness: 0.18375290143805087
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.4271032821440075, 10.360616773754085] - Base Fitness: 0.23404027564827115, Adjusted Fitness: 0.23404027564827115
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.461698698010465, 10.349493043327282] - Base Fitness: 0.23387540921022235, Adjusted Fitness: 0.23387540921022235
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.349493043327282] - Base Fitness: 0.2349267768103954, Adjusted Fitness: 0.2349267768103954
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.349493043327282] - Base Fitness: 0.2349267768103954, Adjusted Fitness: 0.2349267768103954
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.349493043327282] - Base Fitness: 0.2349267768103954, Adjusted Fitness: 0.2349267768103954
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.468797321380772, 10.34032038928946] - Base Fitness: 0.23478530082668558, Adjusted Fitness: 0.23478530082668558
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.349493043327282] - Base Fitness: 0.2349267768103954, Adjusted Fitness: 0.2349267768103954
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.349493043327282] - Base Fitness: 0.2349267768103954, Adjusted Fitness: 0.2349267768103954
[0.0085, 0.46, 0.13, -0.9, 0.2529520004866223, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.349493043327282] - Base Fitness: 0.08098181424459824, Adjusted Fitness: 0.08098181424459824
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.461698698010465, 10.349493043327282] - Base Fitness: 0.23387540921022235, Adjusted Fitness: 0.23387540921022235
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.349493043327282] - Base Fitness: 0.2349267768103954, Adjusted Fitness: 0.2349267768103954
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.316656959755377] - Base Fitness: 0.2387422542416962, Adjusted Fitness: 0.2387422542416962
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.461698698010465, 10.349493043327282] - Base Fitness: 0.23387540921022235, Adjusted Fitness: 0.23387540921022235
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05219548226842907, -0.003, 0.0025, 7.435975825170184, 10.349493043327282] - Base Fitness: 0.23370360921994884, Adjusted Fitness: 0.23370360921994884
[0.0126, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.342699404063659] - Base Fitness: -0.48093241340409076, Adjusted Fitness: -0.48093241340409076
[0.0085, 0.46, 0.13, -0.9, 0.25861861468360847, -0.023, 0.05, -0.003, 0.0025, 7.461698698010465, 10.349493043327282] - Base Fitness: 0.20544125434016894, Adjusted Fitness: 0.20544125434016894
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.349493043327282] - Base Fitness: 0.2349267768103954, Adjusted Fitness: 0.2349267768103954
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.349493043327282] - Base Fitness: 0.2349267768103954, Adjusted Fitness: 0.2349267768103954
[0.0126, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.435975825170184, 10.360616773754085] - Base Fitness: -1.0073319312913764, Adjusted Fitness: -1.0073319312913764
[0.0085, 0.46, 0.13, -0.867751996598734, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.349493043327282] - Base Fitness: 0.23281030320646015, Adjusted Fitness: 0.23281030320646015
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.422720794999641, 10.349493043327282] - Base Fitness: 0.2355502793060142, Adjusted Fitness: 0.2355502793060142
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.360616773754085] - Base Fitness: 0.2310768824181325, Adjusted Fitness: 0.2310768824181325
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.349493043327282] - Base Fitness: 0.2349267768103954, Adjusted Fitness: 0.2349267768103954
[0.0085, 0.45165051335405443, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.360616773754085] - Base Fitness: 0.22934508831868516, Adjusted Fitness: 0.22934508831868516
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.468797321380772, 10.34032038928946] - Base Fitness: 0.23478530082668558, Adjusted Fitness: 0.23478530082668558
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.468797321380772, 10.34032038928946] - Base Fitness: 0.23478530082668558, Adjusted Fitness: 0.23478530082668558
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.468797321380772, 10.349493043327282] - Base Fitness: 0.23375782710704449, Adjusted Fitness: 0.23375782710704449
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.07611363016193903, -0.003, 0.0025, 7.504433427439821, 10.360616773754085] - Base Fitness: 0.21584653505047546, Adjusted Fitness: 0.21584653505047546

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.11, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.461698698010465, 10.349493043327282]:
  Angle -10: cl=-0.6161842942237854, cd=0.2327079474925995, cm=-0.18901579082012177
  Angle -9: cl=-0.6519606709480286, cd=0.20226049423217773, cm=-0.18094022572040558
  Angle -8: cl=-0.696151077747345, cd=0.17121528089046478, cm=-0.17499791085720062
  Angle -7: cl=-0.7165188789367676, cd=0.13887977600097656, cm=-0.1708454042673111
  Angle -6: cl=-0.6664800047874451, cd=0.12574143707752228, cm=-0.15761826932430267
  Angle -5: cl=-0.5725425481796265, cd=0.11065157502889633, cm=-0.14419762790203094
  Angle -4: cl=-0.46035879850387573, cd=0.09841887652873993, cm=-0.1327076107263565
  Angle -3: cl=-0.33017969131469727, cd=0.08670789003372192, cm=-0.12088210880756378
  Angle -2: cl=-0.2340564727783203, cd=0.07966921478509903, cm=-0.1010504812002182
  Angle -1: cl=-0.1740931272506714, cd=0.07566100358963013, cm=-0.0731499046087265
  Angle 0: cl=-0.11459426581859589, cd=0.07526838034391403, cm=-0.04320050776004791
  Angle 1: cl=-0.05614599585533142, cd=0.07606957852840424, cm=-0.0164366215467453
  Angle 2: cl=0.011495080776512623, cd=0.08082398027181625, cm=-0.001199275255203247
  Angle 3: cl=0.16649137437343597, cd=0.07622471451759338, cm=0.003791019320487976
  Angle 4: cl=0.3120868504047394, cd=0.07415120303630829, cm=0.008290231227874756
  Angle 5: cl=0.3948182463645935, cd=0.0795515775680542, cm=0.013227730989456177
  Angle 6: cl=0.47962766885757446, cd=0.08679415285587311, cm=0.016197457909584045
  Angle 7: cl=0.5640586614608765, cd=0.09418611228466034, cm=0.0194065123796463
  Angle 8: cl=0.6532343029975891, cd=0.10008274763822556, cm=0.020431101322174072
  Angle 9: cl=0.7428675293922424, cd=0.10310836136341095, cm=0.01307588815689087
  Angle 10: cl=0.8382238149642944, cd=0.10721145570278168, cm=0.00505441427230835
Genotype [0.0085, 0.46, 0.13, -0.9, 0.2257981955321266, -0.023, 0.05, -0.006, 0.0025, 7.483035202921895, 10.360616773754085]:
  Angle -10: cl=-0.5862356424331665, cd=0.1810428351163864, cm=-0.16363753378391266
  Angle -9: cl=-0.6216287016868591, cd=0.15491464734077454, cm=-0.15722288191318512
  Angle -8: cl=-0.6568499803543091, cd=0.12864136695861816, cm=-0.1485668569803238
  Angle -7: cl=-0.6928960680961609, cd=0.11038387566804886, cm=-0.12138877809047699
  Angle -6: cl=-0.6613131165504456, cd=0.09571996331214905, cm=-0.09633840620517731
  Angle -5: cl=-0.5824002027511597, cd=0.0907355472445488, cm=-0.07108844816684723
  Angle -4: cl=-0.5045053362846375, cd=0.0953410193324089, cm=-0.05620284378528595
  Angle -3: cl=-0.45846590399742126, cd=0.09840302914381027, cm=-0.0425955206155777
  Angle -2: cl=-0.4138636887073517, cd=0.1029106080532074, cm=-0.02769516408443451
  Angle -1: cl=-0.35548830032348633, cd=0.10660851746797562, cm=-0.013190105557441711
  Angle 0: cl=-0.2935110330581665, cd=0.110446996986866, cm=0.0009228140115737915
  Angle 1: cl=-0.22517919540405273, cd=0.11339869350194931, cm=0.008158370852470398
  Angle 2: cl=-0.06196707487106323, cd=0.10795293003320694, cm=0.006053835153579712
  Angle 3: cl=0.04905679076910019, cd=0.10923541337251663, cm=-0.0006386339664459229
  Angle 4: cl=0.18105387687683105, cd=0.10820009559392929, cm=-0.014661386609077454
  Angle 5: cl=0.2981628179550171, cd=0.10612218827009201, cm=-0.03176136314868927
  Angle 6: cl=0.41033443808555603, cd=0.10416203737258911, cm=-0.049642279744148254
  Angle 7: cl=0.5208626389503479, cd=0.1027379035949707, cm=-0.06879551708698273
  Angle 8: cl=0.6392423510551453, cd=0.10126374661922455, cm=-0.09136046469211578
  Angle 9: cl=0.7583639025688171, cd=0.09981796145439148, cm=-0.11454404890537262
  Angle 10: cl=0.8687325716018677, cd=0.09985078126192093, cm=-0.13624201714992523
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.349493043327282]:
  Angle -10: cl=-0.5650700330734253, cd=0.23337402939796448, cm=-0.1898389309644699
  Angle -9: cl=-0.5916963219642639, cd=0.20042988657951355, cm=-0.18623583018779755
  Angle -8: cl=-0.6146278381347656, cd=0.16545988619327545, cm=-0.18506203591823578
  Angle -7: cl=-0.6531402468681335, cd=0.13069462776184082, cm=-0.18020384013652802
  Angle -6: cl=-0.6076163649559021, cd=0.1160128191113472, cm=-0.16545473039150238
  Angle -5: cl=-0.500618040561676, cd=0.10423509776592255, cm=-0.15220282971858978
  Angle -4: cl=-0.40913110971450806, cd=0.09927704185247421, cm=-0.13899318873882294
  Angle -3: cl=-0.3073577582836151, cd=0.0934554859995842, cm=-0.12540055811405182
  Angle -2: cl=-0.22774729132652283, cd=0.08809385448694229, cm=-0.10348106920719147
  Angle -1: cl=-0.16679014265537262, cd=0.08337527513504028, cm=-0.0742613822221756
  Angle 0: cl=-0.09474024921655655, cd=0.0825154259800911, cm=-0.04612903296947479
  Angle 1: cl=-0.01114903949201107, cd=0.08296499401330948, cm=-0.024042770266532898
  Angle 2: cl=0.07263148576021194, cd=0.08386401832103729, cm=-0.008855000138282776
  Angle 3: cl=0.3060588538646698, cd=0.06843094527721405, cm=-0.003935292363166809
  Angle 4: cl=0.41903626918792725, cd=0.07260134816169739, cm=0.0010583847761154175
  Angle 5: cl=0.5177862048149109, cd=0.08087080717086792, cm=0.004465237259864807
  Angle 6: cl=0.6104347109794617, cd=0.08802644163370132, cm=0.006711184978485107
  Angle 7: cl=0.7002550959587097, cd=0.09461425244808197, cm=0.009172528982162476
  Angle 8: cl=0.790415346622467, cd=0.10128842294216156, cm=0.01095089316368103
  Angle 9: cl=0.8855441212654114, cd=0.1054728627204895, cm=0.0032053589820861816
  Angle 10: cl=0.9846169352531433, cd=0.11116389185190201, cm=-0.004704400897026062
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.483035202921895, 10.349493043327282]:
  Angle -10: cl=-0.5649973154067993, cd=0.23315034806728363, cm=-0.18976490199565887
  Angle -9: cl=-0.5914244651794434, cd=0.20011824369430542, cm=-0.1862289160490036
  Angle -8: cl=-0.6142114400863647, cd=0.16523347795009613, cm=-0.1850183755159378
  Angle -7: cl=-0.652952253818512, cd=0.1305115669965744, cm=-0.18009118735790253
  Angle -6: cl=-0.6073762774467468, cd=0.11583074182271957, cm=-0.1653297394514084
  Angle -5: cl=-0.5001256465911865, cd=0.10412702709436417, cm=-0.15217258036136627
  Angle -4: cl=-0.40922385454177856, cd=0.09927935898303986, cm=-0.13890285789966583
  Angle -3: cl=-0.30734166502952576, cd=0.09343470633029938, cm=-0.1252184957265854
  Angle -2: cl=-0.22811752557754517, cd=0.0880790650844574, cm=-0.10322855412960052
  Angle -1: cl=-0.1671895682811737, cd=0.08336299657821655, cm=-0.07398079335689545
  Angle 0: cl=-0.09505710005760193, cd=0.0825042575597763, cm=-0.04582159221172333
  Angle 1: cl=-0.011719966307282448, cd=0.08299121260643005, cm=-0.02381114661693573
  Angle 2: cl=0.07209427654743195, cd=0.08385985344648361, cm=-0.00861366093158722
  Angle 3: cl=0.3067109286785126, cd=0.06829514354467392, cm=-0.0037391334772109985
  Angle 4: cl=0.4186171889305115, cd=0.0727069079875946, cm=0.0011417865753173828
  Angle 5: cl=0.5170890688896179, cd=0.08098600804805756, cm=0.004588216543197632
  Angle 6: cl=0.6097512245178223, cd=0.08811801671981812, cm=0.006827503442764282
  Angle 7: cl=0.6996880173683167, cd=0.09469939023256302, cm=0.009241968393325806
  Angle 8: cl=0.789795994758606, cd=0.10139509290456772, cm=0.011092305183410645
  Angle 9: cl=0.8849331736564636, cd=0.10551896691322327, cm=0.0030995607376098633
  Angle 10: cl=0.9844269156455994, cd=0.11124581843614578, cm=-0.004810497164726257
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.349493043327282]:
  Angle -10: cl=-0.5650700330734253, cd=0.23337402939796448, cm=-0.1898389309644699
  Angle -9: cl=-0.5916963219642639, cd=0.20042988657951355, cm=-0.18623583018779755
  Angle -8: cl=-0.6146278381347656, cd=0.16545988619327545, cm=-0.18506203591823578
  Angle -7: cl=-0.6531402468681335, cd=0.13069462776184082, cm=-0.18020384013652802
  Angle -6: cl=-0.6076163649559021, cd=0.1160128191113472, cm=-0.16545473039150238
  Angle -5: cl=-0.500618040561676, cd=0.10423509776592255, cm=-0.15220282971858978
  Angle -4: cl=-0.40913110971450806, cd=0.09927704185247421, cm=-0.13899318873882294
  Angle -3: cl=-0.3073577582836151, cd=0.0934554859995842, cm=-0.12540055811405182
  Angle -2: cl=-0.22774729132652283, cd=0.08809385448694229, cm=-0.10348106920719147
  Angle -1: cl=-0.16679014265537262, cd=0.08337527513504028, cm=-0.0742613822221756
  Angle 0: cl=-0.09474024921655655, cd=0.0825154259800911, cm=-0.04612903296947479
  Angle 1: cl=-0.01114903949201107, cd=0.08296499401330948, cm=-0.024042770266532898
  Angle 2: cl=0.07263148576021194, cd=0.08386401832103729, cm=-0.008855000138282776
  Angle 3: cl=0.3060588538646698, cd=0.06843094527721405, cm=-0.003935292363166809
  Angle 4: cl=0.41903626918792725, cd=0.07260134816169739, cm=0.0010583847761154175
  Angle 5: cl=0.5177862048149109, cd=0.08087080717086792, cm=0.004465237259864807
  Angle 6: cl=0.6104347109794617, cd=0.08802644163370132, cm=0.006711184978485107
  Angle 7: cl=0.7002550959587097, cd=0.09461425244808197, cm=0.009172528982162476
  Angle 8: cl=0.790415346622467, cd=0.10128842294216156, cm=0.01095089316368103
  Angle 9: cl=0.8855441212654114, cd=0.1054728627204895, cm=0.0032053589820861816
  Angle 10: cl=0.9846169352531433, cd=0.11116389185190201, cm=-0.004704400897026062
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.360616773754085]:
  Angle -10: cl=-0.5650465488433838, cd=0.23338565230369568, cm=-0.18980558216571808
  Angle -9: cl=-0.5916476845741272, cd=0.20040985941886902, cm=-0.18622781336307526
  Angle -8: cl=-0.6146078705787659, cd=0.16543301939964294, cm=-0.18504731357097626
  Angle -7: cl=-0.6530903577804565, cd=0.13071855902671814, cm=-0.18016143143177032
  Angle -6: cl=-0.6077475547790527, cd=0.11598628014326096, cm=-0.16540350019931793
  Angle -5: cl=-0.5006588697433472, cd=0.10422730445861816, cm=-0.15220947563648224
  Angle -4: cl=-0.4092654883861542, cd=0.09927325695753098, cm=-0.13895751535892487
  Angle -3: cl=-0.30735141038894653, cd=0.09344218671321869, cm=-0.12538082897663116
  Angle -2: cl=-0.22783830761909485, cd=0.08809194713830948, cm=-0.10343940556049347
