Experiment: Nash_Combination_Experiment_28
Generation: 79
Generation Type: v
Timestamp: 20231226_113311

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.483153912520692, 10.349493043327282] - Base Fitness: 0.2333242244505226, Adjusted Fitness: 0.2388800145063239
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.022015705921188747, 0.05, -0.003, 0.0025, 7.483153912520692, 10.349493043327282] - Base Fitness: 0.15643673896139498, Adjusted Fitness: 0.15643673896139498
[0.0085, 0.46, 0.13, -0.8968544283211914, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.279833363025865] - Base Fitness: 0.24254443268493853, Adjusted Fitness: 0.24254443268493853
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.448593043040947, 10.323660725826617] - Base Fitness: 0.23743947149485345, Adjusted Fitness: 0.23743947149485345
[0.0085, 0.4231730528527537, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: 0.16444597290446558, Adjusted Fitness: 0.16638005790791865
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.448593043040947, 10.323660725826617] - Base Fitness: -0.04127639175157891, Adjusted Fitness: -0.04127639175157891
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.318752688426974] - Base Fitness: 0.23555618532023745, Adjusted Fitness: 0.23555618532023745
[0.0085, 0.46, 0.13, -0.8968544283211914, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.448593043040947, 10.323660725826617] - Base Fitness: -0.40322332974827857, Adjusted Fitness: -0.40322332974827857
[0.0085, 0.46, 0.13, -0.8587514956071123, 0.26, -0.023, 0.05430151976771953, -0.003, 0.005, 7.504433427439821, 10.318301967743727] - Base Fitness: -0.049103130911553015, Adjusted Fitness: -0.0489930549034812
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.279833363025865] - Base Fitness: 0.2427549435708658, Adjusted Fitness: 0.2427549435708658
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: 0.23241907666812972, Adjusted Fitness: 0.2676034710682032
[0.0085, 0.46, 0.11, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.323660725826617] - Base Fitness: -0.4945749056253565, Adjusted Fitness: -0.4945749056253565
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.28772678671772] - Base Fitness: 0.2388080120251309, Adjusted Fitness: 0.2388080120251309
[0.0126, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.448593043040947, 10.323660725826617] - Base Fitness: -0.47977840139396016, Adjusted Fitness: -0.47977840139396016
[0.0085, 0.46, 0.13, -0.9, 0.22333855176122655, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: -0.7414143784795746, Adjusted Fitness: -0.7414143784795746
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.28772678671772] - Base Fitness: 0.2417335995459593, Adjusted Fitness: 0.2417335995459593
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.323660725826617] - Base Fitness: 0.23504480931394414, Adjusted Fitness: 0.23504480931394414
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.479315229830317, 10.284497013824048] - Base Fitness: 0.24048487548845185, Adjusted Fitness: 0.24048487548845185
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.323660725826617] - Base Fitness: 0.23504480931394414, Adjusted Fitness: 0.23504480931394414
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.509593508466799, 10.323660725826617] - Base Fitness: 0.23495196032384086, Adjusted Fitness: 0.23495196032384086
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.28772678671772] - Base Fitness: 0.2417335995459593, Adjusted Fitness: 0.2417335995459593
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.004768253890001515, 7.435975825170184, 10.284497013824048] - Base Fitness: -0.00951530760325237, Adjusted Fitness: -0.00951530760325237
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.448593043040947, 10.323660725826617] - Base Fitness: 0.23743947149485345, Adjusted Fitness: 0.23743947149485345
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: 0.23241907666812972, Adjusted Fitness: 0.2676034710682032
[0.0085, 0.46, 0.13, -0.8968660720541236, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.319727452948172] - Base Fitness: 0.23825542741651312, Adjusted Fitness: 0.23825542741651312
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: 0.23241907666812972, Adjusted Fitness: 0.2676034710682032
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: 0.23241907666812972, Adjusted Fitness: 0.2676034710682032
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.504433427439821, 10.323660725826617] - Base Fitness: -0.044277948164952, Adjusted Fitness: -0.038926169785309
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.279833363025865] - Base Fitness: 0.2427549435708658, Adjusted Fitness: 0.2427549435708658
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.28772678671772] - Base Fitness: 0.2417335995459593, Adjusted Fitness: 0.2417335995459593
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.323660725826617] - Base Fitness: 0.23504480931394414, Adjusted Fitness: 0.23504480931394414
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.395133973872905, 10.284497013824048] - Base Fitness: 0.24396730395555713, Adjusted Fitness: 0.24396730395555713
[0.0085, 0.46, 0.11, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.279833363025865] - Base Fitness: -0.48658814571355596, Adjusted Fitness: -0.48658814571355596
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.435975825170184, 10.349493043327282] - Base Fitness: -0.04307572550642913, Adjusted Fitness: -0.042268854852719424
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.28772678671772] - Base Fitness: 0.2417335995459593, Adjusted Fitness: 0.2417335995459593
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.279833363025865] - Base Fitness: 0.2427549435708658, Adjusted Fitness: 0.2427549435708658
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.448593043040947, 10.323660725826617] - Base Fitness: 0.23743947149485345, Adjusted Fitness: 0.23743947149485345
[0.0085, 0.46, 0.13, -0.8745091714910597, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.28772678671772] - Base Fitness: 0.23693613923713253, Adjusted Fitness: 0.23693613923713253
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.349493043327282] - Base Fitness: 0.2349267768103954, Adjusted Fitness: 0.23493330703391602
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.279833363025865] - Base Fitness: 0.2427549435708658, Adjusted Fitness: 0.2427549435708658
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: 0.23241907666812972, Adjusted Fitness: 0.2676034710682032
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.435975825170184, 10.279833363025865] - Base Fitness: -0.035642121208460574, Adjusted Fitness: -0.035642121208460574
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.50653247397265, 10.349493043327282] - Base Fitness: 0.23232687895034956, Adjusted Fitness: 0.23232687895034956
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.00391434297719898, 0.0025, 7.448593043040947, 10.323660725826617] - Base Fitness: 0.05918540661408425, Adjusted Fitness: 0.05918540661408425
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.349493043327282] - Base Fitness: 0.2349267768103954, Adjusted Fitness: 0.23493330703391602
[0.009200158818934469, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.470333645377113, 10.349493043327282] - Base Fitness: 0.09507738163403735, Adjusted Fitness: 0.09507738163403735
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: 0.23241907666812972, Adjusted Fitness: 0.2676034710682032
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: -0.22971085497615598, Adjusted Fitness: -0.22971085497615598
[0.0085, 0.46, 0.13, -0.9, 0.2193533797143073, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.279833363025865] - Base Fitness: -0.8532028530963134, Adjusted Fitness: -0.8532028530963134
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: 0.23241907666812972, Adjusted Fitness: 0.2676034710682032

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.483153912520692, 10.349493043327282]:
  Angle -10: cl=-0.5649888515472412, cd=0.23314158618450165, cm=-0.1897614747285843
  Angle -9: cl=-0.5914238691329956, cd=0.20011816918849945, cm=-0.18622861802577972
  Angle -8: cl=-0.6142114400863647, cd=0.16523347795009613, cm=-0.1850183755159378
  Angle -7: cl=-0.652952253818512, cd=0.13051149249076843, cm=-0.1800912469625473
  Angle -6: cl=-0.6074893474578857, cd=0.11583202332258224, cm=-0.16531415283679962
  Angle -5: cl=-0.500125527381897, cd=0.10412696748971939, cm=-0.15217261016368866
  Angle -4: cl=-0.40922385454177856, cd=0.09927935898303986, cm=-0.13890285789966583
  Angle -3: cl=-0.3073415160179138, cd=0.09343472868204117, cm=-0.12521852552890778
  Angle -2: cl=-0.22811752557754517, cd=0.0880790650844574, cm=-0.10322855412960052
  Angle -1: cl=-0.1671895682811737, cd=0.08336299657821655, cm=-0.07398079335689545
  Angle 0: cl=-0.09505483508110046, cd=0.08250443637371063, cm=-0.04582051932811737
  Angle 1: cl=-0.011719832196831703, cd=0.08299127221107483, cm=-0.02381114661693573
  Angle 2: cl=0.07207991182804108, cd=0.08386007696390152, cm=-0.008612588047981262
  Angle 3: cl=0.3067096769809723, cd=0.06829522550106049, cm=-0.0037389546632766724
  Angle 4: cl=0.41863054037094116, cd=0.07270818948745728, cm=0.001143813133239746
  Angle 5: cl=0.5170896053314209, cd=0.08098602294921875, cm=0.00458817183971405
  Angle 6: cl=0.6097512245178223, cd=0.08811801671981812, cm=0.006827503442764282
  Angle 7: cl=0.6996880173683167, cd=0.09469939023256302, cm=0.009241968393325806
  Angle 8: cl=0.7897959351539612, cd=0.10139509290456772, cm=0.011092334985733032
  Angle 9: cl=0.8849331736564636, cd=0.10551896691322327, cm=0.0030995607376098633
  Angle 10: cl=0.9844118356704712, cd=0.1112554743885994, cm=-0.004828140139579773
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.022015705921188747, 0.05, -0.003, 0.0025, 7.483153912520692, 10.349493043327282]:
  Angle -10: cl=-0.5616859197616577, cd=0.23117516934871674, cm=-0.1888233870267868
  Angle -9: cl=-0.590808629989624, cd=0.19824548065662384, cm=-0.18514759838581085
  Angle -8: cl=-0.6135191917419434, cd=0.16312991082668304, cm=-0.1833776980638504
  Angle -7: cl=-0.6507196426391602, cd=0.12917694449424744, cm=-0.17761625349521637
  Angle -6: cl=-0.6099844574928284, cd=0.11438941210508347, cm=-0.162663534283638
  Angle -5: cl=-0.5067814588546753, cd=0.10397280007600784, cm=-0.14997972548007965
  Angle -4: cl=-0.411408007144928, cd=0.09871695190668106, cm=-0.13688789308071136
  Angle -3: cl=-0.3087833523750305, cd=0.09259855002164841, cm=-0.12291918694972992
  Angle -2: cl=-0.2335774004459381, cd=0.08704524487257004, cm=-0.09949268400669098
  Angle -1: cl=-0.17327427864074707, cd=0.08224816620349884, cm=-0.07033617794513702
  Angle 0: cl=-0.10541203618049622, cd=0.08170732110738754, cm=-0.042041435837745667
  Angle 1: cl=-0.023248741403222084, cd=0.08206463605165482, cm=-0.01986481249332428
  Angle 2: cl=0.05994246155023575, cd=0.08282250165939331, cm=-0.004287108778953552
  Angle 3: cl=0.3009170889854431, cd=0.06864752620458603, cm=-0.0012940913438796997
  Angle 4: cl=0.4000280201435089, cd=0.07412020117044449, cm=0.00338900089263916
  Angle 5: cl=0.4987048804759979, cd=0.08242792636156082, cm=0.0068355947732925415
  Angle 6: cl=0.5930946469306946, cd=0.08941387385129929, cm=0.008999839425086975
  Angle 7: cl=0.6831952929496765, cd=0.09598357230424881, cm=0.011225715279579163
  Angle 8: cl=0.7736558318138123, cd=0.10166237503290176, cm=0.010440647602081299
  Angle 9: cl=0.8682379722595215, cd=0.1056896522641182, cm=0.0022324025630950928
  Angle 10: cl=0.9674772620201111, cd=0.110764279961586, cm=-0.0057369619607925415
Genotype [0.0085, 0.46, 0.13, -0.8968544283211914, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.279833363025865]:
  Angle -10: cl=-0.5650867819786072, cd=0.23340578377246857, cm=-0.18985749781131744
  Angle -9: cl=-0.5914045572280884, cd=0.20039620995521545, cm=-0.1862638145685196
  Angle -8: cl=-0.6144809722900391, cd=0.1655888855457306, cm=-0.18514354526996613
  Angle -7: cl=-0.6530965566635132, cd=0.13081368803977966, cm=-0.18034906685352325
  Angle -6: cl=-0.6073520183563232, cd=0.11611967533826828, cm=-0.16559188067913055
  Angle -5: cl=-0.500010073184967, cd=0.10426586866378784, cm=-0.15237505733966827
  Angle -4: cl=-0.40879788994789124, cd=0.09932248294353485, cm=-0.13910384476184845
  Angle -3: cl=-0.3071190118789673, cd=0.09351032227277756, cm=-0.1254931539297104
  Angle -2: cl=-0.22723037004470825, cd=0.08815974742174149, cm=-0.1036754697561264
  Angle -1: cl=-0.16617250442504883, cd=0.0834365040063858, cm=-0.07448248565196991
  Angle 0: cl=-0.0938585177063942, cd=0.08255796879529953, cm=-0.04645483195781708
  Angle 1: cl=-0.010374890640377998, cd=0.0830090120434761, cm=-0.024297431111335754
  Angle 2: cl=0.07362210005521774, cd=0.08391037583351135, cm=-0.009181186556816101
  Angle 3: cl=0.3079758882522583, cd=0.06841099262237549, cm=-0.004285171627998352
  Angle 4: cl=0.4206155836582184, cd=0.072489432990551, cm=0.0008747130632400513
  Angle 5: cl=0.5194529891014099, cd=0.08077029138803482, cm=0.004259064793586731
  Angle 6: cl=0.6117143630981445, cd=0.08793359249830246, cm=0.006563827395439148
  Angle 7: cl=0.7014643549919128, cd=0.09453362971544266, cm=0.00905415415763855
  Angle 8: cl=0.7916564345359802, cd=0.10118977725505829, cm=0.010824933648109436
  Angle 9: cl=0.8869396448135376, cd=0.10547097772359848, cm=0.003213748335838318
  Angle 10: cl=0.9861248731613159, cd=0.11122245341539383, cm=-0.004671201109886169
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.448593043040947, 10.323660725826617]:
  Angle -10: cl=-0.565152108669281, cd=0.23333510756492615, cm=-0.18979625403881073
  Angle -9: cl=-0.5914246439933777, cd=0.20026583969593048, cm=-0.18626098334789276
  Angle -8: cl=-0.6144077777862549, cd=0.1654607504606247, cm=-0.18509002029895782
  Angle -7: cl=-0.6531208753585815, cd=0.13071651756763458, cm=-0.18026213347911835
  Angle -6: cl=-0.6075267791748047, cd=0.11601752042770386, cm=-0.16548006236553192
  Angle -5: cl=-0.5003106594085693, cd=0.10421843081712723, cm=-0.15226395428180695
  Angle -4: cl=-0.4089667797088623, cd=0.09929993003606796, cm=-0.138996884226799
  Angle -3: cl=-0.3070918023586273, cd=0.09346062690019608, cm=-0.1253848522901535
  Angle -2: cl=-0.22763779759407043, cd=0.08811380714178085, cm=-0.10346324741840363
  Angle -1: cl=-0.1667448729276657, cd=0.08337882906198502, cm=-0.07427076995372772
  Angle 0: cl=-0.09447290748357773, cd=0.08252813667058945, cm=-0.04617364704608917
  Angle 1: cl=-0.011016061529517174, cd=0.08298729360103607, cm=-0.02408801019191742
  Angle 2: cl=0.07268793135881424, cd=0.0838705524802208, cm=-0.00885571539402008
  Angle 3: cl=0.3069121241569519, cd=0.06837328523397446, cm=-0.004009798169136047
  Angle 4: cl=0.4197860062122345, cd=0.07257171720266342, cm=0.0009615421295166016
  Angle 5: cl=0.518275797367096, cd=0.08086246997117996, cm=0.00442872941493988
  Angle 6: cl=0.6106736063957214, cd=0.08800847828388214, cm=0.0066717565059661865
  Angle 7: cl=0.7005541324615479, cd=0.09461067616939545, cm=0.00915062427520752
  Angle 8: cl=0.7907997369766235, cd=0.10127940028905869, cm=0.010962411761283875
  Angle 9: cl=0.8858285546302795, cd=0.10547973215579987, cm=0.0031893402338027954
  Angle 10: cl=0.9851456880569458, cd=0.11117781698703766, cm=-0.0047330111265182495
Genotype [0.0085, 0.4231730528527537, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282]:
  Angle -10: cl=-0.5579017400741577, cd=0.23382391035556793, cm=-0.18759776651859283
  Angle -9: cl=-0.5939806699752808, cd=0.20304779708385468, cm=-0.17940424382686615
  Angle -8: cl=-0.6262232661247253, cd=0.1710105687379837, cm=-0.17459772527217865
  Angle -7: cl=-0.6535066962242126, cd=0.1359630525112152, cm=-0.1700926572084427
  Angle -6: cl=-0.6203910112380981, cd=0.12045609205961227, cm=-0.1583671122789383
  Angle -5: cl=-0.5043179392814636, cd=0.10783226042985916, cm=-0.1466178447008133
  Angle -4: cl=-0.38317981362342834, cd=0.09645480662584305, cm=-0.1349073201417923
  Angle -3: cl=-0.2724144756793976, cd=0.08855178207159042, cm=-0.12080512940883636
  Angle -2: cl=-0.1889413297176361, cd=0.08251309394836426, cm=-0.10041876137256622
  Angle -1: cl=-0.13090242445468903, cd=0.07973082363605499, cm=-0.07138361036777496
  Angle 0: cl=-0.07111573219299316, cd=0.07950399070978165, cm=-0.04097484052181244
  Angle 1: cl=-0.005189480260014534, cd=0.08062698692083359, cm=-0.014483585953712463
  Angle 2: cl=0.07453097403049469, cd=0.08183035999536514, cm=0.0010344535112380981
  Angle 3: cl=0.30440279841423035, cd=0.07078167796134949, cm=0.004231929779052734
  Angle 4: cl=0.38698938488960266, cd=0.07690572738647461, cm=0.009829401969909668
  Angle 5: cl=0.47640401124954224, cd=0.08431250602006912, cm=0.01401984691619873
  Angle 6: cl=0.5667021870613098, cd=0.09190428256988525, cm=0.01689182221889496
  Angle 7: cl=0.6566223502159119, cd=0.09860626608133316, cm=0.018015488982200623
  Angle 8: cl=0.7476066946983337, cd=0.10191504657268524, cm=0.011233076453208923
  Angle 9: cl=0.8382367491722107, cd=0.10552342236042023, cm=0.0028855204582214355
  Angle 10: cl=0.9349544644355774, cd=0.109674371778965, cm=-0.005206570029258728
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.448593043040947, 10.323660725826617]:
  Angle -10: cl=-0.5423823595046997, cd=0.22470079362392426, cm=-0.1860952526330948
  Angle -9: cl=-0.5635252594947815, cd=0.19113801419734955, cm=-0.1843518763780594
  Angle -8: cl=-0.5858058929443359, cd=0.1562609225511551, cm=-0.18292032182216644
  Angle -7: cl=-0.618409276008606, cd=0.12682560086250305, cm=-0.17287661135196686
  Angle -6: cl=-0.6021385192871094, cd=0.11139414459466934, cm=-0.16026030480861664
  Angle -5: cl=-0.5183956027030945, cd=0.10369192808866501, cm=-0.14545340836048126
  Angle -4: cl=-0.41924184560775757, cd=0.09783317148685455, cm=-0.13236407935619354
  Angle -3: cl=-0.3209877014160156, cd=0.09087663888931274, cm=-0.1155184954404831
  Angle -2: cl=-0.26019078493118286, cd=0.0852004662156105, cm=-0.08739213645458221
