Experiment: Nash_Combination_Experiment_28
Generation: 80
Generation Type: v
Timestamp: 20231226_113322

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.022015705921188747, 0.05758687522760915, -0.006, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: -0.296525238764566, Adjusted Fitness: -0.296525238764566
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.28772678671772] - Base Fitness: 0.2417335995459593, Adjusted Fitness: 0.2417335995459593
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: 0.23241907666812972, Adjusted Fitness: 0.2700289796178152
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.448593043040947, 10.323660725826617] - Base Fitness: 0.23743947149485345, Adjusted Fitness: 0.23743947149485345
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: 0.23241907666812972, Adjusted Fitness: 0.2700289796178152
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.319727452948172] - Base Fitness: 0.2383689985259789, Adjusted Fitness: 0.2383689985259789
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: 0.23241907666812972, Adjusted Fitness: 0.2700289796178152
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.279833363025865] - Base Fitness: 0.2427549435708658, Adjusted Fitness: 0.2427549435708658
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.306218474698685] - Base Fitness: 0.2394697648432309, Adjusted Fitness: 0.2394697648432309
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.470333645377113, 10.349493043327282] - Base Fitness: 0.2336823549403286, Adjusted Fitness: 0.2336823549403286
[0.0085, 0.46, 0.13, -0.8745091714910597, 0.26, -0.023, 0.08045691864358276, -0.003, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: 0.21302217926666098, Adjusted Fitness: 0.21302217926666098
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: 0.23241907666812972, Adjusted Fitness: 0.2700289796178152
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.022015705921188747, 0.05, -0.003, 0.0025, 7.504433427439821, 10.323660725826617] - Base Fitness: 0.15843240060033237, Adjusted Fitness: 0.15843240060033237
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.479315229830317, 10.284497013824048] - Base Fitness: 0.24048487548845185, Adjusted Fitness: 0.24048487548845185
[0.0085, 0.46, 0.113519763692109, -0.8745091714910597, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.395133973872905, 10.284497013824048] - Base Fitness: -0.3668087189308245, Adjusted Fitness: -0.3668087189308245
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.50653247397265, 10.349493043327282] - Base Fitness: 0.23232687895034956, Adjusted Fitness: 0.23232687895034956
[0.0085, 0.46, 0.13, -0.9, 0.23956906594098104, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.319727452948172] - Base Fitness: -0.26630478400685537, Adjusted Fitness: -0.26630478400685537
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.279833363025865] - Base Fitness: 0.2427549435708658, Adjusted Fitness: 0.2427549435708658
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.279833363025865] - Base Fitness: 0.2427549435708658, Adjusted Fitness: 0.2427549435708658
[0.0085, 0.46, 0.13, -0.8968660720541236, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.323660725826617] - Base Fitness: 0.23477985632766088, Adjusted Fitness: 0.23477985632766088
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.448593043040947, 10.323660725826617] - Base Fitness: -0.40304369600116735, Adjusted Fitness: -0.40304369600116735
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.28772678671772] - Base Fitness: 0.2417335995459593, Adjusted Fitness: 0.2417335995459593
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.022015705921188747, 0.05, -0.003, 0.0025, 7.470333645377113, 10.349493043327282] - Base Fitness: 0.15733338116791087, Adjusted Fitness: 0.15733338116791087
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.504433427439821, 10.337993981883358] - Base Fitness: -0.04587535912587115, Adjusted Fitness: -0.04587535912587115
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.319143418478092] - Base Fitness: 0.23549873570482655, Adjusted Fitness: 0.23549873570482655
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.00391434297719898, 0.0025, 7.395133973872905, 10.284497013824048] - Base Fitness: -0.510937449880294, Adjusted Fitness: -0.510937449880294
[0.0085, 0.4147459152923809, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.279833363025865] - Base Fitness: 0.14614848280459475, Adjusted Fitness: 0.14614848280459475
[0.0085, 0.46, 0.13, -0.8745091714910597, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.279833363025865] - Base Fitness: 0.24073876156328636, Adjusted Fitness: 0.24073876156328636
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.279833363025865] - Base Fitness: 0.2427549435708658, Adjusted Fitness: 0.2427549435708658
[0.0085, 0.46, 0.13, -0.8745091714910597, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.28772678671772] - Base Fitness: 0.23693613923713253, Adjusted Fitness: 0.23693613923713253
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.435975825170184, 10.349493043327282] - Base Fitness: -0.04307572550642913, Adjusted Fitness: -0.042268854852719424
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.022015705921188747, 0.05, -0.003, 0.0025, 7.483153912520692, 10.349493043327282] - Base Fitness: 0.15643673896139498, Adjusted Fitness: 0.15643673896139498
[0.0085, 0.46, 0.13, -0.8745091714910597, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.50653247397265, 10.349493043327282] - Base Fitness: 0.23059656931872577, Adjusted Fitness: 0.23059656931872577
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.479315229830317, 10.284497013824048] - Base Fitness: 0.24048487548845185, Adjusted Fitness: 0.24048487548845185
[0.0126, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: -0.4845294213428243, Adjusted Fitness: -0.4845294213428243
[0.0085, 0.4510835748418071, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: -0.23138989531002838, Adjusted Fitness: -0.23138989531002838
[0.0085, 0.46, 0.11396722279988553, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.28772678671772] - Base Fitness: -0.35231862501096156, Adjusted Fitness: -0.35231862501096156
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: 0.23241907666812972, Adjusted Fitness: 0.2700289796178152
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.022015705921188747, 0.05, -0.003, 0.0025, 7.504433427439821, 10.338220673769877] - Base Fitness: 0.1565041542489277, Adjusted Fitness: 0.1565041542489277
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.470333645377113, 10.323660725826617] - Base Fitness: 0.23643607353682813, Adjusted Fitness: 0.23643607353682813
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.005, 7.435975825170184, 10.319727452948172] - Base Fitness: -0.039640512268273434, Adjusted Fitness: -0.039640512268273434
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: 0.23241907666812972, Adjusted Fitness: 0.2700289796178152
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: 0.23241907666812972, Adjusted Fitness: 0.2700289796178152
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.435975825170184, 10.279833363025865] - Base Fitness: -0.3980279726376767, Adjusted Fitness: -0.3980279726376767
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.08178362427841519, -0.003, 0.0025, 7.504433427439821, 10.28772678671772] - Base Fitness: 0.22079952654837684, Adjusted Fitness: 0.22079952654837684
[0.0085, 0.46, 0.13, -0.8745091714910597, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.28772678671772] - Base Fitness: 0.23693613923713253, Adjusted Fitness: 0.23693613923713253
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282] - Base Fitness: 0.23241907666812972, Adjusted Fitness: 0.2700289796178152
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.022015705921188747, 0.05, -0.003, 0.0025, 7.483153912520692, 10.279833363025865] - Base Fitness: 0.1641888518442062, Adjusted Fitness: 0.1641888518442062
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.28772678671772] - Base Fitness: 0.2417335995459593, Adjusted Fitness: 0.2417335995459593
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.448593043040947, 10.323660725826617] - Base Fitness: 0.23743947149485345, Adjusted Fitness: 0.23743947149485345

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.022015705921188747, 0.05758687522760915, -0.006, 0.0025, 7.504433427439821, 10.349493043327282]:
  Angle -10: cl=-0.5664341449737549, cd=0.18856804072856903, cm=-0.17449705302715302
  Angle -9: cl=-0.6079857349395752, cd=0.16367045044898987, cm=-0.1671767681837082
  Angle -8: cl=-0.6373924016952515, cd=0.13500505685806274, cm=-0.16271106898784637
  Angle -7: cl=-0.6367332935333252, cd=0.11002767831087112, cm=-0.15825243294239044
  Angle -6: cl=-0.5575376749038696, cd=0.10032644122838974, cm=-0.13767100870609283
  Angle -5: cl=-0.4742398262023926, cd=0.0924995020031929, cm=-0.11243946850299835
  Angle -4: cl=-0.39419296383857727, cd=0.08705577254295349, cm=-0.08669351041316986
  Angle -3: cl=-0.3234916925430298, cd=0.0831080749630928, cm=-0.06101612746715546
  Angle -2: cl=-0.2704179883003235, cd=0.08706355094909668, cm=-0.03981591761112213
  Angle -1: cl=-0.21586625277996063, cd=0.09384991228580475, cm=-0.02311699092388153
  Angle 0: cl=-0.15367373824119568, cd=0.10142013430595398, cm=-0.0055818110704422
  Angle 1: cl=-0.09281610697507858, cd=0.1079317256808281, cm=0.009080156683921814
  Angle 2: cl=0.07288319617509842, cd=0.10294710099697113, cm=0.015007585287094116
  Angle 3: cl=0.15739484131336212, cd=0.10552461445331573, cm=0.015163406729698181
  Angle 4: cl=0.24181318283081055, cd=0.10754314064979553, cm=0.010089024901390076
  Angle 5: cl=0.33885645866394043, cd=0.10972928255796432, cm=0.004108607769012451
  Angle 6: cl=0.4423008859157562, cd=0.1113181933760643, cm=-0.002489432692527771
  Angle 7: cl=0.5679653286933899, cd=0.10920687764883041, cm=-0.019659236073493958
  Angle 8: cl=0.6935745477676392, cd=0.1069803237915039, cm=-0.038526490330696106
  Angle 9: cl=0.807298481464386, cd=0.10543587803840637, cm=-0.06175951659679413
  Angle 10: cl=0.922641396522522, cd=0.10443074256181717, cm=-0.0853189080953598
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.28772678671772]:
  Angle -10: cl=-0.5650591254234314, cd=0.23340800404548645, cm=-0.18985210359096527
  Angle -9: cl=-0.5914271473884583, cd=0.20038460195064545, cm=-0.18625177443027496
  Angle -8: cl=-0.6144465208053589, cd=0.16556811332702637, cm=-0.18513084948062897
  Angle -7: cl=-0.6530812382698059, cd=0.13080589473247528, cm=-0.18033994734287262
  Angle -6: cl=-0.6072981953620911, cd=0.11610244959592819, cm=-0.1655857414007187
  Angle -5: cl=-0.5000470876693726, cd=0.1042599305510521, cm=-0.15237165987491608
  Angle -4: cl=-0.40881970524787903, cd=0.0993247702717781, cm=-0.13909251987934113
  Angle -3: cl=-0.3071363568305969, cd=0.09350749105215073, cm=-0.12549497187137604
  Angle -2: cl=-0.22731488943099976, cd=0.08816724270582199, cm=-0.10366176068782806
  Angle -1: cl=-0.16628308594226837, cd=0.08342155814170837, cm=-0.07444320619106293
  Angle 0: cl=-0.09395492821931839, cd=0.08255574107170105, cm=-0.0464148074388504
  Angle 1: cl=-0.010390447452664375, cd=0.08300743997097015, cm=-0.024291768670082092
  Angle 2: cl=0.07360711693763733, cd=0.08390388637781143, cm=-0.009129062294960022
  Angle 3: cl=0.30757030844688416, cd=0.06842342764139175, cm=-0.004237517714500427
  Angle 4: cl=0.42061173915863037, cd=0.07249868661165237, cm=0.0009036064147949219
  Angle 5: cl=0.5191410779953003, cd=0.08078386634588242, cm=0.00432218611240387
  Angle 6: cl=0.6116665601730347, cd=0.08794394880533218, cm=0.006541192531585693
  Angle 7: cl=0.7013985514640808, cd=0.09454832226037979, cm=0.009066984057426453
  Angle 8: cl=0.791432797908783, cd=0.1012006551027298, cm=0.010849669575691223
  Angle 9: cl=0.8864930868148804, cd=0.10546133667230606, cm=0.003232717514038086
  Angle 10: cl=0.9860644936561584, cd=0.1112353727221489, cm=-0.0046692341566085815
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282]:
  Angle -10: cl=-0.564842939376831, cd=0.23307615518569946, cm=-0.1898122876882553
  Angle -9: cl=-0.591202974319458, cd=0.20006288588047028, cm=-0.18623672425746918
  Angle -8: cl=-0.6141464114189148, cd=0.16515180468559265, cm=-0.18501751124858856
  Angle -7: cl=-0.6528195142745972, cd=0.1304510235786438, cm=-0.1800229698419571
  Angle -6: cl=-0.6073470115661621, cd=0.11576151102781296, cm=-0.16523103415966034
  Angle -5: cl=-0.5000764727592468, cd=0.10410384833812714, cm=-0.15211938321590424
  Angle -4: cl=-0.4094083607196808, cd=0.09927666932344437, cm=-0.13882233202457428
  Angle -3: cl=-0.3074600398540497, cd=0.09341851621866226, cm=-0.12515486776828766
  Angle -2: cl=-0.2284424602985382, cd=0.0880410298705101, cm=-0.10308350622653961
  Angle -1: cl=-0.16739720106124878, cd=0.0833282396197319, cm=-0.07381440699100494
  Angle 0: cl=-0.09532397985458374, cd=0.08250603079795837, cm=-0.045731738209724426
  Angle 1: cl=-0.011844305321574211, cd=0.08300113677978516, cm=-0.023728325963020325
  Angle 2: cl=0.07171543687582016, cd=0.08385776728391647, cm=-0.008446410298347473
  Angle 3: cl=0.3068855404853821, cd=0.06828369200229645, cm=-0.003699883818626404
  Angle 4: cl=0.41826340556144714, cd=0.07275110483169556, cm=0.0011997818946838379
  Angle 5: cl=0.5167524814605713, cd=0.08103643357753754, cm=0.004632577300071716
  Angle 6: cl=0.6095548868179321, cd=0.08816208690404892, cm=0.0068451762199401855
  Angle 7: cl=0.6995327472686768, cd=0.0947478786110878, cm=0.009282439947128296
  Angle 8: cl=0.7897006273269653, cd=0.10143399238586426, cm=0.011134341359138489
  Angle 9: cl=0.8848532438278198, cd=0.1055365726351738, cm=0.0030578821897506714
  Angle 10: cl=0.9841921329498291, cd=0.1112753227353096, cm=-0.004850789904594421
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.448593043040947, 10.323660725826617]:
  Angle -10: cl=-0.565152108669281, cd=0.23333510756492615, cm=-0.18979625403881073
  Angle -9: cl=-0.5914246439933777, cd=0.20026583969593048, cm=-0.18626098334789276
  Angle -8: cl=-0.6144077777862549, cd=0.1654607504606247, cm=-0.18509002029895782
  Angle -7: cl=-0.6531208753585815, cd=0.13071651756763458, cm=-0.18026213347911835
  Angle -6: cl=-0.6075267791748047, cd=0.11601752042770386, cm=-0.16548006236553192
  Angle -5: cl=-0.5003106594085693, cd=0.10421843081712723, cm=-0.15226395428180695
  Angle -4: cl=-0.4089667797088623, cd=0.09929993003606796, cm=-0.138996884226799
  Angle -3: cl=-0.3070918023586273, cd=0.09346062690019608, cm=-0.1253848522901535
  Angle -2: cl=-0.22763779759407043, cd=0.08811380714178085, cm=-0.10346324741840363
  Angle -1: cl=-0.1667448729276657, cd=0.08337882906198502, cm=-0.07427076995372772
  Angle 0: cl=-0.09447290748357773, cd=0.08252813667058945, cm=-0.04617364704608917
  Angle 1: cl=-0.011016061529517174, cd=0.08298729360103607, cm=-0.02408801019191742
  Angle 2: cl=0.07268793135881424, cd=0.0838705524802208, cm=-0.00885571539402008
  Angle 3: cl=0.3069121241569519, cd=0.06837328523397446, cm=-0.004009798169136047
  Angle 4: cl=0.4197860062122345, cd=0.07257171720266342, cm=0.0009615421295166016
  Angle 5: cl=0.518275797367096, cd=0.08086246997117996, cm=0.00442872941493988
  Angle 6: cl=0.6106736063957214, cd=0.08800847828388214, cm=0.0066717565059661865
  Angle 7: cl=0.7005541324615479, cd=0.09461067616939545, cm=0.00915062427520752
  Angle 8: cl=0.7907997369766235, cd=0.10127940028905869, cm=0.010962411761283875
  Angle 9: cl=0.8858285546302795, cd=0.10547973215579987, cm=0.0031893402338027954
  Angle 10: cl=0.9851456880569458, cd=0.11117781698703766, cm=-0.0047330111265182495
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.504433427439821, 10.349493043327282]:
  Angle -10: cl=-0.564842939376831, cd=0.23307615518569946, cm=-0.1898122876882553
  Angle -9: cl=-0.591202974319458, cd=0.20006288588047028, cm=-0.18623672425746918
  Angle -8: cl=-0.6141464114189148, cd=0.16515180468559265, cm=-0.18501751124858856
  Angle -7: cl=-0.6528195142745972, cd=0.1304510235786438, cm=-0.1800229698419571
  Angle -6: cl=-0.6073470115661621, cd=0.11576151102781296, cm=-0.16523103415966034
  Angle -5: cl=-0.5000764727592468, cd=0.10410384833812714, cm=-0.15211938321590424
  Angle -4: cl=-0.4094083607196808, cd=0.09927666932344437, cm=-0.13882233202457428
  Angle -3: cl=-0.3074600398540497, cd=0.09341851621866226, cm=-0.12515486776828766
  Angle -2: cl=-0.2284424602985382, cd=0.0880410298705101, cm=-0.10308350622653961
  Angle -1: cl=-0.16739720106124878, cd=0.0833282396197319, cm=-0.07381440699100494
  Angle 0: cl=-0.09532397985458374, cd=0.08250603079795837, cm=-0.045731738209724426
  Angle 1: cl=-0.011844305321574211, cd=0.08300113677978516, cm=-0.023728325963020325
  Angle 2: cl=0.07171543687582016, cd=0.08385776728391647, cm=-0.008446410298347473
  Angle 3: cl=0.3068855404853821, cd=0.06828369200229645, cm=-0.003699883818626404
  Angle 4: cl=0.41826340556144714, cd=0.07275110483169556, cm=0.0011997818946838379
  Angle 5: cl=0.5167524814605713, cd=0.08103643357753754, cm=0.004632577300071716
  Angle 6: cl=0.6095548868179321, cd=0.08816208690404892, cm=0.0068451762199401855
  Angle 7: cl=0.6995327472686768, cd=0.0947478786110878, cm=0.009282439947128296
  Angle 8: cl=0.7897006273269653, cd=0.10143399238586426, cm=0.011134341359138489
  Angle 9: cl=0.8848532438278198, cd=0.1055365726351738, cm=0.0030578821897506714
  Angle 10: cl=0.9841921329498291, cd=0.1112753227353096, cm=-0.004850789904594421
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 7.435975825170184, 10.319727452948172]:
  Angle -10: cl=-0.5650508999824524, cd=0.23338627815246582, cm=-0.18978063762187958
  Angle -9: cl=-0.5916138291358948, cd=0.20036593079566956, cm=-0.1862659901380539
  Angle -8: cl=-0.6146310567855835, cd=0.16554580628871918, cm=-0.18513838946819305
  Angle -7: cl=-0.6531708240509033, cd=0.13077262043952942, cm=-0.18030573427677155
  Angle -6: cl=-0.6075625419616699, cd=0.11606287211179733, cm=-0.16551898419857025
  Angle -5: cl=-0.5002099275588989, cd=0.10423395782709122, cm=-0.15230266749858856
  Angle -4: cl=-0.4089638590812683, cd=0.0993020310997963, cm=-0.13901890814304352
  Angle -3: cl=-0.30712759494781494, cd=0.09347011148929596, cm=-0.12543798983097076
  Angle -2: cl=-0.22760024666786194, cd=0.08811921626329422, cm=-0.10356117784976959
  Angle -1: cl=-0.16644127666950226, cd=0.08339719474315643, cm=-0.07435588538646698
