Experiment: Nash_Combination_Experiment_28
Generation: 85
Generation Type: u
Timestamp: 20231226_113402

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.0553659810177719, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23491954532775103, Adjusted Fitness: 0.23491954532775103
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.015, 0.05, -0.006, 0.0025, 8.130480731747616, 10.0] - Base Fitness: -0.8111093044656449, Adjusted Fitness: -0.8111093044656449
[0.0085, 0.46, 0.11, -0.839210380054415, 0.26, -0.023, 0.09432676101235367, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: -0.5191477486236844, Adjusted Fitness: -0.5191477486236844
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.42547572726205757, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.17480783275658052, Adjusted Fitness: 0.1749186728693279
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.041230426310243] - Base Fitness: 0.23361670436780896, Adjusted Fitness: 0.23363004380216848
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.23787584762892489, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: -0.321138377225726, Adjusted Fitness: -0.31937830004585444
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.44297664877822934, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.217145924922447, Adjusted Fitness: 0.21970664586952457
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.4118059972499281, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.12514253306953665, Adjusted Fitness: 0.12757512311764405
[0.0085, 0.4314091202962005, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.19138088811048787, Adjusted Fitness: 0.19138088811048787
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.005, 8.160413371697524, 10.0] - Base Fitness: -0.05016694115722083, Adjusted Fitness: -0.04841962247281646
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.036267440720687] - Base Fitness: 0.23404681625288273, Adjusted Fitness: 0.23404681625288273
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.147058731769249, 10.0] - Base Fitness: 0.23709737586700128, Adjusted Fitness: 0.23709737586700128
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.44297664877822934, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.088910067048444, 10.0] - Base Fitness: 0.21939794102834817, Adjusted Fitness: 0.21939794102834817
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.015, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: -0.40356739050017776, Adjusted Fitness: -0.3976384699255974
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404
[0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0] - Base Fitness: 0.23787752809705315, Adjusted Fitness: 2035.0121211068404

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.0553659810177719, -0.003, 0.0025, 8.130480731747616, 10.0]:
  Angle -10: cl=-0.5625609755516052, cd=0.23094457387924194, cm=-0.1893800050020218
  Angle -9: cl=-0.587670087814331, cd=0.19755330681800842, cm=-0.1865186244249344
  Angle -8: cl=-0.6105422973632812, cd=0.16270457208156586, cm=-0.18542833626270294
  Angle -7: cl=-0.6492671966552734, cd=0.12874014675617218, cm=-0.17946229875087738
  Angle -6: cl=-0.6026514172554016, cd=0.1143101155757904, cm=-0.16447077691555023
  Angle -5: cl=-0.5004118084907532, cd=0.10399554669857025, cm=-0.15108166635036469
  Angle -4: cl=-0.4093569219112396, cd=0.09924069046974182, cm=-0.137773796916008
  Angle -3: cl=-0.3072419762611389, cd=0.09324768930673599, cm=-0.12393711507320404
  Angle -2: cl=-0.2321079969406128, cd=0.08787453174591064, cm=-0.10045365989208221
  Angle -1: cl=-0.17077037692070007, cd=0.0833015888929367, cm=-0.07118864357471466
  Angle 0: cl=-0.09823159873485565, cd=0.08257872611284256, cm=-0.0435662716627121
  Angle 1: cl=-0.014203524217009544, cd=0.08320410549640656, cm=-0.021799162030220032
  Angle 2: cl=0.06913044303655624, cd=0.08395027369260788, cm=-0.006452813744544983
  Angle 3: cl=0.3159083127975464, cd=0.06738977134227753, cm=-0.0026372522115707397
  Angle 4: cl=0.4165668785572052, cd=0.07385329157114029, cm=0.0018267333507537842
  Angle 5: cl=0.514512300491333, cd=0.08212637901306152, cm=0.005217790603637695
  Angle 6: cl=0.6088678240776062, cd=0.08905011415481567, cm=0.007195219397544861
  Angle 7: cl=0.6985881924629211, cd=0.09564833343029022, cm=0.009719163179397583
  Angle 8: cl=0.7891432046890259, cd=0.10191723704338074, cm=0.01026463508605957
  Angle 9: cl=0.8848095536231995, cd=0.10606250166893005, cm=0.0020512938499450684
  Angle 10: cl=0.9831902980804443, cd=0.11266486346721649, cm=-0.005776569247245789
Genotype [0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0]:
  Angle -10: cl=-0.5626595616340637, cd=0.2310524433851242, cm=-0.18941156566143036
  Angle -9: cl=-0.5877074003219604, cd=0.19760869443416595, cm=-0.18651701509952545
  Angle -8: cl=-0.6105884313583374, cd=0.16276519000530243, cm=-0.18547891080379486
  Angle -7: cl=-0.6492289900779724, cd=0.12875473499298096, cm=-0.17955373227596283
  Angle -6: cl=-0.602586030960083, cd=0.1143726259469986, cm=-0.16457058489322662
  Angle -5: cl=-0.5002629160881042, cd=0.10401919484138489, cm=-0.1512063890695572
  Angle -4: cl=-0.40918242931365967, cd=0.09924609959125519, cm=-0.13782437145709991
  Angle -3: cl=-0.3069828450679779, cd=0.09328413754701614, cm=-0.12405027449131012
  Angle -2: cl=-0.23164322972297668, cd=0.087923064827919, cm=-0.10068793594837189
  Angle -1: cl=-0.17049334943294525, cd=0.08332118391990662, cm=-0.07132123410701752
  Angle 0: cl=-0.09771373122930527, cd=0.08258997648954391, cm=-0.04365481436252594
  Angle 1: cl=-0.013652661815285683, cd=0.08323235809803009, cm=-0.021971091628074646
  Angle 2: cl=0.06947694718837738, cd=0.08395818620920181, cm=-0.0065893083810806274
  Angle 3: cl=0.31574830412864685, cd=0.06734973937273026, cm=-0.0026646405458450317
  Angle 4: cl=0.4174214005470276, cd=0.0737738236784935, cm=0.0016860365867614746
  Angle 5: cl=0.5152567625045776, cd=0.08206631988286972, cm=0.005113974213600159
  Angle 6: cl=0.6092740893363953, cd=0.08899818360805511, cm=0.007185354828834534
  Angle 7: cl=0.6992012858390808, cd=0.09559986740350723, cm=0.0096549391746521
  Angle 8: cl=0.7899048924446106, cd=0.10190324485301971, cm=0.010287553071975708
  Angle 9: cl=0.8852205872535706, cd=0.1060309186577797, cm=0.002094253897666931
  Angle 10: cl=0.9836792349815369, cd=0.1126592829823494, cm=-0.0057397931814193726
Genotype [0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0]:
  Angle -10: cl=-0.5626595616340637, cd=0.2310524433851242, cm=-0.18941156566143036
  Angle -9: cl=-0.5877074003219604, cd=0.19760869443416595, cm=-0.18651701509952545
  Angle -8: cl=-0.6105884313583374, cd=0.16276519000530243, cm=-0.18547891080379486
  Angle -7: cl=-0.6492289900779724, cd=0.12875473499298096, cm=-0.17955373227596283
  Angle -6: cl=-0.602586030960083, cd=0.1143726259469986, cm=-0.16457058489322662
  Angle -5: cl=-0.5002629160881042, cd=0.10401919484138489, cm=-0.1512063890695572
  Angle -4: cl=-0.40918242931365967, cd=0.09924609959125519, cm=-0.13782437145709991
  Angle -3: cl=-0.3069828450679779, cd=0.09328413754701614, cm=-0.12405027449131012
  Angle -2: cl=-0.23164322972297668, cd=0.087923064827919, cm=-0.10068793594837189
  Angle -1: cl=-0.17049334943294525, cd=0.08332118391990662, cm=-0.07132123410701752
  Angle 0: cl=-0.09771373122930527, cd=0.08258997648954391, cm=-0.04365481436252594
  Angle 1: cl=-0.013652661815285683, cd=0.08323235809803009, cm=-0.021971091628074646
  Angle 2: cl=0.06947694718837738, cd=0.08395818620920181, cm=-0.0065893083810806274
  Angle 3: cl=0.31574830412864685, cd=0.06734973937273026, cm=-0.0026646405458450317
  Angle 4: cl=0.4174214005470276, cd=0.0737738236784935, cm=0.0016860365867614746
  Angle 5: cl=0.5152567625045776, cd=0.08206631988286972, cm=0.005113974213600159
  Angle 6: cl=0.6092740893363953, cd=0.08899818360805511, cm=0.007185354828834534
  Angle 7: cl=0.6992012858390808, cd=0.09559986740350723, cm=0.0096549391746521
  Angle 8: cl=0.7899048924446106, cd=0.10190324485301971, cm=0.010287553071975708
  Angle 9: cl=0.8852205872535706, cd=0.1060309186577797, cm=0.002094253897666931
  Angle 10: cl=0.9836792349815369, cd=0.1126592829823494, cm=-0.0057397931814193726
Genotype [0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.130480731747616, 10.0]:
  Angle -10: cl=-0.5626595616340637, cd=0.2310524433851242, cm=-0.18941156566143036
  Angle -9: cl=-0.5877074003219604, cd=0.19760869443416595, cm=-0.18651701509952545
  Angle -8: cl=-0.6105884313583374, cd=0.16276519000530243, cm=-0.18547891080379486
  Angle -7: cl=-0.6492289900779724, cd=0.12875473499298096, cm=-0.17955373227596283
  Angle -6: cl=-0.602586030960083, cd=0.1143726259469986, cm=-0.16457058489322662
  Angle -5: cl=-0.5002629160881042, cd=0.10401919484138489, cm=-0.1512063890695572
  Angle -4: cl=-0.40918242931365967, cd=0.09924609959125519, cm=-0.13782437145709991
  Angle -3: cl=-0.3069828450679779, cd=0.09328413754701614, cm=-0.12405027449131012
  Angle -2: cl=-0.23164322972297668, cd=0.087923064827919, cm=-0.10068793594837189
  Angle -1: cl=-0.17049334943294525, cd=0.08332118391990662, cm=-0.07132123410701752
  Angle 0: cl=-0.09771373122930527, cd=0.08258997648954391, cm=-0.04365481436252594
  Angle 1: cl=-0.013652661815285683, cd=0.08323235809803009, cm=-0.021971091628074646
  Angle 2: cl=0.06947694718837738, cd=0.08395818620920181, cm=-0.0065893083810806274
  Angle 3: cl=0.31574830412864685, cd=0.06734973937273026, cm=-0.0026646405458450317
  Angle 4: cl=0.4174214005470276, cd=0.0737738236784935, cm=0.0016860365867614746
  Angle 5: cl=0.5152567625045776, cd=0.08206631988286972, cm=0.005113974213600159
  Angle 6: cl=0.6092740893363953, cd=0.08899818360805511, cm=0.007185354828834534
  Angle 7: cl=0.6992012858390808, cd=0.09559986740350723, cm=0.0096549391746521
  Angle 8: cl=0.7899048924446106, cd=0.10190324485301971, cm=0.010287553071975708
  Angle 9: cl=0.8852205872535706, cd=0.1060309186577797, cm=0.002094253897666931
  Angle 10: cl=0.9836792349815369, cd=0.1126592829823494, cm=-0.0057397931814193726
Genotype [0.0085, 0.46, 0.13, -0.839210380054415, 0.26, -0.015, 0.05, -0.006, 0.0025, 8.130480731747616, 10.0]:
  Angle -10: cl=-0.5723089575767517, cd=0.18657565116882324, cm=-0.16476435959339142
  Angle -9: cl=-0.6142519116401672, cd=0.161793053150177, cm=-0.15700994431972504
  Angle -8: cl=-0.6459532976150513, cd=0.13173292577266693, cm=-0.1522025614976883
  Angle -7: cl=-0.6723280549049377, cd=0.10500814020633698, cm=-0.13372613489627838
  Angle -6: cl=-0.6003903746604919, cd=0.09628873318433762, cm=-0.10880888998508453
  Angle -5: cl=-0.519422173500061, cd=0.09008512645959854, cm=-0.08244146406650543
  Angle -4: cl=-0.44381192326545715, cd=0.0904347151517868, cm=-0.06302838027477264
  Angle -3: cl=-0.4059838652610779, cd=0.09308326244354248, cm=-0.0475950688123703
  Angle -2: cl=-0.3647783100605011, cd=0.10015156120061874, cm=-0.0317491739988327
  Angle -1: cl=-0.3176324665546417, cd=0.10445912927389145, cm=-0.018303558230400085
  Angle 0: cl=-0.25791987776756287, cd=0.10807822644710541, cm=-0.004541322588920593
  Angle 1: cl=-0.19232672452926636, cd=0.11098922789096832, cm=0.003656432032585144
  Angle 2: cl=-0.06291902810335159, cd=0.10864787548780441, cm=0.0025472044944763184
  Angle 3: cl=0.055481020361185074, cd=0.10943908244371414, cm=-0.000295102596282959
  Angle 4: cl=0.18339063227176666, cd=0.10842135548591614, cm=-0.017305776476860046
  Angle 5: cl=0.3075656294822693, cd=0.1069280356168747, cm=-0.0357619971036911
  Angle 6: cl=0.42021235823631287, cd=0.10504266619682312, cm=-0.0520184189081192
  Angle 7: cl=0.5315670371055603, cd=0.10315074771642685, cm=-0.06949813663959503
  Angle 8: cl=0.6482992172241211, cd=0.10199710726737976, cm=-0.09225113689899445
  Angle 9: cl=0.766192615032196, cd=0.1008329913020134, cm=-0.11532886326313019
  Angle 10: cl=0.8710342049598694, cd=0.1024220734834671, cm=-0.13173361122608185
Genotype [0.0085, 0.46, 0.11, -0.839210380054415, 0.26, -0.023, 0.09432676101235367, -0.003, 0.0025, 8.130480731747616, 10.0]:
  Angle -10: cl=-0.6145321726799011, cd=0.2296033352613449, cm=-0.18830229341983795
  Angle -9: cl=-0.6518024802207947, cd=0.1991564780473709, cm=-0.18069474399089813
  Angle -8: cl=-0.6941538453102112, cd=0.16815946996212006, cm=-0.1748494654893875
  Angle -7: cl=-0.7124055027961731, cd=0.13602642714977264, cm=-0.17035521566867828
  Angle -6: cl=-0.6630427241325378, cd=0.12325568497180939, cm=-0.15644513070583344
  Angle -5: cl=-0.5691158771514893, cd=0.10859408974647522, cm=-0.14355091750621796
  Angle -4: cl=-0.4557150602340698, cd=0.0968211367726326, cm=-0.13134779036045074
  Angle -3: cl=-0.33139002323150635, cd=0.08635959029197693, cm=-0.11878545582294464
  Angle -2: cl=-0.23978659510612488, cd=0.07927833497524261, cm=-0.09717877209186554
