Experiment: Nash_Combination_Experiment_29
Generation: 63
Generation Type: v
Timestamp: 20231226_114558

Genotypes and their Fitness Values:
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.2, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.17448506616604934, Adjusted Fitness: 0.22443391364748663
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.2, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.17448506616604934, Adjusted Fitness: 0.22443391364748663
[0.0085, 0.41, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.006, 0.0025, 7.339544775708534, 10.0] - Base Fitness: -0.27458435826461014, Adjusted Fitness: -0.27458435826461014
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.11, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: -0.46463804322262003, Adjusted Fitness: -0.433036675334968
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.006, 0.0025, 7.339544775708534, 10.0] - Base Fitness: -0.20300000979822364, Adjusted Fitness: -0.16069071647046562
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0126, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: -0.4527923995591134, Adjusted Fitness: -0.44264722127139716
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.015, 0.05, -0.003, 0.0025, 8.153104380251612, 10.0] - Base Fitness: -0.4081812526301925, Adjusted Fitness: -0.4081812526301925
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.46, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.26290551538840984, Adjusted Fitness: 0.36349379768809886
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0126, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: -0.4527923995591134, Adjusted Fitness: -0.44264722127139716
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.006, 0.0025, 7.339544775708534, 10.0] - Base Fitness: -0.20300000979822364, Adjusted Fitness: -0.16069071647046562
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.2, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.17448506616604934, Adjusted Fitness: 0.22443391364748663
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.852097413235878, 10.0] - Base Fitness: 0.23766186092448174, Adjusted Fitness: 0.23832504496131215
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.005, 7.339544775708534, 10.0] - Base Fitness: -0.017367275287992714, Adjusted Fitness: 0.03217310051368981
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: -0.3762769380211217, Adjusted Fitness: -0.36393847768987186
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.2, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.17448506616604934, Adjusted Fitness: 0.22443391364748663
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 8.153104380251612, 10.0] - Base Fitness: 0.22190200494446594, Adjusted Fitness: 0.22298492753944318
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: -0.3762769380211217, Adjusted Fitness: -0.36393847768987186
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.015, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: -0.3762769380211217, Adjusted Fitness: -0.36393847768987186
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.2, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.17448506616604934, Adjusted Fitness: 0.22443391364748663
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.2, -0.003, 0.005, 7.339544775708534, 10.0] - Base Fitness: -0.10733791687247915, Adjusted Fitness: -0.10381522075047629
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.11, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: -0.46463804322262003, Adjusted Fitness: -0.433036675334968
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308
[0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0] - Base Fitness: 0.2592577820059024, Adjusted Fitness: 11929.567062975308

Detailed Results for Each Genotype:
Genotype [0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.2, -0.003, 0.0025, 7.339544775708534, 10.0]:
  Angle -10: cl=-0.5613881945610046, cd=0.23202669620513916, cm=-0.18895290791988373
  Angle -9: cl=-0.5937916040420532, cd=0.1998637616634369, cm=-0.18405665457248688
  Angle -8: cl=-0.6165893077850342, cd=0.16454705595970154, cm=-0.18200014531612396
  Angle -7: cl=-0.6514638066291809, cd=0.13044095039367676, cm=-0.17697171866893768
  Angle -6: cl=-0.6116862893104553, cd=0.11546140164136887, cm=-0.16231243312358856
  Angle -5: cl=-0.5060328245162964, cd=0.1044895201921463, cm=-0.14964376389980316
  Angle -4: cl=-0.4066135585308075, cd=0.09841401875019073, cm=-0.13706795871257782
  Angle -3: cl=-0.30370578169822693, cd=0.09219488501548767, cm=-0.122931107878685
  Angle -2: cl=-0.2261122465133667, cd=0.08658207207918167, cm=-0.10036037862300873
  Angle -1: cl=-0.16593636572360992, cd=0.08215925097465515, cm=-0.07110424339771271
  Angle 0: cl=-0.10039745271205902, cd=0.0816040188074112, cm=-0.042020514607429504
  Angle 1: cl=-0.017822707071900368, cd=0.08221831172704697, cm=-0.019733861088752747
  Angle 2: cl=0.0641884133219719, cd=0.08289159089326859, cm=-0.004181191325187683
  Angle 3: cl=0.30855196714401245, cd=0.06795297563076019, cm=-0.0009423643350601196
  Angle 4: cl=0.4020238518714905, cd=0.0740467831492424, cm=0.0039748698472976685
  Angle 5: cl=0.500143826007843, cd=0.082365982234478, cm=0.007404610514640808
  Angle 6: cl=0.5928050875663757, cd=0.08955356478691101, cm=0.009839266538619995
  Angle 7: cl=0.6829379200935364, cd=0.09614474326372147, cm=0.011980503797531128
  Angle 8: cl=0.7735558748245239, cd=0.1016659140586853, cm=0.010906144976615906
  Angle 9: cl=0.8676638007164001, cd=0.1055995300412178, cm=0.002687707543373108
  Angle 10: cl=0.9675665497779846, cd=0.11018475890159607, cm=-0.005284532904624939
Genotype [0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0]:
  Angle -10: cl=-0.5634207725524902, cd=0.23448865115642548, cm=-0.19001130759716034
  Angle -9: cl=-0.5939263701438904, cd=0.20246431231498718, cm=-0.18467704951763153
  Angle -8: cl=-0.616753876209259, cd=0.1673545241355896, cm=-0.1831177920103073
  Angle -7: cl=-0.6513053774833679, cd=0.13269324600696564, cm=-0.1792512983083725
  Angle -6: cl=-0.6084721684455872, cd=0.11748698353767395, cm=-0.1648600548505783
  Angle -5: cl=-0.5024369955062866, cd=0.10543099045753479, cm=-0.15156416594982147
  Angle -4: cl=-0.401205450296402, cd=0.09882592409849167, cm=-0.1394837647676468
  Angle -3: cl=-0.2989472448825836, cd=0.09281779825687408, cm=-0.12560705840587616
  Angle -2: cl=-0.21682597696781158, cd=0.08739802241325378, cm=-0.10479886829853058
  Angle -1: cl=-0.15632638335227966, cd=0.08297313749790192, cm=-0.07548077404499054
  Angle 0: cl=-0.08803814649581909, cd=0.08226588368415833, cm=-0.0467238575220108
  Angle 1: cl=-0.004901425912976265, cd=0.08252781629562378, cm=-0.023997440934181213
  Angle 2: cl=0.07828260958194733, cd=0.0834776759147644, cm=-0.00858376920223236
  Angle 3: cl=0.31629297137260437, cd=0.06763182580471039, cm=-0.003549054265022278
  Angle 4: cl=0.4203242361545563, cd=0.07255108654499054, cm=0.0018977224826812744
  Angle 5: cl=0.5181724429130554, cd=0.0808403342962265, cm=0.005278244614601135
  Angle 6: cl=0.6091384887695312, cd=0.0882788896560669, cm=0.007924437522888184
  Angle 7: cl=0.6988199353218079, cd=0.09488127380609512, cm=0.010141730308532715
  Angle 8: cl=0.7891604900360107, cd=0.1013600081205368, cm=0.011667788028717041
  Angle 9: cl=0.8832379579544067, cd=0.1052788496017456, cm=0.0035357624292373657
  Angle 10: cl=0.9830612540245056, cd=0.10985884070396423, cm=-0.004432454705238342
Genotype [0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0]:
  Angle -10: cl=-0.5634207725524902, cd=0.23448865115642548, cm=-0.19001130759716034
  Angle -9: cl=-0.5939263701438904, cd=0.20246431231498718, cm=-0.18467704951763153
  Angle -8: cl=-0.616753876209259, cd=0.1673545241355896, cm=-0.1831177920103073
  Angle -7: cl=-0.6513053774833679, cd=0.13269324600696564, cm=-0.1792512983083725
  Angle -6: cl=-0.6084721684455872, cd=0.11748698353767395, cm=-0.1648600548505783
  Angle -5: cl=-0.5024369955062866, cd=0.10543099045753479, cm=-0.15156416594982147
  Angle -4: cl=-0.401205450296402, cd=0.09882592409849167, cm=-0.1394837647676468
  Angle -3: cl=-0.2989472448825836, cd=0.09281779825687408, cm=-0.12560705840587616
  Angle -2: cl=-0.21682597696781158, cd=0.08739802241325378, cm=-0.10479886829853058
  Angle -1: cl=-0.15632638335227966, cd=0.08297313749790192, cm=-0.07548077404499054
  Angle 0: cl=-0.08803814649581909, cd=0.08226588368415833, cm=-0.0467238575220108
  Angle 1: cl=-0.004901425912976265, cd=0.08252781629562378, cm=-0.023997440934181213
  Angle 2: cl=0.07828260958194733, cd=0.0834776759147644, cm=-0.00858376920223236
  Angle 3: cl=0.31629297137260437, cd=0.06763182580471039, cm=-0.003549054265022278
  Angle 4: cl=0.4203242361545563, cd=0.07255108654499054, cm=0.0018977224826812744
  Angle 5: cl=0.5181724429130554, cd=0.0808403342962265, cm=0.005278244614601135
  Angle 6: cl=0.6091384887695312, cd=0.0882788896560669, cm=0.007924437522888184
  Angle 7: cl=0.6988199353218079, cd=0.09488127380609512, cm=0.010141730308532715
  Angle 8: cl=0.7891604900360107, cd=0.1013600081205368, cm=0.011667788028717041
  Angle 9: cl=0.8832379579544067, cd=0.1052788496017456, cm=0.0035357624292373657
  Angle 10: cl=0.9830612540245056, cd=0.10985884070396423, cm=-0.004432454705238342
Genotype [0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.2, -0.003, 0.0025, 7.339544775708534, 10.0]:
  Angle -10: cl=-0.5613881945610046, cd=0.23202669620513916, cm=-0.18895290791988373
  Angle -9: cl=-0.5937916040420532, cd=0.1998637616634369, cm=-0.18405665457248688
  Angle -8: cl=-0.6165893077850342, cd=0.16454705595970154, cm=-0.18200014531612396
  Angle -7: cl=-0.6514638066291809, cd=0.13044095039367676, cm=-0.17697171866893768
  Angle -6: cl=-0.6116862893104553, cd=0.11546140164136887, cm=-0.16231243312358856
  Angle -5: cl=-0.5060328245162964, cd=0.1044895201921463, cm=-0.14964376389980316
  Angle -4: cl=-0.4066135585308075, cd=0.09841401875019073, cm=-0.13706795871257782
  Angle -3: cl=-0.30370578169822693, cd=0.09219488501548767, cm=-0.122931107878685
  Angle -2: cl=-0.2261122465133667, cd=0.08658207207918167, cm=-0.10036037862300873
  Angle -1: cl=-0.16593636572360992, cd=0.08215925097465515, cm=-0.07110424339771271
  Angle 0: cl=-0.10039745271205902, cd=0.0816040188074112, cm=-0.042020514607429504
  Angle 1: cl=-0.017822707071900368, cd=0.08221831172704697, cm=-0.019733861088752747
  Angle 2: cl=0.0641884133219719, cd=0.08289159089326859, cm=-0.004181191325187683
  Angle 3: cl=0.30855196714401245, cd=0.06795297563076019, cm=-0.0009423643350601196
  Angle 4: cl=0.4020238518714905, cd=0.0740467831492424, cm=0.0039748698472976685
  Angle 5: cl=0.500143826007843, cd=0.082365982234478, cm=0.007404610514640808
  Angle 6: cl=0.5928050875663757, cd=0.08955356478691101, cm=0.009839266538619995
  Angle 7: cl=0.6829379200935364, cd=0.09614474326372147, cm=0.011980503797531128
  Angle 8: cl=0.7735558748245239, cd=0.1016659140586853, cm=0.010906144976615906
  Angle 9: cl=0.8676638007164001, cd=0.1055995300412178, cm=0.002687707543373108
  Angle 10: cl=0.9675665497779846, cd=0.11018475890159607, cm=-0.005284532904624939
Genotype [0.0085, 0.41, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.006, 0.0025, 7.339544775708534, 10.0]:
  Angle -10: cl=-0.5662160515785217, cd=0.19274240732192993, cm=-0.16878525912761688
  Angle -9: cl=-0.6094031929969788, cd=0.1672312319278717, cm=-0.1613207906484604
  Angle -8: cl=-0.6543763279914856, cd=0.14391657710075378, cm=-0.15301425755023956
  Angle -7: cl=-0.6709744930267334, cd=0.1230091080069542, cm=-0.14378218352794647
  Angle -6: cl=-0.5449880361557007, cd=0.1082850992679596, cm=-0.1384875327348709
  Angle -5: cl=-0.42133310437202454, cd=0.09206151962280273, cm=-0.11443103849887848
  Angle -4: cl=-0.33569541573524475, cd=0.0857570469379425, cm=-0.08937878906726837
  Angle -3: cl=-0.25433018803596497, cd=0.08046372979879379, cm=-0.06378786265850067
  Angle -2: cl=-0.20025083422660828, cd=0.0858583077788353, cm=-0.04412497580051422
  Angle -1: cl=-0.15428218245506287, cd=0.09248284995555878, cm=-0.026272162795066833
  Angle 0: cl=-0.10641302168369293, cd=0.10073269158601761, cm=-0.007010146975517273
  Angle 1: cl=-0.05121934413909912, cd=0.10781095176935196, cm=0.008288875222206116
  Angle 2: cl=0.08128282427787781, cd=0.10533713549375534, cm=0.013585031032562256
  Angle 3: cl=0.15245883166790009, cd=0.10742669552564621, cm=0.009588703513145447
  Angle 4: cl=0.2245313823223114, cd=0.10951228439807892, cm=0.005699470639228821
  Angle 5: cl=0.3030528128147125, cd=0.11123751103878021, cm=0.0019347071647644043
  Angle 6: cl=0.3954713046550751, cd=0.11296279728412628, cm=-0.003009811043739319
  Angle 7: cl=0.5074446797370911, cd=0.1124228835105896, cm=-0.015062704682350159
  Angle 8: cl=0.630304753780365, cd=0.11009395122528076, cm=-0.03322775661945343
  Angle 9: cl=0.7524172067642212, cd=0.10845837742090225, cm=-0.05453886091709137
  Angle 10: cl=0.8733499646186829, cd=0.10638207197189331, cm=-0.07887841761112213
Genotype [0.0085, 0.4526028857399901, 0.13, -0.7, 0.26, -0.02298493293739014, 0.05, -0.003, 0.0025, 7.339544775708534, 10.0]:
  Angle -10: cl=-0.5634207725524902, cd=0.23448865115642548, cm=-0.19001130759716034
  Angle -9: cl=-0.5939263701438904, cd=0.20246431231498718, cm=-0.18467704951763153
  Angle -8: cl=-0.616753876209259, cd=0.1673545241355896, cm=-0.1831177920103073
  Angle -7: cl=-0.6513053774833679, cd=0.13269324600696564, cm=-0.1792512983083725
  Angle -6: cl=-0.6084721684455872, cd=0.11748698353767395, cm=-0.1648600548505783
  Angle -5: cl=-0.5024369955062866, cd=0.10543099045753479, cm=-0.15156416594982147
  Angle -4: cl=-0.401205450296402, cd=0.09882592409849167, cm=-0.1394837647676468
  Angle -3: cl=-0.2989472448825836, cd=0.09281779825687408, cm=-0.12560705840587616
  Angle -2: cl=-0.21682597696781158, cd=0.08739802241325378, cm=-0.10479886829853058
  Angle -1: cl=-0.15632638335227966, cd=0.08297313749790192, cm=-0.07548077404499054
  Angle 0: cl=-0.08803814649581909, cd=0.08226588368415833, cm=-0.0467238575220108
  Angle 1: cl=-0.004901425912976265, cd=0.08252781629562378, cm=-0.023997440934181213
  Angle 2: cl=0.07828260958194733, cd=0.0834776759147644, cm=-0.00858376920223236
