Experiment: Nash_Combination_Experiment_3
Generation: 25
Generation Type: u
Timestamp: 20231226_034021

Genotypes and their Fitness Values:
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.1120619091326964, -0.003, 0.002711945684953109, 8.916620279670523, 10.872656832309309] - Base Fitness: 0.01826846953298294, Adjusted Fitness: 0.01906054520510593
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.26, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.872200306661929, 10.898579228096681] - Base Fitness: 0.053304693995949406, Adjusted Fitness: 0.05351954788446387
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.26, -0.023, 0.06800170085293264, -0.003, 0.0025, 8.872200306661929, 10.898579228096681] - Base Fitness: 0.08055017077593479, Adjusted Fitness: 0.08082808327940456
[0.0085, 0.45143654464120725, 0.13, -0.8291360077815857, 0.26, -0.023, 0.10045889128268642, -0.003, 0.0025, 8.872200306661929, 10.923234699589898] - Base Fitness: 0.05450594613748446, Adjusted Fitness: 0.054559833664749514
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.26, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.872200306661929, 10.898579228096681] - Base Fitness: 0.053304693995949406, Adjusted Fitness: 0.05351954788446387
[0.0085, 0.45143654464120725, 0.13, -0.9, 0.26, -0.023, 0.12507744250636316, -0.006, 0.005, 8.887083358629674, 10.898579228096681] - Base Fitness: -0.6347096864957961, Adjusted Fitness: -0.6347096864957961
[0.0085, 0.45059770332629534, 0.13, -0.7920395828826476, 0.2595262768634032, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.887083358629674, 10.875498155497953] - Base Fitness: 0.038238545494915684, Adjusted Fitness: 0.03843338823142581
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.12507744250636316, -0.003, 0.0025, 8.916620279670523, 10.872656832309309] - Base Fitness: 0.03523094239610044, Adjusted Fitness: 0.035595486269130866
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.887083358629674, 10.872656832309309] - Base Fitness: 0.044944421655463286, Adjusted Fitness: 0.045069441337093896
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.887083358629674, 10.871232792169758] - Base Fitness: 0.0449874938354319, Adjusted Fitness: 0.04548789866062307
[0.0085, 0.45059770332629534, 0.13, -0.9, 0.26, -0.023, 0.12507744250636316, -0.003, 0.002711945684953109, 8.916620279670523, 10.872656832309309] - Base Fitness: 0.02208271965175523, Adjusted Fitness: 0.02230888202902854
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.06800170085293264, -0.003, 0.0025, 8.887083358629674, 10.835009958293414] - Base Fitness: 0.07603130522040208, Adjusted Fitness: 0.0761961382630189
[0.0085, 0.45143654464120725, 0.13, -0.9, 0.26, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.872200306661929, 10.898579228096681] - Base Fitness: 0.054711415054981324, Adjusted Fitness: 0.05479051889634948
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.887083358629674, 10.875498155497953] - Base Fitness: 0.04443822931724383, Adjusted Fitness: 0.04472518694882341
[0.0085, 0.46, 0.13, -0.8762087126821649, 0.26, -0.023, 0.0862880770472729, -0.003, 0.0025, 8.887083358629674, 10.923234699589898] - Base Fitness: 0.07041822865949422, Adjusted Fitness: 0.07044891251497278
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.08027890282404632, -0.003, 0.002711945684953109, 8.916620279670523, 10.872656832309309] - Base Fitness: 0.03804990547000781, Adjusted Fitness: 0.03827309772161395
[0.0085, 0.45143654464120725, 0.13, -0.8799260370093528, 0.2595262768634032, -0.023, 0.06800170085293264, -0.003, 0.0025, 8.916620279670523, 10.872656832309309] - Base Fitness: 0.07034170498058215, Adjusted Fitness: 0.07043162557927944
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.06800170085293264, -0.003, 0.0025, 8.887083358629674, 10.871232792169758] - Base Fitness: 0.07219320134616568, Adjusted Fitness: 0.0724214886497825
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.887083358629674, 10.871232792169758] - Base Fitness: 0.0449874938354319, Adjusted Fitness: 0.04548789866062307
[0.0085, 0.46, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.06702037623243208, -0.003, 0.002711945684953109, 8.916620279670523, 10.872656832309309] - Base Fitness: 0.05107724301524253, Adjusted Fitness: 0.05132488821805234
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.12507744250636316, -0.003, 0.0025, 8.887083358629674, 10.871232792169758] - Base Fitness: 0.03687490826290247, Adjusted Fitness: 0.03737031760628112
[0.0085, 0.46, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.06702037623243208, -0.003, 0.002711945684953109, 8.916620279670523, 10.872656832309309] - Base Fitness: 0.05107724301524253, Adjusted Fitness: 0.05132488821805234
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.887083358629674, 10.898579228096681] - Base Fitness: 0.04193151707458919, Adjusted Fitness: 0.04273434797063742
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.14070063516327053, -0.003, 0.0025, 8.887083358629674, 10.898579228096681] - Base Fitness: 0.024166928465845634, Adjusted Fitness: 0.02456614025441446
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.06800170085293264, -0.003, 0.0025, 8.887083358629674, 10.872656832309309] - Base Fitness: 0.07212949023974959, Adjusted Fitness: 0.07217668729651633
[0.0085, 0.46, 0.13, -0.8762087126821649, 0.26, -0.023, 0.06800170085293264, -0.003, 0.0025, 8.877042831816231, 10.835009958293414] - Base Fitness: 0.09208267086618929, Adjusted Fitness: 0.0921218636488147
[0.0085, 0.45143654464120725, 0.11, -0.8799260370093528, 0.2595262768634032, -0.023, 0.06800170085293264, -0.003, 0.0025, 8.887083358629674, 10.835009958293414] - Base Fitness: -0.6314555629672897, Adjusted Fitness: -0.6314555629672897
[0.0085, 0.45143654464120725, 0.13, -0.9, 0.26, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.887083358629674, 10.871232792169758] - Base Fitness: 0.057271647202231844, Adjusted Fitness: 0.05740401867584904
[0.0085, 0.45143654464120725, 0.13, -0.9, 0.26, -0.015, 0.12507744250636316, -0.003, 0.0025, 8.887083358629674, 10.872656832309309] - Base Fitness: -0.5497700826740325, Adjusted Fitness: -0.5497700826740325
[0.0085, 0.45143654464120725, 0.13, -0.8799260370093528, 0.2595262768634032, -0.023, 0.1120619091326964, -0.003, 0.005, 8.887083358629674, 10.872656832309309] - Base Fitness: -0.22777231785645394, Adjusted Fitness: -0.22777231785645394
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.887083358629674, 10.871232792169758] - Base Fitness: 0.0449874938354319, Adjusted Fitness: 0.04548789866062307
[0.0085, 0.45143654464120725, 0.13, -0.9, 0.26, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.872200306661929, 10.898579228096681] - Base Fitness: 0.054711415054981324, Adjusted Fitness: 0.05479051889634948
[0.0085, 0.45143654464120725, 0.13, -0.9, 0.2595262768634032, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.907445164092566, 10.898579228096681] - Base Fitness: 0.04246502151933661, Adjusted Fitness: 0.04268718536057939
[0.0085, 0.46, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.872200306661929, 10.851832991698206] - Base Fitness: 0.053197562472783747, Adjusted Fitness: 0.05331892764636785
[0.0085, 0.46, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.1019730276448508, -0.003, 0.002711945684953109, 8.916620279670523, 10.872656832309309] - Base Fitness: 0.029443735242487293, Adjusted Fitness: 0.029616948943906086
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.12507744250636316, -0.003, 0.0025, 8.89348745572498, 10.898579228096681] - Base Fitness: 0.03351377939866096, Adjusted Fitness: 0.033719200675365074
[0.0085, 0.45143654464120725, 0.13, -0.9, 0.2595262768634032, -0.023, 0.12507744250636316, -0.003, 0.0025, 8.887083358629674, 10.871232792169758] - Base Fitness: 0.0384319602040129, Adjusted Fitness: 0.03862792411871306
[0.0085, 0.45143654464120725, 0.13, -0.9, 0.26, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.887083358629674, 10.871232792169758] - Base Fitness: 0.057271647202231844, Adjusted Fitness: 0.05740401867584904
[0.0085, 0.45143654464120725, 0.13, -0.9, 0.26, -0.023, 0.1120619091326964, -0.003, 0.005, 8.887083358629674, 10.835009958293414] - Base Fitness: -0.21316795245771136, Adjusted Fitness: -0.21316795245771136
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.26, -0.023, 0.10332199396433457, -0.003, 0.0025, 8.872200306661929, 10.898579228096681] - Base Fitness: 0.05871430801743919, Adjusted Fitness: 0.05875330361823426
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.887083358629674, 10.871232792169758] - Base Fitness: 0.0449874938354319, Adjusted Fitness: 0.04548789866062307
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.26, -0.023, 0.12507744250636316, -0.003, 0.002711945684953109, 8.925422265591052, 10.88885953157615] - Base Fitness: 0.018679200665393046, Adjusted Fitness: 0.019104966512006296
[0.0085, 0.46, 0.11, -0.8762087126821649, 0.2595262768634032, -0.023, 0.14070063516327053, -0.003, 0.0025, 8.887083358629674, 10.898579228096681] - Base Fitness: -0.6826571968409406, Adjusted Fitness: -0.6826571968409406
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.872200306661929, 10.898579228096681] - Base Fitness: 0.04286750507617802, Adjusted Fitness: 0.044594635154197544
[0.0085, 0.46, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.887083358629674, 10.871232792169758] - Base Fitness: 0.05012447083500125, Adjusted Fitness: 0.05024499564677527
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.22368834812542357, -0.023, 0.12507744250636316, -0.003, 0.0025, 8.887083358629674, 10.871232792169758] - Base Fitness: -0.8943313800631181, Adjusted Fitness: -0.8943313800631181
[0.0085, 0.46, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.1019730276448508, -0.003, 0.002711945684953109, 8.925422265591052, 10.872656832309309] - Base Fitness: 0.028962716992022738, Adjusted Fitness: 0.029138449046181347
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.887083358629674, 10.871232792169758] - Base Fitness: 0.0449874938354319, Adjusted Fitness: 0.04548789866062307
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.872200306661929, 10.851832991698206] - Base Fitness: 0.04815283924808216, Adjusted Fitness: 0.04837304529910909
[0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.872200306661929, 10.835009958293414] - Base Fitness: 0.05006150722448021, Adjusted Fitness: 0.050181532112402026

Detailed Results for Each Genotype:
Genotype [0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.2595262768634032, -0.023, 0.1120619091326964, -0.003, 0.002711945684953109, 8.916620279670523, 10.872656832309309]:
  Angle -10: cl=-0.5535099506378174, cd=0.2244216948747635, cm=-0.1872507780790329
  Angle -9: cl=-0.5834376811981201, cd=0.1922304928302765, cm=-0.18330253660678864
  Angle -8: cl=-0.6058831810951233, cd=0.1569092720746994, cm=-0.18121035397052765
  Angle -7: cl=-0.6409262418746948, cd=0.1249004378914833, cm=-0.17215006053447723
  Angle -6: cl=-0.6110602617263794, cd=0.11267659068107605, cm=-0.15792934596538544
  Angle -5: cl=-0.5098041296005249, cd=0.10312215238809586, cm=-0.14495356380939484
  Angle -4: cl=-0.4124623239040375, cd=0.09737500548362732, cm=-0.13144280016422272
  Angle -3: cl=-0.3095257878303528, cd=0.0906040221452713, cm=-0.11606164276599884
  Angle -2: cl=-0.24496006965637207, cd=0.08468104153871536, cm=-0.08892174065113068
  Angle -1: cl=-0.1850803941488266, cd=0.08077449351549149, cm=-0.059300497174263
  Angle 0: cl=-0.11832545697689056, cd=0.08109599351882935, cm=-0.03192169964313507
  Angle 1: cl=-0.045637309551239014, cd=0.08162284642457962, cm=-0.008764222264289856
  Angle 2: cl=0.0380939245223999, cd=0.087050661444664, cm=0.0024949461221694946
  Angle 3: cl=0.274935245513916, cd=0.07498422265052795, cm=0.0037783831357955933
  Angle 4: cl=0.3648051917552948, cd=0.08055395632982254, cm=0.009214594960212708
  Angle 5: cl=0.4609067142009735, cd=0.08730865269899368, cm=0.012666076421737671
  Angle 6: cl=0.5583794713020325, cd=0.09390993416309357, cm=0.014508634805679321
  Angle 7: cl=0.6512179970741272, cd=0.099933922290802, cm=0.015080645680427551
  Angle 8: cl=0.7431135177612305, cd=0.10317064076662064, cm=0.007677212357521057
  Angle 9: cl=0.8366060853004456, cd=0.10721314698457718, cm=-0.0006681382656097412
  Angle 10: cl=0.9341415762901306, cd=0.11187677085399628, cm=-0.009462133049964905
Genotype [0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.26, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.872200306661929, 10.898579228096681]:
  Angle -10: cl=-0.5555917620658875, cd=0.22561517357826233, cm=-0.18756051361560822
  Angle -9: cl=-0.5862604975700378, cd=0.19349507987499237, cm=-0.1835908144712448
  Angle -8: cl=-0.6085572242736816, cd=0.15815933048725128, cm=-0.1814623922109604
  Angle -7: cl=-0.643871009349823, cd=0.1256936937570572, cm=-0.1730879694223404
  Angle -6: cl=-0.6106081008911133, cd=0.11310795694589615, cm=-0.15875358879566193
  Angle -5: cl=-0.5080254077911377, cd=0.10326942056417465, cm=-0.14585967361927032
  Angle -4: cl=-0.4110196828842163, cd=0.09765028208494186, cm=-0.13252149522304535
  Angle -3: cl=-0.30727502703666687, cd=0.0909370481967926, cm=-0.1176316887140274
  Angle -2: cl=-0.24103790521621704, cd=0.08502019196748734, cm=-0.09097780287265778
  Angle -1: cl=-0.1813478171825409, cd=0.08111116290092468, cm=-0.06145621836185455
  Angle 0: cl=-0.11437349021434784, cd=0.08128262311220169, cm=-0.03381337225437164
  Angle 1: cl=-0.03932231664657593, cd=0.0817284882068634, cm=-0.010605290532112122
  Angle 2: cl=0.043855294585227966, cd=0.08605886995792389, cm=0.0016732066869735718
  Angle 3: cl=0.28191131353378296, cd=0.07372972369194031, cm=0.0030738860368728638
  Angle 4: cl=0.3732132613658905, cd=0.0792773962020874, cm=0.008320257067680359
  Angle 5: cl=0.469778448343277, cd=0.08644023537635803, cm=0.011747747659683228
  Angle 6: cl=0.5658081769943237, cd=0.09313272684812546, cm=0.0136842280626297
  Angle 7: cl=0.6582955121994019, cd=0.09966646134853363, cm=0.015620499849319458
  Angle 8: cl=0.750232458114624, cd=0.10288253426551819, cm=0.008209273219108582
  Angle 9: cl=0.8436068296432495, cd=0.10691118985414505, cm=-0.00013759732246398926
  Angle 10: cl=0.9419483542442322, cd=0.11154197156429291, cm=-0.008533582091331482
Genotype [0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.26, -0.023, 0.06800170085293264, -0.003, 0.0025, 8.872200306661929, 10.898579228096681]:
  Angle -10: cl=-0.5558773875236511, cd=0.22645480930805206, cm=-0.18769703805446625
  Angle -9: cl=-0.5862551331520081, cd=0.19425205886363983, cm=-0.18380774557590485
  Angle -8: cl=-0.608601987361908, cd=0.15894562005996704, cm=-0.18161289393901825
  Angle -7: cl=-0.6434167623519897, cd=0.1263258159160614, cm=-0.17374853789806366
  Angle -6: cl=-0.609383761882782, cd=0.11339233815670013, cm=-0.15937744081020355
  Angle -5: cl=-0.5062387585639954, cd=0.10335195809602737, cm=-0.14649741351604462
  Angle -4: cl=-0.40970590710639954, cd=0.09783635288476944, cm=-0.1333588808774948
  Angle -3: cl=-0.3056468069553375, cd=0.09112350642681122, cm=-0.11842496693134308
  Angle -2: cl=-0.23816096782684326, cd=0.08525560796260834, cm=-0.09232120215892792
  Angle -1: cl=-0.17834658920764923, cd=0.08137590438127518, cm=-0.06275607645511627
  Angle 0: cl=-0.11138534545898438, cd=0.08142198622226715, cm=-0.0349382609128952
  Angle 1: cl=-0.03523065894842148, cd=0.08190078288316727, cm=-0.011845305562019348
  Angle 2: cl=0.04781493544578552, cd=0.08544442802667618, cm=0.0011861324310302734
  Angle 3: cl=0.286813884973526, cd=0.0729905217885971, cm=0.002506852149963379
  Angle 4: cl=0.3785646855831146, cd=0.07850632816553116, cm=0.0077095478773117065
  Angle 5: cl=0.4750957787036896, cd=0.0859832689166069, cm=0.011142522096633911
  Angle 6: cl=0.5706128478050232, cd=0.09275995939970016, cm=0.01315326988697052
  Angle 7: cl=0.6628519892692566, cd=0.09930865466594696, cm=0.0151243656873703
  Angle 8: cl=0.7547783851623535, cd=0.10278858989477158, cm=0.008464470505714417
  Angle 9: cl=0.8482558727264404, cd=0.10681701451539993, cm=0.00010824203491210938
  Angle 10: cl=0.9469265341758728, cd=0.11141559481620789, cm=-0.008155867457389832
Genotype [0.0085, 0.45143654464120725, 0.13, -0.8291360077815857, 0.26, -0.023, 0.10045889128268642, -0.003, 0.0025, 8.872200306661929, 10.923234699589898]:
  Angle -10: cl=-0.5558874607086182, cd=0.22577162086963654, cm=-0.18756021559238434
  Angle -9: cl=-0.5864686965942383, cd=0.1936827450990677, cm=-0.18358029425144196
  Angle -8: cl=-0.6087161898612976, cd=0.15835754573345184, cm=-0.18141935765743256
  Angle -7: cl=-0.6440593004226685, cd=0.12585467100143433, cm=-0.17319466173648834
  Angle -6: cl=-0.6106230020523071, cd=0.11317570507526398, cm=-0.1588241010904312
  Angle -5: cl=-0.5076923966407776, cd=0.10326119512319565, cm=-0.1459840089082718
  Angle -4: cl=-0.41098856925964355, cd=0.09767021983861923, cm=-0.13266406953334808
  Angle -3: cl=-0.3071112334728241, cd=0.09095218032598495, cm=-0.11776380240917206
  Angle -2: cl=-0.24062544107437134, cd=0.08502347767353058, cm=-0.0912209302186966
  Angle -1: cl=-0.18084873259067535, cd=0.08115437626838684, cm=-0.061701700091362
  Angle 0: cl=-0.11389824748039246, cd=0.0812828540802002, cm=-0.034035488963127136
  Angle 1: cl=-0.039092548191547394, cd=0.08173379302024841, cm=-0.010775759816169739
  Angle 2: cl=0.044113889336586, cd=0.08594594895839691, cm=0.0016146153211593628
  Angle 3: cl=0.28239530324935913, cd=0.07362326979637146, cm=0.002967149019241333
  Angle 4: cl=0.3734426200389862, cd=0.0791509747505188, cm=0.008280202746391296
  Angle 5: cl=0.46990156173706055, cd=0.08633981645107269, cm=0.011725097894668579
  Angle 6: cl=0.5659427046775818, cd=0.09306126832962036, cm=0.013664782047271729
  Angle 7: cl=0.6584163308143616, cd=0.09962838143110275, cm=0.015590205788612366
  Angle 8: cl=0.750162661075592, cd=0.10284446179866791, cm=0.00830945372581482
  Angle 9: cl=0.8434858918190002, cd=0.10687785595655441, cm=-6.431341171264648e-05
  Angle 10: cl=0.9422551393508911, cd=0.11150078475475311, cm=-0.008438721299171448
Genotype [0.0085, 0.45143654464120725, 0.13, -0.8762087126821649, 0.26, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.872200306661929, 10.898579228096681]:
  Angle -10: cl=-0.5555917620658875, cd=0.22561517357826233, cm=-0.18756051361560822
  Angle -9: cl=-0.5862604975700378, cd=0.19349507987499237, cm=-0.1835908144712448
  Angle -8: cl=-0.6085572242736816, cd=0.15815933048725128, cm=-0.1814623922109604
  Angle -7: cl=-0.643871009349823, cd=0.1256936937570572, cm=-0.1730879694223404
  Angle -6: cl=-0.6106081008911133, cd=0.11310795694589615, cm=-0.15875358879566193
  Angle -5: cl=-0.5080254077911377, cd=0.10326942056417465, cm=-0.14585967361927032
  Angle -4: cl=-0.4110196828842163, cd=0.09765028208494186, cm=-0.13252149522304535
  Angle -3: cl=-0.30727502703666687, cd=0.0909370481967926, cm=-0.1176316887140274
  Angle -2: cl=-0.24103790521621704, cd=0.08502019196748734, cm=-0.09097780287265778
  Angle -1: cl=-0.1813478171825409, cd=0.08111116290092468, cm=-0.06145621836185455
  Angle 0: cl=-0.11437349021434784, cd=0.08128262311220169, cm=-0.03381337225437164
  Angle 1: cl=-0.03932231664657593, cd=0.0817284882068634, cm=-0.010605290532112122
  Angle 2: cl=0.043855294585227966, cd=0.08605886995792389, cm=0.0016732066869735718
  Angle 3: cl=0.28191131353378296, cd=0.07372972369194031, cm=0.0030738860368728638
  Angle 4: cl=0.3732132613658905, cd=0.0792773962020874, cm=0.008320257067680359
  Angle 5: cl=0.469778448343277, cd=0.08644023537635803, cm=0.011747747659683228
  Angle 6: cl=0.5658081769943237, cd=0.09313272684812546, cm=0.0136842280626297
  Angle 7: cl=0.6582955121994019, cd=0.09966646134853363, cm=0.015620499849319458
  Angle 8: cl=0.750232458114624, cd=0.10288253426551819, cm=0.008209273219108582
  Angle 9: cl=0.8436068296432495, cd=0.10691118985414505, cm=-0.00013759732246398926
  Angle 10: cl=0.9419483542442322, cd=0.11154197156429291, cm=-0.008533582091331482
Genotype [0.0085, 0.45143654464120725, 0.13, -0.9, 0.26, -0.023, 0.12507744250636316, -0.006, 0.005, 8.887083358629674, 10.898579228096681]:
  Angle -10: cl=-0.5465561747550964, cd=0.18725691735744476, cm=-0.16739897429943085
  Angle -9: cl=-0.5837116241455078, cd=0.1604592651128769, cm=-0.16100750863552094
  Angle -8: cl=-0.615233302116394, cd=0.13075825572013855, cm=-0.15650559961795807
  Angle -7: cl=-0.6460024118423462, cd=0.10923023521900177, cm=-0.13611285388469696
  Angle -6: cl=-0.597331702709198, cd=0.09819437563419342, cm=-0.11099742352962494
  Angle -5: cl=-0.5135565996170044, cd=0.09138735383749008, cm=-0.08576403558254242
  Angle -4: cl=-0.43728363513946533, cd=0.08873148262500763, cm=-0.06418578326702118
  Angle -3: cl=-0.3864056468009949, cd=0.09258473664522171, cm=-0.047811731696128845
  Angle -2: cl=-0.34528008103370667, cd=0.0984649583697319, cm=-0.02986113727092743
  Angle -1: cl=-0.29029878973960876, cd=0.10434824228286743, cm=-0.016121551394462585
  Angle 0: cl=-0.2234485149383545, cd=0.10937470942735672, cm=-0.0015414804220199585
  Angle 1: cl=-0.15664039552211761, cd=0.11358512938022614, cm=0.010808765888214111
  Angle 2: cl=-0.004780160263180733, cd=0.1087646409869194, cm=0.007042884826660156
  Angle 3: cl=0.09465455263853073, cd=0.1112804114818573, cm=0.002720654010772705
  Angle 4: cl=0.18746371567249298, cd=0.11249648779630661, cm=-0.004765644669532776
  Angle 5: cl=0.3048402667045593, cd=0.11039808392524719, cm=-0.022823229432106018
  Angle 6: cl=0.4171598553657532, cd=0.10836271196603775, cm=-0.039397820830345154
  Angle 7: cl=0.5365691184997559, cd=0.10600224882364273, cm=-0.05681626498699188
  Angle 8: cl=0.6545407772064209, cd=0.10478773713111877, cm=-0.07915501296520233
  Angle 9: cl=0.7734491229057312, cd=0.10336475074291229, cm=-0.10211355984210968
  Angle 10: cl=0.8848598599433899, cd=0.10241075605154037, cm=-0.12523813545703888
Genotype [0.0085, 0.45059770332629534, 0.13, -0.7920395828826476, 0.2595262768634032, -0.023, 0.1120619091326964, -0.003, 0.0025, 8.887083358629674, 10.875498155497953]:
  Angle -10: cl=-0.5558647513389587, cd=0.22526700794696808, cm=-0.18732251226902008
  Angle -9: cl=-0.5865920782089233, cd=0.1933424025774002, cm=-0.18333499133586884
  Angle -8: cl=-0.6090078353881836, cd=0.1579573154449463, cm=-0.18117521703243256
