Experiment: Nash_Combination_Experiment_3
Generation: 60
Generation Type: u
Timestamp: 20231226_034612

Genotypes and their Fitness Values:
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.781128330506473] - Base Fitness: 0.11340977567923298, Adjusted Fitness: 0.11340977567923298
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.73580023119075] - Base Fitness: 0.11874285420721738, Adjusted Fitness: 0.11874285420721738
[0.0085, 0.46, 0.13, -0.9, 0.24859816990651348, -0.023, 0.05, -0.003, 0.0025, 8.828618087843212, 10.770599363288582] - Base Fitness: -0.15620722871664164, Adjusted Fitness: -0.15620722871664164
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.851808966816684, 10.770599363288582] - Base Fitness: 0.11344746057708438, Adjusted Fitness: 0.11344746057708438
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.781128330506473] - Base Fitness: 0.11340977567923298, Adjusted Fitness: 0.11340977567923298
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.820726203501042, 10.749733165488712] - Base Fitness: 0.1176640253240099, Adjusted Fitness: 0.1176640253240099
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.820726203501042, 10.749733165488712] - Base Fitness: 0.1176640253240099, Adjusted Fitness: 0.1176640253240099
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.851808966816684, 10.770599363288582] - Base Fitness: 0.11344746057708438, Adjusted Fitness: 0.11344746057708438
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.781128330506473] - Base Fitness: 0.11340977567923298, Adjusted Fitness: 0.11340977567923298
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.820726203501042, 10.749733165488712] - Base Fitness: 0.1176640253240099, Adjusted Fitness: 0.1176640253240099
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.73580023119075] - Base Fitness: 0.11874285420721738, Adjusted Fitness: 0.11874285420721738
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.781128330506473] - Base Fitness: 0.11340977567923298, Adjusted Fitness: 0.11340977567923298
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.781128330506473] - Base Fitness: 0.11340977567923298, Adjusted Fitness: 0.11340977567923298
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.828618087843212, 10.770599363288582] - Base Fitness: 0.11474572146672919, Adjusted Fitness: 0.11474572146672919
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.781128330506473] - Base Fitness: 0.11340977567923298, Adjusted Fitness: 0.11340977567923298
[0.0085, 0.4168271325053198, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.828618087843212, 10.770599363288582] - Base Fitness: 0.0350053739653129, Adjusted Fitness: 0.0350053739653129
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.73580023119075] - Base Fitness: 0.11874285420721738, Adjusted Fitness: 0.11874285420721738
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.07898088245693287, -0.003, 0.0025, 8.827662008792327, 10.781128330506473] - Base Fitness: 0.0956806454839966, Adjusted Fitness: 0.0956806454839966
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.749733165488712] - Base Fitness: 0.11715316077360416, Adjusted Fitness: 0.11715316077360416
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.848297489406844, 10.781128330506473] - Base Fitness: 0.11228976374782743, Adjusted Fitness: 0.11228976374782743
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.81043384131192, 10.73580023119075] - Base Fitness: 0.11973574579073021, Adjusted Fitness: 0.11973574579073021
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.820726203501042, 10.749733165488712] - Base Fitness: 0.1176640253240099, Adjusted Fitness: 0.1176640253240099
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.781128330506473] - Base Fitness: 0.11340977567923298, Adjusted Fitness: 0.11340977567923298
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 8.820726203501042, 10.781128330506473] - Base Fitness: -0.32472938023541487, Adjusted Fitness: -0.32472938023541487
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 8.828618087843212, 10.770599363288582] - Base Fitness: -0.32403619026456765, Adjusted Fitness: -0.32403619026456765
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.749733165488712] - Base Fitness: 0.11715316077360416, Adjusted Fitness: 0.11715316077360416
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.73580023119075] - Base Fitness: 0.11874285420721738, Adjusted Fitness: 0.11874285420721738
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.781128330506473] - Base Fitness: 0.11340977567923298, Adjusted Fitness: 0.11340977567923298
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.006, 0.0025, 8.827662008792327, 10.749733165488712] - Base Fitness: -0.3223779583305239, Adjusted Fitness: -0.3223779583305239
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.749733165488712] - Base Fitness: 0.11715316077360416, Adjusted Fitness: 0.11715316077360416
[0.0085, 0.46, 0.13, -0.8874750475155806, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.781128330506473] - Base Fitness: 0.11236165603747893, Adjusted Fitness: 0.11236165603747893
[0.0085, 0.46, 0.11, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.781128330506473] - Base Fitness: -0.6058204403345718, Adjusted Fitness: -0.6058204403345718
[0.0085, 0.46, 0.13, -0.8865179057653949, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.828618087843212, 10.770599363288582] - Base Fitness: 0.11394786940898692, Adjusted Fitness: 0.11394786940898692
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.73580023119075] - Base Fitness: 0.11874285420721738, Adjusted Fitness: 0.11874285420721738
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.781128330506473] - Base Fitness: 0.11340977567923298, Adjusted Fitness: 0.11340977567923298
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.015, 0.05, -0.003, 0.0025, 8.820726203501042, 10.770599363288582] - Base Fitness: -0.5057568060267417, Adjusted Fitness: -0.5057568060267417
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.73580023119075] - Base Fitness: 0.11874285420721738, Adjusted Fitness: 0.11874285420721738
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.781128330506473] - Base Fitness: 0.11340977567923298, Adjusted Fitness: 0.11340977567923298
[0.0085, 0.46, 0.13, -0.8983691164028629, 0.26, -0.023, 0.05, -0.006, 0.0025, 8.820726203501042, 10.749733165488712] - Base Fitness: -0.3224131921549392, Adjusted Fitness: -0.3224131921549392
[0.0085, 0.4398655015987422, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.825292050219492] - Base Fitness: 0.08696616984788294, Adjusted Fitness: 0.08696616984788294
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.749733165488712] - Base Fitness: 0.11715316077360416, Adjusted Fitness: 0.11715316077360416
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.781128330506473] - Base Fitness: 0.11340977567923298, Adjusted Fitness: 0.11340977567923298
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.828618087843212, 10.770599363288582] - Base Fitness: 0.11474572146672919, Adjusted Fitness: 0.11474572146672919
[0.0126, 0.4150184483672727, 0.11, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.781128330506473] - Base Fitness: -1.2605741914680861, Adjusted Fitness: -1.2605741914680861
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.781128330506473] - Base Fitness: 0.11340977567923298, Adjusted Fitness: 0.11340977567923298
[0.0085, 0.44436806699214476, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.781128330506473] - Base Fitness: 0.10020397870750962, Adjusted Fitness: 0.10020397870750962
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.73580023119075] - Base Fitness: 0.11874285420721738, Adjusted Fitness: 0.11874285420721738
[0.0126, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.749733165488712] - Base Fitness: -0.5721420055990656, Adjusted Fitness: -0.5721420055990656
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.749733165488712] - Base Fitness: 0.11715316077360416, Adjusted Fitness: 0.11715316077360416
[0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.828618087843212, 10.770599363288582] - Base Fitness: 0.11474572146672919, Adjusted Fitness: 0.11474572146672919

Detailed Results for Each Genotype:
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.781128330506473]:
  Angle -10: cl=-0.559455394744873, cd=0.22705405950546265, cm=-0.1886487752199173
  Angle -9: cl=-0.5843986868858337, cd=0.19344046711921692, cm=-0.18599261343479156
  Angle -8: cl=-0.6072419881820679, cd=0.15841446816921234, cm=-0.18425659835338593
  Angle -7: cl=-0.6468662619590759, cd=0.12543977797031403, cm=-0.17662353813648224
  Angle -6: cl=-0.6052569150924683, cd=0.11260123550891876, cm=-0.16143716871738434
  Angle -5: cl=-0.5105212330818176, cd=0.10387314110994339, cm=-0.1477479189634323
  Angle -4: cl=-0.4155755341053009, cd=0.09875357151031494, cm=-0.13456784188747406
  Angle -3: cl=-0.3124326169490814, cd=0.09233289211988449, cm=-0.12005062401294708
  Angle -2: cl=-0.2445305585861206, cd=0.08670827746391296, cm=-0.09394948184490204
  Angle -1: cl=-0.18378369510173798, cd=0.08235207945108414, cm=-0.06451837718486786
  Angle 0: cl=-0.11522172391414642, cd=0.08219932019710541, cm=-0.037234142422676086
  Angle 1: cl=-0.033130206167697906, cd=0.08255018293857574, cm=-0.015195950865745544
  Angle 2: cl=0.0508822500705719, cd=0.0842972844839096, cm=-0.000567898154258728
  Angle 3: cl=0.29518190026283264, cd=0.07106300443410873, cm=0.00029687583446502686
  Angle 4: cl=0.39063549041748047, cd=0.07656638324260712, cm=0.005158171057701111
  Angle 5: cl=0.4882825016975403, cd=0.0847935602068901, cm=0.008487462997436523
  Angle 6: cl=0.5855449438095093, cd=0.09138086438179016, cm=0.010250389575958252
  Angle 7: cl=0.6760786771774292, cd=0.09796592593193054, cm=0.012549161911010742
  Angle 8: cl=0.7674735188484192, cd=0.1025945171713829, cm=0.008697494864463806
  Angle 9: cl=0.8623220920562744, cd=0.10676981508731842, cm=0.0003811269998550415
  Angle 10: cl=0.9599124789237976, cd=0.11289460211992264, cm=-0.007541283965110779
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.73580023119075]:
  Angle -10: cl=-0.559624433517456, cd=0.22711381316184998, cm=-0.18875931203365326
  Angle -9: cl=-0.5844953060150146, cd=0.19349408149719238, cm=-0.18603955209255219
  Angle -8: cl=-0.6071745157241821, cd=0.15846672654151917, cm=-0.18433253467082977
  Angle -7: cl=-0.6463013887405396, cd=0.12550346553325653, cm=-0.17671950161457062
  Angle -6: cl=-0.6050036549568176, cd=0.11261287331581116, cm=-0.16152875125408173
  Angle -5: cl=-0.5102356672286987, cd=0.10388173162937164, cm=-0.14781160652637482
  Angle -4: cl=-0.4152953624725342, cd=0.09876537322998047, cm=-0.1346597522497177
  Angle -3: cl=-0.3122515380382538, cd=0.09235852211713791, cm=-0.12015517055988312
  Angle -2: cl=-0.2442084550857544, cd=0.0867580696940422, cm=-0.09405766427516937
  Angle -1: cl=-0.18346914649009705, cd=0.08239234983921051, cm=-0.06465299427509308
  Angle 0: cl=-0.11456632614135742, cd=0.08222617208957672, cm=-0.03741206228733063
  Angle 1: cl=-0.03226035088300705, cd=0.0825955793261528, cm=-0.015402093529701233
  Angle 2: cl=0.051572129130363464, cd=0.08420877903699875, cm=-0.0006408393383026123
  Angle 3: cl=0.2961864769458771, cd=0.07093681395053864, cm=0.00020353496074676514
  Angle 4: cl=0.39174458384513855, cd=0.07643624395132065, cm=0.004999399185180664
  Angle 5: cl=0.48938894271850586, cd=0.0847373977303505, cm=0.008363738656044006
  Angle 6: cl=0.5863842964172363, cd=0.09131801128387451, cm=0.010135248303413391
  Angle 7: cl=0.677009642124176, cd=0.09790768474340439, cm=0.012446537613868713
  Angle 8: cl=0.768303632736206, cd=0.10257529467344284, cm=0.008752003312110901
  Angle 9: cl=0.8633002042770386, cd=0.10676489770412445, cm=0.0004092305898666382
  Angle 10: cl=0.961020827293396, cd=0.11297202855348587, cm=-0.007504984736442566
Genotype [0.0085, 0.46, 0.13, -0.9, 0.24859816990651348, -0.023, 0.05, -0.003, 0.0025, 8.828618087843212, 10.770599363288582]:
  Angle -10: cl=-0.5569092631340027, cd=0.21888960897922516, cm=-0.18720127642154694
  Angle -9: cl=-0.5848811268806458, cd=0.1857728809118271, cm=-0.18397797644138336
  Angle -8: cl=-0.6086170673370361, cd=0.1507737785577774, cm=-0.18094302713871002
  Angle -7: cl=-0.6477673649787903, cd=0.1212514266371727, cm=-0.1699087768793106
  Angle -6: cl=-0.6138015985488892, cd=0.1096646785736084, cm=-0.15559245645999908
  Angle -5: cl=-0.5327981114387512, cd=0.1032540425658226, cm=-0.14040280878543854
  Angle -4: cl=-0.43312177062034607, cd=0.09750372916460037, cm=-0.12696675956249237
  Angle -3: cl=-0.3394118547439575, cd=0.09053292125463486, cm=-0.10815306007862091
  Angle -2: cl=-0.2726198434829712, cd=0.08462850004434586, cm=-0.08098088204860687
  Angle -1: cl=-0.21340905129909515, cd=0.08033262938261032, cm=-0.05160270631313324
  Angle 0: cl=-0.14541880786418915, cd=0.08048086613416672, cm=-0.025928780436515808
  Angle 1: cl=-0.07475963979959488, cd=0.08477526158094406, cm=-0.0070311278104782104
  Angle 2: cl=0.009416921064257622, cd=0.09014924615621567, cm=0.004604771733283997
  Angle 3: cl=0.2486390918493271, cd=0.07787130028009415, cm=0.005543306469917297
  Angle 4: cl=0.3400850296020508, cd=0.08350003510713577, cm=0.010980665683746338
  Angle 5: cl=0.44229912757873535, cd=0.08878687769174576, cm=0.013988867402076721
  Angle 6: cl=0.5389381647109985, cd=0.09485429525375366, cm=0.015491783618927002
  Angle 7: cl=0.6325940489768982, cd=0.10020898282527924, cm=0.014587581157684326
  Angle 8: cl=0.7242819666862488, cd=0.10350358486175537, cm=0.007086068391799927
  Angle 9: cl=0.8188987374305725, cd=0.10775689780712128, cm=-0.0014088749885559082
  Angle 10: cl=0.9139435291290283, cd=0.11440982669591904, cm=-0.010665610432624817
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.851808966816684, 10.770599363288582]:
  Angle -10: cl=-0.559384822845459, cd=0.22693376243114471, cm=-0.18868790566921234
  Angle -9: cl=-0.5843871235847473, cd=0.19333301484584808, cm=-0.1860090047121048
  Angle -8: cl=-0.6071577668190002, cd=0.1583145409822464, cm=-0.18429936468601227
  Angle -7: cl=-0.6462282538414001, cd=0.12538018822669983, cm=-0.17660073935985565
  Angle -6: cl=-0.6050772666931152, cd=0.11257137358188629, cm=-0.1614130586385727
  Angle -5: cl=-0.5105280876159668, cd=0.10387503355741501, cm=-0.14772655069828033
  Angle -4: cl=-0.4153864085674286, cd=0.09872714430093765, cm=-0.13452975451946259
  Angle -3: cl=-0.31238487362861633, cd=0.09231480956077576, cm=-0.12000997364521027
  Angle -2: cl=-0.24479740858078003, cd=0.0866958349943161, cm=-0.09377817809581757
  Angle -1: cl=-0.18410399556159973, cd=0.08235006034374237, cm=-0.0643702894449234
  Angle 0: cl=-0.1152849793434143, cd=0.08220329135656357, cm=-0.037174925208091736
  Angle 1: cl=-0.03330986946821213, cd=0.08255819231271744, cm=-0.015104696154594421
  Angle 2: cl=0.050797238945961, cd=0.08435624837875366, cm=-0.0005741864442825317
  Angle 3: cl=0.29506736993789673, cd=0.07110431045293808, cm=0.00033380091190338135
  Angle 4: cl=0.39048779010772705, cd=0.07660690695047379, cm=0.005157366394996643
  Angle 5: cl=0.48822709918022156, cd=0.08481984585523605, cm=0.008480310440063477
  Angle 6: cl=0.5855693221092224, cd=0.09141787141561508, cm=0.010237723588943481
  Angle 7: cl=0.6761215925216675, cd=0.09798816591501236, cm=0.012570813298225403
  Angle 8: cl=0.7673560976982117, cd=0.10261529684066772, cm=0.008671924471855164
  Angle 9: cl=0.8623200058937073, cd=0.10679150372743607, cm=0.0003538578748703003
  Angle 10: cl=0.9600570797920227, cd=0.1129838079214096, cm=-0.007594123482704163
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.827662008792327, 10.781128330506473]:
  Angle -10: cl=-0.559455394744873, cd=0.22705405950546265, cm=-0.1886487752199173
  Angle -9: cl=-0.5843986868858337, cd=0.19344046711921692, cm=-0.18599261343479156
  Angle -8: cl=-0.6072419881820679, cd=0.15841446816921234, cm=-0.18425659835338593
  Angle -7: cl=-0.6468662619590759, cd=0.12543977797031403, cm=-0.17662353813648224
  Angle -6: cl=-0.6052569150924683, cd=0.11260123550891876, cm=-0.16143716871738434
  Angle -5: cl=-0.5105212330818176, cd=0.10387314110994339, cm=-0.1477479189634323
  Angle -4: cl=-0.4155755341053009, cd=0.09875357151031494, cm=-0.13456784188747406
  Angle -3: cl=-0.3124326169490814, cd=0.09233289211988449, cm=-0.12005062401294708
  Angle -2: cl=-0.2445305585861206, cd=0.08670827746391296, cm=-0.09394948184490204
  Angle -1: cl=-0.18378369510173798, cd=0.08235207945108414, cm=-0.06451837718486786
  Angle 0: cl=-0.11522172391414642, cd=0.08219932019710541, cm=-0.037234142422676086
  Angle 1: cl=-0.033130206167697906, cd=0.08255018293857574, cm=-0.015195950865745544
  Angle 2: cl=0.0508822500705719, cd=0.0842972844839096, cm=-0.000567898154258728
  Angle 3: cl=0.29518190026283264, cd=0.07106300443410873, cm=0.00029687583446502686
  Angle 4: cl=0.39063549041748047, cd=0.07656638324260712, cm=0.005158171057701111
  Angle 5: cl=0.4882825016975403, cd=0.0847935602068901, cm=0.008487462997436523
  Angle 6: cl=0.5855449438095093, cd=0.09138086438179016, cm=0.010250389575958252
  Angle 7: cl=0.6760786771774292, cd=0.09796592593193054, cm=0.012549161911010742
  Angle 8: cl=0.7674735188484192, cd=0.1025945171713829, cm=0.008697494864463806
  Angle 9: cl=0.8623220920562744, cd=0.10676981508731842, cm=0.0003811269998550415
  Angle 10: cl=0.9599124789237976, cd=0.11289460211992264, cm=-0.007541283965110779
Genotype [0.0085, 0.46, 0.13, -0.9, 0.26, -0.023, 0.05, -0.003, 0.0025, 8.820726203501042, 10.749733165488712]:
  Angle -10: cl=-0.5596570372581482, cd=0.22710582613945007, cm=-0.18870292603969574
  Angle -9: cl=-0.5845050811767578, cd=0.19349879026412964, cm=-0.18602095544338226
  Angle -8: cl=-0.6072043180465698, cd=0.15846186876296997, cm=-0.1842898577451706
  Angle -7: cl=-0.6463108658790588, cd=0.12551003694534302, cm=-0.17670147120952606
  Angle -6: cl=-0.6050571799278259, cd=0.1126193031668663, cm=-0.1615329533815384
  Angle -5: cl=-0.5102673172950745, cd=0.10387078672647476, cm=-0.14781232178211212
  Angle -4: cl=-0.4152255654335022, cd=0.09877544641494751, cm=-0.1346609741449356
  Angle -3: cl=-0.3123372793197632, cd=0.0923684760928154, cm=-0.12018124759197235
  Angle -2: cl=-0.24422362446784973, cd=0.0867411270737648, cm=-0.09411518275737762
