Experiment: Nash_Combination_Experiment_3
Generation: 62
Generation Type: v
Timestamp: 20231226_034630

Genotypes and their Fitness Values:
[0.0085, 0.42127788788355597, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.0, 10.0] - Base Fitness: 0.18796874924060672, Adjusted Fitness: 0.19938814938926605
[0.0085, 0.42127788788355597, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.36442168859044, 10.0] - Base Fitness: 0.16990194057921185, Adjusted Fitness: 0.17679037009647516
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.0761077623562432, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.19709767621501173, Adjusted Fitness: 0.1986572305142114
[0.0085, 0.4251528414923641, 0.13, -0.848776624564022, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.19483201049009524, Adjusted Fitness: 0.19559908355811317
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.022748469406692503, 0.07841369647402763, -0.003, 0.0025, 7.232107743153047, 10.0] - Base Fitness: 0.18372629428247625, Adjusted Fitness: 0.1844294594685087
[0.0085, 0.42127788788355597, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.18253030690072694, Adjusted Fitness: 0.8197785231797253
[0.0085, 0.42127788788355597, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.0025, 7.232107743153047, 10.0] - Base Fitness: 0.19006433195021433, Adjusted Fitness: 0.19080148111395714
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.1958836149115521, Adjusted Fitness: 0.6303687997592509
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.1958836149115521, Adjusted Fitness: 0.6303687997592509
[0.0085, 0.42127788788355597, 0.1288286805672892, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.0025, 7.108745781734536, 10.0] - Base Fitness: 0.1555326483412401, Adjusted Fitness: 0.16489103754039025
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.1958836149115521, Adjusted Fitness: 0.6303687997592509
[0.0085, 0.42127788788355597, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.18253030690072694, Adjusted Fitness: 0.8197785231797253
[0.0085, 0.4198501019575933, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.17717265550564856, Adjusted Fitness: 0.19073545275462556
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.0761077623562432, -0.003, 0.0025, 7.232107743153047, 10.0] - Base Fitness: 0.20477716643627442, Adjusted Fitness: 0.20562758064272985
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.0761077623562432, -0.003, 0.0025, 7.108745781734536, 10.0] - Base Fitness: 0.21111662167370504, Adjusted Fitness: 0.2280705486421593
[0.0085, 0.4251528414923641, 0.13, -0.8771918811114366, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.19642667782864923, Adjusted Fitness: 0.20672999955385088
[0.0085, 0.42127788788355597, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.0, 10.0] - Base Fitness: 0.18796874924060672, Adjusted Fitness: 0.19938814938926605
[0.0085, 0.4251528414923641, 0.13, -0.8771918811114366, 0.26, -0.023, 0.0761077623562432, -0.003, 0.0025, 7.108745781734536, 10.0] - Base Fitness: 0.21169987489603995, Adjusted Fitness: 0.2144781921804349
[0.0085, 0.4253311755680621, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.19630280796746866, Adjusted Fitness: 0.19707840750507116
[0.0085, 0.42127788788355597, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.290714650578326, 10.0] - Base Fitness: 0.17350052601134106, Adjusted Fitness: 0.18030663326995353
[0.0085, 0.4251528414923641, 0.12867628648831464, -0.8571588650886052, 0.26, -0.023, 0.07841369647402763, -0.003, 0.0025, 7.108745781734536, 10.0] - Base Fitness: 0.16219602624315832, Adjusted Fitness: 0.1698305188094771
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.1958836149115521, Adjusted Fitness: 0.6303687997592509
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.1958836149115521, Adjusted Fitness: 0.6303687997592509
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.0025, 7.232107743153047, 10.0] - Base Fitness: 0.20373538763263105, Adjusted Fitness: 0.2045776624081006
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.285538322279676] - Base Fitness: 0.1653625195943237, Adjusted Fitness: 0.1730229616128807
[0.0085, 0.424712722645674, 0.13, -0.8571588650886052, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.19364242695718947, Adjusted Fitness: 0.19439760418987834
[0.0085, 0.42127788788355597, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.18253030690072694, Adjusted Fitness: 0.8197785231797253
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.1958836149115521, Adjusted Fitness: 0.6303687997592509
[0.0085, 0.4173524335772046, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.0025, 7.108745781734536, 10.0] - Base Fitness: 0.1826430852172443, Adjusted Fitness: 0.1833354183126244
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.1958836149115521, Adjusted Fitness: 0.6303687997592509
[0.0085, 0.42127788788355597, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.18253030690072694, Adjusted Fitness: 0.8197785231797253
[0.0085, 0.4222571824730701, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.1858447164928452, Adjusted Fitness: 0.18656906590098132
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.0761077623562432, -0.003, 0.0025, 7.108745781734536, 10.0] - Base Fitness: 0.21111662167370504, Adjusted Fitness: 0.2280705486421593
[0.0085, 0.42127788788355597, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.18253030690072694, Adjusted Fitness: 0.8197785231797253
[0.0085, 0.42127788788355597, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.0025, 7.108745781734536, 10.0] - Base Fitness: 0.1964285049583533, Adjusted Fitness: 0.2061049482646014
[0.0085, 0.42127788788355597, 0.13, -0.8591421060689209, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.0, 10.0] - Base Fitness: 0.1873763468901899, Adjusted Fitness: 0.18811601260229946
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.0761077623562432, -0.003, 0.0025, 7.108745781734536, 10.0] - Base Fitness: 0.21111662167370504, Adjusted Fitness: 0.2280705486421593
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.1958836149115521, Adjusted Fitness: 0.6303687997592509
[0.0085, 0.42127788788355597, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.18253030690072694, Adjusted Fitness: 0.8197785231797253
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.0761077623562432, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.19709767621501173, Adjusted Fitness: 0.1986572305142114
[0.0085, 0.4251528414923641, 0.13, -0.8648789079144996, 0.26, -0.023, 0.07841369647402763, -0.003, 0.0026744798330929475, 7.108745781734536, 10.0] - Base Fitness: 0.19074279228159235, Adjusted Fitness: 0.19147357995116818
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.1958836149115521, Adjusted Fitness: 0.6303687997592509
[0.0085, 0.4251528414923641, 0.13, -0.8571588650886052, 0.26, -0.023, 0.07997718182038917, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.1945208357195718, Adjusted Fitness: 0.19528479703988447
[0.0085, 0.4198501019575933, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.17717265550564856, Adjusted Fitness: 0.19073545275462556
[0.0085, 0.42127788788355597, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.18253030690072694, Adjusted Fitness: 0.8197785231797253
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.0761077623562432, -0.003, 0.0025, 7.108745781734536, 10.0] - Base Fitness: 0.21111662167370504, Adjusted Fitness: 0.2280705486421593
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0] - Base Fitness: 0.1958836149115521, Adjusted Fitness: 0.6303687997592509
[0.0085, 0.4251528414923641, 0.13, -0.8571588650886052, 0.26, -0.023, 0.07841369647402763, -0.003, 0.0025, 7.108745781734536, 10.0] - Base Fitness: 0.2090113248338515, Adjusted Fitness: 0.2108157921776117
[0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.0026744798330929475, 7.108745781734536, 10.0] - Base Fitness: 0.19078488298325755, Adjusted Fitness: 0.19225725766525664
[0.0085, 0.42127788788355597, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.0025873087432266486, 7.108745781734536, 10.0] - Base Fitness: 0.1868320374990975, Adjusted Fitness: 0.18756626011729613

Detailed Results for Each Genotype:
Genotype [0.0085, 0.42127788788355597, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.0, 10.0]:
  Angle -10: cl=-0.558307945728302, cd=0.2354939579963684, cm=-0.1878560334444046
  Angle -9: cl=-0.5932089686393738, cd=0.2048197090625763, cm=-0.17946286499500275
  Angle -8: cl=-0.6285107135772705, cd=0.17307928204536438, cm=-0.17411662638187408
  Angle -7: cl=-0.6550716757774353, cd=0.13791929185390472, cm=-0.17001523077487946
  Angle -6: cl=-0.6217691898345947, cd=0.12178383022546768, cm=-0.15832377970218658
  Angle -5: cl=-0.5059419274330139, cd=0.10880038887262344, cm=-0.1472041755914688
  Angle -4: cl=-0.3847925662994385, cd=0.09734515100717545, cm=-0.13553686439990997
  Angle -3: cl=-0.26931998133659363, cd=0.0885322093963623, cm=-0.12189917266368866
  Angle -2: cl=-0.1828327178955078, cd=0.08253083378076553, cm=-0.10255257785320282
  Angle -1: cl=-0.12469039857387543, cd=0.07972496747970581, cm=-0.07358957827091217
  Angle 0: cl=-0.06511788070201874, cd=0.07947994023561478, cm=-0.043345168232917786
  Angle 1: cl=0.00036002136766910553, cd=0.08041969686746597, cm=-0.01635707914829254
  Angle 2: cl=0.07977355271577835, cd=0.08124367892742157, cm=-0.0003845393657684326
  Angle 3: cl=0.3097648620605469, cd=0.06959186494350433, cm=0.0036031007766723633
  Angle 4: cl=0.3921549320220947, cd=0.07576543092727661, cm=0.009253174066543579
  Angle 5: cl=0.4810054898262024, cd=0.0834958404302597, cm=0.013528376817703247
  Angle 6: cl=0.5713527202606201, cd=0.0910695344209671, cm=0.016355276107788086
  Angle 7: cl=0.6598051190376282, cd=0.09837514907121658, cm=0.018687888979911804
  Angle 8: cl=0.7503014206886292, cd=0.10163427144289017, cm=0.01192578673362732
  Angle 9: cl=0.8411341905593872, cd=0.1052388995885849, cm=0.0035467296838760376
  Angle 10: cl=0.9372998476028442, cd=0.10929431021213531, cm=-0.0044455379247665405
Genotype [0.0085, 0.42127788788355597, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.36442168859044, 10.0]:
  Angle -10: cl=-0.5572875738143921, cd=0.23399853706359863, cm=-0.18746785819530487
  Angle -9: cl=-0.592710018157959, cd=0.20327162742614746, cm=-0.17924530804157257
  Angle -8: cl=-0.6263829469680786, cd=0.17144975066184998, cm=-0.17410774528980255
  Angle -7: cl=-0.6534076929092407, cd=0.13632988929748535, cm=-0.16963784396648407
  Angle -6: cl=-0.620124340057373, cd=0.12080767005681992, cm=-0.1580895334482193
  Angle -5: cl=-0.5042383670806885, cd=0.1081051453948021, cm=-0.1464834362268448
  Angle -4: cl=-0.38245487213134766, cd=0.09658408164978027, cm=-0.13468338549137115
  Angle -3: cl=-0.27000629901885986, cd=0.08833597600460052, cm=-0.12084360420703888
  Angle -2: cl=-0.186345636844635, cd=0.08230267465114594, cm=-0.10061226785182953
  Angle -1: cl=-0.1282982975244522, cd=0.07955329120159149, cm=-0.07144342362880707
  Angle 0: cl=-0.06865157932043076, cd=0.07936063408851624, cm=-0.04113687574863434
  Angle 1: cl=-0.00311405211687088, cd=0.08051532506942749, cm=-0.014502659440040588
  Angle 2: cl=0.0758151039481163, cd=0.08170122653245926, cm=0.0010621696710586548
  Angle 3: cl=0.30511224269866943, cd=0.0707799419760704, cm=0.004335373640060425
  Angle 4: cl=0.38733237981796265, cd=0.07696697115898132, cm=0.009895414113998413
  Angle 5: cl=0.47606393694877625, cd=0.08438998460769653, cm=0.014266937971115112
  Angle 6: cl=0.5661367177963257, cd=0.09195497632026672, cm=0.01714406907558441
  Angle 7: cl=0.6559005379676819, cd=0.0986315906047821, cm=0.018020913004875183
  Angle 8: cl=0.7467076182365417, cd=0.10192590206861496, cm=0.011254444718360901
  Angle 9: cl=0.8373216390609741, cd=0.10553126037120819, cm=0.002885565161705017
  Angle 10: cl=0.9337697625160217, cd=0.1096448302268982, cm=-0.005137249827384949
Genotype [0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.023, 0.0761077623562432, -0.003, 0.002628562338564667, 7.108745781734536, 10.0]:
  Angle -10: cl=-0.5580171942710876, cd=0.23513241112232208, cm=-0.1881055384874344
  Angle -9: cl=-0.5937415957450867, cd=0.204379141330719, cm=-0.17986302077770233
  Angle -8: cl=-0.6255436539649963, cd=0.17197096347808838, cm=-0.17522607743740082
  Angle -7: cl=-0.6521525382995605, cd=0.1367339789867401, cm=-0.17114387452602386
  Angle -6: cl=-0.6193979382514954, cd=0.12079810351133347, cm=-0.1591867357492447
  Angle -5: cl=-0.504888653755188, cd=0.1081627607345581, cm=-0.1476183384656906
  Angle -4: cl=-0.38423633575439453, cd=0.09703028947114944, cm=-0.13622967898845673
  Angle -3: cl=-0.27323049306869507, cd=0.08906785398721695, cm=-0.12215231359004974
  Angle -2: cl=-0.18783853948116302, cd=0.0831594467163086, cm=-0.10252664983272552
  Angle -1: cl=-0.129469096660614, cd=0.0801347866654396, cm=-0.07340188324451447
  Angle 0: cl=-0.07011506706476212, cd=0.07986702769994736, cm=-0.04303239285945892
  Angle 1: cl=-0.0013408008962869644, cd=0.08072447776794434, cm=-0.01682741940021515
  Angle 2: cl=0.07881034910678864, cd=0.08149189502000809, cm=-0.00086192786693573
  Angle 3: cl=0.31079965829849243, cd=0.06938054412603378, cm=0.002956882119178772
  Angle 4: cl=0.3946447968482971, cd=0.0753743052482605, cm=0.008505240082740784
  Angle 5: cl=0.48522403836250305, cd=0.08338861912488937, cm=0.012600317597389221
  Angle 6: cl=0.5754743218421936, cd=0.09098599851131439, cm=0.01541990041732788
  Angle 7: cl=0.6643640995025635, cd=0.09823161363601685, cm=0.01783706247806549
  Angle 8: cl=0.7553020119667053, cd=0.10171088576316833, cm=0.011754140257835388
  Angle 9: cl=0.8462501168251038, cd=0.10532867908477783, cm=0.003316730260848999
  Angle 10: cl=0.942926287651062, cd=0.1094784066081047, cm=-0.004658833146095276
Genotype [0.0085, 0.4251528414923641, 0.13, -0.848776624564022, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0]:
  Angle -10: cl=-0.5581139922142029, cd=0.23505544662475586, cm=-0.18807394802570343
  Angle -9: cl=-0.5938304662704468, cd=0.20433510839939117, cm=-0.1798369437456131
  Angle -8: cl=-0.6256811022758484, cd=0.17191044986248016, cm=-0.1751972883939743
  Angle -7: cl=-0.6522773504257202, cd=0.1366802453994751, cm=-0.1711079329252243
  Angle -6: cl=-0.6195995807647705, cd=0.12076913565397263, cm=-0.1591387242078781
  Angle -5: cl=-0.5048661828041077, cd=0.1081407368183136, cm=-0.147593155503273
  Angle -4: cl=-0.38421472907066345, cd=0.09699203073978424, cm=-0.13619358837604523
  Angle -3: cl=-0.27334824204444885, cd=0.08906178921461105, cm=-0.12209756672382355
  Angle -2: cl=-0.18811337649822235, cd=0.08313100039958954, cm=-0.10243193805217743
  Angle -1: cl=-0.1295394003391266, cd=0.08010970056056976, cm=-0.073330357670784
  Angle 0: cl=-0.07021356374025345, cd=0.07984714955091476, cm=-0.042993202805519104
  Angle 1: cl=-0.0015208013355731964, cd=0.08072099834680557, cm=-0.01674039661884308
  Angle 2: cl=0.07852742075920105, cd=0.08148106187582016, cm=-0.0007881820201873779
  Angle 3: cl=0.310324490070343, cd=0.06942696869373322, cm=0.002962663769721985
  Angle 4: cl=0.3940824866294861, cd=0.0754382386803627, cm=0.008539721369743347
  Angle 5: cl=0.48469310998916626, cd=0.08339430391788483, cm=0.012663215398788452
  Angle 6: cl=0.5749571323394775, cd=0.09099274128675461, cm=0.015447795391082764
  Angle 7: cl=0.664178729057312, cd=0.09823652356863022, cm=0.017866432666778564
  Angle 8: cl=0.7547962665557861, cd=0.10171444714069366, cm=0.011732414364814758
  Angle 9: cl=0.8457996845245361, cd=0.1053234338760376, cm=0.003329262137413025
  Angle 10: cl=0.9425119161605835, cd=0.10949106514453888, cm=-0.004663839936256409
Genotype [0.0085, 0.4251528414923641, 0.13, -0.866691869856064, 0.26, -0.022748469406692503, 0.07841369647402763, -0.003, 0.0025, 7.232107743153047, 10.0]:
  Angle -10: cl=-0.5584955215454102, cd=0.23444293439388275, cm=-0.18783144652843475
  Angle -9: cl=-0.5944682359695435, cd=0.20365643501281738, cm=-0.17965729534626007
  Angle -8: cl=-0.626491367816925, cd=0.17142216861248016, cm=-0.1751132756471634
  Angle -7: cl=-0.6531338095664978, cd=0.13618767261505127, cm=-0.1707870215177536
  Angle -6: cl=-0.6201329827308655, cd=0.12055407464504242, cm=-0.15890507400035858
  Angle -5: cl=-0.5042183995246887, cd=0.10787578672170639, cm=-0.14723272621631622
  Angle -4: cl=-0.3833118975162506, cd=0.09668219834566116, cm=-0.13576526939868927
  Angle -3: cl=-0.2734355032444, cd=0.08891340345144272, cm=-0.1215396374464035
  Angle -2: cl=-0.1889369934797287, cd=0.08293535560369492, cm=-0.10152594745159149
  Angle -1: cl=-0.1308685839176178, cd=0.07991964370012283, cm=-0.07255293428897858
  Angle 0: cl=-0.071173295378685, cd=0.07967450469732285, cm=-0.042221441864967346
  Angle 1: cl=-0.0032897423952817917, cd=0.08064349740743637, cm=-0.015985563397407532
  Angle 2: cl=0.07669231295585632, cd=0.08139459788799286, cm=-2.9727816581726074e-05
  Angle 3: cl=0.3080359697341919, cd=0.06993202865123749, cm=0.0033974498510360718
  Angle 4: cl=0.39166104793548584, cd=0.07595743238925934, cm=0.008973032236099243
  Angle 5: cl=0.482360303401947, cd=0.08367367833852768, cm=0.013068065047264099
  Angle 6: cl=0.5724474787712097, cd=0.09126479923725128, cm=0.01589915156364441
  Angle 7: cl=0.6620963215827942, cd=0.09848014265298843, cm=0.018267154693603516
  Angle 8: cl=0.7529041171073914, cd=0.10173215717077255, cm=0.01156790554523468
  Angle 9: cl=0.8435512185096741, cd=0.1053425744175911, cm=0.003166705369949341
  Angle 10: cl=0.9408164620399475, cd=0.10952431708574295, cm=-0.004895135760307312
Genotype [0.0085, 0.42127788788355597, 0.13, -0.866691869856064, 0.26, -0.023, 0.07841369647402763, -0.003, 0.002628562338564667, 7.108745781734536, 10.0]:
  Angle -10: cl=-0.5581037998199463, cd=0.2350669950246811, cm=-0.18778236210346222
  Angle -9: cl=-0.5930933952331543, cd=0.20440205931663513, cm=-0.17937342822551727
  Angle -8: cl=-0.627747118473053, cd=0.1725964993238449, cm=-0.1741083711385727
  Angle -7: cl=-0.6545683741569519, cd=0.13748177886009216, cm=-0.1698884516954422
  Angle -6: cl=-0.6208930611610413, cd=0.12145958840847015, cm=-0.15822573006153107
  Angle -5: cl=-0.5053080320358276, cd=0.1085699051618576, cm=-0.14697633683681488
  Angle -4: cl=-0.3842184543609619, cd=0.0971221923828125, cm=-0.13533298671245575
  Angle -3: cl=-0.26956412196159363, cd=0.08846647292375565, cm=-0.12155990302562714
  Angle -2: cl=-0.18380753695964813, cd=0.08244454115629196, cm=-0.10192643105983734
  Angle -1: cl=-0.1258208453655243, cd=0.07966481149196625, cm=-0.07289429008960724
  Angle 0: cl=-0.06629335135221481, cd=0.07943899184465408, cm=-0.04266081750392914
  Angle 1: cl=-0.0007943566888570786, cd=0.08044099807739258, cm=-0.015813037753105164
  Angle 2: cl=0.07859033346176147, cd=0.08122581243515015, cm=0.0002635568380355835
  Angle 3: cl=0.308511883020401, cd=0.06994110345840454, cm=0.003784269094467163
  Angle 4: cl=0.3906981348991394, cd=0.07612307369709015, cm=0.00944317877292633
  Angle 5: cl=0.4794684648513794, cd=0.08375377953052521, cm=0.01378592848777771
  Angle 6: cl=0.5696495771408081, cd=0.09132685512304306, cm=0.016616299748420715
  Angle 7: cl=0.6585959792137146, cd=0.09843640774488449, cm=0.01847231388092041
  Angle 8: cl=0.7492799162864685, cd=0.10171946883201599, cm=0.011740043759346008
  Angle 9: cl=0.8398995399475098, cd=0.1053304374217987, cm=0.0033486485481262207
  Angle 10: cl=0.9361423254013062, cd=0.10939290374517441, cm=-0.0046590715646743774
